Date,Time,Result
1970-01-01,18:00,126.0
1970-02-01,18:00,126.0
1970-03-01,18:00,101.7
1970-04-01,18:00,101.7
1970-05-01,18:00,98.0
1970-06-01,18:00,98.0
1970-07-01,18:00,88.1
1970-08-01,18:00,88.1
1970-09-01,18:00,91.0
1970-10-01,18:00,91.0
1970-11-01,18:00,83.2
1970-12-01,18:00,83.2
1971-01-01,18:00,75.7
1971-02-01,18:00,75.7
1971-03-01,18:00,77.4
1971-04-01,18:00,77.4
1971-05-01,18:00,75.2
1971-06-01,18:00,75.2
1971-07-01,18:00,82.3
1971-08-01,18:00,82.3
1971-09-01,18:00,82.1
1971-10-01,18:00,82.1
1971-11-01,18:00,80.3
1971-12-01,18:00,80.3
1972-01-01,18:00,85.0
1972-02-01,18:00,85.0
1972-03-01,18:00,93.6
1972-04-01,18:00,93.6
1972-05-01,18:00,95.1
1972-06-01,18:00,95.1
1972-07-01,18:00,98.9
1972-08-01,18:00,98.9
1972-09-01,18:00,104.1
1972-10-01,18:00,104.1
1972-11-01,18:00,112.0
1972-12-01,18:00,112.0
1973-01-01,18:00,116.1
1973-02-01,18:00,116.1
1973-03-01,18:00,110.8
1973-04-01,18:00,110.8
1973-05-01,18:00,102.8
1973-06-01,18:00,102.8
1973-07-01,18:00,104.4
1973-08-01,18:00,104.4
1973-09-01,18:00,93.8
1973-10-01,18:00,93.8
1973-11-01,18:00,107.5
1973-12-01,18:00,107.5
1974-01-01,18:00,70.6
1974-02-01,18:00,70.6
1974-03-01,18:00,62.7
1974-04-01,18:00,62.7
1974-05-01,18:00,95.1
1974-06-01,18:00,95.1
1974-07-01,18:00,92.5
1974-08-01,18:00,92.5
1974-09-01,18:00,77.3
1974-10-01,18:00,77.3
1974-11-01,18:00,54.5
1974-12-01,18:00,54.5
1975-01-01,18:00,43.2
1975-02-01,18:00,43.2
1975-03-01,18:00,54.5
1975-04-01,18:00,54.5
1975-05-01,18:00,66.4
1975-06-01,18:00,66.4
1975-07-01,18:00,72.2
1975-08-01,18:00,72.2
1975-09-01,18:00,82.4
1975-10-01,18:00,82.4
1975-11-01,18:00,77.6
1975-12-01,18:00,77.6
1976-01-01,18:00,93.7
1976-02-01,18:00,93.7
1976-03-01,18:00,101.0
1976-04-01,18:00,101.0
1976-05-01,18:00,89.5
1976-06-01,18:00,89.5
1976-07-01,18:00,94.5
1976-08-01,18:00,94.5
1976-09-01,18:00,94.6
1976-10-01,18:00,94.6
1976-11-01,18:00,87.1
1976-12-01,18:00,87.1
