公表日時,時間,結果
1970-01-02,21:30,153000
1970-02-06,21:30,-64000
1970-03-06,21:30,128000
1970-04-03,21:30,148000
1970-05-01,21:30,-104000
1970-06-05,21:30,-225000
1970-07-03,21:30,-94000
1970-08-07,21:30,24000
1970-09-04,21:30,-120000
1970-10-02,21:30,15000
1970-11-06,21:30,-429000
1970-12-04,21:30,-110000
1971-01-01,21:30,381000
1971-02-05,21:30,76000
1971-03-05,21:30,-60000
1971-04-02,21:30,53000
1971-05-07,21:30,178000
1971-06-04,21:30,210000
1971-07-02,21:30,6000
1971-08-06,21:30,62000
1971-09-03,21:30,55000
1971-10-01,21:30,247000
1971-11-05,21:30,25000
1971-12-03,21:30,204000
1972-01-07,21:30,262000
1972-02-04,21:30,337000
1972-03-03,21:30,207000
1972-04-07,21:30,293000
1972-05-05,21:30,218000
1972-06-02,21:30,304000
1972-07-07,21:30,293000
1972-08-04,21:30,-52000
1972-09-01,21:30,430000
1972-10-06,21:30,125000
1972-11-03,21:30,410000
1972-12-01,21:30,294000
1973-01-05,21:30,303000
1973-02-02,21:30,351000
1973-03-02,21:30,396000
1973-04-06,21:30,268000
1973-05-04,21:30,170000
1973-06-01,21:30,191000
1973-07-06,21:30,241000
1973-08-03,21:30,24000
1973-09-07,21:30,255000
1973-10-05,21:30,110000
1973-11-02,21:30,330000
1973-12-07,21:30,306000
1974-01-04,21:30,123000
1974-02-01,21:30,69000
1974-03-01,21:30,150000
1974-04-05,21:30,42000
1974-05-03,21:30,86000
1974-06-07,21:30,165000
1974-07-05,21:30,55000
1974-08-02,21:30,33000
1974-09-06,21:30,-16000
1974-10-04,21:30,-8000
1974-11-01,21:30,18000
1974-12-06,21:30,-368000
1975-01-03,21:30,-604000
1975-02-07,21:30,-360000
1975-03-07,21:30,-378000
1975-04-04,21:30,-270000
1975-05-02,21:30,-188000
1975-06-06,21:30,162000
1975-07-04,21:30,-103000
1975-08-01,21:30,249000
1975-09-05,21:30,386000
1975-10-03,21:30,75000
1975-11-07,21:30,305000
1975-12-05,21:30,145000
1976-01-02,21:30,338000
1976-02-06,21:30,488000
1976-03-05,21:30,311000
1976-04-02,21:30,232000
1976-05-07,21:30,243000
1976-06-04,21:30,19000
1976-07-02,21:30,65000
1976-08-06,21:30,171000
1976-09-03,21:30,157000
1976-10-01,21:30,188000
1976-11-05,21:30,13000
1976-12-03,21:30,332000
1977-01-07,21:30,211000
