公表日時,時間,結果,予想,前回,
2023年10月31日 (10月),23:00,102.6,100.0,104.3,
2023年09月26日 (9月),23:00,103.0,105.5,108.7,
2023年08月29日 (8月),23:00,106.1,116.0,114.0,
2023年07月25日 (7月),23:00,117.0,111.8,110.1,
2023年06月27日 (6月),23:00,109.7,104.0,102.5,
2023年05月30日 (5月),23:00,102.3,99.0,103.7,
2023年04月25日 (4月),23:00,101.3,104.0,104.0,
2023年03月28日 (3月),23:00,104.2,101.0,103.4,
2023年03月01日 (2月),00:00,102.9,108.5,106.0,
2023年02月01日 (1月),00:00,107.1,109.0,109.0,
2022年12月22日 (12月),00:00,108.3,101.0,101.4,
2022年11月30日 (11月),00:00,100.2,100.0,102.2,
2022年10月25日 (10月),23:00,102.5,106.5,107.8,
2022年09月27日 (9月),23:00,108.0,104.5,103.6,
2022年08月30日 (8月),23:00,103.2,97.9,95.3,
2022年07月26日 (7月),23:00,95.7,97.2,98.4,
2022年06月28日 (6月),23:00,98.7,100.4,103.2,
2022年05月31日 (5月),23:00,106.4,103.9,108.6,
2022年04月26日 (4月),23:00,107.3,108.0,107.6,
2022年03月29日 (3月),23:00,107.2,107.0,105.7,
2022年02月23日 (2月),00:00,110.5,110.0,111.1,
2022年01月26日 (1月),00:00,113.8,111.8,115.2,
2021年12月23日 (12月),00:00,115.8,110.8,111.9,
2021年12月01日 (11月),00:00,109.5,111.0,111.6,
2021年10月26日 (10月),23:00,113.8,108.3,109.8,
2021年09月28日 (9月),23:00,109.3,114.5,115.2,
2021年08月31日 (8月),23:00,113.8,124.0,125.1,
2021年07月27日 (7月),23:00,129.1,123.9,128.9,
2021年06月29日 (6月),23:00,127.3,119.0,120.0,
2021年05月25日 (5月),23:00,117.2,119.2,117.5,
2021年04月27日 (4月),23:00,121.7,113.0,109.0,
2021年03月30日 (3月),23:00,109.7,96.9,90.4,
2021年02月24日 (2月),00:00,91.3,90.0,88.9,
2021年01月27日 (1月),00:00,89.3,89.0,87.1,
2020年12月23日 (12月),00:00,88.6,97.0,92.9,
2020年11月25日 (11月),00:00,96.1,98.0,101.4,
2020年10月27日 (10月),23:00,100.9,102.0,101.3,
2020年09月29日 (9月),23:00,101.8,89.2,86.3,
2020年08月25日 (8月),23:00,84.8,93.0,91.7,
2020年07月28日 (7月),23:00,92.6,94.5,98.3,
2020年06月30日 (6月),23:00,98.1,91.8,85.9,
2020年05月26日 (5月),23:00,86.6,88.0,85.7,
2020年04月28日 (4月),23:00,86.9,87.9,118.8,
2020年03月31日 (3月),23:00,120.0,110.0,132.6,
2020年02月26日 (2月),00:00,130.7,132.0,130.4,
2020年01月29日 (1月),00:00,131.6,128.0,128.2,
2020年01月01日 (12月),00:00,126.5,128.2,126.8,
2019年11月27日 (11月),00:00,125.5,127.0,126.1,
2019年10月29日 (10月),23:00,125.9,128.0,126.3,
2019年09月24日 (9月),23:00,125.1,134.1,134.2,
2019年08月27日 (8月),23:00,135.1,129.5,135.8,
2019年07月30日 (7月),23:00,135.7,125.0,124.3,
2019年06月25日 (6月),23:00,121.5,131.1,131.3,
2019年05月28日 (5月),23:00,134.1,130.1,129.2,
2019年04月30日 (4月),23:00,129.2,126.0,124.1,
2019年03月26日 (3月),23:00,124.1,132.0,131.4,
2019年02月27日 (2月),00:00,131.4,124.7,121.7,
2019年01月30日 (1月),00:00,120.2,124.7,126.6,
2018年12月28日 (12月),00:00,128.1,133.7,136.4,
2018年11月28日 (11月),00:00,135.7,135.9,137.9,
2018年10月30日 (10月),23:00,137.9,136.0,135.3,
2018年09月25日 (9月),23:00,138.4,132.2,134.7,
2018年08月28日 (8月),23:00,133.4,126.7,127.9,
2018年07月31日 (7月),23:00,127.4,126.5,127.1,
2018年06月26日 (6月),23:00,126.4,127.6,128.8,
2018年05月29日 (5月),23:00,128.0,128.2,125.6,
2018年04月24日 (4月),23:00,128.7,126.0,127.0,
2018年03月27日 (3月),23:00,127.7,131.0,130.0,
2018年02月28日 (2月),00:00,130.8,126.2,124.3,
2018年01月31日 (1月),00:00,125.4,123.1,123.1,
2017年12月28日 (12月),00:00,122.1,128.0,128.6,
2017年11月29日 (11月),00:00,129.5,124.0,126.2,
2017年10月31日 (10月),23:00,125.9,121.0,120.6,
2017年09月26日 (9月),23:00,119.8,120.0,120.4,
2017年08月29日 (8月),23:00,122.9,120.3,120.0,
2017年07月25日 (7月),23:00,121.1,116.5,117.3,
2017年06月27日 (6月),23:00,118.9,116.0,117.6,
2017年05月30日 (5月),23:00,117.9,119.8,119.4,
2017年04月25日 (4月),23:00,120.3,122.5,124.9,
2017年03月28日 (3月),23:00,125.6,114.0,116.1,
2017年03月01日 (2月),00:00,114.8,111.0,111.6,
2017年02月01日 (1月),00:00,111.8,113.0,113.3,
2016年12月28日 (12月),00:00,113.7,109.0,109.4,
2016年11月30日 (11月),00:00,107.1,101.2,100.8,
2016年10月25日 (10月),23:00,98.6,101.0,103.5,
2016年09月27日 (9月),23:00,104.1,99.0,101.8,
2016年08月30日 (8月),23:00,101.1,97.0,96.7,
2016年07月26日 (7月),23:00,97.3,95.9,97.4,
2016年06月28日 (6月),23:00,98.0,93.3,92.4,
2016年05月31日 (5月),23:00,92.6,96.0,94.7,
