公表日時,時間,結果,予想,前回,
2023年11月09日,22:30, ,215K,217K,
2023年11月02日,21:30,217K,210K,212K,
2023年10月26日,21:30,210K,208K,200K,
2023年10月19日,21:30,198K,212K,211K,
2023年10月12日,21:30,209K,210K,209K,
2023年10月05日,21:30,207K,210K,205K,
2023年09月28日,21:30,204K,215K,202K,
2023年09月21日,21:30,201K,225K,221K,
2023年09月14日,21:30,220K,225K,217K,
2023年09月07日,21:30,216K,234K,229K,
2023年08月31日,21:30,228K,235K,232K,
2023年08月24日,21:30,230K,240K,240K,
2023年08月17日,21:30,239K,240K,250K,
2023年08月10日,21:30,248K,230K,227K,
2023年08月03日,21:30,227K,227K,221K,
2023年07月27日,21:30,221K,235K,228K,
2023年07月20日,21:30,228K,242K,237K,
2023年07月13日,21:30,237K,250K,249K,
2023年07月06日,21:30,248K,245K,236K,
2023年06月29日,21:30,239K,266K,265K,
2023年06月22日,21:30,264K,260K,264K,
2023年06月15日,21:30,262K,250K,262K,
2023年06月08日,21:30,261K,235K,233K,
2023年06月01日,21:30,232K,235K,230K,
2023年05月25日,21:30,229K,250K,225K,
2023年05月18日,21:30,242K,254K,264K,
2023年05月11日,21:30,264K,245K,242K,
2023年05月04日,21:30,242K,240K,229K,
2023年04月27日,21:30,230K,248K,246K,
2023年04月20日,21:30,245K,240K,240K,
2023年04月13日,21:30,239K,232K,228K,
2023年04月06日,21:30,228K,200K,246K,
2023年03月30日,21:30,198K,196K,191K,
2023年03月23日,21:30,191K,197K,192K,
2023年03月16日,21:30,192K,205K,212K,
2023年03月09日,22:30,211K,195K,190K,
2023年03月02日,22:30,190K,195K,192K,
2023年02月23日,22:30,192K,200K,195K,
2023年02月16日,22:30,194K,200K,195K,
2023年02月09日,22:30,196K,190K,183K,
2023年02月02日,22:30,183K,200K,186K,
2023年01月26日,22:30,186K,205K,192K,
2023年01月19日,22:30,190K,214K,205K,
2023年01月12日,22:30,205K,215K,206K,
2023年01月05日,22:30,204K,225K,223K,
2022年12月29日,22:30,225K,225K,216K,
2022年12月22日,22:30,216K,222K,214K,
2022年12月15日,22:30,211K,230K,231K,
2022年12月08日,22:30,230K,230K,226K,
2022年12月01日,22:30,225K,235K,241K,
2022年11月23日,22:30,240K,225K,223K,
2022年11月17日,22:30,222K,225K,226K,
2022年11月10日,22:30,225K,220K,218K,
2022年11月03日,21:30,217K,220K,218K,
2022年10月27日,21:30,217K,220K,214K,
2022年10月20日,21:30,214K,230K,226K,
2022年10月13日,21:30,228K,225K,219K,
2022年10月06日,21:30,219K,203K,190K,
2022年09月29日,21:30,193K,215K,209K,
2022年09月22日,21:30,213K,218K,208K,
2022年09月15日,21:30,213K,226K,218K,
2022年09月08日,21:30,222K,240K,228K,
2022年09月01日,21:30,232K,248K,237K,
2022年08月25日,21:30,243K,253K,245K,
2022年08月18日,21:30,250K,265K,252K,
2022年08月11日,21:30,262K,263K,248K,
2022年08月04日,21:30,260K,259K,254K,
2022年07月28日,21:30,256K,253K,261K,
2022年07月21日,21:30,251K,240K,244K,
2022年07月14日,21:30,244K,235K,235K,
2022年07月07日,21:30,235K,230K,231K,
2022年06月30日,21:30,231K,228K,233K,
2022年06月23日,21:30,229K,227K,231K,
2022年06月16日,21:30,229K,215K,232K,
2022年06月09日,21:30,229K,210K,202K,
2022年06月02日,21:30,200K,210K,211K,
2022年05月26日,21:30,210K,215K,218K,
2022年05月19日,21:30,218K,200K,197K,
2022年05月12日,21:30,203K,195K,202K,
2022年05月05日,21:30,200K,182K,181K,
2022年04月28日,21:30,180K,180K,185K,
2022年04月21日,21:30,184K,180K,186K,
2022年04月14日,21:30,185K,171K,167K,
2022年04月07日,21:30,166K,200K,171K,
2022年03月31日,21:30,202K,197K,188K,
2022年03月24日,21:30,187K,212K,215K,
2022年03月17日,21:30,214K,220K,229K,
2022年03月10日,22:30,227K,217K,216K,
2022年03月03日,22:30,215K,226K,233K,
2022年02月24日,22:30,232K,235K,249K,
2022年02月17日,22:30,248K,219K,225K,
2022年02月10日,22:30,223K,230K,239K,
2022年02月03日,22:30,238K,245K,261K,
2022年01月27日,22:30,260K,260K,290K,
2022年01月20日,22:30,286K,220K,231K,
2022年01月13日,22:30,230K,200K,207K,
2022年01月06日,22:30,207K,197K,200K,
2021年12月30日,22:30,198K,208K,206K,
2021年12月23日,22:30,205K,205K,205K,
2021年12月16日,22:30,206K,200K,188K,
2021年12月09日,22:30,184K,215K,227K,
2021年12月02日,22:30,222K,240K,194K,
2021年11月24日,22:30,199K,260K,270K,
2021年11月18日,22:30,268K,260K,269K,
2021年11月10日,22:30,267K,265K,271K,
2021年11月04日,21:30,269K,275K,283K,
2021年10月28日,21:30,281K,290K,291K,
2021年10月21日,21:30,290K,300K,296K,
2021年10月14日,21:30,293K,319K,329K,
2021年10月07日,21:30,326K,348K,364K,
2021年09月30日,21:30,362K,335K,351K,
2021年09月23日,21:30,351K,320K,335K,
2021年09月16日,21:30,332K,330K,312K,
2021年09月09日,21:30,310K,335K,345K,
2021年09月02日,21:30,340K,345K,354K,
2021年08月26日,21:30,353K,350K,349K,
2021年08月19日,21:30,348K,363K,377K,
2021年08月12日,21:30,375K,375K,387K,
2021年08月05日,21:30,385K,384K,399K,
2021年07月29日,21:30,400K,380K,424K,
2021年07月22日,21:30,419K,350K,368K,
2021年07月15日,21:30,360K,360K,386K,
2021年07月08日,21:30,373K,350K,371K,
2021年07月01日,21:30,364K,390K,415K,
2021年06月24日,21:30,411K,380K,418K,
2021年06月17日,21:30,412K,359K,375K,
2021年06月10日,21:30,376K,370K,405K,
2021年06月03日,21:30,385K,390K,405K,
2021年05月27日,21:30,406K,425K,444K,
2021年05月20日,21:30,444K,450K,478K,
2021年05月13日,21:30,473K,490K,507K,
2021年05月06日,21:30,498K,540K,590K,
2021年04月29日,21:30,553K,549K,566K,
2021年04月22日,21:30,547K,617K,586K,
2021年04月15日,21:30,576K,700K,769K,
2021年04月08日,21:30,744K,680K,728K,
2021年04月01日,21:30,719K,680K,658K,
2021年03月25日,21:30,684K,730K,781K,
2021年03月18日,21:30,770K,700K,725K,
2021年03月11日,22:30,712K,725K,754K,
2021年03月04日,22:30,745K,750K,736K,
2021年02月25日,22:30,730K,838K,841K,
2021年02月18日,22:30,861K,765K,848K,
2021年02月11日,22:30,793K,757K,812K,
2021年02月04日,22:30,779K,830K,812K,
2021年01月28日,22:30,847K,875K,914K,
2021年01月21日,22:30,900K,910K,926K,
2021年01月14日,22:30,965K,795K,784K,
2021年01月07日,22:30,787K,800K,790K,
2020年12月31日,22:30,787K,833K,806K,
2020年12月23日,22:30,803K,885K,892K,
2020年12月17日,22:30,885K,800K,862K,
2020年12月10日,22:30,853K,725K,716K,
2020年12月03日,22:30,712K,775K,787K,
2020年11月25日,22:30,778K,730K,748K,
2020年11月19日,22:30,742K,707K,711K,
2020年11月12日,22:30,709K,735K,757K,
2020年11月05日,22:30,751K,732K,758K,
2020年10月29日,21:30,751K,775K,791K,
2020年10月22日,21:30,787K,860K,842K,
2020年10月15日,21:30,898K,825K,845K,
2020年10月08日,21:30,840K,820K,849K,
2020年10月01日,21:30,837K,850K,873K,
2020年09月24日,21:30,870K,840K,866K,
2020年09月17日,21:30,860K,850K,893K,
2020年09月10日,21:30,884K,846K,884K,
2020年09月03日,21:30,881K,950K,"1,011K",
2020年08月27日,21:30,"1,006K","1,000K","1,104K",
2020年08月20日,21:30,"1,106K",925K,971K,
2020年08月13日,21:30,963K,"1,120K","1,191K",
2020年08月06日,21:30,"1,186K","1,415K","1,435K",
2020年07月30日,21:30,"1,434K","1,450K","1,422K",
2020年07月23日,21:30,"1,416K","1,300K","1,307K",
2020年07月16日,21:30,"1,300K","1,250K","1,310K",
2020年07月09日,21:30,"1,314K","1,375K","1,413K",
2020年07月02日,21:30,"1,427K","1,355K","1,482K",
2020年06月25日,21:30,"1,480K","1,300K","1,540K",
2020年06月18日,21:30,"1,508K","1,300K","1,566K",
2020年06月11日,21:30,"1,542K","1,550K","1,897K",
2020年06月04日,21:30,"1,877K","1,800K","2,126K",
2020年05月28日,21:30,"2,123K","2,100K","2,446K",
2020年05月21日,21:30,"2,438K","2,400K","2,687K",
2020年05月14日,21:30,"2,981K","2,500K","3,176K",
2020年05月07日,21:30,"3,169K","3,000K","3,846K",
2020年04月30日,21:30,"3,839K","3,500K","4,442K",
2020年04月23日,21:30,"4,427K","4,200K","5,237K",
2020年04月16日,21:30,"5,245K","5,105K","6,615K",
2020年04月09日,21:30,"6,606K","5,250K","6,867K",
2020年04月02日,21:30,"6,648K","3,500K","3,307K",
2020年03月26日,21:30,"3,283K","1,650K",282K,
2020年03月19日,21:30,281K,220K,211K,
2020年03月12日,21:30,211K,218K,215K,
2020年03月05日,22:30,216K,215K,219K,
2020年02月27日,22:30,219K,212K,211K,
2020年02月20日,22:30,210K,210K,206K,
2020年02月13日,22:30,205K,210K,203K,
2020年02月06日,22:30,202K,215K,217K,
2020年01月30日,22:30,216K,215K,223K,
2020年01月23日,22:30,211K,215K,205K,
2020年01月16日,22:30,204K,216K,214K,
2020年01月09日,22:30,214K,220K,223K,
2020年01月02日,22:30,222K,225K,224K,
2019年12月26日,22:30,222K,224K,235K,
2019年12月19日,22:30,234K,225K,252K,
2019年12月12日,22:30,252K,213K,203K,
2019年12月05日,22:30,203K,215K,213K,
2019年11月27日,22:30,213K,223K,228K,
2019年11月21日,22:30,227K,219K,227K,
2019年11月14日,22:30,225K,215K,211K,
