公表日時,時間,結果（%）
2023-10-12,21:30,0.3
2023-09-13,21:30,0.3
2023-08-10,21:30,0.2
2023-07-12,21:30,0.2
2023-06-13,21:30,0.4
2023-05-10,21:30,0.4
2023-04-12,21:30,0.4
2023-03-14,21:30,0.5
2023-02-14,22:30,0.4
2023-01-12,22:30,0.3
2022-12-13,22:30,0.2
2022-11-10,22:30,0.3
2022-10-13,21:30,0.6
2022-09-13,21:30,0.6
2022-08-10,21:30,0.3
2022-07-13,21:30,0.7
2022-06-10,21:30,0.6
2022-05-11,21:30,0.6
2022-04-12,21:30,0.3
2022-03-10,22:30,0.5
2022-02-10,22:30,0.6
2022-01-12,22:30,0.6
2021-12-10,22:30,0.5
2021-11-10,22:30,0.6
2021-10-13,21:30,0.2
2021-09-14,21:30,0.1
2021-08-11,21:30,0.3
2021-07-13,21:30,0.9
2021-06-10,21:30,0.7
2021-05-12,21:30,0.9
2021-04-13,21:30,0.3
2021-03-10,22:30,0.1
2021-02-10,22:30,0.0
2021-01-13,22:30,0.1
2020-12-10,22:30,0.2
2020-11-12,22:30,0.0
2020-10-13,21:30,0.2
2020-09-11,21:30,0.4
2020-08-12,21:30,0.6
2020-07-14,21:30,0.2
2020-06-10,21:30,-0.1
2020-05-12,21:30,-0.4
2020-04-10,21:30,-0.1
2020-03-11,21:30,0.2
2020-02-13,22:30,0.2
2020-01-14,22:30,0.1
2019-12-11,22:30,0.2
2019-11-13,22:30,0.2
2019-10-10,21:30,0.1
2019-09-12,21:30,0.3
2019-08-13,21:30,0.3
2019-07-11,21:30,0.3
2019-06-12,21:30,0.1
2019-05-10,21:30,0.1
2019-04-10,21:30,0.1
2019-03-12,21:30,0.1
2019-02-13,22:30,0.2
2019-01-11,22:30,0.2
2018-12-12,22:30,0.2
2018-11-14,22:30,0.2
2018-10-11,21:30,0.1
2018-09-13,21:30,0.1
2018-08-10,21:30,0.2
2018-07-12,21:30,0.2
2018-06-12,21:30,0.2
2018-05-10,21:30,0.1
2018-04-11,21:30,0.2
2018-03-13,21:30,0.2
2018-02-14,22:30,0.3
2018-01-12,22:30,0.3
2017-12-13,22:30,0.1
2017-11-15,22:30,0.2
2017-10-13,21:30,0.1
2017-09-14,21:30,0.2
2017-08-11,21:30,0.1
2017-07-14,21:30,0.1
2017-06-14,21:30,0.1
2017-05-12,21:30,0.1
2017-04-14,21:30,-0.1
2017-03-15,21:30,0.2
2017-02-15,22:30,0.3
2017-01-18,22:30,0.2
2016-12-15,22:30,0.2
2016-11-17,22:30,0.1
2016-10-18,21:30,0.1
2016-09-16,21:30,0.3
2016-08-16,21:30,0.1
2016-07-15,21:30,0.2
