公表日時,時間,結果
2023-11-02,21:30,217000
2023-10-26,21:30,210000
2023-10-19,21:30,198000
2023-10-12,21:30,209000
2023-10-05,21:30,207000
2023-09-28,21:30,204000
2023-09-21,21:30,201000
2023-09-14,21:30,220000
2023-09-07,21:30,216000
2023-08-31,21:30,228000
2023-08-24,21:30,230000
2023-08-17,21:30,239000
2023-08-10,21:30,248000
2023-08-03,21:30,227000
2023-07-27,21:30,221000
2023-07-20,21:30,228000
2023-07-13,21:30,237000
2023-07-06,21:30,248000
2023-06-29,21:30,239000
2023-06-22,21:30,264000
2023-06-15,21:30,262000
2023-06-08,21:30,261000
2023-06-01,21:30,232000
2023-05-25,21:30,229000
2023-05-18,21:30,242000
2023-05-11,21:30,264000
2023-05-04,21:30,242000
2023-04-27,21:30,230000
2023-04-20,21:30,245000
2023-04-13,21:30,239000
2023-04-06,21:30,228000
2023-03-30,21:30,198000
2023-03-23,21:30,191000
2023-03-16,21:30,192000
2023-03-09,22:30,211000
2023-03-02,22:30,190000
2023-02-23,22:30,192000
2023-02-16,22:30,194000
2023-02-09,22:30,196000
2023-02-02,22:30,183000
2023-01-26,22:30,186000
2023-01-19,22:30,190000
2023-01-12,22:30,205000
2023-01-05,22:30,204000
2022-12-29,22:30,225000
2022-12-22,22:30,216000
2022-12-15,22:30,211000
2022-12-08,22:30,230000
2022-12-01,22:30,225000
2022-11-23,22:30,240000
2022-11-17,22:30,222000
2022-11-10,22:30,225000
2022-11-03,21:30,217000
2022-10-27,21:30,217000
2022-10-20,21:30,214000
2022-10-13,21:30,228000
2022-10-06,21:30,219000
2022-09-29,21:30,193000
2022-09-22,21:30,213000
2022-09-15,21:30,213000
2022-09-08,21:30,222000
2022-09-01,21:30,232000
2022-08-25,21:30,243000
2022-08-18,21:30,250000
2022-08-11,21:30,262000
2022-08-04,21:30,260000
2022-07-28,21:30,256000
2022-07-21,21:30,251000
2022-07-14,21:30,244000
2022-07-07,21:30,235000
2022-06-30,21:30,231000
2022-06-23,21:30,229000
2022-06-16,21:30,229000
2022-06-09,21:30,229000
2022-06-02,21:30,200000
2022-05-26,21:30,210000
2022-05-19,21:30,218000
2022-05-12,21:30,203000
2022-05-05,21:30,200000
2022-04-28,21:30,180000
2022-04-21,21:30,184000
2022-04-14,21:30,185000
2022-04-07,21:30,166000
2022-03-31,21:30,202000
2022-03-24,21:30,187000
2022-03-17,21:30,214000
2022-03-10,22:30,227000
2022-03-03,22:30,215000
2022-02-24,22:30,232000
2022-02-17,22:30,248000
2022-02-10,22:30,223000
2022-02-03,22:30,238000
2022-01-27,22:30,260000
2022-01-20,22:30,286000
2022-01-13,22:30,230000
2022-01-06,22:30,207000
2021-12-30,22:30,198000
2021-12-23,22:30,205000
2021-12-16,22:30,206000
2021-12-09,22:30,184000
2021-12-02,22:30,222000
2021-11-24,22:30,199000
2021-11-18,22:30,268000
2021-11-10,22:30,267000
2021-11-04,21:30,269000
2021-10-28,21:30,281000
2021-10-21,21:30,290000
2021-10-14,21:30,293000
2021-10-07,21:30,326000
2021-09-30,21:30,362000
2021-09-23,21:30,351000
2021-09-16,21:30,332000
2021-09-09,21:30,310000
2021-09-02,21:30,340000
2021-08-26,21:30,353000
2021-08-19,21:30,348000
2021-08-12,21:30,375000
2021-08-05,21:30,385000
2021-07-29,21:30,400000
2021-07-22,21:30,419000
2021-07-15,21:30,360000
2021-07-08,21:30,373000
2021-07-01,21:30,364000
2021-06-24,21:30,411000
2021-06-17,21:30,412000
2021-06-10,21:30,376000
2021-06-03,21:30,385000
2021-05-27,21:30,406000
2021-05-20,21:30,444000
2021-05-13,21:30,473000
2021-05-06,21:30,498000
2021-04-29,21:30,553000
2021-04-22,21:30,547000
2021-04-15,21:30,576000
2021-04-08,21:30,744000
