公表日時,時間,結果
2023-10-27,23:00,63.8
2023-10-13,23:00,63.0
2023-09-29,23:00,68.1
2023-09-15,23:00,67.7
2023-08-25,23:00,69.5
2023-08-11,23:00,71.2
2023-07-28,23:00,71.6
2023-07-14,23:00,72.6
2023-06-30,23:00,64.4
2023-06-16,23:00,63.9
2023-05-26,23:00,59.2
2023-05-12,23:00,57.7
2023-04-28,23:00,63.5
2023-04-14,23:00,63.5
2023-03-31,23:00,62.0
2023-03-17,23:00,63.4
2023-02-25,00:00,67.0
2023-02-11,00:00,66.4
2023-01-28,00:00,64.9
2023-01-14,00:00,64.6
2022-12-24,00:00,59.7
2022-12-10,00:00,59.1
2022-11-24,00:00,56.8
2022-11-12,00:00,54.7
2022-10-28,23:00,59.9
2022-10-14,23:00,59.8
2022-09-30,23:00,58.6
2022-09-16,23:00,59.5
2022-08-26,23:00,58.2
2022-08-12,23:00,55.1
2022-07-29,23:00,51.5
2022-07-15,23:00,51.1
2022-06-24,23:00,50.0
2022-06-10,23:00,50.2
2022-05-27,23:00,58.4
2022-05-13,23:00,59.1
2022-04-29,23:00,65.2
2022-04-14,23:00,65.7
2022-03-25,23:00,59.4
2022-03-12,00:00,59.7
2022-02-26,00:00,62.8
2022-02-12,00:00,61.7
2022-01-29,00:00,67.2
2022-01-15,00:00,68.8
2021-12-24,00:00,70.6
2021-12-11,00:00,70.4
2021-11-25,00:00,67.4
2021-11-13,00:00,66.8
2021-10-29,23:00,71.7
2021-10-15,23:00,71.4
2021-10-01,23:00,72.8
2021-09-17,23:00,71.0
2021-08-27,23:00,70.3
2021-08-13,23:00,70.2
2021-07-30,23:00,81.2
2021-07-16,23:00,80.8
2021-06-25,23:00,85.5
2021-06-11,23:00,86.4
2021-05-28,23:00,82.9
2021-05-14,23:00,82.8
2021-04-30,23:00,88.3
2021-04-16,23:00,86.5
2021-03-26,23:00,84.9
2021-03-13,00:00,83.0
2021-02-27,00:00,76.8
2021-02-13,00:00,76.2
2021-01-30,00:00,79.0
2021-01-16,00:00,79.2
2020-12-24,00:00,80.7
2020-12-12,00:00,81.4
2020-11-26,00:00,76.9
2020-11-14,00:00,77.0
2020-10-30,23:00,81.8
2020-10-16,23:00,81.2
2020-10-02,23:00,80.4
2020-09-18,23:00,78.9
2020-08-28,23:00,74.1
2020-08-14,23:00,72.8
2020-07-31,23:00,72.5
2020-07-17,23:00,73.2
2020-06-26,23:00,78.1
2020-06-12,23:00,78.9
2020-05-29,23:00,72.3
2020-05-15,23:00,73.7
2020-04-24,23:00,71.8
2020-04-09,23:00,71.0
2020-03-27,23:00,89.1
2020-03-13,23:00,95.9
2020-02-29,00:00,101.0
2020-02-15,00:00,100.9
2020-02-01,00:00,99.8
2020-01-18,00:00,99.1
2019-12-21,00:00,99.3
2019-12-07,00:00,99.2
2019-11-23,00:00,96.8
2019-11-09,00:00,95.7
2019-10-25,23:00,95.5
2019-10-11,23:00,96.0
2019-09-27,23:00,93.2
2019-09-13,23:00,92.0
2019-08-30,23:00,89.8
2019-08-16,23:00,92.1
2019-08-02,23:00,98.4
2019-07-19,23:00,98.4
2019-06-28,23:00,98.2
2019-06-14,23:00,97.9
2019-05-31,23:00,100.0
2019-05-17,23:00,102.4
2019-04-26,23:00,97.2
2019-04-12,23:00,96.9
2019-03-29,23:00,98.4
2019-03-15,23:00,97.8
2019-03-02,00:00,93.8
2019-02-16,00:00,95.5
2019-02-02,00:00,91.2
2019-01-19,00:00,90.7
2018-12-22,00:00,98.3
2018-12-08,00:00,97.5
2018-11-22,00:00,97.5
2018-11-10,00:00,98.3
2018-10-26,23:00,98.6
2018-10-12,23:00,99.0
2018-09-28,23:00,100.1
2018-09-14,23:00,100.8
2018-08-31,23:00,96.2
2018-08-17,23:00,95.3
2018-07-27,23:00,97.9
2018-07-13,23:00,97.1
2018-06-29,23:00,98.2
2018-06-15,23:00,99.3
2018-05-25,23:00,98.0
2018-05-11,23:00,98.8
2018-04-27,23:00,98.8
2018-04-13,23:00,97.8
2018-03-29,23:00,101.4
2018-03-16,23:00,102.0
2018-03-03,00:00,99.7
2018-02-17,00:00,99.9
2018-02-03,00:00,95.7
2018-01-20,00:00,94.4
2017-12-23,00:00,95.9
2017-12-09,00:00,96.8
2017-11-23,00:00,98.5
2017-11-11,00:00,97.8
2017-10-27,23:00,100.7
2017-10-13,23:00,101.1
2017-09-29,23:00,95.1
2017-09-15,23:00,95.3
2017-09-01,23:00,96.8
2017-08-18,23:00,97.6
2017-07-28,23:00,93.4
2017-07-14,23:00,93.1
2017-06-30,23:00,95.1
2017-06-16,23:00,94.5
2017-05-26,23:00,97.1
2017-05-12,23:00,97.7
2017-04-28,23:00,97.0
2017-04-13,23:00,98.0
2017-03-31,23:00,96.9
2017-03-17,23:00,97.6
2017-02-25,00:00,96.3
2017-02-11,00:00,95.7
2017-01-28,00:00,98.5
2017-01-14,00:00,98.1
2016-12-24,00:00,98.2
2016-12-10,00:00,98.0
2016-11-24,00:00,93.8
2016-11-12,00:00,91.6
2016-10-28,23:00,87.2
2016-10-14,23:00,87.9
2016-09-30,23:00,91.2
2016-09-16,23:00,89.8
2016-08-26,23:00,89.8
2016-08-12,23:00,90.4
2016-07-29,23:00,90.0
2016-07-15,23:00,89.5
2016-06-24,23:00,93.5
2016-06-10,23:00,94.3
2016-05-27,23:00,94.7
2016-05-13,23:00,95.8
2016-04-29,23:00,89.0
2016-04-15,23:00,89.7
2016-04-01,23:00,91.0
2016-03-18,23:00,90.0
2016-02-27,00:00,91.7
2016-02-12,23:55,90.7
2016-01-30,00:00,92.0
2016-01-15,23:55,93.3
2015-12-24,00:00,92.6
2015-12-12,00:00,91.8
2015-11-26,00:00,91.3
2015-11-14,00:00,93.1
2015-10-30,23:00,90.0
2015-10-16,23:00,92.1
2015-09-25,23:00,87.2
2015-09-11,23:00,85.7
2015-08-28,23:00,91.9
2015-08-14,23:00,92.9
2015-07-31,23:00,93.1
2015-07-17,23:00,93.3
2015-06-26,23:00,96.1
2015-06-12,23:00,94.6
2015-05-29,23:00,90.7
2015-05-15,23:00,88.6
2015-05-01,23:00,95.9
2015-04-17,23:00,95.9
2015-03-27,23:00,93.0
2015-03-13,23:00,91.2
2015-02-28,00:00,95.4
2015-02-14,00:00,93.6
2015-01-31,00:00,98.1
2015-01-17,00:00,98.2
2014-12-23,23:55,93.6
2014-12-12,23:55,93.8
2014-11-26,23:55,88.8
2014-11-14,23:55,89.4
2014-10-31,22:55,86.9
2014-10-17,22:55,86.4
2014-09-26,22:55,84.6
2014-09-12,22:55,84.6
2014-08-29,22:55,82.5
2014-08-15,22:55,79.2
2014-08-01,22:55,81.8
2014-07-18,22:55,81.3
2014-06-27,22:55,82.5
2014-06-13,22:55,81.2
2014-05-30,22:55,81.9
2014-05-16,22:55,81.8
2014-04-25,22:55,84.1
2014-04-11,22:55,82.6
2014-03-28,22:55,80.0
2014-03-14,22:55,79.9
2014-02-28,23:55,81.6
2014-02-14,23:55,81.2
2014-01-31,23:55,81.2
2014-01-17,23:55,80.4
2013-12-23,23:55,82.5
2013-12-06,23:55,82.5
2013-11-27,23:55,75.1
2013-11-08,23:55,72.0
2013-10-25,22:55,73.2
2013-10-11,22:55,75.2
2013-09-27,22:55,77.5
2013-09-13,22:55,76.8
2013-08-30,22:55,82.1
2013-08-16,22:55,80.0
2013-07-26,22:55,85.1
2013-07-12,22:55,83.9
2013-06-28,22:55,84.1
2013-06-14,22:55,82.7
2013-05-31,22:55,84.5
2013-05-17,22:55,83.7
2013-04-26,22:55,76.4
2013-04-12,22:55,72.3
2013-03-29,22:55,78.6
2013-03-15,22:55,71.8
2013-03-01,23:55,77.6
2013-02-15,23:55,76.3
2013-02-01,23:55,73.8
2013-01-18,23:55,71.3
2012-12-21,23:55,72.9
2012-12-07,23:55,74.5
2012-11-21,23:55,82.7
2012-11-09,23:55,84.9
2012-10-26,22:55,82.6
2012-10-12,22:55,83.1
2012-09-28,22:55,78.3
2012-09-14,22:55,79.2
2012-08-31,22:55,74.3
2012-08-17,22:55,73.6
2012-07-27,22:55,72.3
2012-07-13,22:55,72.0
2012-06-29,22:55,73.2
2012-06-15,22:55,74.1
2012-05-25,22:55,79.3
2012-05-11,22:55,77.8
2012-04-27,22:55,76.4
2012-04-13,22:55,75.7
2012-03-30,22:55,76.2
2012-03-16,22:55,74.3
2012-02-24,23:55,75.3
2012-02-10,23:55,72.5
2012-01-27,23:55,75.0
2012-01-13,23:55,74.0
2011-12-22,23:55,69.9
2011-12-09,23:55,67.7
2011-11-23,23:55,64.1
2011-11-11,23:55,64.2
2011-10-28,22:55,60.9
2011-10-14,22:55,57.5
2011-09-30,22:55,59.4
2011-09-16,22:55,57.8
2011-08-26,22:55,55.7
2011-08-12,22:55,54.9
2011-07-29,22:55,63.7
2011-07-15,22:55,63.8
2011-07-01,22:55,71.5
2011-06-17,22:55,71.8
2011-05-27,22:55,74.3
2011-05-13,22:55,72.4
2011-04-29,22:55,69.8
2011-04-15,22:55,69.6
2011-03-25,22:55,67.5
2011-03-11,23:55,68.2
2011-02-25,23:55,77.5
2011-02-11,23:55,75.1
2011-01-28,23:55,74.2
2011-01-14,23:55,72.7
2010-12-23,23:55,74.5
2010-12-10,23:55,74.2
2010-11-24,23:55,71.6
2010-11-12,23:55,69.3
2010-10-29,22:55,67.7
2010-10-15,22:55,67.9
2010-10-01,22:55,68.2
2010-09-17,22:55,66.6
2010-08-27,22:55,68.9
2010-08-13,22:55,69.6
2010-07-30,22:55,67.8
2010-07-16,22:55,66.5
2010-06-25,22:55,76.0
2010-06-11,22:55,75.5
2010-05-28,22:55,73.6
2010-05-14,22:55,73.3
2010-04-30,22:55,72.2
2010-04-16,22:55,69.5
2010-03-26,22:55,73.6
2010-03-12,23:55,72.5
2010-02-26,23:55,73.6
2010-02-12,23:55,73.7
2010-01-29,23:55,74.4
2010-01-15,23:55,72.8
2009-12-23,23:55,72.5
2009-12-11,23:55,73.4
