公表日時,時間,結果（%）
2023-10-17,21:30,0.7
2023-09-14,21:30,0.6
2023-08-15,21:30,0.7
2023-07-18,21:30,0.2
2023-06-15,21:30,0.3
2023-05-16,21:30,0.4
2023-04-14,21:30,-1.0
2023-03-15,21:30,-0.4
2023-02-15,22:30,3.0
2023-01-18,22:30,-1.1
2022-12-15,22:30,-0.6
2022-11-16,22:30,1.3
2022-10-14,21:30,0.0
2022-09-15,21:30,0.3
2022-08-17,21:30,0.0
2022-07-15,21:30,1.0
2022-06-15,21:30,-0.3
2022-05-17,21:30,0.9
2022-04-14,21:30,0.5
2022-03-16,21:30,0.3
2022-02-16,22:30,3.8
2022-01-14,22:30,-1.9
2021-12-15,22:30,0.3
2021-11-16,22:30,1.7
2021-10-15,21:30,0.7
2021-09-16,21:30,0.7
2021-08-17,21:30,-1.1
2021-07-16,21:30,0.6
2021-06-15,21:30,-1.3
2021-05-14,21:30,0.0
2021-04-15,21:30,9.8
2021-03-16,21:30,-3.0
2021-02-17,22:30,5.3
2021-01-15,22:30,-0.7
2020-12-16,22:30,-1.1
2020-11-17,22:30,0.3
2020-10-16,21:30,1.9
2020-09-16,21:30,0.6
2020-08-14,21:30,1.2
2020-07-16,21:30,7.5
2020-06-16,21:30,17.7
2020-05-15,21:30,-16.4
2020-04-15,21:30,-8.7
2020-03-17,21:30,-0.5
2020-02-14,22:30,0.3
2020-01-16,22:30,0.3
2019-12-13,22:30,0.2
2019-11-15,22:30,0.3
2019-10-16,21:30,-0.3
2019-09-13,21:30,0.4
2019-08-15,21:30,0.7
2019-07-16,21:30,0.4
2019-06-14,21:30,0.5
2019-05-15,21:30,-0.2
2019-04-18,21:30,1.6
2019-04-01,21:30,-0.2
2019-03-11,21:30,0.2
2019-02-14,22:30,-1.2
2018-12-14,22:30,0.2
2018-11-15,22:30,0.8
2018-10-15,21:30,0.1
2018-09-14,21:30,0.1
2018-08-15,21:30,0.5
2018-07-16,21:30,0.5
2018-06-14,21:30,0.8
2018-05-15,21:30,0.3
2018-04-16,21:30,0.6
2018-03-14,21:30,-0.1
2018-02-14,22:30,-0.3
2018-01-12,22:30,0.4
2017-12-14,22:30,0.8
2017-11-15,22:30,0.2
2017-10-13,21:30,1.6
2017-09-15,21:30,-0.2
2017-08-15,21:30,0.6
