place_id,name,lat,lng,rating,review_count,company
ChIJl-CYBOSPGGARGZCo0zYdJrI,FIT-EASY,35.7420086,139.7958138,4.3,20,FIT-EASY
ChIJ4dn2l7yLGGARKUbkG4ik6F4,Anytime Fitness Center Mita,35.6545766,139.7435389,3.7,90,Anytime Fitness
ChIJzYgLEXCNGGAR99VwT9IH_PM,chocoZAP Ikebukuronishiguchi,35.7328385,139.7082637,3.7,91,chocoZAP
ChIJS_1yIumLGGARohSjKOOPq9s,FIT-EASY Ota Nagahara-ten,35.60162930000001,139.698596,3.6,34,FIT-EASY
ChIJq6pa1ECLGGARpvvV6orGLu8,Anytime Fitness Ebisu,35.64603750000001,139.7066787,3.6,144,Anytime Fitness
ChIJMaRkJPVhGGAR-zDaXse1nIw,chocoZAP,35.5296891,139.7058892,4.0,39,chocoZAP
ChIJFzaV4x6JGGARvxEiQlQoJfA,Sumatofitto 100 Suitengumaeten,35.6828657,139.7865854,4.6,72,FIT-EASY
ChIJ4dn2l7yLGGARKUbkG4ik6F4,Anytime Fitness Center Mita,35.6545766,139.7435389,3.7,90,Anytime Fitness
ChIJzYgLEXCNGGAR99VwT9IH_PM,chocoZAP Ikebukuronishiguchi,35.7328385,139.7082637,3.7,91,chocoZAP
ChIJlQQx7HnnGGARnwiYn9obXGs,フィットイージー花小金井店,35.7369852,139.5175477,4.8,222,FIT-EASY
ChIJy9cdqOPtGGARdFTYDNai2bY,Anytime Fitness Kamiogi,35.7092487,139.6126727,4.7,212,Anytime Fitness
ChIJnbfXNxnxGGARgYbCjtnHoxo,chocoZAP,35.6572831,139.5300131,3.7,45,chocoZAP
ChIJcWsOWGbtGGARH_YT8qykeRY,フィットイージー 練馬中村橋店,35.7384556,139.6388123,4.8,204,FIT-EASY
ChIJy9cdqOPtGGARdFTYDNai2bY,Anytime Fitness Kamiogi,35.7092487,139.6126727,4.7,212,Anytime Fitness
ChIJzYgLEXCNGGAR99VwT9IH_PM,chocoZAP Ikebukuronishiguchi,35.7328385,139.7082637,3.7,91,chocoZAP
ChIJZcZloNiNGGARn-uD-yYMRlo,ANYTIME FITNESS Nihonbashi Bakurochō,35.6954395,139.7822378,3.3,106,FIT-EASY
ChIJ4dn2l7yLGGARKUbkG4ik6F4,Anytime Fitness Center Mita,35.6545766,139.7435389,3.7,90,Anytime Fitness
ChIJzYgLEXCNGGAR99VwT9IH_PM,chocoZAP Ikebukuronishiguchi,35.7328385,139.7082637,3.7,91,chocoZAP
ChIJBZEYHWNhGGARUO3vrMIeltE,FIT-EASY Nakarokugo Daiichi-Keihin,35.541409,139.7090679,3.9,36,FIT-EASY
ChIJbwDlxw5cGGAR893v0VDNs60,Anytime Fitness,35.4659486,139.6152826,4.0,142,Anytime Fitness
ChIJMaRkJPVhGGAR-zDaXse1nIw,chocoZAP,35.5296891,139.7058892,4.0,39,chocoZAP
ChIJU_bUWlmNGGAR71ro_WE064A,ANYTIME FITNESS Ojima,35.6891819,139.8305008,3.4,91,FIT-EASY
ChIJJT7T6P6MGGARgjcr7JOLwHs,Anytime Fitness Kagurazaka,35.7045436,139.7286522,3.6,71,Anytime Fitness
ChIJwel6CACNGGARBCOnegpa7Yc,chocoZAP 本郷一丁目,35.704677,139.7550372,5.0,1,chocoZAP
ChIJfdALaQVdGGAR8hY7V5C4M9E,FIT-EASY,35.4457583,139.6373633,4.1,34,FIT-EASY
ChIJbwDlxw5cGGAR893v0VDNs60,Anytime Fitness,35.4659486,139.6152826,4.0,142,Anytime Fitness
