項目	値
事業の内容	 ３ 【事業の内容】当社は、注文住宅の企画、設計、販売、施工、監理を主な事業内容とする戸建住宅事業を行っております。当社は、主要顧客層を25歳から44歳の第一次取得者層と設定し、これらのお客様に対して「戸建注文住宅」、「都市型建売住宅」及び「無印良品の家」を提供しております。なお、お客様と接することの多い営業、コーディネーターをはじめ、当社従業員の約半数が女性ということもあり、女性目線での実生活にもとづいた提案を行っております。また、戸建住宅事業にする不動産販売事業、増改築・リフォーム事業を行っております。当社が提供する「戸建注文住宅」、「都市型建売住宅」及び「無印良品の家」の特長は以下のとおりであります。なお、当社は戸建住宅事業の単一セグメントであるため、セグメント別の記載を省略しております。(1) 戸建注文住宅「戸建注文住宅」は、集客を常設住宅展示場だけに頼らず、独自のＷｅｂ戦略やＳＮＳを活用してＣＰＡ(Cost Per Actionの略称で、集客単価のこと)を抑えることにより、低価格で高付加価値のある住まいを提供しております。常設住宅展示場の代替施策としまして、「住宅モニター制度」と「長期見学用住宅」を設けております。「住宅モニター制度」とは、当社が建築した「実際に人が暮らす住宅」を、お客様へ引渡す前に２週間程度当社で使用し、これから住宅の購入をお考えのお客様に実生活目線で見学していただく制度であります。一方「長期見学用住宅」とは、集客及び受注を強化したい地域や新規営業展開地域に戦略的に住宅を建設し、１年程度見学会場として活用した後、建売住宅として販売するものであります。これらの施策は、地域や時期を限定されない戦略的かつ機動的な集客を可能とし、かつ「長期見学用住宅」を基点とした同心円状の地域シェア獲得の実現を目指すもので、常設住宅展示場が陥りやすい時間経過による訴求力低下の抑制に寄与すると考えております。なお2016年の熊本地震後、復興需要における受注機会拡大のため、熊本県におきまして常設住宅展示場の出店を開始しております。また、当社は土地情報ポータルサイト「ｅ土地ｎｅｔ」、平屋サイト「くまもと平屋ナビ」、地盤診断サイト「地盤チェックナビ」などの複数のサイトを運営しており、これらのサイトから多角的に集客を図っております。コーポレートサイトにおきましては、インターネット展示場を設けており、「住まいを創る」を形にする第一歩として、お客様のイメージを簡単に形にできる環境を提供しております。さらに、お客様に住宅を提供する上で、イメージを描きやすくしていただくため、以下４つの住宅スタイルを提案しております。 住宅スタイルコンセプトＢＬＡＮＣＯフレンチの風が薫るレトロカントリースタイルＺ・Ｅ・Ｎ「モダン」と「和」を融合させた新感覚のコンテンポラリースタイルＧＬＡＳＳＡ高級ホテルの上質な寛ぎを届けるラグジュアリーモダンスタイルｐａｌｅｔｔｅシンプルにうつくしく暮らしに合わせて変わるスタイル  (2) 都市型建売住宅都市生活の利便性を重視するお客様向けに、コンパクトかつスタイリッシュな建売住宅「アイフォート」を販売しております。駐車場２台分を確保し、庭部分のスペースをカットすることで土地代を削減したほか、間取りやプランを標準化することで建築コストをカットするなど一切の無駄を省くことで、家賃並みの支払いで購入できる商品としました。主に、交通利便性や学校区などの立地を重視するお客様へご提供しております。  (3) 無印良品の家当社は、株式会社MUJI HOUSEと「無印良品の家ネットワーク」契約を締結し、熊本県下における「無印良品の家」の営業権を取得しております。「無印良品の家」は、スケルトンインフィル(※１)という考え方により「永く使える、変えられる」をコンセプトに、長期優良住宅認定制度(※２)に標準で対応しているほか、ライフスタイルの変化や家族の成長に応じて、自由に、簡単に、安全に、間取りを変更することができる「可変性のある住まい」として、３つのコンセプトを提供しております。また、「無印良品の家」は、株式会社MUJI HOUSEが開設する専用サイト並びに株式会社良品計画が発行する「無印良品の家メールニュース」等により、認知拡大を図っております。(※１)　スケルトンインフィル建物を「スケルトン(構造体)」と「インフィル(内装・設備)」に分けて設計することを指し、壁を建物の支えとしない頑強なフレーム構造を用いた工法です。これにより吹き抜けのある気持ちの良い一室空間としてのびのびとご利用いただくことができます。(※２)　長期優良住宅認定制度長期優良住宅には、認定基準が設けられています。「劣化対策」、「耐震性」、「維持管理・更新の容易性」、「可変性」、「バリアフリー性」、「省エネルギー性」、「居住環境」、「住戸面積」及び「維持保全計画」の９つの観点から、一定の基準に適合した住宅だけが長期優良住宅として認定されます。 〔事業系統図〕 
経営方針、経営環境及び対処すべき課題等	１ 【経営方針、経営環境及び対処すべき課題等】住宅業界におきましては、低金利の住宅ローンや政府の住宅取得支援策等は継続しておりますが、新設着工数は弱含みで推移しております。一方、当社の主要販売エリアである熊本県においては新設着工数が２年連続で増加を続けるなど、熊本地震の復興に向けた動きが活発化しております。しかしながら、中長期的にみると少子高齢化による世帯数の減少や品質向上による住宅の長寿命化、多様化するライフスタイルを反映した住宅取得意識の変化などにより、新設着工戸数は緩やかな減少傾向が継続することが予想され、企業間の競争は一段と激化すると思われます。このような事業環境のもと、市場環境の変化や多様化するお客様のニーズにいち早く対応し、より満足いただける戸建住宅事業を推進するために、以下の課題に取り組んでまいります。(1) 熊本地震における復興支援当社は総力を挙げて熊本地震における復興支援に貢献してまいります。低価格での平屋の企画・販売をはじめ、二世帯住宅のご提案、立地重視のコンパクトな住まいなど、そのニーズは多岐にわたります。建設用地のご提案を含め、迅速かつ柔軟な対応に努めてまいります。(2) 少子高齢化による市場縮小への対応国立社会保障・人口問題研究所の公表する「日本の世帯数の将来推計」によると、少子高齢化により国内の世帯数は2019年をピークに減少に転じると予想されており、人口・世帯数の減少が今後の住宅着工戸数に大きな影響を与えると考えられます。このように住宅需要の減少が予測される中、当社はさらなる企業成長を図るため、従来の熊本県北部及び福岡県大牟田市を中心とした地域展開に加え、熊本県都市部をはじめとした熊本県全域、福岡県、佐賀県等へ営業地域の拡大に努めてまいります。また、都市部において顧客層の拡大を図るため、都市部向け商品の販売に注力してまいります。(3) コンプライアンス体制の強化当社の事業は、建築基準法をはじめ、建設業法、都市計画法、住宅の品質確保の促進等に関する法律、建築士法、宅地建物取引業法、個人情報保護法、労働安全衛生法、消費者契約法、景品表示法など様々な法律・法令に関わっております。当社はこれらの法令を遵守し、法的責務を全うするため、社内規程・マニュアルの整備を適宜行うとともに、従業員の研修・勉強会等を通じて意識の向上に努めるなど、コンプライアンス体制の強化に取り組んでまいります。(4) 人材の確保と育成上記の課題を克服するために優秀な人材を継続的に確保し、育成することが重要であると認識しております。今後、研修・育成の充実に取り組み、組織を構成する一人ひとりの業務に対するレベルアップを図るとともに、当社の経営理念及び役職員の行動規範を理解した責任ある人材の育成を行います。(5) 単一戸建事業からの脱皮今後は単一戸建事業から脱皮し、様々な暮らしを提案する「生活創造企業」として取り組んでまいります。主に、今後も右肩上がりの成長市場として期待できる「木造非住宅市場」へ参入し、老人ホームの建設や、投資用不動産の建設及び販売などを行うことで事業領域の拡大に注力してまいります。(6) 消費増税への対応2019年10月に計画されている10％への消費増税に備え、お客様の多様化するニーズに対応すべく、営業エリア拡大を行うとともに、建設用地の仕入れを強化してまいります。 
事業等のリスク	２ 【事業等のリスク】当社の事業展開上のリスク要因となり、かつ投資者の判断に重要な影響を及ぼす可能性がある主な事項は、次のとおりであります。いずれも当社の判断により積極的に開示するものであり、一部リスク情報に該当しない、または当社が必ずしもリスクとして認識していない事項も含まれております。なお、将来に関する事項については、当事業年度末現在における当社独自の判断によるものであります。 (1) 経営成績の変動リスク①　営業地域の限定について当社は熊本県、福岡県及び佐賀県の一部地域において事業展開をしております。そのため当該地域の経済状況、金利動向、地価の動向、住宅需給の動向、雇用情勢等が、当社の業績等に影響を及ぼす可能性があります。 ②　業績の季節的変動について当社が行う戸建住宅事業は、年末及び当社事業年度末に引渡しが集中する傾向にあります。そのため当社では、12月、６月に業績が偏重する可能性があります。当社の各四半期会計期間別の業績推移は、次のとおりであります。 項目2019年６月期第１四半期(2018年７月～９月)2019年６月期第２四半期(2018年10月～12月)2019年６月期第３四半期(2019年１月～３月)2019年６月期第４四半期(2019年４月～６月)通期計金額(千円)構成比(％)金額(千円)構成比(％)金額(千円)構成比(％)金額(千円)構成比(％)金額(千円)構成比(％)売上高1,149,40517.42,036,73830.91,318,75720.02,092,32231.76,597,223100.0営業利益10,5602.0269,91750.723,6074.4228,32142.9532,407100.0  ③　外注先の確保について当社は、住宅の建築工事を外部業者に発注しております。外注先は、その経営状態、技術力、評判及び反社会的勢力該当の有無などを調査して選定しております。今後、営業地域の拡大や受注件数の増加により、外注先を適時に確保できなかった場合、または外注先の倒産等に伴う代替業者との調整による工事遅延等が発生した場合は、当社の業績等に影響を及ぼす可能性があります。 ④　原材料・資材価格の高騰について当社は高額になりがちな注文住宅を、お客様にとって魅力ある価格で提供するため、原材料・資材の仕入先を複数確保し、仕入価格の抑制に努めております。しかしながら、原材料・資材の需要増加、または価格の高騰に伴い、それらの仕入価格が上昇した場合は、当社の業績等に影響を及ぼす可能性があります。 ⑤　労働災害について当社は建築工事現場では、労働災害の防止や労働者の安全と健康管理のため、労働安全衛生法等に則り安全衛生体制の整備、強化を推進しております。具体的には、社内に安全衛生委員会を設置し、日常的な安全教育等の啓蒙活動を実施するほか、建築部工務課による安全パトロールの実施等、事故を未然に防止するための安全管理を徹底しております。しかしながら、何らかの事由により重大な労働災害が発生した場合、当社の労働安全衛生管理体制に対しての信用が損なわれ、受注活動等に制約を受けるなど、当社の事業展開、財政状態及び経営成績に影響を及ぼす可能性があります。 ⑥　在庫について当社は、開発用地の仕入れ、物件の早期販売に取り組んでおります。しかしながら、急激な景気の悪化、金利の上昇、不動産関連税制の改廃の影響により、販売が計画どおりに進まなかった場合には、完成在庫が滞留し、当社の業績等に影響を及ぼす可能性があります。また、「棚卸資産の評価に関する会計基準」(企業会計基準第９号　平成20年９月26日)の適用により、時価が取得原価を下回った販売用不動産、仕掛販売用不動産の評価損が計上された場合、当社の業績等に影響を及ぼす可能性があります。 ⑦　開発用地の仕入れについて当社は、主に熊本県で用地を取得しております。同地域で競業他社との用地取得競争が激化した場合、同地域において優良な用地を計画どおりに取得できなかった場合、当社の業績等に影響を及ぼす可能性があります。 ⑧　顧客の住宅ローン契約について当社は、顧客が円滑に当社住宅を購入いただけるように、住宅ローンの申し込みに関してサポートを行っております。このサポートの趣旨は、住宅ローン審査のための複雑な申込書類についての作成支援のほか、住宅ローン実行後に、何らかの不正や不備が発生し、資金使途抵触等の住宅ローン契約違反を防止するものであります。当社では、営業部において顧客担当者とは別の専門担当者が住宅ローン申し込みにかかる金融機関への提出書類についてのチェックを行っております。また、内部監査室において定期的に、金融機関への提出書類に偽造等の不正や不備が発生していないことを監査しております。また、当社は、殆どの受注案件において、債権保全と顧客利便性向上を目的として、住宅ローン実行資金を代理受領（注）しておりますが、工事請負契約の軽微な変更等により顧客への返金が生じる場合があります。そこで、当社は、当該返金が生じた場合は顧客または当社から金融機関に報告のうえ、金融機関の指示を仰ぎ、一部繰上返済等の手続きを取る旨の確認書を顧客から受領しております。また、当社は、代理受領を利用した全受注案件について、当該返金明細を整備・保管の上、金融機関からの照会に常時対応できるようにしております。以上のように、当社は、顧客が住宅ローン契約違反とならないように万全の体制を確保しております。また、過去において、当社顧客が金融機関との住宅ローン契約違反になったことはありません。しかしながら、当社の取り組みが奏功せず、万一、何らかの理由で、顧客が住宅ローン契約違反となった場合は、期限の利益喪失等により金融機関が顧客へ全額返済を求めるリスクがあります。その際、顧客は購入した住宅を売却する等の措置が必要となり、当社に対する社会、顧客、金融機関からの信用が著しく低下し、当社の事業活動が停滞する等により、当社の業績等に影響を及ぼす可能性があります。（注）　顧客が住宅ローンを借りて住宅新築等を行う場合に、予め顧客の同意を経て、住宅建築会社等が顧客に　　　　代わって住宅ローン実行資金を受け取ること (2) 営業に関するリスク①　自然災害について当社が行う戸建住宅事業は、火災・地震・台風等大規模な自然災害の影響を受けやすい事業といえます。災害の状況によっては、建物の点検や応急措置などの初動活動や被災した建築現場の修復に加え、支援活動等により多額の臨時費用の発生や建築現場の資材・部材等の確保が困難になる可能性があります。このため万一に備えて各種保険への加入や耐震性能の高い住宅仕様の研究・開発に努めておりますが、予測を超えた事態が生じた場合には、当社の業績等に影響を及ぼす可能性があります。また、2016年に発生した熊本地震の影響により、建設地の取得や宅地造成が計画通りに進まないこと等、工期の遅延が発生した場合は、当社の業績等に影響を及ぼす可能性があります。 ②　競合について住宅業界は、事業を行うための許認可など新規参入に係る障壁はあるものの、大手ハウスメーカーから個人事業主に至るまで大小さまざまな競合他社が多数存在しており、競合は一段と激化する傾向にあります。当社では、徹底した管理に基づくコスト削減による原資をもとに品質改善を行うとともに、お客様のニーズに沿った商品開発を積極的に行うなど競合対策を講じておりますが、競合他社の動向によっては、事業計画の遂行に問題が生じ、当社の業績等に影響を及ぼす可能性があります。 ③　新商品の展開について当社は、2016年１月より、1,000万円台からの都市型建売住宅「アイフォート」の販売を開始しました。今後はこの建売事業においても売上拡大を目指してまいりますが、この「アイフォート」の販売が計画通りに進まない場合には、当社の業績等に影響を及ぼす可能性があります。 (3) 法務に関するリスク①　法的規制について当社が行う戸建住宅事業は、建築基準法をはじめ、建設業法、宅地建物取引業法、都市計画法、住宅の品質確保の促進等に関する法律、建築士法、労働安全衛生法、消費者契約法、景品表示法など多くの法律、法令や自治体の定める条例等による法規制を受けております。当社では、法的規制の遵守を徹底しており、現時点において当該許認可等が取消しとなる事由は発生しておりませんが、将来において業者規制の強化や費用負担を招きかねない法令等の大幅改正や、何らかの理由により免許、登録、許可が取り消し等になった場合には、当社の事業活動が大幅に制約されることとなり、当社の業績等に影響を及ぼす可能性があります。 法令等免許・許可等有効期限取消条項建設業法特定建設業の許可熊本県知事許可(特－29)第4867号2017年９月10日から2022年９月９日まで建設業法第29条建築士法一級建築士事務所登録熊本県知事登録第3743号2018年５月10日から2023年５月９日まで建築士法第26条宅地建物取引業法宅地建物取引業者免許熊本県知事(2)第4841号2016年10月22日から2021年10月21日まで宅地建物取引業法第66条  ②　品質の保証について当社が行う戸建住宅事業は、住宅の品質確保の促進等に関する法律により新築住宅の構造上の主要な部分及び雨水の浸水を防止する部分は10年の瑕疵担保責任を負うことを義務づけられています。当社は、同法に基づいて2008年10月より、株式会社日本住宅保証検査機構の住宅瑕疵担保責任保険「ＪＩＯわが家の保険」に加入しております。当該保険の加入に当たっては、同機構が定める技術的基準に適合していることが要件であり、同社が指定する第三者機関による現場検査を受け、適合証明(性能評価)を受ける必要があります。このため当社は、設計、施工、監理の充実をはかり、品質に万全を期すとともに、引渡後のアフターサービスに関しても誠実な対応を心がけております。しかし、当社の住宅の品質に重大な瑕疵や不備が認められた場合には、当社の業績等に影響を及ぼす可能性があります。 ③　個人情報の保護に関するリスク当社は、ネットの会員登録も含む住宅見学会来場者リストや住宅購入顧客等の個人情報を保有しております。これらの情報管理については、「個人情報の保護に関する法律」に基づき社内規程の整備、管理体制の構築、外部からの侵入防止対策の実施等を講じるとともに、従業員等に対し個人情報保護に係る啓蒙活動を実施し、その漏洩や不正使用の未然防止に努めております。しかしながら、人為的なミスや何らかの不正な方法等により当社が保有する個人情報が漏洩した場合には、当社の信用力の低下や損害賠償の請求等によって業績等に影響を及ぼす可能性があります。 ④　訴訟等の可能性について当社には、現段階において業績に重大な影響を及ぼす可能性のある訴訟の事実や顧客との大きなトラブルはありません。しかしながら、当社が請け負う住宅、不動産において、瑕疵等の発生、または工事期間中に近隣からクレーム等が発生した場合、これらに起因する訴訟その他の請求が発生する可能性があります。当社は、施工に関して品質管理の徹底と近隣への配慮に努めておりますが、訴訟等が発生した場合には、これに対応するために多額の費用が発生するとともに、当社の信用を大きく毀損する恐れもあり、当社の業績等に影響を及ぼす可能性があります。 (4) 事業体制に関するリスク①　特定人物への依存について当社の代表取締役社長である瀬口力は、最高経営責任者として経営方針や戦略の決定、事業推進において中心的役割を果たしております。同氏に過度に依存しない経営体制の構築のため、職務権限の委譲、会議体の整備や人員の採用等により社内組織の強化に努めておりますが、同氏が何らかの理由により当社の経営に携わることが困難になった場合には、当社の業績等に影響を及ぼす可能性があります。 ②　人材の確保及び育成について当社が行う戸建住宅事業には、広範囲の専門的知識や資格を有した人材が不可欠であります。したがって事業拡大を図るうえで、優秀な人材を適切な時期に確保するとともに、その人材の育成に努める必要がありますが、これらが不調に終った場合には当社の業績等に影響を及ぼす可能性があります。 ③　インターネットによる集客について当社は、戸建住宅事業において効率的な集客を行うことを事業戦略としております。具体的には、常設住宅展示場のみに依存せず、独自のＷｅｂ戦略として、土地情報ポータルサイト「ｅ土地ｎｅｔ」、平屋サイト「くまもと平屋ナビ」、地盤診断サイト「地盤チェックナビ」等の各専門分野におけるカテゴリーサイトを運営しております。また、コーポレートサイトにおきましては、インターネット展示場を設けており、お客様が完成後の住宅イメージを描きやすい環境を提供しております。すなわち、各Ｗｅｂサイト並びにそれらを支えるインターネット通信ネットワークへの依存度が事業遂行上高いものと考えております。通信障害、コンピュータウィルス感染、電力供給の停止、外部からの不正アクセス等、予測が困難な障害発生によりインターネットが利用できなくなった場合には、当社が運営する各Ｗｅｂサイト運営が一時的に停止し、その間において集客力が大きく低下します。予測可能な原因に対しては、専任の担当者を配置し、万全の社内体制を確保しておりますが、万一これらの障害が発生した場合、常設住宅展示場並びに営業店における営業活動により集客を補完するものの、当該各Ｗｅｂサイトが復旧するまでにおいて、当社の業績に影響を及ぼす可能性があります。また、当社グループは現在、Ｗｅｂシステム開発・管理・運用の一部を外部業者に委託しております。万一、これらの委託先との間にトラブル等が発生した場合にも、当社の業績に影響を及ぼす可能性があります。
経営者による財政状態、経営成績及びキャッシュ・フローの状況の分析	
経営上の重要な契約等	４ 【経営上の重要な契約等】該当事項はありません。 
研究開発活動	５ 【研究開発活動】該当事項はありません。 
設備投資等の概要	１ 【設備投資等の概要】当事業年度の設備投資等については、荒尾市及び大分市の総合展示場出店に伴う展示場建物の取得、山鹿市賃貸アパートの新設等を中心に119,428千円の設備投資を実施いたしました。その他重要な設備の除却、売却等はありません。当社は戸建住宅事業の単一セグメントであるため、セグメント別の記載を省略しております。 
主要な設備の状況	２ 【主要な設備の状況】当社の主要な設備は、次のとおりであります。2019年６月30日現在事業所名(所在地)セグメントの名称設備の内容帳簿価額従業員数(人)建物及び構築物(千円)車両運搬具(千円)工具、器具及び備品(千円)土地 (千円)(面積㎡)合計本社(熊本県山鹿市)戸建住宅事業本社事務所13,5312,7475,94152,334(8,568.98)74,555103(18)ギャラリー(熊本県山鹿市)戸建住宅事業展示品ショールーム20,650―4893,000(876.20)24,139―打合せ施設(熊本県山鹿市)戸建住宅事業商談用施設22,069―707,296(2,575.99)29,436―「無印良品の家(熊本店)」モデルハウス(熊本市北区)戸建住宅事業展示場15,775―46329,631(354.25)45,8703（2)熊本南モデルハウス(熊本市南区)戸建住宅事業展示場事務所37,647―1,31535,245(411.00)74,2086八代モデルハウス(熊本県八代市)戸建住宅事業展示場15,005―500―15,5066(1)合志モデルハウス(熊本県合志市)戸建住宅事業展示場15,030―887―15,9186(1)佐賀店(佐賀県佐賀市)戸建住宅事業営業所167―329―4975(1)荒尾モデルハウス(熊本県荒尾市)戸建住宅事業展示場19,997―917―20,9156 (注) １．上記の金額には、消費税等は含まれておりません。２．従業員数は就業人員であり、臨時雇用者数(パートタイマーを含む。)は、年間の平均人員を(　)外数で記載しております。３．現在休止中の主要な設備はありません。４．上記の他、主要な賃借している設備として、以下のものがあります。2019年６月30日現在事業所名(所在地)セグメントの名称設備の内容従業員数(人)土地面積(㎡)年間賃借料(千円)本社(熊本県山鹿市)戸建住宅事業本社事務所(賃借)103(18)2,983.004,200佐賀店(佐賀県佐賀市)戸建住宅事業営業所(賃借)5（1)50.801,260  
株式の総数	① 【株式の総数】 種類発行可能株式総数(株)普通株式8,000,000計8,000,000  
発行済株式、株式の総数等	② 【発行済株式】 種類事業年度末現在発行数(株)(2019年６月30日)提出日現在発行数(株)(2019年９月27日)上場金融商品取引所名又は登録認可金融商品取引業協会名内容普通株式2,699,5002,699,500東京証券取引所 （マザーズ）福岡証券取引所(Ｑ－Ｂｏａｒｄ)完全議決権株式であり、権利内容に何ら限定のない当社における標準の株式であります。また、単元株式数は100株であります。計2,699,5002,699,500―― (注)  提出日現在発行数には、2019年９月１日からこの有価証券報告書提出日までの新株予約権の行使により発行された株式数は、含まれておりません。
