項目	値
事業の内容	２【事業の内容】　当第１四半期累計期間において、当社が営む事業の内容について、重要な変更はありません。また、主要な関係会社における異動もありません。 
経営方針、経営環境及び対処すべき課題等	
事業等のリスク	１【事業等のリスク】　当第１四半期累計期間において、新たな事業等のリスクの発生、又は、前事業年度の有価証券報告書に記載した「事業等のリスク」についての重要な変更はありません。  
経営者による財政状態、経営成績及びキャッシュ・フローの状況の分析	２【経営者による財政状態、経営成績及びキャッシュ・フローの状況の分析】　文中の将来に関する事項は、当四半期会計期間の末日現在において判断したものであります。なお、当社は、前第１四半期累計期間については四半期財務諸表を作成していないため、前年同四半期累計期間との比較分析は行っておりません。 (１）経営成績の状況　当第１四半期累計期間におけるわが国経済は、新型コロナウイルス感染症の５類移行に伴う社会経済活動の正常化が進む中で景気は緩やかに回復しているものの、資源・エネルギー及び原材料価格の高止まりや物価の上昇、円安の進行等が継続しており、景気の先行きは依然として不透明な状況が続いております。当社の主要顧客である大企業の業況については、非製造業の一部業種でインバウンド需要の増加が見込まれますが、製造業・非製造業の幅広い業種で物価上昇に伴う需要の減少やコストの増加、人手不足の深刻化等の懸念が続いており、先行きについては慎重な見通しとなっております。　そのような状況において、当社の主要事業領域であるデジタルトランスフォーメーション（ＤＸ）に関連するＩＴ投資需要は依然として旺盛であります。当社の定義する「ＤＸ」とは、ＩＴを活用して業務の効率化（コスト低減）や付加価値の増加（収益アップ）を実現し、それを通じて事業の競争力を向上することであり、各企業とも存続のために不可欠な取り組みとなっております。ＤＸ関連投資を牽引役として、情報サービス業界では今後も売上増加が見込まれている一方、深刻化するＩＴ人材の不足により人材獲得競争の激化が懸念されております。　このような経営環境のもと、顧客のＩＴ投資効率の最大化を実現するため、当社は各業界大手企業のシステム開発のＤＸ内製支援「０次ＤＸ」を推進してまいりました。当社の定義する「内製」とは、事業会社がシステム会社任せにせず自ら主導的にシステム開発を推進することを指しています。当社は顧客の「ＤＸ内製」を支援するにあたり、第三者的な受託者という意識ではなく、顧客との間で相談・提案を繰り返しながら協働してシステム開発を進めることを特徴としており、それを「１次」請けを超えた「０次」と表現しております。　当第１四半期累計期間においては、「０次ＤＸ」実現のために顧客と協働してシステム開発を進める「０次システム開発」において、前事業年度に引き続き既存顧客の深耕と新規顧客の開拓を進めました。新卒入社者を除くエンジニア社員の平均月単価は、前事業年度末時点の116万円から当第１四半期累計期間末時点で114万円とほぼ同水準で計画どおりとなりました。社員エンジニア数は、中途採用により、前事業年度末時点の219名から当第１四半期累計期間末時点で220名へ増加いたしました。　パートナー企業の拡大に資するシステム開発企業向けオープンプラットフォームサービス「WhiteBox」においては、会員の獲得及び有償化を推進し、総会員数は前事業年度末時点の2,091社から当第１四半期累計期間末時点で2,263社へ増加いたしました。　これらの結果、当第１四半期累計期間の経営成績は、売上高1,375,375千円、営業利益126,550千円、経常利益112,484千円、四半期純利益78,282千円となりました。　なお、当社はＤＸ関連事業の単一セグメントであるため、セグメント情報は記載しておりません。 (２）財政状態の状況（資産）　当第１四半期会計期間末における流動資産合計は2,359,157千円となり、前事業年度末に比べ639,799千円増加いたしました。これは主に、東京証券取引所グロース市場への上場に伴う新株発行により現金及び預金が650,037千円増加したことによるものです。　固定資産合計は118,459千円となり、前事業年度末に比べ36千円減少いたしました。これは主に、減価償却により無形固定資産が300千円減少したことによるものです。 （負債）　当第１四半期会計期間末における流動負債合計は939,985千円となり、前事業年度末に比べ10,215千円減少いたしました。これは主に、賞与引当金が55,439千円増加した一方、未払金が49,382千円、未払法人税等が33,840千円減少したことによるものです。　固定負債合計は123,360千円となり、前事業年度末に比べ50,408千円減少いたしました。これは、長期借入金が50,408千円減少したことによるものです。 （純資産）　当第１四半期会計期間末における純資産合計は1,414,271千円となり、前事業年度末に比べ700,386千円増加いたしました。これは主に、東京証券取引所グロース市場への上場に伴う新株発行により資本金が311,052千円、資本剰余金が311,052千円増加したことによるものです。 (３）会計上の見積り及び当該見積りに用いた仮定　前事業年度の有価証券報告書に記載した「経営者による財政状態、経営成績及びキャッシュ・フローの状況の分析」中の会計上の見積り及び当該見積りに用いた仮定の記載について重要な変更はありません。 (４）経営方針・経営戦略等　当第１四半期累計期間において、当社が定めている経営方針・経営戦略等に重要な変更はありません。 (５）優先的に対処すべき事業上及び財務上の課題　当第１四半期累計期間において、当社が優先的に対処すべき事業上及び財務上の課題について重要な変更はありません。 (６）研究開発活動　該当事項はありません。 (７）経営成績に重要な影響を与える要因　当社の経営成績に重要な影響を与える要因として、前事業年度の有価証券報告書に記載した「事業等のリスク」に記載のリスク項目を初めとする様々なリスクが、当社の経営成績に重要な影響を与える可能性があると認識しております。 (８）資本の財源及び資金の流動性についての分析　当第１四半期累計期間における必要資金は、金融機関からの借入で賄っております。  
経営上の重要な契約等	３【経営上の重要な契約等】　当第１四半期会計期間において、経営上の重要な契約等の決定又は締結等はありません。 
研究開発活動	
設備投資等の概要	
主要な設備の状況	
株式の総数	①【株式の総数】種類発行可能株式総数（株）普通株式34,000,000計34,000,000 
発行済株式、株式の総数等	②【発行済株式】種類第１四半期会計期間末現在発行数（株）（2024年３月31日）提出日現在発行数（株）（2024年５月15日）上場金融商品取引所名又は登録認可金融商品取引業協会名内容普通株式9,970,00010,280,500東京証券取引所グロース市場完全議決権株式であり、権利内容に何ら限定のない当社における標準となる株式であります。単元株式数は100株であります。計9,970,00010,280,500－－　（注）１．当社株式は、2024年３月28日付で、東京証券取引所グロース市場に上場しております。２．2024年４月30日を払込期日とする第三者割当増資（オーバーアロットメントによる売出しに関連した第三者割当増資）により、発行済株式総数が310,500株増加しております。 
配当政策	
コーポレート・ガバナンスの概要	
役員の状況	２【役員の状況】　該当事項はありません。 
貸借対照表	
損益計算書	
キャッシュ・フロー計算書	
