項目	値
事業の内容	 ３ 【事業の内容】当社グループは当社及び連結子会社５社により構成され、主に送電線工事及び電気設備工事を施工する電気工事業と、ビル清掃、マンション管理、建物設備メンテナンス及び管理業務受託を行う建物管理・清掃業を営んでおります。事業内容と当社及び関係会社の当該事業にかかる位置づけ及びセグメントとの関連は、次のとおりであります。  セグメントの名称区分内容当社及び関係会社電気工事業送電事業架空送電線建設工事、地中送電線建設工事、変電所工事、土木工事等の測量設計、送電線建設工事用機械工具の開発及び製造販売、海外工事（送電線建設工事）当社株式会社岩井工業所中央電氣建設株式会社株式会社電友社設備事業電気設備工事設計施工、計装設備工事設計施工、情報通信設備工事設計施工、防災防犯設備工事設計施工、太陽光発電所工事、特別高圧変電所工事、情報通信工事（移動体無線中継基地の基礎・組立・外構・アンテナ工事）、その他当社建物管理・清掃業マンション管理事業建物設備メンテナンス管理業務受託事業ビル清掃・管理事業マンション管理、建物設備メンテナンス及び管理業務受託、ビル清掃、有人警備、機械警備、内装工事設計施工、産業廃棄物処理業株式会社東京管理ユウキ産業株式会社  事業の系統図は次のとおりであります。  
経営方針、経営環境及び対処すべき課題等	１ 【経営方針、経営環境及び対処すべき課題等】文中の将来に関する事項は、当連結会計年度末現在において当社グループが判断したものであります。 (1) 会社の経営の基本方針当社グループは、「この街に明かりを灯すのは私達  ～100年の伝統から100年の未来へ～」を存在意義・誇り（パーパス）とし事業活動を行っております。 (2) 目標とする経営指標当社グループは、企業価値を高めることが重要な課題であると考え、受注の拡大と利益率の向上に取り組んでまいります。具体的な収益性については、売上高営業利益率5.0％を目標としております。 (3) 中長期的な経営戦略及び対処すべき課題エネルギー業界は、引き続き、2050年のカーボンニュートラル（脱炭素社会）の実現に向け、再生可能エネルギー導入の促進、電力生産地より電力需要（消費）地までの送電線網の強化が課題となっております。また、2024年４月に働き方改革関連法が施行されることによる労働環境の整備もエネルギー業界、建設業界の喫緊の課題となっております。当社グループは、引き続き主力事業の強化を図るとともに、関連する分野への挑戦、お客様のニーズにお応えできる事業展開を図ってまいります。送電事業部門においては、電力広域的運営推進機関が策定した「高経年化設備更新ガイドライン」等に基づく設備保全対策、及び同機関が策定した「マスタープラン」に基づく広域連系整備計画の実施に向け、今後も多くの工事が想定されます。当社もこれまで以上に各送配電事業会社へ貢献できるように、人材確保に努めております。そのなかで、「働き方改革」に取り組み、労働環境の改善に努め「４週８休」の実現に向け、引き続き努めてまいります。また、全社一丸となって災害防止に取り組み、労働災害ゼロを目指しております。将来に向け、人材育成等技術継承と高度な技術水準の維持向上により競争力のある事業部門としてなお一層の努力を続けてまいります。設備事業部門においては、国主導による「ＧＸ（グリーントランスフォーメーション）」が推し進められており、当社も再生エネルギー設備工事計画に注力し風力発電設備工事事業の特高変電所工事、また蓄電池工事への参画を目指し、更なる事業強化を図っております。そのために設計から施工までに一貫した提案型技術営業に注力し、事業拡大を図り更なる成長に努めてまいります。建物管理・清掃事業部門においては、今後も全国的にマンションの高経年化はさらに進むと予想されており、維持管理業務に対する要望は多様化する一方、それに対応する人材の高齢化や人手不足に課題があると言えます。当社はマンション管理の運営におけるデジタル化を推進し、管理組合および運営代行者の負担軽減を目指します。また、今後も計画的な長期修繕及び設備改修の提案等、居住者の方へ充実したサービスの提供を行うための人材育成、仕組み作りなどを通じ、事業強化を図ってまいります。 
事業等のリスク	３ 【事業等のリスク】本書に記載しております事業の状況、経理の状況等に関する事項のうち、経営者が当社グループの財政状態、経営成績及びキャッシュ・フローの状況に重要な影響を与える可能性があると認識している主要なリスクには、次のようなものがあります。ただし、将来の業績や財政状態に与えうるリスクや不確実性は、これらに限定されるものではありません。なお、文中の将来に関する事項は、当連結会計年度末現在において当社グループが判断したものであります。（1） 受注及び完成工事高① 競合による受注価格の低下厳しい市場環境のもと業者間の受注競争が激しい状況にあり、価格競争がより一層熾烈化した場合には受注価格が低下し、当社グループの業績及び財政状態等に影響を及ぼす可能性があります。 ② 取引先への依存リスク当社グループの販売依存度が継続して売上高実績の10％を超える得意先は下表のとおりであります。前連結会計年度(自  2021年10月１日  至  2022年９月30日)当連結会計年度(自  2022年10月１日  至  2023年９月30日)相手先金額(千円)割合(％)相手先金額(千円)割合(％)東北電力ネットワーク株式会社1,524,44022.8東北電力ネットワーク株式会社2,677,33533.2 これら得意先からの受注動向がグループ全体の経営成績に影響を与える可能性があります。 （2） 経済状況① 建設業界の動向想定を超える民間設備投資や公共投資の減少による建設市場規模の変化が続いた場合には、競合他社との受注競争が更に激化し、当社グループの業績及び財政状態等に影響を及ぼす可能性があります。② 資材価格や労務費の変動国内外の経済情勢などの影響により、資材価格や労務費が高騰した場合には、コスト低減や工事請負金額への転嫁には限界があるため、当社グループの業績及び財政状態等に影響を及ぼす可能性があります。 （3） 反社会的勢力リスク建設作業所等において反社会的勢力からの接触を受け、錯誤等により何らかの取引を行ってしまった場合には、社会的信用の失墜と営業活動が制限されるリスクが生じます。このリスクに対応するため、取引を行う場合には反社会的勢力でない旨の誓約書の締結を行っております。また定期的な全役職員へのメール配信等による注意喚起を行っております。なお、反社会的勢力から不当要求を受けた場合には、速やかに警察等の外部機関に通報し、組織的に対応いたします。また、契約後に相手方が反社会的勢力であることが判明した場合には、必要に応じて警察と協議のうえ、速やかに契約を解除することとしております。 （4） 大規模災害による影響大規模災害等の発生及びそれに伴うライフラインの停止や燃料・資材・人員の不足による工事の中断・遅延、事業所の建物・資機材への損害等の不測の事態が発生した場合、当社グループの業績及び財政状態等に影響を及ぼす可能性があります。 （5） 新株予約権行使による株式価値の希薄化当社は、当社取締役に対し、新株予約権を付与しております。これら新株予約権の行使が行われた場合、保有株式の株式価値が希薄化する可能性があります。なお、2023年９月30日現在における新株予約権による潜在株式数は、第２回新株予約権は300,000株であり発行済株式総数6,375,284株の4.7%に相当、第３回新株予約権は200,000株であり発行済株式総数6,375,284株の3.1%に相当します。 （6） 感染症流行リスク新型コロナウイルス等の感染症の流行に伴い、役職員やその家族、取引先、作業員等が感染し、就業不能となった場合には、受注機会の減少や工事採算の悪化等が生じ、当社グループの業績に影響を及ぼす可能性があります。このリスクに対応するため、流行発生時の対応計画を策定し、役職員や作業員等への啓発を行うとともに、必要な消毒液を常備し、マスクの着用を義務付けております。なお、今般の新型コロナウイルス感染症に対しては、フレックスタイム制度（時差出勤）及びテレワーク（在宅勤務）の実施に加え、不要不急の出張の自粛、会議室のアクリル板設置やデスク等の消毒の徹底等の対応しております。今後も状況を注視しつつ、機動的に対策を講じてまいります。 
経営者による財政状態、経営成績及びキャッシュ・フローの状況の分析	 ４ 【経営者による財政状態、経営成績及びキャッシュ・フローの状況の分析】当連結会計年度における当社グループ（当社及び連結子会社）の財政状態、経営成績及びキャッシュ・フロー（以下、「経営成績等」という。）の状況の概要及び経営者の視点による経営成績等の状況に関する認識及び分析・検討内容は、以下のとおりであります。なお、文中の将来に関する事項は、当連結会計年度末現在において当社グループが判断したものであります。 （1）経営成績等の状況の概要① 財政状態及び経営成績の状況ａ．経営成績当連結会計年度における我が国経済は、新型コロナウイルス感染症が感染症法上５類に移行したことにより、徐々に経済活動が正常化し、景気は回復傾向にあるものの、ロシア・ウクライナ戦争の長期化、イスラエル・パレスチナ情勢等により、不透明感が増す中、原材料の高騰や円安で大幅な物価上昇となるなど、引き続き注視が必要となっております。当社が属する建設業界におきましては、国土強靭化計画等により、公共投資が堅調に推移しており、更には民間設備投資にも持ち直しの動きが見られる一方で、現場を支える職人の高齢化や慢性的な人材不足、原材料費の高騰など、企業収益に影響を及ぼす問題があり、厳しい経営環境が続いております。エネルギー業界においては、世界的な地球温暖化防止に向けた取り組みとして、太陽光発電、風力発電等、再生可能エネルギーの更なる普及、蓄電池システムの活用など多くの課題が残されております。このような状況の中、当社グループは、前期までのＭ＆Ａによる事業のロールアップ戦略を一旦落ち着かせ、主幹の電力事業への資本集中を図るとともに、事業の効率化に努めてまいりました。以上の結果、当社グループの当連結会計年度の受注高は、114億７千９百万円（前連結会計年度比144.3％増）、売上高は80億７千４百万円（前連結会計年度比20.7％増）となりました。利益につきましては、営業利益は２億８千１百万円（前連結会計年度比5.6％増）、経常利益は３億１千２百万円（前連結会計年度比18.7％増）となりました。しかしながら、訴訟費用７千３百万円、投資有価証券評価損として７千３百万円及び子会社整理損として１千５百万円を特別損失として計上したことにより、親会社株主に帰属する当期純利益は７千６百万円（前連結会計年度比64.3％減）となりました。 セグメントの業績は、次のとおりであります。（電気工事業）記録的な暑さが続いた状況下、電力の安定供給を下支えする「エッセンシャルワーカー」の集団として、各電力送配電各社のご指導の下、電力安定供給に貢献できるよう努めてまいりました。この結果、広域連系整備計画の送電工事本格稼働とレベニューキャップ制度である託送料金制度の本格開始も相まって、送電事業グループ全体として受注高は89億４千８百万円（前連結会計年度比223.1％増）となりました。売上高は、グループ全体稼働工事の堅調な現場出来高推移により43億２千６百万円（前連結会計年度比43.1％増）となりました。設備事業においては、特別高圧変電所工事の受注に注力した結果、大型工事の受注もあり、受注高は25億３千万円（前連結会計年度比31.2％増）となりました。売上高は大型工事案件が順調に推移した結果、26億２千６百万円（前連結会計年度比0.4％減）となりました。 これらにより、電気工事業の当連結会計年度の受注高は114億７千９百万円（前連結会計年度比144.3％増）売上高は69億５千２百万円（前連結会計年度比22.8％増）、セグメント利益（営業利益）は２億２千３百万円（前連結会計年度比9.1％減）となりました。  （建物管理・清掃業）建物管理・清掃業においては、連結子会社による堅調な売上の推移、建物修繕案件の取り込みがあり、当連結会計年度の売上高は10億９千２百万円（前連結会計年度比10.2％増）、セグメント利益（営業利益）は８千１百万円（前連結会計年度比4.7％減）となりました。 （その他）その他事業の売電事業においては、当連結会計年度の売上高は２千８百万円（前連結会計年度比19.8％減）、セグメント損失（営業損失）は２千６百万円（前連結会計年度は２千万円のセグメント損失）となりました。 ｂ．財政状態（資産の部）当連結会計年度末における資産合計は66億７千３百万円となり、前連結会計年度末に比べ１億４百万円増加しております。増加の主な要因は、受取手形・完成工事未収入金等及び契約資産１億２百万円の減少、預け金１億７千２百万円の減少及び未成工事支出金２億３千６百万円の減少などがありましたが、現金預金３億９千万円の増加及び未収消費税等３億１千４百万円の増加などによるものであります。（負債の部）当連結会計年度末における負債合計は39億６千９百万円となり、前連結会計年度末に比べ６千９百万円増加しております。増加の主な要因は、工事未払金３億２千７百万円の減少及び長期借入金２億２千９百万円の減少などがありましたが、契約負債２億３千６百万円の増加及び社債４億６千５百万円の増加などによるものであります。（純資産の部）当連結会計年度末における純資産合計は27億４百万円となり、前連結会計年度末に比べ３千４百万円増加しております。増加の主な要因は、利益剰余金３千１百万円の増加によるものであります。なお、自己資本比率は、前連結会計年度末40.6％に対し当連結会計年度末40.5％と、0.1ポイント低下いたしました。 ② キャッシュ・フローの状況当連結会計年度末における現金及び現金同等物（以下「資金」という。）は、前連結会計年度末に比べ３億１千２百万円増加し、資金残高は24億６千４百万円となっております。当連結会計年度末の各キャッシュ・フローの状況とそれらの増減要因は次のとおりであります。（イ）営業活動によるキャッシュ・フロー営業活動によるキャッシュ・フローは、前連結会計年度２億１千８百万円の資金減少に対し当連結会計年度１億８千４百万円の資金増加となりました。これは主に減少要因として仕入債務の減少額３億４千１百万円及び未収消費税等の増加額３億１千４百万円もありましたが、増加要因として税金等調整前当期純利益１億４千４百万円、減価償却費１億４千８百万円、未成工事支出金の減少額２億３千６百万円及び契約負債の増加額２億３千６百万円があったことによるものであります。（ロ）投資活動によるキャッシュ・フロー投資活動によるキャッシュ・フローは、前連結会計年度２億６千４百万円の資金増加に対し当連結会計年度３百万円の資金減少となりました。これは主に増加要因として定期預金の払戻しによる収入６億３千４百万円もありましたが、減少要因として定期預金の預入による支出５億３千９百万円、有形固定資産の取得による支出７千２百万円及び長期性預金の預入れによる支出３千７百万円があったことによるものであります。（ハ）財務活動によるキャッシュ・フロー財務活動によるキャッシュ・フローは、前連結会計年度２億７千５百万円の資金増加に対し当連結会計年度１億３千１百万円の資金増加となりました。これは主に減少要因として短期借入金の返済による支出32億９千１百万円及び長期借入金の返済による支出３億４千５百万円もありましたが、増加要因として短期借入れによる収入32億１千万円及び社債の発行による収入５億円があったことによるものであります。  ③ 生産、受注及び販売の状況イ 受注実績 セグメントの名称受注高(千円)前年同期比(％)電気工事業11,479,291244.3合計11,479,291244.3 (注) 当社グループでは、電気工事業以外は受注生産を行っておりません。 ロ 売上実績 セグメントの名称売上高(千円)前年同期比(％)電気工事業6,952,520122.8建物管理・清掃業1,092,871110.2その他28,82380.2合計8,074,215120.72 (注) １. 当社グループでは、生産実績を定義することが困難であるため、「生産の状況」は記載しておりません。２. セグメント間取引については、相殺消去しております。３. 主な相手先別の売上実績及び総売上実績に対する割合は、次のとおりであります。 前連結会計年度(自  2021年10月１日  至  2022年９月30日)当連結会計年度(自  2022年10月１日  至  2023年９月30日)相手先金額(千円)割合(％)相手先金額(千円)割合(％)東北電力ネットワーク株式会社1,524,44022.8東北電力ネットワーク株式会社2,677,33533.2  なお、参考のため提出会社単独の事業の状況は次のとおりであります。また、当社は電気工事業のみの単一セグメントであるため、セグメント別の記載に代えて事業部門別の概況を記載しております。電気工事業における受注工事高及び施工高の状況ａ．受注工事高、完成工事高、繰越工事高及び施工高 期別区分前期繰越工事高(千円)当期受注工事高(千円)計 (千円)当期完成工事高(千円)次期繰越工事高(千円)前期繰越施工高(千円)当期施工高(千円)次期繰越施工高(千円)割合(％)前事業年度(自  2021年10月１日  至  2022年９月30日)送電1,625,5272,397,9394,023,4671,996,7412,026,72681,2881,995,47980,0273.9設備2,953,5061,929,2164,882,7232,638,1402,244,58220,6912,622,7155,2660.2計4,579,0344,327,1568,906,1914,634,8814,271,309101,9804,618,19585,2932.0当事業年度(自  2022年10月１日  至  2023年９月30日)送電2,026,7267,909,3429,936,0693,210,3806,725,68880,0273,210,58180,2281.2設備2,244,5822,530,6474,775,2302,626,4282,148,8025,2662,664,89543,7332.0計4,271,30910,439,99014,711,3005,836,8088,874,49185,2935,875,476123,9611.4 (注) １. 前期以前に受注した工事で、契約の変更により請負金額の増減がある場合は、当期受注工事高にその増減額を含んでおります。 ２. 次期繰越施工高は、未成工事支出金を用いて次期繰越工事(手持工事)の施工高を推定したものであります。３. 次期繰越施工高の割合は、次期繰越工事高に対するものであります。４. 当期施工高は、(当期完成工事高＋次期繰越施工高－前期繰越施工高)に一致しております。５. 事業区分間の取引については、相殺消去しております。 ｂ．受注工事高の受注方法別比率工事の受注方法は、特命と競争に大別されます。 期別区分特命(％)競争(％)計(％)前事業年度(自  2021年10月１日  至  2022年９月30日)送電事業88.711.3100.0設備事業94.45.6100.0当事業年度(自  2022年10月１日  至  2023年９月30日)送電事業94.95.1100.0設備事業42.157.9100.0 (注) １. 百分比は請負金額比であります。２. 特命には競争以外のその他を含めて表示しております。 ｃ．完成工事高 期別区分電力会社(千円)官公庁(千円)民間(千円)計(千円)前事業年度(自  2021年10月１日  至  2022年９月30日)送電事業1,985,549―11,1921,996,741設備事業―70,0232,568,1172,638,140計1,985,54970,0232,579,3094,634,881当事業年度(自  2022年10月１日  至  2023年９月30日)送電事業3,196,808―13,5713,210,380設備事業―1,6502,624,7782,626,428計3,196,8081,6502,638,3495,836,808 (注) １. 事業区分間の取引については、相殺消去しております。２. 完成工事のうち主なものは、次のとおりであります。 前事業年度  請負工事金額１億円以上の主なもの発注者工事件名東北電力ネットワーク株式会社頚城線増強工事（６工区）中部電力パワーグリッド株式会社四日市火力線一部増強工事オルティス・エナジー・ジャパン株式会社福島白河10MW太陽光発電所建設工事（特高変電所工事）東北電力ネットワーク株式会社（仮称）川崎ＭＳ支線新設工事東北電力ネットワーク株式会社あづま小富士第一支線新設工事（２工区）   当事業年度  請負工事金額１億円以上の主なもの発注者工事件名ソラリグ・ジャパン・サービシズ合同会社袖ヶ浦太陽光発電所建設工事（特別高圧変電所及び自営線工事）東北電力ネットワーク株式会社（仮称）登米村田製作所支線新設工事（２工区）株式会社ニチレイニチレイ仙台物流センター 太陽光発電設備設置工事（１～４期棟）東北電力ネットワーク株式会社栗駒線電線張替250工事ならびに関連撤去工事（その１）東北電力ネットワーク株式会社栗駒線電線張替250工事ならびに関連撤去工事（その２）  ３. 主な相手先別の完成工事高及び完成工事高総額に対する割合は、次のとおりであります。 前事業年度(自  2021年10月１日  至  2022年９月30日)当事業年度(自  2022年10月１日  至  2023年９月30日)相手先金額(千円)割合(％)相手先金額(千円)割合(％)東北電力ネットワーク株式会社1,524,44032.9東北電力ネットワーク株式会社2,677,33545.9   ｄ．手持工事高2023年９月30日現在区分電力会社(千円)官公庁(千円)民間(千円)計(千円)送電事業6,406,763―318,9256,725,688設備事業――2,148,8022,148,802計6,406,763―2,467,7278,874,491 (注) １. 手持工事のうち請負金額１億円以上の主なものは、次のとおりであります。 発注者工事件名完成予定東北電力ネットワーク株式会社宮城丸森幹線新設鉄塔工事（第４工区）2026年４月日本風力開発株式会社ＪＷＤ下北半島風力発電所建設工事（特攻変電所建設）2025年８月シャープエネルギーソリューション株式会社岡山津山ソーラーヒルズ太陽光発電所 66kV 自営線工事2023年12月中部電力パワーグリッド株式会社下村田口線下村(発)～№58間経年支持物建替工事2025年１月株式会社サンライフコーポレーションコープいわき太陽光発電所(6.6kV自営線工事）2023年12月   （２）経営者の視点による経営成績等の状況に関する分析・検討内容経営者の視点による当社グループの経営成績等の状況に関する認識及び分析・検討内容は、次のとおりであります。① 重要な会計上の見積り及び当該見積りに用いた仮定当社グループの連結財務諸表は、我が国において一般に公正妥当と求められる会計基準に基づき作成しております。連結財務諸表の作成にあたり、連結貸借対照表上の資産・負債の計上額、及び連結損益計算書上の収益、費用の計上額に影響を与える会計上の見積り及び仮定を用いております。当該見積りにつきましては、過去の実績や状況に応じて合理的と考えられる様々な要因に関して適切な仮定の設定、情報収集を行い、見積り金額を計算しておりますが、見積り特有の不確実性があるため、実際の結果とは異なる場合があります。また、特に重要な会計上の見積りは、「第５  経理の状況  １  連結財務諸表等  （１）連結財務諸表  （重要な会計上の見積り）」に記載しております。 ② 当連結会計年度の経営成績等の状況に関する認識及び分析・検討内容ａ．経営成績の分析（売上高）当連結会計年度における売上高は、電気工事業において受注済の大型工事が順調に進捗したことにより80億７千４百万円（前連結会計年度比20.7％増）となりました。（営業利益）営業利益につきましては、電気工事業において大型工事が進捗したことなどにより２億８千１百万円（前連結会計年度比5.6％増）となりました。（経常利益）経常利益につきましては、３億１千２百万円（前連結会計年度比18.7％増）となりました。（親会社株主に帰属する当期純利益）親会社株主に帰属する当期純利益につきましては、訴訟費用７千３百万円、投資有価証券評価損として７千３百万円及び子会社整理損として１千５百万円を特別損失として計上したことにより７千６百万円（前連結会計年度比64.3％減）となりました。 ｂ．財政状態の分析当連結会計年度の財政状態につきましては、「４  経営者による財政状態、経営成績及びキャッシュ・フローの状況の分析  （1）経営成績等の状況の概要  ①財政状態及び経営成績の状況」に記載しております。 ｃ．キャッシュ・フローの分析事業部門別の業績等の概要及びキャッシュ・フローの状況につきましては、「４  経営者による財務状態、経営成績及びキャッシュ・フローの状況の分析  （1）経営成績等の状況の概要  ② キャッシュ・フローの状況」に記載しております。 ｄ．資本の財源及び資金の流動性当社グループの資金需要の主なものは、工事代金の支出や販売費及び一般管理費等の営業活動に伴う支出及び設備投資に伴う支出、更なる事業の拡大を目指した今後のＭ＆Ａに向けた投資に伴う支出であります。これらの資金については、自己資金及び金融機関からの借入と社債の発行により資金調達を行うことを基本とし、必要に応じて多様な調達手段も検討することを方針としております。なお、資金調達を機動的に行う観点から金融機関との間で当座貸越契約を締結しております。 
経営上の重要な契約等	 ５ 【経営上の重要な契約等】特記すべき事項はありません。 
研究開発活動	６ 【研究開発活動】特記すべき事項はありません。 
設備投資等の概要	１ 【設備投資等の概要】当連結会計年度の設備投資については、生産設備の増強、更新などを目的とした設備投資を継続的に実施しております。 当連結会計年度の設備投資の総額は86,201千円であり、セグメントごとの設備投資について示すと、次の通りであります。 （電気工事業）当連結会計年度は、主に老朽化に伴う更新を目的として送電線工事の機械装置を中心に総額75,346千円の投資を行っております。 
主要な設備の状況	２ 【主要な設備の状況】(1) 提出会社2023年９月30日現在事業所名(所在地)セグメントの名称設備の内容帳簿価額(千円)従業員数(名)建物・構築物機械・運搬具工具器具・備品土地(面積㎡)リース資産合計仙台機材センター(宮城県刈田郡蔵王町)電気工事業機材置場倉庫26,24397,52945,13941,218(13,166)65,812275,9443千代川機材センター(茨城県下妻市)電気工事業機材置場倉庫2,7980571207,358(19,615)―210,7281仙台ラインマンハウス(宮城県仙台市青葉区)電気工事業寮28,431―45079,465(1,269)―108,346―うきは太陽光発電所(福岡県うきは市）その他太陽光発電所―314,607―41,367(22,443)―355,974―  (2) 国内子会社2023年９月30日現在事業所名(所在地)セグメントの名称設備の内容帳簿価額(千円)従業員数(名)建物・構築物機械・運搬具工具器具・備品土地(面積㎡)リース資産合計株式会社岩井工業所(岡山県岡山市南区）電気工事業本社倉庫6,2892,6291,55444,919(8,729)―55,39330ユウキ産業株式会社(大阪府大阪市住吉区)建物管理・清掃業本社72,521―2,97552,676(172)11,982140,15517中央電氣建設株式会社(徳島県三好市)電気工事業本社倉庫24,7107,54853032,090(909)45065,33018株式会社電友社(徳島県徳島市)電気工事業本社倉庫9,3057,8891,367―(―)―18,56113  
株式の総数	① 【株式の総数】 種類発行可能株式総数(株)普通株式19,500,000計19,500,000  
発行済株式、株式の総数等	② 【発行済株式】 種類事業年度末現在発行数(株)(2023年９月30日)提出日現在発行数(株)(2023年12月26日)上場金融商品取引所名又は登録認可金融商品取引業協会名内容普通株式6,375,2846,375,284東京証券取引所スタンダード市場単元株式数は100株であります。計6,375,2846,375,284――  
