項目	値
事業の内容	３【事業の内容】　当社グループは、当社、連結子会社２社、関連会社２社で構成され、法面保護工事、ダム基礎工事、アンカー工事、重機工事、注入工事、維持修繕工事、環境保全工事ならびにこれらに関する事業を行っており、あわせて建設コンサルタント及び地質調査を行っている。連結子会社のJAFEC USA，Inc．は、海外工事への参入を図るため平成21年10月に米国ネバダ州に設立し、株式会社オーケーソイルは、都市部の地盤改良工事および海外工事に実績があるため平成22年４月に子会社化した。また、関連会社の日本施設管理株式会社は、当社業務に関連するダム施設管理業務および建設コンサルタント業務を、株式会社オリオン計測は当社業務に関連する地質調査やデータ解析を行っている。［事業系統図］　以上述べた事項を事業系統図によって示すと、次のとおりである。（建設工事）  （建設コンサル・地質調査等）
経営方針、経営環境及び対処すべき課題等	１【経営方針、経営環境及び対処すべき課題等】文中の将来に関する事項は、当連結会計年度末現在において当社グループが判断したものである。(1)会社の経営の基本方針　当社グループは、人と環境の共生を目指し、建設基礎技術で豊かな社会創りに貢献するため、社員一人ひとりの可能性を引き出し、顧客そして社会から信頼される技術者集団を目指すこととしている。 (2)目標とする経営指標および中長期的な会社の経営戦略　当社グループは、今後持続的に成長できる会社グループとして生き残っていくために、中長期的には、技術の伝承と生産性の向上、働き方改革の推進を図り、数値目標達成のため、全社を挙げて最大限の業績の進展に努めていく。　①目標と重点施策　　(a)技術の伝承と生産性の向上　　　・階層別技術教育の強化と高齢化に対する技術開発による技術の伝承を図る。　　　・需要を先取りした技術開発への取組み強化を図る。　　(b)社内業務・社内システムの見直しによる働き方改革の推進　　　・支店、現場における事務処理業務の簡素化を図る。　　　・本社経理事務の自動化による業務形態の変革を実現する。　②数値目標（令和６年３月期）　　受注高　　　　　　　　　　　　　　　23,000百万円　　売上高　　　　　　　　　　　　　　　23,000百万円　　営業利益　　　　　　　　　　　　　　　 900百万円　　経常利益　　　　　　　　　　　　　　 1,100百万円　　親会社株主に帰属する当期純利益　　　　 550百万円 (3)対処すべき課題　今後の見通しについては、新型コロナウイルス感染症の影響は収束しつつも、ロシア・ウクライナ情勢による資材価格の高騰や働き方改革への対応など、引き続き厳しい事業環境が続くものと予測される。　一方、米国現地法人では、カーボンニュートラル政策により、着工が先送りされてきた案件が、本格的に動き出すとの情報があり、明るい兆しが見えている。　以上、内外の状況を慎重に考慮した上で、当社グループの数値目標の達成に向け、重点施策に従って、全社を挙げて取り組んでいく所存である。 (4)新型コロナウイルス感染症の影響　新型コロナウイルス感染症の拡大は、世界的に落ち着きを取り戻し、国内でも感染症法の位置づけが５類に移行しているが、当社グループは引き続き感染症防止対策を行っている。　新型コロナウイルス感染症拡大による事業への影響は、国内においては比較的軽微であり、米国現地法人への影響は回復傾向にある。　今後も当社グループにおける影響を最小限に抑えながら経営活動を行っていく所存である。 
事業等のリスク	３【事業等のリスク】有価証券報告書に記載した事業の状況、経理の状況等に関する事項のうち、投資者の判断に重要な影響を及ぼす可能性のある事項には、以下のようなものがある。なお、文中の将来に関する事項は、当連結会計年度末現在において当社グループが判断したものである。(1)法的規制に関するリスク　当社グループの事業は、売上高の約６割（令和５年３月期55.9％）が公共工事である。公共工事への参加を希望する場合は、一般競争（指名競争）参加資格審査申請書の提出と厳格な入札執行が要求されており、これらの手続きにおいて虚偽の申請や不正な入札行為を行った場合は、建設業許可の取消し、営業の停止や指名停止の処分が科せられ、当社グループの経営計画に多大な影響を及ぼすことになる。①一般競争（指名競争）参加資格審査申請　公共工事の入札参加を希望する場合は、経営事項審査の総合評定値通知書を添付のうえ、一般競争（指名競争）参加資格審査申請書を関係省庁に提出し、認定を得なければならない。　この際、経営事項審査申請内容に虚偽の記載があった場合は、行政処分（建設業許可の取消し、営業の停止）や指名停止処分が科せられる。また、一般競争（指名競争）参加資格審査申請においても、虚偽の記載等があった場合は、競争参加資格の認定は受けられず、認定後に発覚した場合には取消されることがある。②入札行為　独占禁止法違反や官製談合等の不正な入札行為を行った場合は、公正取引委員会から排除勧告が行われる。排除勧告を受けた場合は、営業禁止や営業停止の行政処分の他、国および地方自治体から指名停止の処分が科せられる。 (2)公共工事依存に関するリスク　当社グループは、売上高に占める公共工事の割合が非常に高いため、当社グループの業績は、国および地方自治体の財政事情に左右される公共投資の規模に大きな影響を受ける。公共投資が削減された場合、さらに同業他社との過当な価格競争が余儀なくされ、その結果、当社グループの受注高、売上高、利益が減少するリスクがある。 (3)技術水準維持に関するリスク　当社グループは、常に仕事の量と質に見合った組織と人員体制を指向していく必要がある。このような中で、技術水準を維持するためには、職員一人一人に高い技能、技術力および管理能力が求められる。特に工事品質の保持とオリジナル工法の技術力の向上と維持は、当社グループにとって重要な課題であり、業績に大きな影響を及ぼすので、技術者の育成が重要であると考えている。 (4)工事施工に関わるリスク　工事施工中における人的・物的事故あるいは災害の発生や工事引渡後における手直し工事の発生等、予期せぬ費用の発生により、当社グループの業績は影響を受ける可能性がある。 (5)不採算工事の発生に関わるリスク　工事施工段階での想定外の追加原価等の発生により、不採算工事が発生した場合には、当社グループの業績は影響を受ける可能性がある。 (6)貸倒リスク　当社グループは、売上高の約９割（令和５年３月期93.0％）が下請工事であるため、公共工事が縮小された場合にともなう競争激化や、金融機関の不良債権処理圧力等の影響を受けた発注ゼネコン（地場ゼネコン含む）の倒産による貸倒リスクがある。 (7)海外事業リスク　当社グループは今後の海外工事への参入を図るため、その拠点として米国に子会社を設立している。今後、海外市場において予想を超えた為替相場の変動や海外工事を行う国の政治、経済、法制度等に著しい変化が生じた場合、業績に影響を及ぼす可能性がある。 (8)自然災害やパンデミックに関わるリスク　大規模な自然災害、新型コロナウイルス感染症や季節性インフルエンザ等のパンデミックにより、政治、経済環境に甚大な制限が課される場合、消費市場の停滞等により、当社グループの業績は影響を受ける可能性がある。 （9）ロシア・ウクライナ情勢の影響について　ロシアのウクライナ侵攻により、資材価格やエネルギー価格の高騰が続いている。この軍事的対立が激化、長期化した場合は、資材価格やエネルギー価格等の高止まりにより、当社グループの業績は影響を受ける可能性がある。 
経営者による財政状態、経営成績及びキャッシュ・フローの状況の分析	４【経営者による財政状態、経営成績及びキャッシュ・フローの状況の分析】（１）経営成績等の状況の概要　当連結会計年度における当社グループの財政状態、経営成績及びキャッシュ・フロー（以下、「経営成績等」という。）の状況の概要は次のとおりである。 ①財政状態及び経営成績の状況　当連結会計年度におけるわが国経済は、新型コロナウイルス感染症に伴う行動制限が緩和され、社会経済活動の正常化が進み、緩やかに持ち直しが見られたものの、ロシア・ウクライナ情勢の長期化により、資源価格やエネルギー価格の高騰が続き、世界経済は先行きの読めない厳しい状況が続いている。　この間、国内建設業界においては、国土強靭化関連等の公共工事は比較的堅調に推移したものの、民間建築分野では資材価格高騰による採算悪化の傾向が続き、厳しい状況が続いている。　この結果、当連結会計年度の財政状態及び経営成績は以下のとおりとなった。 ａ．財政状態　当連結会計年度末の総資産の残高は、302億35百万円となり、前連結会計年度末に比べ１億44百万円の増加となった。　当連結会計年度末の負債の残高は、96億８百万円となり、前連結会計年度末に比べ６億27百万円の増加となった。　当連結会計年度末の純資産の残高は、206億27百万円となり、前連結会計年度末に比べ４億82百万円の減少となった。 ｂ．経営成績　当連結会計年度の業績については、受注高は、国内では、都市部を中心に予定数量の大幅見直しや来期以降への発注遅延等の影響により、計画を大きく下回る結果となった。また、米国現地法人でも、大型案件の工事着工が来期以降に大幅に延期されたことから、国内・海外の受注高合計は、前年同期比15億78百万円（7.0％)減の210億76百万円となった。その主な内容は、「法面保護工事」が27億61百万円（前年同期比9.9％減）、「アンカー工事」が25億32百万円（前年同期比22.3％減）、「重機工事」が74億37百万円（前年同期比42.1％増）、「注入工事」が39億49百万円（前年同期比29.8％減）である。　売上高については、国内では、都市部での再開発工事、国土強靭化関連工事、エネルギー関連工事、鉄道関連工事等が堅調に進捗したため、期初計画を達成した。一方、米国現地法人では、大型案件の発注遅延に伴い、施工が先送りとなり計画を下回る結果となった。　売上高は、全体で前年同期比17億97百万円（8.1％）増の239億８百万円となり、海外の減少を国内でカバーする結果となっている。その主な内容は、「法面保護工事」が33億56百万円（前年同期比2.0％減）、「アンカー工事」が33億54百万円（前年同期比13.0％増）、「重機工事」が70億２百万円（前年同期比35.3％増）、「注入工事」が51億90百万円（前年同期比20.0％増）となっている。　利益面では、一部の大型工事での進捗遅れによる不採算工事の発生、ならびに労働日数縮減のなかでの工期遵守厳命による就労人員の増により、労務費が増加したことから工事利益率は低下したが、都市再開発関連の障害物撤去等大型重機工事による生産性向上に加え、エネルギー関連工事や鉄道・高速道路の補修工事が順調に進捗した結果、国内では期初計画を上回った。一方、米国現地法人では、売上高の減少により、工事利益が大幅に低下し、赤字経営となった。その結果、連結営業損益は７億78百万円の利益となり（前年同期は７億51百万円の営業利益）、経常損益については10億８百万円の利益となった（前年同期は９億63百万円の経常利益）。親会社株主に帰属する当期純損益については、５億26百万円の純利益となった（前年同期は４億98百万円の純利益）。 ②キャッシュ・フローの状況　当連結会計年度末における現金及び現金同等物は、前連結会計年度末に比べ１億95百万円の減少となり、57億52百万円となった。　当連結会計年度末における各キャッシュ・フローの状況とそれらの要因は次のとおりである。 （営業活動によるキャッシュ・フロー）　営業活動によるキャッシュ・フローは、９億69百万円の収入(前連結会計年度は11億87百万円の収入)となった。　これは、売上債権の増加額３億93百万円(前連結会計年度は55百万円の支出)、法人税等の支払額４億87百万円(前連結会計年度は４億55百万円の支出)、賞与引当金の減少額１億37百万円（前連結会計年度は34百万円の収入）、受取利息及び受取配当金１億73百万円（前連結会計年度は１億79百万円）等により資金が減少する一方で、税金等調整前当期純利益10億11百万円(前連結会計年度は10億44百万円)をはじめ減価償却費９億96百万円(前連結会計年度は10億１百万円)、仕入債務の増加額５億44百万円(前連結会計年度は１億72百万円の支出)等により資金を獲得したことが主な要因である。 （投資活動によるキャッシュ・フロー）　投資活動によるキャッシュ・フローは、９億45百万円の支出(前連結会計年度は３億25百万円の支出)となった。　これは、主として有形固定資産の取得による９億48百万円の支出(前連結会計年度は９億94百万円の支出)、無形固定資産の取得による１億94百万円の支出（前連結会計年度は１億89百万円の支出）と、利息及び配当金の受取額１億73百万円(前連結会計年度は１億81百万円の収入)等によるものである。 （財務活動によるキャッシュ・フロー）　財務活動によるキャッシュ・フローは、２億76百万円の支出(前連結会計年度は48百万円の収入)となった。　主な収入は、短期借入金の増加額６億円（前連結会計年度は15億円の収入）と自己株式取得のための預託金の減少額３億25百万円（前連結会計年度は２億65百万円の収入）であり、主な支出は、自己株式の取得による支出８億33百万円（前連結会計年度は14億３百万円の支出）、配当金の支払額２億76百万円（前連結会計年度は２億36百万円の支出）及びリース債務の返済による支出83百万円（前連結会計年度は71百万円の支出）等があったためである。  ③生産、受注及び販売の実績ａ．受注実績区　分前連結会計年度（自　令和３年４月１日至　令和４年３月31日）（百万円）当連結会計年度（自　令和４年４月１日至　令和５年３月31日）（百万円）建設工事21,29620,203（5.1％減）建設コンサル・地質調査等1,358872（35.8％減）合　計22,65421,076（7.0％減） ｂ．売上実績区　分前連結会計年度（自　令和３年４月１日至　令和４年３月31日）（百万円）当連結会計年度（自　令和４年４月１日至　令和５年３月31日）（百万円）建設工事20,95722,723（8.4％増）建設コンサル・地質調査等1,1531,185（2.8％増）合　計22,11123,908（8.1％増）（注）１．当社グループでは、生産実績を定義することが困難であるため「生産の実績」は記載していない。２．受注実績、売上実績とも「建設コンサル・地質調査等」には、前連結会計年度に不動産の賃貸収入および植物工場売上として104百万円、当連結会計年度に不動産の賃貸収入として104百万円がそれぞれ含まれている。３．売上高総額に対する割合が100分の10以上の相手先はない。 　　なお、参考のため提出会社個別の事業の状況は次のとおりである。(1）受注工事高、完成工事高及び次期繰越工事高前事業年度（自　令和３年４月１日　至　令和４年３月31日）工種別前期繰越工事高（百万円）当期受注工事高（百万円）計（百万円）当期完成工事高（百万円）次期繰越工事高（百万円）法面保護工事3,0703,0666,1373,4242,712ダム基礎工事1,0217931,8151,373441アンカー工事2,6883,2595,9482,9682,979重機工事1,1833,9075,0903,5851,505注入工事2,8665,6248,4914,3264,165維持修繕工事5662067664531環境保全工事214387602449152その他土木工事1,0552,3093,3642,594770建設コンサル・地質調査7251,3582,0841,153931計12,88321,32734,21020,52113,689 当事業年度（自　令和４年４月１日　至　令和５年３月31日）工種別前期繰越工事高（百万円）当期受注工事高（百万円）計（百万円）当期完成工事高（百万円）次期繰越工事高（百万円）法面保護工事2,7122,7615,4733,3562,117ダム基礎工事4418171,2581,060198アンカー工事2,9792,5325,5113,3542,157重機工事1,5055,2306,7365,0531,682注入工事4,1653,9498,1145,1902,923維持修繕工事311211521510環境保全工事15220135428371その他土木工事7702,3823,1522,323828建設コンサル・地質調査9318721,8031,185617計13,68918,86932,55821,96010,597　（注）１．賃貸収入等工事以外の売上は、「建設コンサル・地質調査」に含めている。２．前期以前に受注した工事で、契約の変更により請負金額の増減がある場合は、当期受注工事高にその増減額を含む。３．次期繰越工事高は、（前期繰越工事高＋当期受注工事高－当期完成工事高）である。４．「その他土木工事」は、一般土木工事、土留工事、推進工事、建築および造成地の基礎杭工事、地すべり防止工事、災害復旧工事等である。５．「注入工事」は、地盤補強・止水のための都市部における薬液注入工事、老朽ため池の止水注入工事、トンネル裏込注入工事、管路・水路の充填・閉塞のグラウト工事等である。６．「建設コンサル・地質調査」の［当期受注工事高］［計］［当期完成工事高］のそれぞれの欄には前事業年度に不動産の賃貸収入および植物工場売上として104百万円、当事業年度に不動産の賃貸収入として104百万円がそれぞれ含まれている。 (2）受注工事高の受注方法別比率　工事の受注方法は、特命と競争に大別される。期別特命（％）競争（％）計（％）前事業年度（自　令和３年４月１日至　令和４年３月31日）94.55.5100当事業年度（自　令和４年４月１日至　令和５年３月31日）96.13.9100　（注）　百分比は請負金額比である。(3）完成工事高期別区分官公庁（百万円）民間（百万円）計（百万円）前事業年度（自　令和３年４月１日至　令和４年３月31日）法面保護工事2,6287963,424ダム基礎工事1,373－1,373アンカー工事2,3116572,968重機工事1,4322,1523,585注入工事1,9132,4124,326維持修繕工事56183645環境保全工事172277449その他土木工事2,0945002,594建設コンサル・地質調査9591941,153計13,4477,07320,521当事業年度（自　令和４年４月１日至　令和５年３月31日）法面保護工事2,3719843,356ダム基礎工事1,060－1,060アンカー工事2,2321,1223,354重機工事2,1602,8935,053注入工事1,3763,8145,190維持修繕工事9655151環境保全工事114168283その他土木工事1,3249982,323建設コンサル・地質調査1,0061781,185計11,74310,21621,960　（注）１．官公庁には、当社が建設業者から下請として受注したものが含まれている。２．区分の建設コンサル・地質調査欄の民間には、前事業年度に不動産の賃貸収入および植物工場売上として104百万円、当事業年度に不動産の賃貸収入として104百万円がそれぞれ含まれている。３．完成工事のうち主なものは、次のとおりである。前事業年度の完成工事のうち請負金額２億円以上の主なもの奥村・日本国土・札建・山田北海道新幹線、羊蹄トンネル（比羅夫）他特定ＪＶ：北海道新幹線、羊蹄トンネル（比羅夫）他（株）大林組：京都競馬場改修工事（スタンド工区）に伴うメインスタンド　底盤部薬液注入工清水建設（株）：官）（土）足羽川ダム原石山掘削　法面吹付・防護飛島建設・太名嘉組・丸尾建設特定建設工事共同企業体：平成30年度赤嶺トンネル（北側）工事の内、地盤改良工事 当事業年度の完成工事のうち請負金額２億円以上の主なもの清水建設・株木建設共同企業体 ：東海第二発電所　緊急時対策所液状化対策工事（超多点注入工法）大成建設（株）：(仮称)内神田一丁目計画清水建設・株木建設共同企業体：東海第二発電所　緊急時対策所建屋設置工事　地盤改良工事（流動化処理土工）西松・安藤ハザマ・青木あすなろ特定建設工事共同企業体：立野ダム建設（二期）工事　基礎処理工他工事東興ジオテック（株）：新東名高速道路　浜松管内切土のり面補強工事(2020年度)大成建設（株）：地下水排水設備耐震化に係る地盤改良および新設集水管接続工事　山留工（当初計画BG）４．完成工事高総額に対する割合が100分の10以上の相手先はない。 (4）次期繰越工事高（令和５年３月31日現在）区分官公庁（百万円）民間（百万円）計（百万円）法面保護工事1,4336842,117ダム基礎工事198－198アンカー工事1,3098472,157重機工事1,0786031,682注入工事6292,2932,923維持修繕工事000環境保全工事343671その他土木工事603225828建設コンサル・地質調査54275617計5,8314,76610,597　（注）１．官公庁には、当社が建設業者から下請として受注したものが含まれている。２．次期繰越工事のうち請負金額３億円以上の主なものは、次のとおりである。大林組・鉄建建設共同企業体：品川駅北部駅改良・駅ビル整備他令和６年12月完成予定（株）安藤・間：高原トンネル上部斜面対策工事に伴う抑止アンカー工令和６年２月完成予定清水・岩田地崎特定建設工事共同企業体：新東名高速道路川西工事　法面工令和５年４月完成予定（株）大林組：東京駅南部東西自由通路令和10年３月完成予定安藤ハザマ・中部プラント共同企業体：尾鷲三田火力発電所　発電所構内設備撤去工事（２期）令和５年５月完成予定三井住友・クボタ・東芝インフラシステムズ・日本水工設計・日立建設・宇部興機・前村電気ＪＶ：宇部市公共下水道玉川ポンプ場事業（鵜の島・栄川ポンプ場杭撤去工事）令和７年３月完成予定 （２）経営者の視点による経営成績等の状況に関する分析・検討内容　経営者の視点による当社グループの経営成績等の状況に関する認識及び分析・検討内容は次のとおりである。　なお、文中の将来に関する事項は、当連結会計年度末現在において判断したものである。 ①重要な会計方針及び見積もり　当社グループの連結財務諸表は、わが国において一般に公正妥当と認められている会計基準に基づき作成されている。この連結財務諸表の作成にあたって、必要と思われる見積りは合理的な基準に基づいて実施している。詳細につきましては、第５　経理の状況　１　連結財務諸表等　(1)連結財務諸表　注記事項（連結財務諸表作成のための基本となる重要な事項）　４．会計方針に関する事項及び（重要な会計上の見積り）に記載のとおりである。 ②当連結会計年度の経営成績等の状況に関する認識及び分析・検討内容ａ．経営成績等　１）財政状態　当連結会計年度末の総資産の残高は、302億35百万円となり、前連結会計年度末に比べ１億44百万円の増加となった。その主な要因として、流動資産では、完成工事未収入金は増加したが、現金預金およびその他が減少したこと等により、84百万円減少した。固定資産では、投資有価証券が増加したこと等により２億29百万円増加したことによるものである。　負債の残高は、96億８百万円となり、前連結会計年度末に比べ６億27百万円の増加となった。その主な要因として、短期借入金が増加したこと等によるものである。　純資産の残高は、206億27百万円となり、前連結会計年度末に比べ４億82百万円の減少となった。その主な要因として、利益剰余金が減少したこと等によるものである。　この結果、当連結会計年度末の自己資本比率は、68.2％となり2.0ポイントの低下となった。 　２）経営成績　当社グループの当連結会計年度の経営成績は、受注高は、国内では、都市部を中心に予定数量の大幅見直しや来期以降への発注遅延等の影響により、計画を大きく下回る結果となった。また、米国現地法人でも、大型案件の工事着工が来期以降に大幅に延期されたことから、国内・海外の受注高合計は、210億76百万円（前年同期比7.0％減)となった。　売上高は、国内では、都市部での再開発工事、国土強靭化関連工事、エネルギー関連工事、鉄道関連工事等が堅調に進捗したため、期初計画を達成した。一方、米国現地法人では、大型案件の発注遅延に伴い、施工が先送りとなり計画を下回る結果となった。その結果、全体で239億８百万円（前年同期比8.1％増）となり、海外の減少を国内でカバーする結果となっている。　また、利益面においては、一部の大型工事での進捗遅れによる不採算工事の発生、ならびに労働日数縮減のなかでの工期遵守厳命による就労人員の増により、労務費が増加したことから工事利益率は低下したが、都市再開発関連の障害物撤去等大型重機工事による生産性向上に加え、エネルギー関連工事や鉄道・高速道路の補修工事が順調に進捗した結果、国内では期初計画を上回った。一方、米国現地法人では、売上高の減少により、工事利益が大幅に低下し、赤字経営となった。その結果、連結営業損益は７億78百万円の利益となり（前年同期は７億51百万円の営業利益）、経常損益については10億８百万円の利益となった（前年同期は９億63百万円の経常利益）。親会社株主に帰属する当期純損益については、５億26百万円の純利益となった（前年同期は４億98百万円の純利益）。　なお、受注高、売上高の内訳は、「第２ 事業の状況  4.〔経営者による財政状態、経営成績及びキャッシュ・フローの状況の分析〕  （１）経営成績等の状況の概要  ③生産・受注及び販売の実績」に記載のとおりである。 　３）キャッシュ・フローの状況　当連結会計年度のキャッシュ・フローの状況については、「第２ 事業の状況  4.〔経営者による財政状態、経営成績及びキャッシュ・フローの状況の分析〕  （１）経営成績等の状況の概要  ②キャッシュ・フローの状況」に記載のとおりである。 ｂ．経営成績等の状況に関する認識及び分析・検討内容　当社グループは売上高及び営業利益を重要な経営指標として位置付けている。　当社が策定した中期経営計画（2023年度～2025年度）に従い、米国現地法人JAFEC USA,Inc.を含めたグループ全体としての数値目標の達成に向け、重点施策に従って、全社を挙げて取り組んでいく所存である。 ｃ．資本の財源及び資金の流動性　資本の政策については、財務の健全性や資本効率など当社にとって最適な資本構成を追求しながら、会社の将来の成長のための内部留保の充実と、株主への利益還元との最適なバランスを考え実施していくことを基本としている。　当社グループの資本の財源及び資金の流動性については、当連結会計年度末における現金及び現金同等物は57億円を保有していることから、十分な財源及び高い流動性を確保していると考えている。運転資金及び設備資金については、自己資金または借入により資金調達することとしている。　令和５年３月現在、短期借入金の残高は31億円である。また、当連結会計年度末において、複数の金融機関との間で合計40億円のコミットメントライン契約を締結している。（借入実行残高31億円、借入金未実行残高９億円）なお、本報告書提出日現在において、重要な資本的支出または重要な買収等の予定はない。　当連結会計年度のキャッシュ・フローの状況については、「第2 事業の状況  4.〔経営者による財政状態、経営成績及びキャッシュ・フローの状況の分析〕  （１）経営成績等の状況の概要  ②キャッシュ・フローの状況」に記載のとおりである。 
経営上の重要な契約等	５【経営上の重要な契約等】　特記事項なし。
研究開発活動	６【研究開発活動】（建設工事）　当社グループは、ものづくりの施工技術を提供する専門業者として、「建設基礎技術で豊かな社会づくりに貢献する」ことを経営理念としている。そして、生産性向上や品質確保に重点を置き、当社独自技術について研究開発を進めている。　また、「削孔」と「注入」という当社グループの基本技術にさらなる磨きをかけるために、大学や公的機関、民間企業、あるいは海外企業等との技術交流、共同開発を積極的に推進し、かつ、ICT（情報通信技術）を活用した機械化施工技術の構築を目指す。　当連結会計年度における研究開発費は122百万円であり、これらの研究開発の概要は以下のとおりである。 (1) 中層混合技術の開発　バックホウベースの施工機のアーム先端部に取り付けた当社独自の攪拌翼で改良材と地盤をより効率よく混合する中層混合処理工法を開発した。施工機には経験の浅いオペレーターでも施工できるように自動運転機能を搭載し、ヒューマンエラーを低減し、むらなく安定した品質を提供できるものとした。　当期は、本工法の硬質地盤の掘削性能を宮城県および群馬県において確認した。また、ICT機能を追加した施工を群馬県、小型機械での施工を静岡県および福岡県でそれぞれ実施し、適用範囲を拡大させた。沖縄においては、風化泥岩の改良および固結した泥岩の掘削性能を小型機で確認した。また、技術審査証明を取得し、NETIS（新技術情報提供システム）は申請済みである。今後は、ICT施工における精度向上やICT建設機械への登録を目指す。 (2) 自動化に関する開発（パーカッションドリルに関する事項）　ロータリーパーカッションドリル（二重管方式）の自動削孔機を製作し、動作確認と削孔試験を群馬県で実施している。その結果、パーカッションドリルの一連の動作（削孔・接続）が自動化された。適応口径については５インチ、４インチ、３インチとなった。また、ロングブームを装着し、従来施工との比較試験を実施した結果、従来施工と同等程度の能力を少人数で対応可能なことを確認した。　また、福島県、長野県で実際にアンカー工の施工を行い、施工性能を確認した。さらに、ロッド供給装置とロッドチェンジャーの連携を実際の施工にて確認した。 (3) 自動化に関する開発（小口径ボーリングマシンに関する事項）　ダムや都市土木等のボーリング作業が必要となる現場に展開させるための小口径ボーリングマシンを製作した。　兵庫県において、硬質地盤での削孔性能確認試験や長深度削孔試験、耐久試験、自動削孔試験などを実施している。そして、これらの試験により、改善点を抽出し、機械の改良や自動削孔プログラムの修正を行っている。また、熊本県のダム現場において削孔作業を行い、101mの掘削を行った。今後さらなる高機能化に向けて対応中である。 (4) 高圧噴射併用の機械撹拌工法の開発　高圧噴射と機械撹拌を併用した地盤改良工法である「N．ロールコラム工法」を開発した。本工法は、高圧噴射を用いることにより、一般的な機械撹拌工法では得られなかった既設構造物等との付着を得ることを可能にした工法である。なお、標準改良径は2,400mmである。機動性の高い小型の改良機を使用し、大きな改良径を造成できるため、より経済的な施工が可能となる。なお、本工法は日特建設株式会社との共同開発技術である。 (5) 工事所有権関係  　当連結会計年度末における保有特許件数は57件、出願中の件数は14件、保有実用新案件数は０件であった。また現業に係わる施工実施権は80件を保有している。 　なお、子会社においては、研究開発活動は特段行われていない。 （建設コンサル・地質調査等）　　研究開発活動等は特段行われていない。
設備投資等の概要	１【設備投資等の概要】　施工体制および管理部門の強化拡充を図るため、必要な設備投資を実施している。　当連結会計年度の設備投資の総額は876百万円である。このうち主なものは、大口径削孔機（BG-14）の61百万円および大口径削孔機（BG-20）低空頭システムの56百万円、半自動パーカッションドリル（A-RPD）の53百万円である。
主要な設備の状況	２【主要な設備の状況】(1）提出会社（令和５年３月31日現在） 事業所名（所在地）設備の内容帳簿価額（百万円）従業員数(人)建物及び構築物機械装置及び運搬具土地(面積㎡)その他合計本社（大阪市北区）統括業務事務所1380154（364.46）93034研修センター（兵庫県宍粟市山崎町）研修施設92－33（1,979.59）21280東京本社、東京支社、首都圏支店（東京都渋谷区幡ヶ谷）統括業務事務所・事務所554－600（487.27)151,169118札幌支店（札幌市中央区）事務所－－－（－）0040東北支店（仙台市若林区）事務所－－－（－）0021北関東営業所（群馬県前橋市）事務所57－46（662.71）21065中部支店（名古屋市北区）事務所0－－（－）0020新潟営業所（新潟県新潟市）事務所・倉庫・寮46－103（1,408.02）01497関西支店（大阪市北区）事務所0－－（－）7734九州支店（福岡市南区）事務所・寮490180（1,464.17）023038機械センター及び工場機械工場1,4182,3101,426(80,062.45)665,22219その他営業所等12ヵ所事務所10－2（34.51)01359　（注）１．帳簿価額「その他」は、工具、器具及び備品で建設仮勘定は含まれていない。　　　　２．提出会社は建設工事の他に建設コンサル・地質調査等を営んでいるが、大半の設備は建設工事または共通的に使用されているので、セグメントごとに分類せず、主要な事業所ごとに一括して記載している。３．支店および営業所の建物で賃借中の面積は1,951.81㎡であり、新潟営業所の建物で賃貸中の面積は162.55㎡である。４．リース契約による主な賃借設備は次のとおりである。設備の内容台数リース期間年間リース料（百万円）備　考車輌運搬具　　 223台１～５年間85所有権移転外ファイナンス・リース等その他パソコン等備品　　 85台１～７年間35所有権移転外ファイナンス・リース等 (2）国内子会社（令和５年３月31日現在） 会社名事業所名（所在地）事業の内容帳簿価額（百万円）従業員数（人）建物及び構築物機械装置及び運搬具土地(面積㎡)その他合計　株式会社オーケーソイル（東京都足立区）　建設工事5062287（1,189.17）8448525　（注）１．土地で賃貸中の面積は307.11㎡である。２．リース契約による主な賃借設備は次のとおりである。設備の内容台数リース期間年間リース料（百万円）備　考重機ならびに車輌運搬具　　　31台１～６年間39所有権移転外ファイナンス・リース等システムサーバ等備品　　　13台１～７年間2 所有権移転外ファイナンス・リース等 (3）在外子会社（令和５年３月31日現在） 会社名事業所名（所在地）事業の内容帳簿価額（百万円）従業員数（人）建物及び構築物機械装置及び運搬具土地(面積㎡)その他合計　JAFEC USA,Inc.（米国カリフォルニア州サンノゼ市）　建設工事08－（－）0811　（注）１．土地で賃借中の面積は4,749.01㎡であり、建物で賃借中の面積は214.88㎡である。　　　　２．リース契約による賃借設備はない。
株式の総数	①【株式の総数】種類発行可能株式総数（株）普通株式86,853,100計86,853,100
発行済株式、株式の総数等	②【発行済株式】種類事業年度末現在発行数（株）（令和５年３月31日）提出日現在発行数（株）（令和５年６月30日）上場金融商品取引所名又は登録認可金融商品取引業協会名内容普通株式29,346,40029,346,400東京証券取引所スタンダード市場単元株式数100株計29,346,40029,346,400－－
