項目	値
事業の内容	３【事業の内容】　当社及び当社の関係会社15社（うち、連結子会社13社）は、熱絶縁工事を中心とする建設工事事業及びボイラ事業の事業活動を展開しております。　各事業における当社及び関係会社の位置付け等は次のとおりであります。　なお、次の２事業は「第５ 経理の状況　１ 連結財務諸表等　(1）連結財務諸表　注記事項（セグメント情報等）」に掲げるセグメントの区分と同一であります。(1）建設工事事業（14社）　当社と国内及びアジア地域等での現地法人を含めた連結子会社で構成されており、国内外での材料等の製造及び施工において、熱絶縁工事、建材工事（クリーンルーム）、冷凍冷蔵低温設備工事等、幅広い需要先のニーズに対応しています。［主な関係会社］（施　工）　　　明星建工(株)、(株)エムエステック、メイセイ工事(株)、　　　MEISEI INTERNATIONAL PTE.LTD.（シンガポール）（製　造）　　　日本ケイカル(株)(2）ボイラ事業（１社）　ボイラ及び産業用機械器具の製造・施工及び販売・据付を国内外で行っております。［関係会社］（製造・施工）　(株)よしみね 　なお、事業の系統図は次のとおりであります。   
経営方針、経営環境及び対処すべき課題等	１【経営方針、経営環境及び対処すべき課題等】　当社グループの経営方針、経営環境及び対処すべき課題等は、以下のとおりであります。　なお、文中の将来に関する事項は、当連結会計年度末現在において当社グループが判断したものであります。（1）経営方針当社グループは、近年「エネルギー」と「エコロジー」の豊かな共存こそが企業に課せられた重要なテーマといわれるなかで、「顧客の創造と信頼の確保」、「社会への貢献」、「未来への挑戦」の３つの経営理念に基づき、コア事業である断熱工事・技術を通じてエネルギーの有効利用に貢献するとともに、事業領域の拡大を図り、燃焼技術を基礎としたボイラの製造・据付、クリーンルーム内装工事、冷凍冷蔵低温設備工事及び環境関連等に取組んでおります。こうしたなかで、当社グループの技術力は多業種にわたるユーザーから高い信頼を得るとともに、地球規模の課題である省エネルギーや環境保全を推進することで、企業としての社会的責任を果たすために尽力しております。 （2）経営戦略等当社グループは、企業が国内労働人口の減少に伴うビジネスモデルの変革や地球温暖化への対応を進めるなか、将来の当社としてのあるべき姿を見据えて、2024年４月から中期経営計画（2024年度～2026年度）を新たにスタートさせました。本計画は、「未来の躍進に繋げる投資」を基本方針として、サステナビリティ経営の確立を目指す一方、企業風土の醸成、当社グループ内の意識改革を図り、脱炭素社会に向けた新たなビジネスチャンスを創出するため、三つの重点施策を掲げております。 ①収益基盤の持続的な強化　既存事業であるプラントのメンテナンス工事と新規建設案件のさらなる受注拡大のためには新規顧客の開拓およびシェアアップは必要不可欠であり、営業・工事・技術部門が顧客からの信頼を得ることで既存事業の深化・進化を図り、収益基盤の強化に努めてまいります。 ②持続的な成長戦略の展開　当社グループの主要顧客であるわが国の素材産業は、設備の運転最適化と保全効率化ならびに再生可能エネルギーやカーボンニュートラルへの対応を進めており、当社が将来に亘って持続的な成長を遂げていくため、これらに対応するとともに事業ポートフォリオの再構築を行ってまいります。同時に、断熱以外の業際分野にも取り組んでいくことで事業の多角化を図ってまいります。また、世界的なエネルギー需要の高まりを背景とした海外市場においても積極的な受注活動を展開してまいります。③経営基盤の強化　事業環境が劇的に変化していくなか、経営基盤を強化するためにはデジタル化やグローバル化、顧客ニーズの多様化などに適応できるよう、タイムリーな経営戦略の策定、組織体制の整備と人材育成、財務・リスク管理を恒常的に見直していくことが必要となります。引き続き、経営の透明化・効率化・最適化を推進してまいります。 　当社グループは、新たな事業環境下においても常に一歩先をリードするべく挑戦し、経営環境の変化が厳しい中でも持続的に成長できる収益基盤を確立できるように取り組んでまいります。 （3）経営環境　当社グループの事業を取り巻く経営環境は、建設工事事業におきましては、老朽化設備の維持・更新を中心とした設備投資をはじめ、再生可能エネルギー、ＣＣＳ（二酸化炭素回収・貯留）、合成メタン、既存設備の温室効果ガス削減に向けての投資が期待されます。また、海外領域では、エネルギー需要の増大によって中長期的にプラント市場が拡大していくことが見込まれることから、今後も顧客の受注動向を注視していく必要があります。　ボイラ事業におきましては、設備増強投資や既存ボイラの更新投資は継続しており、バイオマス発電も地産地消型の小規模発電設備の需要は増加してくるものと思われます。　今後の経営環境につきましては、資源価格の高騰による世界的なインフレが小康状態となり、堅調な企業業績による設備投資の進捗および原材料コストや人件費増を価格転嫁することで国内経済の下支え要因となる可能性があるものの、一方では日銀が従来の金融政策を維持する方針を示したことによる円安・ドル高進行の懸念と、長期化するウクライナ情勢と中東問題、米国大統領選挙の結果によるグローバル経済への影響など、先行き不透明感が長期化するものと思われます。 （4）優先的に対処すべき事業上及び財務上の課題　上記の経営環境を踏まえ、当社グループは、2024年度開始の中期経営計画（2024年度～2026年度）の目標達成に向けて、「未来の躍進に繋げる投資」の基本方針のもと、「改革、スピード＆チャレンジ」の行動指針をグループ全体に浸透させ、脱炭素案件の獲得に向けた情報の収集及び情報の共有を図り、将来的なエネルギー源となる水素・アンモニアに係る防熱技術・工法の開発等、未来に向けた持続的成長戦略を展開してまいります。また、ＥＳＧ課題に取り組みながらサステナビリティ経営を実践するとともに、より強固なコーポレート・ガバナンス体制の構築ならびにコンプライアンスを徹底し、ステークホルダーの皆様のご期待にお応えできるよう企業価値の向上に邁進する所存です。　セグメント別の対処すべき課題は、以下のとおりであります。①建設工事事業　主要な事業対象である石油・石油化学分野における設備投資の伸び悩みや国内マーケットの縮小、価格競争の熾烈化などにより、引き続き厳しい事業環境となるものと予想されます。海外では環境負荷が比較的少ないエネルギー源である天然ガスの需要が引き続き高いと想定され、産油・産ガス諸国におけるプラントの新設や既設プラントの増設・改造計画の進展が期待されます。　当社グループでは、海外工事の受注獲得に注力し、国内においても顧客企業の設備投資動向が不透明な中、メンテナンス工事等を基礎にして周辺事業と合わせて着実な積み上げにより収益の確保を図ってまいります。②ボイラ事業　近年増加している自然災害による事故等により、社会が求めるエネルギーのニーズが安定供給と安全確保にシフトしており、特に自然エネルギーを活用した再生可能エネルギー発電事業に注目が高まっております。その中でも、バイオマス発電については、原燃料の需給バランス不均衡が懸念されるものの、低炭素化や未利用資源の有効活用、地域産業の振興等への寄与が期待され、その需要は当面根強くあると考えられます。　当社グループでは、バイオマス発電や産業用ボイラの新設工事受注に注力するとともに、業績の基盤を補完するメンテナンス工事を安定的継続的に確保するとともに、調達チャネルを多様化し、コスト競争力の強化を図ってまいります。　なお、現在、三重県亀山市において、2025年3月期中の稼働を目指して、主力製造拠点である京都工場に代わる新工場（中部事業所）を建設中であります。 （5）経営上の目標の達成状況を判断するための客観的な指標等　当社グループは、売上高、営業利益、経常利益及び親会社株主に帰属する当期純利益を、経営上の目標の達成状況を判断するための客観的な指標等として用いており、各指標等の状況は次のとおりであります。当連結会計年度 （単位：百万円）指標2023年５月公表年度計画実績増減対予想比増減売上高55,00060,3775,3779.8％営業利益6,6008,0611,46122.2％経常利益6,7008,5481,84827.6％親会社株主に帰属する当期純利益4,6706,2431,57333.7％　なお、経営指標については各種のものがあり、それぞれが企業の健全性、収益性、効率性等の一面を示すものとして有効であることは承知しておりますが、経営に当たっては特定の指標に限定せず、総合的な判断が必要であると考えております。 （6）経営者の問題認識と今後の方針について　当社グループを取り巻く主要関連市場におきましては、熾烈な受注競争に加えて2024年問題に見られる労働力不足の問題や調達価格の上昇など、今後も厳しい事業環境は続くものと思われますが、世界的に脱炭素社会に向けた取り組みが本格化しており、関連投資の需要により、新たな収益確保の機会が期待されます。　このような情勢に対処するため、中期経営計画に基づき脱炭素社会に向けた技術力・施工能力の向上、企業として持続的に成長していくための事業戦略の構築及び業界におけるシェアアップや新規顧客の創出に努めてまいります。　また、持続的にコーポレート・ガバナンス体制を強化し、サステナビリティ課題に対して取り組みながらコンプライアンスの浸透ならびにリスク・マネジメントを徹底し、経営諸施策を着実に遂行し企業価値をより高めるために取り組んでまいります。  
事業等のリスク	３【事業等のリスク】　有価証券報告書に記載した事業の状況、経理の状況等に関する事項のうち、経営者が連結会社の財政状態、経営成績及びキャッシュ・フローの状況に重要な影響を与える可能性があると認識している主要なリスクは、以下のとおりであります。当社は、「リスク管理規程」に基づきリスク管理体制を明確化し、グループ全体のリスクを網羅的・統括的に管理しております。また、必要に応じて各リスク委員会を設置し、緊急時には対策本部の設置を行う等、リスクを最小限に止める体制を整備しております。　なお、文中の将来に関する事項は、当連結会計年度末現在において当社グループが判断したものであります。 (1）当社グループに関連する需要市場の急激な変動　当社グループが形成する各セグメント及び各事業領域は、幅広い需要分野に支えられていますが、収益基盤である国内需要分野の経済状況、統廃合、製造拠点の海外移転等により、需要が長期に停滞、減少傾向が続くと、業績に悪影響を与える可能性があります。 (2）完成工事補償のリスク　海外工事、大型工事等について、引渡しを完了した工事に係る瑕疵担保の費用が大きく発生した場合には、業績及び財務状況に悪影響を与える可能性があります。 (3）海外事業に伴うリスク　当社グループの海外事業はアジア地域を中心に展開しており、テロや政情悪化、予期しない法律・規制の変更、市況の悪化、ＪＶ等のパートナー企業の経営状況等によって業績に悪影響を与える可能性があります。 (4）為替及び金利の変動リスク　急激な為替相場の変動または金利の上昇により、業績に悪影響を与える可能性があります。 (5）顧客に対する信用リスク　当社グループが多額の債権を有する顧客が財務上の問題に直面した場合には、業績及び財務状況に悪影響を与える可能性があります。 (6）会計基準に係る見積りリスク等　収益認識については、請負工事契約に基づく工事収益総額に対応する工事原価総額及び工事進捗度を合理的に見積り認識しております。工事原価総額の見積りの算定は、工程の遅れや当初想定していなかった事象の発生等、工事施工に係る状況変化に伴い、見直しの必要性が生じることがあります。将来の状況の変化により見積りと実績が乖離した場合は、収益の金額に影響を与える可能性があります。　有形固定資産については、主に事業用の土地、建物、機械及び装置等を保有しておりますが、事業環境が著しく変動した場合、時価の下落や設備等の遊休化、稼働率の低下等により、減損損失を計上する可能性があります。　繰延税金資産については、税効果会計における回収可能性を見積って計上しておりますが、想定している業績計画を下回った場合、繰延税金資産の取り崩しを行う可能性があります。　投資不動産及び有価証券については、時価の下落により、減損損失を計上する可能性があります。　退職給付債務については、年金資産の運用状況等により、費用処理額が増加する可能性があります。　上記いずれの場合におきましても、業績に悪影響を与える可能性があります。 (7）不採算工事の発生に対するリスク　工事施工段階での想定外の追加原価等により不採算工事が発生した場合には、業績及び財務状況に悪影響を与える可能性があります。 (8）災害等の発生等によるリスク　想定外の災害や感染症の流行などにより、当社グループや主要取引先の事業活動に支障をきたす事態が発生した場合には、業績に影響を及ぼす可能性があります。  
経営者による財政状態、経営成績及びキャッシュ・フローの状況の分析	４【経営者による財政状態、経営成績及びキャッシュ・フローの状況の分析】（1）経営成績等の状況の概要　当連結会計年度における当社グループ（当社及び連結子会社）の財政状態、経営成績及びキャッシュ・フロー（以下、「経営成績等」という。）の状況の概要は次のとおりであります。 ①財政状態及び経営成績の状況　当社グループの当連結会計年度の受注高は、国内建設工事事業は堅調に推移しましたが、海外分野及びボイラ事業で減少し57,955百万円（前年同期比3.7％減）の計上となりました。　売上高は、建設工事事業、ボイラ事業ともに大型工事等の進捗が堅調に推移し、60,377百万円（同8.0％増）の計上となりました。　なお、利益面につきましては、売上高の増加に加え、主に海外分野及び国内クリーンルーム分野における大口工事案件の収支が工事進捗に伴い改善されたこと等により、営業利益は8,061百万円（前年同期比18.0％増）、経常利益は8,548百万円（同17.8％増）、親会社株主に帰属する当期純利益は6,243百万円（同33.4％増）の計上となりました。 　セグメントごとの経営成績等の状況に関する認識及び分析・検討内容は、次のとおりであります。（建設工事事業）　国内外の大口工事やメンテナンス工事が堅調に推移したことにより、売上高は53,449百万円（前年同期比8.3％増）の計上となりました。セグメント利益は、売上高の増加に加え、海外分野及び国内クリーンルーム分野における大口工事案件の収支改善等により7,622百万円（同22.6％増）の計上となりました。（ボイラ事業）　国内大型案件、メンテナンス工事ともに堅調に推移し、売上高は6,927百万円（前年同期比5.6％増）の計上となりました。セグメント利益は、人件費や原材料価格上昇等のコスト増加要因の影響があり429百万円（同29.6％減）の計上にとどまりました。 　当連結会計年度末の資産合計は、前連結会計年度末と比べ6,924百万円増加し、84,432百万円となりました。　当連結会計年度末の負債合計は、前連結会計年度末と比べ2,504百万円増加し、20,564百万円となりました。　当連結会計年度末の純資産合計は、前連結会計年度末と比べ4,420百万円増加し、63,868百万円となりました。 ②キャッシュ・フローの状況　当連結会計年度末における現金及び現金同等物（以下「資金」という）は、前連結会計年度末と比べ、2,367百万円増加して31,371百万円となりました。各キャッシュ・フローの状況は以下のとおりであります。1. 営業活動によるキャッシュ・フロー　営業活動による資金は、7,126百万円の増加（前年同期は4,068百万円の増加）となりました。　主な増加要因は、税金等調整前当期純利益8,548百万円、契約負債の増加額1,428百万円であり、主な減少要因は、法人税等の支払額2,470百万円、売上債権の増加額1,471百万円であります。2. 投資活動によるキャッシュ・フロー　投資活動による資金は、1,889百万円の減少（前年同期は827百万円の減少）となりました。　主な増加要因は、定期預金の払戻による収入307百万円、投資事業組合からの分配による収入236百万円であり、主な減少要因は、有形固定資産の取得による支出1,907百万円、定期預金の預入による支出307百万円であります。3. 財務活動によるキャッシュ・フロー　財務活動による資金は、3,088百万円の減少（前年同期は1,739百万円の減少）となりました。　主な増加要因は、自己株式の処分による収入17百万円であり、主な減少要因は、配当金の支払額1,900百万円、自己株式の取得による支出1,200百万円であります。 ③生産、受注及び販売の状況1. 受注実績セグメントの名称前連結会計年度当連結会計年度前年同期比自　2022年４月１日至　2023年３月31日自　2023年４月１日至　2024年３月31日建設工事事業（百万円）52,72252,015△1.3％ボイラ事業（百万円）7,4865,939△20.7％合計（百万円）60,20957,955△3.7％ 2. 売上実績セグメントの名称前連結会計年度当連結会計年度前年同期比自　2022年４月１日至　2023年３月31日自　2023年４月１日至　2024年３月31日建設工事事業（百万円）49,33153,4498.3％ボイラ事業（百万円）6,5596,9275.6％合計（百万円）55,89060,3778.0％　（注）当社グループでは生産実績を定義することが困難であるため「生産の状況」は記載しておりません。 なお、参考のため提出会社個別の事業の状況は次のとおりであります。建設事業における受注工事高及び完成工事高の状況a.受注工事高、完成工事高及び繰越工事高期別区分前期繰越工事高（百万円）当期受注工事高（百万円）計（百万円）当期完成工事高（百万円）次期繰越工事高（百万円）前事業年度（自　2022年４月１日至　2023年３月31日）施工11,33536,84148,17736,98411,192販売3201,7012,0221,229792計11,65638,54350,20038,21411,985当事業年度（自　2023年４月１日至　2024年３月31日）施工11,19240,88352,07637,96114,114販売7926731,4661,143323計11,98541,55753,54239,10514,437　（注）１．前事業年度以前に受注した工事で、契約の変更により請負金額の増減がある場合は、当期受注工事高にその増減額が含まれております。したがって当期完成工事高にもかかる増減額が含まれております。２．次期繰越工事高は（前期繰越工事高＋当期受注工事高－当期完成工事高）であります。３．当期受注工事高のうち海外工事の割合は、前事業年度1.9％、当事業年度0.7％であります。 b.受注工事高の受注方法別比率工事の受注方法は、特命と競争に大別されます。期別区分特命（％）競争（％）合計（％）前事業年度（自　2022年４月１日至　2023年３月31日）施工41.658.4100.0販売－100.0100.0当事業年度（自　2023年４月１日至　2024年３月31日）施工42.657.4100.0販売－100.0100.0　（注）百分比は請負金額比であります。 c.完成工事高期別区分国内海外合計（B）（百万円）官公庁（百万円）民間（百万円）（A）（百万円）（A／B）（％）前事業年度（自　2022年４月１日至　2023年３月31日）施工3736,932140.036,984販売370152442.61,229計4137,6335381.438,214当事業年度（自　2023年４月１日至　2024年３月31日）施工－37,872890.237,961販売092122119.31,143計038,7943100.839,105　（注）１．海外工事の地域別割合は、次のとおりであります。地域前事業年度（％）当事業年度（％）アジア100.0100.0計100.0100.0２．完成工事高の内で主なものは、次のとおりであります。前事業年度 　三菱パワー(株)ＪＥＲＡ姉崎火力発電所 一般保温・耐火被覆工事　東洋エンジニアリング(株)愛知蒲郡バイオマス発電所・建設保温工事当事業年度 　東洋エンジニアリング(株)新潟東港バイオマス発電(同)・保温工事　東洋エンジニアリング(株)唐津バイオマス発電所・建設保温耐火工事３．前事業年度及び当事業年度ともに完成工事高総額に対する割合が10％以上の相手先はありません。 d.次期繰越工事高（2024年３月31日現在）区分官公庁（百万円）民間（百万円）合計（百万円）施工－14,11414,114販売0322323計014,43714,437　（注）次期繰越工事高の内で主なものは、次のとおりであります。原電エンジニアリング(株)日本原子力発電(株)東海第二発電所・足場工事（2025年12月完成予定）住友重機械工業(株)仙台港バイオマスパワー発電所・保温工事（2026年７月完成予定） （2）経営者の視点による経営成績等の状況に関する分析・検討内容　経営者の視点による当社グループの経営成績等の状況に関する認識及び分析・検討内容は次のとおりであります。　なお、文中の将来に関する事項は、当連結会計年度末現在において判断したものであります。 ①財政状態及び経営成績の状況に関する認識及び分析・検討内容　当社グループの当連結会計年度の財政状態及び経営成績は次のとおりであります。（財政状態）　当連結会計年度末における総資産は、84,432百万円となり、前連結会計年度末と比べ6,924百万円増加いたしました。　資産の部は、流動資産は60,083百万円となり、前連結会計年度末と比べ4,409百万円増加いたしました。主な要因は現金預金の増加2,372百万円、電子記録債権の増加859百万円、契約資産の増加618百万円、受取手形の減少190百万円であります。固定資産は24,348百万円となり、前連結会計年度末と比べ2,514百万円増加いたしました。主な要因は有形固定資産の増加1,373百万円、投資有価証券の増加1,006百万円であります。 　負債の部は、流動負債は16,956百万円となり、前連結会計年度末と比べ2,900百万円増加いたしました。主な要因は契約負債の増加1,428百万円、１年内返済予定の長期借入金の増加700百万円、工事未払金の増加332百万円、未払法人税等の減少202百万円であります。固定負債は3,607百万円となり、前連結会計年度末と比べ396百万円減少いたしました。主な要因は、繰延税金負債の増加317百万円、長期借入金の減少700百万円であります。　この結果、負債合計は20,564百万円となり、前連結会計年度末と比べ2,504百万円増加いたしました。 　純資産の部は63,868百万円となり、前連結会計年度末と比較して4,420百万円増加いたしました。主な要因は親会社株主に帰属する当期純利益の計上による増加6,243百万円、剰余金の配当による減少1,901百万円、自己株式の取得による減少1,200百万円であります。　この結果、自己資本比率は75.1％（前連結会計年度末は76.2％）となりました。 （経営成績）　当連結会計年度は、中期経営計画（2021年５月７日発表）の最終年にあたり、“新たなステージへの挑戦”のスローガンのもと、５つの基本方針に基づいて、グループ企業一丸となって収益力・競争力の強化及び事業領域拡大に向け経営資源を投入し、企業価値をより高めるために取り組んでまいりました。1. 売上高　当連結会計年度の売上高は、60,377百万円（前年同期比8.0％増）の計上となりました。　セグメント別では、建設工事事業においては国内大型工事、メンテナンス工事に加えて、海外工事、クリーンルーム設備工事等も堅調に推移したことにより、53,449百万円（前年同期比8.3％増）の計上となり、ボイラ事業においても国内大型案件、メンテナンス工事案件ともに堅調に推移したことにより、6,927百万円（同5.6％増）の計上となりました。2. 営業利益　当連結会計年度の営業利益は、8,061百万円（前年同期比18.0％増）の計上となりました。　セグメント別では、建設工事事業においては売上高の増加に伴い、7,622百万円（前年同期比22.6％増）の計上となり、ボイラ事業においては一部の不採算工事の影響により、429百万円（同29.6％減）の計上にとどまりました。3. 経常利益　当連結会計年度の経常利益は、営業利益の増加に伴い8,548百万円（前年同期比17.8％増）の計上となりました。4. 親会社株主に帰属する当期純利益　当連結会計年度の親会社株主に帰属する当期純利益は、6,243百万円（前年同期比33.4％増）の計上となりました。 　当社グループの経営成績に重要な影響を与える要因につきましては、「第２ 事業の状況　３ 事業等のリスク」に記載のとおりであります。  ②キャッシュ・フローの状況の分析・検討内容並びに資本の財源及び資金の流動性に係る情報　当連結会計年度のキャッシュ・フローの分析につきましては、「第２　事業の状況　４　経営者による財政状態、経営成績及びキャッシュ・フローの状況の分析　（1）経営成績等の状況の概要　②キャッシュ・フローの状況」に記載のとおりであります。（参考）キャッシュ・フロー関連指標の推移 2020年３月期2021年３月期2022年３月期2023年３月期2024年３月期自己資本比率（％）76.078.378.176.275.1時価ベースの自己資本比率（％）56.757.748.349.775.9キャッシュ・フロー対有利子負債比率（年）1.00.20.10.20.1インタレスト・カバレッジ・レシオ（倍）164.11,070.11,647.7919.41,495.9（注）自己資本比率：自己資本／総資産時価ベースの自己資本比率：株式時価総額／総資産キャッシュ・フロー対有利子負債比率：有利子負債／営業キャッシュ・フローインタレスト・カバレッジ・レシオ：営業キャッシュ・フロー／利払い※各指標は、いずれも連結ベースの財務数値により計算しております。※株式時価総額は、期末株価終値×期末発行済株式数（自己株式控除後）により算出しております。※有利子負債は、連結貸借対照表に計上されている負債のうち利子を支払っている全ての負債を対象としております。※営業キャッシュ・フローは、連結キャッシュ・フロー計算書の営業活動によるキャッシュ・フローを使用しております。※利払いについては、連結キャッシュ・フロー計算書の利息の支払額を使用しております。※営業キャッシュ・フローがマイナスとなった期につきましては、「キャッシュ・フロー対有利子負債比率」及び「インタレスト・カバレッジ・レシオ」を記載しておりません。 　当社グループの資本の財源及び資金の流動性につきましては、次のとおりであります。　当社グループの運転資金需要のうち主なものは材料費・外注費等の工事原価、並びに販売費及び一般管理費等の営業費用であります。また、投資を目的とした資金需要の主なものは、設備投資等によるものであります。　資金需要には基本的に自己資金及び銀行借入等にて対応しております。なお、当社においては、機動的な資金調達手段の確保を目的として、総額3,000百万円のコミットメントライン契約を締結しております。　当連結会計年度末における有利子負債残高は989百万円であり、現金及び現金同等物の残高は31,371百万円であります。 ③重要な会計上の見積り及び当該見積りに用いた仮定　連結財務諸表の作成に当たって用いた会計上の見積り及び当該見積りに用いた仮定のうち、重要なものについては、「第５ 経理の状況　１ 連結財務諸表等　(1）連結財務諸表　注記事項（重要な会計上の見積り）」に記載のとおりであります。　なお、その他の事項については、「第５ 経理の状況　１連結財務諸表等　(1)連結財務諸表　注記事項（連結財務諸表作成のための基本となる重要な事項）」に記載のとおりであります。  
経営上の重要な契約等	５【経営上の重要な契約等】特記事項はありません。  
研究開発活動	６【研究開発活動】　当社グループ（当社及び連結子会社）は、顧客のニーズに迅速に対応するため、材料・製品等の開発・改良から施工技術の開発まで、幅広く積極的に活動を行っております。　現在、研究開発は、当社の中央研究所及び各技術部門を中心に、工事部門及び関連会社、協力会社と密接に連携し、開発期間のスピードアップを意識し、地球環境に配慮して推進しております。　当連結会計年度におけるグループ全体の研究開発費は205百万円であります。 （１）建設工事事業　断熱・耐火・防音・防食等、幅広い事業分野に於いて、在来工法との差別化につながる工法開発を行っております。特に超低温保冷分野においてはこれまで積み上げてきた経験と実績を活用し、品質に優れた工法や材料の選定を行い、長期にわたり安心・安全に使用できる工法を開発できるように努めております。　保冷工事関連では、主材料である硬質ウレタンフォームのノンフロン処方を確立し、自社工場で生産・製品化しております。　当事業における研究開発費は195百万円であります。 ・超低温液化ガス工事関連　海外出荷基地、超低温液化ガス運搬船、国内受入基地における断熱等の幅広い分野の工事に関し、新材料の調査・新工法の開発及び開拓に取り組んでおります。　液化ガス貯槽タンクにおいては、顧客のニーズに対応すべく、保冷構造の工法改良や断熱部材などの開拓・実証試験等の研究開発を行っております。 ・その他　高機能断熱材を応用した断熱材の改良や、防錆機能付き断熱材の開発並びに施工システムの開発分野におきましても研究開発を行っております。 （２）ボイラ事業　ボイラ燃焼効率向上及び新たな施工方式（モジュール化）の開発に取り組みコストダウン並びに工期の短縮化を目指しております。　また、2025年3月期の稼働開始を目処に、三重県亀山市において、主力製造拠点である京都工場に代わる新工場を建設中であり、生産能力の向上及び更なる研究開発活動を進展させる予定です。　当事業における研究開発費は10百万円であります。 
設備投資等の概要	１【設備投資等の概要】　当社グループ（当社及び連結子会社）では、建設工事事業及びボイラ事業において1,971百万円の設備投資を実施しました。　なお、有形固定資産のほか、無形固定資産への投資額を含めて記載しております。建設工事事業　国内事業所の営業所社屋移転に伴う新築工事及び建物附属設備等の取得を行い、その総額は416百万円でありました。 ボイラ事業　中部事業所建設に伴う新築工事及び建物附属設備等の取得を行い、その総額は1,554百万円でありました。  
主要な設備の状況	２【主要な設備の状況】当社グループにおける主要な設備は、次のとおりであります。(1）提出会社2024年３月31日現在 事業所名（所在地）セグメントの名称設備の内容帳簿価額（百万円）従業員数（人）建物構築物機械及び装置車両運搬具工具器具・備品土地リース資産建設仮勘定合計面積(㎡)金額本社（大阪市西区）建設工事事業営業・管理設備等熱絶縁工事設備555381,0591,84013－2,44697東京本部・東部支店（東京都中央区）〃営業・管理設備等熱絶縁工事設備(注)１,３738128,162(3,930)818－－1,569104近畿・中部支店（大阪市西区）〃〃230153,754(4,625)142－－38865西部支店（広島市南区）〃〃118147,800(5,324)404－－53782浜松工場・中央研究所（浜松市浜名区）〃熱絶縁材料製造設備研究設備(注)２1,165144[35,771]64,4841,922－－3,23210 (2）国内子会社2024年３月31日現在 会社名事業所（所在地）セグメントの名称設備の内容帳簿価額（百万円）従業員数（人）建物構築物機械及び装置車両運搬具工具器具・備品土地リース資産建設仮勘定合計面積(㎡)金額明星建工(株)本社（大阪市城東区）建設工事事業営業・管理設備等建築・内装工事設備13135468－－8323大阪工場（大阪府東大阪市）〃クリーンルーム内装材製造設備13038063－－761(株)よしみね京都工場（京都府京田辺市）ボイラ事業ボイラ製造設備一式121413,69012－－3915中部事業所（三重県亀山市）〃〃－－23,714589－1,5842,173－広島工場（広島県江田島市）〃産業用機械器具製造設備968,623173－－1898日本ケイカル(株)本社工場（浜松市浜名区）建設工事事業断熱材製造設備一式(注)２122218－[35,771]－3535065（注）１．土地及び建物の一部を連結会社以外から賃借しております。賃借料は年間120百万円であり、土地の面積については、（　）内に外書きで示しております。２．土地及び建物の一部を日本ケイカル(株)へ賃貸しております。土地の面積については[　]内に内書きで示しております。３．各支店には管轄する下記ブロックに所在する事業所を含んでおります。東部支店・・・・・・・・・・・関東、東北、北海道地方近畿・中部支店・・・・・・・・近畿、中部、北陸地方西部支店・・・・・・・・・・・中国、四国、九州地方 
株式の総数	①【株式の総数】種類発行可能株式総数（株）普通株式190,000,000計190,000,000
発行済株式、株式の総数等	②【発行済株式】種類事業年度末現在発行数（株）（2024年３月31日）提出日現在発行数（株）（2024年６月21日）上場金融商品取引所名又は登録認可金融商品取引業協会名内容普通株式56,386,71856,386,718東京証券取引所　プライム市場単元株式数100株計56,386,71856,386,718－－
