項目	値
事業の内容	３【事業の内容】　当社グループは、当社、連結子会社10社（国内５社、海外５社）、持分法非適用非連結子会社５社（海外５社）、持分法適用関連会社１社（国内１社）により構成されており、「Manuals＆Knowledge事業」を提供しております。　当社と主な関係会社の事業内容及び当該事業に係る位置付けにつきましては、次のとおりであります。なお、セグメントと同一の区分です。 ［Manuals＆Knowledge事業］　情報を必要とする人へ“必要な時に、必要とする情報を、最適な方法で”届け、ユーザーエクスペリエンス（顧客体験価値）の最大化を図るために、お客さま企業の商材・市場・会社を深く理解し、お客さまのニーズに合わせて情報を体系化することで、社会全体の情報価値向上サイクルの実現をめざす一連のサービスを提供しており、以下の３つに分類しております。 (１)Manuals　お客さま企業の商材・市場・会社を深く理解し、利活用の目的（例えばリアルからデジタルコンテンツへの転用など）に合わせて情報を体系化するサービスを提供しております。 (２)Knowledge　情報を必要とする人のシーンに応じて、最適な尖端技術を活用し、ユーザーエクスペリエンス（顧客体験価値）の最大化を図るサービスを提供しております。 (３)その他　各種ソフトウエアのライセンス販売などを行っております。 単一セグメントにおける主な関係会社については、「第１　企業の概況　４　関係会社の状況」をご参照ください。 　事業系統図は、以下のとおりです。　※二重枠は連結子会社。 　※株式会社シイエム・シイ(当社)、株式会社CMC Solutions、株式会社CMCエクスマニコム、株式会社メイン、株式会社CMCエクスメディカ、府中自動車株式会社、株式会社フィットは国内。　※グループ会社間は、専門性に応じて相互に業務支援を実施しており、取引が発生。※CMC GROUP ASIA CO., LTD.は、2023年７月３日付で、CMC ASIA PACIFIC CO., LTD.から社名変更。　※Maruboshi(Thailand) Co., Ltd.は、CMC GROUP ASIA CO., LTD.へ事業を引き継いでおり、また、2023年６月30日開催の臨時株主総会において解散及び清算を決議し現在清算手続き中。
経営方針、経営環境及び対処すべき課題等	１【経営方針、経営環境及び対処すべき課題等】　文中における将来に関する事項は、当連結会計年度末（2023年９月30日）現在において、当社グループが判断したものであります。将来に関する事項は不確実性を内包しておりますので、将来生じる実際の結果と差異を生じる可能性があります。 （１）経営方針、経営戦略及び優先的に対処すべき課題　当社グループは、情報を必要とする人へ“必要な時に、必要とする情報を、最適な方法で”届け、関わる皆さまの心動かす価値を提供するために、お客さま企業の商材・市場・会社を深く理解し、お客さまのニーズに合わせて情報を体系化することで、社会全体の情報価値向上サイクルの実現をめざしております。 　当社グループの経営を取り巻く環境は、「2025/2027年の崖」に向けて、情報インフラ、市場動向、労働人口などの変化が予想されております。こうした環境変化のなか、中長期的にさらなる企業価値向上を図っていくため、2022年９月期から３ヵ年を対象とする中期経営計画を策定しております。 [中期経営計画の骨子]・期間：2022年９月期から2024年９月期末までの３ヵ年・方針：2030年に向け、人財を育てる、データを育てる当社グループがつくりだす情報を、データを、ビジネスを次世代の価値に進化させ、ユーザーエクスペリエンス（体験価値）の最大化をめざします。具体的には、お客さま企業の技術情報やデータを「人にやさしく、機械にやさしい」データに変換し、情報を利用するユーザーへ「必要な時に、最適な方法で、必要とする」情報を伝えるコンテンツを提供してまいります。 当期は中期経営計画の２年目にあたり、以下の経営課題に対し、戦略的に取り組んでまいりました。 ①事業戦略、Ｒ＆Ｄ戦略　お客さま企業においては、市場環境の変化に対応するために、事業のあり方や進め方を抜本的に改革し、業務の標準化を進め、人と情報をシームレスにつなげる取組みが加速しております。　当社グループは、こうした市場の変化に対応すべく、企業内の膨大かつ複雑な情報を整理し、使いやすくすることで、お客さま企業の情報の利活用を実現するとともに、ユーザーのシーンや状況に合わせた最適な情報の提供をめざしております。これを実現するために、必要となるデータを蓄積し、整え、利活用するためのＲ＆Ｄ活動を進めております。 　当連結会計年度では、お客さま企業に寄り添った戦略的な共創活動を通じて、お客さま企業の商材・市場・会社のデータをつなぎ、ユーザーのうれしさを創出するためのデジタル変革を推進サポートする取組みが拡大しました。　また、Ｒ＆Ｄ活動としては、前期を超える研究開発費を投下し、「データを貯める、整える、活用する、循環する」仕組み構築に向けた研究開発を進め、将来に向けた投資を拡大しました。詳細は、「第２　事業の状況　６　研究開発活動」を参照ください。引き続き、ＤＸ認定事業者（※１）として、お客さま企業の課題解決だけでなく、社会課題解決も見据えた持続可能な事業を推し進めてまいります。 （※１）当社は、2022年３月より経済産業省が定めるＤＸ(デジタルトランスフォーメーション)認定制度に基づく　　　 「ＤＸ認定事業者」に認定されております。  ②市場戦略、商材戦略　当社グループのお客さま企業が属する各市場において、ＤＸ化の流れが加速し、情報・データを利活用することの重要性が高まっております。　当社グループは、こうした環境に対応すべく、主力市場、注力市場を定めるとともに、さらに、地域を意識した取組みを進めております。 ・主力市場：「モビリティ」「製造」「医療・医薬品」「物流」・注力市場：「行政・自治体」「ロボティクス」 　当連結会計年度では、ＤＸ化による業務標準化ニーズの高まりに応えるために、業務手順の棚卸を支援するツール「KAIZEN FARM（カイゼンファーム）」において、効率化に向けた分析機能を追加開発するなど、行政・自治体への取組みをすすめました。それぞれの市場環境における課題に対応した、お客さま企業の情報・データの利活用を支援するサービスを提供してまいります。　また、それぞれの市場において、お客さま企業のグローバル展開に寄り添い、製品・技術情報を必要とする海外ユーザーへ地域ごとの最適化をサポートするローカルＤＸをサポートしてまいります。 ③体制戦略　当社グループは、「2025年/2027年の崖」を成長の機会とし、持続的にビジネスモデル変革を生み出すための組織づくりを進めております。　国内では、ビジネスモデル変革の実現に必要な商材軸により特化した体制へ変更し、注力する市場と商材をより明確にいたしました。“選択と集中”の加速により、2030年に向けた「人財を育てる、データを育てる」取組みの強化をさらに推し進めてまいります。　また、海外では、東南アジア地域のグループ拠点を集約し、経営資源の集中を図り、お客さま企業の多様なニーズに対応できる地域最適な体制構築を進めました。引き続き、海外拠点機能の再設計並びに新規拠点進出の検討を進めてまいります。  ④人財戦略　当社グループは、持続的な成長を実現するために、人財育成を重要な経営課題としております。特に、研究開発、事業開発、海外展開などを担う人財に加え、Ｚ世代をはじめとするデジタルネイティブ人財などの人的資本への投資を通じて、意識改革による変革マインドの醸成、新たなリテラシーの習得、職場環境整備による働きがいの向上に取り組み、次代を担う人財の育成を推し進めております。詳細は、「第２　事業の状況　２　サステナビリティに関する考え方及び取組　（３）　サステナビリティに関する戦略　①　人的資本に関する戦略」をご参照ください。 ⑤アライアンス・Ｍ＆Ａ戦略　当社グループは、持続的な成長を実現するために、アライアンス・Ｍ＆Ａを重要な経営課題としております。変革に向けた成長戦略をさらに加速させるため、当社グループの成長に必要な機能（市場、技術、商材）を明確化し、能動的かつ機動的にアライアンス・Ｍ＆Ａを進めております。　当連結会計年度では、働き方改革に貢献する商材開発を推進するため、主力市場であるモビリティにおいて、自動車整備の知見および顧客基盤を有する府中自動車株式会社を連結子会社化（※２）いたしました。これにより、楽々エーミングをはじめとする整備業界のＤＸをサポートする商材の開発、成功モデルづくりを加速させ、自動車整備業界への展開を進めてまいります。 （※２）府中自動車株式会社の株式取得(連結子会社化)は、こちらをご参照ください。　　　　 （２）経営上の目標の達成状況を判断するための客観的な指標等　当社グループは、継続的な成長を目指しており、収益性の観点から翌期の予想営業利益を客観的な経営指標として位置づけております。現時点における2024年９月期の当社グループの予想連結営業利益は、次のとおりであります。経営指標2024年９月期（予想）営業利益2,700百万円  
事業等のリスク	３【事業等のリスク】　有価証券報告書に記載した事業の状況、経理の状況等に関する事項のうち、経営者が連結会社の財政状態、経営成績及びキャッシュ・フローの状況に重要な影響を与える可能性があると認識している主要なリスクは、以下のとおりであります。　なお、文中の将来に関する事項は、当連結会計年度末現在において当社グループが判断したものであります。　また、当社グループは、（１）～（５）のリスクを対処すべき特に重要なリスクと認識し、「第２　事業の状況　１ 経営方針、経営環境及び対処すべき課題等」に記載する取り組みを通じて、潜在的なリスクの軽減に努めております。 （１）研究開発・商材開発に関するリスク　当社グループでは、成長戦略の実現に向けたＲ＆Ｄ戦略として、提供するサービスの品質向上、新商材の開発のために、研究開発活動を行っております。研究開発・商材開発の実施に関しては、開発環境の充実、開発に携わる人財の確保・育成、研究計画の内容についての様々な観点からの検討を行っております。　しかし、投資対効果の判断や競合製品の出現等により開発を断念する場合や開発した商材の上市ができなかった場合などにより、開発コストの回収ができず、当社グループの業績に影響を与える可能性があります。こうしたリスクを軽減するため、研究開発活動スキームに則り運用するとともに、経営企画会議での定期的な進捗管理を行っております。 （２）提携・買収等に関わるリスク　当社グループでは、成長戦略として第三者との間で様々な戦略的アライアンス・Ｍ＆Ａを行っております。これらアライアンス・Ｍ＆Ａの実施にあたっては、事前に収益性や投資回収の可能性について様々な観点から検討を行っております。　しかし、必ずしも予期したとおりの成果が得られるという保証はなく、事業環境の急変などにより、予期せぬ状況変化や初期の事業計画からの大幅な乖離が生じた場合、子会社株式評価損、のれんに係る減損損失などが発生し、当社グループの業績に影響を与える可能性があります。こうしたリスクを軽減するため、アライアンス・Ｍ＆Ａに向けた調査体制を強化するとともにグループシナジーのさらなる創出に努めてまいります。 （３）特定の取引先への高い依存　当社グループでは、成長戦略の実現に向けた市場戦略として、既存の主力市場に加えて注力市場へビジネスを展開することで、新たなビジネスの柱づくりに努めております。　しかし、当社グループの売上高のうち、主要なお客さま企業であるトヨタ自動車株式会社に対する売上高の割合は、2022年９月期において36.1％、2023年９月期において35.6％となっており、同社への売上・利益依存度は高い水準となっております。このため、何らかの事情により同社との取引が打ち切られた場合、当社グループの業績に影響を与える可能性があります。こうしたリスクを軽減するため、引き続き、注力市場への拡大を加速してまいります。 （４）情報セキュリティに関するリスク　当社グループでは、成長戦略の実現に向け情報管理の重要性の高まりに応じたISO27001に基づいた各種ルールづくり、個人情報の保護方針の設定など、情報セキュリティについて注意を払っております。　しかし、インフラ障害、サイバー攻撃、コンピュータウイルスへの感染などによって、各種業務活動の停止、データの喪失及び流出、商品・サービスの機能の停止などが生じた場合、当社グループの業績に影響を与える可能性があります。こうしたリスクを軽減するため、データのバックアップ体制の整備及び、不正アクセス防止のセキュリティ対策をさらに強化しております。また、セキュリティ監査によりその実施状況を継続的に確認しております。 （５）優秀な人財の確保・育成　当社グループでは、中長期的な成長戦略を実現するために、優秀な人財の確保・育成が重要課題の一つであると認識しております。当社グループでは、採用活動の強化及び能力開発体制の構築など、優秀な人財の獲得、育成に努めております。　しかし、当社グループが求める人財を計画どおり確保・育成できなかった場合、当社グループの業績に影響を与える可能性があります。こうしたリスクを軽減するため、グループ横断での人財確保・育成を担う専門部署を新設し、人財採用を強化するとともに、キャリア形成やスキル取得等に関する研修を充実する等、モチベーション高く働くことができる環境整備に取り組んでおります。 （６）景気変動によるリスク　当社グループの事業領域は、景気変動にともなうお客さま企業の内製化や予算縮小の影響を受ける可能性があります。当社グループでは、サービス内容の高度化・多様化や、グローバル市場への進出など、景気の影響を受けにくい事業構造の形成に努めております。　しかし、当社グループの国内売上高は、全売上高の83.6％（2023年９月期）を占めているため、国内の景気変動に伴う国内の主要なお客さま企業の動向により、当社グループの業績に影響を与える可能性があります。 （７）取引に伴うリスク　当社グループでは、お客さま企業との基本契約の締結や業務委託先企業との業務委託契約の締結などにより、取引上のトラブルを未然に回避できるように努めております。　しかし、当社グループの事業領域では、様々な事情により計画や内容の変更が発生することが少なくありません。その結果、取引先企業との間で不測の事態や紛争が発生することにより、当社グループの業績に影響を与える可能性があります。 （８）納品物の品質にかかるリスク　当社グループでは、納品物のチェック体制の充実などにより、不具合防止に努めております。　しかし、何らかの事情により納品物の不具合が発生し、お客さま企業への損害金額が大きい場合、信用が失墜し、当社グループの業績に影響を与える可能性があります。 （９）競合によるリスク　当社グループでは、事業領域が拡大するにつれ、拡大先の領域を担う既存企業や生成AIなどの新技術を活用した新興企業など新たな競合が増加しております。当社グループとしては、これらの状況に対応すべく、時代に対応した技術の徹底活用、新商材の開発などに努めております。　しかし、ノウハウの構築、新商材の開発、既存ビジネスの業務効率化などの対応が遅れた場合、当社グループの業績に影響を与える可能性があります。 （10）法規制に関するリスク　当社グループの事業領域は、技術マニュアルをはじめとするお客さま企業の情報・データの編集や各種戦略支援の企画・編集・制作・システム開発など多岐にわたります。当社グループとしては、知的財産権など、事業運営に関連する法規などについて理解・把握に努め、適切な対応が取れるように努めております。　しかし、当社グループの事業領域や提供するサービスなどに新たに影響を及ぼす法令、各種規制が採用もしくは強化された場合、当社グループの業績に影響を与える可能性があります。 （11）訴訟等について　2023年９月30日現在、当社グループは業績に重大な影響を与える訴訟には関与しておりません。当社としては、ガバナンス体制の強化、各種取引に関する従業員教育などにより訴訟発生の回避に努めております。　しかし、取引内容の変更や納品物の不具合、知的財産権の侵害などにより、取引先、各種団体、消費者らにより提起される訴訟に、直接または間接的に関与することとなった場合、当社グループの業績に影響を与える可能性があります。 （12）自然災害、人災等について　当社グループでは、自然災害、人災などに対して、ＢＣＰ（事業継続計画）の整備などによる対策を講じております。　しかし、突発的に発生する災害などで事業設備などが損害を受けた場合や原材料などの供給不足が生じた場合、社会インフラの機能が低下した場合などが発生することで、当社グループの業績に影響を与える可能性があります。 （13）感染症等の流行について　当社グループでは、パンデミック（感染症・伝染病の世界的な大流行）によるお客さま企業の事業計画の変更にともない、当社の受注が変動した場合、当社グループの業績、事業計画及び人財採用計画に影響を与える可能性があります。 
経営者による財政状態、経営成績及びキャッシュ・フローの状況の分析	４【経営者による財政状態、経営成績及びキャッシュ・フローの状況の分析】　当連結会計年度における当社グループ（当社、連結子会社）の財政状態、経営成績及びキャッシュ・フロー（以下、「経営成績等」という。）の状況の概要並びに経営者の視点による当社グループの経営成績等の状況に関する認識及び分析・検討内容は次のとおりであります。　なお、文中の将来に関する事項は、当連結会計年度末現在において判断したものであります。 （１）経営成績の状況及び分析・検討内容　当社グループは、情報を必要とする人へ“必要な時に、必要とする情報を、最適な方法で”届け、関わる皆さまの心動かす価値を提供するために、お客さま企業の商材・市場・会社を深く理解し、お客さまのニーズに合わせて情報を体系化することで、社会全体の情報価値向上サイクルの実現をめざしております。 　中期経営計画では、「2030年に向け、人財を育てる、データを育てる」を基本方針としております。当期は、成長戦略に基づく研究開発やＭ＆Ａなど、さらなる成長に向けて、着実に変革を進めた１年となりました。こうした中、当期業績については、受注案件の期ズレなどの影響はあったものの、デジタル化推進による継続的な生産性向上を図ったことなどが寄与し、前期比増収、営業利益は過去最高益となりました。 ①　成長戦略への取組み状況　市場戦略では、国内において、主力市場・注力市場のお客さま企業のデジタル変革を推進する部門との共創活動を継続し、各市場の課題に寄り添った商材の提供を進めるべく、グループ各社との連携を強化しました。海外では、東南アジア地域のグループ拠点集約と経営資源の集中を図り、お客さま企業の多様なニーズに対応できる、地域最適な体制構築を進めました。 　事業戦略では、社会やお客さま企業のニーズに応えるために、当社グループの知見を活用した業務効率化・働き方改革につながるサポートを継続的に推進しております。　当社グループが強みとする、「必要な時に、必要とする情報を、最適な方法で届ける」プラットフォーム構築を進めました。具体的には、「楽々エーミング（※１）」をはじめとする自動車整備ＤＸの商材開発を加速するため、Ｍ＆Ａ（※２）により自動車整備の現場を獲得いたしました。また、「KAIZEN FARM（カイゼンファーム）（※３）」では、自治体・官公庁などの業務改善ニーズに応え、新機能の開発を着実に進めました。企業・団体と連携し、現場に寄り添った商材開発を進めることで、さらなるデータの蓄積を着実に進めております。 　引き続き、情報価値のサステナビリティをめざし、継続的な企業価値向上と社会の持続可能な発展に貢献してまいります。 ※１）　「楽々エーミング」ニュースリリース　　　　https://www.cmc.co.jp/cms/wp-content/uploads/2022/04/oshirase_20220420.pdf※２）　府中自動車株式会社の株式取得（連結子会社化）に関するお知らせ　　　　https://www.cmc.co.jp/cms/wp-content/uploads/2023/08/oshirase_20230810.pdf※３）　KAIZEN FARM公式サイト　https://kaizenfarm.jp/ ②　全般的概況 （事業の概要）[Manuals＆Knowledge事業]　情報を必要とする人へ“必要な時に、必要とする情報を、最適な方法で”届け、ユーザーエクスペリエンス（顧客体験価値）の最大化を図るために、お客さま企業の商材・市場・会社を深く理解し、お客さまのニーズに合わせて情報を体系化することで、社会全体の情報価値向上サイクルの実現をめざしております。    当社グループは、事業分類として以下の３つに分類しております。事業分類事業内容Manualsお客さま企業の商材・市場・会社を深く理解し、利活用の目的（例えばリアルからデジタルコンテンツへの転用など）に合わせて情報を体系化するサービスを提供。Knowledge情報を必要とする人のシーンに応じて、最適な尖端技術を活用し、ユーザーエクスペリエンス（顧客体験価値）の最大化を図るサービスを提供。その他各種ソフトウエアのライセンス販売など。（ご参考）国内市場向け国内市場向けの商材・サービス。海外市場向け海外市場向けの商材・サービス。   これらを踏まえ、当連結会計年度の経営成績は、次のとおりであります。 ａ．事業分類別の状況科目前連結会計年度（自　2021年10月１日至　2022年９月30日）当連結会計年度（自　2022年10月１日至　2023年９月30日）前期比主な増減理由金額(百万円)売上高構成比率又は利益率金額(百万円)売上高構成比率又は利益率金額(百万円)増減率売上高17,917100.0％18,451100.0％＋5333.0％・Manuals領域においては、概ね計画通りの受注となり前年同期並みで推移。 ・Knowledge領域においては、デジタル化ニーズへの対応施策等が順調に推移。 （ご参考）・海外市場向けの技術マニュアルの受注が増加。   Manuals9,36652.3％9,24750.1％△118△1.3％Knowledge8,40346.9％9,01748.9％＋6147.3％その他1480.8％1861.0％＋3725.6％(ご参考） 国内市場向け9,17751.2％8,24544.7％△932△10.2％ 海外市場向け8,74048.8％10,20555.3％＋1,46516.8％営業利益2,59014.5％2,61714.2％＋261.0％・営業利益においては、増収効果により増益。 ・経常利益においては、為替差益の縮小により減益。 ・固定資産の処分による特別損失が発生。経常利益2,96416.5％2,87315.6％△90△3.0％親会社株主に帰属する当期純利益2,00311.2％1,7629.6％△240△12.0％ ｂ．業績予想との比較　2022年11月に公表しました2023年９月期通期の連結業績予想に基づいて、業績予想比を記載しております。勘定科目金額業績予想比売上高18,451百万円451百万円増2.5％増営業利益2,617百万円182百万円減6.5％減 　　当期は、データの蓄積を進めるための投資を着実に進めました。関わる皆さまの心動かす価値を提供できるように、取組みを継続してまいります。      　生産、受注及び販売の実績は、次のとおりであります。①　生産実績　当連結会計年度における生産実績は、次のとおりであります。セグメントの名称生産高（百万円）前年同期比（％）Manuals＆Knowledge事業11,005101.6（注）金額は製造原価によっております。 ②　受注実績　当社グループの取引は、企画・編集・制作の各段階で、仕様変更・内容変更が発生する場合が多く、その結果、受注金額の最終決定から売上計上（販売）までの期間が短いため、受注実績の記載を省略しております。 ③　販売実績　当連結会計年度における販売実績は、次のとおりであります。セグメントの名称販売高（百万円）前年同期比（％）Manuals＆Knowledge事業Manuals9,247△1.3Knowledge9,0177.3その他18625.6合計18,4513.0（注）主な相手先別の販売実績及び当該販売実績の総販売実績に対する割合相手先前連結会計年度当連結会計年度販売高（百万円）割合（％）販売高（百万円）割合（％）トヨタ自動車株式会社6,46736.16,57535.6 （２）財政状態の状況及び分析（資産の部）　当連結会計年度末の資産合計は、前年同期より2,119百万円増加し、24,746百万円（前年同期比9.4％増）となりました。これは主として、受取手形及び売掛金の減少913百万円はあったものの、現金及び預金の増加2,033百万円、投資有価証券の増加170百万円、土地の増加629百万円及びのれんの増加115百万円によるものであります。 （負債の部）　当連結会計年度末の負債合計は、前年同期より429百万円増加し、5,523百万円（前年同期比8.4％増）となりました。これは主として、未払法人税等の減少209百万円があったものの、流動負債のその他の増加248百万円、固定負債のその他の増加107百万円及び長期借入金の増加309百万円によるものであります。 （純資産の部）　当連結会計年度末の純資産合計は、前年同期より1,690百万円増加し、19,222百万円（前年同期比9.6％増）となりました。これは主として、利益剰余金の増加1,365百万円、その他有価証券評価差額金の増加96百万円、非支配株主持分の増加169百万円によるものであります。 （３）キャッシュ・フローの状況及び分析　当連結会計年度における現金及び現金同等物は、前連結会計年度末に比べ2,033百万円増加し、当連結会計年度末には13,476百万円となりました。 （営業活動によるキャッシュ・フロー）　営業活動によるキャッシュ・フローは、3,055百万円の収入（前年同期は1,793百万円の収入）となりました。これは主として、法人税等の支払額1,130百万円があったものの、税金等調整前当期純利益2,670百万円の収入、売上債権の減少1,129百万円によるものであります。 （投資活動によるキャッシュ・フロー）　投資活動によるキャッシュ・フローは、671百万円の支出（前年同期は158百万円の支出）となりました。これは主として、有形固定資産の取得による支出230百万円、無形固定資産の取得による支出115百万円、連結の範囲の変更を伴う子会社株式の取得による支出291百万円によるものであります。 （財務活動によるキャッシュ・フロー）　財務活動によるキャッシュ・フローは、474百万円の支出（前年同期は450百万円の支出）となりました。これは主として、配当金の支払額397百万円によるものであります。 （４）資本の財源及び資金の流動性について　当社グループの資本の財源及び資金の流動性につきましては、次のとおりであります。　当社グループは、将来の事業展開と経営基盤の強化のために必要な資金を確保することを基本方針としております。　当社グループの運転資金需要のうち主なものは、外注費及び人件費並びに販売費及び一般管理費等の営業費用であります。投資を目的とした資金需要は、設備投資、Ｍ＆Ａ等によるものであります。これらの資金につきましては、原則として自己資金で賄うこととしております。 （５）重要な会計上の見積り及び当該見積りに用いた仮定　当社グループの連結財務諸表は、我が国において一般に公正妥当と認められている会計基準に基づき作成しております。この連結財務諸表を作成するにあたって用いた会計上の見積り及び仮定のうち、重要なものは、「第５　経理の状況　１連結財務諸表等　（１）連結財務諸表　注記事項　（連結財務諸表作成のための基本となる重要な事項）」に記載しております。  
経営上の重要な契約等	５【経営上の重要な契約等】　該当事項はありません。 
研究開発活動	６【研究開発活動】　当連結会計年度においては、中期経営計画に基づき、主に、以下の取り組みを進めてまいりました。 ・「データを貯める、整える、活用する、循環する」仕組み構築による、情報の利活用推進に関する研究開発・データの利活用による製品発売準備活動の効率化に関する研究開発 　当連結会計年度における研究開発費は171百万円であります。なお、内訳はすべてManuals＆Knowledge事業に関するものであります。
設備投資等の概要	１【設備投資等の概要】　当連結会計年度において実施いたしました設備投資の総額は423百万円であります。主なものは、当社における本社外壁屋上工事に係る建設仮勘定34百万円及び自社利用ソフトウエア26百万円であります。　なお、重要な設備の除却、売却等はありません。　また、当社グループはManuals＆Knowledge事業の単一セグメントであるため、セグメント別の記載はしておりません。 
主要な設備の状況	２【主要な設備の状況】（１）提出会社2023年９月30日現在 事業所名（所在地）セグメントの名称設備の内容帳簿価額（千円）従業員数（名）建物及び構築物機械装置及び運搬具土地（面積㎡）工具、器具及び備品ソフトウエアその他合計本社（名古屋市中区）Manuals＆Knowledge事業営業用生産用148,7065,478754,400(584.15)36,707120,0788,7461,074,116167中川事業所（名古屋市中川区）Manuals＆Knowledge事業営業用生産用54,43692,440362,025(2,430.43)4,2203,226-516,34962多治見事業所（岐阜県多治見市）Manuals＆Knowledge事業営業用生産用243,137--(0)13,6878,401-265,227134東京事業所（東京都中央区）Manuals＆Knowledge事業営業用生産用43,692-468,999(160.78)12,57040,994-566,25736（注）１　上記の他、連結会社以外からの貸借設備がありますが、重要性に乏しいため記載を省略しております。２　帳簿価額のうち「その他」は、ソフトウエア仮勘定、商標権の合計であります。 （２）国内子会社2023年９月30日現在 会社名（所在地）セグメントの名称設備の内容帳簿価額（千円）従業員数（名）建物及び構築物機械装置及び運搬具土地（面積㎡）工具、器具及び備品ソフトウエアその他合計株式会社CMCエクスマニコム（東京都中央区）Manuals＆Knowledge事業営業用生産用2,2492,183-(-)15,77068,948-89,152218府中自動車株式会社（東京都府中市）Manuals＆Knowledge事業営業用生産用105,0145,226629,374(1,778.64)2,1566,226-747,99841（注）　上記の他、連結会社以外からの貸借設備がありますが、重要性に乏しいため記載を省略しております。 
株式の総数	①【株式の総数】種類発行可能株式総数（株）普通株式47,820,000計47,820,000 
発行済株式、株式の総数等	②【発行済株式】種類事業年度末現在発行数（株）（2023年９月30日）提出日現在発行数（株）（2023年12月22日）上場金融商品取引所名又は登録認可金融商品取引業協会名内容普通株式14,364,00014,364,000東京証券取引所スタンダード市場名古屋証券取引所メイン市場単元株式数は100株であります。計14,364,00014,364,000－－ 
