項目	値
事業の内容	 ３ 【事業の内容】当社グループは、情報サービスを主たる事業とし、情報システムに係るコンサルティングから、業務システムの開発と保守及びITインフラの構築と運用管理に至る一貫したサービスを提供しています。当社グループの事業内容を、セグメント別に表すと次のとおりです。　(1) システム開発半導体、エレクトロニクス、金融、情報通信、エンタテインメント、公共・社会、移動（自動車・鉄道）、ヘルスケア・メディカルの業種の顧客に対して、ERP、CRM、RPA、ビッグデータ分析等のソリューション及び業務システムのコンサルティングから要件定義、設計、開発、保守に至る一連のシステム開発サービスを提供しています。　(2) インフラサービスクラウド、ネットワーク、セキュリティ、IoTに関するITインフラソリューションから設計、構築、保守、運用に至る一連のインフラサービスを提供しています。　(3) その他受託計算、仕入商品販売業務などを行っています。　(注) 「その他」としたセグメントに関しては、「セグメント情報等の開示に関する会計基準」（企業会計基準第17号　平成22年６月30日）及び「セグメント情報等の開示に関する会計基準の適用指針」（企業会計基準適用指針第20号　平成20年３月21日）適用の報告セグメントには含まれない事業セグメントとなっています。　事業の系統図は次のとおりです。  
経営方針、経営環境及び対処すべき課題等	"１ 【経営方針、経営環境及び対処すべき課題等】文中の将来に関する事項は、当連結会計年度末現在において、当社が判断したものです。 (1) 経営の基本方針当社では、2020年度における経営体制の強化を契機に、2030年度の未来を見据えた中長期計画「Quest Vision2030」を策定しました。Quest Vision2030では、持続的な成長と高収益体質の維持、そして企業価値向上に向けた""QCSV""（Quest Creating Shared Value：クエストの共通価値の創造）へのストーリーを作成するとともに、企業理念体系をPhilosophy, Purpose, Vision, Valuesという形で再定義しました。（企業理念：Philosophy）技術を探究し、価値を創造し、お客様とともに成長する（存在意義：Purpose）技術と創造力で人と社会の安心と幸せを支え続けます（経営目標：Vision）価値を共創するデジタルデータ社会の実現に向けて、「あなたに信頼されるITサービス」のリーディングカンパニーへ（※あなた：お客様、パートナーを含む全ての取引先）（提供価値：Values）技術を創意工夫し、時と場の制約を超え、業務を自動化し、人の力を補完補強するITサービスを真心を込めて提供します (2) ブランドスローガン及びブランドプロミス当社が目指すブランドの世界観としてブランドスローガンを、全てのステークホルダーの方へのブランドの約束としてブランドプロミスを定義しています。（ブランドスローガン）Quest For More（ブランドプロミス）Digital Future As One新スローガン「Quest For More」の意味は文字通り、“もっと探究・もっと探求”することです。探究：誠実な精神と創造力を通じてお客様の業務をより効率化し、期待を超える価値を提供していきます。探求：新しい市場の開拓や技術の獲得に挑戦し、より便利で幸せな社会の実現に貢献していきます。「Digital Future As One」には、お客様やパートナー、社員も、家族も、ともに１つになり、デジタルの未来に向かって邁進していくメッセージを込めています。 (3) 目標とする経営指標及び達成状況当社は、事業の発展を通じて企業価値を安定的に成長させていくことを目標とし、中長期計画「Quest Vision2030」に基づいた３か年ごと中期計画を作成し、進捗と達成の状況レビューを行いながら事業を推進しています。公表している「2021-2023年度・中期経営計画」では、2023年度に売上高130億円、経常利益率7.3％、ROE 10.4％以上を経営数値目標としています。当連結会計年度は「2021-2023年度・中期経営計画」の２年目に当たりますが、売上高中期計画目標122億10百万円に対し142億１百万円、経常利益率目標6.3％に対し7.3％、ROE目標9.3％に対し11.6％となり、当初の中期計画数値目標を大きく上回り達成することができました。2023年度は持続的成長のための投資を継続するとともに、第２期となる「2024-2026年度・中期経営計画」を策定し、Quest Vision2030のさらなる加速実現に向けたロードマップの見直しを実施します。  (4) 会社の対処すべき課題及び中長期的な経営戦略新型コロナウイルス感染症については、感染症法における５類感染症に引き下げられ各所で新型コロナウイルス感染症が流行する以前の生活を取り戻しつつあるなかで、今後も顧客企業の経営状況によっては新規案件の獲得遅延やIT投資抑制の動きが予想されます。このような状況下において、当社は、顧客産業ポートフォリオにおける市場の変化を的確に捉え、かつ、デジタル化の需給バランスにスピード感をもって対応することにより、収益の維持・拡大に努めていきます。また、株式会社エヌ・ケイを新たに子会社に迎え、新しい体制の下、全社一丸となって目指すゴールを共有し、不確実な時代の中で持続的な成長を実現し、企業価値を向上させていくため次の課題に取り組んでいきます。 ① ITプロフェッショナル人材の獲得と育成高度IT人材の獲得競争が激化するなか、事業のさらなる発展のためには豊富な専門知識と高度なスキルを有する人材を確保することがより一層重要になっています。新卒者、経験者を問わず積極的な採用活動を展開するとともに、高度なIT技術を有する社員に対する社内認定制度QCAP（※１）等の人事制度の運用や技術者が自分に適したITプロフェッショナル・キャリアコースを選択し成長できる環境の整備等、社員がその能力を十分に発揮し成長するための教育投資を計画的かつ継続的に取り組んでいきます。 ② 新規サービス・ソリューションの開拓IT業界は技術の多様化と進展が著しいという特徴を有しており、顧客ニーズもますます高度化・多様化しています。当社は時代と顧客ニーズに即応できるシステムの保守・運用、アプリケーション開発、ソリューション提供の新しいサービス形態を模索し、提供していきます。具体的には既存事業であるクラウド関連事業、プラットフォーム関連事業、セキュリティ関連事業を深耕し安定収益を維持・拡大するとともに、DX、AI・BI（※２）関連事業等の新規ソリューションを開拓し、次なる収益の芽を育てていきます。前年度には会話型AIソフトウェアのリーディングカンパニーとリセラーパートナー契約を締結し、サービスメニューを強化しました。今後も顧客企業の業務オペレーションの効率化や企業価値向上に資する様々なサービス・ソリューションを開拓し、提供していきます。 ③ 企業価値向上に向けた取り組みの強化今後持続的な成長とともに、より高い収益性とより誇りを持てる社会的存在意義を有し、株主の皆様をはじめとするすべてのステークホルダーに対して企業価値の創造と向上、技術による貢献（Social Value）を約束します。当社では全社的な中長期経営目標を策定し、そのなかで企業価値向上のストーリーをQCSVとして掲げました。2030年度に企業価値250億円超を達成すべく、その実現に向けて新規ビジネスの創出やIT人材の育成、重点領域への投資等に取り組んでいきます。「おもてなしのあるITサービス」を目に見える形にしたいと考え、2021年12月に取得した「★★紺認証(経済産業省 おもてなし認証規格)」を再取得し、さらには2023年3月にはサービスエクセレンスSE（ISO23592対応）成熟度評価で、情報通信業界初となる「SE☆☆☆」（３つ星評価）を取得しました。サービスエクセレンス成熟度評価での「SE☆☆☆」は、「おもてなし規格認証」の最上位認証である『★★★（紫認証）』に相当する評価で、売上増やシェア拡大などが期待されるものです。本認証活動を通じて、異業種の「おもてなし」を参考にし、魅力あるアイディアを積極的に取り入れ、当社の強みである「おもてなしのあるITサービス」に磨きをかけていきます。当社は創業以来、株主様、お客様、社員、パートナー様、地域社会等、すべてのステークホルダーに対して常に誠実堅実であることを経営方針としています。今後もCGCとCSV経営を重視し、透明性の高い経営を継続し、ITによる社会課題の解決、さらに一層の企業価値の向上と持続的成長のために邁進していきます。※１．QCAP：Quest Certified Advanced IT Professionals２．BI：Business Intelligence "
事業等のリスク	 ３ 【事業等のリスク】現時点で、当社の事業展開上その他に関してリスク要因となる可能性があると考えられる主な事項を以下に記載しています。なお、文中の将来に関する事項は、有価証券報告書提出日現在において当社が判断したものです。(1) 人材の確保について当社の事業活動の根幹をなすシステム開発事業、インフラサービス事業ともに多くの先端技術に深く関連しており、また、その技術革新の進展は著しいという特徴を有しています。このような環境のもと、事業のさらなる発展のためには豊富な専門知識と高度なスキルを有する人材を確保することが重要になっています。しかしながら、現在の情報サービス産業においては人材の獲得競争が激化しており、人材確保が計画通りに進まない場合には、事業の発展拡大に制約を受け、当社の業績や財政状態に影響を及ぼす可能性があります。 (2) 競争の激化についてIT業界を取り巻く事業環境は日々変化しており、高度化する最先端技術や多様化する顧客ニーズ、激化する価格競争等の動向を鑑みながら、適切かつ迅速に対処し競争優位性を堅持し続ける必要があります。当社としては、システム開発、保守・運用、ソリューション提供における新しい形態でのサービス提供や成長領域の技術獲得、ニアショアやオフショアを活用したコスト競争力の強化により時代と顧客ニーズの変化に対応していきます。しかしながら、当社の想定を超える事業環境変化等が発生し、当社のリソースや資産を持ってしても追随できないケースが発生した場合には、当社の経営成績及び今後の事業展開に影響を及ぼす可能性があります。 (3) 為替市場の著しい変動についてロシアによるウクライナ侵攻や米国の利上げにより円安が進行し、約20年ぶりの円安水準となっています。円安によって輸出金額や対外投資による純受取額の円換算額は増加するものの、高騰している原材料コストやエネルギーコストが今後さらに上昇することが懸念されます。顧客企業における業績への影響の度合いによっては、案件の遅延や投資活動抑制等により、当社の事業活動や業績に影響を与える可能性があります。 (4) セキュリティについて近年、世間ではサイバー攻撃やランサムウェア、委託先の管理不備、情報機器の紛失等による情報流出といった事件が起きており、より慎重かつ厳格な管理体制の構築及び運営が求められます。そのため当社では情報セキュリティ教育やネットワークの監視、委託先への調査、毎月委員会形式でセキュリティ活動の状況を報告する「統合セキュリティ委員会」により情報保護強化に向けた取り組みを行っています。しかしながらこれらの対策を講じていても機密情報の漏洩や紛失、喪失等が生じた場合には、社会的信用の低下や取引停止、損害賠償責任が生じることにより、当社の事業活動や業績に影響を与える可能性があります。 (5) 品質管理について当社では品質管理強化への取り組みとして、プロジェクト規模から重要と判断されたプロジェクトについては「重要プロジェクトレビュー会議」として個々に精査するほか、「プロジェクト統括部」を設置してプロジェクト品質管理と不採算案件防止に向けた活動を行っています。しかしながらこのような対策を行っていても案件の難易度やバグの発生等による想定外のコスト発生、収益性の低いプロジェクト発生等により、当社の業績に影響を与える可能性があります。　
経営者による財政状態、経営成績及びキャッシュ・フローの状況の分析	 ４ 【経営者による財政状態、経営成績及びキャッシュ・フローの状況の分析】当社グループは、2023年３月期連結会計年度末より連結損益計算書、連結キャッシュ・フロー計算書を作成しているため、(1)経営成績、(2)生産、受注及び販売の実績、(4)キャッシュ・フローの状況について前連結会計年度との比較・分析の記載はしていません。また、2022年３月31日及び同年４月28日に行われた株式会社エヌ・ケイとの企業結合について、暫定的な会計処理を行っていましたが、当連結会計年度に確定しています。暫定的な会計処理の確定に伴い、当連結会計年度の連結財務諸表に含まれる比較情報において取得原価の当初配分額に重要な見直しが反映されており、前連結会計年度末との比較・分析にあたっては、暫定的な会計処理の確定による取得原価の当初配分額の見直しが反映された後の金額を用いています。詳細につきましては、「第５ 経理の状況　注記事項　企業結合等関係」を参照ください。当連結会計年度における当社の財政状態、経営成績及びキャッシュ・フロー（以下、「経営成績等」という。）の状況の概要並びに経営者の視点による当社の経営成績等の状況に関する認識及び分析・検討内容は次のとおりです。なお、文中の将来に関する事項は、当連結会計年度末現在において判断したものです。(1) 経営成績当連結会計年度（2022年４月１日～2023年３月31日）における我が国経済は、新型コロナウイルス感染症の行動制限が緩和され、景気の持ち直しの傾向があるものの、ドルに対する急激な円安の影響等により、本格的な景気回復には道半ばのまま推移しました。また、欧州での紛争に端を発する燃料価格・穀物価格の上昇といった世界的な経済問題や東アジアの地政学的リスク等、社会や経済環境は依然として先行き不透明な状況が続いています。このような経済環境の中、ITサービス市場はDX加速を背景に顧客企業の生産性向上や、AI・RPAを活用した省力化、自動化への投資、人材不足や働き方改革に対応するIT投資により、想定以上の需要増の状況で推移しました。経済産業省の「特定サービス産業動態統計調査2023年２月分確報」の情報サービス業の項の中から、当社が主に属する「受注ソフトウェア」と「システム等管理運営受託」を合算した業務種類別売上は、2022年４月～2023年２月（累計）で前年同期比6.9％の増加となっています。 このような事業環境のもと、当社は昨年度に策定した中長期ビジョン「Quest Vision2030」の第１期である「2021-2023年度・中期経営計画」で掲げた「事業構造の変革」、「産業ポートフォリオの変革」、「事業体質の変革」の基本方針のもと、当連結会計年度は持続的成長と新たな強みを生み出す準備と仕込みを念頭に活動を展開してきました。その結果、当連結会計年度における当社グループの経営成績は以下のとおりとなりました。売上高は、142億１百万円となりました。利益については、営業利益は９億76百万円、経常利益は10億33百万円、親会社株主に帰属する当期純利益は６億90百万円となりました。前年度より将来に備えた投資を拡大させており、引き続き成長分野における新技術獲得に向けた人材育成等を加速強化して取り組みました。当社は2022年４月に株式会社エヌ・ケイを完全子会社化し、顧客戦略の共有やリソースの最適化、オペレーションの効率化に取り組んでいます。連結会計の適用に伴い、一定期間において顧客関連資産及びのれんの償却費用が計上されることとなります。比較可能性を担保するための指標として、当連結会計年度におけるEBITDA（※１）は12億７百万円、EBITDAマージン（※２）は8.5％となりました。参考値として、前事業年度（単体）のEBITDAは10億15百万円、EBITDAマージンは8.6％となります。 セグメント別の経営成績は次のとおりです。システム開発事業については、半導体分野顧客、金融分野顧客、エンタテインメント分野顧客からの開発案件の増加及びクラウドERP、デジタルワークプレイス等の増加により、売上高は87億63百万円、セグメント利益は14億83百万円となりました。インフラサービス事業については、エンタテインメント分野顧客、金融分野顧客、半導体分野顧客へのインフラ運用サービスや、ネットワークサービス等が拡大し、売上高は54億21百万円、セグメント利益は８億33百万円となりました。(注) １．セグメント間取引については、相殺消去しています。２．セグメント利益については、全社費用等の配分前で記載しています。※１．EBITDA：税金等調整前当期純利益＋支払利息＋減価償却費＋顧客関連資産償却費＋のれん償却費２．EBITDAマージン：EBITDA÷売上高  (2) 生産、受注及び販売の実績 ① 生産実績当社は、プロジェクトごとに作業完了した業務につき、顧客の検収書あるいは当社の完了報告書に基づき売上計上しています。このため、販売実績のほとんどが生産実績であることから、生産実績の記載を省略しています。　 ② 受注実績当連結会計年度の受注状況をセグメント別に示すと、次のとおりです。セグメントの名称受注高(千円)前期比(％)受注残高(千円)前期比(％)システム開発8,756,482―2,113,776―  (注) １．システム開発セグメント以外のセグメントについては、受注に該当する取引形態に相当しないため、記載していません。２．受注残高は契約金額を記載しています。　 ③ 販売実績当連結会計年度の販売実績をセグメント別に示すと、次のとおりです。セグメントの名称販売高(千円)前期比(％)システム開発8,763,758―インフラサービス5,421,254―その他16,980―合計14,201,993―  (注) １．セグメント間取引については、相殺消去しています。２．「その他」の区分は、報告セグメントに含まれない事業セグメントであり、受託計算サービス事業及び商品販売事業を含んでいます。  ④ 主な相手先別の販売実績及び総販売実績に対する割合相手先当連結会計年度金額(千円)割合(％)キオクシア株式会社3,470,07024.4  (3) 財政状態＜資産＞当連結会計年度末における資産の残高は90億42百万円となり、前連結会計年度末に比べ７億84百万円増加しました。これは主に現金及び預金が１億82百万円増加したこと、建物及び構築物が１億38百万円増加したこと、売掛金が１億16百万円増加したこと等によるものです。＜負債＞当連結会計年度末における負債の残高は27億76百万円となり、前連結会計年度末に比べ２億41百万円増加しました。これは主に賞与引当金が55百万円増加したこと、買掛金が28百万円増加したこと等によるものです。＜純資産＞当連結会計年度末における純資産の残高は62億65百万円となり、前連結会計年度末に比べ５億42百万円増加しました。これは主に利益剰余金が４億67百万円増加したこと、自己株式が１億11百万円減少したこと、資本剰余金が99百万円増加したこと等によるものです。  (4) キャッシュ・フローの状況当連結会計年度末における現金及び現金同等物（以下「資金」という。）の期末残高は26億59百万円となり、前連結会計年度末と比較し、１億82百万円増加しました。当連結会計年度末における各キャッシュ・フローの状況と要因は以下のとおりです。＜営業活動によるキャッシュ・フロー＞営業活動の結果、６億59百万円の収入となりました。これは主に税金等調整前当期純利益10億33百万円、法人税等の支払額３億21百万円、退職給付に係る資産の増加による資金の減少１億84百万円、売上債権及び契約資産の増加による資金の減少１億70百万円等によるものです。＜投資活動によるキャッシュ・フロー＞投資活動の結果、１億50百万円の支出となりました。これは主に敷金及び保証金の差入による支出１億64百万円、保険積立金の解約による収入26百万円、有形固定資産の取得による支出11百万円等によるものです。＜財務活動によるキャッシュ・フロー＞財務活動の結果、３億26百万円の支出となりました。これは主に配当金の支払額２億22百万円、短期借入金の返済による支出１億円等によるものです。 当社グループは財務の安全性を重視するとともに、銀行借入に依存しない経営を継続しています。資金の運用は短期的な預金等に限定するとともに、運転資金については内部資金により調達することを原則としています。当社グループの資本の財源及び資金の流動性について当社グループの運転資金の需要は、人件費や外注費等の営業費用によるものがその多くを占めていますが、これらの運転資金の需要は、主に営業活動によるキャッシュ・フロー等によりまかなっています。また、設備投資資金等についても、現金及び預金を使用することとしており、安全性を重視しつつも効率的な資金運用を目指しています。当連結会計年度末における資金は、資産合計の29.4％を占めており、また流動比率は262.3％であることから、十分な流動性を確保しています。 (5) 重要な会計上の見積り及び当該見積りに用いた仮定当社グループの連結財務諸表は、我が国において一般に公正妥当と認められている会計基準に基づき作成しています。この連結財務諸表を作成するにあたって、資産、負債、収益及び費用の報告額に影響を及ぼす見積り及び仮定を用いていますが、これらの見積り及び仮定に基づく数値は実際の結果と異なる可能性があります。連結財務諸表の作成にあたって用いた会計上の見積り及び仮定のうち、重要なものは「第５ 経理の状況　１ 連結財務諸表等　(1)連結財務諸表　注記事項　重要な会計上の見積り」に記載しています。 (6) 経営戦略の現状と見通し新年度においては、欧州での紛争長期化や東アジアの地政学的リスクによる経済や社会への影響に加え、欧米各国の金融引き締めによる世界的な景気後退リスクが懸念されています。また、当社グループの主要顧客である半導体産業においてコロナ禍の影響下での特需が一巡し、IT投資計画の延期、規模縮小等により間接的に当社の業績に与える影響が見込まれます。また、国内では、DX推進が加速し、人材の獲得競争が激化し、より高度なスキルを有する人材を確保することが一層重要になります。当社グループとしましては、本社オフィス移転を機に、オフィス勤務とテレワークを組み合わせたハイブリッド型のワークスタイルの推進をはじめとした働く環境の整備に加え、社員の意識改革と新技術獲得のための教育環境を強化しています。一人当たりの付加価値向上に向けて、個々のスキル、モチベーションアップにより生産性とエンゲージメント向上の実現を実行します。2020年度に策定した中長期ビジョン「Quest Vision2030」に掲げた目標の早期実現に向かって、施策を着実に実行しながら、お客様と一層の連携強化を進め、DX領域を中心とするデジタル化への投資需要を的確に捉え、適切な対応を実行していきます。以上を踏まえ、2024年３月期の連結業績見通しについては、売上高145億円、営業利益９億40百万円、経常利益９億85百万円、親会社株主に帰属する当期純利益６億58百万円を予想しています。 (注) 業績予想につきましては、本資料作成日時点で入手可能な情報に基づいて当社で判断したものであり、実際の業績がこれらの予想数値と異なる場合があります。　
経営上の重要な契約等	 ５ 【経営上の重要な契約等】該当事項はありません。 
研究開発活動	６ 【研究開発活動】該当事項はありません。　
設備投資等の概要	１ 【設備投資等の概要】該当事項はありません。　
主要な設備の状況	２ 【主要な設備の状況】(1) 提出会社当社における主要な設備の状況は、次のとおりです。     (2023年３月31日現在)事業所名(所在地)セグメントの名称設備の内容帳簿価額(千円)事業所賃借料(㎡)従業員数(人)建物その他合計本社(東京都港区)システム開発インフラサービス事務所等140,47744,829185,307105,154(1,863)624 （注）上記の金額に消費税等は含まれていません。なお、2023年４月に本社を移転しておりますが、上記の事業所賃借料には、移転後の賃借料は含まれていません。 (2) 国内子会社主要な設備はありません。 
株式の総数	① 【株式の総数】 種類発行可能株式総数(株)普通株式9,560,000計9,560,000 　
発行済株式、株式の総数等	② 【発行済株式】 種類事業年度末現在発行数(株)(2023年３月31日)提出日現在発行数(株)(2023年６月23日)上場金融商品取引所名又は登録認可金融商品取引業協会名内容普通株式5,487,7685,487,768東京証券取引所スタンダード市場単元株式数100株計5,487,7685,487,768―― 　
