項目	値
事業の内容	 ３ 【事業の内容】当社グループは、当社及び連結子会社４社により構成されております。その主な事業内容は次のとおりであります。なお、当連結会計年度より、報告セグメントの区分を変更しております。詳細は、「第５　経理の状況　１　連結財務諸表等　(1)連結財務諸表　注記事項（セグメント情報等）」をご参照ください。　＜マーケティング事業＞マーケティング事業におきましては、SEM(検索エンジンマーケティング)サービス、インターネット広告の販売及び広告制作、ウェブサイト開発、ソーシャルメディアなど、企業のマーケティング活動を支援する各種サービスを日本語及び多言語で国内外の企業に提供するものであります。　　事業の系統図は以下のとおりであります。  
経営方針、経営環境及び対処すべき課題等	１ 【経営方針、経営環境及び対処すべき課題等】文中の将来に関する事項は、当連結会計年度末現在において、当社グループが判断したものであります。 （１）経営方針　当社グループは、次のとおり企業としての使命（ミッション）・価値観（バリュー）を掲げ、日本市場のみならず、グローバル市場においてマーケティング事業を展開しております。　　　＜使命＞　　私たちは独創的な考え方で課題を解決し、 笑顔に溢れた社会づくりに貢献します。 　　＜価値観＞　　「汗」 自他のため率先して汗をかいているか　　「協」 仲間との協力関係を大切にしているか　　「成」 毎日の着実な成長を実感できているか　　「誇」 家族・友人・社会は私を誇りに思うか　　「楽」 わくわくとした人生を楽しんでいるか （２）経営戦略等当社グループは、インターネット及び海外進出企業や外国人の訪日旅行者数の増加等、世界との物理的・精神的な距離が身近になりつつあるグローバル市場において、主力事業であるマーケティング事業に経営資源を重点的に投入し、事業基盤を強化してまいります。また、激しく事業環境が変化する中でも継続的に成長できる新規事業を創出することで、中長期的な成長を目指してまいります。 （３）経営環境当連結会計年度（2022年６月１日～2023年５月31日）におけるわが国経済は、新型コロナウイルスによる行動制限が緩和され、経済活動は徐々に正常化に向けた動きが見られました。その一方で、ウクライナ情勢の長期化に伴う世界的な原材料・資源価格の高騰による物価の上昇、欧米諸国等の金融引き締め政策による円安の進行等により、景気の先行きは依然として不透明な状況で推移いたしました。このような状況の中、当社グループは収益力の回復と拡大を最優先課題とし、ウィズコロナ・アフターコロナ環境において想定される民間企業の急激な需要回復にも対応できるよう注力してまいりました。 （４）優先的に対応すべき事業上及び財務上の課題　当社グループは、収益力の回復と拡大を最優先課題とし、ウィズコロナ・アフターコロナ環境において想定される民間企業の急激な需要回復にも対応できるよう注力してまいりました。しかしながら、新型コロナウイルスによる行動制限の緩和により、経済活動は徐々に正常化に向けた動きが見られたものの、民間企業を中心としたインバウンド関連の広告出稿の本格的な回復には時間を要すること、また、前連結会計年度において計上した自治体等の単年度の大型案件終了の影響をカバーするまでには至らず、4期連続で営業損失を計上することとなりました。このような環境のなか、当社グループが対処すべき課題としては、「業績回復」が最優先事項であると認識しております。赤字の主因は売上不足にあり、売上の回復が急務であると認識しております。国内においては、グローバルBtoB企業向けのアウトバウンドマーケティング支援（海外進出、海外市場向けプロモーションなど）の領域へ重点的に経営資源を配分し、営業活動の強化を行ってまいります。特に当社グループの強みである多言語分野で大手グローバル企業向けに付加価値の高い海外向けSEOコンサルティングサービスの販売をさらに進めていく予定です。海外においては、ローカル企業向けに国内で培ったノウハウを基としたSEM関連商品の営業活動を強化し、利益貢献できる販売体制を構築してまいります。また、既存事業の成長だけではなく、独創的な考え方で挑戦し、新たな取り組みを続けていくことが重要であると考えております。これまで蓄積してきたグローバルコンサルティング企業としてのノウハウ等、経営資源を活かすだけではなく、イノベーションによる新たなビジネスモデルを創出することで、収益源の多様化を進め、継続的な事業拡大と企業価値の向上を目指し、全社グループ一丸となり業績回復に努めてまいります。 
事業等のリスク	３ 【事業等のリスク】当社グループの事業とその他に関するリスクについて、投資者の判断に重要な影響を及ぼす可能性があると考えられる主な事項を記載しております。また、必ずしもそのようなリスク要因に該当しない事項についても、投資者の投資判断上、重要であると考えられる事項については、投資者に対する積極的な情報開示の観点から以下に開示しております。当社グループは、これらのリスク発生の可能性を認識した上で、発生の回避および発生した場合の対応に努める所存であります。 　なお、文中における将来に関する事項は、当連結会計年度末現在において当社グループが判断したものであり、不確実性を内在しているため実際の結果と異なる可能性があるとともに、将来において以下の記載は本株式への投資に関する発生の可能性があるすべてのリスクを網羅するものではありませんので、ご留意下さい。また、ここで記載する各リスクの発生頻度及びそれらが顕在化した場合の影響度については、合理的に算出することができないため、記載しておりません。 （１）マーケティング事業　①インターネット広告市場の推移について（発生可能性：中、影響度：高、重要度の前年からの変化：同）（リスクの内容）当社グループの事業は、インターネットマーケティングに関するサービスを主たる事業として提供しており、インターネット広告市場の動向、顧客ニーズの変化等に即座に対応する必要があります。また、検索連動型広告事業を行う企業は、大手インターネット関連企業を始め多数あり、競争が激しく、急激なインターネット広告市場の変化等の対応に時間を要した場合には、競争力の低下を招き、当社グループの事業に影響を及ぼす可能性があります。（対応策）現在、インターネット広告市場は伸長を続けており、また、当社グループは長年の事業活動の中で蓄積した広告運用に関するノウハウや海外におけるプロモーション展開の実績等、当社グループの強みである多言語分野で付加価値の高いコンサルティングを行うことにより競合他社との差別化が可能であると考えております。 ②インバウンド市場の推移について（発生可能性：高、影響度：高、重要度の前年からの変化：同）（リスクの内容）当社グループの事業は、外国人の訪日旅行者等を対象にしたインバウンドプロモーション支援を主たる事業として提供しております。そうした事業環境下において、2020年１月下旬から顕在化した新型コロナウイルスの世界的な流行は、各国政府による渡航制限や活動自粛要請等による訪日外国人旅行者数の大幅な減少をきたし、当社の顧客企業のインバウンドプロモーション需要が減少した結果、当社グループの事業活動にも大きな影響を及ぼしました。今後、新型コロナウイルスの感染再拡大及び新たな感染症の拡大に伴い、各国政府による渡航制限や活動自粛要請等が実施された場合、インバウンドの減少などによる大幅な経済活動の縮小が発生するなど、当社グループの事業や業績に悪影響を及ぼす可能性があります。（対応策）当社グループの強みを活かし、グローバルBtoB企業向けのアウトバウンドマーケティング支援（海外進出、海外市場向けプロモーションなど）の領域へ重点的に経営資源を配分し、営業活動を強化していくことで、インバウンドのみに依存しない体制を備えてまいります。 ③インターネット広告における技術革新の対応について（発生可能性：中、影響度：高、重要度の前年からの変化：同）（リスクの内容）インターネット広告は、インターネット利用者数の増加とともに、技術革新による多様な形態をもって、広告媒体として急速に普及してまいりましたが、今後も技術革新により、当社グループの主力サービスである検索連動型広告・コンテンツ連動型広告（PPC）に代わる新たなマーケティングツールが急速に普及する可能性があります。今後、これらの状況に変化が生じた場合、インターネットマーケティング関連事業の収益低下のリスクが顕在化する可能性があります。（対応策）インターネット広告においては、技術、顧客ニーズ及び競争が急速に変化することから、頻繁に新しい商品及びサービスの導入、新たな競争相手等が出現しており、当社においてもこれらの変化等に迅速に対応し、クライアントのニーズに合わせた検索エンジンマーケティング（SEM）コンサルティングサービスを提供するため、新たなマーケティングツールの導入や必要な研修活動に努め、更なるサービス開発等の強化を行ってまいります。 ④企業情報の管理・システムトラブルについて（発生可能性：中、影響度：中、重要度の前年からの変化：同）（リスクの内容）当社グループがサービスを提供する際において、クライアントの企業情報や検索連動型広告・コンテンツ連動型広告（PPC）を運用する上で必要な管理画面へのログイン情報などをサーバ上に保管しており、インターネットプロバイダーや通信回線などの通信ネットワークコンピュータシステムに依存しております。万一、サイバー攻撃等によるデータ逸失や改竄、情報漏えい、火災・震災をはじめとする自然災害、停電等の予期せぬ事由により通信回線もしくはインターネットプロバイダーまたは当社グループのシステムに障害が生じた場合には検索連動型広告・コンテンツ連動型広告（PPC）における運用管理業務の停止をせざるを得なくなる可能性があります。また、不正アクセスや取り扱い方法の不徹底等によって企業情報流出が発生した場合には、当社に対して損害賠償の請求、訴訟その他責任追及等がなされる可能性があり、これらの責任追及が社会的な問題に発展した場合、社会的信用を失い、当社グループの業績に影響を与える可能性があります。（対応策）当社グループの情報セキュリティの確保については、社内管理体制を整備し、社内教育を徹底して、情報管理の充実には万全を期すよう努めております。また、年に1回の頻度で当社グループにおける情報セキュリティの対応レベルについての評価を実施し、常に適切なセキュリティ能力が確保され続けている事を確認することで、本リスクの低減に努めております。 ⑤法的規制について（発生可能性：中、影響度：高、重要度の前年からの変化：同）（リスクの内容）現時点においては、当社グループの事業を推進する上で直接に規制を受けるような法的規制はありませんが、急激な技術革新が進む中、インターネット上の情報流通のあり方については、現在も様々な議論がされており、今後、インターネットの利用や関連するサービス及びインターネット関連事業を営む事業者を規制対象として、現行法令の適用および新法令等が制定された場合、当該規制に対応するためにサービス内容の変更やコストが増大する等、当社グループの業績に影響を与える可能性があります。（対応策）当社グループでは、法的規制に関する事前の情報収集の徹底に努めるとともに、収集した情報がタイムリーに経営陣を含めた関係者に共有される仕組みを構築し、法的規制対応に必要となる方策を検討、準備する十分な期間を確保することで、本リスクの低減に努めております。 ⑥検索連動型広告・コンテンツ連動型広告（PPC）における重要な契約及び高い依存度について（発生可能性：中、影響度：中、重要度の前年からの変化：同）（リスクの内容）当社が行う検索連動型広告・コンテンツ連動型広告（PPC）においてはヤフー株式会社およびグーグル合同会社の２社と販売代理店契約を締結しており、両社のサービスに係る売上高が総売上高に占める割合は、今後も高いシェアを維持するものと思われます。これら２社とは良好な関係の維持に十分留意しておりますが、販売代理店制度の廃止、または両社の事業展開によっては、これらの契約の継続を全部もしくは一部が拒絶される場合、または契約内容の変更等を求められる場合があり、当社グループの経営成績および今後の事業展開に重大な影響を与える可能性があります。（対応策）当社グループがこれまで蓄積してきた多言語によるグローバルコンサルティング事業を行う企業としてのノウハウ等の経営資源を活用した新たなサービスを検討する等、検索連動型広告・コンテンツ連動型広告（PPC）以外のサービス拡大により、特定の取引先への依存度を低下させていく方針であり、特定の取引先に依存しない収益体制を構築すべく努めてまいります。 （２）海外における事業活動について①海外展開に伴うリスクについて（発生可能性：中、影響度：中、重要度の前年からの変化：同）（リスクの内容）当社グループはアジアを中心に事業展開を行っておりますが、次のようなリスクがあります。これらの事象が発生した場合は、当社グループの経営成績及び財政状態等に影響を及ぼす可能性があります。　a、予期しえない法律・規則・不利な影響を及ぼす租税制度の変更　b、社会的共通資本（インフラ）が未整備なことによる当社グループ活動への悪影響　c、不利な政治的要因の発生　d、テロ、戦争、伝染病などによる社会的混乱　e、予期しえない労働環境の急激な変化（対応策）各国・各地域の法律・規制の動向、及び地政学的リスクの変化には、常に十分な注意を払い、情報の収集に努めております。各国・各地域のマネージャーと連携し、海外各地域の実情を把握し、必要に応じ、弁護士、コンサルタント等、専門機関の協力を得て、国あるいは地域ごとにリスクを判断し、対策を講じております。 ②不動産市況の悪化および不動産売却にともなうリスクについて（発生可能性：中、影響度：中、重要度の前年からの変化：同）（リスクの内容）当社グループが保有している販売用不動産（棚卸資産）及びその他の資産は、景気動向、金利動向、地価動向及び税制改正等の影響を受けやすいため、経済・雇用情勢等の悪化により、不動産に対する消費者の購入意欲や投資家による投資意欲が減退した場合、時価の下落等による減損または評価損を計上する可能性があります。また、当社グループが取得した不動産に欠陥や瑕疵があった場合には、瑕疵の修復などの追加費用等が生じることにより、当社グループの業績に影響を及ぼす可能性があります。（対応策）当社グループでは、常に市場動向を観察・分析しタイムリーな計画変更を実施しております。また、当該不動産の欠陥・瑕疵等により、予期せぬ損害を被る可能性がないよう、投資対象不動産の選定・取得の判断を行うに当たっては現地での調査を行い、また、取引先については、現地大手デベロッパーに限定するなど、慎重な対応を行うことで、本リスクの低減に努めております。 ③為替変動について（発生可能性：高、影響度：高、重要度の前年からの変化：同）（リスクの内容）当社グループの海外現地法人は財務諸表を現地通貨建てで作成しており、当社と海外子会社間の取引も複数の外貨建てで行っているため、今後著しい為替変動があった場合には、当社グループの業績および財政状態に影響を与える可能性があります。（対応策）当社グループでは、当社の経営支援グループの元で各地域での為替リスク管理体制を整備し、為替相場の変動に伴う業績への影響や、海外現地法人の換算影響の把握に努め、そのリスクを軽減する措置を講じています。 （３）資本提携等について（発生可能性：低、影響度：中、重要度の前年からの変化：同）（リスクの内容）当社グループは、M&amp;Aを事業拡大のための手法の一つとして認識しており、当社グループの事業ドメインや会社間の文化的な親和性も考慮しながら、今後も実施をしていきたいと考えております。実施の際には、社内、社外の専門家による吟味検討を行ってまいりますが、景気や事業をとりまく環境等の変化により、予定していた計画が達成されず、業績への貢献が困難となる可能性や減損損失が生じる可能性があります。その場合、当社グループの業績に影響を与える可能性があります。（対応策）当社グループは、資本提携等に際して、当社との戦略的適合性、計画の蓋然性、投資額の妥当性、リスク対応等の観点から投資評価を行った上で、投資の可否を見極めることで、本リスクの低減に努めております。 （４）人材の獲得について（発生可能性：中、影響度：高、重要度の前年からの変化：同）（リスクの内容）当社グループは、グローバル化する社会の中で、高度な知識と組織力に基づく競争力あるサービスを提供していくためには、いかに優秀な人材の確保およびその育成を行うことができるかが重要な課題となります。現状は、必要に応じて迅速且つ積極的な採用活動を行うことにより、優秀な人材の確保ができております。ただし、マクロ的な採用環境の影響などで、計画的に人材の確保および育成ができない場合や、事業の中核をなす社員に不測の事態が場合、業務が滞り、経営活動の円滑な遂行が困難となり、当社グループの業績に影響を与える可能性があります。（対応策）当社グループでは、人材の多様性を確保することが持続的な成長のため必要であるとの考えのもと、従前より、国籍・性別・年齢等に関わらず、当社グループの企業理念を理解し、主体的に課題解決を行うことができる優秀なグローバル人材の採用に努めております。また、リモートワークをはじめ、デジタル技術の積極的活用やそれら運用体制の整備を行い、実効性の高い施策を実施することで、生産性向上による収益拡大を目指すとともに、組織力を強化することで、日本を始め、アジア市場における当社グループの競争力を一層強化できると考えております。 （５）配当政策について（発生可能性：低、影響度：低、重要度の前年からの変化：同）（リスクの内容）当社グループは、株主の皆様への利益還元を重要な経営課題の一つと認識しております。将来に向けた事業の拡大のため、必要な設備および人材、M&amp;Aへ向けた投資を優先し、また、迅速な経営判断の実行に備えるため内部留保とのバランスを考慮した利益配分を行うことを、基本方針としております。（対応策）今後につきましては、確実に利益を出すことにより財務体質の強化をはかり、財務状況と経営成績のバランスを考慮しながら弾力的な配当の実施を行っていく方針であります。現時点においては、配当の可能性及びその時期については未定であります。 （６）投資有価証券について（発生可能性：中、影響度：中、重要度の前年からの変化：同）（リスクの内容）当社グループでは、グループにおけるシナジー効果や投資対象会社の今後の成長によるリターンを得ることなどを目指し、海外を中心に純投資をおこなっております。今後、投資対象外者の事業環境の悪化等により、期待される成果が得られないと判断された場合、投資有価証券評価損が発生し、当社グループの業績に影響を及ぼす可能性があります。（対応策）当社グループでは、投資判断においては、投資先候補企業の事業内容を吟味し、当社グループとの事業シナジーが得られること、投資先候補企業の事業計画、当社グループの財務状況や投資先候補企業への影響等を考慮し、投資先候補企業の評価額が適切な水準であること等を慎重に検討することで、本リスクの低減に努めております。 （７）継続企業の前提に関する重要事象等当社グループは前連結会計年度において、営業損失40,497千円を計上いたしました。また、当連結会計年度においても、新型コロナウイルス感染症拡大による影響が残る中、主に民間企業におけるインバウンドマーケティング（訪日旅行者向けプロモーションなど）の需要が本格的に回復するまでには至らず、当社を取り巻く事業環境は引き続き大変厳しいものとなりました。その結果、営業損失71,980千円を計上しております。これらの状況により、継続企業の前提に重要な疑義を生じさせるような状況が存在しております。当社グループは当該状況を解消すべく、需要が堅調に増加しているグローバルBtoB企業向けのアウトバウンドマーケティング（海外進出、海外市場向けプロモーションなど）の領域へ重点的に経営資源の配分を行い、営業活動を強化することで、売上高及び収益の拡大を図ってまいります。また、経営資源を収益性の高い拠点や事業に集中させることで、グループ全体の効率化、合理化を図ってまいります。なお、資金面では、当連結会計年度の末日現在において、現金及び預金を545,518千円保有しており、当面の間、運転資金および投資資金を十分賄える状況であることから資金繰りにおいて重要な懸念はないと判断しております。以上により、継続企業の前提に重要な疑義を生じさせる状況が存在するものの、重要な不確実性は認められないものと判断しております。 
経営者による財政状態、経営成績及びキャッシュ・フローの状況の分析	４ 【経営者による財政状態、経営成績及びキャッシュ・フローの状況の分析】当連結会計年度（2022年６月１日～2023年５月31日）におけるわが国経済は、新型コロナウイルスによる行動制限が緩和され、経済活動は徐々に正常化に向けた動きが見られました。その一方で、ウクライナ情勢の長期化に伴う世界的な原材料・資源価格の高騰による物価の上昇、欧米諸国等の金融引き締め政策による円安の進行等により、景気の先行きは依然として不透明な状況で推移いたしました。このような状況の中、当社グループは収益力の回復と拡大を最優先課題とし、ウィズコロナ・アフターコロナ環境において想定される民間企業の急激な需要回復にも対応できるよう注力してまいりました。当社グループの強みである多言語分野で付加価値の高いサービスを提供することで、幅広い需要を取り込むことができるよう、グローバルBtoB企業向けのアウトバウンドマーケティング支援（海外進出、海外市場向けプロモーションなど）の領域へ重点的に経営資源を配分し、営業活動の強化を行ってまいりました。特にアウトバウンドマーケティングにおいて、今や欠かせない手法となった海外向けSEOコンサルティングにおいては、言語特性やインフラ環境、法規制等、日本語SEOとは異なるため、マーケティングトレンドへの深い理解が必要となります。当社グループのこれまでの豊富な実績から得た経験とノウハウを活かした付加価値の高いサービスを提供することで、新規取引先の獲得は順調に推移いたしました。また、本社事務所の移転や沖縄支店の閉鎖等による固定費の削減や将来の収益拡大に備え、オペレーション業務のシステム化など業務改善を実施しております。しかしながら、民間企業を中心としたインバウンド関連の広告出稿の本格的な回復には時間を要すること、また、前連結会計年度において計上した自治体等の単年度の大型案件終了の影響をカバーすることができず、黒字回復までには至りませんでした。また、現在の経営環境を踏まえ、当社グループにおいて時価の下落や収益性が低下している資産については、特別損失を計上することとしました。　以上の結果、当連結会計年度の売上高は454,515千円（前年同期比9.1％減）、営業損失は71,980千円（前年同期は営業損失40,497千円）、経常損失は78,400千円（前年同期は経常利益3,052千円）、親会社株主に帰属する当期純損失は89,036千円（前年同期は親会社株主に帰属する当期純利益4,006千円）となりました。当社グループは、2024年５月期において国内外で収益力を高めた新たな組織体制でスタートしております。引き続き、グローバルマーケィング領域での事業強化を行い、全社グループ一丸となり業績回復に努めてまいります。なお、当連結会計年度より、報告セグメントを「マーケティング事業」の単一セグメントに変更しておりますので、セグメントごとの経営成績の記載を省略しております。 生産、受注、販売及び仕入の実績は、次の通りであります。① 生産実績該当事項はありません。 ② 受注実績該当事項はありません。 ③ 販売実績当連結会計年度における販売実績をセグメントごとに示すと、次のとおりであります。セグメントの名称販売高(千円)前期比(％)マーケティング事業454,51590.9合計454,51590.9 (注)　１  主な相手先別の販売実績及び販売実績に対する割合相手先前連結会計年度当連結会計年度販売高（千円）割合販売高（千円）割合独立行政法人国際観光振興機構102,28020.4%13,9793.1%KTCおおぞら株式会社60,20512.0％66,57014.6％  ④ 仕入実績当連結会計年度における仕入実績をセグメントごとに示すと、次のとおりであります。セグメントの名称仕入高(千円)前期比(％)マーケティング事業39,600121.3%合計39,600121.3%  （２）財政状態　 当社グループの財政方針は、事業活動のための安定的な資金の確保を基本方針としております。（流動資産）流動資産は、前連結会計年度末に比べて1.9％減少し、807,295千円となりました。これは、主に貸倒引当金の増加によるものであります。　（固定資産）固定資産は、前連結会計年度末に比べて11.8％減少し、186,660千円となりました。これは、主に投資有価証券の減少によるものであります。　（流動負債）流動負債は、前連結会計年度末に比べて9.5％減少し、175,457千円となりました。これは、主に１年内返済予定の長期借入金の減少によるものであります。 （固定負債）固定負債は、前連結会計年度末に比べて24.2％増加し、246,570千円となりました。これは、主に長期借入金の増加によるものであります。　（純資産）純資産は、前連結会計年度末に比べて10.9％減少し、571,928千円となりました。これは、主に欠損填補により資本金が241,136千円減少する一方、資本剰余金が66,898千円、利益剰余金が174,237千円増加したこと並びに親会社株主に帰属する当期純損失の計上により利益剰余金が89,036千円減少したことによるものであります。 （３）キャッシュ・フローの状況の分析・検討内容並びに資本の財源及び流動性に係る情報①現金及び現金同等物当連結会計年度における現金及び現金同等物（以下「資金」という）の期末残高は前連結会計年度末に比べて21,414千円減少し、545,518千円となりました。当連結会計年度における各キャッシュ・フローの状況とそれらの要因は次のとおりであります。 ②営業活動によるキャッシュ・フロー営業活動の結果、使用した資金は、91,677千円（前連結会計年度は21,026千円の使用）となりました。これは主に、税金等調整前当期純損失88,988千円によるものであります。 ③投資活動によるキャッシュ・フロー投資活動の結果、獲得した資金は、28,159千円（前連結会計年度は40,818千円の獲得）となりました。これは主に、投資有価証券の払戻による収入22,039千円によるものであります。 ④財務活動によるキャッシュ・フロー財務活動の結果、獲得した資金は、25,920千円（前連結会計年度は60,094千円の獲得）となりました。これは主に、長期借入による収入60,000千円によるものであります。 ⑤資本の財源及び資金の流動性当社グループは自己資金及び金融機関からの借入等を資本の財源としております。当社グループの資金の流動性については、事業規模に応じた資金の適正額を維持することとしており、当社は運転資金の流動的かつ安定的な調達を可能とするため、金融機関からの資金調達を行っております。 （４）重要な会計上の見積り及び当該見積りに用いた仮定当社グループの連結財務諸表は、わが国において一般に公正妥当と認められている会計基準に基づいて作成されております。詳細については、「第５　経理の状況　１　連結財務諸表　（１）連結財務諸表　注記事項（重要な会計上の見積り）」に記載しております。 
経営上の重要な契約等	５ 【経営上の重要な契約等】当社グループのマーケティング事業を行うにあたり、当社は下記のとおり販売代理店契約を締結しております。 会社名国名契約品目契約内容契約期間ヤフー株式会社日本Yahoo!広告Yahoo!広告の販売代理店契約2002年11月18日から2003年11月17日までとし、有効期間満了の１カ月前までに変更の申入れがない限り、以降、１年間ごとに自動延長。グーグル合同会社日本Google広告Google広告の販売代理店契約2002年11月24日から無期限継続。  
研究開発活動	６ 【研究開発活動】　　 該当事項はありません。 
設備投資等の概要	１ 【設備投資等の概要】当連結会計年度において記載すべき重要な事項はありません。
主要な設備の状況	２ 【主要な設備の状況】（１） 提出会社　　2023年５月31日現在事業所名(所在地)セグメントの名称設備の内容帳簿価額(千円)従業員数(名)建物工具、器具及び備品ソフトウェア合計本　社(東京都千代田区)マーケティング事業全社事業用システム―00028沖縄支店(沖縄県那覇市)マーケティング事業全社―――――7  （２） 在外子会社　　2023年５月31日現在会社名事業所名(所在地)セグメントの名称設備の内容帳簿価額(千円)従業員数(名)建物工具、器具及び備品その他合計AUN ThaiLaboratories　Co.,Ltd.Thailand　Bangkokマーケティング事業内装工事・コンピュータ等―102―10218AUN Vietnam Co., Ltd.Viet nam Ho Chi Minh City全社（共通）リゾートホテル――39,04639,0466 (注) １　帳簿価額のうち「その他」は、長期前払費用であります。 
株式の総数	① 【株式の総数】 種類発行可能株式総数(株)普通株式24,000,000計24,000,000  
発行済株式、株式の総数等	② 【発行済株式】 種類事業年度末現在発行数(株)(2023年５月31日)提出日現在発行数(株)(2023年８月30日)上場金融商品取引所名又は登録認可金融商品取引業協会名内容普通株式7,502,8007,502,800東京証券取引所(スタンダード市場)(注)１計7,502,8007,502,800―― (注) １　単元株式数は100株であります。 
