項目	値
事業の内容	 ３ 【事業の内容】　当社の企業集団は、当社、当社の親会社及び連結子会社５社で構成されており、親会社の大日本印刷株式会社は印刷事業を主な事業内容としているのに対し、当社グループの事業は飲料の製造・販売事業であります。当社が販売するほか、子会社が製造、運送、自動販売機のオペレーションなどの付帯業務を行っております。　当社グループの事業に係わる各社の位置付け及び事業の系統図は以下のとおりであります。なお、当社グループは飲料の製造・販売事業の単一セグメントであります。 　(1) 当社グループの事業に係わる各社の位置付け　当社、北海道コカ・コーラリテール＆ベンディング株式会社、北海道ベンディング株式会社が販売事業および自動販売機のオペレーション事業を行っております。北海道コカ・コーラプロダクツ株式会社は当社からの業務委託により、飲料の製造及び自動販売機の修理等の事業を行っております。幸楽輸送株式会社は商品の拠点間運送・構内荷役等の事業を行っております。北海道サービス株式会社は当社事業所の一般事務処理業務のほか事務機器のリース等を行っております。 　(2) 事業の系統図 
経営方針、経営環境及び対処すべき課題等	１ 【経営方針、経営環境及び対処すべき課題等】文中の将来に関する事項は、有価証券報告書提出日現在において、当社グループが判断したものであります。  （1）経営指針当社グループの事業範囲は、北海道全域であり、北海道の健全な発展がなければ、当社グループの事業も成り立ちません。道民の皆様と支えあいながら、社会的責任を果たしていくため、経営理念として「私たちは知的に活性化された豊かで創発的な社会に貢献します。」を制定し、以下の経営指針を定めています。１．生活者やパートナーに「さわやかさと潤い」を提供します。２．生活者やパートナーとの共存共栄を図るとともに地域社会に貢献します。３．変革にチャレンジし活力ある創発的な会社をつくります。  （2）経営環境当社グループを取り巻く経営環境は、原材料資材費やエネルギー費の高騰、労働人口の減少による働き手不足など、厳しい状況が継続するものと想定しております。また、DX対応、サイバーセキュリティ、天災リスクなどへの対応も経営課題として急務となっております。当社グループは、このような環境変化に対しても収益を確保できる強靭な企業体質を実現するため中期経営計画を策定し、実行しております。 （3）中期経営戦略当社グループは、中期経営計画（2024年～2026年）の目標として2026年12月期までに売上高652億円、営業利益30億円、ROE4.0％を設定し、達成を目指してまいります。 ≪中期経営計画の基本戦略≫■飲料関連事業戦略 ～飲料ビジネスの安定基盤構築～　　①ビジネス安定基盤の再構築　　②ポテンシャル領域での投資効果の最大化　　③飲料ビジネス成長のための基盤構築投資　　④環境負荷軽減とサプライチェーンマネジメントの安定拡大■財務戦略 ～持続的成長に向けた資本配分の適正化～　　①基盤・成長投資の原資となる営業キャッシュ・フローを創出　　②基盤構築及び戦略成長分野への投資増　　③長期的な安定配当の継続■非財務戦略 ～人的資本の強化と社会/環境取組み強化～　　①個の力の最大化と生産性向上　　②新しい価値創造のための風土醸成　　③サスティナビリティ活動の深化　　④社会課題を解決する価値の創出また、「地域に信頼され、認められる企業」を目指して、「SDGs（持続可能な開発目標）」を新たな指標とした地域課題に取り組んでいくとともに、内部統制システムの構築と運用によるコーポレート・ガバナンスの充実及びコカ・コーラ独自の統合的なマネジメントシステムである「KORE（コア）」による品質・安全性・環境の維持向上に努めてまいります。 
事業等のリスク	 ３ 【事業等のリスク】有価証券報告書に記載した事業の状況、経理の状況等に関する事項のうち、経営者が連結会社の財政状態、経営成績及びキャッシュ・フローの状況に重要な影響を与える可能性があると認識している主要なリスクは、以下のとおりであります。なお、文中の将来に関する事項は、当連結会計年度末現在において当社グループが判断したものであります。 (1) ザ コカ・コーラカンパニー及び日本コカ・コーラ株式会社との契約について当社は、ザ コカ・コーラカンパニー及び日本コカ・コーラ株式会社との間で、北海道を対象地域としてコカ・コーラ製品の製造・販売及び商標使用等の付与を受けるボトラー契約を締結しております。当社グループの売上の大部分は、ザ コカ・コーラカンパニーが所有する商標（以下「コカ・コーラ商標」という）を使用した飲料の売上から生じていることから、コカ・コーラ商標の侵害及びそのブランドの毀損は、当社グループの財政状態及び経営成績に大きく影響を及ぼす可能性があります。また、ボトラー契約は定期的に更新され現在に至ります。 (2) 品質管理について当社グループは、お客様に高品質で安心してお飲み頂ける商品を提供するため、札幌工場にて品質マネジメントシステム「ＩＳＯ９００１」、食品安全マネジメントシステム「ＦＳＳＣ２２０００」の認証を取得しております。製品の安全性はもちろんのこと、お客様の一層の満足度向上をはかるため、社員の意識向上や品質に関する事故の予防活動を推進しておりますが、万一、品質に関する事故が発生した場合には、その発生が当社グループに起因するものであるか否かを問わず、ブランドイメージを著しく損ねる恐れがあります。そのような事態が発生した場合には、当社グループの財政状態及び経営成績に影響を及ぼす可能性があります。 (3) 飲料業界について① 市場競争飲料市場においては、近年市場が成熟状態にあるといわれており、当面市場の大きな伸びは期待できない状況にあります。また、飲料各社間の販売シェア獲得競争は激しく、スーパーマーケット等における販売シェアが減少した場合は、当社グループの経営成績に影響を及ぼす可能性があります。 ② 天候要因当社グループが事業を展開する飲料の売上は、その商品の特性上、天候等の影響を受けやすい傾向にあります。特に最需要期の冷夏や冬季の大雪等も当社グループの経営成績に影響を及ぼす可能性があります。 (4) 経済状況による影響について① 道内景気と消費動向当社グループは、北海道の市場を中心として事業活動を展開しております。現在の北海道内の景気の状況から、今後の個人消費が急激に回復するとは想定しておりませんが、急速に個人消費が減少した場合には、当社グループの経営成績に影響を及ぼす可能性があります。 ② 保有資産の価値変動当社グループが保有する土地や有価証券等の価値が変動することにより、当社グループの財政状態及び経営成績に影響を及ぼす可能性があります。例えば、有価証券につきましては、時価を有するものはすべて時価にて評価しているため、株式市場等における時価の変動の影響を受けます。 ③ 年金資産の時価変動リスク当社グループにおきましては、確定給付型の企業年金基金制度を有しております。このため、有価証券で構成されている年金資産の運用が悪化した場合には、退職給付費用が増加し、当社グループの財政状態及び経営成績に影響を及ぼす可能性があります。 (5) 法的規制等について当社グループが営む飲料の製造・販売事業におきましては、「食品衛生法」、「製造物責任（PL）法」、「道路交通法」、「廃棄物処理法」、「容器包装リサイクル法」など、さまざまな規制が存在しております。当社グループは、これらすべての規制を遵守し、安全かつ安心な商品の提供につとめてまいります。従いまして、これらの規制が強化された場合には、規制遵守にかかわる費用などが新たに発生することにより、当社グループの財政状態及び経営成績に影響を及ぼす可能性があります。 (6) アルコール飲料について当社グループで販売している酒類は国内において酒税等を定める酒税法の規制を受けております。当社グループはその酒税法に基づき酒類卸売業免許を取得しております。今後の事業展開においては酒税法の規制を受けるほか、酒税の税率の変更によって販売価格・動向に影響を受ける可能性があります。なお、酒類は一般的に適度の飲酒ならば様々な効能があるとされていますが、慢性的飲酒による各種弊害も指摘されております。これらのアルコールに関連する諸問題が社会的に一層深刻となった場合には、販売活動に何らかの影響・規制が及ぶ恐れがあり、酒類の将来性、当社グループの財政状態及び経営成績に影響を及ぼす可能性があります。 (7) 環境関連について① 水資源当社グループは貴重な水資源を利用して事業活動を行っております。製造過程における水使用量の削減、製造過程で使用する水の循環、地域の水源保護の３つの側面で水資源保護活動を推進しております。万一、水質の異常や水資源が枯渇した場合には事業に大きな影響を及ぼす可能性があります。 ② 容器コカ・コーラシステムの「2030年容器ビジョン」に基づき、容器をサスティナブルなものにしていく、販売した同等量の容器を回収するなど「World Without Waste（廃棄物ゼロ社会）」の実現を目指して活動しております。しかし、海洋プラスチック問題の拡大により、ペットボトルの販売禁止等が発生した場合は、当社グループの財政状態及び経営成績に大きく影響を及ぼす可能性があります。 ③ 気候変動コカ・コーラシステムの「Climate Vision2030」に基づき、バリューチェーン全体における温室効果ガス削減を目指し、省エネ活動や再エネ導入等を推進しております。温室効果ガスの増加により、気候変動や、農作物の変化等に加えて社会・消費者の需要や事業機会が変化することで当社グループの事業に大きな影響を及ぼす可能性があります。 (8) 災害について当社グループの主要な生産設備、販売拠点は本店所在地に集中しており、地震・火災などに見舞われた場合は、生産活動の停止、あるいは製品供給の不全に陥る可能性があり、それらは当社グループの財政状態及び経営成績に影響を及ぼす可能性があります。当社グループでは、災害等に対して主要設備の防火、耐震対策などを実施するとともに、製品の分散保管、ITインフラの分散設置を実施し、BCP（事業継続計画）を策定しております。 (9) 感染症について新型コロナウイルスに代表される感染症の流行により、市民生活の変化や日本経済の停滞が当社グループの財政状態及び経営成績に影響を及ぼす可能性があります。特に、飲食店や交通機関、レジャー、イベント施設の衰退は当社グループの経営成績と密接な関係にあります。感染症が流行した場合には、従業員についてはマスクの着用や在宅勤務など感染症予防に努めます。また、感染症流行下でも衰退しない販売チャネルに傾注した営業活動を続けることで、売上高の減少を抑えます。
経営者による財政状態、経営成績及びキャッシュ・フローの状況の分析	 ４ 【経営者による財政状態、経営成績及びキャッシュ・フローの状況の分析】当連結会計年度における当社グループの財政状態、経営成績及びキャッシュ・フローの状況の概要は次のとおりであります。また、当社グループは、飲料の製造・販売事業の単一セグメントであるため、セグメント別の記載はしておりません。なお、文中の将来に関する事項は、当連結会計年度末現在において当社グループが判断したものであります。 (1) 経営成績等の状況の概要① 財政状態及び経営成績の状況当連結会計年度の売上高は56,371百万円（前年同期比9.2％増）、営業利益は1,725百万円（前年同期比183.8％増）、経常利益は1,727百万円（前年同期比107.4％増）、親会社株主に帰属する当期純利益は1,312百万円（前年同期比136.0％増）になりました。財政状態につきましては、資産は前連結会計年度に比べ3,058百万円増加の51,073百万円となりました。負債は、2,039百万円増加の10,220百万円となりました。純資産は、1,018百万円増加の40,853百万円となりました。 ② キャッシュ・フローの状況当連結会計年度における現金及び現金同等物（以下「資金」という）は、前連結会計年度に比べ621百万円増加し、9,372百万円になりました。活動ごとのキャッシュ・フローの状況は、以下のとおりです。 ≪営業活動によるキャッシュ・フロー≫営業活動によって得られた資金は、3,253百万円（前連結会計年度は1,995百万円の収入）になりました。これは、税金等調整前当期純利益1,973百万円、減価償却費1,883百万円、仕入債務の増加494百万円などに対し、売上債権の増加514百万円などによるものです。 ≪投資活動によるキャッシュ・フロー≫投資活動の結果によって使用した資金は、1,947百万円（前連結会計年度は2,032百万円の使用）になりました。これは、主に製造設備や販売機器などの有形固定資産の取得による支出2,059百万円、無形固定資産の取得による支出374百万円、投資有価証券の売却による収入443百万円などによるものです。 ≪財務活動によるキャッシュ・フロー≫財務活動の結果によって使用した資金は、684百万円（前連結会計年度は675百万円の使用）になりました。これは、配当金の支払額407百万円、リース債務の返済による支出274百万円などによるものです。 ③ 生産、受注及び販売の状況a 生産実績当社グループは飲料の製造・販売事業の単一セグメントであり、開示対象となるセグメントはありませんが、当連結会計年度における生産実績を示すと、次のとおりであります。  名称金額(百万円)前年同期比(％)飲料水等32,3423.0  (注)　金額は、製造原価によっております。 b 受注実績当社グループは受注を主体とした生産を行っていないため、受注実績の記載を省略しております。  c 販売実績当社グループは飲料の製造・販売事業の単一セグメントであり、開示対象となるセグメントはありませんが、当連結会計年度における販売実績を示すと、次のとおりであります。 名称金額(百万円)前年同期比(％)飲料水等56,3719.2  (注)　相手先別販売実績において、総販売実績に対する該当割合が10％以上の相手先はありません。 (2) 経営者の視点による経営成績等の状況に関する分析・検討内容経営者の視点による当社グループの経営成績等の状況に関する認識及び分析・検討内容は次のとおりであります。なお、文中の将来に関する事項は、当連結会計年度末現在において判断したものであります。 ① 当連結会計年度の経営成績等の状況に関する認識及び分析・検討内容当連結会計年度の業績は、人流の回復や猛暑などの需要増を捉えた営業活動により販売数量が増加したほか、価格改定が寄与し、売上高は56,371百万円（前年同期比9.2％増）となりました。利益面では、原材料資材・エネルギー価格の高騰影響は受けたものの、販売伸長による利益貢献に加え、継続したコスト削減の取り組みにより、営業利益は1,725百万円（前年同期比183.8％増）、経常利益は1,727百万円（前年同期比107.4％増）、親会社株主に帰属する当期純利益は1,312百万円（前年同期比136.0％増）となりました。 ＜活動内容＞a 飲料事業の収益力の向上スーパーマーケット、コンビニエンスストアなどの量販店においては、人流データなどを活用した適切な品揃えの提案により販売ロスを防ぐ活動と、カスタマーの人手不足に対応するべく、オペレーション効率の良い売り場展開を行い、当社・カスタマー双方の売上拡大をはかりました。さらに、物価高の影響を受ける家計を応援するため、お買い得な商品のまとめ売りを実施するなど、オンラインでの専用商品販売と合わせて、生活者の需要に対応する商品の提供活動に注力しました。自動販売機ビジネスにおいては、人気の高い全国プロモーション「ドラクエウォークコラボ」や「２本目無料キャンペーン」を実施し、従来のアプリ訴求に加え自動販売機でのPOP訴求を追加して集客を拡大しました。また、北海道独自の取り組みとして、職域で最も販売需要が高まる朝にターゲットを絞ったCoke ONの時間帯限定プロモーションを実施し販売拡大をはかりました。飲食店においては、新規メニューの追加などで販売を拡大したほか、24時間対応のWEB受注システムを導入し、カスタマーの利便性向上とともに当社の受注効率を改善しました。新商品としては、「プラズマ乳酸菌 免疫ケアシリーズ」を地域限定発売したほか、2012年の発売以来、北海道の皆さまから高い支持を得ている北海道限定商品「ジョージアミルクコーヒー」シリーズの第２弾として「ジョージアバナナミルクコーヒー」を発売しました。また、北海道内のコンビニエンスストア限定で「スプライト500ml缶」を発売しました。アルコール飲料においては、新ブランドとして「ジャックダニエル＆コカ・コーラ」を発売し、既存ブランドの「檸檬堂」に加えてアルコール飲料の商品選択肢の拡充をはかりました。 b グループビジネスの成長グループビジネスにおいては、主力である「一般貨物輸送事業」が堅調に推移したほか、需要の高まる倉庫保管や流通加工などの輸送周辺事業を展開しました。また、自動販売機のメンテナンス技術を活用し、新たに食品機器や住宅設備機器類の「メンテナンス事業」を推進したほか、「バックオフィス事業」として、コールセンターや事務業務、自治体関連業務の受託を進め、事業領域の拡大をはかりました。 c 経営基盤の強化「北の大地とともに」を合言葉に、SDGsを新たな指標ととらえ、環境やサスティナビリティ活動に注力してきました。環境に対する取り組みとして、コカ・コーラシステムでは、日本国内のバリューチェーン全体における温室効果ガスを2030年までにスコープ１、２（工場やオフィス、エネルギーに起因する排出量）で50％、スコープ３（原料の加工、自動販売機などの排出量）で30％（いずれも2015年比）削減する目標を策定しました。この目標達成のためのコカ・コーラシステムでは、『「World Without Waste（廃棄物ゼロ社会）」の実現』をスローガンに、2030年までに全てのペットボトルを100％サスティナブル素材へ切り替えること、日本国内で販売した同等量のペットボトル容器を回収することなどを目指して取り組みを進めてまいります。北海道における具体的な取り組みとしては、北海道電力株式会社及び合同会社HARE(はれ)晴(ば)れ（以下「HARE晴れ」）と、太陽光発電によるオフサイトPPA（電力販売契約）に関する契約を締結し、北海道電力を通じてHARE晴れの太陽光発電所が発電する再生可能エネルギー電力を札幌工場の電力の一部で使用します。これにより、当社は、従来比で年間約700トンのCO2削減（札幌工場の製品を約1,600万本分製造する際に排出されるCO2に相当）を実現し、当社が掲げる「スコープ１と２」の目標達成に向けて大きく前進するものと考えています。サスティナビリティ活動としては、上士幌町と「ペットボトル資源循環リサイクルに関する事業連携協定」を締結し、同町が回収する使用済みペットボトルを粉砕・洗浄・再原料化する、地域で排出されるペットボトルの資源循環型リサイクルのモデル事業を展開しました。本事業で再生されたペットボトル原料は、当社が製造・販売するコカ・コーラ社製品の容器に使用いたします。あわせて、生活者へのペットボトル資源循環のリサイクル啓蒙を目的に「はずす はがす かえす つぎのボトルへリサイクル！」のロゴを新たに作成し、新聞広告や環境イベントなどで継続的に展開しております。また、札幌市が目指す『ウェルネス（健康寿命延伸）』を支援すべく、同市と「さっぽろウェルネスパートナー協定」を締結し、北海道の豊かな大地で育まれた良質な原材料を使って安全安心な商品をお届けすることで、北海道の皆様の健全なライフスタイルに貢献しております。さらに、当社が創立60周年を迎えた記念として、当社やコカ・コーラの歴史、北海道における取り組みなどを、生活者の皆さまに楽しみながら知っていただくためのコーポレートサイト「どさんこーく広場」を開設したほか、札幌工場で生産する製品に使用される水が、同工場と同じ清田区に位置する白旗山からの水源であり「道産」であることを北海道の皆さまに広く知っていただくための記念CMや、記念ロゴの制作などを実施しました。 ② 当連結会計年度の財政状態の分析当連結会計年度における資産は、前連結会計年度に比べ3,058百万円増加の51,073百万円となりました。これは主に、退職給付に係る資産や現金及び預金が増加したことによるものです。 負債は、2,039百万円増加の10,220百万円となりました。これは主に未払法人税等や買掛金の増加によるものです。純資産は、1,018百万円増加の40,853百万円となりました。これは主に、利益剰余金が増加したことによるものです。この結果自己資本比率は80.0％となり、当連結会計年度の１株当たり純資産額は3,002円29銭となりました。 ③ 資本の財源及び資金の流動性の分析a キャッシュ・フロー分析キャッシュ・フローの分析については、「第２ 事業の状況　４経営者による財政状態、経営成績及びキャッシュ・フローの状況の分析　(1)経営成績等の状況の概要　②キャッシュ・フローの状況」に記載しております。 b 資金需要、資金調達資金需要としては、商品及び原材料仕入等の運転資金のほか、将来の成長に向けた自動販売機を中心とした販売機器や生産設備等の設備投資資金等があります。また、株主の皆様への利益還元を経営の重点政策と位置づけています。利益の配分については、株主の皆様へ安定配当を行うことを基本とし、財政状態及び経営成績を総合的に判断して実行していきます。資金調達については、基本的に自己資金で賄うこととしていますが、資金需要の内容、規模、今後の情勢等を勘案し、継続的に最適な資金調達方法の検討を進めていきます。 c 資金の流動性当社グループはＣＭＳ（キャッシュ・マネジメント・サービス）を導入しており、各グループ会社における余剰資金を当社へ集中し、一元管理を行うことにより、資金効率の向上を図っております。 ④ 経営上の目標の達成状況を判断するための客観的な指標等当社グループは、連結売上高、連結営業利益、連結営業利益率、ROEを重要な経営指標としており、その状況については以下のとおりであります。（単位：百万円） 2022年12月期2023年12月期連結売上高51,60556,371連結営業利益6081,725連結営業利益率1.2％3.1％ＲＯＥ1.4％3.3％  経営者の問題意識と今後の方針につきましては、「第２ 事業の状況 １ 経営方針、経営環境及び対処すべき課題等 （2）経営環境、（3）中期経営戦略」に記載のとおりであり、今後も中期経営計画に基づき引き続き企業価値向上を図っていきます。 (3) 重要な会計上の見積り及び当期見積りに用いた仮定当社グループの連結財務諸表は、わが国において一般に公正妥当と認められている会計基準に基づき作成しております。この連結財務諸表を作成するにあたって、資産、負債、収益及び費用の報告額に影響を及ぼす見積り及び仮定を用いておりますが、これらの見積り及び仮定に基づく数値は実際の結果と異なる可能性があります。連結財務諸表の作成にあたって用いた会計上の見積り及び仮定のうち、重要なものは「第５ 経理の状況 １ 連結財務諸表等（1）連結財務諸表 注記事項（重要な会計上の見積り）」に記載しております。 
経営上の重要な契約等	５ 【経営上の重要な契約等】ボトラー契約当社は、ザ コカ・コーラカンパニー及び日本コカ・コーラ株式会社との間で、北海道を販売地域とするコカ・コーラ等の製造・販売及び商標使用等に関するボトラー契約を締結しております。 
研究開発活動	６ 【研究開発活動】　該当事項はありません。
設備投資等の概要	１ 【設備投資等の概要】当連結会計年度における設備投資総額は2,890百万円であります。主な内容は、競争優位を確保するため、自動販売機等の販売機器の更新を行ったほか、在庫管理を行っている物流システムの更新及び自動販売機精算用端末システムの更新を行いました。なお、当社グループは飲料の製造・販売事業の単一セグメントであるため、セグメント別の設備の状況は記載しておりません。また、重要な設備の除却又は売却ありません。 
主要な設備の状況	２ 【主要な設備の状況】当社グループ(当社及び連結子会社)における主要な設備は、次のとおりであります。(1) 提出会社(2023年12月31日現在)事業所名(所在地)設備の内容帳簿価額(百万円)従業員数（名）建物及び構築物機械装置及び運搬具土地(面積千㎡)リース資産その他合計札幌工場(札幌市清田区)製造設備1,5243,8571,174(58)8166,581―道央地区(札幌市東区他)販売設備1,145111,324(41)161,2013,699―道南地区(函館市他)販売設備72501,034(52)365212,3171(―)道北地区(旭川市他)販売設備4500316(70)213851,173―道東地区(河東郡音更町他)販売設備6181727(54)274061,781―本社、その他厚生施設等(札幌市清田区他)本社機能等2,3213341,554(78)832,3536,646199(15)  (注) １　帳簿価額の金額は、有形固定資産及び無形固定資産の帳簿価額であります。２　帳簿価額「その他」は、販売機器、工具、器具及び備品、無形固定資産(ソフトウエア仮勘定を除く)の合計で表示しております。３　従業員数は就業人員であり、臨時従業員数は(　)内に年間の平均人員を外数で記載しております。  (2) 国内子会社(2023年12月31日現在)会社名事業所名(所在地)設備の内容帳簿価額(百万円)従業員数（名）建物及び構築物機械装置及び運搬具土地(面積千㎡)リース資産その他合計北海道コカ・コーラリテール＆ベンディング㈱本社他(札幌市東区他)本社機能販売設備― [199]――801 [―]0 [―]801 [199]546(117)北海道コカ・コーラプロダクツ㈱本社他(札幌市清田区他)本社機能販売設備― [207]― [0]―68 [―]1 [0]69 [207]216(61)幸楽輸送㈱本社他(札幌市清田区他)本社機能販売設備0 [218]481 [0]―(―)[77]―31 [9]513 [305]142(21)北海道サービス㈱本社他(札幌市清田区他)本社機能販売設備― [70]――23 [―]0 [0]24 [70]99(54)北海道ベンディング㈱本社他(札幌市東区他)本社機能販売設備― [7]― [0]――― [0]― [8](注3)  (注) １　帳簿価額の金額は、有形固定資産及び無形固定資産の帳簿価額であります。２　帳簿価額「その他」は、工具、器具及び備品、無形固定資産(ソフトウエア仮勘定を除く)の合計で表示しております。３　北海道ベンディング㈱における従業員数は全て北海道コカ・コーラリテール＆ベンディング㈱の従業員であるため、記載しておりません。４　上記中[　]は、連結会社から賃借中のものを外数で表示しております。５　従業員数は就業人員であり、臨時従業員数は(　)内に年間の平均人員を外数で記載しております。 
株式の総数	① 【株式の総数】 種類発行可能株式総数(株)普通株式23,702,800計23,702,800  
発行済株式、株式の総数等	② 【発行済株式】 種類事業年度末現在発行数(株)(2023年12月31日)提出日現在発行数(株)(2024年３月29日)上場金融商品取引所名又は登録認可金融商品取引業協会名内容普通株式13,607,996 13,607,996東京証券取引所（スタンダード市場)札幌証券取引所単元株式数100株計13,607,99613,607,996――  
