項目	値
事業の内容	３【事業の内容】　当社グループは、親会社であるイオン株式会社を中心とする企業集団イオングループに属し、九州地区におけるグループの中核企業として、衣料品、食品、住居余暇商品、ホームセンター商品等を販売する小売業を展開しており、販売する商品及び販売形態により「スーパーマーケット・ディスカウントストア、総合スーパー（以下ＳＭ・ＤＳ、ＧＭＳ）」「ホームセンター（以下ＨＣ）」「Ｆｏｏｄ＆Ｄｒｕｇ」の事業を主に展開しております。なお、「ＳＭ・ＤＳ、ＧＭＳ」以外の事業はセグメント開示情報としての重要性が乏しいと考えられるため、セグメント情報の記載を省略しております。 当社・ＳＭ・ＤＳ、ＧＭＳ　衣料品（衣料品、靴、鞄、服飾雑貨等）、食品、日用雑貨品、住居余暇商品（情報通信機器、化粧品、医薬品、日用雑貨、寝具、バス用品等のホームファッション、消耗品等）を販売しております。・ＨＣ　建材、木材、補修材、家庭用品、ペット用品、園芸用品、食品等を販売しております。・その他　食品、自転車関連商品等の販売、飲食サービスの提供をしております。併せて、上記の店舗においてテナントの管理・運営や保育所および託児所等の経営を行っております。また、イオングループ各社とは、商品の仕入、店舗の賃借、当社店舗内へのテナント入店等の取引を行っております。 子会社　イオンウエルシア九州株式会社・Ｆｏｏｄ＆Ｄｒｕｇ　食品、衣料品、化粧品、家庭用雑貨品等を販売しております。　これらの関連を概要図で示すと以下のとおりであります。  
経営方針、経営環境及び対処すべき課題等	１【経営方針、経営環境及び対処すべき課題等】　文中の将来に関する事項は、当連結会計年度末現在において当社が判断したものであります。(1）会社の経営の基本方針　当社は、「すべてはお客さまのために」を原点に、お客さま満足と従業員の自己実現のため、絶えず「変革」と「挑戦」を続け、九州の成長とくらしの豊かさに貢献することを基本方針としております。 (2）目標とする経営指標　当社は、キャッシュ・フローの創出による自己資本の増強が財務上の課題と認識しており、本業の実力を表わす営業利益、営業キャッシュ・フローの最大化を最重要の経営指標とし、継続的な売上総利益高の増大とローコスト経営体質の確立による営業利益の拡大に努め、健全な成長による企業価値の向上を行ってまいります。 (3）経営環境及び対処すべき課題等　当社が経営基盤とする九州経済は、コロナ禍からの社会・経済活動の正常化に向けた動きが進むなか、海外からの観光需要の増加等により、緩やかに回復に向かうことが期待されます。しかしながら、人口動態等のマクロ環境変化や業種業態の垣根を越えた競争の激化に加え、資源・エネルギー価格の高騰、為替相場、海外情勢の影響による物価上昇等により、当社を取り巻く経営環境は依然として先行き不透明な状況が続くものと想定されます。　このような状況のなかで当社は、昨年５月に「私たちの『たからもの』 九州をもっと―」をパーパスとして策定し、パーパスを達成するために優先的に取り組むべきテーマとして特定した６つのマテリアリティ（重要課題）とともにＷｅｂサイトにて公表しました。それぞれのマテリアリティについて、中長期的に成し遂げたい目標と、それぞれの進捗・達成度合いを測るための評価指標を設定し、当社の注力事項を社会と共有し、今後の対話につなげてまいります。また、新たに策定した2024年度をスタート年度とする新中期経営計画において、パーパス、そして当社の経営理念「お客さま満足と従業員の自己実現のため、絶えず「変革」と「挑戦」を続け、九州の成長とくらしの豊かさに貢献する。」のもと、「九州でＮｏ．１の信頼される企業」の実現に向け、「商品改革」「成長領域へのシフト」「既存資産の魅力度向上」「生産性・経営効率の向上」「サステナビリティ経営の推進」の取り組みを通じて、経営環境の変化に対応し、企業価値の向上に努めてまいります。
事業等のリスク	３【事業等のリスク】　当社の事業に関してリスク要因となると考えられる事項には、以下のようなものがあります。　（当社は、2022年９月１日付で当社51％ウエルシアホールディングス株式会社49％の出資により設立したイオンウエルシア九州株式会社を、当連結会計期間の期首より連結子会社としております。当該連結子会社の事業に関してリスク要因となると考えられる事項については、当社と同様のものと考えます。）　なお、文中の将来に関する事項は、有価証券報告書提出日現在における当社による判断、目標、一定の前提又は仮定に基づく予測等であり、実際の結果と異なる可能性があります。 (1）競争激化及び消費動向等の影響に関するリスク　当社は、一般消費者を対象とする小売事業を展開し、収益は当社がおもに店舗展開している九州地域の小売市場に大きく依存しております。そのため、九州地域における人口減少による市場の縮小、経済の悪化及び個人消費の落ち込み、また、業種・業態を超えた競争の激化等により、当社の業績及び財政状態等が影響を受ける可能性があります。 (2）人材の確保・育成に関するリスク　当社は、積極的な人的資本の確保を進めており、並行して新入社員からマネジメント層まで様々な教育プログラムを実行しております。しかしながら、店舗数の拡大ペースに対応した人材の確保・育成に支障をきたす状況が発生した場合には、出店ペースの減速、顧客サービスの低下等により、業績に影響を及ぼす可能性があります。　また、当社が医薬品販売業務・調剤業務を行うにあたり、薬剤師または医薬品登録販売者の有資格者を従事させることが義務付けられております。そのため、ドラッグストアの店舗展開を進めていくうえで、これら有資格者の確保は重要な課題であり、確保の状況によっては、業績に影響を及ぼす可能性があります。 (3）商品・原材料等の価格変動に関するリスク　当社は、お客さまのニーズの変化に合わせた商品の提供と商品開発を進めていますが、為替、原油等の市況変動により、商品・原材料・店舗資材等の調達価格や店舗の光熱費等が大きく影響を受ける可能性があります。これにより商品仕入や店舗運営に要する費用が増加し、当社の業績及び財政状態等に影響を及ぼす可能性があります。 (4）食品の安全性及び品質の水準低下に伴うリスク　当社は、商品の品質、安全性を経営の最重要課題と考え、お客さまの食の「安全」と「安心」を守るための取り組みを進めております。しかしながら、不測の事態により当社が提供する食品の安全性や品質に対する消費者の信頼が低下した場合、また、当社の取引先における商品の製造過程や店舗等での販売時点において異物混入等が発生し、当社の複数の店舗で当該商品の販売自粛等の措置をとる場合等において、店舗の売上が低下し、当社の業績及び財政状態等に影響を及ぼす可能性があります。 (5）店舗の出店に関するリスク　当社は、九州地域においてスーパーマーケット、ディスカウントストア、総合スーパー、ドラッグストア、ホームセンター等の店舗を展開しています。今後の店舗開発において、競合の激化や消費マインドの動向に加え、法的規制等により、当初計画に沿った新店の開発、既存店舗の増改築及び業態変更等を実行できず、成長戦略に支障が生じる可能性があります。また、不動産価格の上昇、建設業界の慢性的な人材不足、建築資材価格の上昇などの要因が当社の業績及び財政状態等に影響を及ぼす可能性があります。 (6）情報セキュリティに関するリスク　当社は、事業の顧客から得た個人情報、取引先の情報、従業員の個人情報、経営に関する機密情報等を保管・管理しております。情報セキュリティの重要性が高まる中、取り扱う情報を事業活動の展開並びに付加価値を創出するための重要な資産と位置づけ、かかる情報の漏洩が生じないよう、情報セキュリティに関する体制や規程を整備し、情報の取り扱いや情報システムの運用に具体的な基準を設け、定期的なチェックを行う等、最大限の対策を講じております。また、近年急増するサイバー攻撃にも対応するため、サイバー攻撃によるシステム停止等の事業継続リスクに対応しております。　しかしながら、機密情報が何らかの事情により漏洩、改ざん、不正使用等が生じた場合、また、サイバー攻撃によるインシデントが発生した場合、被害者に対する損害賠償義務やサービスの大規模な停止による損害及び対応費用の発生のほか、当社グループの社会的信用の低下により、当社グループの事業、財務状況及び業績に影響が及ぶ可能性があります。 (7）資金調達に関するリスク　当社は、成長戦略のために資金を調達する必要があります。当社は、多様な資金調達手段を検討しており、金融環境の変化に迅速に対応できるような体制を整備しております。しかしながら、景気の後退、金融収縮など全般的な市況の悪化や、信用格付けの格下げ等による信用力の低下、事業見通しの悪化等の要因により、当社が望む条件で適時に資金調達が出来ない可能性があります。これにより、当社の業績及び財政状態に影響を及ぼす可能性があります。 (8）減損に関するリスク　当社は、店舗に係る有形固定資産等の固定資産を保有しています。当社は、店舗の収益性の低下により各店舗の簿価が回収できない場合、もしくは会計基準の変更がある場合、当該店舗について減損処理を行うことがあります。当期の店舗に係る減損損失額は16億22百万円を計上しており、今後も減損損失を計上する可能性があります。 (9）気候変動に関するリスク　当社は、地球環境に大きな負の影響をもたらす地球温暖化問題に早くから取り組んでいます。お客さまへの安全・安心な店舗・商品・サービスの提供を通じて、豊かな暮らしと地球環境保全の両立に取り組んでおります。また、取り組みの推進にあたっては、環境マネジメントシステムを運用し、定期的な見直しを行うとともに、環境パフォーマンスを向上させるよう継続的に改善を進めております。　しかしながら、環境に関する法的規制の強化や社会的要請の高まりにより想定以上のエネルギー費用や対策コストが発生した場合、また、取り組みや開示内容が不十分とみなされ、当社の社会的信用が低下した場合に事業、財務状況及び業績に影響を及ぼす可能性があります。 (10）災害等に関するリスク　当社の店舗・施設の周辺地域において大地震や台風等の災害、予期せぬ事故等が発生し、店舗・施設に物理的に損害が生じ、当社の販売活動や流通・仕入活動が阻害された場合、もしくは人的被害があった場合等において、当社の業績に影響を及ぼす可能性があります。　また、当社は店舗・施設における防火対策に重点的に取り組んでおります。しかしながら、不測の事態により店内・施設から火災が発生し、当社の販売活動や流通・仕入活動が阻害された場合、もしくは人的被害があった場合等において、当社の業績に影響を及ぼす可能性があります。　その他、事故、暴動、テロ活動等、当社の供給業者もしくは仕入・流通ネットワークに影響する不測の事態が発生し、当社の販売活動や流通・仕入活動が阻害された場合、もしくは人的被害があった場合等において、当社の業績及び財政状態等に影響を及ぼす可能性があります。 (11）感染症発生に関するリスク　当社は、感染症の発生及び拡大に際して、お客さま・従業員の安全を最優先に、地域のライフラインとして営業継続するための対策を講じております。しかしながら、感染症の影響が当社の想定を上回る規模に拡大した場合、また、取引先において感染症の影響に伴い、人的・私的・財務的な弊害が生じ、商品供給や仕入価格に変動が発生した場合において、当社の業績及び財政状態等に影響を及ぼす可能性があります。 
経営者による財政状態、経営成績及びキャッシュ・フローの状況の分析	４【経営者による財政状態、経営成績及びキャッシュ・フローの状況の分析】　当社は、当連結会計年度より連結財務諸表を作成しているため、前連結会計年度との比較分析の記載はしておりません。なお、文中の将来に関する事項は、当連結会計年度末現在において当社が判断したものであります。 (1）経営成績等の状況の概要①　財政状態及び経営成績の状況ａ．経営成績の状況　当連結会計年度（2023年３月１日～2024年２月29日）における国内経済は、新型コロナウイルスの感染症法上の位置づけが「５類感染症」へ移行されたことで、社会・経済活動は一層の正常化に向かい、インバウンド需要も増加したことにより景気は緩やかに回復いたしました。また、九州におきましては、半導体関連産業を中心とした大型投資が相次ぐなど民間企業の設備投資が活発化しており、地域経済への波及効果が生じつつあります。しかしながら、人手不足や為替相場の変動、原材料・エネルギー価格の高騰など、先行きについては依然として不透明な状況が続いております。　このような状況のもと、当社は「九州でＮｏ．１の信頼される企業」の実現に向け、中期経営計画に掲げた「食の強化」「非食品分野の専門化」「デジタルトランスフォーメーション（ＤＸ）推進」「環境・地域社会への貢献」を推進しており、既存事業の収益基盤を強化しつつ、今後の成長に向けた新たな店舗フォーマットの開発に注力しました。　店舗面では、既存店の収益力向上を図るべく計画的にリニューアルを実行するとともに、今後の成長に向けて新たに14店舗を出店しました。このうち、都市部におけるマーケットシェア拡大を目指した店舗展開として、近くて便利なコンパクトスーパーマーケットをコンセプトとした「マックスバリュエクスプレス」を福岡市内に３店舗、調剤併設型ドラッグストアと生鮮食品・お弁当・お惣菜まで揃えたスーパーマーケットが融合した新フォーマット「ウエルシアプラス」を５店舗出店いたしました。一方で６店舗を閉鎖しましたが、このうち３店舗は今後の成長に向けた業態転換によるものです。これらを含め、当連結会計年度末における店舗数は338店舗となりました。　売上高の動向におきましては、食料品や日用品を中心とした値上げが相次ぐ中で、「しあわせプラス（応援価格）」をはじめとする生活応援施策の品目数拡大や「トップバリュベストプライス」の展開強化など、値ごろ感を重視した品揃えを強化するとともに、オーガニック＆ナチュラルなど新たな付加価値を創造する商品・売場を積極的に導入したことで、売上構成の高い食料品の売上は前年同期を上回り引き続き好調に推移しました。衣料品・住居余暇商品では、アパレルを中心として暖冬の影響はありましたが、外出・旅行需要の拡大への対応としてトラベル関連商品や服飾雑貨、ビューティケア用品などの品揃え拡充、ブラックフライデーセールやアプリクーポン企画など販促施策強化による需要喚起に努めたことで、売上は前年同期を上回りました。　営業総利益におきましては、期間を通して売上高が好調に推移したことに加え、ショッピングセンター全体の集客に注力し、テナントからの家賃収入が改善したことで、1,518億７百万円、営業収益対比では29.7％となりました。　販売費及び一般管理費におきましては、今後の成長に向けた新規出店や既存店の活性化、ＤＸ投資を計画的にすすめたこと、セルフレジや電子棚札の導入店舗拡大、店舗内オペレーション効率化什器の導入などにより増加したものの、生産性の向上に努めたことで、1,414億25百万円、営業収益対比では27.7％となりました。　以上の結果、当連結会計年度における経営成績は、売上高にその他の営業収入を加えた営業収益5,103億17百万円、営業利益103億82百万円、経常利益105億39百万円、親会社株主に帰属する当期純利益70億25百万円となりました。なお、単体における当事業年度の業績は、いずれも過去最高を更新しております。 〈今後の成長に向けた取り組み〉　新規出店としては、総合スーパー（ＧＭＳ）１店舗、スーパーマーケット（ＳＭ）６店舗、ホームセンター（ＨＣ）１店舗、サイクル専門店「イオンバイク」１店舗、イオンウエルシア九州株式会社において「ウエルシアプラス」５店舗をオープンし、店舗網の拡充を進めました。このうち、ＳＭでは小型の食品スーパー「マックスバリュエクスプレス」３店舗の新規出店を行うなど、福岡市内におけるマーケットシェア拡大に努めました。　当社のネット通販サイト「イオン九州オンライン」では、ネットでご注文いただいた「暮らしの品」「ベビー用品」を福岡県内のマックスバリュ店舗でも受け取れるサービスを開始しました。また、ネットショッピング限定セール「ビッグバザール」を実施したほか、ブラックフライデーセールスや福袋・初売り企画商品の「予約販売会」、ご当地商品の品揃え拡大等の取り組みにより、当社ＥＣサイトにおける売上は前期比146.9％と伸長しました。　「イオンネットスーパー」では、忙しい毎日のお買い物時間を短縮し、お客さまの生活スタイルに合わせたお買い物をサポートするべく、当期において即日配送サービスを新たに６店舗に導入し計37店舗まで拡大したほか、指定の場所で車に乗ったまま受け取れるドライブピックアップサービスを新たに２店舗に導入し計８店舗に拡大しました。このように更なる利便性向上に努めたことで、ネットスーパーの売上は前期比 109.7％となりました。　新たな顧客接点の創出の取り組みでは、「Ｕｂｅｒ　Ｅａｔｓ」「Ｗｏｌｔ」を利用した商品配達サービスを当期において53店舗に導入し、計106店舗まで拡大しました。また、お買い物に不便を感じている地域の皆さまのお役に立ちたいとの想いから、当期において大分県由布市及び福岡県中間市、長崎県長崎市（東長崎地区）にて「イオンの移動販売」を開始しました。なお、同サービスにおいては、販売車に積むことのできない大型サイズの商品やまとめ買いなどのご要望にもお応えできるよう「イオンネットスーパー」と連携しています。　顧客基盤の拡大に向けて、「ポイント」「クーポン」「お得な情報」「決済」が一つのアプリで完結できるイオングループの公式トータルアプリ「ｉＡＥＯＮ」の利便性拡大と会員数拡大に取り組みました。６月より「イオン九州アプリ」の機能を「ｉＡＥＯＮ」に移行し、店頭での新規会員登録キャンペーンを実施したことで、当社店舗をお気に入り店舗に登録いただいた会員数は当期末時点で約57万人となりました。これらの取り組みにより、「イオン九州アプリ」でもご好評いただいていた「ガッチャクーポン」利用件数は前期比119.2％、クーポン利用者の客単価は前期比108.8％、「ｉＡＥＯＮ」で使用できるスマホ決済「ＡＥＯＮ Ｐａｙ」による決済額は前期比417.5％となりました。 〈収益力向上の取り組み〉　店舗面では、既存施設の資産価値を高める取り組みとして、ＧＭＳ７店舗、ＳＭ７店舗、ＨＣ１店舗の活性化を行いました。このうち、「マックスバリュ基山店（佐賀県三養基郡基山町）」では、日常使いの衣料品を中心に展開する「インナー＆カジュアル」をＳＭ併設型売場として導入しお客さまの利便性が向上した結果、新規顧客獲得と坪効率の改善につなげました。また、１月にリニューアルした「イオン都城店（宮崎県都城市）」では、地域一番店としてのＧＭＳ再構築に取り組み、新たな商品・売場の導入、ベビー・キッズ関連商品の品揃えを拡充し地域最大級の売場へ拡大、あわせて全天候型の無料の遊び場を新設し、九州初となる「砂のすべり台」を導入しました。活性化オープン以降、多くの小さなお子さま連れのお客さまにご来店いただいており、当該店舗の売上は当初計画を上回り好調に推移しました。　専門店化の新たな取り組みとして、オーガニック商品をはじめ、環境とからだに優しい商品を集めた当社独自の新規ショップ「ｂ！ｏｌａｌａ（ビオララ）」をＧＭＳ２店舗に導入したほか、９月にペットと園芸の専門店「ホームワイド　ペット＆グリーン和白店（福岡県福岡市東区）」をオープンしました。　商品面では、トラベル関連商品や化粧品、毎日の健康をサポートするウェルネスフード、オーガニック＆ナチュラル、総菜や冷凍食品など、お客さまの消費行動の変化に対応した品揃えの拡充に努めました。また、九州・沖縄・山口の各県のご当地食材や加工品を取り揃えた「大九州マルシェ」の開催や、九州の生産者、お取引先さまと協力し、月替わりで「素材にこだわった逸品」企画の実施など、地産地消・地産域消の取り組みを推進しました。一方で、様々な商品の値上げが相次ぐ中で、生活応援施策「しあわせプラス（応援価格）」の取り組みを強化し、対象商品の拡大に加え、お取引先さまと連携しオリジナル商品の販売を開始するなど、お値打ち価格での提供に努めました。　経費面では、セルフレジや電子棚札の導入店舗拡大、店舗オペレーション効率改善のための什器導入、販促施策のデジタルシフトなどに継続して取り組み、生産性の向上に努めたことで、単体における販売費及び一般管理費は営業収益対比で前期に比べ0.4ポイント改善しました。 ｂ．財政状態の状況＜資産＞　当連結会計年度末における総資産は、1,715億14百万円となりました。　流動資産合計497億52百万円の主な内訳は、現金及び預金が55億円、商品が279億59百万円であります。　固定資産合計1,217億62百万円の主な内訳は、有形固定資産が943億60百万円、差入保証金が145億44百万円、繰延税金資産が93億94百万円であります。＜負債＞　当連結会計年度末における負債は、1,212億26百万円となりました。　流動負債合計843億45百万円の主な内訳は、支払手形及び買掛金が370億18百万円、未払金が124億２百万円であります。　固定負債合計368億81百万円の主な内訳は、長期借入金が198億23百万円、長期預り保証金が101億60百万円であります。 ＜純資産＞　当連結会計年度末における純資産は、502億88百万円となりました。　主な内訳は、資本金が49億15百万円、資本剰余金が108億71百万円、利益剰余金が359億70百万円であります。 ｃ．環境保全・社会貢献活動等の取り組み　当社は、九州の成長と暮らしの豊かさに貢献するという経営理念のもと、事業活動を通じ、地域貢献、持続可能な社会の実現に向けた活動に取り組んでいます。当期における主な取り組みは次のとおりです。　１月に実施した「令和６年能登半島地震緊急支援募金」では、お客さまをはじめ多くの皆さまにご支援、ご協力をいただき、支援募金総額はイオン九州及びイオンウエルシア九州が運営する324店舗であわせて6,320万3,461円となりました。今後、被災地域の自治体を通じ、復旧・復興支援のためお役立ていただきます。　当社は、熊本県と農業団体・熊本日日新聞社などの12の団体が主催する表彰事業「令和５年度熊本県農業コンクール大会」において、「フードアルチザン（食の匠）」活動の一環として取り組んでいる晩白柚の海外展開や販売会、熊本県産の有機農産物の拡販等の取り組みが認められ、「農業貢献賞」を受賞しました。　当社は、生産者・地域の皆さまと協力して九州各県の食文化の継承に取り組むとともに、未来を担う子どもたちに発見・学びの場を提供することで健全な育成を支援する活動として、「イオン　チアーズクラブ」の子どもたちが「フードアルチザン（食の匠）」について学ぶ「熊本県産晩白柚」「桜島大根」の収穫体験を１月に開催しました。　地域課題の解決に向けて労使共同でボランティア活動を行う「イオン ハートフル・ボランティア」の一環として、10月に大分県大分市にて七瀬柿の収穫支援活動、11月に福岡県朝倉市にて富有柿総ちぎり支援活動、２月に宮崎県東諸県郡綾町にて「露地もの日向夏」収穫支援活動に当社従業員が参加しました。今後も地域の皆さまと連携し、地域の課題解決に向けた活動を推進してまいります。　九州エリアにおける流通小売業のサステナビリティ推進を目的として、趣旨に賛同いただいた小売流通企業９社で５月に設立した「九州流通サステナビリティサロン」における取り組みでは、６月の環境月間に合わせて、小売流通企業各社の店舗で「サステナブル共同販促」を実施しました。　対象の環境配慮型商品をお買い上げいただくとお客さまに付与されるＷＡＯＮボーナスポイントと同額が公益財団法人イオン環境財団へ寄附され、環境保全活動に役立てられる「環境特別ＷＡＯＮボーナスポイント」は当社独自の取り組みで、当期は４月、６月、10月、１月に実施し、４回合計の寄附金額は18百万円となりました。　2019年より実施している「フードドライブ（食品の寄附活動）」の取り組みでは、新たに「マックスバリュエクスプレス」や「ザ・ビッグ」、「ホームワイド」などを加え、九州７県及び山口県で計278店舗に拡大しました。当期においてお客さまからお預かりした食料品は54トン、取り組み開始からの累計では100トンを超える規模となり、連携するフードバンク団体さまなどを通じて、支援を必要としている施設、子ども食堂などへお届けしています。　ＣＯ₂排出量削減の取り組みとして、当期においてＧＭＳ４店舗、ＳＭ３店舗にＰＰＡモデル（※）を導入し、太陽光発電電力を自家消費しています。今後も引き続き、店舗で使用する電力を再生エネルギーに切り替える取り組みを推進してまいります。　※ＰＰＡモデルとは、「Power Purchase Agreement（電力販売契約）」の略で、ＰＰＡ事業者が、電力需要家の敷地や屋根などのスペースを借り太陽光発電システムを設置し、そこで発電した電力を電力需要家に販売する事業モデルです。 ②　キャッシュ・フローの状況　当連結会計年度における現金及び現金同等物（以下、「資金」という。）は、55億円となりました。　＜営業活動によるキャッシュ・フロー＞　当連結会計年度における営業活動による資金の増加は146億16百万円となりました。これは主に、税金等調整前当期純利益55億78百万円と非資金的費用である減価償却費65億27百万円及び減損損失16億22百万円による増加があったこと等によるものです。　＜投資活動によるキャッシュ・フロー＞　当連結会計年度における投資活動による資金の減少は116億30百万円となりました。これは主に、新規出店及び既存店の活性化等に係る有形固定資産の取得による支出が125億54百万円あったこと等によるものです。　＜財務活動によるキャッシュ・フロー＞　当連結会計年度における財務活動による資金の減少は38億23百万円となりました。これは主に、長期借入れによる収入89億８百万円があったものの、長期借入金の返済による支出86億28百万円と自己株式の取得による支出21億10百万円があったことによるものです。③　販売の実績　部門別の売上高の実績は以下のとおりであります。部門の名称売上高（百万円）構成比（％）前期比（％）衣料品42,2848.7－食品375,97277.6－住居余暇商品47,3359.8－ホームセンター商品17,9663.7－医薬品、化粧品等4170.1－その他7650.2－合計484,742100.0－（注）１　当社は、当連結会計期間の期首から連結財務諸表を作成しておりますので、前期比（％）は記載しておりません。 (2）経営者の視点による経営成績等の状況に関する分析・検討内容　経営者の視点による当社の経営成績等の状況に関する認識及び分析・検討内容は、次のとおりであります。なお、文中の将来に関する事項は、当連結会計年度末現在において判断したものであります。 ①　重要な会計上の見積り及び当該見積りに用いた仮定　当社グループの連結財務諸表は、我が国において一般に公正妥当と認められる会計基準に基づき作成されております。この連結財務諸表の作成にあたり、資産、負債、収益及び費用の報告額に不確実性がある場合、作成時に入手可能な情報に基づいて、その合理的な金額を算出するために見積り及び仮定を用いておりますが、これらの見積り及び仮定に基づく数値は実際の結果と異なる可能性があります。　当社グループの連結財務諸表作成のための会計方針については、「第５　経理の状況　１連結財務諸表等　（１）連結財務諸表　注記事項　（重要な会計方針）」に記載しております。 ②　財政状態及び経営成績等の状況に関する認識及び分析・検討内容　当社グループの当連結会計年度の経営成績等につきましては「（1）経営成績等の状況の概要　①財政状態及び経営成績の状況」に記載のとおりであります。 ③　キャッシュ・フローの状況の分析　当社グループの当連結会計年度のキャッシュ・フロー分析につきましては「(1）経営成績等の状況の概要　②キャッシュ・フローの状況」に記載のとおりであります。 ④　資本の財源及び資金の流動性　当連結会計年度の資金需要は、運転資金（その主なものは商品の仕入、広告宣伝費、人件費及び設備関連費用等）及び資本的支出であり、その資金源泉は営業活動によって得られた資金及び金融機関からの借入による資金調達により賄いました。詳細につきましては、「(1）経営成績等の状況の概要　②キャッシュ・フローの状況」をご参照ください。　また翌連結会計年度の資金需要については、店舗固定資産の購入及び店舗の新設による設備投資を予定しており、これらに必要な資金は自己資金および借入金で賄う予定です。 
経営上の重要な契約等	５【経営上の重要な契約等】(1）親会社、兄弟会社との契約　当社は、親会社であるイオン株式会社とロイヤリティ契約を締結しております。また、兄弟会社であるイオントップバリュ株式会社及びイオン商品調達株式会社と商品供給契約を締結、またイオンモール株式会社と店舗賃貸借契約を締結しております。 (2）店舗の賃貸借契約　当社は、イオンモール株式会社より賃借している店舗以外に、店舗の所有者と店舖賃貸借契約を締結しているものがあります。また、同友店（テナント）については、出店契約を締結し店舗の一部を貸与しております。 
研究開発活動	６【研究開発活動】　該当事項はありません。 
設備投資等の概要	１【設備投資等の概要】　第52期連結会計年度（自2023年３月１日　至2024年２月29日）は、主として既存店活性化のために実施し、投資総額は、17,434百万円（長期前払費用及び差入保証金を含む）となりました。 
主要な設備の状況	２【主要な設備の状況】　当社グループにおける主要な設備の状況は次のとおりであります。(1）提出会社（2024年２月29日現在） 事業所土地（百万円）（面積㎡）建物及び構築物（百万円）工具、器具及び備品その他（百万円）長期前払費用（百万円）差入保証金（百万円）投下資本合計（百万円）従業員数(コミュニティ社員)（人）年間賃借及びリース料（百万円）営業店舗（333店舗）41,774(342,422.51)40,5729,9521,14414,173107,6174,204(13,736)21,726本社管理部門（注）１435(38,622.03)2801094174571,7001,064(257)289総合計42,209(381,044.54)40,85310,0611,56114,630109,3175,268(13,993)22,016（注）１　本社管理部門には、営業店舗に属さない転貸店舗等を含んでおります。２　金額は、帳簿価額であり、また、「工具、器具及び備品その他」は「工具、器具及び備品」、「機械及び装置」及び「車両運搬具」の合計であり、建設仮勘定は含まれておりません。なお、「差入保証金」は、１年内回収予定額を含んでおります。３　現在休止中の主要な設備はありません。４　従業員数は就業人員数であり、親会社等からの出向者34人を含み、親会社等への出向者47人を含んでおりません。また、（　）は外書きでコミュニティ社員（パートタイマー）の平均人員（ただし８時間換算による）を記載しております。 (2）国内子会社イオンウエルシア九州株式会社（2024年２月29日現在） 事業所土地（百万円）（面積㎡）建物及び構築物（百万円）工具、器具及び備品その他（百万円）長期前払費用（百万円）差入保証金（百万円）投下資本合計（百万円）従業員数(コミュニティ社員)（人）年間賃借及びリース料（百万円）営業店舗（5店舗）－(－)468291246484929(55)81本社管理部門（注）１－(－)－－61－6116(1)5総合計－(－)468291856491045(56)86（注）１　本社管理部門には、営業店舗に属さない転貸店舗等を含んでおります。２　金額は、帳簿価額であり、また、「工具、器具及び備品その他」は「工具、器具及び備品」、「機械及び装置」及び「車両運搬具」の合計であり、建設仮勘定は含まれておりません。なお、「差入保証金」は、１年内回収予定額を含んでおります。３　現在休止中の主要な設備はありません。４　従業員数は就業人員数であり、親会社等からの出向者33人を含んでおります。また（　）は外書きでコミュニティ社員（パートタイマー）の平均人員（ただし８時間換算による）を記載しております。 
株式の総数	①【株式の総数】種類発行可能株式総数（株）普通株式70,000,000計70,000,000
発行済株式、株式の総数等	②【発行済株式】種類事業年度末現在発行数（株）（2024年２月29日）提出日現在発行数（株）（2024年５月27日）上場金融商品取引所名又は登録認可金融商品取引業協会名内容普通株式34,833,55834,833,558東京証券取引所スタンダード市場単元株式数100株計34,833,55834,833,558－－（注）　提出日現在の発行数には、2024年５月１日から当有価証券報告書提出日までの新株予約権の行使により発行された株式数は含まれておりません。 
