項目	値
事業の内容	 ３ 【事業の内容】当社グループ(当社及び子会社)は、販売会社である日本プリメックス株式会社を中核として、オリジナルプリンタの開発、設計、製造を担当する日本プリンタエンジニアリング株式会社、グループの資産管理を主業務とする石川台商事株式会社の３社で構成しております。当社グループの報告セグメントは「ミニプリンタの開発・製造・販売事業」のみとなっております。(ミニプリンタの開発・製造・販売事業)当社グループの事業の内容は、産業用小型プリンタの開発・製造・販売会社として、国内の有力メーカーであるシチズン・システムズ株式会社、セイコーエプソン株式会社、セイコーインスツル株式会社、スター精密株式会社、ブラザー工業株式会社及び日本プリンタエンジニアリング株式会社の小型プリンタ及び周辺機器の販売が主要業務となっております。加えて、米国ゼブラ社製のバーコード・ラベル・カードプリンタの販売及び日本プリンタエンジニアリング株式会社開発のオリジナル製品の国内販売及び海外市場向け輸出を行っております。日本プリンタエンジニアリング株式会社においては、ユーザーより受注のＯＥＭ製品の製造、製品改造、オリジナル製品の開発製造を行っております。また、当社グループの販売体制は、東京本社を中心に、横浜、名古屋、京都、大阪、福岡に営業所を設置するとともに海外営業部を東京本社に設け、2023年３月31日現在34名の営業員を配置しユーザーに対し営業活動を行っております。事業の系統図は、次のとおりです。 　　　　※は連結子会社です。 
経営方針、経営環境及び対処すべき課題等	１ 【経営方針、経営環境及び対処すべき課題等】(1)　経営方針　当社グループは、産業用小型プリンタ専門の開発・製造・販売会社として、「世界的視野に立ち、社会の発展に必要な質の高い技術、商品知識、ノウハウを提供することにより、社会の構成員の一翼を担うと共に、社会的責任を履行する」を経営理念としております。 　めまぐるしく進化する情報技術やお客様のニーズが多様化する中、この経営理念を確実に実行するために、「堅実経営」を柱としながら、国内外の市場に対し、当社独自の質の高い技術・商品・サービスを広く社会に提供し、社会とともに永続的な発展を図り強固な企業基盤を確立し企業価値を高めて行くことが重要な使命であると考えております。 　また、当社グループは、顧客に提供するサービスの高品質化を図るとともに、環境と調和した社会基盤の形成に資する事業活動を推進しつつ、事業の生産性を向上させる事を目的として、全社レベルでのISO14001 の認証取得、開発・生産部門におけるISO9001の認証取得などに積極的に取り組んで参りました。 　今後もお客様志向を基に、企業としての成長と利益を確実なものとして、株主・取引先・従業員・社会に対する責務を果たしていくために、事業に邁進して参ります。 (2)　経営環境　当連結会計年度末には欧米の大手銀行の経営破綻などもありましたが、過去におけるリーマンショック・欧州債務危機なども乗り切った世界経済全体としては、株価など経済指標への影響はすでに織り込み済みの感はあるものの、景気は緩やかに減速しており、世界的な物価高と金融引き締めによる内需の下振れが予測されております。 (3)　対処すべき課題第46期の対処すべき課題として、以下の項目に重点を置いて事業活動を行っております。 ① 市場開発企画部の新設自社製品の販売拡大を行う部門を新設し、国内外の市場開拓と製品拡販、ブランド化を推進するとともに新商品、売れる製品を企画、開発し販路の開拓を行います。 ② アフターコロナ販売戦略ターゲットとする主な業種として、コロナ禍で低迷していた小売業や飲食業、旅行業、サービス業向けの機器を取扱う大手製造・販売メーカーを中心とした拡販活動を行います。 ③ アフターコロナ営業戦略テレワークから復帰した顧客担当者に対する直接コミュニケーション、製品デモやプレゼンの機会を増やし当社営業の得意とする従来型対面営業の利点をアピールするとともに、今後のテレワーク推進傾向に対応した自動受注システムの開発など、営業手法の多様化に取り組みます。 ④ アフターコロナ商品流通戦略半導体やCPUの不足が常態化していることに伴い顧客に先行受注をお願いしているため受注残高は増加しており、それに伴う製品在庫の積み増しを実施しているが、納期遅延やキャンセルが発生しないよう商品管理を徹底します。  
事業等のリスク	 ３ 【事業等のリスク】有価証券報告書に記載した事業の状況、経理の状況等に関する事項のうち、経営者が連結会社の財政状態、経営成績及びキャッシュ・フローの状況に重要な影響を与える可能性があると認識している主要なリスクは、以下のとおりであります。なお、文中の将来に関する事項は、当連結会計年度末現在において、当社グループが判断したものであります。 ①  仕入先・販売部門 当社の売上高の大半はプリンタメーカーからの仕入商品の販売によるものであります。一方、主要仕入先である大手プリンタメーカーまたはその販売子会社は、産業用小型プリンタに関して独自の販売部門を有しております。これらの販売部門と当社は常に競業関係にあります。当社は取引先ユーザーに対して定期的な訪問を行うことにより顧客ニーズの把握に努めております。また、少量の受注であっても子会社である日本プリンタエンジニアリング㈱において、カスタマイズ等の対応を行うことにより、一定の顧客層を確保しております。しかしながら、今後、大手仕入先の販売方針の変更等が行われた場合、当社グループの業績が影響を受ける可能性があります。 ②　業界動向と業績の変動について当社グループは、産業用小型プリンタの販売を主要業務としております。また、取扱商品及び製品は多品種となっており、ライフサイクルが長く、顧客の取替投資に対応する必要があるため、販売期間が比較的長期にわたっています。このような中、当社グループの取扱商品及び製品の需要動向は企業の設備投資動向に影響される可能性があります。当社グループでは幅広い業界に販売を行うことにより、個別企業からの受注減少による影響を軽減するよう留意しております。しかしながら、長期にわたる不況の影響、メーカーの生産拠点の海外移転、競合商品に対するコスト競争力の低下、主要販売分野であるＰＯＳや計測器分野におけるメーカーの統合、ＩＴ技術の急激な革新等により当社グループの業績が影響を受ける可能性があります。 ③　為替変動輸出売上に関しましてはスポットレートにて決済を行っており、為替相場により売上および収益の計上額が影響を受けます。また、外貨取引におきましては、保有外貨（米ドル）を一部輸入代金の決済に回しておりますが、為替に対するヘッジ策をとっておらず外貨預金及び外貨建債権に係る為替差損益の発生等により業績が影響を受ける可能性があります。 ④　知的所有権の侵害について当社グループは、子会社である日本プリンタエンジニアリング㈱において、新製品の開発を積極的に行っております。そのため新製品開発に係る知的所有権の調査、確認、管理、保全等に努めておりますが、当社グループの認識していない知的所有権等が既に成立している可能性もあるため、今後当社グループが第三者の知的所有権等を侵害しないということを現時点において保証することはできません。従いまして、当社グループが第三者の知的所有権等を侵害し、当該知的所有権等の所有者から当社グループに対して権利侵害を主張してきた場合、当社グループが損害賠償請求を受けたり、当該知的所有権等を使用する製品を提供できなくなったり、使用継続を認められる場合でもロイヤリティ等の支払いを要求される可能性があります。そのような事態が発生した場合、当社グループの業績が影響を受ける可能性があります。 ⑤　製造物責任について　当社グループは、子会社である日本プリンタエンジニアリング㈱において、製品の製造、開発を行っており、製造物責任法（以下、ＰＬ法という）の適用を受けております。現時点までにＰＬ法に関する訴訟は生じておりませんが、そのような事態が発生した場合、当社グループの製品への信頼性の低下や損害賠償請求等により、当社グループの業績が影響を受ける可能性があります。また、ＯＥＭ製品及び自社製品の開発の遅れ等によりクレームが発生し、当社グループの業績が影響を受ける可能性があります。  ⑥　災害について　当社グループは、大規模な地震、台風、噴火等の自然災害、火災、疾病、戦争、テロなどにより事務所・設備・社員・取引先などに被害が発生し、当社の財産や営業活動に直接的または間接的な影響を与える可能性があります。災害対策マニュアルの作成、事業継続計画（BCP）の策定などの対策を講じていますが、被害を完全に回避できるものではなく、当社グループの経営成績および財政状態に悪影響を及ぼす可能性があります。 ⑦　新型コロナウイルス感染症について当社グループは、新型コロナウイルスを原因とした海外における製造工場の操業停止が現在の在庫不足の原因となり回復需要を満たすことが出来ず、一部の部品や製品の入荷遅延が発生しており、取引先企業の在宅テレワークや臨時休業により営業活動にも支障が生じております。今後につきましては、出荷遅延はあるものの長期的には耐用年数到来による製品の入替需要は回復するものと認識しておりますが、新たな変異株の発生による感染再拡大などの状況次第で、短期的には当社グループの経営成績に悪影響を及ぼす可能性があります。
経営者による財政状態、経営成績及びキャッシュ・フローの状況の分析	 ４ 【経営者による財政状態、経営成績及びキャッシュ・フローの状況の分析】(1)　概要当連結会計年度は円安による光熱費や物流コスト増、輸入原材料価格の上昇が食料品、生活必需品の物価上昇を招いているものの、中国のゼロコロナ政策解除に伴う経済の上振れ期待や米国経済の底堅さを背景とした世界経済の安定化が期待され、国内ではコロナによる非接触の自動精算機向けや医療機器向け製品の需要増や、長期間のコロナ禍生活の日常化により消費が拡大傾向となり、コロナの影響が徐々に薄れていくことが期待されている事に起因する飲食業・小売業・サービス業を中心とした設備投資の復活に伴い当社の受注も徐々に拡大傾向となりました。 (2)　財政状態の分析①　財政状態資産、負債および純資産の状況 （資産）　流動資産は、前連結会計年度末に比べて6.5％増加し、70億55百万円となりました。これは、主として現金及び預金が２億30百万円増加、商品及び製品が２億23百万円増加したことによります。　固定資産は、前連結会計年度末に比べて2.6％増加し、21億28百万円となりました。これは、主として投資有価証券が87百万円増加したことによります。　この結果、総資産は、前連結会計年度末に比べて5.5％増加し、91億83百万円となりました。（負債）　流動負債は、前連結会計年度末に比べて4.0％増加し、18億61百万円となりました。これは、主として支払手形及び買掛金が５億22百万円減少し、電子記録債務が６億21百万円増加したことによります。　固定負債は、前連結会計年度末に比べて8.1％増加し、４億52百万円となりました。　この結果、負債合計は、前連結会計年度末に比べて4.7％増加し、23億14百万円となりました。（純資産）　純資産合計は、前連結会計年度末に比べて5.8％増加し、68億69百万円となりました。これは主としては利益剰余金が２億91百万円増加、その他有価証券評価差額金が84百万円増加したことによります。　１株当たり純資産は、前連結会計年度末に比べて71円45銭増加し、1,305円30銭となりました。また、自己資本比率は、前連結会計年度末の74.6％から74.8％となりました。  ②　財政政策当社グループの財政政策の基本につきましては、運転資金は内部資金により賄うこととしており、当面借入金による資金調達を行わない方針であります。 (3)　経営成績の分析①　経営成績売上高は、61億72百万円（前年同期比5.0％増）となりました。営業利益は、５億22百万円（前年同期比10.6％増）となりました。経常利益は、主に為替差益が前年同期に比較して63百万円減少したことにより、６億34百万円（前年同期比1.6％減）となりました。 　この結果、親会社株主に帰属する当期純利益は、３億96百万円（前年同期比4.8％減）となりました。 商品群別業績は、次のとおりであります。当連結会計年度における商品群別売上は、ミニプリンタメカニズムが１億62百万円(前年同期比5.5％増)。ケース入りミニプリンタの売上高は32億63百万円(前年同期比0.1％増)。ミニプリンタ関連商品は10億80百万円(前年同期比21.9％増)。消耗品は４億56百万円(前年同期比3.5％増)。大型プリンタは１億17百万円(前年同期比1.1％増)。その他は10億92百万円(前年同期比7.1％増)となりました。     ②　生産、受注及び販売の状況当社グループの報告セグメントは「ミニプリンタの開発・製造・販売事業」のみですが、以下ではより詳細な区分に分類し開示を行っております。a.　生産実績  区  分  金  額  (千円)※1  前年同期比（％） ケース入りミニプリンタ※2913,464+9.1ミニプリンタ関連商品80,854+2.4合計994,318+8.5 　※1　金額は、製造原価となっております。　　※2　ミニプリンタメカニズムを含んでおります。 b.　受注状況 区  分受注高(千円)前年同期比(％)受注残高(千円)前年同期比(％)ミニプリンタメカニズム207,004+29.1132,766+73.5ケース入りミニプリンタ4,361,109+20.71,641,800+76.8ミニプリンタ関連商品1,317,032+28.8408,840+89.0消耗品490,654+10.957,580+79.7大型プリンタ134,993+8.325,584+84.5その他※1,140,747△8.4293,787△39.8合計7,651,541+15.82,560,359+45.9   c.　販売実績 区  分 金  額  (千円)前年同期比(％)ミニプリンタメカニズム162,947+5.5ケース入りミニプリンタ3,263,546+0.1ミニプリンタ関連商品1,080,141+21.9消耗品456,283+3.5大型プリンタ117,520+1.1その他※1,092,048+7.1合計6,172,487+5.0  ※　その他の商品のうち主な商品は、ＰＣ、タブレット、ディスプレイ、サイネージ、スキャナー、    カードリーダーとなっております。  (4)　キャッシュ・フローの状況　当連結会計年度末における現金及び現金同等物は、（以下「資金」という。）前連結会計年度に比べ14億12百万円減少し10億35百万円となりました。　当連結会計年度における各キャッシュ・フローの状況は次のとおりであります。 （営業活動によるキャッシュ・フロー）  当連結会計年度における営業活動によって獲得した資金は、３億７百万円（前年同期２億56百万円）となりました。これは主として税金等調整前当期純利益の計上６億７百万円、減価償却費85百万円、仕入債務の増加98百万円のインフローに対し、為替差益89百万円、棚卸資産の増加２億１百万円、法人税等の支払額２億49百万円のアウトフローとなったことによるものであります。 （投資活動によるキャッシュ・フロー）　当連結会計年度における投資活動によって支出した資金は、16億62百万円（前年同期は収入２億98百万円）となりました。これは主に、定期預金の払戻による収入23億82百万円に対して、定期預金の預入による支出40億15百万円であったことによるものであります。  (財務活動によるキャッシュ・フロー）　当連結会計年度における財務活動により支出した資金は１億36百万円（前年同期１億42百万円）であり、これは主に配当金の支払１億３百万円によるものであります。　　  (5)  重要な会計上の見積り及び当該見積りに用いた仮定当社グループの連結財務諸表は、わが国において一般に公正妥当と認められている会計基準に基づき作成しております。この連結財務諸表を作成するにあたって、資産、負債、収益及び費用の報告額に影響を及ぼす見積り及び仮定を用いておりますが、これらの見積り及び仮定に基づく数値は実際の結果と異なる可能性があります。連結財務諸表の作成にあたって用いた会計上の見積り及び仮定のうち、重要なものは 第５ 経理の状況 １ 連結財務諸表等 (1) 連結財務諸表 注記事項 (重要な会計上の見積り) に記載しております。   
経営上の重要な契約等	５ 【経営上の重要な契約等】仕入関係契約契約会社名相手先名国名契約名契約内容契約期間日本プリメックス株式会社シチズンＣＢＭ株式会社日本取引基本契約商品の継続的取引並びに外注取引に関する基本的事項自2000年７月１日至2001年６月30日(以降１年毎に自動延長)日本プリメックス株式会社エプソン販売株式会社日本エプソン製品売買基本契約エプソン製品継続販売に関する事項自2001年４月１日至2002年３月31日(以降１年毎に自動延長)日本プリメックス株式会社セイコーインスツル株式会社日本販売代理店契約電子部品取扱に関する事項自2001年５月１日至2002年４月30日(以降１年毎に自動延長)  
研究開発活動	６ 【研究開発活動】当社グループにおける研究開発活動は、従来どおり、市場ニーズを先取りし、顧客に信頼される耐久性ある商品の企画・開発を旨としております。流通業向けのプリンタについては、従来の製品組込みタイプの他、ＰＣと販売・在庫管理などのシステム、キャッシュドロワー(現金収納箱)、ディスプレーやタブレットと一体で販売される卓上プリンタの出荷も増加しており、Ｉ／ О機器とＰＣやタブレットなどのＣＰＵ相互のデジタル情報をコードレスでやりとりする無線ＬＡＮなどのＩＴ技術に対応するため、当社における営業情報や、営業受注の内容に基づき、日本プリンタエンジニアリング㈱において新技術の開発に注力すると同時に、新製品の開発、製造を行っており、具体的には以下の製品の開発製造を行っております。(1) 様々な管理システムに対し、単独でキオスク端末のサービスを提供のできるプリンタの開発。(2) 海外市場、主に北米や欧州のニーズに合った外観や機能を備えた海外市場特化製品の開発。(3) 付加価値が高く利益を確保できる製品と低価格の製品の二極化への対応。① 高付加価値製品としては、医療、金融、物流、駐車場、サービス、環境配慮など使用目的による特殊性に配慮した製品の開発や、特に医療機器向けにはスマートバッテリー制御の組み込み、新プリントエンジンの開発等を実施。② 低価格の製品としては、利便性と価格を最優先とする様々なシーンにおいて手軽にプリントできるような汎用性の高い製品。 　当社グループの報告セグメントは「ミニプリンタの開発・製造・販売事業」のみであり、当連結会計年度における研究開発費は256,132千円であります。  
設備投資等の概要	１ 【設備投資等の概要】当連結会計年度に実施した設備投資の総額は55,205千円であり、その主な内容は、建物付属設備 540千円、機械装置 980千円、車両運搬具 3,133千円、工具器具備品等 11,223千円、一括償却資産 1,876千円、有形リース資産 17,620千円、ソフトウェア 13,812千円、その他 6,018千円の設備投資を行いました。 なお、当連結会計年度において、重要な設備の除却、売却等はありません。また、当社グループの報告セグメントは「ミニプリンタの開発・製造・販売事業」のみであるため、セグメントごとの設備投資等の概要については記載しておりません。
主要な設備の状況	 ２ 【主要な設備の状況】(1)　提出会社                                                                　 2023年３月31日現在事業所名(所在地)設備の内容帳簿価額(千円)従業員数(名)建物及び構築物工具、器具及び備品、一括償却資産土地(面積㎡)合計本社(東京営業部を含む)(東京都大田区)本社管理部門及び東京営業部100,3107,403515,240(276.61)622,95333(2)サービスセンター(東京都大田区)カスタマーサポート部356103―4592(1)旧山梨工場(山梨県富士吉田市) 日本プリンタエンジニアリング㈱　富士吉田事業所――12,500(197.78)12,500―(―) 山梨工場(山梨県南都留郡富士河口湖町)（注２）日本プリンタ　　エンジニアリング㈱本社兼工場1,000159181,279(10,920.82)182,438―(―) 横浜営業所(横浜市中区)営業設備2,0671,122―3,1897(―)京都営業所(京都市山科区)営業設備244259―5033(―)大阪営業所(大阪市淀川区)営業設備―251―2516(―)名古屋営業所(名古屋市千種区)営業設備14259―2733(―)九州営業所(福岡市博多区)営業設備―98―983(―)事業所建設予定地(横浜市中区)横浜営業所駐車場及び賃貸駐車場――207,563(325.09)207,563―(―) (注) １  金額は帳簿価額であります。２  山梨工場は、日本プリンタエンジニアリング㈱に賃貸しております。３  従業員数の（外書）は、臨時雇用者数であります。 (2)　国内子会社                                                                  2023年３月31日現在会社名事業所名(所在地)設備の内容帳簿価額(千円)従業員数(名)建物及び構築物機械装置及び運搬具工具、器具及び備品、一括償却資産土地(面積㎡)その他（リース資産）合計日本プリンタエンジニアリング株式会社本社兼工場(山梨県南都留郡)工場管理部門及びプリンタ生産設備、開発センター設備90,4354,07726,268―85,211205,99240(27)日本プリンタエンジニアリング株式会社富士吉田事業所修理センター2,6000―――2,600―(―) 石川台商事株式会社本社(東京都大田区)賃貸用資産1,4044,83950――6,2941　(1)川崎市高津区 ――――47,336(161.85)―47,336―(―) (注) １  金額は帳簿価額であります。２  石川台商事㈱における機械装置及び運搬具 4,839千円は、提出会社及び日本プリンタエンジニア　　リング㈱に賃貸している車両33台の帳簿価額であります。３  従業員数の（外書）は、臨時雇用者数であります。 
株式の総数	① 【株式の総数】 種類発行可能株式総数(株)普通株式22,090,000計22,090,000  
発行済株式、株式の総数等	② 【発行済株式】種類事業年度末現在発行数(株)(2023年３月31日)提出日現在発行数(株)(2023年６月27日)上場金融商品取引所名又は登録認可金融商品取引業協会名内容普通株式5,523,5925,523,592東京証券取引所スタンダード市場単元株式数は100株であります。計5,523,5925,523,592――  
