項目	値
事業の内容	 ２ 【事業の内容】当第３四半期連結累計期間において、当社グループ(当社及び当社の関係会社)において営まれている事業の内容について、重要な変更はありません。また、主要な関係会社についても異動はありません。 
経営方針、経営環境及び対処すべき課題等	
事業等のリスク	１ 【事業等のリスク】該当事項はありません。 
経営者による財政状態、経営成績及びキャッシュ・フローの状況の分析	２ 【経営者による財政状態、経営成績及びキャッシュ・フローの状況の分析】文中の将来に関する事項は、当四半期連結会計期間の末日現在において当社グループが判断したものであります。(1) 財政状態及び経営成績の状況当第３四半期連結累計期間における当社グループ（当社及び連結子会社）の経営成績の状況の概要は次のとおりです。当第３四半期連結累計期間におけるわが国経済は、他国との金利差による円安の進行が継続し、インバウンド需要等に回復の兆候がある一方、輸入する資源・エネルギー価格の高騰の反動により、国民の消費意欲は依然として低いまま推移し、不透明な状況が続いています。当社グループの主な事業地域である東南アジアでは堅調なサービス需要による景気の持ち直しが一定の落ち着きを見せる中、不安定な世界情勢等に起因するインフレーションやその対策として各国が政策金利の引き締めを継続していることなどから、各国の経済情勢に注視が必要な状況となっています。当社グループの事業におきましては、近年、サーモン相場の高騰が継続している状況にあり、サーモンの取扱割合の大きい国内の養殖事業や海外加工事業はこの相場高騰が売上の押上げ要因となっています。一方で、魚卵相場については昨年から調整局面に入っており、これが魚卵を取り扱う国内加工事業の売上押下げ要因となっているという状況です。また、当社グループの事業は相場の上昇局面では利益率が拡大、下降局面では利益率が縮小する傾向があります。前連結会計年度はサーモン、魚卵ともに相場上昇局面にありましたが、当第３四半期連結累計期間についてはサーモンは高値継続、魚卵は相場下降局面という状況です。加えて、昨今の各種コストの上昇やヒト・モノへの投資拡大の影響もあって、いずれの事業も利益率は前連結会計年度より縮小する結果となっています。上記の結果、相場の上昇局面であった前第３四半期連結累計期間の利益水準は下回ったものの、売上高は22,848百万円(前年同期比9.6％増)、営業利益は1,830百万円(前年同期比34.6％減)、経常利益は2,041百万円(前年同期比32.7％減)、親会社株主に帰属する四半期純利益は1,374百万円(前年同期比33.4％減)となりました。 各セグメントの経営成績は次のとおりであります。 （養殖事業）国内においては、前連結会計年度からの繰越在庫の販売が進み、売上・利益を押し上げました。海外においては、水揚げ時期を迎えましたが、販売時期の遅れ等により養殖魚販売数量が減少したこと、魚卵の販売価格の低下、また養殖コストの増加により後述の生物資産公正価値評価益が減少するなどし、養殖事業全体として利益は減少いたしました。以上の結果として、売上高は3,709百万円(前年同期比14.1％増)、セグメント利益は593百万円(前年同期比22.1％減)となりました。なお、養殖事業には国際財務報告基準（IFRS）を採用する海外子会社が含まれている関係上、養殖事業の損益には、IAS第41号「農業」に従った売却コスト控除後の公正価値により評価した結果（売上原価△196百万円）が含まれております。当該影響を除いた損益状況は次のとおりです。（単位：百万円）売上高 3,709営業費用材料費、人件費、販管費等3,312小計（公正価値評価損益を除いたセグメント損益）397営業費用公正価値評価損益196合計（セグメント損益）593   （国内加工事業）近年、主力製品であるいくら、筋子について相場高騰が続いていましたが、前連結会計年度下期より市中在庫が増加するとともに価格調整局面に入っており、その状況は依然として継続しています。このため、高価格帯のいくらについては主力製品の販売が減少する結果となりました。また当事業は原料仕入時期と製品販売時期に一定のタイムラグが生じるため、価格下落局面においては一時的に利益率が低下する傾向があります。秋シーズンの魚卵新物仕入れにより総平均単価は低下しましたが、同タイムラグによる利益率低下効果の方が大きく、前期比では粗利率が低下しました。以上の結果として、売上高は6,334百万円(前年同期比8.6％減)、セグメント利益は900百万円(前年同期比33.7％減)となりました。 （海外加工事業）世界的にサーモン相場の高騰が続くなか、国内・海外ともに販売は好調に推移いたしました。一方で、生食用サーモンなどでは仕入相場が高騰し、十分な価格転嫁が困難になり利益率は低下しました。以上の結果として、売上高は11,225百万円(前年同期比22.1％増)、セグメント利益は713百万円(前年同期比12.8％減)となりました。 （海外卸売事業）東南アジア諸国では、外食業向け販売の拡大傾向は継続しており、海外卸売事業の主な取引先である日本食レストラン等の進出も増加傾向となっています。これらの需要拡大を背景に事業拡大に努めた結果、売上については引き続き堅調に推移いたしました。一方で、事業強化・拡大に向けてヒトやモノへの投資を増やしており、それに伴い人件費、倉庫費用、償却費等が増加した結果、利益率は低下いたしました。以上の結果として、売上高は6,301百万円(前年同期比18.0％増)、セグメント利益は196百万円(前年同期比56.6％減)となりました。 当第３四半期連結会計期間における当社グループ（当社及び連結子会社）の財政状態の状況の概要は次のとおりです。 （資産）当第３四半期連結会計期間末における流動資産は32,776百万円となり、前連結会計年度末に比べ10,194百万円増加いたしました。主な要因としては、東京証券取引所スタンダード市場への上場に伴う増資や国内加工事業における魚卵の仕入に向けた運転資金を借入したことにより現金及び預金が4,393百万円増加したこと、国内加工事業において魚卵の仕入が完了したこと等により原材料及び貯蔵品が2,511百万円増加したこと、養殖事業において、国内子会社で養殖魚の育成が進んでいること等により仕掛品が1,201百万円増加したこと等によるものであります。固定資産は9,276百万円となり、前連結会計年度末に比べ1,746百万円増加いたしました。主な要因としては、青森県東津軽郡今別町における養殖用設備への投資等により建物及び構築物が693百万円増加したこと等によるものであります。以上の結果、総資産は42,053百万円となり、前連結会計年度末に比べ11,941百万円増加しました。  （負債）当第３四半期連結会計期間末における流動負債は22,935百万円となり、前連結会計年度末に比べ7,495百万円増加いたしました。主な要因としては、運転資金として短期借入金が6,405百万円増加したこと等によるものであります。固定負債は5,703百万円となり、前連結会計年度末に比べ1,000百万円増加いたしました。主な要因としては、設備投資資金として長期借入金が599百万円増加したこと等によるものであります。以上の結果、負債合計は28,638百万円となり、前連結会計年度末に比べ8,495百万円増加しました。 （純資産）当第３四半期連結会計期間末における純資産合計は13,414百万円となり、前連結会計年度末に比べ3,446百万円増加いたしました。これは主に、東京証券取引所スタンダード市場への上場に伴う増資及びその後の新株予約権の権利行使等により資本金及び資本剰余金がそれぞれ998百万円増加したこと、親会社株主に帰属する四半期純利益を1,374百万円計上したこと等により利益剰余金が1,177百万円増加したことによるものであります。 
経営上の重要な契約等	３ 【経営上の重要な契約等】当第３四半期連結会計期間において、経営上の重要な契約等の決定又は締結等はありません。 
研究開発活動	
設備投資等の概要	
主要な設備の状況	
株式の総数	① 【株式の総数】 種類発行可能株式総数(株)普通株式26,400,000計26,400,000  
発行済株式、株式の総数等	② 【発行済株式】 種類第３四半期会計期間末現在発行数(株)(2024年３月31日)提出日現在発行数(株)(2024年５月14日)上場金融商品取引所名又は登録認可金融商品取引業協会名内容普通株式8,063,3848,063,624東京証券取引所スタンダード市場完全議決権株式であり、権利内容に何ら限定のない当社における標準となる株式であります。なお、単元株式数は100株であります。計8,063,3848,063,624―― （注）１.2024年４月１日から2024年４月30日の間に、新株予約権の権利行使により、発行済株式総数が240株増加しております。 ２.提出日現在発行数には、2024年５月１日からこの四半期報告書提出日までの新株予約権の行使により発行された株式数は、含まれておりません。 
配当政策	
コーポレート・ガバナンスの概要	
役員の状況	 ２ 【役員の状況】前事業年度の有価証券報告書提出日後、当四半期累計期間における役員の異動は、次のとおりであります。役職の異動新役職名旧役職名氏名異動年月日常務取締役兼CFO管理本部長取締役兼CFO管理本部長橋本　裕昭2023年10月16日  
貸借対照表	
損益計算書	
キャッシュ・フロー計算書	
