項目	値
事業の内容	２【事業の内容】　当第１四半期連結累計期間において、当社グループ（当社及び連結子会社）が営む事業の内容について、重要な変更はありません。また、主要な関係会社における異動もありません。 
経営方針、経営環境及び対処すべき課題等	
事業等のリスク	１【事業等のリスク】　当第１四半期連結累計期間において、新たに発生した事業等のリスクはありません。　また、前事業年度の有価証券報告書に記載した事業等のリスクについて重要な変更はありません。 
経営者による財政状態、経営成績及びキャッシュ・フローの状況の分析	２【経営者による財政状態、経営成績及びキャッシュ・フローの状況の分析】　文中の将来に関する事項は、当四半期連結会計期間の末日現在において判断したものであります。 (１）財政状態及び経営成績の状況　当第１四半期連結累計期間におけるわが国経済は、雇用・所得環境の改善及びインバウンド需要の増加等により、緩やかな回復基調で推移しました。しかしながら、原材料価格、エネルギー価格の高騰や、海外景気の下振れリスク、金融資本市場の変動等、依然として先行きは不透明な状況が続いております。　不動産業界におきましては、不動産投資家の投資姿勢は引き続き旺盛であり、その市場動向は堅調に推移しておりますが、金融緩和政策の変更に伴う金利の上昇や、原材料、建築資材の価格高騰の影響を今後も注視していく必要があります。　このような環境のもと、当社グループは、アセットマネジメント事業におけるフロー収益と、プロパティマネジメント事業におけるストック収益に加え、株式会社グッドライフエネルギーにおけるエネルギー事業との連携により、各事業間のシナジー効果創出に努めるとともに、営業力、技術力及びサービス品質の向上に努め、収益力の向上及び企業価値の最大化を図って参りました。　当第１四半期連結累計期間においては、前連結会計年度から開発を行っていた11物件が竣工したことにより、当第１四半期連結会計期間末において当社が企画・開発に携わった物件の竣工棟数は累計157棟、管理戸数は6,029戸となりました。　この結果、売上高4,847百万円（前年同期比26.1％増）、営業利益573百万円（同48.0％増）、経常利益564百万円（同51.0％増）、親会社株主に帰属する四半期純利益392百万円（同61.6％増）となりました。 　セグメントごとの経営成績は、次のとおりであります。 （不動産投資マネジメント事業）　当事業は、資産形成・運用をお考えのオーナー様に対し、賃貸マンション用地の販売、設計、建築及び売買仲介を行うアセットマネジメント事業と、賃貸仲介及び賃貸管理サービスを提供するプロパティマネジメント事業によって構成されております。　アセットマネジメント事業につきましては、当第１四半期連結累計期間において11物件が竣工するとともに、札幌への進出、熊本における開発エリアの拡大など、引き続き積極的な用地取得を行って参りました。また、金融機関等との連携を強化し、地主様からの土地有効活用相談の獲得や顧客層拡大に注力したことから、当社開発に係る新規設計契約７件（うち用地販売を伴うもの５件）及び連結子会社である株式会社グッドライフ建設において建築に係る工事請負契約５件を受注し、当第１四半期連結会計期間末における進行中の工事は11件となりました。　プロパティマネジメント事業につきましては、新築一棟マンション11物件の引渡し及び新規管理受託３物件により管理受託件数が増加しております。また、業務効率化を目的としたＲＰＡ及びコールセンターの運用や、入居者様の満足度向上を目的とした入居者アプリの運用等を行っております。加えて、不動産オーナー向け資産管理運用アプリを活用した情報提供、屋上の有効活用としてアンテナ設置やエレベーター保守費用の削減提案などオーナー様へも満足度向上へ繋がる提案を積極的に行い、物件の入居率の維持・向上に努めております。　この結果、不動産投資マネジメント事業の売上高は4,774百万円（前年同期比25.4％増）、セグメント利益は594百万円（同41.3％増）となりました。 （エネルギー事業）　当事業は、連結子会社である株式会社グッドライフエネルギーにおいて、主に当社が管理を行う物件の入居者様に対し、プロパンガスの供給を行っております。　当第１四半期連結会計期間末におけるプロパンガス供給棟数は127棟となっております。　この結果、エネルギー事業の売上高は72百万円（前年同期比47.2％増）、セグメント利益は９百万円（同300.9％増）となりました。 　財政状態については、次のとおりであります。 （資産）　当第１四半期連結会計期間末における流動資産は、前連結会計年度末に比べ1,065百万円増加し、9,412百万円となりました。主な要因は、現金及び預金が1,449百万円、完成工事未収入金が103百万円及びその他の流動資産が87百万円増加した一方、契約資産が401百万円及び販売用不動産が179百万円減少したことによります。　固定資産は、前連結会計年度末に比べ69百万円増加し、1,083百万円となりました。主な要因は、有形固定資産が79百万円増加した一方、投資その他の資産が９百万円減少したことによります。　この結果、総資産は、前連結会計年度末に比べ1,134百万円増加し、10,496百万円となりました。 （負債）　当第１四半期連結会計期間末における流動負債は、前連結会計年度末に比べ551百万円増加し、5,348百万円となりました。主な要因は、契約負債が310百万円、短期借入金が212百万円、預り金が69百万円及び１年内返済予定の長期借入金が37百万円増加した一方、未払法人税等が115百万円減少したことによります。　固定負債は、前連結会計年度末に比べ170百万円増加し、1,474百万円となりました。要因は、長期借入金が173百万円増加した一方、リース債務が３百万円減少したことによります。　この結果、負債合計は、前連結会計年度末に比べ721百万円増加し、6,823百万円となりました。 （純資産）　当第１四半期連結会計期間末における純資産は、前連結会計年度末に比べ412百万円増加し、3,673百万円となりました。主な要因は、親会社株主に帰属する四半期純利益の計上により利益剰余金が392百万円増加したことによります。 （２）経営方針・経営戦略等　当第１四半期連結累計期間において、当社グループが定めている経営方針・経営戦略等について重要な変更はありません。 （３）優先的に対処すべき事業上及び財務上の課題　当第１四半期連結累計期間において、当社グループが優先的に対処すべき事業上及び財務上の課題について重要な変更はありません。 （４）研究開発活動　該当事項はありません。  （５）資本の財源及び資金の流動性についての分析　当社グループの主な資金需要は、用地仕入資金、建築資金、設備投資資金及び運転資金であります。それらの財源については、自己資金及び金融機関からの借入金により調達しております。　このうち、金融機関からの借入に関して、収益用不動産の開発に係る用地仕入資金については、短期借入金で調達し、収益用不動産を建売にて販売を行う場合の用地仕入資金及び賃貸マンション建築資金並びにエネルギー事業におけるガス供給設備取得のための設備投資資金については、長期借入金での調達を行っております。　当社グループは、その健全な財政状態、営業活動によりキャッシュ・フローを生み出す能力及び借入金により、当社グループの成長を維持するため将来必要な用地仕入資金、建築資金、設備投資資金及び運転資金を調達することが可能と考えております。 
経営上の重要な契約等	３【経営上の重要な契約等】　該当事項はありません。 
研究開発活動	
設備投資等の概要	
主要な設備の状況	
株式の総数	①【株式の総数】種類発行可能株式総数（株）普通株式13,200,000計13,200,000
発行済株式、株式の総数等	②【発行済株式】種類第１四半期会計期間末現在発行数（株）（2024年３月31日）提出日現在発行数（株）（2024年５月15日）上場金融商品取引所名又は登録認可金融商品取引業協会名内容普通株式4,291,8004,291,800東京証券取引所スタンダード市場完全議決権株式であり、権利内容に何ら限定のない当社における標準となる株式であります。なお、単元株式数は100株であります。計4,291,8004,291,800－－（注）「提出日現在発行数」欄には、2024年５月１日からこの四半期報告書提出日までの新株予約権の行使により発行された株式数は含まれておりません。 
