項目	値
事業の内容	 ３ 【事業の内容】当社の事業は、料理、飲食物の調理・販売を主とし、和食を中心としたレストラン業を主たる事業としております。カフェテリア方式の「ザめしや」「めしや食堂」、ファーストフード方式の「街かど屋」(ザめしや24)、カフェテリア方式の讃岐製法うどん店「讃岐製麺」などをチェーン展開し、関西地区(大阪府、兵庫県、京都府、奈良県)中部地区(愛知県、三重県、岐阜県)中国地区(岡山県)の２府６県に及んでおります。主な業態の内容は、次のとおりであります。「ザめしや」「家庭料理」を中心とした約120種類ほどの豊富なメニューを用意し、洋食・中華も交えてお客様がご自由に料理の組み合わせを作りあげる事ができる和食を中心としたカフェテリア方式の業態であります。待ち時間が少なく客席回転率の高いファーストフード方式とくつろぎのある雰囲気のレストランタイプの両面の要素を併せ持ち、多彩なサービスと満足度を提供しております。「街かど屋」(ザめしや24)「丼・定食」にメニューを絞り込んだ、ファーストフードタイプツーオーダー方式の「和風定食屋」の業態であります。当初の「ザめしや24」からフライ物を提供できる店舗「街かど屋」への転換を積極的に行い、メニューの充実を図ってまいりました。また、「安心感のある低価格」と「明るい店づくり」により、家族連れ・会社員・学生等、幅広い顧客層を対象にしております。「めしや食堂」「ザめしや」のノウハウを生かしながら、小型化により、初期投資額を少なくするとともに、少ないスタッフによる効率的な運営を目指しております。「ヘルシー和食をさらに気軽に」というコンセプトで、出店立地の多様化という面で今後の拡大の可能性をもっております。「讃岐製麺」厳選した小麦と塩を使用し、店内製麺所で讃岐製法により毎日製麺した、程よいコシとネバリを兼ね備えたうどんを提供する本物志向の業態であります。自家製麺にこだわり、おむすび、天ぷら、おでんをラインナップした専門店としての存在価値を意識した業態となっております。   ［事業系統図］　　以上述べた事項を系統図によって示すと次のとおりであります。(2024年２月29日現在)  
経営方針、経営環境及び対処すべき課題等	１ 【経営方針、経営環境及び対処すべき課題等】文中の将来に関する事項は、当事業年度末現在において当社が判断したものであります。 (1) 会社の経営の基本方針当社は創業以来、「食文化を創造する」「お客様のニーズに応える」「人を育てる」を目指す企業として、レストラン事業を展開してまいりました。また、「お客様第一主義の徹底」のもと「Ｑ・Ｓ・Ｃ＋Ｃ」（クオリティ・サービス・クレンリネス＋チョイス）のレベル向上を経営の基本方針としております。当社の『和食カフェテリア業態』の特性である、「Ｃ（チョイス）」、すなわち、お客様が自由に料理を選べる楽しさを一層充実させることができる「ザめしや」及び『定食業態』の特徴である、熱々の美味しいものを待たずに早く食べていただける「街かど屋」が、オーバーストア状態にある外食産業の中で勝ち残るカギになるものと考えております。 (2) 目標とする経営指標当社は継続的な企業価値向上のため、売上高及び経常利益を重要指標として、諸施策を実施することでこれらの指標の向上を図っていきたいと考えております。 (3) 中長期的な会社の経営戦略当社は、経営の基本方針のもと、①「街かど屋」業態の積極的な出店、②新業態の開発、③スクラップ＆ビルドを中長期的な経営戦略としております。新業態の開発については、多様な顧客ニーズを満たすことができる新しいビジネスモデルの確立を目指します。スクラップ＆ビルドについては、オーバーストア状態のためロードサイドの出店地が減少したこともあり、生活道路や小商圏への新規出店や、不採算店舗の閉店を積極的に行います。また、ドミナント戦略のもと収益性重視の店舗展開を進め、出店地域の拡大に努めます。 (4) 優先的に対処すべき事業上及び財務上の課題新型コロナウイルス感染症の分類が５類感染症へ移行し、人流が回復基調となったことに伴い、個人消費及びインバウンド需要等社会経済活動が正常化しつつあったものの、原材料価格や光熱費の高止まり等による物価高騰、人件費の上昇、ウクライナ情勢の長期化など、依然として先行き不透明な状況が続いております。このような状況において、衛生管理の徹底と既存業態の進歩・進化と不採算店舗の閉店を考えております。また、人材育成を課題と認識しており社員研修での教育及びやりがいのある企業風土作りに努め、組織力の活性化及び幅広い顧客層にこたえるバリューメニューの開発、食の安全性、食の品質を重視し顧客満足度の向上を課題といたします。各業態ブランド力を強化し、競合他社との差別化や「Ｑ・Ｓ・Ｃ」（クオリティ・サービス・クレンリネス）レベルのさらなる向上をめざし、利益率を高め、資本効率を向上させるとともに、既存店の改装及び新メニュー開発を促進して、お客様が要望される店舗作りに注力いたします。株主各位におかれましては、今後とも一層のご支援を賜りますようお願い申しあげます。
事業等のリスク	 ３ 【事業等のリスク】有価証券報告書に記載した事業の状況、経理の状況等に関する事項のうち、経営者が提出会社の財政状態、経営成績及びキャッシュ・フローの状況に重要な影響を与える可能性があると認識している主要なリスクは、以下のとおりであります。なお、文中における将来に関する事項は当事業年度末現在において当社が判断したものであります。 (1) 当社を取り巻く事業環境の変動について外食産業の市場規模は、公表されている統計によると、消費動向の低迷、中食の拡大などにより縮小傾向にあります。また、大手企業による大量の新規出店、低価格化等により競合が激化しております。 　当社は、和食カフェテリア方式のレストランとして、「ザめしや」を中心に経営しており、当初は、同業態でチェーン展開を行っている企業もなく、順調に展開してまいりましたが、近年、同業態でチェーン展開を行っている企業の出現により、競合する店舗も現われております。 　従って、今後の市場動向の推移、競合先企業及び競合店舗の動向、顧客ニーズの変化により当社の業績に影響を与える可能性があります。また、原材料価格や光熱費の上昇及びウクライナ情勢の長期化等により、当社の業績及び財政状態に重大な影響を及ぼす可能性があります。 (2) 店舗展開等による業績への影響推移について当社の最近５期間の業績推移は下表のとおりであります。 回次第34期第35期第36期第37期第38期決算年月2020年２月2021年２月2022年２月2023年２月2024年２月売上高(千円)13,227,3489,226,3878,715,6799,888,28110,426,241経常利益又は経常損失(△)(千円)139,581△1,166,698144,030△204,5625,843当期純利益又は当期純損失(△)(千円)7,831△1,693,48960,693△447,726△734,843       期末店舗数 12711711611695新規出店数 2244―閉店数 1125421業態転換店数 11112  当事業年度は閉店により店舗数は前年同期比21店舗減少となりました。新型コロナウイルス感染症の分類が５類感染症へ移行し、人流が回復基調となったことに伴い、個人消費及びインバウンド需要等社会経済活動が正常化しつつあったものの、原材料価格や光熱費の高止まり等による物価高騰、人件費の上昇、ウクライナ情勢の長期化など、依然として先行き不透明な状況が続いております。売上高は前年同期比5.4％増加し、経常利益は5,843千円となりました。また、減損損失等の特別損失が469,987千円（前年同期は特別損失125,925千円）発生したことにより、当期純損失は734,843千円（前年同期は当期純損失447,726千円）となりました。このように、当社の業績は新型コロナウイルス感染症の分類が５類感染症へ移行し、社会経済活動が正常化しつつあったものの、原材料価格や光熱費の上昇及びウクライナ情勢の長期化等の状況の影響を受けており、今後の新規出店数・閉店数・業態転換店数の推移、既存店の業績動向、不採算店等に係る減損損失の計上等により、当社の業績に影響を与える可能性があります。  (3) 店舗展開と出退店政策について当社は、「ザめしや」の出店に関して、郊外型幹線道路立地にこだわって店舗展開を行ってまいりましたが、「街かど屋」の業態を開発することによって、立地選定を都心型ビルイン型の店舗にも出店の対象を広げてまいりました。これらの業態に加えて、「讃岐製麺」の業態を開発することにより、立地についても、生活道路型小商圏立地へと広がっております。　当社の新規出店は、家賃、保証金、建設協力金等の出店条件、周辺人口、店舗前の交通量等の事前調査によって店舗の採算性を予測し、投資回収期間、利益貢献度などの基準を満たすものを対象物件として選定しております。このため、当社出店基準に達する物件がなく、出店計画に満たない場合や、新規出店に伴う初期投資、減価償却負担等により、当社の業績に影響を与える可能性があります。　現在当社が出店を行っている関西地区・中部地区以外での地区において当社の業態、メニュー、「味」等が消費者の支持を得られる保証はなく、当社の業績に影響を与える可能性があります。　また、当社は各店舗の業績を精査し、必要に応じて閉店、業態転換を行っております。閉店に際しては、賃借物件の中途解約により違約金等が発生したり、転貸に伴い損失が発生する場合があります。また賃貸人の財政状態によっては差入保証金を回収できない可能性もあります。業態転換に際しても店舗設備の除却等が発生する場合があります。このような場合には、当社の業績に影響を与える可能性があります。 (4) 仕入食材調達安定供給について当社は和食中心の料理を提供しておりますが、多くのお客様の嗜好に応えるため、そのメニュー数は幅広く、その食材の種類も多岐にわたっております。近年目立っている食材に関する問題も、即時にメニューを変更するという形で解消できるカフェテリア方式のレストランの特性をもって対処してまいりましたが、ウクライナ情勢の長期化等による原材料価格の上昇及び天候不順による農作物の不作等に伴い供給量が減少になった場合には、物量の確保及び仕入価格への影響が考えられ、当社の業績に影響を与える可能性があります。　また、「食」の安全性に対する社会的な要請、顧客ニーズが高まった場合、食材の調達が円滑に進まなくなったり、食材調達コストが上昇する可能性があります。そのような場合には、当社の業績に影響を与える可能性があります。 (5) 人材の確保及び育成について当社は、多くの料理を店内調理しており、できたての美味しさ、品質の良さをお客様に提供してまいりました。また、カフェテリア方式のレストランという業態の特性を生かすため、きめの細かい新メニューの導入、300種以上の食材発注などの店舗管理能力に加えて、一定の調理技術を備えた人材を確保・育成することが重要であります。従って、当社は労働集約型といえる産業であることから、今後の少子高齢化社会での人材の確保ができない場合、また、人材の育成が順調に進まない場合、当社の業績に影響を与える可能性があります。 (6) 特定の仕入先への依存について2023年２月期、2024年２月期においてケイ低温フーズ株式会社からの当社の仕入高はそれぞれ47.4％、48.0％を占めております。当社は、自社物流の仕組みは敢えて持たず、各店舗で日々使用する多品種・少量の食材の配送については全面的にベンダーと呼ばれる食品商社に委託しております。当社は複数の食品商社からの仕入体制を確立して、配送集中のメリットを残存させたまま競争原理を導入したいと考えておりますが、今後においてもケイ低温フーズ株式会社への食材の物流及び仕入への依存度が急激に低下するということは考え難く、同社との関係に何らかの支障が生じた場合、又は同社の配送センターにおける事故等、不測の事態が生じた場合には、当社の店舗運営に支障を来たしたり、当社の業績に影響を与える可能性があります。 (7) カフェテリア方式に対する消費者のニーズについて当社の主力業態は、カフェテリア方式の「ザめしや」であります。料理をお客様自らがチョイス(選択)できるという特性がひとつの魅力となっており、今後も、この業態及び「ザめしや」から派生した業態である「めしや食堂」、「讃岐製麺」を発展させていく予定でありますが、カフェテリア方式の当社主力業態が消費者のニーズに合わなかった場合には、当社の業績に影響を与える可能性があります。 (8) 業績の季節的変動について当社の売上高は、連休や夏休みなど休日が上半期に多くなることにより、本来上半期の比重が高くなる傾向があります。販売費及び一般管理費に大きな変動はないため、上半期の偏重傾向は営業利益以下において顕著に表われております。当事業年度においては、新型コロナウイルス感染症の分類が５類感染症へ移行し、人流が回復基調となったことに伴い、個人消費及びインバウンド需要等社会経済活動が正常化しつつあるため、当社本来の上半期の比重が高い傾向に戻りつつあります。当社の最近２期間における上半期・下半期別の業績及び通期に対する比率は以下のとおりとなっております。 (単位：百万円、％) 2023年２月期2024年２月期上半期下半期上半期下半期金額比率金額比率金額比率金額比率売上高4,81348.75,07551.35,29750.85,12849.2経常利益又は経常損失(△)33―△238―△54―60―当期純損失(△)△59―△388―△647―△86―  (9) 継続企業の前提に関する重要事象等当社は、新型コロナウイルス感染症の分類が５類感染症へ移行し、人流が回復基調となったことに伴い、個人消費及びインバウンド需要等社会経済活動が正常化しつつあったものの、原材料価格や光熱費の高止まり等による物価高騰、人件費の上昇、ウクライナ情勢の長期化などにより営業損失を計上することになりました。これらの状況により、継続企業の前提に重要な疑義を生じさせるような状況が存在しておりますが、当該重要事象等を解消、改善するための対応策として、事業の収益改善及び費用削減等の施策を行い、財務状況の安定化を図っております。収益改善対策として、ザめしや業態のカフェテリア方式を、対面方式でご注文を受けてから調理しご提供するツーオーダーとの一部併用、収益改善の見込めない店舗の業態転換や退店、各業態での公式アプリ導入による売上向上等に努めております。また、エネルギー価格や原材料価格の高騰に伴うコスト上昇に対応するため、メニューや販売価格を見直してまいります。さらに、収益を最大化させるため、店舗ごとの状況に応じた営業時間の見直し等により、全社的な収益性の改善を図ってまいります。なお、資金面については、2024年期末において2,693,297千円の現金及び現金同等物を有しており、当社の事業規模を勘案しても当面の事業資金を確保しており、資金繰り上の懸念はありません。以上により、当社として継続企業の前提に関する重要な不確実性は認められないと判断しております。
経営者による財政状態、経営成績及びキャッシュ・フローの状況の分析	 ４ 【経営者による財政状態、経営成績及びキャッシュ・フローの状況の分析】(業績等の概要)当事業年度における当社の財政状態、経営成績及びキャッシュ・フロー（以下、「経営成績等」という。）の状況の概要は次のとおりであります。 (1) 財政状態及び経営成績の状況①　経営成績当事業年度におけるわが国の経済は、新型コロナウイルス感染症の分類が５類感染症へ移行し、人流が回復基調となったことに伴い、個人消費及びインバウンド需要等社会経済活動が正常化しつつあったものの、原材料価格や光熱費の高止まり等による物価高騰、人件費の上昇、ウクライナ情勢の長期化など、依然として先行き不透明な状況が続いております。このような環境の下、当社は、従業員の労働時間の短縮、設備投資抑制による資産の圧縮、人件費や家賃等の販管費の圧縮、原材料価格の高騰に伴うメニューの見直し、ザめしや業態のカフェテリア方式をご注文を受けてから調理しご提供するツーオーダーとの一部併用、収益改善の見込めない店舗の業態転換や退店、各業態での公式アプリ導入等、事業活動継続のための施策を実施してまいりました。店舗では新型コロナウイルス感染症予防対策を継続し、従業員の健康管理とお客様の安心・安全の確保に努めております。並行して、全業態で宅配サービスを導入しており、「出前館」「ＵｂｅｒＥａｔｓ」「Ｗｏｌｔ」と連携し、宅配サービスを拡充しております。また、2023年10月及び2024年２月に一部価格改定を実施し収益力の向上に取り組んでおります。当事業年度の店舗展開につきましては、閉店が21店舗となった結果、期末店舗数は95店舗となりました。以上の結果、新型コロナウイルス感染症拡大の影響が顕著になった2020年２月以降、来店客数が減少したものの、売上高は10,426,241千円（前年同期比 5.4％増）、営業損失は25,186千円（前年同期は営業損失593,794千円）、経常利益は5,843千円（前年同期は経常損失204,562千円）、当期純損失は734,843千円（前年同期は当期純損失447,726千円）となりました。②　財政状態当事業年度末における資産合計額は、前事業年度末より1,453,163千円減少し4,638,288千円となりました。当事業年度末における負債合計額は、前事業年度末より729,178千円減少し3,381,009千円となりました。 (2) キャッシュ・フローの状況当事業年度における現金及び現金同等物は前事業年度末に比べ416,233千円減少し、当事業年度末には2,693,297千円となっております。　営業活動によるキャッシュ・フローは、主に税引前当期純損失が383,144千円となり、仕入債務の減少額が23,041千円、非資金的費用として減価償却費84,688千円、減損損失336,534千円であったこと等により245,237千円の収入（前事業年度は88,237千円の収入）となっております。　投資活動によるキャッシュ・フローは、預入期間が３か月を超える定期預金の預入による支出200,000千円及び払戻による収入500,000千円、店舗改装のための有形固定資産の取得による支出70,391千円、閉店等による差入保証金の回収による収入46,795千円があったこと等により、177,452千円の収入（前事業年度は203,989千円の支出）となっております。　財務活動によるキャッシュ・フローは、長期借入金801,659千円、割賦債務109,910千円の返済による支出等が進み、838,922千円の支出（前事業年度は471,553千円の支出）となっております。  (生産、受注及び販売の状況)当社において開示対象となる報告セグメントは、外食事業の単一事業であるため、主に業態区分別に記載しております。 (1) 生産実績当社は、最終消費者へ直接販売する飲食業を行っておりますので、生産実績は記載しておりません。 (2) 仕入実績当事業年度における仕入実績を業態別に示すと、次のとおりであります。業　　　　　　　態仕入高(千円)前年同期比(％)ザめしや1,277,53298.7街かど屋(ザめしや24)1,472,398113.0讃岐製麺307,707112.4めしや食堂292,95499.5その他259,46493.2合　　　　　　　計3,610,057104.8 (注)　上記の仕入高の金額は、仕入値引控除前の金額であります。 (3) 販売実績①　当事業年度における販売実績を業態別に示すと、次のとおりであります。業　　　　　　　態販売高(千円)前年同期比(％)ザめしや3,836,796100.0街かど屋(ザめしや24)4,155,707111.7讃岐製麺1,119,073114.6めしや食堂825,13598.0その他489,52894.9合　　　　　　　計10,426,241105.4   ②　地域別販売実績都道府県販売高第38期末店舗数金額(千円)前年同期比(％)構成比(％) 大阪府3,288,650104.331.528 兵庫県1,566,653105.515.012 京都府533,673117.65.14 滋賀県20,77021.10.2― 奈良県590,100119.45.74 関西地区計5,999,848105.557.548 愛知県3,929,985105.437.741 三重県209,579103.62.03 岐阜県172,204106.01.72 中部地区計4,311,769105.341.446 岡山県114,623104.31.11 中国地区計114,623104.31.11 全国合計10,426,241105.4100.095  (経営者の視点による経営成績等の状況に関する分析・検討内容)経営者の視点による当社の経営成績等の状況に関する認識及び分析・検討内容は次のとおりです。なお、文中の将来に関する事項は、当事業年度末現在において当社が判断したものであります。 (1) 経営成績の分析当事業年度は閉店が21店舗となった結果、期末店舗数は95店舗となりました。売上高は、既存店売上高が増加したこと等により10,426,241千円（前年同期比 5.4％増）、売上原価は3,543,537千円（前年同期比 4.5％増）、売上総利益は6,882,703千円（前年同期比 5.9％増）となりました。　販売費及び一般管理費は6,907,889千円（前年同期比 2.6％減）となりました。主な増加費用は、賞与引当金の増加等により賞与引当金繰入額が24,257千円増加の53,192千円（前年同期比 83.8％増）、賞与が28,234千円増加の93,386千円（前年同期比 43.3％増）となりました。主な減少費用は、水道光熱費が89,850千円減少の527,378千円（前年同期比 14.6％減）、賃借料が店舗閉店の影響により55,968千円減少の1,349,879千円（前年同期比 4.0％減）となりました。よって、営業損失は25,186千円（前年同期は営業損失593,794千円）、経常利益は5,843千円（前年同期は経常損失204,562千円）となりました。　特別損失の主な要因は、固定資産除却損6,913千円、減損損失336,534千円、店舗閉鎖損失97,427千円及び店舗臨時休業等による損失11,385千円等で合計469,987千円（前年同期比 273.2％増）となりました。これにより当期純損失は734,843千円（前年同期は当期純損失447,726千円）となりました。 (2) 財政状態の分析　　（資産の部）流動資産は、現金及び預金の減少等により3,264,822千円（前事業年度末は3,943,942千円）となりました。有形固定資産は、閉店店舗の除却等により406,773千円（前事業年度末は746,403千円）、投資その他の資産は、繰延税金資産の減少等により870,101千円（前事業年度末は1,336,831千円）となり、当事業年度末における資産の部合計は、4,638,288千円（前事業年度末は6,091,452千円）となりました。　　（負債の部）流動負債は、未払金残高や賞与引当金の増加等により1,962,051千円（前事業年度末は1,903,986千円）となりました。固定負債は、長期借入金の減少等により1,418,958千円（前事業年度末は2,206,201千円）となり、負債の部合計は3,381,009千円（前事業年度末は4,110,187千円）となりました。　　（純資産の部）純資産の部合計は、当期純損失の計上等により1,257,279千円（前事業年度末は1,981,264千円）となった結果、自己資本比率は27.1％（前事業年度末は32.5％）となりました。 (3) キャッシュ・フローの状況の分析キャッシュ・フローの状況については、「第２　事業の状況　４　経営者による財政状態、経営成績及びキャッシュ・フローの状況の分析　(2) キャッシュ・フローの状況」に記載しております。  (4) 経営成績に重要な影響を与える要因について当社は、創業以来、カフェテリア方式のレストラン「ザめしや」の経営を主力としてまいりました。当初は、競合といえる他の外食企業もなく、他のファミリーレストランとの差別化のなかで、発展をしてまいりましたが、近年、当社に類似したカフェテリア方式の他の企業も出現し、地域によっては、競合状態となっております。そのため、業態の差別化だけでなく外食事業としての基本であるＱ・Ｓ・Ｃ（クオリティ・サービス・クレンリネス）の一層の徹底によって、お客様の支持獲得を目指しております。また、外食産業全体でもオーバーストア状態が続き、お客様の獲得競争が激しく、お客様の意識、嗜好の変化もきわめて速くなっております。そのため、複数の業態を開発し、いつでもお客様のニーズに応えられるよう備えることが重要なことと考えております。当社の提供する料理は、食材に関する問題の影響は受けにくいものの、全国的な天候不順や農作物の不作などによって、物量の確保や仕入価格への影響があると考えます。このような不測の事態に対処するため、複数の仕入先との取引によって食材を確保し、複数のベンダー(食品卸業者)によって物流を安定させ、日々の安定的な商品の提供を実現する予定であります。 (5) 資本の財源及び資金の流動性についての分析当事業年度のキャッシュ・フローの状況については、「第２ 事業の状況 ４　経営者による財政状態、経営成績及びキャッシュ・フローの状況の分析　 (2) キャッシュ・フローの状況」に記載のとおりであります。なお、当社の運転資金・設備資金については、自己資金の他、金融機関からの借入れで対応していくこととしております。当事業年度末の現金及び現金同等物の期末残高は2,693,297千円となり、将来に対して十分な財源及び流動性を確保しております。また、現時点において重要な資本的支出の予定はございません。 　(6) 重要な会計上の見積り及び当該見積りに用いた仮定当社の財務諸表は、わが国において一般に公正妥当と認められている会計基準に基づき作成されております。なお、当社が財務諸表を作成するにあたり採用した重要な会計方針は、「第５ 経理の状況 １　財務諸表等 (1)財務諸表注記事項 重要な会計方針」に記載のとおりであります。また、財務諸表を作成するにあたって、資産、負債、収益及び費用の報告額に影響を及ぼす見積り及び仮定を用いておりますが、これらの見積り及び仮定に基づく数値は実際の結果と異なる可能性があります。　財務諸表の作成にあたって用いた会計上の見積り及び仮定のうち、重要なものは以下のとおりであります。（繰延税金資産の回収可能性）　当社は、将来の課税所得を合理的に見積り、回収可能性があると判断した将来減算一時差異について繰延税金資産を計上することとしております。将来の課税所得の見積り及び繰延税金資産の回収可能性の判断等に当たっては、財務諸表作成時に入手可能な情報に基づき合理的に判断しておりますが、将来の不確実な環境の変化等により見直しが必要になった場合、翌事業年度以降の財務諸表において認識する繰延税金資産及び法人税等調整額の金額に重要な影響が及ぶ可能性があります。（固定資産の減損処理）　当社は、固定資産の減損の兆候がある資産又は資産グループについて、当該資産又は資産グループから得られる将来キャッシュ・フローの総額が帳簿価額を下回る場合には、帳簿価額を回収可能価額まで減額し、当該減少額を減損損失として計上しております。減損の兆候の把握、減損損失の認識及び測定に当たっては慎重に検討しておりますが、事業計画や環境の変化により、その見積り額の前提とした条件や仮定に変更が生じた場合、減損処理が必要になる場合があります。 (7) 経営者の問題意識と今後の方針について「第２ 事業の状況 １ 経営方針、経営環境及び対処すべき課題等」に記載のとおり、当社が今後さらなる成長と発展を遂げるためには、厳しい環境の中で様々な課題に対処していくことが必要であると認識しております。そのために当社では、戦略面及び組織面の課題を整理し、各課題に対し適切かつ効果的な対応を行ってまいります。 
経営上の重要な契約等	 ５ 【経営上の重要な契約等】該当事項はありません。 
研究開発活動	６ 【研究開発活動】該当事項はありません。 
設備投資等の概要	１ 【設備投資等の概要】当事業年度における設備投資は、中長期的な収益性を重視するため、経営戦略のひとつであるスクラップ＆ビルドを推進し２店舗の業態転換店、21店舗の閉店となりました。また、コミッサリー（セントラルキッチン）を2024年１月に閉鎖しております。業態別の内容は、業態転換店が「讃岐製麺」の２店舗になります。閉店が「ザめしや」７店舗、「街かど屋」４店舗、「めしや食堂」２店舗、「寿司一番地」６店舗及び「とんかつよつ葉」と「味匠とりせん」の「その他」２店舗の合計21店舗になります。当事業年度において実施しました設備投資の総額は216,036千円であり、内訳は有形固定資産等が209,259千円、差入保証金等が6,777千円であります。 
主要な設備の状況	２ 【主要な設備の状況】当社は、大阪府を拠点とし、和食カフェテリア業態のレストランを中心に95店舗(2024年２月29日現在)を展開しております。また、店舗以外に本部事務所、サポートセンター(自社研修センター)を設けております。2024年２月29日現在の都道府県別における各事業所の主要な設備の帳簿価額並びに従業員の配置内訳は次のとおりであります。  (1) 店舗設備の状況①　ザめしや　　　　　　　　　　　　　　　　　　　　　　　　　　　　　2024年２月29日現在事業所(所在地)帳簿価額(千円)従業員数(名)建物構築物工具、器具及び備品合計大阪府　８店舗(大阪市東住吉区他)2,1521603572,67012兵庫県　５店舗(兵庫県姫路市他)22,25856089023,70911京都府　２店舗(京都市伏見区他)14,0629971,44016,4994奈良県　２店舗(奈良県奈良市他)11,81254731112,6723愛知県　８店舗(名古屋市守山区他)36,4272,1501,98740,56515三重県　２店舗(三重県鈴鹿市他)――――2岐阜県　１店舗(岐阜県大垣市)9,3933981029,8931岡山県　１店舗(岡山市北区)6,29903506,6492ザめしや合計　　29店舗102,4064,8145,439112,66050  ②　街かど屋(ザめしや24)　　　　　　　　　　　　　　　　　　　　　　　　　　　　　2024年２月29日現在事業所(所在地)帳簿価額(千円)従業員数(名)建物構築物工具、器具 及び備品合計大阪府　10店舗(大阪府吹田市他)33,2401,6372,88837,76516兵庫県　５店舗(兵庫県姫路市他)42,6362586,19549,08912京都府　１店舗(京都市下京区)6,483―1576,6412奈良県　２店舗(奈良県奈良市)11,47101,63713,1084愛知県　21店舗(名古屋市千種区他)44,2821,4682,20947,96034三重県　１店舗(三重県津市)――――1岐阜県　１店舗(岐阜県岐阜市)――――1街かど屋(ザめしや24)合計　 41店舗138,1143,36413,087154,56670   ③　めしや食堂　　　　　　　　　　　　　　　　　　　　　　　　　　　　　2024年２月29日現在事業所(所在地)帳簿価額(千円)従業員数(名)建物構築物工具、器具 及び備品合計大阪府　４店舗(堺市堺区他)8,44204948,9375兵庫県　２店舗(兵庫県西宮市他)――――2京都府　１店舗(京都市南区)――――1愛知県　２店舗(名古屋市港区他)35,8245901,61638,0312めしや食堂合計　　９店舗44,2665902,11146,96910  ④　讃岐製麺　　　　　　　　　　　　　　　　　　　　　　　　　　　　　2024年２月29日現在事業所(所在地)帳簿価額(千円)従業員数(名)建物構築物工具、器具 及び備品合計大阪府　４店舗(大阪市東成区他)25,73102,62428,3564愛知県　10店舗(名古屋市昭和区他)42,2994484,74447,49211讃岐製麺合計　　14店舗68,0314487,36975,84915  ⑤　その他　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　  2024年２月29日現在事業所(所在地)帳簿価額(千円)従業員数(名)建物構築物機械及び装置工具、器具 及び備品合計大阪府　２店舗(大阪府茨木市他)―――――5その他合計　　２店舗―――――5  (2) その他設備の状況　　2024年２月29日現在事業所(所在地)帳簿価額(千円)従業員数(名)建物構築物機械及び装置工具、器具 及び備品土地(面積㎡)合計本部事務所・厚生施設(大阪府吹田市・和歌山県西牟婁郡白浜町)2,109――2,666228(5.13)5,00450サポートセンター(大阪府高槻市)3,918――28―3,947―三重県(転貸店舗）(三重県四日市市)292116―0―409―熊本県(転貸店舗)(熊本県熊本市)6,919447―――7,367―合計13,239564―2,695228(5.13)16,727― (注) １　従業員数は正社員の人数であり、パートタイマーは含まれておりません。２　上記の他、主要な賃借及びリース施設として以下のものがあります。 事業所名(所在地)業態の名称設備の内容年間賃借料(千円)リース期間年間リース料(千円)リース契約残高(千円)東住吉店他28店舗(大阪市東住吉区他)ザめしや営業用施設531,975５年24,88775,457江坂店他40店舗(大阪府吹田市他)街かど屋(ザめしや24)営業用施設379,518５年28,88956,507港七番町店他８店舗(名古屋市港区他)めしや食堂営業用施設97,132５年4,2776,134滝子通店他13店舗(名古屋市昭和区他)讃岐製麺営業用施設143,760５年5,89345,605茨木西店他１店舗(大阪府茨木市他)その他営業用施設23,871５年8,21010,012姫路飾磨店他20店舗(姫路市飾磨区他)（注）１―127,753―10,378331本部・寮他(大阪府吹田市他)本部管理用施設59,011５年40,58565,051合計――1,363,023５年123,122259,099 (注) １　当事業年度に閉店した店舗についての賃借料及びリース料を記載しております。  
株式の総数	① 【株式の総数】 種類発行可能株式総数(株)普通株式4,800,000計4,800,000  
発行済株式、株式の総数等	② 【発行済株式】 種類事業年度末現在発行数(株)(2024年２月29日)提出日現在発行数(株)(2024年５月24日)上場金融商品取引所名又は登録認可金融商品取引業協会名内容普通株式3,660,4003,660,400東京証券取引所スタンダード市場単元株式数は100株であります。計3,660,4003,660,400―― (注)１　発行済株式は、完全議決権株式であり、権利内容に何ら限定のない当社における標準となる株式でありす。 
