項目	値
事業の内容	
経営方針、経営環境及び対処すべき課題等	
事業等のリスク	
経営者による財政状態、経営成績及びキャッシュ・フローの状況の分析	
経営上の重要な契約等	
研究開発活動	
設備投資等の概要	
主要な設備の状況	
株式の総数	①【株式の総数】種類発行可能株式総数（株）普通株式19,558,000計19,558,000
発行済株式、株式の総数等	②【発行済株式】種類第３四半期会計期間末現在発行数（株）（平成30年８月31日）提出日現在発行数（株）（平成30年10月15日）上場金融商品取引所名又は登録認可金融商品取引業協会名内容普通株式4,894,5004,894,500 ㈱東京証券取引所 (市場第一部)単元株式数100株計4,894,5004,894,500－－
配当政策	
コーポレート・ガバナンスの概要	
役員の状況	２【役員の状況】　前事業年度の有価証券報告書提出後、当四半期累計期間における役員の異動は、次のとおりであります。役職の異動新役名及び職名旧役名及び職名氏名異動年月日取締役営業部門・アジア事業・関係会社管掌取締役営業部門・アジア事業・関係会社管掌　兼LACTO ASIA PTE LTD.Managing Director鋤納　康治平成30年３月１日  
貸借対照表	
損益計算書	
キャッシュ・フロー計算書	
