項目	値
事業の内容	 ３ 【事業の内容】当社グループは、当社及び関係会社16社（連結子会社12社、非連結子会社２社及び関連会社２社）により構成されており、「ドラッグストア」を基本として、医薬品・衛生介護品・ベビー用品・健康食品、調剤、化粧品、家庭用雑貨及び食品等の小売事業を主な事業としております。なお、当社グループは、医薬品・調剤・化粧品等を中心とした小売事業の単一セグメントであるため、セグメントに関連付けた記載はしておりません。また、当社は、有価証券の取引等の規制に関する内閣府令第49条第２項に規定する特定上場会社等に該当しており、これにより、インサイダー取引規制の重要事実の軽微基準については連結ベースの数値に基づいて判断することとなります。(注)　非連結子会社であるウエルシアオアシス㈱及びウエルシアリテールソリューション㈱は、重要性が乏しいため下図に記載しておりません。
経営方針、経営環境及び対処すべき課題等	１ 【経営方針、経営環境及び対処すべき課題等】当社グループが主に事業を行うドラッグストア業界は、同業大手の出店や業界再編による規模拡大など、業種・業態の垣根を越えた競争が激化しております。また、円安・輸入物価の高騰を受けた食品をはじめとする消費者物価の上昇を受けて、消費者の節約志向は一段と強くなっております。長期的には、日本の少子高齢化により、労働力不足に対しての積極的な従業員の処遇改善の必要や高齢者の増加に伴う消費者ニーズの変化にも直面することとなります。このような厳しい環境変化を成長の機会と捉え、当社では、「2024年２月期～2026年２月期中期経営計画」（以下、「中期経営計画」）を策定し、推進しております。中期経営計画では、「お客様の豊かな社会生活と健康な暮らしを提供します」という企業理念のもと、４大方針（「調剤併設」、「カウンセリング営業」、「深夜営業」及び「介護」）を軸としたウエルシアモデルを推進し、2030年にありたい姿として、「地域Ｎｏ.１の健康ステーション」の実現を目指しております。以上の課題に対し、当社グループは次のように対処してまいります。 ①既存事業の進化と深化店舗の競争力強化を図るため、改装、調剤併設推進、商品力・カウンセリング力の強化を推進します。また、独自性且つストーリー性のあるプライベートブランド商品の開発、食品強化型店舗、都市型小型店舗、移動販売の新たな店舗フォーマットの開発に取り組みます。さらに健康サービス拡充による事業領域の拡大や介護事業の強化にも取り組んでまいります。②Ｍ＆Ａの推進とグループシナジーの追求グループ共通機能の相互活用や、ウエルシアモデルの推進によるグループシナジーの拡大による子会社収益の改善及びエリア戦略を推進してまいります。また、ドラッグストア事業に加え、周辺事業領域のＭ＆Ａを推進してまいります。③デジタル化への対応デジタルを活用した顧客サービスの開発、ＥＣ事業を推進すると同時に、店舗や本部業務の省力化、効率化、生産性の向上を図ってまいります。④海外事業の拡大Welcia-BHG（Singapore）の事業拡大のための収益改善及びその他アセアン地域への進出を目指します。⑤組織・経営管理の高度化グループ横断的な本部組織の最適化を図ります。 これらの取組みに加え、グループ規模拡大に伴い増大するリスクへの対応、内部統制及びリスク管理体制の強化を図っております。加えて、当社グループは、サステナビリティ経営の推進に継続的に取り組んでおり、「人権方針」、「環境方針」及び「商品・サービス方針」からなるサステナビリティ基本方針により、企業理念の実現と持続可能な社会の実現を目指しております。 中期経営計画の経営指標として、2026年２月期に、以下のとおり計画しております。 2026年２月期計画売上高１兆5,000億円経常利益率5.0％ＲＯＥ15.0％以上ＥＢＩＴＤＡ（営業利益＋償却費（のれん含む））計画期間中の年平均成長率10.0％以上  
事業等のリスク	 ３ 【事業等のリスク】有価証券報告書に記載した事業の状況、経理の状況等に関する事項のうち、経営者が当社グループの財政状態、経営成績及びキャッシュ・フローの状況に重要な影響を与える可能性があると認識している主要なリスクは、以下のとおりであります。また、当社グループは、これらのリスクに対する管理体制を「第４ 提出会社の状況」の「４ コーポレート・ガバナンスの状況等」に記載のとおり整備し、当社グループではこれらの事業等のリスクを最小化するとともに、これらを機会として活かすための様々な対応や取組を行っております。なお、文中の将来に関する事項は、有価証券報告書提出日現在において当社グループが判断したものであります。 ① 個人消費動向に影響を受ける可能性当社グループは基本的に日本国内に事業基盤を持つ会社によって構成されており、主たる事業であるドラッグストアは個人消費に大きく依存する事業であり、グループ全体の業績が大きく影響を受ける可能性があります。コロナ禍にあった2020年以降は、新型コロナウイルス感染症対策商品等がグループ全体の業績に対して影響を受けました。当社グループは、「調剤併設」「カウンセリング営業」「深夜営業」「介護」の４つの軸からなるウエルシアモデルという差別化を図ったドラッグストアを展開してまいりました。今後、このウエルシアモデルをさらに発展させるべく、中期経営計画（2023年３月～2026年２月）において2030年のありたい姿として「地域Ｎｏ.１の健康ステーション」の実現を掲げました。健康ステーションとは、地域のお客様の美しく楽しく健康な生活をサポートするコミュニティとして、そこで働くスタッフが「未病・予防・治療・介護」のプロとしてお客様に今まで以上に信頼される存在となることを目指すものであります。こうした取り組みを通じて、当社グループはいかなる環境下においても耐えうるよう、企業としてのレジリエンスを高めてまいります。② 自然災害等の事業継続に支障が生じる事象について 当社グループは、ドラッグストア事業を中心に、日本国内においては営業拠点を45都道府県に2,812店舗（2024年２月末現在）を展開しており、パート社員、アルバイトを含め、約６万人の従業員が業務に従事しております。このように、当社グループは広域にわたり様々なリソースに基づいて事業展開を行っており、万一、事業展開上において必要人員の不足事態が生じた場合、事業継続が困難になることが想定されます。例えば、ⅰ）多数の当社グループ従業員（特にテレワークができない店舗従業員）が感染症のパンデミックにより出社不能となる場合、ⅱ）当社グループの本社、店舗設備が利用不能となるような自然災害等（地震、台風による水害等）が発生した場合、ⅲ）サイバー攻撃を受け、システム障害が発生し、通常業務の遂行が困難になる場合等が想定されます。当社グループでは、上記のように業務運営に必要となる従業員、設備・施設、さらに基幹システム等のIT基盤の各種リソースが利用困難になった場合を基本パターンとして類型化し、事業継続計画（BCP）を想定しております。さらにこれらの基本パターンに地震等の自然災害やその他のシナリオを準備し、基本パターンと複数のシナリオを組み合わせて、毎期、異なるシナリオに基づき、防災訓練をグループ内で実施しております。③  業務上関係する法令諸規則等の改正について当社グループは、「医薬品、医療機器等の品質、有効性及び安全性の確保等に関する法律」（以下、医薬品医療機器等法）上の医薬品を販売するにあたり、各都道府県等の許可・登録・指定・免許及び届出を必要としております。また、酒類、たばこ、食品等の販売についても、食品衛生法等それぞれの関係法令に基づき、所轄官公庁の許可・免許・登録等を必要としております。関係法令諸規則等の改正等により、当社の業績に影響を及ぼす可能性があります。当社グループは、法令諸規則等の改正に対して計画的かつ効率的に準備対応できるよう、グループで横断的なコンプライアンス体制の強化に努めております。④  薬剤師及び登録販売者の確保について薬局及び医薬品販売業では、医薬品医療機器等法により店舗ごとに薬剤師または登録販売者の配置が義務づけられており、調剤業務に関しては薬剤師が行わなければなりません。薬剤師及び登録販売者の確保は業界全体の課題であり、計画どおり確保できない場合は、当社の業務運営及び今後の出店計画にも影響を及ぼす可能性があります。また、労働人口減少の影響により採用手法が大きく変化していることから、これまで行ってきた職種別の採用体制を改め新卒採用チームとキャリア採用チームに分け、それぞれの特徴に合わせた採用活動を行うことといたしました。さらに採用後の定着率向上のため、各種のリテンションプランの充実を図っております。政府が進める働き方改革に則り、必要に応じて人事制度について継続的な見直しを図っております。⑤ 薬価基準及び調剤報酬の改定について当社グループは、調剤併設のウエルシアモデルを推進することにより、地域社会に貢献する生活のプラットフォームとなる専門総合店舗の実現に努めております。調剤売上は、薬剤収入と調剤技術に係る収入から構成されており、これらは健康保険法に定められた、公定価格である薬価基準及び調剤報酬の点数をもとに算出されております。薬価基準等の改定は定期的に実施されていくため、薬価基準等の改定は与件として事業展開を進めておりますが、改定の内容によって、当社グループの業績に影響を及ぼす可能性があります。当社グループは、適正な人員配置や機械化等による対物業務の効率化、薬剤師による対人業務の充実のための教育等、対応を進めております。⑥ Ｍ＆Ａに伴うのれん等の処理について当社グループはＭ＆Ａを行う際に対象会社の財務内容や収益力等について、詳細なデューデリジェンスを行い、買収価格の決定、のれんの計上を行っております。対象会社の業績が悪化し、のれん計上時に作成した事業計画と著しい乖離が発生した場合、減損処理を行う必要が生じ、これによって当社グループの業績に影響を及ぼす可能性があります。また、そのような状況下においては、当社において関係会社株式として計上している対象会社の株式についても、のれんと同様に減損処理の必要が生じる可能性があります。なお、2024年２月期末におけるのれんの残高は32,547百万円であります。当社グループにおいては、各グループ会社がそれぞれの事業計画を達成すべく、当社は親会社として事業機会の拡大・経営効率の向上に資するような支援を各グループ会社に対し行っております。⑦  店舗出店政策について当社グループは2024年２月期よりスタートした中期計画（最終年度：2026年２月期）においてグループ全体で年間約100店舗以上の新規出店を計画しております。一方で、予期せぬ商圏の変化等により、一部の店舗の収益性に変化があった場合、さらには閉店を余儀なくされた場合は、固定資産の減損処理が必要となる場合があります。その場合、特別損失が計上され、当社の業績に影響を及ぼす可能性があります。当社グループは当初計画との乖離が生じた場合の原因分析、出店基準を見直す等、計画からの乖離の最小化を図っております。⑧  調剤過誤について当社グループは調剤併設のウエルシアモデルを推進することにより、地域社会に貢献する生活のプラットフォームとなる専門総合店舗の実現に努めており、グループ全体の2024年２月期末の国内の調剤併設店舗数は2,155店舗、薬剤師数は8,184名となっております。調剤業務においては、死亡事故につながる調剤過誤は発生しておりませんが、万一、そのような事故が発生した場合、グループ全体のレピュテーションが毀損し、影響を及ぼす可能性があります。当社グループの調剤業務においては、深刻な事故は些細なミスの先にあるというヒヤリ・ハットの考え方のもと、どのような小さなミスも漏れなく報告を求める安全管理体制を構築しております。グループ全体で共有すべき事象があれば、発生事象に対する原因分析に基づく再発防止に向けた研修を実施する等、細心の注意を払いながら業務を行っております。⑨  個人情報管理について当社グループにおいて、ⅰ）WAON POINTサービスやVポイントサービスの提供に伴うお客様の情報、ⅱ）調剤薬局における患者様の情報、ⅲ）化粧品カウンセリング等におけるお客様の情報、ⅳ）ECサイトシステムにおいて管理しているお客様の情報等の個人情報を扱っており、個人情報を適切に管理する事を社会的責務と考えております。万一これらの情報が何らかの形で外部に流出、漏洩した場合、情報流出の規模、状況次第ではグループの業務運営に深刻な影響を及ぼす可能性があります。情報漏洩防止のための対策として、関係諸規程を整備し関係する従業員へのマニュアル・社内教育を行うとともに、ネットワークシステムでの対策、従業員を狙った外部からの詐欺的なメールに対応するため、グループを挙げて大規模な抜き打ちの訓練を実施しております。⑩  従業員の法令違反等について当社グループは調剤併設のドラッグストア事業を中心に事業展開していることから、販売する商品群は様々な法令に基づいており、故意ではなくとも業務の習熟度に起因する人為的ミスとして、法令違反等を起こしてしまう可能性があります。そうした事案の発生した状況によっては、企業としての管理責任を問われ、グループ全体のレピュテーションを毀損し、当社の業績に影響を及ぼす可能性があります。当社グループは、従業員への教育・研修のための業務マニュアルの整備に加え、動画コンテンツの採用による理解の深耕や、コンプライアンス通報窓口の設置により、法令違反を未然に防止する仕組みを構築しております。⑪ 医薬品の販売規制緩和について改正薬事法で解禁された一般用医薬品のインターネット販売（2014年施行）の市場規模は、化粧品を含めて継続的に拡大しております。このような規制緩和による一般小売店での医薬品販売の自由化が進み、異業種からの参入により競合相手が増え、競争が激化した場合には、当社の業績に影響が出る可能性があります。当社グループは、一般医薬品の販売に限らず、薬剤師、登録販売者、管理栄養士、調剤事務員及び化粧品担当者等の専門人材によるカウンセリング営業をウエルシアモデルの４つの柱のうちの一つとし展開しており、差別化を図っております。⑫ グループ会社における内部統制の実効性確保の問題について当社グループはドラッグストア事業を行うグループ会社を中心に、国内外の十数社により構成されております。当社グループ入りにあたり、会社法及び金融商品取引法で求められる内部統制の体制整備について、当社は親会社として各社を指導・支援するとともに、その後の各社の運用状況についても管理・監督しております。しかしながら、どれだけグループ内の内部統制の体制整備及びその運用に努めたとしても、思わぬ事故や不祥事案が発生する可能性があります。当社は各グループ会社へ取締役、監査役を派遣し、各社に対する親会社としてのガバナンスに注力してまいりました。また当社グループリスク管理委員会等を通じたモニタリングや、当社監査役や内部監査室等による監査の実施によってグループ内の内部統制の実効性確保に努めてまいります。
経営者による財政状態、経営成績及びキャッシュ・フローの状況の分析	 ４ 【経営者による財政状態、経営成績及びキャッシュ・フローの状況の分析】当連結会計年度における当社グループの財政状態、経営成績及びキャッシュ・フロー（以下、「経営成績等」という。）の状況の概要並びに経営者の視点による当社グループの経営成績等の状況に関する認識及び分析・検討内容は次のとおりであります。　なお、文中の将来に関する事項は、当連結会計年度末において判断したものであります。 (1)　経営成績の分析当連結会計年度（2023年３月１日～2024年２月29日）においては、新型コロナウイルス感染症の分類が５類感染症へ移行したことに加え、雇用・所得環境の改善や海外からの渡航者の増加により、個人消費にも持ち直しの動きがみられ、景気は緩やかに回復しております。一方で物価上昇や世界的な金融引き締めに伴う影響及び中国経済の先行き懸念など海外景気の下振れが国内経済の景気を下押しするリスクとなる等、景気の先行きは依然として不透明な状況にあります。当社グループが主に事業を行うドラッグストア業界におきましては、依然として競合企業との出店地をめぐる競争、同業大手のＭ＆Ａによる規模拡大、業種・業態を越えた顧客サービスの拡充等、競争が激化しております。商品動向の面では、新型コロナウイルス感染症対策関連商品や検査キットに対する需要は、感染縮小とともに減少いたしましたが、一方で各国の行動規制緩和を受けたインバウンド需要には回復が見られております。このような状況において、当社グループは、お客様のニーズに対応する商品販売、サービスの提供に努め、物販部門においては総合感冒薬等の医薬品や、外出需要の増加を背景にした化粧品の売上増加とともに、プライベートブランドの開発及び拡販に注力しました。しかし、マスクや検査キット等の新型コロナウイルス感染症により伸長した商品については反動減もありました。調剤部門においては、調剤併設店舗数の増加（当連結会計年度末2,159店舗）や受診控えの解消により、処方箋受付枚数が増加しました。また、今期から導入した「WAON POINT」サービスに伴い、当社のポイント会員であるウエルシアメンバーは順調に会員数を増やし、当連結会計年度末で1,072万人となっております。引き続きポイントカード・アプリの利用率向上を通じた集客施策強化を図ってまいります。販売費及び一般管理費については、積極的な従業員の処遇改善に対応した人件費や、ポイントプログラムの変更に伴う広告宣伝費等は増加しましたが、人時数の適正化に向けた継続的な取組み、自働発注などの店舗業務の効率化へ注力し適正化に努めました。当社グループは2030年のありたい姿として「地域Ｎｏ.１の健康ステーション」の実現を目指しており、その実現に向けこれからも取り組んでおり、その一環として地域社会へ安心・安全を提供するインフラ機能を担うべく、移動販売車「うえたん号」を運行し、当連結会計年度末で17台が稼働しています。高齢化の進む山間の地区を巡回し、日々のお買い物にお困りの高齢者の生活支援を目指しています。 当社グループの経営指標の進捗状況につきましては、以下のとおりです。区　　分実　績計　画計画増減前期実績前期増減出店数　　　　　　　   (店舗数)102122△20140△38閉店数　　　　　　　　 (店舗数)40382364子会社化等　　　　　　 (店舗数)－－－191△191期末店舗　　　　　　　 (店舗数)2,8252,847△222,76362期末調剤併設店舗(国内) (店舗数)2,1552,182△272,019136改装実施店舗(国内)　　 (店舗数)81101△205724既存店売上高伸長率　　    (％)3.23.9△0.73.8△0.6売上高販管費率　　　　    (％)26.827.1△0.326.50.3  区　　分実　績前期実績前期増減期末薬剤師人数　　　　　  (名)8,1847,706478期末登録販売者人数　　　  (名)19,23718,586651    以上の結果、当連結会計年度の業績につきましては以下のとおりになりました。（単位：百万円）区　　分実　績計　画計画比(％)前期実績前期比(％)売上高1,217,3391,230,00099.01,144,278106.4営業利益43,23148,00090.145,63594.7経常利益47,75652,50091.052,14991.6親会社株主に帰属する当期純利益26,45128,00094.527,03097.9 なお、当社グループは、医薬品・調剤・化粧品等を中心とした小売事業の単一セグメントであるため、セグメントに関連づけた記載はしておりません。 1）店舗の出店・閉店状況 （単位：店） 前期末店舗数(2023年２月28日)出店閉店当期末店舗数(2024年２月29日)ウエルシア薬局2,14576222,199コクミン15664158ププレひまわり134－1133丸大サクラヰ薬局966－102シミズ薬品685271クスリのマルエ603657ふく薬品251125よどや25－－25フレンチ3－12ＭＡＳＡＹＡ391－40国　内　計2,75198372,812Welcia-BHG(Singapore)124313合　　計2,763102402,825 (注)　上表の「当期末店舗数」のうち調剤取扱店舗は、ウエルシア薬局1,913店舗、コクミン63店舗、ププレひまわり30店舗、丸大サクラヰ薬局46店舗、シミズ薬品49店舗、クスリのマルエ32店舗、ふく薬品10店舗、よどや12店舗及びWelcia-BHG(Singapore)４店舗の合計2,159店舗となっております。 2）仕入及び販売の実績当社グループは、医薬品・調剤・化粧品等を中心とした小売事業の単一セグメントであるため、従来通り、仕入実績については品目別に、販売実績については地域別、品目別及び単位当たりの売上状況を示しております。① 仕入実績当連結会計年度における仕入実績を品目別に示すと、次のとおりであります。品目金額(百万円)前期比(％)  医薬品139,01897.9化粧品130,919106.1家庭用雑貨121,506105.5食品224,333107.7その他79,839101.8物販計695,617104.2調剤159,821113.9合計855,439105.9   ② 販売実績当連結会計年度における販売実績を地域別、品目別及び単位当たりの売上状況に示すと、次のとおりであります。(a) 地域別売上高地域金額(百万円)前期比(％)北海道2,118170.5東北68,789105.0関東615,546104.9中部238,511104.5近畿200,767111.5中国52,76099.6四国21,891105.7九州・沖縄13,833237.1海外3,119120.2合計1,217,339106.4  (b) 品目別売上高品目金額(百万円)前期比(％)  医薬品231,84199.3化粧品191,032108.2家庭用雑貨167,269105.5食品275,422108.5その他93,629101.5物販計959,195104.8調剤256,889112.6小計1,216,084106.4　手数料収入1,25497.0合計1,217,339106.4  (c) 単位当たりの売上状況項目金額売上高1,217,339百万円１㎡当たり売上高売場面積（平均）1,938,387㎡１㎡当たり期間売上高628千円１人当たり売上高従業員数（平均）41,699名１人当たり期間売上高29,193千円 (注)　従業員数は、臨時従業員（１日８時間換算）を含めて表示しております。  （2） 財政状態の分析（資産）流動資産は、前連結会計年度末と比較して16,904百万円増加し、259,601百万円となりました。これは主に、現金及び預金が2,320百万円減少したものの、売掛金が8,920百万円、商品が8,257百万円増加したことによるものであります。固定資産は、前連結会計年度末と比較して2,406百万円減少し、292,258百万円となりました。これは主に、建物及び構築物（純額）が839百万円、差入保証金が919百万円、繰延税金資産が1,451百万円増加したものの、リース資産（純額）が2,753百万円、のれんが3,934百万円減少したことによるものであります。この結果、総資産は前連結会計年度末と比較して14,497百万円増加し、551,860百万円となりました。（負債）流動負債は、前連結会計年度末と比較して5,847百万円増加し、222,481百万円となりました。これは主に、未払法人税等が5,059百万円減少したものの、買掛金が6,682百万円、短期借入金が878百万円、未払金が2,075百万円増加したことによるものであります。固定負債は、前連結会計年度末と比較して3,332百万円減少し、85,011百万円となりました。これは主に、資産除去債務が383百万円及び退職給付に係る負債が682百万円増加したものの、長期借入金が2,263百万円、リース債務が1,899百万円減少したことによるものであります。この結果、負債合計は前連結会計年度末と比較して2,515百万円増加し、307,492百万円となりました。(純資産）純資産は、前連結会計年度末と比較して11,982百万円増加し、244,367百万円となりました。これは主に、剰余金の配当により利益剰余金が6,918百万円減少、株式給付信託（従業員持株会処分型）を再導入したことなどによる自己株式の増加により7,858百万円減少したものの、親会社株主に帰属する当期純利益26,451百万円を計上したことによるものであります。この結果、自己資本比率は1.0ポイント上昇し、43.0％となりました。 （3） キャッシュ・フローの状況当連結会計年度における現金及び現金同等物（以下「資金」という。）の期末残高は、前連結会計年度末に比べ2,242百万円減少し、30,065百万円となりました。当連結会計年度における各キャッシュ・フローの状況とそれらの要因は、次のとおりであります。 （営業活動によるキャッシュ・フロー）営業活動の結果得られた資金は46,529百万円となりました。これは主に、税金等調整前当期純利益40,333百万円に対して、収入の主な内訳は非資金費用である減価償却費20,808百万円、減損損失7,136百万円及び仕入債務の増加額6,646百万円であり、支出の主な内訳は売上債権の増加額8,905百万円、棚卸資産の増加額8,416百万円及び法人税等の支払額21,392百万円があったことによるものであります。（投資活動によるキャッシュ・フロー）投資活動の結果使用した資金は22,028百万円となりました。これは主に、有形固定資産の取得による支出14,874百万円、無形固定資産の取得による支出3,484百万円及び敷金の差入による支出3,924百万円があったことによるものであります。（財務活動によるキャッシュ・フロー）財務活動の結果使用した資金は26,812百万円となりました。これは主に、長期借入れによる収入9,843百万円、配当金の支払額6,912百万円、長期借入金の返済11,057百万円、ファイナンス・リース債務の返済による支出10,950百万円及び自己株式の取得による支出9,699百万円があったことによるものであります。  （資本の財源及び資金の流動性について）当社グループの資本の財源及び資金の流動性につきましては、主に営業活動により得られた資金を新規出店に係る設備投資等に充当しておりますが、Ｍ＆Ａ等の資金需要に対応する場合等は、円滑な事業活動に必要なレベルの流動性の確保及び財務の健全性・安定性を維持するため、銀行等から借入等を行う方針であります。資金調達を行う際は、期間や国内外の市場金利動向等、また自己資本比率、負債資本倍率や自己資本利益率といった財務指標への影響度等を総合的に勘案しながら、当社グループにとっての最適な調達を実施します。 （4） 重要な会計上の見積り及び当該見積りに用いた仮定当社グループの連結財務諸表は、我が国において一般に公正妥当と認められている会計基準に基づき作成されております。この連結財務諸表の作成にあたり、見積り及び見積りに用いる仮定が必要となります。当社グループは退職給付に係る債務、繰延税金資産及びのれんを含む固定資産の減損等に対して継続して評価を行っております。これらの見積り及び見積りに用いる仮定については過去の実績や事業計画等により合理的に判断しておりますが、不確実性が伴うため実際の結果と異なる場合があります。詳細につきましては、「第５ 経理の状況　１ 連結財務諸表等　(1) 連結財務諸表　注記事項」に記載しております。 
経営上の重要な契約等	５ 【経営上の重要な契約等】㈱ツルハホールディングス及びイオン㈱との資本業務提携契約の締結㈱ツルハホールディングス、当社及び当社の親会社であるイオン㈱は、資本業務提携契約を2024年２月28日に締結いたしました。詳細は「第５　経理の状況　１　連結財務諸表等　(1) 連結財務諸表　注記事項　（追加情報）　(㈱ツルハホールディングス及びイオン㈱の資本業務提携契約の締結)　」に記載のとおりであります。 
研究開発活動	６ 【研究開発活動】該当事項はありません。 
設備投資等の概要	１ 【設備投資等の概要】当連結会計年度の設備投資については102店舗を新規出店したほか、既存店につきましても店舗改装を行いました。その結果、当連結会計年度の設備投資の総額（差入保証金を含む。）は、22,282百万円となりました。なお、当連結会計年度において重要な設備の除却、売却はありません。また、当社グループは、医薬品・調剤・化粧品等を中心とした小売事業の単一セグメントであるため、セグメントに関連付けた記載はしておりません。　
主要な設備の状況	２ 【主要な設備の状況】(1)　提出会社2024年２月29日現在事業所名（所在地）設備の内容帳簿価額(百万円)従業員数(名)建物及び構築物器具備品土地(面積㎡)リース資産ソフトウエアその他合計本社(東京都千代田区)本社機能01－－30－3241〔－〕 (注) 従業員数の〔　〕内は、臨時従業員の年間平均雇用人員（１日８時間換算）であり、外数表示しております。 (2)　国内子会社2024年２月29日現在会社名事業所名（所在地）設備の内容帳簿価額(百万円)従業員数(名)建物及び構築物器具備品土地(面積㎡)リース資産その他合計ウエルシア薬局㈱本部(東京都千代田区）本社機能3430－－－64965〔96〕営業所(静岡県他)事務業務904187(1,224)0－283284〔7〕東北地方計98店舗店舗5,284119－1,33046,739433〔867〕関東地方計1,096店舗店舗33,3051,4886,516(69,207)17,2554458,6115,693〔12,499〕中部地方計561店舗店舗23,4987282,134(38,694)9,3463435,7432,450 〔5,555〕近畿地方計355店舗店舗18,6244301,335(7,857)4,557424,9521,794〔3,219〕中国地方計53店舗店舗1,96042338(5,051)64002,982219〔259〕四国地方計22店舗店舗7292583(1,476)46001,29887〔85〕九州地方計14店舗店舗86966－379－1,31566〔95〕売電事業静岡県他太陽光発電設備8－－86321893－〔－〕その他－85251874(27,074)10,1461611,941－〔－〕ウエルシア介護サービス㈱本部(茨城県つくば市)本社機能00－－0016〔10〕茨城県他介護施設1303272(2,498)－－405236〔146〕シミズ薬品㈱本部(京都府京都市)本社機能35144(367)408712〔3〕京都府71店舗店舗4,06088207(1,068)768－5,124364〔642〕㈱丸大サクラヰ薬局本部(青森県青森市)本社機能00－1201244〔10〕青森県他102店舗店舗7,4811381,497(48,608)559－9,676419〔744〕  会社名事業所名（所在地）設備の内容帳簿価額(百万円)従業員数(名)建物及び構築物器具備品土地(面積㎡)リース資産その他合計㈱ＭＡＳＡＹＡ本部(岡山県岡山市他）本社機能7035（212)－－435〔－〕岡山県他40店舗店舗240301－－－541180〔5〕㈱よどや本部(高知県高知市)本社機能01319(3,812)5032730〔7〕高知県25店舗店舗1,22826883(9,796)249－2,387130〔234〕㈱クスリのマルエ本部(群馬県前橋市)本社機能270－103073〔4〕群馬県他57店舗店舗1,28387211(6,552)32901,911282〔95〕㈱ププレひまわり本部(広島県福山市）本社機能9624－－0120127〔18〕広島県他133店舗店舗6,079650714(11,049)564－8,008443〔1,040〕㈱コクミン本部(大阪府大阪市）本社機能155221,412(971)001,59174〔14〕大阪府他158店舗店舗1,6154603,483(4,652)－－5,560624〔623〕㈱フレンチ大阪府2店舗店舗－－－－－－2〔6〕㈱ふく薬品本部(沖縄県那覇市）本社機能42－20914〔0〕沖縄県25店舗店舗1323677(643)182042988〔130〕 (注)１　従業員数の〔　〕内は、臨時従業員の年間平均雇用人員（１日８時間換算）であり、外数表示しております。２　設備の種類別の帳簿価額のうちその他は、機械装置及び車輌運搬具の合計額であります。 (3)　在外子会社2024年２月29日現在会社名所在地設備の内容帳簿価額(百万円)従業員数(名)建物及び構築物器具備品土地(面積㎡)リース資産その他合計Welcia-BHG (Singapore)Pte. Ltd. シンガポール共和国店舗設備及び事務所9595－746－93791〔－〕 (注)　従業員数の〔　〕内は、臨時従業員の年間平均雇用人員（１日８時間換算）であり、外数表示しております。 
株式の総数	①  【株式の総数】種類発行可能株式総数(株)普通株式494,947,200計494,947,200  
発行済株式、株式の総数等	②  【発行済株式】種類事業年度末現在発行数(株)(2024年２月29日)提出日現在発行数(株)(2024年５月29日)上場金融商品取引所名又は登録認可金融商品取引業協会名内容普通株式209,656,076209,677,676東京証券取引所プライム市場単元株式数は100株であります。計209,656,076209,677,676－－ (注) １　当事業年度の末日後、2024年４月30日までの間に新株予約権の行使により、発行済株式の総数が21,600株増加しております。２　提出日現在発行数には、2024年５月１日からこの有価証券報告書提出日までの新株予約権の行使により発行された株式数は、含まれておりません。
