項目	値
事業の内容	３【事業の内容】当社グループは、当社及び子会社７社並びに関連会社２社により構成されており、ワンルームマンション（主に単身者向けに賃貸に供される投資型マンション）、及びファミリーマンション（家族での使用を想定したマンション）の企画開発と販売を主たる事業としております。その主な事業内容及び事業の位置付けは次のとおりであります。なお、次の事業は「第５ 経理の状況　１ 連結財務諸表等（1）連結財務諸表　注記事項」に掲げるセグメントの区分と同一であります。(1) 不動産販売事業当社グループは、主に関西エリア・東海エリア・関東エリア・沖縄エリアにおいて事業を展開しており、当社は主にマンションの企画開発とワンルームマンションの販売を、連結子会社である株式会社プレサンス住販は、当社のファミリーマンションの販売代理及び戸建の企画開発と販売を、株式会社プレサンスリアルタは、中古物件の仲介・買取・販売を、三立プレコン株式会社は東海エリアにてファミリーマンションの企画開発と販売を行っております。なお、当社が販売を行っているワンルームマンションは個人顧客に対して販売を行うものと、不動産販売業者等に販売を行うものが含まれております。(2) その他事業当社は、ワンルームマンションの賃貸管理事業（入居者の斡旋及び家賃の集金代行）、及び賃貸事業（当社所有マンションの賃貸等）を、連結子会社である株式会社プレサンスコミュニティは、当社が分譲したマンションの建物管理（管理組合の会計事務等の受託）、及び損害保険代理事業を、株式会社トライストはマンションの大規模修繕工事等の建設業を、株式会社プレサンスギャランティは賃貸マンションの家賃等債務保証業（入居者の家賃等債務の連帯保証）を行っております。  
経営方針、経営環境及び対処すべき課題等	１【経営方針、経営環境及び対処すべき課題等】当社グループの経営方針、経営環境及び対処すべき課題等は、以下のとおりであります。なお、文中の将来に関する事項は、当連結会計年度末現在において当社グループが判断したものであります。 （1）経営方針当社グループは、以下の経営方針に沿って、持続的な企業価値の向上に取り組んでおります。・価値ある住まいを提供し、お客様と末長い信頼関係を築きます。・働きがいと誇りを持てる職場をつくり、誠実さと創意工夫を大切にする人材を育てます。 （2）経営戦略等当社グループは、近畿圏、東海・中京圏、首都圏及び沖縄を含む地方中核都市の都心部を中心とした事業エリアで経営資源を集中して、投資型ワンルームマンション及びファミリーマンション事業に経営基盤を拡充し、持続的な収益向上に努めてまいります。人口が減少傾向にある一方、都市生活の利便性を求めて都心部の世帯数等が増加する傾向にあります。投資型ワンルームマンションの分譲につきましては、単独世帯数が増加傾向にあること、不動産投資が資産運用商品として市場に定着していること等から、需要は堅調に推移するものと考えております。ファミリーマンションの分譲につきましては、政府による住宅取得支援制度も継続実施されており、都心及びその周辺部のファミリーマンションに対する需要は、堅調に推移するものと考えております。今後も変化する顧客ニーズへの的確な対応に努め、事業規模の拡大を図ってまいります。さらに、親会社の株式会社オープンハウスグループ及びそのグループ会社との事業シナジーにより首都圏でのマンション事業の拡大を図ってまいります。また、中古マンション事業及び戸建住宅事業の拡大を目指しております。その他の賃貸管理事業、賃貸事業、及び建物管理事業等につきましても、事業規模を拡大することで、継続的かつ安定的な収益の確保を図ってまいります。 （3）経営環境当社グループが属する不動産業界の経営環境は、高水準の不動産投資への需要や、住宅購買意欲を刺激する住宅取得支援制度の継続等により、緩やかではあるものの回復基調が続いておりました。住居系不動産への需要は、相対的に堅調に推移すると見込まれておりますが、国内外の経済及び市場の先行きに不透明さも残る環境にあると認識しております。 （4）優先的に対処すべき事業上及び財務上の課題当社グループが属する不動産業界の経営環境は、住宅取得支援制度の継続的な実施等、住宅購買意欲を刺激する要因が存在することから、安定して推移すると考えております。このような経営環境のなか、当社グループの対処すべき課題は、以下のとおりであります。①　コーポレート・ガバナンスの強化当社グループは、中長期的な業績向上及び企業価値向上のためにコーポレート・ガバナンスの強化が非常に重要な課題であると認識しております。当社グループにおいても、取締役会を含む重要な会議体のあり方及び意思決定方法について見直しや、社外取締役が職務執行の監督を行うに必要十分な体制を構築することを目的とした環境整備を行い、コーポレート・ガバナンス体制の改革を進めております。②　コンプライアンス体制の強化当社グループは、コンプライアンス体制の強化が非常に重要な課題であると認識しております。そのため、社内での研修等を通じたコンプライアンス意識の定着を図るとともに、内部通報制度及び外部通報制度の整備による問題の早期発見・解決に向けた取り組みを行っております。③　親会社である株式会社オープンハウスグループとのシナジー効果の発揮株式会社オープンハウスグループが当社グループの親会社であります。地域補完及び商品補完関係の構築等を目指し、両者の経営資源や経営ノウハウを融合することによる事業シナジーを発現させることを図ってまいります。④　財務体質の強化事業用地の取得については金融機関からの借入金により賄っており、業容の拡大に伴い有利子負債が増える傾向にあります。利益の蓄積のほか、さまざまな資金調達手法を活用し、財務体質の強化を図ってまいります。 ⑤　優秀な人材の確保当社グループは順調に事業規模を拡大しておりますが、業容の拡大に伴い必要となる人員も増加してきております。営業職だけでなく、管理部門も含めた各業務分野において優秀な人材の確保が急務となっております。新卒を対象とした定期採用に加え、即戦力として期待できる中途採用も積極的に行って、優秀な人材の確保に努めてまいります。 
事業等のリスク	３【事業等のリスク】当社グループの経営成績及び財政状態に影響を及ぼす可能性のあるリスクには、以下のようなものがあります。なお、文中における将来に関する事項は、本書の提出日現在において当社グループが判断したものであります。(1) 事業体制について①　コーポレート・ガバナンス及び内部管理体制について当社グループは、中長期的な業績向上及び企業価値向上のためにコーポレート・ガバナンス及び内部管理体制の強化が非常に重要な課題であると認識しております。当社グループにおいても、コーポレート・ガバナンス及び内部管理体制の改善・充実に努めておりますが、改善が不十分であったり、進捗が思わしくない場合には、当社グループの経営成績及び財政状態に重要な影響を及ぼす可能性があります。②　人材の確保・育成について当社グループの今後の事業展開には優秀な人材の確保及び人材の育成が重要課題であると考えております。そのために当社グループでは「定期採用」に関しては出身校や学業成績にとらわれることなく、面接を中心とした選考により行動力に富む意欲ある明るい人材を、「中途採用」では即戦力として活躍できる優秀な人材の採用に努めております。また「人材育成」では、新入社員研修や管理職研修等の外部研修や専門家を招きプロフェッショナル育成研修を実施して、会社の将来を担う人材の育成に力を注いでおります。しかしながら、当社グループが想定している以上の退職者があった場合や、事業展開に伴う人材確保・育成が順調に進まなかった場合には、当社グループの経営成績や財政状態に影響を及ぼす可能性があります。③　引渡時期による業績変動について当社グループの主力事業である不動産販売事業はマンションの売買契約成立時ではなく顧客への引渡しをもって売上を計上しております。そのため、四半期ごとに当社グループの業績を見た場合、マンションの引渡時期に伴い、業績に偏重が生じる傾向があります。また、天災やその他予想し得ない事態の発生による建築工事の遅延や、不測の事態の発生による引渡しの遅延があった場合には、当社グループの業績が変動する可能性があります。④　個人情報について当社グループは、マンションを購入もしくは検討された顧客の個人情報を有しております。その個人情報管理につきましては、その取扱いに細心の注意を払っておりますが、不測の事態により個人情報が外部に流出する事態が発生した場合には、当社グループの社会的信用の失墜及び企業イメージの低下等により、当社グループの経営成績や財政状態に影響を及ぼす可能性があります。 (2) 法的規制について当社グループの属する不動産業界は、国土利用計画法、土地基本法、都市計画法、宅地建物取引業法、建築基準法、建設業法、住宅の品質確保の促進等に関する法律、マンションの管理の適正化の推進に関する法律等により規制を受けております。また当社グループの主要事業においては、事業活動に際して、以下の免許、許認可等を得ております。現在、当該免許及び許認可等が取消となる事由は発生しておりませんが、今後、何らかの理由によりこれらの免許、登録、許可の取消し等があった場合には、当社グループの主要な事業活動に支障をきたすとともに重大な影響を与える可能性があります。  許認可等の名称会社名許認可番号等／有効期間規制法令免許取消条項等宅地建物取引業者免許㈱プレサンスコーポレーション国土交通大臣(4)第7042号2020年５月24日～2025年５月23日宅地建物取引業法第５条、第66条等㈱プレサンス住販国土交通大臣(3)第8061号2020年11月17日～2025年11月16日㈱プレサンスリアルタ大阪府知事(3)第57039号2023年５月17日～2028年５月16日三立プレコン㈱愛知県知事(7)第17302号2022年６月28日～2027年６月27日㈱プレサンスホームデザイン国土交通大臣(1)第010501号2023年８月29日～2028年８月28日マンションの管理の適正化の推進に関する法律に基づくマンション管理業者登録㈱プレサンスコミュニティ国土交通大臣(4)第062618号2019年４月15日～2024年４月14日マンションの管理の適正化の推進に関する法律第47条、第83条等三立プレコン㈱国土交通大臣(3)第053636号2020年３月17日～2025年３月16日特定建設業許可（建築工事業、大工工事業、左官工事業、とび・土木工事業、石工事業、屋根工事業、電気工事業、タイル・れんが・ブロック工事業、鋼構造物工事業、鉄筋工事業、板金工事業、ガラス工事業、塗装工事業、防水工事業、内装仕上工事業、熱絶縁工事業、建具工事業、解体工事業）㈱トライスト大阪府知事許可　(特-2)第141622号2020年７月31日～2025年７月30日建設業法第29条特定建設業許可（建築工事業）三立プレコン㈱愛知県知事許可　(特-2)第013045号2020年８月９日～2025年８月８日また近年は、首都圏・近畿圏において、ワンルームマンションに対する指導・規制の強化の動きが見られます。当社は、当該指導・規制への対応を図っておりますが、この指導・規制の動きが拡大・波及した場合には、当社グループの経営成績や財政状態に影響を及ぼす可能性があります。(3) 訴訟の可能性について当社グループが企画開発、販売するマンションについては、当該不動産に係る瑕疵等に起因する訴訟、その他請求が行われる可能性があります。これら訴訟及び請求の内容及び結果によっては、当社グループの経営成績や財政状態に影響を及ぼす可能性があります。 (4) 当社グループの経営成績及び財政状態に影響を与えるその他事項について①　投資用マンション販売事業について当社グループが企画開発・販売するマンションは、主として資産運用を目的として購入されますが、一般的にマンションによる資産運用（いわゆるマンション経営）には、入居率の悪化や家賃相場の下落による賃貸収入の低下、金利上昇による借入金返済負担の増加等収支の悪化につながる様々な投資リスクが内在します。当社はこれらの投資リスクについて、十分説明を行い顧客に理解していただいた上で売買契約を締結するよう営業部員の教育を徹底しております。また販売後は、当社では入居者募集・集金代行等を行い、連結子会社である株式会社プレサンスコミュニティでは建物管理を行うことで一貫したサービスを提供しており、顧客の長期的かつ安定的なマンション経営を全面的にサポートし、空室の発生や資産価値下落等の投資リスク低減に努めております。しかしながら、営業部員の説明不足等が原因で、顧客が投資リスクに対する理解が不十分なままマンションを購入したこと等により訴訟等が発生した場合、当社グループの信頼が損なわれることにつながり、当社グループの経営成績や財政状態に影響を及ぼす可能性があります。また、経済・社会情勢の変化により、入居率の悪化や家賃相場の大幅な下落、急激な金利上昇等が発生した場合、顧客のマンション経営に支障をきたす可能性があります。その場合、購入者の購買意欲の低下につながり当社グループの経営成績や財政状態にも影響を及ぼす可能性があります。特に金利上昇については、金融機関のローンを利用する顧客も比較的多いため、借入金返済負担の増加による収支の悪化をもたらすことから、購入者の購買意欲に重要な影響を及ぼす可能性があります。 ②　仕入コストについて当社グループは、都心部の物件を中心に開発用地を仕入れております。一般に開発用地は不動産仲介業者を介して売買されますので、当社グループは日頃から不動産仲介業者との友好的な関係づくりを行い、積極的に不動産情報を収集することで、物件の情報入手と売主に対する物件の価格交渉時の低価格交渉を可能にしております。また一方では、地価の上昇、競争入札制度の普及等による他社との競合等により仕入コストが上昇し、当社グループが開発用地を計画どおりに取得できなかった場合や当該上昇分を販売価格へ転嫁できなかった場合には、当社グループの経営成績や財政状態に影響を及ぼす可能性があります。 ③　建築コストについて当社グループの不動産販売事業におきましては、建築工事を外注しております。当社グループにおいて、建築コストは仕入コストとともに売上原価の主要項目であり、建築資材の価格や建築工事にかかる人件費が想定を上回って上昇した場合、工事中の事故や外注先の倒産等の予期せぬ事象が発生した場合には、当社グループの経営成績や財政状態に影響を及ぼす可能性があります。 ④　営業エリアについて当社グループは、主に関西エリア・東海エリア・関東エリア・沖縄エリアにおいてワンルームマンション及びファミリーマンションの企画開発と販売を事業として展開しております。今後、当社グループの営業エリアであるこれら都市においてマンションの販売環境が悪化した場合には、当社グループの経営成績や財政状態に影響を及ぼす可能性があります。⑤　金融環境の変化について当社グループは、マンション開発用地の取得資金等を主として金融機関からの借入により調達しております。このため将来の金融環境の変化によっては、金利変動の影響等を受ける可能性があり、当社グループの経営成績や財政状態に影響を及ぼす可能性があります。⑥　不動産市況について当社グループの主力事業である不動産販売事業は、各種不動産関連法規の改廃、景気変動、金利動向及び住宅税制やその他の税制等の影響を受けやすいため、景気見通しの悪化や大幅な金利の上昇、税制の変更、マンション企画開発用地の価格変動等が発生した場合には、購入者の購買意欲の低下につながり、当社グループの経営成績に重要な影響を及ぼす可能性があります。⑦　棚卸資産の評価について当社グループは、プロジェクトごとに一定の利益を見込んだ事業計画を策定しておりますが、販売の長期化やプロジェクトの計画変更等を起因として、当初の見込みよりも収益性が低下し、棚卸資産評価損が発生する可能性があり、当社グループの経営成績に重要な影響を及ぼす可能性があります。 
経営者による財政状態、経営成績及びキャッシュ・フローの状況の分析	４【経営者による財政状態、経営成績及びキャッシュ・フローの状況の分析】(1) 経営成績等の状況の概要当連結会計年度における当社グループの財政状態、経営成績及びキャッシュ・フロー（以下、「経営成績等」という。）の状況の概要は次のとおりであります。①　財政状態及び経営成績の状況当連結会計年度における我が国経済は、緩やかに回復しています。先行きについては、雇用・所得環境が改善する下で、各種政策の効果もあって、緩やかな回復が続くことが期待されます。一方で、物価上昇、原材料価格の上昇、金融資本市場の変動等の影響に十分注意する必要があります。当社グループが属する不動産業界におきましては、都心部の土地代及び建築費の上昇等に留意する必要があるものの、住宅ローン金利が低い水準で推移していること、住宅ローン減税制度等の住宅取得支援策が継続して実施されていること等から、景況はおおむね横ばいで推移いたしました。また、当社の主要供給エリアである都市中心部では、生活の利便性等を求めて世帯数等が増加するエリアがあり、分譲マンションの需要は底堅く推移いたしました。このような環境の下、当社は、主要販売エリアの近畿圏、東海・中京圏、首都圏及び沖縄を含む地方中核都市において、中心部の選別した場所での分譲マンションの供給に注力してまいりました。これらの結果、当連結会計年度の業績は、売上高161,311百万円（前年同期比11.1％増）、営業利益25,529百万円（同23.6％増）、経常利益25,322百万円（同21.7％増）、親会社株主に帰属する当期純利益17,511百万円（同24.1％増）となりました。 セグメントの経営成績は次のとおりであります。ａ．不動産販売事業不動産販売事業におきましては、ファミリーマンション「プレサンスグランシリーズ」のプレサンスグラン福島（総戸数 112戸）やワンルームマンション「プレサンスシリーズ」のプレサンス名駅南エディフィス（総戸数 140戸）等の販売が順調に推移いたしました。その結果、ワンルームマンション売上高62,561百万円（3,549戸）、ファミリーマンション売上高70,503百万円（1,830戸）、戸建販売売上高8,890百万円（218戸）、中古マンション売上高9,548百万円（615戸）、その他不動産販売売上高381百万円、不動産販売附帯事業売上高1,474百万円となり、不動産販売事業の合計売上高は153,359百万円（前年同期比11.0％増）、セグメント利益は24,764百万円（同24.8％増）となりました。ｂ．その他事業その他事業におきましては、家賃保証に伴う受取家賃収入が増加したこと等から、その他事業の売上高は7,951百万円（前年同期比11.9％増）、セグメント利益は1,958百万円（同7.8％増）となりました。 ②　キャッシュ・フローの状況当連結会計年度末における現金及び現金同等物（以下、「資金」という）は、前連結会計年度末と比べ3,488百万円増加し、106,932百万円（前期末比3.4％増）となりました。当連結会計年度における各キャッシュ・フローの状況とそれらの要因は次のとおりであります。ａ．営業活動によるキャッシュ・フロー営業活動の結果、増加した資金は11,810百万円（前年同期は19,875百万円の増加）となりました。これは主に、開発用地を取得したこと等から棚卸資産が15,140百万円増加したこと、法人税等を3,555百万円支払ったことにより資金が減少したのに対して、仕入債務が4,025百万円増加したこと、税金等調整前当期純利益が25,322百万円あったこと等により資金が増加したためであります。ｂ．投資活動によるキャッシュ・フロー投資活動の結果、減少した資金は4,605百万円（前年同期は2,658百万円の増加）となりました。これは主に、固定資産の取得により4,782百万円資金が減少したためであります。ｃ．財務活動によるキャッシュ・フロー財務活動の結果、減少した資金は3,715百万円（前年同期は19,014百万円の減少）となりました。これは主に、金融機関からの借入金が純額で1,632百万円減少したこと及び配当金を2,609百万円支払ったことにより資金が減少したためであります。 ③　生産、受注及び販売の実績ａ．生産実績　該当事項はありません。ｂ．受注実績　当連結会計年度の契約実績をセグメントごとに示すと、次のとおりであります。セグメントの名称区分契約高契約残高数量（戸）前年同期比（％）金額（百万円）前年同期比（％）数量（戸）前年同期比（％）金額（百万円）前年同期比（％）不動産販売事業ワンルームマンション3,00984.558,11394.71,95078.334,02787.0ファミリーマンション1,56196.661,60494.394477.938,79879.8戸建販売226124.29,045121.933132.01,287102.6中古マンション586112.59,341125.74862.378766.5その他不動産販売2100.017726.93150.014742.1不動産販売事業計5,38491.6138,28297.32,97878.275,04982.9（注）１．本表におきまして「受注高」は「契約高」と読み替えております。２．上記の金額には、追加工事の金額も含まれております。３．契約高及び契約残高については、計画変更等により数量（戸）が変動する可能性があります。４．その他不動産販売とは、商業用店舗、開発用地等の住宅以外の不動産の販売であります。５．その他不動産販売の契約高及び契約残高は、商業用店舗及び開発用地等に関するものであります。６．その他事業セグメントについては、該当事項はありません。 ｃ．販売実績　当連結会計年度の販売（引渡）実績をセグメントごとに示すと、次のとおりであります。セグメントの名称区分数量（戸）前年同期比（％）金額（百万円）前年同期比（％）不動産販売事業ワンルームマンション3,549117.462,561121.0ファミリーマンション1,830123.570,503110.4戸建販売218109.58,890110.8中古マンション615126.39,548138.5その他不動産販売1100.03815.8不動産販売附帯事業－－1,474147.6不動産販売事業計6,213119.7153,359111.0その他事業－－7,951111.9合計6,213119.7161,311111.1（注）１．上記の金額には、追加工事の金額も含まれております。２．その他不動産販売とは、商業用店舗、開発用地等の住宅以外の不動産の販売であります。３．不動産販売附帯事業とは、床コーティング等引渡後オプション工事、及び不動産売買の仲介手数料等であります。４．その他不動産販売の売上高は、商業用店舗及び開発用地等に関するものであります。 (2) 経営者の視点による経営成績等の状況に関する分析・検討内容経営者の視点による当社グループの経営成績等の状況に関する認識及び分析・検討内容は次のとおりであります。なお、文中における将来に関する事項は、本書の提出日現在において当社グループが判断したものであります。①　財政状態及び経営成績の状況に関する認識及び分析・検討内容当社グループの当連結会計年度の財政状態及び経営成績は、以下のとおりであります。ａ．財政状態の分析（流動資産）当連結会計年度末における流動資産は、前連結会計年度末に比べて15,164百万円増加し、248,889百万円（前期末比6.5％増）となりました。その主な要因は、還付金が入金されたことにより未収消費税等が1,876百万円減少したのに対して、棚卸資産が13,803百万円、現金及び預金が3,488百万円増加したことであります。（固定資産）当連結会計年度末における固定資産は、前連結会計年度末に比べて5,785百万円増加し、23,430百万円（前期末比32.8％増）となりました。その主な要因は、自社保有物件の取得等により賃貸不動産が6,421百万円増加したことであります。（負債）当連結会計年度末における負債は、前連結会計年度末に比べて5,451百万円増加し、96,052百万円（前期末比6.0％増）となりました。その主な要因は、金融機関からの借入金が1,632百万円減少したのに対し、未払法人税等が3,527百万円、電子記録債務が2,974百万円増加したことであります。（純資産）当連結会計年度末における純資産は、前連結会計年度末に比べて15,498百万円増加し、176,266百万円（前期末比9.6％増）となりました。その主な要因は、親会社株主に帰属する当期純利益の計上等に伴い利益剰余金が14,899百万円増加したことであります。 ｂ．経営成績の分析（売上高）当連結会計年度の売上高につきましては、ワンルームマンション及びファミリーマンションの引渡しが多かったため、161,311百万円となりました。（販売費及び一般管理費）販売費及び一般管理費につきましては、人件費が増加したこと等により16,599百万円となりました。（営業外損益）営業外収益につきましては、違約金収入が110百万円、持分法による投資利益が72百万円、受取手数料が54百万円となったこと等により、417百万円となりました。営業外費用につきましては、支払利息が515百万円及び固定資産除却損が82百万円となったこと等から、624百万円となりました。以上の結果、親会社株主に帰属する当期純利益は、17,511百万円となりました。ｃ．経営成績に重要な影響を与える要因として、以下のものがあります。当社グループの主力事業である不動産販売事業は、各種不動産関連法規の改廃、景気変動、金利動向及び住宅税制やその他の税制等の影響を受けやすいため、景気見通しの悪化や大幅な金利の上昇、税制の変更、マンション企画開発用地の価格変動等が発生した場合には、購入者の購買意欲の低下につながり、当社グループの経営成績に重要な影響を及ぼす可能性があります。 ②　キャッシュ・フローの状況の分析・検討内容並びに資本の財源及び資金の流動性に係る情報当社グループの当連結会計年度のキャッシュ・フローにつきましては、「(1) 経営成績等の状況の概要　② キャッシュ・フローの状況」に記載のとおりであります。当社グループの資本の財源及び資金の流動性については、以下のとおりであります。当社グループの資金需要の主なものは不動産販売事業における用地取得費用であり、その調達手段は主として銀行からの借入金によっております。用地取得費用以外の運転資金につきましては、自己資金で対応することを原則とし、金融費用を低減するよう努めております。銀行借入金による資金調達の実施にあたっては、調達時期、条件について最も有利な手段を選択するべく検討することとしております。 ③　重要な会計上の見積り及び当該見積りに用いた仮定連結財務諸表の作成に当たって用いた会計上の見積り及び当該見積りに用いた仮定のうち、重要なものについては、「第５　経理の状況　１連結財務諸表等　(1) 連結財務諸表　注記事項（重要な会計上の見積り）」に記載のとおりであります。 ④　経営者の問題意識と今後の方針について当社グループは、投資型ワンルームマンション・ファミリーマンションの分譲を柱として経営基盤を拡充し、安定した収益の向上に努めてまいります。投資型ワンルームマンションの分譲につきましては、不安定な経済情勢等から派生した年金問題、都心部の人口や世帯数が増加する傾向にあるといった社会的側面があること、比較的リスクが少ない資産運用の商品として市場に定着していること等から、堅調に推移するものと考えております。今後も変化する顧客のニーズに的確に対応し、収益性を重視しつつ事業規模の拡大を図ってまいります。ファミリーマンションの分譲につきましては、継続的な住宅取得支援制度の実施により、都心部の顧客ニーズに合致したマンションに対する需要は、堅調に推移しておりますので、今後も三大都市圏を中心にファミリーマンション供給戸数の増加を図ってまいります。また、その他の賃貸管理事業、賃貸事業、及び建物管理事業等につきましては、今後も事業規模を拡大し、継続的かつ安定的な収益の確保を図ってまいります。 
経営上の重要な契約等	５【経営上の重要な契約等】該当事項はありません。 
研究開発活動	６【研究開発活動】該当事項はありません。 
設備投資等の概要	１【設備投資等の概要】当連結会計年度において、重要な設備投資は実施しておりません。なお、保有目的の変更により、販売用不動産97百万円及び仕掛販売用不動産2,294百万円を賃貸不動産に、賃貸不動産66百万円を販売用不動産に振替えております。 
主要な設備の状況	２【主要な設備の状況】　当社グループにおける主要な設備は、次のとおりであります。(1) 提出会社2023年９月30日現在 事業所名(所在地)セグメントの名称設備の内容帳簿価額（百万円）従業員数（人）建物土地(面積㎡)賃貸不動産その他合計本社(大阪市中央区)不動産販売事業その他事業及び共通本社事務所15－(－)－3147233大阪支店（大阪市中央区）不動産販売事業支店事務所11－(－)－11252名古屋支店（名古屋市東区）不動産販売事業支店事務所47－(－)－196687東京支店（東京都中央区）不動産販売事業支店事務所10－(－)－51518プレサンス京町堀ノース（大阪市西区）その他事業賃貸不動産－－(－)1,073－1,073－プレサンス心斎橋ニスト（大阪市中央区）その他事業賃貸不動産－－(－)890－890－プレサンス丸の内フォート（名古屋市中区）その他事業賃貸不動産－－(－)1,200－1,200－プレサンス高津公園ディオ（大阪市中央区）その他事業賃貸不動産－－(－)955－955－プレサンス谷町キャトル（大阪市中央区）その他事業賃貸不動産－－(－)780－780－プレサンス梅田東ベータ（大阪市北区）その他事業賃貸不動産－－(－)435－435－プレサンス福島ミッドエル（大阪市福島区）その他事業賃貸不動産－－(－)1,772－1,772－プレサンス立売堀ベルヴィル（大阪市西区）その他事業賃貸不動産－－(－)1,284－1,284－プレサンス兵庫駅前（神戸市兵庫区）その他事業賃貸不動産－－(－)1,011－1,011－プレサンス兵庫ヴィアーレ（神戸市兵庫区）その他事業賃貸不動産－－(－)1,999－1,999－  事業所名(所在地)セグメントの名称設備の内容帳簿価額（百万円）従業員数（人）建物土地(面積㎡)賃貸不動産その他合計スプランディッドⅥ（大阪市淀川区）その他事業賃貸不動産－－(－)1,608－1,608－プレサンス今池駅前フェルディノ（名古屋市千種区）その他事業賃貸不動産－－(－)2,263－2,263－アークグラン大阪ｗｅｓｔ（大阪市西淀川区）その他事業賃貸不動産－－(－)473－473－（注）１．帳簿価額のうち「その他」は、「構築物」、「車両運搬具」及び「工具、器具及び備品」であります。２．上記の他、主要な賃借設備として、以下のものがあります。事業所（所在地）セグメントの名称設備の内容年間賃借料（百万円）本社（大阪市中央区）不動産販売事業、その他事業及び共通本社事務所（賃借）139大阪支店（大阪市中央区）その他事業支店事務所（賃借）21名古屋支店（名古屋市東区）不動産販売事業支店事務所（賃借）66東京支店（東京都中央区）不動産販売事業支店事務所（賃借）24 (2) 国内子会社2023年９月30日現在 会社名事業所名(所在地)セグメントの名称設備の内容帳簿価額（百万円）従業員数（人）建物土地(面積㎡)賃貸不動産その他合計㈱プレサンス住販本社他(大阪市中央区他)不動産販売事業本社事務所他28－(－)－1241219㈱プレサンスリアルタワンルームマンション397戸(大阪市中央区他)不動産販売事業賃貸不動産－－(－)4,87204,873－三立プレコン㈱本社他(愛知県岡崎市他)不動産販売事業本社事務所モデルルーム111177(1,199)－329247（注）１．帳簿価額のうち「その他」は、「構築物」、「車両運搬具」及び「工具、器具及び備品」であります。２．上記の他、主要な賃借設備として、以下のものがあります。会社名事業所（所在地）セグメントの名称設備の内容年間賃借料（百万円）㈱プレサンス住販本社（大阪市中央区）不動産販売事業本社事務所（賃借）22
株式の総数	① 【株式の総数】種類発行可能株式総数（株）普通株式192,000,000計192,000,000
発行済株式、株式の総数等	② 【発行済株式】種類事業年度末現在発行数（株）（2023年９月30日）提出日現在発行数（株）（2023年12月18日）上場金融商品取引所名又は登録認可金融商品取引業協会名内容普通株式69,564,19669,613,196東京証券取引所スタンダード市場単元株式数100株計69,564,19669,613,196－－（注）「提出日現在発行数」欄には、2023年12月１日からこの有価証券報告書提出日までの新株予約権の行使により発行された株式数は含まれておりません。
