項目	値
事業の内容	２【事業の内容】　当第３四半期連結累計期間において、当社グループ（当社及び当社の関係会社）が営む事業の内容について、重要な変更はありません。　また、主要な関係会社の異動については、以下のとおりであります。(1)フランチャイズ事業 主要な関係会社の異動はありません。(2)ハウス・リースバック事業 主要な関係会社の異動はありません。(3)不動産金融事業 主要な関係会社の異動はありません。(4)不動産売買事業 主要な関係会社の異動はありません。(5)不動産流通事業 主要な関係会社の異動はありません。(6)リフォーム事業 主要な関係会社の異動はありません。(7)その他事業 2019年２月20日付で、合弁会社H-DO(THAILAND)Co.,Ltd.を設立し、持分法適用の範囲に含めております。
経営方針、経営環境及び対処すべき課題等	
事業等のリスク	
経営者による財政状態、経営成績及びキャッシュ・フローの状況の分析	
経営上の重要な契約等	３【経営上の重要な契約等】　当第３四半期連結会計期間において締結した経営上の重要な契約は、次のとおりであります。 １. タイ王国における合弁会社設立に関する合弁事業契約締結について　当社は、2019年１月10日開催の取締役会において、タイ王国での中古住宅リノベーション及びサービサー事業、フランチャイズ事業等を展開するため、同国で不動産開発会社及び住宅金融会社等をグループ会社に持つ「Capital Link Holding Limited」（以下CL社）、CL社グループの住宅金融会社である「Capital Link Credit Foncier Limited」、不動産売買仲介を営む「Realty One Estate (Thailand) Co., Ltd.」、及びM&amp;A・合弁組成アドバイザリーファーム「Kusumoto Chavalit &amp; Partners Ltd.」との共同出資により、H-DO(THAILAND)Co.,Ltd.を設立することについて決議し、2019年１月25日付で合弁事業契約を締結、また2019年２月20日付で同法人を設立いたしました。 (１） 設立の目的　H-DO(THAILAND)Co.,Ltd.はアジアでの事業展開の足掛かりとなる当社初の海外関連会社であり、経済成長とともに不動産市場の伸長が期待されるタイ王国にて、当社が国内で培ってきた不動産流通に関するノウハウの活用と不動産市場開拓及び活性化に貢献し、同国内500店舗のフランチャイズ展開を目指します。 （２） 合弁会社の概要名称H-DO(THAILAND)Co.,Ltd.代表者代表取締役 畦﨑 弘之（株式会社ハウスドゥ取締役）代表取締役 Kriangkrai Siravanichkan（Capital Link Holding Limited 代表者）所在地35 Soi Sathorn 9 South Sathorn Road, Yannawa, Sathorn, Bangkok, 10120, Thailand設立年月日2019年２月20日事業内容中古住宅リノベーション、サービサー事業、フランチャイズ事業等決算期３月31日資本金1,000,000タイバーツ（約350万円、1タイバーツ=3.5円）（73,000,000タイバーツ（約2億5,550万円）へ増資予定）株主構成株式会社ハウスドゥ                     48.0％Capital Link Holding Limited           38.0％Capital Link Credit Foncier Limited    10.0％Realty One Estate (Thailand) Co.,Ltd.  2.0％Kusumoto Chavalit &amp; Partners Ltd.      2.0％ ２. 「ハウス・リースバック」資産の流動化・資金調達に関する業務委託契約締結について　当社は、2019年２月28日開催の取締役会において、オリックス銀行株式会社をアレンジャーとして、住みながらその家を売却できるサービス「ハウス・リースバック」にて取得した個人住宅などの不動産を流動化し、ファンドであるHLB２号合同会社（以下HLB２号）に当該信託受益権を譲渡することについて決議し、2019年３月１日付で譲渡が完了いたしました。 (１) 譲渡の目的　当社は、安定的な収益確保と持続的な成長を図るため、「ハウス・リースバック」の取扱い件数増加およびエリア拡大に努めており、取得した個人住宅などの資産を流動化することで、さらなる収益拡大を図るとともに、保有資産の効率的活用及び財務の健全化につながります。（２） 譲渡資産（信託受益権）の概要対象不動産概要首都圏・中部圏・近畿圏の戸建住宅および区分所有建物平均・戸当り10百万円～30百万円対象不動産件数181件譲渡価格2,687百万円帳簿価格2,032百万円アレンジャーオリックス銀行株式会社 （３） HLB２号合同会社の概要名称HLB2号合同会社所在地東京都千代田区霞が関三丁目２番５号事業内容不動産信託受益権の取得、保有及び処分当社との関係（資本関係）匿名組合出資として１億34百万円出資しております。（人的関係）特記すべき事項はござません。（取引関係）特記すべき事項はござません。 ３. 不動産金融事業における金融機関との提携について当第３四半期連結会計期間において、下記のとおり金融機関と提携いたしました。契約会社名相手方の名称契約業務契約締結日契約内容株式会社フィナンシャルドゥ神奈川銀行債務保証業務2019年１月31日リバースモーゲージ「かなぎんリバースモーゲージローンⅡ」に対する債務保証業務株式会社フィナンシャルドゥ大阪信用金庫債務保証業務2019年３月11日不動産担保付事業者ローン「悠々自適ビジネスローン」に対する債務保証業務株式会社フィナンシャルドゥ尾西信用金庫債務保証業務2019年３月28日リバースモーゲージ「びしんリバースモーゲージ」に対する債務保証業務株式会社フィナンシャルドゥ足立成和信用金庫債務保証業務2019年３月28日リバースモーゲージ「千秋万歳」に対する債務保証業務
研究開発活動	
設備投資等の概要	
主要な設備の状況	
株式の総数	①【株式の総数】種類発行可能株式総数（株）普通株式25,000,000計25,000,000
発行済株式、株式の総数等	②【発行済株式】種類第３四半期会計期間末現在発行数（株）（2019年３月31日）提出日現在発行数（株）（2019年５月14日）上場金融商品取引所名又は登録認可金融商品取引業協会名内容普通株式19,420,80019,421,600東京証券取引所市場第一部単元株式数　100株計19,420,80019,421,600－－(注)「提出日現在発行数」欄には、2019年５月１日からこの四半期報告書提出日までの新株予約権の行使により発行された株式数は含まれておりません。 
