項目	値
事業の内容	２【事業の内容】　当第２四半期連結累計期間において、当社グループ（当社及び連結子会社）が営む事業の内容について、重要な変更はありません。なお、当第２四半期連結会計期間より、2021年２月に子会社化した令和エンジニアリング株式会社を連結の範囲に含めております。　なお、第１四半期連結会計期間より報告セグメントの区分を変更しております。詳細は、「第４ 経理の状況 １四半期連結財務諸表 注記事項（セグメント情報等）」に記載のとおりであります。 各セグメント別に展開している事業は以下のとおりです。セグメント名事業内容会社名（当社及び連結子会社）ビジネスソリューションサービスセルフストレージ賃料債務保証付ＢＰＯ（申込受付・審査、滞納管理、入金管理等）サービスセルフストレージ在庫管理・オンライン決済システム等の提供㈱パルマターンキーソリューションサービスセルフストレージ施設の企画・開発・販売・賃貸運用㈱パルマ令和エンジニアリング㈱  
経営方針、経営環境及び対処すべき課題等	
事業等のリスク	１【事業等のリスク】　当第２四半期連結累計期間において、新たな事業等のリスクの発生、または、前事業年度の有価証券報告書に記載した事業等のリスクについての重要な変更はありません。  
経営者による財政状態、経営成績及びキャッシュ・フローの状況の分析	２【経営者による財政状態、経営成績及びキャッシュ・フローの状況の分析】　文中の将来に関する事項は、当四半期連結会計期間の末日現在において判断したものであります。　また、当社は、令和エンジニアリング株式会社の株式を取得し、連結の範囲に含めたため当第２四半期連結会計期間より四半期連結財務諸表を作成しておりますので、前年同四半期連結累計期間及び前連結会計年度末との比較分析は行っておりません。　なお、みなし取得日を2021年３月31日としており、当第２四半期連結会計期間においては、貸借対照表のみを連結し、当第２四半期連結累計期間に係る四半期連結損益計算書及び四半期連結包括利益計算書に同社の業績は含まれておりません。 (1) 経営成績の状況　2021年２月にマンション・商業施設・セルフストレージ等さまざまなプロジェクトの設計監理・施工事業を展開する令和エンジニアリング株式会社を子会社化したことにより、当第２四半期連結会計期間より、連結決算を開始しております。　当第２四半期連結累計期間は、2021年１月７日に発出された「緊急事態宣言」下での事業活動となりましたが、セルフストレージ利用動向やセルフストレージ施設投資開発環境に影響は見られず、期初の計画・施策に沿って各事業を進めてまいりました。　当第２四半期連結累計期間の業績は、売上高は1,489,484千円となりました。損益面では、営業利益は23,872千円、経常利益は18,945千円、親会社株主に帰属する四半期純利益は9,273千円となりました。セグメントの経営成績は以下のとおりであります。　なお、第１四半期連結会計期間より、従来の単一セグメントから、「ビジネスソリューションサービス」と「ターンキーソリューションサービス」セグメントに、区分を変更しております。（ビジネスソリューションサービス）　当サービスはセルフストレージ事業者向けに賃料債務保証を付加したアウトソーシングサービスやセルフストレージ運営効率化のためのＩＴシステム開発・運用を行っております。　当第２四半期連結累計期間においても、セルフストレージ利用者の増加基調を背景に、滞納保証付きアウトソーシングサービスやＷＥＢ予約決済・在庫管理システム「クラリス」の導入が堅調に推移し、当第２四半期連結会計期間末時点のサービス受託残高は92,245件（前年同期比8.1％増）と伸長しております。　以上の結果、売上高は482,798千円、営業利益は171,768千円となりました。（ターンキーソリューションサービス）　当サービスは、各種投資家やセルフストレージ事業者等の顧客向けセルフストレージ物件の開発・販売・賃貸運用を行っております。当四半期におきましては、東京圏エリアにてセルフストレージ施設開発事業量の拡大を推進し、「大田区南馬込」「世田谷区上用賀」など４物件の開発用地の新規仕入を進めました。　以上の結果、当第２四半期連結累計期間の業績は、「キーピットあざみ野」等の売却や、当社開発販売施設の安定運用化支援のためのマスターリース（一括借り上げ・空室保証・運営管理）の取組積極化により、売上高は1,006,685千円、営業損失は45,982千円となりました。 (2) 財政状態の分析①資産の部　当第２四半期連結会計期間末における総資産は4,849,046千円となりました。主な内訳は、現金及び預金2,707,253千円、販売用不動産850,542千円、仕掛販売用不動産766,896千円、求償債権244,219千円であります。②負債の部　当第２四半期連結会計期間末における負債は2,752,740千円となりました。主な内訳は、短期借入金538,000千円、１年内返済予定の長期借入金325,419千円、未払金234,078千円、前受収益120,106千円、長期借入金1,400,825千円であります。③純資産の部　当第２四半期連結会計期間末における純資産は2,096,305千円となりました。主な内訳は、資本金590,584千円、資本剰余金501,034千円、利益剰余金1,003,876千円であります。 (3) キャッシュ・フローの状況　当第２四半期連結会計期間末における現金及び現金同等物は、2,677,249千円となりました。　また、当第２四半期連結累計期間における各キャッシュ・フローの状況は以下のとおりであります。（営業活動によるキャッシュ・フロー）　営業活動の結果使用した資金は、294,090千円となりました。主な要因は、税金等調整前四半期純利益18,945千円、たな卸資産の増加額205,591千円、法人税等の支払額94,360千円であります。（投資活動によるキャッシュ・フロー）　投資活動の結果得られた資金は、40,613千円となりました。主な要因は、関係会社株式の取得による支出15,200千円、連結の範囲の変更を伴う子会社株式の取得による収入63,448千円であります。（財務活動によるキャッシュ・フロー）　財務活動の結果使用した資金は、336,570千円となりました。主な要因は、短期借入れによる収入538,000千円短期借入金の返済による支出751,300千円、長期借入れによる収入316,000千円、長期借入金の返済による支出415,347千円、配当金の支払額49,691千円であります。 (4) 経営方針・経営戦略等当第２四半期連結累計期間において、当社グループが定めている経営方針・経営成績について重要な変更はありません。 (5) 会計上の見積り及び当該見積りに用いた仮定当第２四半期連結累計期間において、前事業年度の有価証券報告書に記載した「経営者の視点による経営成績等の状況に関する分析・検討内容」中の重要な会計上の見積り及び当該見積りに用いた仮定の記載について重要な変更はありません。 (6) 財務及び事業の方針の決定を支配する者の在り方に関する基本方針当第２四半期連結累計期間において、当社グループの財務及び事業の方針の決定を支配する者の在り方に関する基本方針ついては重要な変更はありません。 (7) 優先的に対処すべき事業上及び財務上の課題当第２四半期連結累計期間において、当社グループが優先的に対処すべき事業上及び財務上の課題について重要な変更はありません。 (8) 研究開発活動該当事項はありません。  
経営上の重要な契約等	３【経営上の重要な契約等】　当第２四半期連結会計期間において、経営上の重要な契約等の決定又は締結等はありません。 
研究開発活動	
設備投資等の概要	
主要な設備の状況	
株式の総数	①【株式の総数】種類発行可能株式総数（株）普通株式16,000,000計16,000,000  
発行済株式、株式の総数等	②【発行済株式】種類第２四半期会計期間末現在発行数（株）（2021年３月31日）提出日現在発行数（株）（2021年５月14日）上場金融商品取引所名又は登録認可金融商品取引業協会名内容普通株式6,460,3856,460,385東京証券取引所（マザーズ）単元株式数は100株であります。計6,460,3856,460,385－－（注）「提出日現在発行数」欄には、2021年５月１日からこの四半期報告書提出日までの新株予約権の行使により発行された株式数は含まれておりません。 
配当政策	
コーポレート・ガバナンスの概要	
役員の状況	２【役員の状況】該当事項はありません。 
貸借対照表	
損益計算書	
キャッシュ・フロー計算書	
