項目	値
事業の内容	２【事業の内容】当第１四半期連結累計期間において、当社グループ（当社及び当社の関係会社）が営む事業の内容について、重要な変更はありません。また、主要な関係会社における異動もありません。 
経営方針、経営環境及び対処すべき課題等	
事業等のリスク	１【事業等のリスク】当第１四半期連結累計期間において、新たな事業等のリスクの発生、又は前事業年度の有価証券報告書に記載した事業等のリスクについての重要な変更はありません。 
経営者による財政状態、経営成績及びキャッシュ・フローの状況の分析	２【経営者による財政状態、経営成績及びキャッシュ・フローの状況の分析】文中の将来に関する事項は、当四半期連結会計期間の末日現在において判断したものであります。 （１）経営成績の状況当第１四半期連結累計期間におけるわが国経済は、ウィズコロナのもとで各種政策の効果も出始め、社会経済活動の正常化が進み、緩やかな景気回復の動きが見られました。一方で、ウクライナ情勢の長期化等によって物価上昇は継続しており、また、日銀が長期金利の許容変動幅を拡大したことによって、急激に進行した円安の流れに変化が生じる等、依然として先行き不透明な状況が続いております。当社グループが属する不動産業界におきましては、水際対策が大きく緩和されたことにより、海外投資家の国内不動産への投資需要は高まっていくことが予想されますが、建築資材価格及び燃料費の高騰等による不動産価格の上昇等、引き続き注意を要する状況にあります。当社グループにおきましては、このような経営環境のもと、東京23区を中心に「GENOVIA（ジェノヴィア）」シリーズの新築マンションとして、「GENOVIA green veil（ジェノヴィア グリーンヴェール）」、「GENOVIA skygarden（ジェノヴィア スカイガーデン）」及び「GENOVIA skyrun（ジェノヴィア スカイラン）」の企画・開発及び販売の拡大、顧客サポート体制の充実、広告宣伝の強化等に取り組み、当第１四半期連結累計期間においては５棟、全104戸を販売いたしました。また、仕入につきましても、９棟、731戸の仕入を行いました。以上の結果、当社グループの当第１四半期連結累計期間の売上高は2,955百万円（前年同期比61.4％増）、営業利益は53百万円（前年同期は195百万円の営業損失）、経常利益は15百万円（前年同期は238百万円の経常損失）、親会社株主に帰属する四半期純利益は３百万円（前年同期は243百万円の親会社株主に帰属する四半期純損失）となりました。 セグメント別の経営成績は、以下のとおりであります。 ①　ホールセール当第１四半期連結累計期間では、法人に対し、自社ブランド「GENOVIA」シリーズのワンルームを１棟、全21戸販売いたしました。以上の結果、売上高は491百万円（前年同期比14.9％減）、セグメント損失は８百万円（前年同期は65百万円のセグメント損失）となりました。 ②　リテールセールス当第１四半期連結累計期間では、個人投資家に対し、自社ブランド「GENOVIA」シリーズのワンルーム及びファミリータイプを５棟、全83戸販売いたしました。以上の結果、売上高は2,120百万円（前年同期比132.8％増）、セグメント利益は９百万円（前年同期は210百万円のセグメント損失）となりました。 ③　リアルエステートマネジメント当第１四半期連結累計期間では、月末入居率は毎月９割超を達成したものの、順調な販売実績の反動により、未販売住戸が減少したことから、賃料収入が減少いたしました。以上の結果、売上高は339百万円（前年同期比1.1％減）、セグメント利益は48百万円（同43.9％減）となりました。 ④　その他その他の区分は、新規上場及び上場後IR・資本政策に関するコンサルティング、不動産小口化商品販売事業Good Com Fundで構成されており、売上高は10百万円（前年同期比22.2％増）、セグメント損失は３百万円（前年同期は13百万円のセグメント損失）となりました。 （２）財政状態の状況（資産）当第１四半期連結会計期間末の総資産は、前年度末に比べ1,744百万円増加し、26,197百万円（前年度末比7.1％増）となりました。主な要因は、現金及び預金が1,517百万円減少した一方で、販売用不動産が1,138百万円、仕掛販売用不動産が1,755百万円それぞれ増加したことによるものであります。（負債）当第１四半期連結会計期間末の負債は、前年度末に比べ2,600百万円増加し、15,581百万円（前年度末比20.0％増）となりました。主な要因は、１年内返済予定の長期借入金が1,841百万円、工事未払金が1,233百万円、未払法人税等が860百万円それぞれ減少した一方で、短期借入金が3,638百万円、長期借入金が2,777百万円それぞれ増加したことによるものであります。（純資産）当第１四半期連結会計期間末の純資産は、前年度末に比べ855百万円減少し、10,616百万円（前年度末比7.5％減）となりました。主な要因は、配当の支払により利益剰余金が862百万円減少したことによるものであります。以上の結果、当第１四半期連結会計期間末における自己資本比率は40.5％となりました。（３）経営方針・経営戦略等当第１四半期連結累計期間において、当社グループが定めている経営方針・経営戦略等について重要な変更はありません。（４）経営上の目標の達成状況を判断するための客観的な指標等当第１四半期連結累計期間において、当社グループが定めている経営上の目標の達成状況を判断するための客観的な指標等について重要な変更はありません。（５）優先的に対処すべき事業上及び財務上の課題当第１四半期連結累計期間において、当社グループの優先的に対処すべき事業上及び財務上の課題について重要な変更はありません。 （６）経営成績に重要な影響を与える要因当第１四半期連結累計期間において、当社グループの経営成績に重要な影響を与える要因について重要な変更はありません。 （７）資本の財源及び資金の流動性に関する分析当第１四半期連結累計期間において、当社グループの資本の財源及び資金の流動性に関する分析について重要な変更はありません。 （８）研究開発活動該当事項はありません。
経営上の重要な契約等	３【経営上の重要な契約等】当第１四半期連結会計期間において、経営上の重要な契約等の決定又は締結等はありません。
研究開発活動	
設備投資等の概要	
主要な設備の状況	
株式の総数	①【株式の総数】種類発行可能株式総数（株）普通株式91,200,000計91,200,000
発行済株式、株式の総数等	②【発行済株式】種類第１四半期会計期間末現在発行数（株）（2023年１月31日）提出日現在発行数（株）（2023年３月15日）上場金融商品取引所名又は登録認可金融商品取引業協会名内容普通株式30,530,40030,530,400東京証券取引所プライム市場単元株式数100株計30,530,40030,530,400－－（注）「提出日現在発行数」欄には、2023年３月１日からこの四半期報告書提出日までの新株予約権の行使により発行された株式数は含まれておりません。
配当政策	
コーポレート・ガバナンスの概要	
役員の状況	２【役員の状況】該当事項はありません。
貸借対照表	
損益計算書	
キャッシュ・フロー計算書	
