項目	値
事業の内容	２【事業の内容】当第１四半期連結累計期間において、当社グループ（当社及び当社の関係会社）が営む事業の内容について、重要な変更はありません。
経営方針、経営環境及び対処すべき課題等	
事業等のリスク	１【事業等のリスク】　当第１四半期連結累計期間において、新たな事業等のリスクの発生、または、前事業年度の有価証券報告書に記載した事業等のリスクについての重要な変更はありません。 
経営者による財政状態、経営成績及びキャッシュ・フローの状況の分析	２【経営者による財政状態、経営成績及びキャッシュ・フローの状況の分析】　文中の将来に関する事項は、当四半期連結会計期間の末日現在において判断したものであります。 （1）経営成績の状況　当第１四半期連結累計期間における我が国の経済は、雇用・所得環境が改善する下で、各種政策の効果もあって、景気が持ち直していくことが期待されております。ただし、世界的な金融引締め等が続く中、海外景気の下振れが景気を下押しするリスクとなっており、物価上昇、供給面での制約、金融資本市場の変動等が当社グループに与える影響は不透明であり、今後も引き続き注視し、適切な対応を講じてまいります。　当社グループの経営環境としましては、遊休資産活用事業に主として関連する駐車場業界において、インターネットを活用した月極駐車場の紹介依頼需要は増加しており、オフィスビルや分譲マンション等における駐車場空き区画の収益化に対する需要も依然として拡大しております。さらに、従来は店舗型の不動産仲介業者にて月極駐車場を探していたユーザーが、当社が運営するポータルサイトを通じてインターネット経由で流入するケースがより増えてきております。また、サービスが多様化し、インターネットを活用した駐車場状況を提供するシステム等が普及してきております。　ビジュアライゼーション事業においては、経済活動の正常化にともない、当社グループが提供する不動産画像に対する需要は回復してきております。さらに非対面での営業ツールとして、VR技術を用いたバーチャルショップの開発・制作を行い、事業規模を拡大しております。　このような経営環境のもと将来的な収益力の強化を目的として、引き続き既存社員の育成や新規の営業人員の獲得に努め、新規案件の獲得のための積極的なアプローチを行えるような営業体制の強化に注力するとともに、ベトナム子会社（AZOOM VIETNAM INC.及びCGWORKS VIETNAM INC.）でのシステム開発・グラフィックデータ制作の体制を強化するための投資やリモート環境等の制約に関わらず営業活動を継続できるようIT面での新たな技術の開発を引き続き行ってまいります。　以上の結果、当第１四半期連結累計期間の売上高は2,387,251千円（前年同期比29.1％増）、営業利益は381,568千円（前年同期比38.7％増）、経常利益は380,956千円（前年同期比37.9％増）、親会社株主に帰属する四半期純利益は260,046千円（前年同期比40.6％増）となりました。 　セグメント別の経営成績は次のとおりであります。 ① 遊休資産活用事業　遊休資産活用事業セグメントは、当社がインターネット上で運営する月極駐車場のポータルサイト「CarParking」（以下、「カーパーキング」といいます）を経由して、駐車場の紹介を行う「月極駐車場紹介サービス」と、駐車場オーナーから空き駐車場を当社がマスターリース（一括借り上げ）し、月極駐車場としてユーザーにサブリース（貸し付け）を行う「月極駐車場サブリースサービス」を中心として事業を行っております。当第１四半期連結累計期間においては、カーパーキングを通じたインターネット経由でのユーザーの流入増加を背景に、引き続き既存社員の営業力強化やリモート環境下での営業活動推進に努め、マスターリース台数及びサブリース台数のいずれも堅調に推移し、当第１四半期連結累計期間における駐車場問い合わせ件数は57,734件となり、当第１四半期連結会計期間末におけるマスターリース台数（受託台数）は24,034台、サブリース台数（稼働台数）は22,067台となりました。あわせて、株式会社鉄壁が提供する月極駐車場特化型の賃料保証サービスの契約件数も堅調に推移しております。また、顧客による貸し会議室やジム、スタジオ等のレンタルスペースの運営をサポートするWEB予約システム「スマート空間予約」においては、広告宣伝活動の効果向上に注力した結果、システムの新規導入室数が増加しております。加えて、株式会社ダイバースは当社グループへの人材紹介を中心に事業を行っております。また、前連結会計年度より、空き家問題に対する取り組みの一環として中古住宅を取得し、収益最大化を模索しながら事業に取り組んでおります。　その結果、当第１四半期連結累計期間の売上高は2,333,275千円（前年同期比29.4％増）、セグメント利益は379,053千円（前年同期比37.6％増）となりました。 ② ビジュアライゼーション事業　ビジュアライゼーション事業セグメントは、不動産の可能性をより視覚的に伝えることを可能にするため、3DCG技術等の専門的なスキルを活用し、建物や空間の利用方法及び完成イメージをグラフィックデータとして制作し、販売するとともに、VR技術を用いて顧客の要望に応じた空間デザインのサービスを提供しております。当第１四半期連結累計期間においては、既存社員の技術力や営業力の強化に注力しつつ、多様な営業提案が可能となるように事業基盤の拡大に努めました。これにより、グラフィックデータ作成の発注元であるディスプレイ業者の景気回復と消費者行動のオンライン化に伴うVR技術の普及を背景に、事業規模は拡大しております。　その結果、当第１四半期連結累計期間の売上高は53,975千円（前年同期比17.9％増）、セグメント利益は2,515千円（前年同期はセグメント損失445千円）となりました。 （2）財政状態の分析（資産）　当第１四半期連結会計期間末における流動資産は2,972,663千円となり前連結会計年度末に比べて84,460千円減少しております。その主な要因は、税金の納付及び配当金の支払等により現金及び預金が127,446千円減少した一方で、月極駐車場の受託台数の増加に伴い前払費用が32,267千円増加したことによるものであります。固定資産は953,364千円となり、前連結会計年度末に比べて27,455千円増加となっております。以上の結果、総資産は前連結会計年度末に比べて57,004千円減少し、3,926,028千円となっております。（負債）　当第１四半期連結会計期間末における流動負債は857,442千円となり、前連結会計年度末に比べて195,135千円減少しております。その主な要因は、税金の納付により未払法人税等が185,840千円減少したことによるものであります。固定負債は354,517千円となり、前連結会計年度末に比べて418千円減少しました。以上の結果、負債合計は前連結会計年度末と比べて195,554千円減少し、1,211,960千円となっております。（純資産）　当第１四半期連結会計期間末における純資産合計は2,714,068千円となり、前連結会計年度末に比べて138,549千円増加しております。その主な要因は、配当金の支払により利益剰余金が117,986千円減少した一方で、親会社株主に帰属する四半期純利益を260,046千円計上したことにより利益剰余金が同額増加したことによるものであり、自己資本比率は68.6％（前連結会計年度末は64.1％）となりました。 （3）経営方針・経営戦略等　当第１四半期連結累計期間において、当社グループが定めている経営方針・経営戦略等について重要な変更はありません。 （4）優先的に対処すべき事業上及び財務上の課題　当第１四半期連結累計期間において、当社グループが優先的に対処すべき事業上及び財務上の課題について重要な変更はありません。 （5）研究開発活動　該当事項はありません。 （6）重要な会計上の見積り及び当該見積りに用いた仮定　前事業年度の有価証券報告書に記載した「経営者による財政状態、経営成績及びキャッシュ・フローの状況の分析」中の重要な会計上の見積り及び当該見積りに用いた仮定の記載について重要な変更はありません。 
経営上の重要な契約等	３【経営上の重要な契約等】当第１四半期連結会計期間において、経営上の重要な契約等の決定又は締結等はありません。 
研究開発活動	
設備投資等の概要	
主要な設備の状況	
株式の総数	①【株式の総数】種類発行可能株式総数（株）普通株式19,200,000計19,200,000  
発行済株式、株式の総数等	②【発行済株式】種類第１四半期会計期間末現在発行数（株）（2023年12月31日）提出日現在発行数（株）（2024年２月９日）上場金融商品取引所名又は登録認可金融商品取引業協会名内容普通株式6,018,0006,020,000東京証券取引所（グロース市場）完全議決権株式であり、権利内容に何ら制限のない当社における標準となる株式であります。なお、単元株式数は100株であります。計6,018,0006,020,000－－（注）提出日現在発行数には2024年２月１日からこの四半期報告書提出日までの新株予約権の行使により発行された株式数は、含まれておりません。 
配当政策	
コーポレート・ガバナンスの概要	
役員の状況	２【役員の状況】該当事項はありません。 
貸借対照表	
損益計算書	
キャッシュ・フロー計算書	
