項目	値
事業の内容	２【事業の内容】　当第２四半期連結累計期間において、当社グループ（当社及び当社の関係会社）が営む事業の内容について、重要な変更はありません。　また、主要な関係会社の異動は以下のとおりであります。 （不動産コンサルティング事業）　第１四半期連結会計期間より、以下の５社を新たに設立したことにより連結の範囲に含めております。　・霞ヶ関パートナーズ株式会社　・霞ヶ関投資顧問株式会社　・霞ヶ関アセットマネジメント株式会社　・Kasumigaseki Capital（Thailand）Co.,Ltd.　・PT.Kasumigaseki Development Indonesia 　第１四半期連結会計期間より、以下の１社を新たに株式を取得したことにより持分法適用の範囲に含めております。　・Alpha Capital Enterprises Limited 
経営方針、経営環境及び対処すべき課題等	
事業等のリスク	１【事業等のリスク】　当第２四半期連結累計期間において、新たな事業等のリスクの発生、または、前事業年度の有価証券報告書に記載した事業等のリスクについての重要な変更はありません。  
経営者による財政状態、経営成績及びキャッシュ・フローの状況の分析	２【経営者による財政状態、経営成績及びキャッシュ・フローの状況の分析】　文中の将来に関する事項は、当四半期連結会計期間の末日現在において判断したものであります。なお、当社グループは、前第２四半期連結累計期間においては四半期連結財務諸表を作成していないため、前年同四半期連結累計期間との比較分析は行っておりません。 (1）経営成績の状況　当第２四半期連結累計期間におけるわが国の経済は、政府の経済政策や日銀の金融緩和政策を背景に、企業業績の向上や雇用・所得環境の改善が進み、景気は緩やかな回復基調で推移しておりましたが、新型コロナウイルス感染症が急激な勢いで全世界へ広まっており、国内外において経済活動への影響が懸念され、先行き不透明な状況が強まっております。　当社グループの主たる事業領域である不動産市場においては、低金利により、相対的に安定した利回りを得られるわが国の不動産への投資ニーズは高く、収益性の向上等が見込まれることから、不動産コンサルティング需要は依然旺盛な状況が続いております。　ホテル市場においては、政府により「訪日外国人旅行者数を2020年に4000万人、2030年に6000万人」まで増加させる目標が掲げられており、今後も「観光立国」に向けた政府の各種政策が積極的に推進されることが見込まれます。保育関連市場においては、女性の社会進出に対する意識の変化や政府による女性の活躍推進により、共働き世帯数や女性の就業率は依然として上昇傾向にあり、保育に対する需要は引き続き高い状況にあります。また、このような需要に対応するため、政府・自治体が保育の受け皿拡大を目的に保育士確保や保育所整備の施策を進めており、2020年度末までに保育の受け皿を300万人分程度とする方針を掲げており、保育所の新設に対する需要は当面の間継続すると見込まれます。　国内再生可能エネルギー市場においては、固定価格買取制度下の買取実績及び設備認定容量が引き続き増加基調にあります。しかし、事業化される見込みの薄い多数の太陽光発電施設等の設備認定案件により送電網が押さえられ、一部地域においては新規の有望案件の事業推進が困難になる状況が生じていました。この状況を踏まえ、経済産業省において「再生可能エネルギー大量導入・次世代電力ネットワーク小委員会」が設置される等、再生可能エネルギーの大量導入に伴い顕在化し始めた系統制約や調整力確保、国民負担の軽減等の新たな課題の解決に向けた議論も本格化しています。2018年７月に閣議決定された「第５次エネルギー基本計画」において掲げられた2030年の目標（国内総発電量に占める再生可能エネルギー発電の割合を22～24％とする目標）の達成に向け、再生可能エネルギー導入に対する政府の支援姿勢は継続し、今後も、太陽光発電を中心に国内再生可能エネルギー市場はより一層拡大していく見通しです。　以上の結果、当第２四半期連結累計期間の経営成績は、売上高2,630,189千円、営業利益67,502千円、経常利益8,031千円、親会社株主に帰属する四半期純利益11,845千円となりました。 セグメント別の経営成績を示すと、次のとおりであります。①　不動産コンサルティング事業　投資用不動産の売買及び投資家に対するコンサルティング受託が、順調に推移しました。また保有しているショッピングセンターフォルテにおける、各テナントからの賃料収入を含めた結果、売上高1,704,496千円、セグメント利益157,451千円となりました。 ②　自然エネルギー事業　太陽光発電施設の開発案件の売却及び保有施設の売電収入は順調に推移しました。その結果、売上高925,692千円、セグメント利益210,678千円となりました。 　(2）財政状態に関する説明　　　　当第２四半期連結会計期間末の資産、負債及び純資産の状況は、次のとおりであります。 （資産の部）　当第２四半期連結会計期間末における資産合計は、前連結会計年度末と比較して3,138,032千円増加し、10,082,290千円となりました。　流動資産は、前連結会計年度末と比較して3,106,964千円増加し、8,901,864千円となりました。これは主に現金及び預金が1,660,104千円、販売用不動産が1,441,495千円増加したことによります。　固定資産は、前連結会計年度末と比較して31,403千円増加し、1,177,736千円となりました。これは主に自然エネルギー事業における有形固定資産について、保有目的を変更し、開発事業等支出金へ振替えたことなどにより190,905千円減少したものの、投資その他の資産が221,722千円増加したことによります。 （負債の部）　当第２四半期連結会計期間末における負債合計は、前連結会計年度末と比較して823,987千円増加し、6,211,512千円となりました。　流動負債は、前連結会計年度末と比較して90,893千円減少し、1,660,735千円となりました。これは主に短期借入金が302,663千円増加したものの、流動負債その他に含まれる未払金が376,183千円減少したことによります。　固定負債は、前連結会計年度末と比較して914,881千円増加し、4,550,776千円となりました。これは主に長期借入金が912,696千円増加したことによります。 （純資産の部）　当第２四半期連結会計期間末における純資産合計は、前連結会計年度末と比較して2,314,044千円増加し、3,870,778千円となりました。これは主に新株発行に伴い資本金及び資本剰余金がそれぞれ1,177,810千円増加したことによります。  (3）キャッシュ・フローの状況　当第２四半期連結会計期間末における現金及び現金同等物（以下「資金」という。）は、前連結会計年度末に比べ1,656,504千円増加し2,229,175千円となりました。　当第２四半期連結累計期間における各キャッシュ・フローの状況とそれらの要因は次のとおりであります。（営業活動によるキャッシュ・フロー）　営業活動によるキャッシュ・フローにつきましては、1,676,691千円の支出となりました。主な要因は、たな卸資産の増加額859,144千円及び預け金の増加額401,123千円があったことによります。 （投資活動によるキャッシュ・フロー）　投資活動によるキャッシュ・フローにつきましては、274,244千円の支出となりました。主な要因は、有形固定資産の取得による支出額61,934千円及び敷金及び保証金の差入による支出額155,956千円があったことによります。 （財務活動によるキャッシュ・フロー）　財務活動によるキャッシュ・フローにつきましては、3,603,219千円の収入となりました。主な要因は、長期借入れによる収入1,175,300千円及び株式の発行による収入2,312,006千円があったことによります。 (4）経営方針・経営戦略等　当第２四半期連結累計期間において、当社グループが定めている経営方針・経営戦略等について重要な変更はありません。 (5）事業上及び財務上の対処すべき課題　当第２四半期連結累計期間において、当社グループが対処すべき課題について重要な変更はありません。 (6）研究開発活動　該当事項はありません。 
経営上の重要な契約等	３【経営上の重要な契約等】　当第２四半期連結会計期間において、経営上の重要な契約等の決定又は締結等はありません。 
研究開発活動	
設備投資等の概要	
主要な設備の状況	
株式の総数	①【株式の総数】種類発行可能株式総数（株）普通株式9,600,000計9,600,000  
発行済株式、株式の総数等	②【発行済株式】種類第２四半期会計期間末現在発行数（株）（2020年２月29日）提出日現在発行数（株）（2020年４月13日）上場金融商品取引所名又は登録認可金融商品取引業協会名内容普通株式3,206,8003,206,800東京証券取引所マザーズ市場完全議決権株式であり、権利内容に何ら制限のない当社における標準となる株式です。なお、単元株式数は100株です。計3,206,8003,206,800－－（注）「提出日現在発行数」欄には、2020年４月１日からこの四半期報告書提出日までの新株予約権の行使により発行された株式数は含まれておりません。 
