項目	値
事業の内容	２ 【事業の内容】当第２四半期連結累計期間において、当社グループ（当社及び連結子会社）が営む事業の内容について重要な変更はありません。
経営方針、経営環境及び対処すべき課題等	
事業等のリスク	１ 【事業等のリスク】当第２四半期連結累計期間において、新たに発生した事業等のリスクはありません。なお、前事業年度の有価証券報告書に記載した事業等のリスクについて重要な変更があった事項は、次のとおりであります。 (特定人物への依存について)当社の代表取締役社長貫啓二及び取締役田中洋江は、創業者及び共同創業者として「串カツ田中」の店舗運営、メニュー開発、レシピ等に精通しており、実際の事業の推進においても重要な役割を果たしておりました。当社グループは、同氏に過度に依存しない経営体制の構築を目指し、組織の体系化、人材の育成及び強化並びに権限の委譲等組織的な事業運営に注力してきた結果、同氏が与える当社グループの経営成績及び財政状態に与える影響は軽微であると判断しております。　
経営者による財政状態、経営成績及びキャッシュ・フローの状況の分析	２ 【経営者による財政状態、経営成績及びキャッシュ・フローの状況の分析】「収益認識に関する会計基準」(企業会計基準第29号　2020年３月31日)等を当第１四半期連結会計期間の期首から適用しておりますが、これによる損益に与える影響はありません。 (1) 経営成績の状況当第２四半期連結累計期間におけるわが国経済は、新型コロナウイルス感染症の再拡大によりまん延防止等重点措置が発出されましたが、感染者数の減少に伴い３月下旬に全面解除となったことから、景気回復の動きがみられました。しかしながら、ロシアによるウクライナへの軍事侵攻や資源価格の高騰などの社会情勢不安もあり、国内における経済の見通しは依然として厳しい状況が続いております。外食産業におきましては、2021年10月に緊急事態宣言が解除されたことから、行動制限が徐々に緩和され、経済活動の緩やかな回復傾向がみられましたが、本年1月より変異株であるオミクロン株の感染が拡大したため、複数の自治体にまん延防止等重点措置の適用が決定されたことに加え、資源価格や原材料の高騰などにより営業活動に甚大な影響を受けております。このような状況のなか、当社グループは、政府及び各自治体の要請に従い、時短営業や休業、酒類提供なしでの時短営業を実施してきました。また、「全国1,000店舗体制を構築し、串カツ田中の串カツを日本を代表する食文化とする」という長期的な目標に向け、需要の高いテイクアウト、デリバリーへの対応の継続と、取り扱い店舗の拡充に取り組むとともに、自社HPサイトで2021年4月から開始した冷凍串カツのインターネット通信販売の拡充に取り組んでまいりました。さらに、新業態の非アルコールの鳥と卵の専門店「鳥玉」の出店やウィズコロナを意識した新業態の開発に着手するなど、中長期的な成長に向けた取り組みに変更はありません。 なお、当第２四半期連結累計期間は15店舗の新規出店と10店舗の退店があり、串カツ田中直営店159店舗（前事業年度末比３店舗増）、串カツ田中フランチャイズ店150店舗（前事業年度末比１店舗増）、鳥玉直営店他５店舗（前事業年度末比１店舗増）の合計314店舗となりました。以上の結果、売上高は4,879,908千円（前年同期比109.6％増）、売上総利益は3,140,160千円（同125.5％増）、販売費及び一般管理費は3,416,418千円（同30.1％増）となり、営業損失は276,257千円（前年同期は営業損失1,233,930千円）、経常利益は904,946千円（前年同期は経常損失463,061千円）、親会社株主に帰属する四半期純利益は570,138千円（前年同期は親会社株主に帰属する四半期純損失324,596千円）となりました。なお、当社グループは「飲食事業」の単一セグメントであるため、セグメント別の記載を省略しております。　 (2) 財政状態の分析当第２四半期連結会計期間末の総資産は、前連結会計年度に比べ1,034,336千円増加し、7,757,882千円となりました。これは、流動資産が852,252千円増加し、4,063,739千円となったこと及び固定資産が182,084千円増加し、3,694,142千円となったことによるものであります。流動資産の主な増減内容は、現金及び預金の増加1,224,743千円及び有価証券の減少401,748千円によるものであります。固定資産の主な増加内容は、有形固定資産の増加75,603千円及び差入保証金の増加28,920千円等によるものであります。一方、負債については、流動負債が296,095千円増加し、3,696,615千円となったこと及び固定負債が149,013千円増加し、2,294,821千円となったことにより5,991,437千円となりました。流動負債の主な増減内容は、１年内返済予定の長期借入金の増加144,464千円、未払法人税等の増加230,484千円及び未払金の減少139,345千円によるものであります。固定負債の主な増加内容は、長期借入金の増加139,608千円によるものであります。純資産については、親会社株主に帰属する四半期純利益を570,138千円計上したこと、配当金の支払いにより利益剰余金が91,052千円減少したことにより、1,766,445千円となりました。 (3) キャッシュ・フローの状況当第２四半期連結会計期間末における現金及び現金同等物（以下「資金」といいます。）の残高は、前連結会計年度末と比較し1,229,081千円増加し、2,971,114千円となりました。当第２四半期連結累計期間における各キャッシュ・フローの状況とそれらの要因は次のとおりであります。　 （営業活動によるキャッシュ・フロー）　当第２四半期連結累計期間における営業活動による資金の増加は1,253,218千円（前年同期は810,216千円の減少）となりました。これは、税金等調整前四半期純利益904,946千円、減価償却費173,228千円、未収消費税等の減少241,008千円、未払消費税等の増加149,235千円、助成金の受取額989,935千円等による資金の増加が、助成金収入1,063,817千円等による資金の減少を上回ったことによるものであります。 （投資活動におけるキャッシュ・フロー）当第２四半期連結累計期間における投資活動による資金の減少は136,666千円（前年同期は454,675千円の減少）となりました。これは、有形固定資産の取得による支出383,320千円及び貸付金による支出116,270千円等による資金の減少が、投資有価証券の売却による収入400,000千円等による資金の増加を上回ったことによるものであります。 （財務活動によるキャッシュ・フロー）当第２四半期連結累計期間における財務活動による資金の増加は112,529千円（前年同期は248,281千円の減少）となりました。これは、長期借入れによる収入1,050,000千円による資金の増加が、短期借入金の返済による支出79,998千円、長期借入金の返済による支出765,928千及び配当金の支払額91,544千円による資金の減少を上回ったことによるものであります。 
経営上の重要な契約等	３ 【経営上の重要な契約等】該当事項はありません。 
研究開発活動	
設備投資等の概要	
主要な設備の状況	
株式の総数	① 【株式の総数】 種類発行可能株式総数(株)普通株式28,800,000計28,800,000  
発行済株式、株式の総数等	② 【発行済株式】 種類第２四半期会計期間末現在発行数(株)(2022年５月31日)提出日現在発行数(株)(2022年７月15日)上場金融商品取引所名又は登録認可金融商品取引業協会名内容普通株式9,399,4809,399,480東京証券取引所（スタンダード市場）完全議決権株式であり、権利内容に何ら限定のない当社における標準となる株式であります。単元株式数は100株であります。計9,399,4809,399,480―― (注)　提出日現在発行数には、2022年７月１日からこの四半期報告書提出日までの新株予約権の行使により発行された株式数は、含まれておりません。 
