項目	値
事業の内容	 ３【事業の内容】当社グループ（当社及び連結子会社、以下同様とする）は、当社及び連結子会社である浙江川本衛生材料有限公司、ニシキ株式会社、株式会社サカキＬ＆Ｅワイズ、クロス工業株式会社、KUROSU HANAM Co.,Ltd.の６社で構成されており、衛生材料・医療用品・介護用品・安全衛生保護具等の製造販売及び医療用品・介護用品・育児用品・トイレタリー用品の仕入販売を主たる業務としております。また、当社の親会社であるエア・ウォーター株式会社は、産業ガス関連製品・商品、ケミカル関連製品・商品、医療関連製品・商品、エネルギー関連製品・商品、農業・食品関連製品・商品並びにその他の製品・商品の製造販売を行っております。当社グループのセグメントの区分ごとの事業内容は以下の通りです。 セグメント事業内容メディカル事業国内外の医療機関や施設向けに、衛生材料・医療用品・介護用品等の製造販売及び仕入販売を行っております。コンシューマ事業国内の企業及び一般消費者、産業・工業向けに、衛生材料・医療用品・介護用品・育児用品・安全衛生保護具等の製造販売及び仕入販売を行っております。  〔事業系統図〕以上に述べた事項を事業系統図によって示しますと次のとおりであります。 
経営方針、経営環境及び対処すべき課題等	１【経営方針、経営環境及び対処すべき課題等】文中の将来に関する事項は、当連結会計年度末現在において当社グループが判断したものであります。(1) 会社の経営方針当社は、経営理念において「我が社は常に進歩を求め、社会の保健衛生の向上と豊かな衣生活の充実の為、堅実な発展を続ける」と定めております。医療、介護、育児、労働をはじめとする様々なシーンにおいて、すべての世代の人が活き活きと暮らせるよう貢献することを当社の使命としたものです。このような基本的な方針のもと、「株主重視」「顧客第一主義」「品質の向上」「高付加価値製品の提供」そして「サステナビリティへの取組み推進」を重点施策事項として取り組んでおります。 (2) 経営戦略等当社グループの中長期的な経営戦略として、特に次の８点に注力してまいります。①　消費者志向消費者の安全・安心を第一と考え、使用者の視点に立った製品開発と販売体制に重点を置いた施策を全社的に実施してまいります。②　品質管理の徹底当社は、当社製品の設計・開発、生産から販売に至るまで、安全性と安定した品質が確保できるよう、医療機器の国際品質規格であるEN ISO13485:2016をベースとした品質マネジメントシステムを構築しており、第三者機関より特定の製品群及びプロセスに対し、当該品質規格適合の認証並びに欧州で流通するため必要とされるCEマークを取得しております。③　医療機関の環境変化への迅速な対応医療機関の経営改善のための施策や医薬品医療機器等法の改正等により日々変化する環境に対して販売部門、開発部門及び品質保証部門を中心とした全社的体制で迅速に対応してまいります。④　高付加価値製品の開発・育成当社のマーケティング力や医療機器製造における専門知識、そして多様な滅菌技術等の製品開発力を駆使し、医療機関や学識経験者と共同で、専門性や独自性のある高付加価値製品を開発してまいります。⑤　流通の安定強化全国の代理店及び特約店との結びつきを一層強固にすることにより、更なる流通の安定強化を図ってまいります。⑥　生産体制の効率化当社大阪工場、浙江川本衛生材料有限公司、ニシキ株式会社、株式会社サカキＬ＆Ｅワイズ、クロス工業株式会社及びKUROSU HANAM Co.,Ltd.の各工場の強みを活かしながら、グループ全体で生産体制の最適化に取り組んでまいります。⑦　サステナビリティへの取組み推進当社は、利害関係者（ステークホルダー）への公平な利益の還元及び法令の遵守（コンプライアンス）はもとより、環境保護や地域社会への貢献、人的資本への投資を拡大するなど、サステナビリティへの取組みをより一層推進してまいります。⑧　新型コロナウイルス感染症への対応新型コロナウイルス感染症につきましては、2023年５月８日より５類感染症となり、徐々に感染対策も緩和されていくと考えております。当社は感染管理製品につきまして、感染対策が緩和された後におきましても、社会の保健衛生の向上を目的として、引き続き製品開発や拡販に取り組んでまいります。また、新型コロナウイルス感染症の感染対策として従業員の働き方の見直しに取り組んでまいりましたが、今後も人的資本の社内環境整備の一環として、時差出勤やテレワークなどの取組みを継続して実施してまいります。(3) 目標とする経営指標株主の皆様からの受託資本を効率的に運用するために、自己資本利益率（ＲＯＥ）を中期的な経営指標として重視し向上に努めてまいります。現在、自己資本利益率（ＲＯＥ）は11.9％ですが、今後も継続して10％以上を維持することを目標といたします。 (4) 経営環境並びに事業上及び財務上の対処すべき課題当社グループが属する医療衛生材料業界は、新型コロナウイルス感染症拡大の影響により、感染管理製品をはじめとした医療消耗品の市場は拡大いたしました。感染管理製品につきましては、感染者数によって製品の需要に増減はあるものの、感染拡大が始まった2020年度と比較するとその需要は減少しております。また、当業界は政府による医療費適正化に向けた取組みの流れの中にあり、衛生材料を含む医療消耗品は引き続き価格競争に晒されており、加えて、原材料価格やエネルギーコストの高騰、円安に起因する輸入品価格の上昇や国際的なサプライチェーンの混乱など、厳しい事業環境が続きました。育児用品の業界におきましては、2022年の国内出生数は77万人となり、７年連続で減少するなど引き続きマーケットの縮小に直面しております。　次期、2024年３月期の見通しにつきましては、新型コロナウイルス感染症に対する感染対策も緩和されることが予想され、マスクや手指消毒剤などの感染管理製品の需要は減少すると見込んでおります。感染管理製品以外の医療衛生材料につきましては、医療費削減の流れにより、引き続き価格競争が続くものと想定されます。加えて、世界的な資源価格の高騰や円安の進行、人件費の上昇など製造コストの増加が予想され、厳しい事業環境が継続すると予想されます。　このような厳しい事業環境の中、当社は「我が社は常に進歩を求め、社会の保健衛生の向上と豊かな衣生活の充実の為、堅実な発展を続ける」という経営理念に基づき、事業拡大に取り組んでまいります。「自社製品の拡大」と「利益率の改善」を重要課題と認識し、感染管理製品や口腔ケア製品、介護用品等の積極的な販売、市場のニーズに応える新製品の開発や製造受託の拡大を図ってまいります。さらには、医療や介護、育児に関する事業を営む企業のＭ＆Ａも実施していきたいと考えております。また、中長期的な事業拡大のために人的資本の重要性を再認識し、従業員の多様性及び専門性を高める取組みや、次世代の経営幹部の育成に積極的に投資を行ってまいります。　 これらの取組みを踏まえ、次期（2024年３月期）の業績見通しは、売上高31,000,000千円（前期比2.0％増）、営業利益780,000千円（同12.7％増）、経常利益830,000千円（同0.6％増）、親会社株主に帰属する当期純利益576,000千円（同22.9％減）を見込んでおります。 
事業等のリスク	 ３ 【事業等のリスク】有価証券報告書に記載した事業の状況、経理の状況等に関する事項のうち、投資者の判断に重要な影響を及ぼす可能性があると考えられる主な事項には、以下のようなものがあります。なお、文中の将来に関する事項は、当連結会計年度末現在において当社グループが判断したものであります。また、以下の記載は、当社株式への投資に関連するリスクをすべて網羅するものではありません。(1) 特定の取引先への依存のリスク当社グループの主要な販売先である株式会社西松屋チェーンに対する売上高は、2023年３月期の売上高全体の３分の１超を占めております。また、同社向け売上高が、当社グループの売上高全体に占める割合は近年高い状態が継続しております。現在、同社との取引は安定的に推移しておりますが、同社の販売動向や同社における仕入政策の変更などにより当社のコンシューマ事業の業績及び財政状態に影響を及ぼす可能性があります。対応といたしましては、メディカル事業の売上拡大に取り組むことで全社の売上規模を拡大し、売上高に占める株式会社西松屋チェーンの売上高比率を逓減してまいります。(2) 法的規制等によるリスク当社グループは、主たる事業である衛生材料の製造販売、医療機器・器具及び医療用品の販売について、「医薬品、医療機器等の品質、有効性及び安全性の確保等に関する法律」（以下、医薬品医療機器等法）等の規制を受けております。当社グループの製造部門は医薬品医療機器等法、消防法等の規制を受けており、医薬品・医療機器の販売業についても販売拠点ごとに販売業の許可が必要で、かつ管理者の設置が義務付けられております。製品開発時の適法性の維持及び法令遵守の観点から、当社グループが開発する医療機器製品や医薬品の開発において、承認を取得するまでに長時間を要する場合があります。(3) 輸出入に関するリスク当社グループは、中近東を中心にアジア・欧米・アフリカ等の地域に輸出を行い、中国を中心に欧州・米国・アジア等から輸入を行っております。これらの輸出・輸入につきましては、各種保険契約の締結等のリスクヘッジを行っておりますが、以下の要因によって当社グループの業績及び財政状態に影響を及ぼす可能性があります。対応といたしましては、輸出・輸入を行っている国を分散するように努め、リスクを逓減してまいります。①　諸外国の法律の改正や規制の強化②　テロ・戦争の勃発や感染症の流行による社会的・経済的混乱③　地震・台風等の自然災害の発生④　為替の変動(4) 災害・天災による影響当社の工場及び物流拠点は近畿圏に集中しております。当地域内において地震等の大規模災害が発生した場合や火災その他の災害等が発生した場合は、工場の操業停止により製品が製造できない可能性や物流拠点において保管している製商品が販売不能になる可能性、顧客への製商品の配送が円滑に実施できなくなる可能性があります。このような場合、当社グループの業績及び財政状態に影響を及ぼす可能性があります。(5) 資材・原材料価格の変動リスク当社グループが使用する資材・原材料の調達価格は、原油や綿糸相場の変動の影響を受けるものがあり、調達価格の変動を販売価格に転嫁することができない場合があります。この場合、当社グループの業績及び財政状態に影響を及ぼす可能性があります。(6) 提訴に関するリスク当社グループは法令及び契約等の遵守に努めておりますが、事業を遂行していく上で訴訟提起されるリスクは常に内包しております。万一、当社グループが提訴された場合、訴訟結果によっては、当社グループの業績及び財政状態に影響を及ぼす可能性があります。(7) 新型コロナウイルス感染症の拡大リスク新型コロナウイルス感染症につきましては、５類感染症に分類されたものの、収束時期の見通しが難しく、当社グループが属する事業環境について不透明な状況であります。現在は感染管理製品の供給は安定しているものの、今後の感染拡大状況によっては、感染管理製品の原料や資材の調達が不安定となる可能性や仕入価格が上昇する可能性があります。また、各国における経済活動の制限などにより、浙江川本衛生材料有限公司及び海外輸出・輸入事業において、想定できない環境変化とその対応が必要となる可能性があります。
経営者による財政状態、経営成績及びキャッシュ・フローの状況の分析	 ４ 【経営者による財政状態、経営成績及びキャッシュ・フローの状況の分析】(1) 経営成績等の状況の概要当連結会計年度における当社グループの財政状態、経営成績及びキャッシュ・フロー（以下、「経営成績等」という。）の状況の概要は次のとおりであります。①　財政状態及び経営成績の状況当連結会計年度におけるわが国経済は、新型コロナウイルス感染症の第７波・第８波となる感染者数の増加、ロシア・ウクライナ情勢に起因する世界的な資源価格の上昇や為替相場の変動など、依然として先行きが不透明な状況が続いております。このような状況の下、当社はメディカル事業、コンシューマ事業ともに自社製品の売上高の拡大及び利益率の改善を基本方針として取り組んでまいりました。売上高は、感染管理製品や口腔ケア製品を重点的に拡販したことに加え、医療機器等の製造受託の拡大や新製品開発、Ｍ＆Ａによる事業拡大に取り組み、増収となりました。利益面では、原材料価格や光熱費等の上昇、急激な円安による輸入品価格の高騰などがあったものの、新製品の上市による利益の増加や生産効率の改善に取り組んだ結果、売上総利益率は改善いたしました。一方で、物流費や広告宣伝費の増加、Ｍ＆Ａに関する手数料などの計上により、経費は増加いたしました。また特別利益として、クロス工業株式会社の株式取得により発生した負ののれん発生益を計上しております。以上の結果、同連結会計年度の業績につきまして、売上高は30,403,907千円（前年同期比1.0％増）、営業利益は692,173千円（同6.6％減）、経常利益は824,906千円（同3.7％減）、親会社株主に帰属する当期純利益は747,405千円（同16.3％増）となりました。（メディカル事業）メディカル事業では感染管理製品や口腔ケア製品、手術関連製品の拡販及び製造受託の拡大に努めました。感染管理製品につきましては、新型コロナウイルス感染症の第７波・第８波により、販売数は堅調に推移いたしましたが、販売単価が下落している製品もあり、売上は減少いたしました。手術関連製品におきましても、新型コロナウイルス感染症の感染者数増加を受けて一部の医療機関で手術件数が減少したことにより、売上は減少しております。一方、口腔ケア製品につきましては、積極的な販売促進活動により、売上は増加いたしました。また、医療機器等の製造受託では積極的な営業活動に取り組んだ結果、売上が増加しております。利益面では、原材料価格や光熱費等の上昇に加え、円安により輸入している製品の仕入価格上昇の影響を受け、売上総利益率は減少いたしました。　以上の結果、売上高は8,520,964千円（前年同期比1.1％減）、セグメント利益は358,556千円（同7.0％減）となりました。（コンシューマ事業）コンシューマ事業では、感染管理製品をはじめとして育児用品、介護用品、口腔ケア製品、各種衛生材料及び医療用品等の幅広い製品を、大手量販店やドラッグストア、通信販売事業者などの多くの顧客に対し積極的に販売いたしました。国内卸売事業においては、特に専門店や通信販売事業者向けの売上が好調に推移しております。国内製造事業においては、新製品であるマスクの販売が好調に推移し、売上が増加いたしました。経費面では、国内卸売事業の売上増加に伴い物流費が増加しております。　以上の結果、売上高は21,882,943千円（前年同期比1.9％増）、セグメント利益は1,024,936千円（同6.0％増）となりました。当期の財政状態の概況は、次のとおりであります。当連結会計期間末の総資産は19,510,083千円、自己資本は6,646,711千円で、自己資本比率は34.1％（前連結会計年度末は34.4％）となりました。第３四半期連結会計期間において、クロス工業株式会社及び同社の子会社を連結の範囲に含めたことにより、新規連結時の影響として資産合計が2,227,614千円、負債合計が479,274千円、非支配株主持分が583,945千円増加しております。以下では、当該影響を含めて記載しております。 （資産）当連結会計期間末の総資産は19,510,083千円となり、前連結会計年度末に対して2,354,541千円増加いたしました。流動資産は14,603,550千円で、前連結会計年度末に対して1,127,249千円増加いたしました。「現金及び預金」が187,548千円増加、「受取手形及び売掛金」に「電子記録債権」を加えた売上債権が231,442千円増加、「商品及び製品」が425,242千円増加、「有価証券」が209,899千円増加したことが主な要因です。固定資産は4,906,532千円で、前連結会計年度末に対して1,227,291千円増加いたしました。「有形固定資産」が1,111,275千円増加したことが主な要因です。（負債）当連結会計期間末の負債は12,202,368千円となり、前連結会計年度末に対して1,012,097千円増加いたしました。流動負債は8,782,915千円で、前連結会計年度末に対して561,341千円増加いたしました。「短期借入金」「関係会社短期借入金」「１年内返済予定の長期借入金」を合わせた借入金が725,789千円増加した一方で、「支払手形及び買掛金」が192,299千円減少したことが主な要因です。固定負債は3,419,453千円で、前連結会計年度末に対して450,756千円増加いたしました。「長期借入金」が244,788千円増加、「その他」が190,991千円増加したことが主な要因です。（純資産）当連結会計期間末の純資産は7,307,714千円となり、前連結会計年度末に対して1,342,443千円増加いたしました。「利益剰余金」が666,268千円増加、「非支配株主持分」が602,248千円増加したことが主な要因です。②　キャッシュ・フローの状況当連結会計年度における現金及び現金同等物は、1,454,593千円と前年同期と比べ349,170千円（31.6％）の増加となりました。当連結会計年度における各キャッシュ・フローの状況とそれらの要因は、次のとおりであります。 （営業活動によるキャッシュ・フロー）営業活動によるキャッシュ・フローは174,542千円の収入となりました。これは税金等調整前当期純利益1,036,383千円あった一方で、棚卸資産の増加額が428,435千円、仕入債務の減少額が216,322千円、負ののれん発生益が214,383千円あったことが主な要因です。 （投資活動によるキャッシュ・フロー）投資活動によるキャッシュ・フローは705,300千円の支出となりました。これは連結の範囲の変更を伴う子会社株式の取得による支出が481,278千円、有形固定資産の取得による支出が209,986千円あったことが主な要因です。 （財務活動によるキャッシュ・フロー）財務活動によるキャッシュ・フローは857,618千円の収入となりました。これは短期借入金の純増額が356,000千円、長期借入れによる収入が1,491,483千円あった一方で、長期借入金の返済による支出が906,246千円あったことが主な要因です。（キャッシュ・フロー関連指標の推移） 2019年３月期2020年３月期2021年３月期2022年３月期2023年３月期自己資本比率（％）28.025.131.134.434.1時価ベースの自己資本比率(％)17.176.153.536.827.4キャッシュ・フロー対有利子負債比率（年）4.8―5.811.335.7インタレスト・カバレッジ・レシオ（倍）42.0―54.227.49.5 自己資本比率:自己資本/総資産時価ベースの自己資本比率：株式時価総額/総資産キャッシュ・フロー対有利子負債比率：有利子負債/営業キャッシュ・フローインタレスト・カバレッジ・レシオ：営業キャッシュ・フロー/利払い（注）１．株式時価総額は、期末株価終値×期末発行済株式数（自己株式控除後）により算出しております。２．営業キャッシュ・フローは、キャッシュ・フロー計算書の営業活動によるキャッシュ・フローを使用しております。有利子負債は、貸借対照表に計上されている負債のうち、利子を支払っているすべての負債を対象としております。また、利払いは、キャッシュ・フロー計算書の利息の支払額を使用しております。３．キャッシュ・フロー対有利子負債比率及びインタレスト・カバレッジ・レシオにつきましては、2020年３月期の営業キャッシュ・フローがマイナスのため、記載を省略しております。③　生産、受注及び販売の状況a. 生産実績当連結会計年度の生産実績をセグメントごとに示すと、次のとおりであります。セグメントの名称生産高（千円）前年同期比（％)メディカル事業6,803,418△3.7コンシューマ事業3,722,90069.7合計10,526,31813.7 （注）１．金額は販売価格によっております。２．当連結会計年度において、生産実績に著しい変動がありました。これは、コンシューマ事業におきまして新製品のマスクの販売が好調であったことによるものであります。b. 商品仕入実績当連結会計年度の商品仕入実績をセグメントごとに示すと、次のとおりであります。セグメントの名称仕入高（千円）前年同期比（％）メディカル事業2,031,221△4.1コンシューマ事業15,904,382△1.7合計17,935,604△1.9 （注）１．金額は仕入価格によっております。c. 受注状況受注生産が全体に占める割合が僅少なため、記載を省略しております。 d. 販売実績当連結会計年度の販売実績をセグメントごとに示すと、次のとおりであります。セグメントの名称販売高（千円）前年同期比（％)メディカル事業8,520,964△1.1コンシューマ事業21,882,9431.9合計30,403,9071.0 （注）１．セグメント間の取引はありません。２．主要な販売先主な相手先別の販売実績及び当該販売実績の総販売実績に対する割合は、次のとおりであります。相手先前連結会計年度当連結会計年度㈱西松屋チェーン販売高（千円）割合（％）販売高（千円）割合（％）11,389,40737.811,408,45537.5㈱しまむら販売高（千円）割合（％）販売高（千円）割合（％）3,279,00910.93,776,73512.4 ３. 株式会社しまむらへの販売実績につきましては、マスク等の衛生用品の売上が大きく増加したことにより、総販売実績に対する割合が100分の10以上となっております。 (2) 経営者の視点による経営成績等の状況に関する分析・検討内容経営者の視点による当社グループの経営成績等の状況に関する認識及び分析・検討内容は次のとおりであります。なお、文中の将来に関する事項は、当連結会計年度末現在において当社が判断したものであります。①　重要な会計方針及び見積り当社グループの連結財務諸表は、わが国において一般に公正妥当と認められている会計基準に基づき作成されております。連結財務諸表の作成に当たり、当連結会計年度末における資産・負債及び連結会計年度における収入・費用の報告数値に影響を与える見積り及び仮定設定を行っており、継続して評価を行っております。過去の実績あるいは連結会計年度末時点の状況に応じ合理的と考えられる様々な要因に基づき、見積り及び判断を行い、資産・負債の簿価あるいは収入・費用の数値を測定しております。なお、実際の結果は見積り特有の不確実性のために、これらの見積りと異なる場合があります。当社グループでは、固定資産の減損会計や繰延税金資産の回収可能性等の会計上の見積りについて、連結財務諸表作成時において入手可能な情報に基づき実施しております。固定資産の減損については、減損の兆候がある場合の回収可能価額の算出は、将来キャッシュ・フロー、割引率及び正味売却価額等の見積りに基づいています。繰延税金資産については、期末の将来減算一時差異等のうち、将来にわたり税金負担額を軽減すると認められる範囲内で認識し、その回収可能性の判断は、会社分類や将来減算一時差異等の将来解消見込年度のスケジューリング等の判断及び見積りに依存しています。新型コロナウイルス感染症による影響は、当社グループについては、品薄だった感染管理製品の供給も潤沢に市場に出回っており、大きな特需はないと想定しているものの、一定程度の需要は継続するとの仮定に基づき会計上の見積りを行っております。しかしながら、新型コロナウイルス感染症による影響は不確定要素が多く、翌連結会計年度の当社グループの業績に影響を与える可能性があります。 ②　当連結会計年度の経営成績等の状況に関する認識及び分析・検討内容当連結会計年度の経営成績の分析は、「第２  事業の状況  ４．経営者による財政状態、経営成績及びキャッシュ・フローの状況の分析  (1) 経営成績等の状況の概要　① 財政状態及び経営成績の状況」に記載のとおりであります。③　経営成績に重要な影響を与える要因について経営成績に重要な影響を与える要因については、「第２  事業の状況  ３．事業等のリスク」に記載のとおりであります。④　資本の財源及び資金の流動性についての分析資金需要を満たすための資金は、原則として、営業活動によるキャッシュ・フローを財源としますが、Ｍ＆Ａ他の資金需要に対応する場合等は、円滑な事業活動に必要なレベルの流動性の確保及び財務の健全性・安全性を維持するため、銀行等の外部金融機関又は親会社のキャッシュ・マネジメント・サービスより借入を行う方針です。資金調達を行う際は、期間や国内の市場金利動向等、また自己資本比率やＲＯＥといった財務指標への影響度等を総合的に勘案しながら、最適な調達を実施します。⑤　経営上の目標の達成状況を判断するための客観的な指標等当社グループは、持続的な成長と中長期的な企業価値の向上を目指して資本効率を重視しており、「ＲＯＥ （自己資本当期純利益率）」を重要な指標として位置付けております。当連結会計年度における「ＲＯＥ （自己資本当期純利益率）」は11.9％（前年同期比0.4ポイント改善)でした。
経営上の重要な契約等	 ５ 【経営上の重要な契約等】該当事項はありません。
研究開発活動	６ 【研究開発活動】当社は、衛生材料・医療用品・介護用品を中心に、消費者や医療機関から高い信頼を得られる専門性及び独自性のある高付加価値製品の開発に努めております。当連結会計年度においては、主として手術関連製品や口腔ケア製品、感染管理製品の開発及び改良に取り組みました。当連結会計年度における研究開発費の総額は69,133千円であります。なお、研究開発は「メディカル事業」「コンシューマ事業」の両事業に共通する案件も多いため、研究開発費を「メディカル事業」「コンシューマ事業」のセグメント別に表示しておりません。
設備投資等の概要	１【設備投資等の概要】当連結会計年度において実施しました設備投資の総額は、140,712千円であり、セグメントごとの設備投資について示すと、次のとおりであります。 (1) メディカル事業当連結会計年度の主な設備投資は、工場・倉庫等設備の取得で、総額は130,916千円となりました。なお重要な設備の除却又は売却はありません。 (2) コンシューマ事業当連結会計年度の主な設備投資はありません。なお重要な設備の除却又は売却はありません。 (3) 全社共通当連結会計年度の主な設備投資はありません。なお重要な設備の除却又は売却はありません。
主要な設備の状況	２【主要な設備の状況】(1) 提出会社2023年３月31日現在事業所名(所在地)セグメントの名称設備の内容帳簿価額（千円）従業員数(名)建物及び構築物機械装置及び運搬具土地(面積㎡)リース資産その他合計本社(大阪市中央区)メディカル事業コンシューマ事業販売及び統括業務施設25,16814―(―)4,47853,70283,363108東京支社(東京都中央区)メディカル事業コンシューマ事業販売設備6,083――(―)―7496,83329大阪工場(大阪府泉北郡忠岡町)メディカル事業コンシューマ事業生産設備306,92662,002377,419(27,084)―37,526783,87487 (注）１．帳簿価額のうち、「その他」は「工具、器具及び備品」及び「無形固定資産」であり、建設仮勘定は含んでおりません。２．本社、東京支社については建物を賃借しております。年間賃借料はそれぞれ52,621千円、29,631千円であります。３．設備の規模、業績への貢献度により合理的に判断した主要な設備を記載しております。 (2) 国内子会社2023年３月31日現在会社名事業所名(所在地)セグメントの名称設備の内容帳簿価額（千円）従業員数(名)建物及び構築物機械装置及び運搬具土地(面積㎡)リース資産その他合計ニシキ㈱本社(福岡市博多区)コンシューマ　事業販売及び統括業務施設3,7767,84028,766(2,550)021,62062,00422 (注）１．帳簿価額のうち、「その他」は「工具、器具及び備品」及び「無形固定資産」であり、建設仮勘定は含んでおりません。２．設備の規模、業績への貢献度により合理的に判断した主要な設備を記載しております。 2023年３月31日現在会社名事業所名(所在地)セグメントの名称設備の内容帳簿価額（千円）従業員数(名)建物及び構築物機械装置及び運搬具土地(面積㎡)リース資産その他合計㈱サカキL＆Eワイズ本社工場ほか(三重県松阪市ほか)メディカル事業生産設備 販売設備他332,37834,909203,299(14,655)―18,145588,73141 (注）１．帳簿価額のうち、「その他」は「工具、器具及び備品」及び「無形固定資産」であり、建設仮勘定は含んでおりません。２．設備の規模、業績への貢献度により合理的に判断した主要な設備を記載しております。2023年３月31日現在会社名事業所名(所在地)セグメントの名称設備の内容帳簿価額（千円）従業員数(名)建物及び構築物機械装置及び運搬具土地(面積㎡)リース資産その他合計 クロス工業㈱   本社・配送センターほか(兵庫県尼崎市ほか)メディカル事業コンシューマ事業生産設備 販売設備他101,4977,215513,748(16,590)―2,092624,55444 (注）１．帳簿価額のうち、「その他」は「工具、器具及び備品」及び「無形固定資産」であり、建設仮勘定は含んでおりません。２．設備の規模、業績への貢献度により合理的に判断した主要な設備を記載しております。(3) 在外子会社2023年３月31日現在会社名事業所名(所在地)セグメントの名称設備の内容帳簿価額（千円）従業員数(名)建物及び構築物機械装置及び運搬具土地リース資産その他合計浙江川本衛生材料有限公司中国工場(中国浙江省)メディカル事業生産設備341,415161,974――221,945725,33590 (注）１．帳簿価額のうち、「その他」は「工具、器具及び備品」及び「無形固定資産」であり、建設仮勘定は含んでおりません。２．土地使用権は無形固定資産に計上しております。なお、土地の面積は＜＞内に外数で記載しております。2023年３月31日現在会社名事業所名(所在地)セグメントの名称設備の内容帳簿価額（千円）従業員数(名)建物及び構築物機械装置及び運搬具土地リース資産その他合計KUROSU HANAM CO.,LTDベトナム工場(ベトナムハナム省)メディカル事業コンシューマ事業生産設備351,835110,446――142,582604,86411 (注）１．帳簿価額のうち、「その他」は「工具、器具及び備品」及び「無形固定資産」であり、建設仮勘定は含んでおりません。２．土地使用権は無形固定資産に計上しております。なお、土地の面積は＜＞内に外数で記載しております。
株式の総数	① 【株式の総数】種類発行可能株式総数（株)普通株式16,000,000計16,000,000  
発行済株式、株式の総数等	②【発行済株式】種類事業年度末現在発行数(株)(2023年３月31日)提出日現在発行数(株)(2023年６月21日)上場金融商品取引所名又は登録認可金融商品取引業協会名内容普通株式6,000,0006,000,000東京証券取引所スタンダード市場単元株式数100株計6,000,0006,000,000－－ 
