項目	値
事業の内容	３【事業の内容】当社グループ（当社及び当社の関係会社）は、当社（パス株式会社）、子会社４社により構成されており、コスメ・ビューティ＆ウエルネス事業を主たる業務としております。また、当連結会計年度より、新中期経営計画の策定に伴い、従来「通信販売事業」及び「その他事業」としていた報告セグメントの名称を「コスメ・ビューティ＆ウエルネス事業」、「サスティナブル・再生医療関連事業」に変更しております。この変更はセグメント名称の変更であり、セグメント情報に与える影響はありません。なお、当社は、有価証券の取引等の規制に関する内閣府令第49条第２項に規定する特定上場会社等に該当しており、これにより、インサイダー取引規制の重要事実の軽微基準については連結ベースの数値に基づいて判断することとなります。 (1）コスメ・ビューティ＆ウエルネス事業連結子会社である株式会社マードゥレクスにおきまして、「光を、わたしの味方に。」というコンセプトである「エクスボーテ Ex:BEAUTE」ブランド化粧品を中心とした事業を展開し、株式会社ジヴァスタジオにおきましては、「美と健康」をキーワードとした商品の企画開発及びＴＶショッピングを中心にカタログ・Web・店頭販売まで幅広いチャネルによる事業を展開しております。 (2）サスティナブル・再生医療関連事業連結子会社である株式会社アルヌールにおきまして、微細藻類の培養、研究開発、微細藻類及びその抽出物の販売、微細藻類の培養設備の販売等を行っており、株式会社ＲＭＤＣにおきましては、再生医療関連事業として、ヒト由来化粧品原料の製造販売、研究開発等の事業を展開しております。  ＜事業系統図＞以上述べた事項を事業系統図で示すと、以下のとおりであります。 コスメ・ビューティ＆ウエルネス事業  サスティナブル・再生医療関連事業   
経営方針、経営環境及び対処すべき課題等	１【経営方針、経営環境及び対処すべき課題等】　当社グループの経営方針、経営環境及び対処すべき課題等は、以下のとおりであります。　なお、文中の将来に関する事項は、当連結会計年度末現在において当社グループが判断したものであります。 (1) 経営方針当社の基本理念である「企業は社会の公器である」という考え方は、その存在意義を示すもので、「企業は社会に役立ってこそ存在価値があり、利潤を上げることができ、存続していける」という信念を表しています。企業は、社会に対して有益な価値を提供するために存在し、社会の期待に十分応えられてこそ、よき企業として社会から信頼され、共存できると考えております。 (2) 経営環境・経営戦略等当社グループは、企業として収益をあげることにより社会に貢献していくことを目標に掲げ、企業として本来の姿に戻すべきであるという思いから「本来の姿に」をテーマに2022年４月８日に新中期経営計画を策定いたしました。競争優位性のあるプロダクトの開発と事業と人材を創造する会社に生まれ変わり、安定的収益を確保し、売上至上主義の経営から利益至上主義の経営を目指してまいります。当社は、グループシナジーによるクロスチャネル効果を目的とし、以下の業展開を行ってまいります。①コスメ事業としてチャネル開発とチャネル別の新規商品開発、②ビューティ＆ウェルネス事業として各分野著名人と確かなエビデンスのある商品の共同開発及びブランド開発、③新事業の開発としてサスティナブル事業において希少成分の研究開発及び販売、微細藻類の屋内培養時の光合成によるCO2の削減及び微細藻類の培養設備の販売、再生医療関連事業においてヒト由来化粧品原料の研究、販売及び自動細胞培養ロボットの開発、④成長資金の投資を行うことにより今後の成長を実現していくことを成長戦略として描いています。 (3) 優先的に対処すべき事業上及び財務上の課題我が国及び世界における経済と企業経営は、新型コロナウイルス感染症の影響による制限から経済活動が回復に向かう一方で、ウクライナ侵攻の長期化による原材料価格の高騰や急激な為替相場の変動等により、今後も不透明な状況が続くものと予想されます。このような環境の中、当社グループは、業務及び事業に与える影響を最小限に抑える対策を講じながら、以下のような課題に対して対処してまいります。 ①　販売チャネル別、優位性のある新商品開発　当社グループは、当社主力ブランドである「Ex：BEAUTE」においては、2023年秋にスキンケアの融合技術を取り入れた高機能「薬用ファンデーション（医薬部外品）」シリーズの発売を予定しており、また、ビューティ＆ウエルネス商品においても各分野のスペシャリストの経験に基づいた優位性のある新たな商品の開発を行い、新たな顧客の獲得及び販路の拡大を目指してまいります。 ②　グループシナジーの創出にむけた新商品開発　当社グループは、微細藻を由来とする有用成分であるフコキサンチン原料とヒト由来化粧品原料を配合した新商品の開発に取り組んでおります。既存事業であるコスメ・ビューティ＆ウエルネス事業で販売実績のあるスキンケア商品群のリニューアルで「ヒト由来化粧品原料」を配合した新たな商品を2023年度中の販売開始を目指し開発しております。今後、当社グループでは、同業他社製品との競合優位性をもつ商品開発を進め、当社グループの事業ポートフォリオにおける主要事業の一つに成長させる所存です。 ③　新事業の開発　当社グループでは、主な成長分野に位置づけているサスティナブル事業においては「屋内微細藻類培養時の光合成を活用したCO2削減装置」の販売及び、微細藻類についての「培養コンサルティング」を行ってまいります。また、「海と牛と地球のみらいを。」をテーマにした環境プロジェクト「The Blue COWbon Ｐroject」を立ち上げ、カーボンニュートラルに貢献するために「カギケノリ」の養殖技術の開発を行ってまいります。再生医療関連事業において「ヒト由来化粧品原料」の販売と「ヒト由来の自動細胞培養ロボット」の開発を行ってまいります。 ④　成長資金の投資　上記のように、新たな製品開発に向けた大幅な開発投資及び新事業への投資が必要となっており、長期的に事業の成長を図るために必要な資金の確保を行うとともに、更なる事業成長のための投資を行うことで、当社グループの新たな基盤づくりに寄与するものと考え、事業規模の拡大を進めてまいります。 
事業等のリスク	３【事業等のリスク】有価証券報告書に記載した事業の状況、経理の状況等に関する事項のうち、経営者が連結会社の財政状態、経営成績及びキャッシュ・フローの状況に重要な影響を与える可能性があると認識している主要なリスクは、以下のとおりであります。なお、文中の将来に関する事項は、当連結会計年度末現在において当社グループが判断したものであります。 (1) 価格競争について近年、コスメ・ビューティ＆ウエルネス事業において、IT技術の進歩により、同一商品の価格比較が容易に可能になったため、価格競争は厳しい状況となっております。付加価値の高いサービスを提供することに努めておりますが、予想を超える市場環境の変化や価格下落圧力を受けた場合、業績に影響を及ぼす可能性があります。 (2) 外注先・仕入先の確保について外注先・仕入先については比較的小規模の事業者が多くあり、今後何らかの事情により取引を継続できない事態が生じるなどにより、今後の安定的な外注先・仕入先の確保に問題が発生した場合には、他の外注先の確保に時間を要する、内製化を行うなどの対策を講じるための必要な人員確保に時間を要する、他の仕入先に対し費用が先行するなどの事態が想定され、業績に影響を及ぼす可能性があります。 (3) 人材の確保について当社グループが行う既存事業、今後展開する新たな商品や事業には、人材の投入が必要になります。現時点において、大幅に従業員数を増加させる計画はありませんが、予想を上回る従業員の退職があった場合、退職者の補充のための採用ができなかった場合、また計画した採用ができなかった場合などには、必要な人員が確保できず、業績に影響を及ぼす可能性があります。 (4) 情報セキュリティについて業務を遂行するうえで、顧客企業の重要な情報に接する機会があります。また、コスメ・ビューティ＆ウエルネス事業においては、お客様の機密情報、個人情報を取り扱います。従って、制度面及びシステム面でリスクを最小限に抑えるための対策に加え、退職者も含めた従業員に対しては秘密保持の義務を課すなどの対策を講じております。しかしながら、全てのリスクを完全に排除することは困難であり、機密情報漏洩等のトラブルが発生した場合には、損害賠償請求や信用の低下等により、業績に影響を及ぼす可能性があります。 (5) 知的財産の侵害による訴訟の可能性について当社グループが提供するサービスに対して、現時点において第三者より知的財産権に関する侵害訴訟等を提起される等の通知は受けておりませんが、今後、万が一、第三者より知的財産権に関する侵害訴訟等を受けた場合は、解決までに多くの時間と費用が発生するため、業績に影響を及ぼす可能性があります。また、今後確立する知的財産権が、第三者によって侵害される可能性もあります。このような場合にも解決までに多くの時間と費用が発生するため、業績に影響を及ぼす可能性があります。 (6) 競合についてコスメ・ビューティ＆ウエルネス事業においては、競合企業が存在しております。日々、競合企業との差別化に努めておりますが、今後競合企業との競争が激化した場合には、業績に影響を及ぼす可能性があります。 (7) 個人情報の保護について「個人情報の保護に関する法律」を遵守し、個人情報の取り扱いに関し細心の注意を払うように留意しております。しかしながら、個人情報の漏洩等の事故が発生した場合には、損害賠償請求や信用の低下等により、業績に影響を及ぼす可能性があります。 (8) 新型コロナウイルス感染拡大について我が国及び世界における経済と企業経営は、新型コロナウイルス感染拡大により、大きな影響を受けており、その影響の度合いや収束の時期を見通すことができない状況にあります。当社の商品を取り扱う店舗がさらなる営業自粛を行った場合や、消費者の外出自粛がさらに続き需要が減退した場合には、当社グループの業績に大きな影響を及ぼす可能性があります。 (9) 継続企業の前提に関する重要事象当社グループは、前連結会計年度において、営業損失681,607千円、親会社株主に帰属する当期純損失745,991千円、営業活動によるキャッシュ・フローの赤字835,560千円を計上し、当連結会計年度においても営業損失220,355千円、親会社株主に帰属する当期純損失256,105千円、営業活動によるキャッシュ・フローの赤字352,396千円を計上したことから、継続企業の前提に重要な疑義を生じさせるような事象又は状況が存在しております。当社グループでは、このような状況を解消するために、以下の対策を講じてまいります。①　利益至上主義の経営　当社グループでは、競争優位性のあるプロダクトの開発、独自性継続性のある事業、そしてそれを担う人材の創造を強みとした事業展開により安定的収益を確保し、売上至上主義の経営から利益至上主義の経営を目指してまいります。また、Ｍ＆Ａによる投資機会があった場合には、既存事業の収益性向上を考慮し、投資を行います。投資機会が当社グループの非関連事業の場合においても、相当の収益性が見込まれる場合には投資を行ってまいります。②　販売チャネルの開拓とチャネル別の顧客ニーズを考慮した新商品開発　当社グループでは、美と健康を事業領域として定め、化粧品販売において新たな販売チャネルを開拓してまいります。また、販売チャネル別の新商品開発を行い、エステティックサロン及び美容サロンへの販売やECサイト及び定期便によるダイレクトマーケティングでの販売による安定的収益基盤を構築してまいります。新商品の開発を更に進め、収益性の改善を図るとともに、顧客ニーズにあった商品を市場に投入してまいります。③　ビューティ＆ウエルネス商品の拡充　当社グループでは、テレビショッピングにおいて需要が見込まれるビューティ家電、ウエルネス家電、フィットネス器具、健康雑貨の商品開発を独自マーケティングにより行い競争優位性のある商品を拡充してまいります。④　微細藻類由来の希少原料の開発、販売及びサスティナブル事業への投資　当社グループは、美と健康に関わる微細藻類由来の希少原料である「フコキサンチン」の開発と販売を行なっております。微細藻類培養時の光合成によりCO2（二酸化炭素）と水から酸素を発生させることに着目し、微細藻類によるCO2削減を目的とした培養設備の投資を行い、CO2削減のバイオリアクターとして企業に提供し、世界的な課題となっているカーボンニュートラルを目指し、サステナブルな社会に貢献してまいります。⑤　ヒト由来化粧品原料の販売及び再生医療関連事業への投資　当社グループは、再生医療関連事業の更なる拡大を目指し、当該事業でのヒト由来化粧品原料の販売を促進するため、2023年１月に株式会社ＲＭＤＣを完全子会社化しました。今後、ヒト由来化粧品原料を、化粧品メーカー及び原料メーカー等に販売してまいります。また、機能性が高く、高額な原料として化粧品業界で認知、取引されているヒト由来化粧品原料の製品開発を行うにあたり細胞培養設備及び自動細胞培養ロボットへの投資を促進してまいります。なお、自動細胞培養ロボットについては、2023年度中の完成を目指し、開発を進めております。⑥　経費削減　広告及び販促活動の効果を見極め、非効率な広告・販促投資を控えることにより、販売費の削減や、収益に悪影響を与えるその他の経費の見直しを行い、またグループシナジーによりクロスチャネル効果を実現し、売上高に対する販売管理費率50％を目指してまいります。⑦　財務基盤の強化　当社グループでは、従来からの経営課題の一つでもある財務基盤の強化ために、2022年４月に第三者割当増資による新株式及び第12回新株予約権を発行し、資金調達を実現いたしました。　今後も、手元流動性を確保して安定的な事業運営を行うとともに、中長期にわたる成長を見込んだ投資を行えるような財務基盤を確立してまいります。　以上のような対応策を実施していることから、継続企業の前提に関する重要な不確実性は認められないものと判断しております。  
経営者による財政状態、経営成績及びキャッシュ・フローの状況の分析	４【経営者による財政状態、経営成績及びキャッシュ・フローの状況の分析】（１）経営成績等の状況の概要① 経営成績の状況当社グループでは、「新中期経営計画」に基づき、競争優位性のあるプロダクトの開発、事業と人材を創造する会社に生まれ変わり安定的収益を確保し、売上至上主義の経営から利益至上主義の経営を目指し事業を進めてまいりました。資金調達と経費削減により資金を創出し、コスメ・ビューティ＆ウエルネス事業につきましては、競争優位性のある新商品を開発して新たな市場に投入することで成長を図っております。今後の成長分野に位置付けているサスティナブル・再生医療関連事業につきましては事業化に遅れが出ていましたが、サスティナブル事業においては、複数の企業からの引き合いと新たに取引が開始され、また再生医療関連事業おいては、既に再生医療関連事業をおこなっている株式会社ＲＭＤＣを完全子会社化することにより、事業化が急速に進みました。当連結会計年度は、前連結会計年度に比べ売上高は減少したものの、営業損失、経常損失、親会社株主に帰属する当期純損失ともに前連結会計年度を上回る結果となりました。これらの結果、売上高は1,991,954千円（前連結会計年度比122,378千円減）、営業損失は220,355千円（前連結会計年度は681,607千円の損失）、経常損失は224,487千円（前連結会計年度は737,321千円の損失）、親会社株主に帰属する当期純損失は256,105千円（前連結会計年度は745,991千円の損失）となりました。また、セグメントの業績は次のとおりであります。なお、当連結会計年度より、従来「通信販売事業」及び「その他事業」としていた報告セグメントの名称を「コスメ・ビューティ＆ウエルネス事業」、「サスティナブル・再生医療関連事業」に変更しております。この変更はセグメント名称の変更であり、セグメント情報に与える影響はありません。前連結会計年度のセグメント情報についても変更後の名称で記載しております（コスメ・ビューティ＆ウエルネス事業）コスメ・ビューティ＆ウエルネス事業につきましては、新商品を開発して新たな市場に投入することにより売上高の増加を見込んでおりました。しかしながら新商品の販売に遅れが生じ、物価上昇に伴い個人消費に鈍化の傾向がみられることなどから、化粧品の需要回復が想定以上に鈍いものの、自社商品の開発、販売チャネルの拡大及び広告投資を抑えたことにより、営業損失は大幅に改善されました。その結果、売上高1,934,809千円（前連結会計年度比179,074千円減）、営業損失63,976千円（前連結会計年度は542,024千円の損失）となりました。（サスティナブル・再生医療関連事業）サスティナブル・再生医療関連事業につきましては、今後の主な成長分野に位置付け積極的に新たな研究等を行っており、サスティナブル事業においては、複数の企業からの引き合いと新たに取引が開始され、また再生医療関連事業おいては、既に再生医療関連事業をおこなっている株式会社ＲＭＤＣを完全子会社化することにより、事業化が急速に進みました。その結果、売上高57,145千円（前連結会計年度比56,695千円増）、営業損失52,940千円（前連結会計年度は94,881千円の損失）となりました。 ② 財政状態の状況（流動資産）　当連結会計年度末における流動資産は1,193,536千円となり、前連結会計年度末に比べ25,486千円増加いたしました。主な要因は、現金及び預金172,595千円、未収入金38,933千円、貸倒引当金26,366千円がそれぞれ減少した一方で、売掛金が132,362千円、商品及び製品89,739千円がそれぞれ増加したことによるものです。（固定資産）　当連結会計年度末における固定資産は256,622千円となり、前連結会計年度末に比べ152,820千円増加いたしました。主な要因は、有形固定資産及び無形固定資産がそれぞれ92,710千円及び60,143千円増加したことによるものです。（流動負債）　当連結会計年度末における流動負債は343,427千円となり、前連結会計年度末に比べ458,738千円減少いたしました。主な要因は、買掛金22,309千円、その他25,071千円がそれぞれ増加した一方で、短期借入金500,000千円、未払金7,723千円がそれぞれ減少したことによるものです。（固定負債）　当連結会計年度末における固定負債は7,123千円となりました。これは、資産除去債務を5,300千円、繰延税金負債を1,823千円計上したことによるものです。（純資産）　当連結会計年度末における純資産は1,099,608千円となり、前連結会計年度末に比べ629,921千円増加いたしました。主な要因は、新株予約権の行使等により、資本金389,336千円、資本剰余金485,947千円がそれぞれ増加した一方で、親会社株主に帰属する当期純損失を256,105千円計上したことによるものです。　この結果、自己資本比率74.3％（前連結会計年度末は36.0％）となりました。  ③ キャッシュ・フローの状況当連結会計年度末における現金及び現金同等物は、前連結会計年度末に比べ172,596千円減少し、172,881千円となりました。各キャッシュ・フローの状況は、以下のとおりであります。（営業活動によるキャッシュ・フロー）当連結会計年度の営業活動によるキャッシュ・フローは、352,396千円の支出（前連結会計年度は835,560千円の支出）となりました。主な要因は、税金等調整前当期純損失の計上252,651千円、売上債権の増加122,474千円、棚卸資産の増加62,986千円によるものです。（投資活動によるキャッシュ・フロー）当連結会計年度の投資活動によるキャッシュ・フローは、113,930千円の支出（前連結会計年度は23,602千円の支出）となりました。これは主に、有形固定資産の取得による支出115,067千円によるものです。（財務活動によるキャッシュ・フロー）当連結会計年度の財務活動によるキャッシュ・フローは、281,092千円の収入（前連結会計年度は998,982千円の収入）となりました。主な要因は、短期借入金の返済による支出500,000千円、株式の発行による収入497,328千円及び新株予約権の行使による株式の発行による収入274,269千円によるものです。 ④ 生産、受注及び販売の実績当社グループは、当社グループは、コスメ・ビューティ＆ウエルネス事業とサスティナブル・再生医療関連事業を報告セグメントとしております。a.商品仕入実績当連結会計年度の商品仕入実績は、次のとおりであります。セグメントの名称当連結会計年度（自　2022年４月１日至　2023年３月31日）前年同期比（％）コスメ・ビューティ＆ウエルネス事業（千円）1,037,914△5.2サスティナブル・再生医療関連事業（千円）18,633－ b.販売実績当連結会計年度の販売実績は、次のとおりであります。セグメントの名称当連結会計年度（自　2022年４月１日至　2023年３月31日）前年同期比（％）コスメ・ビューティ＆ウエルネス事業（千円）1,934,809△8.5サスティナブル・再生医療関連事業（千円）　※57,145－※　サスティナブル・再生医療関連事業の前連結会計年度の販売実績は450千円であります。（注）最近２連結会計年度の主な相手先別の販売実績及び当該販売実績の総販売実績に対する割合は、次のとおりであります相手先前連結会計年度（自　2021年４月１日至　2022年３月31日）当連結会計年度（自　2022年４月１日至　2023年３月31日）金額（千円）割合（％）金額（千円）割合（％）株式会社ＱＶＣジャパン469,63722.2465,07223.3  （２）経営者の視点による経営成績等の状況に関する分析・検討の内容　経営者の視点による当社グループの経営成績等の状況に関する認識及び分析・検討内容は次のとおりであります。なお、文中の将来に関する事項は、当連結会計年度末現在において判断したものであります。 ①経営成績に関する認識及び分析・検討内容　当連結会計年度における当社グループ（当社及び連結子会社）の財政状態及び経営成績の状況の概要は次のとおりであります。経営成績a.売上高当連結会計年度の売上高は、コスメ・ビューティ＆ウエルネス事業では競争優位性のある新商品の市場投入に遅れが生じ、サスティナブル・再生医療関連事業では株式会社RMDCの完全子会社化により再生医療関連の事業化は急速に進んだものの、サスティナブル関連の事業化に遅れが生じたため、1,991,954千円（前連結会計年度比122,378千円減）となりました。b.売上総利益当連結会計年度の売上総利益は、売上高減少の影響により、972,405千円（前連結会計年度比125,231千円減）となりました。また、売上総利益率は48.8％（前連結会計年度比3.1ポイント減）となりました。これは、円安による自社商品の輸入仕入商品の粗利率が下がったことによるものであります。c.販売費及び一般管理費当連結会計年度の販売費及び一般管理費は、1,192,760千円（前連結会計年度比586,484千円減）となりました。これは、コスト削減の効果として、人件費の減少20,370千円、広告宣伝費及び販売促進費の減少426,523千円、コールセンター費及び荷造運送費の減少80,146千円や研究開発費の減少44,251千円等があったことによるものであります。d.営業損失上記の結果、当連結会計年度の営業損失は220,355千円（前連結会計年度は681,607千円の損失）となりました。e.経常損失前連結会計年度においては、株式交付費として67,923千円を営業外費用として計上しました。当連結会計年度においても、株式交付費として10,074千円を計上いたしました。この結果、当連結会計年度の経常損失は224,487千円（前連結会計年度は737,321千円の損失）となりました。f.当期純損失及び親会社株主に帰属する当期純損失前連結会計年度においては、減損損失として5,668千円を特別損失に計上いたしました。当連結会計年度においても、減損損失として28,164千円を計上いたしました。この結果、当連結会計年度の当期純損失は256,105千円（前連結会計年度は745,991千円の損失）、親会社株主に帰属する当期純損失は256,105千円（前連結会計年度は745,991千円の損失）となりました。 財政状態　当社グループの当連結会計年度の財政状態につきましては、「（１）経営成績等の状況の概要　②財政状態の状況」に記載のとおりであります。 ②経営成績等に重要な影響を与える要因について当社グループは、「３　事業等のリスク」に記載のとおり、価格競争や外注先・仕入先・人材の確保、価格相場の変動等、様々なリスク要因が当社グループの経営成績に重要な影響を与えると認識しております。そのため、常に顧客ニーズに応えていくことにより、各リスク要因を把握し、そのリスクを分散・低減してまいります。 ③キャッシュ・フローの状況の分析・検討内容並びに資本の財源及び資金の流動性に係る情報　当連結会計年度末における現金及び預金の残高は172,881千円となっており、「３　事業等のリスク　(9)継続企業の前提に関する重要事象　⑦財務基盤の強化」に記載のとおり、安定的な事業運営を行うために必要な資金の調達を行ってまいります。a.キャッシュ・フロー当連結会計年度のキャッシュ・フローの分析につきましては、「（１）経営成績等の状況の概要　③キャッシュ・フローの状況」に記載のとおりであります。b.資金需要当社グループでは、運転資金需要のほかに、新商品開発、仕入資金及びプロモーション費、サスティナブル事業への微細藻の培養・抽出等に関する設備投資資金、再生医療関連事業への設備投資資金、ヒト幹細胞自動培養ロボット開発資金、その他事業拡大のための投資について資金需要があります。c.財務政策当社グループは、上記のような事業運営に必要な流動性を確保するため、2021年5月に発行した第11回新株予約権の行使により新株式206,800株を発行し、15,021千円の資金調達を行い、また、2022年４月に実施した第三者割当増資及び第12回新株予約権の行使により当連結会計年度において新株式12,663,300株を発行し、763,651千円資金調達いたしました。 ④重要な会計上の見積り及び当該見積りに用いた仮定連結財務諸表の作成に当たって用いた会計上の見積り及び当該見積りに用いた仮定のうち、重要なものについては、「第５　経理の状況　１　連結財務諸表等　（１） 連結財務諸表　注記事項（重要な会計上の見積り）」に記載しております。  
経営上の重要な契約等	５【経営上の重要な契約等】(1) 第三者割当による新株式及び第12回新株予約権の発行　当社は、2022年４月８日開催の取締役会において、株式会社サスティナ（以下「サスティナ社」という。）を割当先とする第三者割当による新株式の発行（以下「本新株式」という。）及び第12回新株予約権（以下「本新株予約権」という。）の発行を行うことを決議し、2022年４月25日に総数引受契約（株式）及び総数引受契約（第12回新株予約権）を締結いたしました。その概要は次のとおりであります。＜本新株式の概要＞（１）払込期日2022年４月25日（２）発行新株式数8,333,300株（３）発行価額１株につき60円（４）調達資金の額499,998,000円（５）募集又は割当方法（割当予定先）第三者割当の方法により、次の者に割り当てます。株式会社サスティナ　　　　8,333,300株（６）資本組入額の総額249,999,000円（７）資金の使途サスティナ社に対する借入金の返済資金 ＜本新株予約権の募集の概要＞（１）割当日2022年４月25日（２）新株予約権の総数166,666個（３）発行価額総額14,833,274円（本新株予約権１個あたり89円）（４）当該発行による潜在株式数16,666,600株（１個につき100株）（５）資金調達の額1,014,829,274円（注）（内訳）　・新株予約権発行分　　   14,833,274円　・新株予約権行使分　  　999,996,000円（６）行使価額１株につき60円（７）割当方法（割当予定先）第三者割当の方法により、次の者に割り当てます。株式会社サスティナ　　　　166,666個（８）新株予約権の行使期間自　2022年４月26日　至　2025年４月25日（９）資金の使途新商品開発、仕入資金及びプロモーション費　　　　　　　　430,000千円サスティナブル事業への設備投資資金　　　　　　　　　　　200,000千円再生医療関連事業への設備投資及び自動細胞培養装置開発資金170,000千円資本業務提携先への出資金、M&amp;A資金　　　　　　　　　　　 200,000千円（注）本新株予約権の行使期間内に全部若しくは一部の本新株予約権の行使が行われない場合、又は当社が取得した本新株予約権を消却した場合に、当該調達資金の額は減少します。 (2) 株式交換による株式会社ＲＭＤＣの完全子会社化　当社は、2022年12月20日開催の取締役会において、当社を株式交換完全親会社とし、株式会社ＲＭＤＣ（以下、「ＲＭＤＣ社」という。）を株式交換完全子会社とする株式交換（以下、「本株式交換」という。）を行うことを決議し、同日、両社間で株式交換契約を締結いたしました。　当社においては、会社法第796条第２項の規定に基づく簡易株式交換の手続により株主総会による承認を受けずに、ＲＭＤＣ社においては、2022年12月20日開催の臨時株主総会にて本株式交換契約の承認を受けた上で、2023年１月31日付で本株式交換を実施し、ＲＭＤＣ社を完全子会社としました。　詳細は、「第５　経理の状況　１　連結財務諸表等　（１）連結財務諸表　注記事項（企業結合等関係）」に記載のとおりであります。  (3) 連結子会社との事業譲渡契約の締結　当社は、2023年３月30日開催の取締役会において、2023年４月１日をもって当社が運営するコスメ事業及び当社の100％子会社である株式会社アルヌールが運営する再生医療関連事業を当社の100％子会社である株式会社ＲＭＤＣに譲渡することを決議し、同日付けで事業譲渡契約を締結し、2023年４月１日に事業譲渡を実施いたしました。　詳細は、「第５　経理の状況　１　連結財務諸表等　（１）連結財務諸表　注記事項（重要な後発事象）」に記載のとおりであります。 (4) 業務提携契約当社は、下記のとおり業務提携契約を締結しております。相手先契約の内容契約締結日契約年月日及び期間株式会社レカルカ業務提携基本契約2021年12月23日契約日以降２年間以後１年毎の自動更新  
研究開発活動	６【研究開発活動】当連結会計年度の研究開発費は55,261千円であり、主な内容はコスメ・ビューティ＆ウエルネス事業における新製品開発等13,555千円及びサスティナブル・再生医療関連事業における微細藻の培養・抽出の研究開発41,705千円であります。 
設備投資等の概要	１【設備投資等の概要】当連結会計年度において実施いたしました当社グループの設備投資の総額は115,430千円であり、その主なものは、コスメ・ビューティ＆ウェルネス事業に関する有形固定資産6,074千円、サスティナブル・再生医療関連事業の自動細胞培養ロボット開発に関する建設仮勘定99,000千円等であります。
主要な設備の状況	２【主要な設備の状況】当社グループにおける主要な設備は、以下のとおりであります。(1）提出会社主要な設備はありません。 (2）国内子会社2023年３月31日現在 会社名事業所名（所在地）セグメントの名称設備の内容帳簿価額従業員数（人）建物及び構築物（千円）機械装置及び運搬具（千円）工具、器具及び備品（千円）その他（千円）合計（千円）㈱ＲＭＤＣ富山研究所（富山県富山市）サスティナブル・再生医療関連事業幹細胞培養設備－－10,828－10,828３大阪研究所（大阪府東大阪市）幹細胞培養設備11,445－400－11,845３（注）帳簿価額「その他」は、無形固定資産であります。
株式の総数	①【株式の総数】種類発行可能株式総数（株）普通株式180,000,000計180,000,000 
発行済株式、株式の総数等	②【発行済株式】種類事業年度末現在発行数（株）（2023年３月31日）提出日現在発行数（株）（2023年６月30日）上場金融商品取引所名又は登録認可金融商品取引業協会名内容普通株式51,509,51651,509,516東京証券取引所（スタンダード市場）単元株式数100株計51,509,51651,509,516－－（注）１．普通株式は完全議決権株式であり、権利内容に何ら限定のない当社における標準となる株式であります。２．「提出日現在発行数」欄には、2023年６月１日からこの有価証券報告書提出日までの新株予約権の行使により発行された株式数は含まれておりません。 
