項目	値
事業の内容	２ 【事業の内容】当第３四半期連結累計期間において、当社グループ（当社及び当社の関係会社）が営む事業の内容について、重要な変更はありません。また、主要な関係会社における異動もありません。 
経営方針、経営環境及び対処すべき課題等	
事業等のリスク	１ 【事業等のリスク】当第３四半期連結累計期間において、当四半期報告書に記載した事業の状況、経理の状況等に関する事項のうち、投資者の判断に重要な影響を及ぼす可能性のある事項の発生又は前事業年度の有価証券報告書に記載した「事業等のリスク」についての重要な変更はありません。なお、ウクライナをめぐる国際情勢の長期化及び世界的な金融引き締めによる金利上昇、急速な為替変動による事業への影響については、今後も注視してまいります。 
経営者による財政状態、経営成績及びキャッシュ・フローの状況の分析	２ 【経営者による財政状態、経営成績及びキャッシュ・フローの状況の分析】文中の将来に関する事項は、当四半期連結会計期間の末日現在において当社グループ（当社及び連結子会社）が判断したものであります。（１）業績の状況当第３四半期連結累計期間における当社グループを取り巻く事業環境は、サイバー空間とフィジカル空間の一体化（CPS: Cyber Physical Systems）が進展し、フィジカル空間における物理的なやり取りがサイバー空間においてデジタルデータの形で再現され、AI等の活用により、フィジカル空間における随時の状況把握及びその情報を基に次の行動判断を行うことが可能になると見込まれており、CPSを社会経済活動に最大限活用する、データ主導型のSociety5.0の実現へと向かっております（出典：総務省「令和５年版 情報通信白書」）。このような環境の下、当社グループは、独自に保有する基盤コア技術をベースに、システムマネージ、クラウドマネージ、IoT、IIoTの各分野に加え、あらゆる物質や細胞までにリーチするIoE（Everything）、そして人間の能力を拡張させるIoA（Abilities）分野における研究開発・ビジネスデザイン及びプロジェクトを、国内だけではなくグローバルにおいても着実に進めております。当社のクラウド・IoT分野全体を包括するデータコントロール事業の売上は、安定した完全ストック型ビジネス（サブスクリプションモデル及びリカーリングモデル）の継続課金売上と一時的なスポット売上で構成されております。当第３四半期連結累計期間においても、引き続き月額課金案件の受注獲得を推し進め、前年同期と比較して月額課金売上は156,921千円純増しました。これにより、上場以来35四半期連続で過去最高の月額課金売上のプラス成長となり、ウクライナをめぐる国際紛争の長期化や米中対立等の地政学リスクに加え、国内外におけるインフレや各国の政策金利引上げ及び大幅な為替変動などの影響を受けることなく極めて堅調に推移しております。なお、先行投資は過去最高を更新する金額を継続して実施しており、政府観光支援関係の大型案件が終了したものの、当第３四半期連結累計期間における営業利益の前年同期増減率は＋8.8％、経常利益の前年同期増減率は＋15.7％と堅調な増加となりました。昨今、IoT市場では、製造機器のサブスクリプションといえるEaaS（Equipment as a service）が注目を集めており、大量生産・大量出荷型モデルからの転換が起こり始めています。このEaaSは、当社がかねてより予測し、志向し続けたIoTビジネスのあり方そのものであり、IoTエンジン「NEQTO」をベースにEaaSを支えるNo.１コアエンジン（IoTソフトウエア）のライセンス及びOEM提供を目指しております。また、金融業界における需要の高まりを背景に、データコントロール（監視・運用・制御）サービス並びに中長期的には金融業界を中心として多種多業種向けにAI、IoTサービスをグローバルに展開すべく、SBIセキュリティ・ソリューションズ株式会社と合弁会社の設立について基本合意に至りました。さらに、各種クラウドを包括管理する「JIG-SAW PRIME」は、データコントロール事業に密接に関連し、重要な社会インフラとなっているクラウド環境における企業ニーズを背景に、前年同期と比較して取引総額が825,252千円（前年同期比68.5％増）拡大しました。加えて、引き続き高い事業成長を実現すべく実施している将来に向けた先行投資も金額ベースで過去最高を更新し、前年同期と比較し約113,000千円増加となりました。この結果、当第３四半期連結累計期間の経営成績は、売上高2,383,135千円（前年同期比6.0％増）、営業利益466,009千円（前年同期比8.8％増）、経常利益484,359千円（前年同期比15.7％増）、親会社株主に帰属する四半期純利益316,848千円（前年同期比10.2％増）となりました。なお、当社グループはデータコントロール事業の単一セグメントであるため、セグメント情報の記載を省略しております。 （２）財政状態の分析（資産）当第３四半期連結会計期間末における流動資産は、2,648,267千円（前連結会計年度末比335,606千円増）となりました。これは主に、売掛金が増加（前連結会計年度末比116,870千円増）、現金及び預金が増加（前連結会計年度末比104,290千円増）、その他に含まれる前払費用が増加（前連結会計年度末比103,204千円増）したことによるものであります。また、固定資産は、891,575千円（前連結会計年度末比85,475千円増）となりました。これは主に、敷金及び保証金が増加（前連結会計年度末比100,855千円増）したことによるものであります。以上の結果、当第３四半期連結会計期間末における総資産は、3,539,842千円となり、前連結会計年度末に比べ421,081千円増加いたしました。（負債）当第３四半期連結会計期間末における流動負債は、872,860千円（前連結会計年度末比72,618千円増）となりました。これは主に、買掛金が増加（前連結会計年度末比95,582千円増）したことによるものであります。また、固定負債は、5,647千円（前連結会計年度末比43,725千円減）となりました。これは主に、長期借入金が減少（前連結会計年度末比45,000千円減）したことによるものであります。以上の結果、当第３四半期連結会計期間末における負債は、878,508千円となり、前連結会計年度末に比べ28,892千円増加いたしました。（純資産）当第３四半期連結会計期間末における純資産は、2,661,334千円（前連結会計年度末比392,189千円増）となりました。これは主に、親会社株主に帰属する四半期純利益の計上等に伴い利益剰余金が増加（前連結会計年度末比282,523千円増）したことによるものであります。 （３）研究開発活動当第３四半期連結累計期間の研究開発費の総額は、137,503千円であります。 
経営上の重要な契約等	３ 【経営上の重要な契約等】　　当第３四半期連結会計期間において、経営上の重要な契約等の決定又は締結等はありません。 
研究開発活動	
設備投資等の概要	
主要な設備の状況	
株式の総数	① 【株式の総数】　種類発行可能株式総数(株)普通株式25,000,000計25,000,000  
発行済株式、株式の総数等	② 【発行済株式】　種類第３四半期会計期間末現在発行数(株)(2023年９月30日)提出日現在発行数(株)(2023年11月６日)上場金融商品取引所名又は登録認可金融商品取引業協会名内容普通株式6,751,0006,751,000東京証券取引所（グロース市場）単元株式数は100株であります。計6,751,0006,751,000―― (注)　提出日現在の発行数には、2023年11月１日からこの四半期報告書提出日までの新株予約権（ストック・オプション）の権利行使により発行されたものは含まれておりません。 
配当政策	
コーポレート・ガバナンスの概要	
役員の状況	２ 【役員の状況】該当事項はありません。 
貸借対照表	
損益計算書	
キャッシュ・フロー計算書	
