項目	値
事業の内容	２【事業の内容】  当第１四半期連結累計期間において、当社グループ（当社及び当社の関係会社）が営む事業の内容について、重要な変更はありません。また、主要な関係会社における異動もありません。 
経営方針、経営環境及び対処すべき課題等	
事業等のリスク	１【事業等のリスク】  当第１四半期連結累計期間において、新たな事業等のリスクの発生、または、前事業年度の有価証券報告書に記載した事業等のリスクについての重要な変更はありません。 
経営者による財政状態、経営成績及びキャッシュ・フローの状況の分析	２【経営者による財政状態、経営成績及びキャッシュ・フローの状況の分析】  文中の将来に関する事項は、当第１四半期連結会計期間の末日現在において判断したものであります。 （１）経営成績の状況  当第１四半期連結累計期間におけるわが国経済は、雇用環境や所得の拡大傾向が継続しており、企業収益も概ね堅調に推移しておりますが、貿易摩擦や不安定な国際情勢の影響による、海外景気動向の減速懸念が継続しております。  当社が所属する情報通信サービス市場においては、人手不足や働き方改革の影響から業務効率化を志向する企業が増加し、デジタルトランスフォーメーションによる業務効率化を推進する等、ITへの投資意欲が引き続き旺盛に推移しました。特に低コストで導入が可能で、便利なクラウドサービスへの期待は高く、クラウドサービス市場の拡大が続いております。  このような経営環境の中、当社グループは「高収益な複数サービスが生み出すキャッシュを成長サービスに集中投下」を経営方針に掲げ、2018年３月期を起点に2021年３月期までの３年間で、CAGR（年平均成長率）30％の達成を目指しており、２年目にあたる2020年３月期においては、人手不足や働き方改革の影響に加え、デジタルトランスフォーメーションが推進されクラウド化がより進む等、非常に良好な事業環境が見込まれます。このため、当社では2020年３月期に限り、PDCA高速化に向け、四半期毎に施策を組み替えることで高い売上高成長を目指しており、2020年３月期に関しては通期の業績計画の開示を行わず、四半期ごとの計画開示とさせて頂いております。この方針に従い、積極的な人員の増員や、費用対効果を重視した積極的なマーケティング投資を実施してまいりました。  当第１四半期連結累計期間においては、前期の下期から実施している売上高成長を最重要視した積極的な成長投資の効果で新規受注が増加したことから、売上高は計画値を超過しました。利益面では計画を上回る増収を達成したこと、費用対効果を重視して成長投資を実施したことから、営業利益は計画を超過しましたが、積極的な成長投資の影響で営業利益率は19.7％（前年同四半期比3.7ポイント減）と悪化しました。  以上の結果、当第１四半期連結累計期間の連結業績は、売上高2,590,944千円（前年同四半期比30.4％増）、営業利益509,141千円（前年同四半期比9.7％増）、経常利益509,397千円（前年同四半期比9.6％増）、親会社株主に帰属する四半期純利益は335,218千円（前年同四半期比12.3％増）となりました。   セグメント別の経営成績は次のとおりであります。①クラウド事業  クラウド事業は、積極的な成長投資の効果により、主要なクラウドサービスの新規受注が好調に推移したことから、売上高は1,990,928千円（前年同四半期比31.6％増）となりました。利益面では、増収効果があったものの、費用対効果を重視してマーケティング投資を実施したことから、セグメント利益は433,763千円（前年同四半期比8.3％増）となっております。 ②IT人材事業  IT人材事業は、顧客企業側での慢性的なITエンジニア不足を背景に、稼働人員数が増加したことから、売上高は600,016千円（前年同四半期比26.6％増）となりました。利益面では、増収効果により、セグメント利益は75,378千円（前年同四半期比18.9％増）と大幅な増益となりました。   なお、前連結会計年度より、グループ再編に伴い、報告セグメントごとの業績をより適正に評価管理するため、主に当社の共通コストの配賦基準等を見直し、事業セグメントの利益又は損失の算定方法の変更を行っております。  前第１四半期連結累計期間のセグメント情報については、変更後の利益の算定方法により作成したものを記載しております。この変更により、従来の方法に比べて前第１四半期連結累計期間のセグメント利益が「クラウド事業」で26,117千円減少し、「IT人材事業」で26,117千円増加しております。（２）財政状態の分析①資産  当第１四半期連結会計期間末における流動資産は3,786,167千円となり、前連結会計年度末に比べて117,569千円増加いたしました。主な要因は、現金及び預金が14,923千円減少したものの、売掛金が79,527千円、前払費用（流動資産「その他」）が60,928千円それぞれ増加したことによるものであります。固定資産は2,456,601千円となり、前連結会計年度末に比べて17,754千円減少いたしました。主な要因は、工具、器具及び備品が58,168千円、長期前払費用（投資その他の資産「その他」）が20,278千円それぞれ増加したものの、のれんが40,948千円、繰延税金資産が40,216千円、顧客関連資産が18,400千円それぞれ減少したことによるものであります。  この結果、総資産は6,242,768千円となり、前連結会計年度末に比べ99,814千円増加いたしました。 ②負債  当第１四半期連結会計期間末における流動負債は1,416,515千円となり、前連結会計年度末に比べて19,713千円減少いたしました。主な要因は、賞与引当金が146,459千円、預り金（流動負債「その他」）が75,783千円それぞれ増加したものの、未払費用が270,128千円減少したことによるものであります。固定負債は100,299千円となり、前連結会計年度末に比べて12,767千円減少いたしました。これは主に、繰延税金負債が8,519千円、長期未払費用が4,248千円それぞれ減少したことによるものであります。  この結果、負債合計は1,516,814千円となり、前連結会計年度末に比べ32,481千円減少いたしました。 ③純資産  当第１四半期連結会計期間末における純資産合計は4,725,953千円となり、前連結会計年度末に比べ132,296千円増加いたしました。主な要因は、利益剰余金が剰余金の配当により199,336千円減少したものの、親会社株主に帰属する四半期純利益の計上により、335,218千円増加したことによるものであります。 （３）事業上及び財務上の対処すべき課題  当第１四半期連結累計期間において、当社グループが対処すべき課題について重要な変更はありません。 （４）研究開発活動  当第１四半期連結累計期間における研究開発活動の総額は10,740千円となっております。  当社グループは「IT技術で中小企業を強くします！」をミッションに掲げ、安定的な高成長を目指して、「新たなクラウドサービスの追加」を推進するための研究開発活動を行っております。セグメント別の研究開発活動の概要は以下のとおりです。 ①クラウド事業  当セグメントの研究開発活動の金額は10,740千円であります。主な活動は、労務管理を効率化するクラウドサービスの開発であります。 ②IT人材事業  当セグメントにおいては研究開発活動を行っておりません。（５）従業員数①連結会社の状況2019年６月30日現在セグメントの名称従業員数（人）クラウド事業440 （55） IT人材事業355  （4） 報告セグメント計795 （59） 全社（共通）42  （9） 合計837 （68） （注）１．従業員数は就業人員であり、臨時雇用者数（契約社員、パート及び人材会社からの派遣社員）は、当第１四半期連結累計期間の平均人員を（  ）外数で記載しております。２．全社（共通）として記載されている従業員数は、管理部門に所属しているものであります。３．従業員数が当第１四半期連結累計期間において、90名増加しております。主な理由は業容拡大に伴うものであります。 ②提出会社の状況2019年６月30日現在セグメントの名称従業員数（人）クラウド事業394 （53） 全社（共通）42  （9） 合計436 （62） （注）１．従業員数は就業人員であり、臨時雇用者数（契約社員、パート及び人材会社からの派遣社員）は、当第１四半期累計期間の平均人員を（  ）外数で記載しております。２．全社（共通）として記載されている従業員数は、管理部門に所属しているものであります。３．従業員数が当第１四半期累計期間において、61名増加しております。主な理由は業容拡大に伴うものであります。 
経営上の重要な契約等	３【経営上の重要な契約等】  当第１四半期連結会計期間において、経営上の重要な契約等の決定又は締結等はありません。
研究開発活動	
設備投資等の概要	
主要な設備の状況	
株式の総数	①【株式の総数】種類発行可能株式総数（株）普通株式80,000,000計80,000,000
発行済株式、株式の総数等	②【発行済株式】種類第１四半期会計期間末現在発行数（株）（2019年６月30日）提出日現在発行数（株）（2019年８月13日）上場金融商品取引所名又は登録認可金融商品取引業協会名内容普通株式45,304,00045,304,000東京証券取引所（マザーズ）完全議決権株式であり、権利内容に何ら限定のない当社における標準となる株式であり、単元株式数は100株であります。計45,304,00045,304,000－－
配当政策	
コーポレート・ガバナンスの概要	
役員の状況	２【役員の状況】  該当事項はありません。 
貸借対照表	
損益計算書	
キャッシュ・フロー計算書	
