項目	値
事業の内容	
経営方針、経営環境及び対処すべき課題等	
事業等のリスク	
経営者による財政状態、経営成績及びキャッシュ・フローの状況の分析	
経営上の重要な契約等	
研究開発活動	
設備投資等の概要	
主要な設備の状況	
株式の総数	① 【株式の総数】 種類発行可能株式総数(株)普通株式10,000,000計10,000,000  
発行済株式、株式の総数等	② 【発行済株式】 種類第３四半期会計期間末現在発行数(株)(平成28年12月31日)提出日現在発行数(株)(平成29年２月10日)上場金融商品取引所名又は登録認可金融商品取引業協会名内容普通株式3,200,0003,200,000東京証券取引所　　（マザーズ）完全議決権株式であり、株主としての権利内容に何ら限定のない当社における標準となる株式であります。なお、単元株式数は100株となっております。計3,200,0003,200,000――  
配当政策	
コーポレート・ガバナンスの概要	
役員の状況	前事業年度の有価証券報告書提出後、当四半期累計期間における役員の異動は、次のとおりであります。(1)退任役員役名職名氏名退任年月日取締役管理部管掌亀田　雅博平成28年10月31日 (2)異動後の役員の男女別人数及び女性の比率　男性７名（役員のうち女性の比率０％）　
貸借対照表	
損益計算書	
キャッシュ・フロー計算書	
