項目	値
事業の内容	２【事業の内容】　当第２四半期連結累計期間において、当社グループ（当社及び当社の関係会社）が営む事業の内容について、重要な変更はありません。また、主要な関係会社についても異動はありません。
経営方針、経営環境及び対処すべき課題等	
事業等のリスク	１【事業等のリスク】当第２四半期連結累計期間において、新たな事業等のリスクの発生、または、前事業年度の有価証券報告書に記載した事業等のリスクについての重要な変更はありません。
経営者による財政状態、経営成績及びキャッシュ・フローの状況の分析	２【経営者による財政状態、経営成績及びキャッシュ・フローの状況の分析】　文中の将来に関する事項は、当四半期連結会計期間の末日現在において判断したものであります。 （１）経営成績に関する説明当社グループを取り巻く環境は、将来にわたる競争力の強化を目的として、クラウドやビッグデータの活用とIoT・AIなどの新技術を活用した事業のデジタル化関連のシステム投資は堅調に推移しており、2030年度のデジタルトランスフォーメーション(DX)国内市場（投資金額）は約6.5兆円となることが予測され（富士キメラ総研）、企業がDXを進める上での課題として「人材不足」が67.6％となっております（総務省）。ポストコロナを見据えた企業を中心に採用ニーズが回復傾向にあり、また、働き方改革の進展やコロナ禍によってオンラインを通じた副業を含むシェアリングビジネスへの需要は引き続き拡大傾向となっております。このような環境の中、当社は「“人”と“技術”を新しい時代のために」を経営理念とし、「人々や企業から最も信頼される存在を目指して」をビジョンとして、人々の幸せや企業の成長をあらゆる技術の追求により最大限実現し、新しい時代において、最も信頼される存在を目指しております。当第２四半期連結累計期間において、当社グループは、引き続き、プラットフォーム事業及びセールスフォース事業では、クライアントの積極的なシステム投資やDX化を支援すると同時に、エンジニアの採用や育成によるケイパビリティ拡大に取り組み、メディア事業では、送客数の増加や送客先の新規開拓、人材紹介会社などに対する支援の拡大に取り組み、リクルーティング事業では、キャリアコンサルタントの採用や求人企業・転職希望者の両面に対するコンサルティングサービスの強化に取り組みました。シェアリング事業では、タイムチケットサービスのユーザー数獲得及びサービス利用の活性化に取り組みました。2023年８月に株式会社タイムチケットは、主にユーザー数増加を目的としたシステム開発や広告宣伝費に充当するため第三者割当増資にて500,025千円を調達し、当社の持株比率は39.7％から29.0％となりました。以上の結果、当第２四半期連結累計期間の業績は、売上高は1,182,105千円（前年同四半期比36.1％増）、営業損失は143,832千円（前年同四半期は営業損失205,942千円）、経常損失87,915は千円（前年同四半期は経常損失206,137千円）、親会社株主に帰属する四半期純利益は14,107千円（前年同四半期は親会社株主に帰属する四半期純損失92,175千円）となりました。 当社グループのセグメントの業績は次のとおりであります。 ① プラットフォーム事業プラットフォーム事業では、法人向けに、各企業が保有する基幹業務システムを活かしつつ最適なクラウドソリューションを組み合わせて、新たなデジタルプラットフォーム（ELT、API、CI/CD、IOT、BI/BA）を構築し「プラットフォーム構築支援サービス」「運用サポートサービス」として提供しております。クライアントのDX推進を支援する取り組みが受注に繋がり、同時にエンジニアの採用や育成によるケイパビリティ拡大に取り組んでおります。当第２四半期連結累計期間においては、ケイパビリティの確保が堅調に進展し、クライアントのDX推進による案件増加をこなし、順調に推移しました。以上の結果、プラットフォーム事業の売上高は543,963千円（前年同四半期比85.5％増）、セグメント利益は164,282千円（前年同四半期比125.4％増）となりました。② セールスフォース事業セールスフォース事業では、Salesforce.com 社が提供するソリューション（Sales、Service、App Cloudの他、B2BCommerce、業種別クラウドなど）を用いて、主に顧客接点強化を目的として情報を一元管理し業務効率化を図るなどのサービスを提供することで各企業が抱える課題の解決を支援しております。製品の標準機能と開発をバランス良く組み合わせつつ、要件定義から設計、開発、運用・保守、定着化支援まで一貫して支援しております。このような取り組みを通じ、パートナー契約および販売代理店契約による提案機会が向上し受注増加に繋がっており、同様にエンジニアの採用や育成によるケイパビリティ拡大やデリバリー体制の再構築に取り組んでおります。当第２四半期連結累計期間においては、前期に発生した一部の案件の不具合対応は収束したことから案件を堅調にこなしました。以上の結果、セールスフォース事業の売上高は190,208千円（前年同四半期比22.2％増）、セグメント利益は19,682千円（前年同四半期はセグメント損失5,138千円）となりました。③ メディア事業メディア事業は、企業の口コミ情報（企業の年収・評判・面接）、口コミ情報等を基にしたニュース記事（企業ニュース）、求人情報（転職・求人）等を取扱う働く人のための情報プラットフォーム「キャリコネ」を通じてワークプレイス・メディアサービスを運営し、また、人材紹介会社に対してソリューションを提供しております。当第２四半期連結累計期間においては、継続的に、送客数の増加や送客先の新規開拓、人材紹介会社などに対する支援の拡大に取り組んでおります。以上の結果、メディア事業の売上高は212,082千円（前年同四半期比26.1％増）、セグメント利益は74,052千円 （前年同四半期比166.9％増）となりました。④ リクルーティング事業リクルーティング事業は、主にハイクラス人材をターゲットとし、外資系企業、コンサルティングファーム、IT業界を中心として、求人企業及び求職者の直接依頼に基づく有料職業紹介サービスを行っております。クライアントのDX推進に伴いDX人材の採用ニーズも増加しており、当社は求人企業と転職希望者の両面へのコンサルティング力の向上を図っております。当第２四半期連結累計期間においては、DX人材をはじめとしたハイクラス人材の紹介件数は一定数をこなしたものの主要クライアントの採用縮小などにより計画を下回り、また、キャリアコンサルタントの採用は進むも案件成約には一定期間かかることから人件費が固定化されています。以上の結果、リクルーティング事業の売上高は191,416千円（前年同四半期比15.0％減）、セグメント利益は33,578千円（前年同四半期比62.8%減）となりました。⑤ シェアリング事業グループ会社である株式会社タイムチケットがシェアリング事業として個人の時間を売買できるサービス「TimeTicket(タイムチケット)」、ITコンサル/エンジニア/顧問向け案件・仕事サイト「TimeTicket Pro（タイムチケットプロ）」を運営しております。オンラインでの副業を含むシェアリングビジネスへの需要は、働き方改革の進展やテレワークの浸透とともに高まっており、ユーザー数増加及びサービス利用の活性化を図っております。当第２四半期連結累計期間においては、引き続き、今後のマーケティング施策の検討やシステム開発に取り組みましたが、売上高増加には時間を要しております。なお、2023年10月に、2022年７月に調達した資金の一部を基にした中期的な株式投資運用を事業化し、また、ライブエンターテイメント事業を開始するなど、新たな収益源を構築しています。以上の結果、シェアリング事業の売上高は90,111千円（前年同四半期比15.4%増）、セグメント損失は186,156千円（前年同四半期はセグメント損失157,822千円）となりました。 （２）財政状態に関する説明当第２四半期連結会計期間末における資産の合計は、前連結会計年度末に比べ466,440千円増加し、2,172,265千円となりました。これは主に、現金及び預金の増加が361,889千円、受取手形、売掛金及び契約資産の増加が87,343千円、投資有価証券の増加が66,145千円あったことによるものであります。　当第２四半期連結会計期間末における負債の合計は、前連結会計年度末に比べ34,078千円増加し、412,728千円となりました。これは主に、未払消費税等の増加が31,750千円、前受金の増加が34,849千円あった一方、１年以内返済予定の長期借入金の減少が6,142千円、長期借入金の減少が17,209千円あったことによるものであります。当第２四半期連結会計期間末における純資産の合計は、前連結会計年度末に比べ432,361千円増加し、1,759,537千円となりました。これは主に、資本剰余金の増加が116,415千円、非支配株主持分の増加が303,465千円あったことによるものであります。 （３）キャッシュ・フローの状況当第２四半期連結会計期間末における現金及び現金同等物は、1,301,549千円となりました。当第２四半期連結累計期間における各キャッシュ・フローの状況とそれらの要因は次のとおりであります。（営業活動によるキャッシュ・フロー）営業活動によるキャッシュ・フローは、108,355千円の使用（前年同四半期は231,676千円の使用）となりました。これは主に、税金等調整前四半期純損失が87,915千円、投資有価証券売却損益が39,254千円、売上債権の増加が87,343千円あった一方、前払費用の減少が32,692千円、未払消費税等の増加が31,750千円、前受金の増加が37,092千円あったことによるものであります。（投資活動によるキャッシュ・フロー）投資活動によるキャッシュ・フローは、11,541千円の使用（前年同四半期は11,394千円の使用）となりました。これは主に、投資有価証券の取得による支出が381,050千円あった一方、投資有価証券の売却による収入が368,228千円あったことによるものであります。（財務活動によるキャッシュ・フロー）財務活動によるキャッシュ・フローは、465,047千円の獲得（前年同四半期は493,108千円の獲得）となりました。これは主に、非支配株主からの払込みによる収入が500,025千円あった一方、長期借入金の返済による支出が35,546千円あったことによるものであります。 （４）経営方針・経営戦略等当第２四半期連結累計期間において、当社グループが定めている経営方針・経営戦略等について重要な変更はありません。 （５）優先的に対処すべき事業上及び財務上の課題当第２四半期連結累計期間において、当社グループが優先的に対処すべき事業上及び財務上の課題について重要な変更はありません。 （６）研究開発活動該当事項はありません。 （７）従業員数①連結会社の状況当第２四半期連結累計期間において、エンジニアの採用を進めていることなどから、当社グループにおける従業員数は20名増加しております。②提出会社の状況当第２四半期累計期間において、エンジニアの採用を進めていることなどから、当社における従業員数は20名増加しております。
経営上の重要な契約等	３【経営上の重要な契約等】　当第２四半期連結会計期間において、経営上の重要な契約等の決定または締結等はありません。
研究開発活動	
設備投資等の概要	
主要な設備の状況	
株式の総数	①【株式の総数】種類発行可能株式総数（株）普通株式123,000,000計123,000,000
発行済株式、株式の総数等	②【発行済株式】種類第２四半期会計期間末現在発行数（株）（2023年９月30日）提出日現在発行数（株）（2023年11月14日）上場金融商品取引所名又は登録認可金融商品取引業協会名内容普通株式36,403,20036,403,200東京証券取引所（グロース市場）単元株式数100株計36,403,20036,403,200－－（注）「提出日現在発行数」欄には、2023年11月１日からこの四半期報告書提出日までに新株予約権の行使により発行された株式数は含まれておりません。 
