項目	値
事業の内容	２【事業の内容】当第１四半期連結累計期間において、当社グループ（当社及び当社の関係会社）が営む事業の内容について重要な変更はありません。また、主要な関係会社における異動もありません。 
経営方針、経営環境及び対処すべき課題等	
事業等のリスク	１【事業等のリスク】当第１四半期連結累計期間において、新たな事業等のリスクの発生、または、前事業年度の有価証券報告書に記載した事業等のリスクについて重要な変更はありません。 
経営者による財政状態、経営成績及びキャッシュ・フローの状況の分析	２【経営者による財政状態、経営成績及びキャッシュ・フローの状況の分析】文中の将来に関する事項は、当四半期連結会計期間の末日現在において判断したものであります。 (1）業績の状況当第１四半期連結累計期間におけるわが国経済は、新型コロナウイルス感染拡大の影響により国内外を問わず家計や企業の活動が制限されたことに伴い、景気は依然として厳しい状況にありますが、持ち直しの動きがみられております。当社グループを取り巻く環境におきましては、超高齢社会の到来に伴い、介護費、介護保険サービス利用者数及びサービス提供事業者数は増加し、介護事業全体の底上げが続いております。2018年度の介護保険制度改正では、高品質かつ効率的な介護サービスの提供可能な体制整備を推進する観点から、地域包括ケアシステムのより一層の推進と、ＩＣＴの活用及び介護の担い手の拡大などが謳われており、また、介護保険法において各市区町村における在宅医療・介護の連携推進が義務化されるなど、医療・介護事業全体でサービス提供のより一層の効率化が求められております。このような状況のもと、当社グループは、医療・介護をつなぐ地域包括ケアを実現するシステムを提供していることから、各省庁との共同プロジェクトに参加し、国の政策と同じ方向性をもつシステム開発会社となるよう努めるとともに、介護保険制度改正に対応する準備を整え、継続して適時にシステム改修を行い、システム利用者の負担軽減により、ユーザーの利便性の向上を図っております。総務省の「IoTサービス創出支援事業」の実証実験を通じて「カナミッククラウドサービス」を基軸とした介護における各種データの活用連携を進めるとともに、「東京都多職種連携ポータルサイト」を通じて、従来の市区町村に比べてより広範囲な都道府県単位での在宅療養推進体制に寄与するなど、当社グループの「カナミッククラウドサービス」で培った医療・介護連携のノウハウが地域の医療・介護連携に貢献しております。また、高齢者支援事業とあわせ、「子育て支援システム」を通じて自治体の子育て支援事業の効率運用に寄与しております。また、遠隔医療に豊富な実績のある国立大学法人 旭川医科大学と「遠隔医療・介護のIoTクラウド利用の地域包括ケア・グローバルモデル構築」を目的とした共同研究も前期に引き続き実施しております。新たな事業といたしましては、介護事業者における介護サービス利用者向け請求書・領収書の「発行」「連絡」業務に対するソリューションサービスとして、業務をWeb 上で完結できるDX（デジタルトランスフォーメーション）サービスとしての「カナミックかんたんWeb 明細」、実作業の事務代行を行う「カナミックかんたん郵送代行（BPO）」をそれぞれ開始いたしました。一方で、当社システムのプラットフォーム化の一環として、コンテンツサービスの充実、人材データベースマッチングサービスや医療・介護事業者向け物販サービスの稼働、サービス付き高齢者向け住宅におけるIoT連携など、他社との業務連携を進めてまいりました。さらに、当社グループのシステムがプラットフォーム化に対応していくことに伴い取得される患者・要介護者等の情報をビッグデータとして解析し、国や自治体、保険会社等が必要としているエビデンスを見つけ出すＡＩサービス等の展開を通じて医療・介護分野における地域連携をさらに推進させ、患者・要介護者、全ての医療・介護事業者にソリューションを提供するための研究活動も実施しております。なお、新型コロナウイルス感染症の流行拡大に伴い当社グループの主たる顧客である介護事業者の一部において、介護事業の活動が制限される状況となっておりますが、現時点における当社グループへの影響は軽微となっております。これらの結果、当第１四半期連結累計期間における業績は、売上高533,473千円（前年同期比113,848千円増、27.1％増）、営業利益203,951千円（前年同期比103,718千円増、103.5％増）、経常利益206,801千円（前年同期比105,273千円増、103.7％増）、親会社株主に帰属する四半期純利益143,646千円（前年同期比74,211千円増、106.9％増）となりました。 また、当社グループは、医療・介護分野における情報共有プラットフォームの構築を目的とする事業ならびにこれに付帯する業務の単一セグメント事業であるため、セグメント情報は記載しておりませんが、個別サービスごとの売上高は以下となります。ⅰ　カナミッククラウドサービスカナミッククラウドサービスはストックビジネスをメインとしており、既存顧客のストック部分をベースに、継続的な新規顧客の獲得を続けた結果、売上高は435,410千円（前年同期比39,402千円増、10.0％増）となりました。ⅱ　プラットフォームサービスプラットフォームサービスにつきましては、大手介護事業者からの依頼によるホームページ構築業務や公益財団法人介護労働安定センターを通じた介護事業社向けホームページの受託制作、運営・管理が安定した収益基盤となっており、また介護関連情報を提供するインターネット広告サービスや情報共有プラットフォームを通じた新型コロナウイルス対策商品の販売など各種サービスの提供を手がけることで、売上高は67,450千円（前年同期比52,342千円増、346.5％増）となりました。ⅲ　その他サービスその他サービスにつきましては、大口顧客向けカスタマイズ開発の受託などにより、売上高は30,612千円（前年同期比22,102千円増、259.7％増）となりました。 （利益の概況）売上高が増加する一方で、プラットフォームサービス及びその他サービスに関連する商品仕入高や制作費等が増加したことにより、売上原価が前年同期に比べ50,275千円増加し97,849千円となりました。この結果、売上総利益は435,624千円（前年同期比63,572千円増、17.1％増）となりました。また、国立大学法人 旭川医科大学との共同研究期間が最終年度であることに伴う試験研究費の減少や、コロナ禍におけるテレワークやリモート会議等の経営効率化を進めたことにより、販売費及び一般管理費が前年同期に比べ40,146千円減少し231,672千円となりました。この結果、営業利益は203,951千円（前年同期比103,718千円増、103.5％増）となりました。テレワーク導入による補助金収入1,599千円、為替差益867千円等により、営業外収益が前年同期に比べ1,477千円増加し3,013千円となり、営業外費用が前年同期に比べ76千円減少し162千円となりました。この結果、経常利益は206,801千円（前年同期比105,273千円増、103.7％増）となりました。これらの結果、税金等調整前四半期純利益は206,801千円（前年同期比105,273千円増、103.7％増）、法人税等合計が前年同期に比べ31,061千円増加し63,154千円となり、親会社株主に帰属する四半期純利益は143,646千円（前年同期比74,211千円増、106.9％増）となりました。 (2）財政状態の分析当第１四半期連結会計期間末における総資産は、前連結会計年度末に比べ19,108千円減少し、2,283,894千円となりました。これは主に、カナミッククラウドサービスの新機能追加によりソフトウエアが8,827千円増加する一方で、法人税及び配当金の支払により現金及び預金が28,520千円減少したことによるものであります。当第１四半期連結会計期間末における負債は、前連結会計年度末に比べ67,023千円減少し、330,132千円となりました。これは主に、支払により未払法人税等が72,292千円減少したことによるものであります当第１四半期連結会計期間末における純資産は、前連結会計年度末に比べ47,914千円増加し、1,953,762千円となりました。これは主に、利益剰余金が親会社株主に帰属する四半期純利益により143,646千円増加する一方で、配当金の支払により96,261千円減少したことによるものであります。 (3）経営方針・経営戦略等当第１四半期連結累計期間において、当社グループが定めている経営方針・経営戦略等について重要な変更はありません。 (4）優先的に対処すべき事業上及び財務上の課題当第１四半期連結累計期間において、当社グループが優先的に対処すべき事業上及び財務上の課題について重要な変更はありません。 (5）研究開発活動当社グループは、在宅医療・看護・介護分野の連携を実現する情報ネットワーク基盤の強化を目的として研究開発を行っております。研究開発活動の内容といたしましては、主に東京大学高齢社会総合研究機構との共同研究体制により、在宅医療・看護・介護のシームレスな連携を実現するネットワークシステムにおける多職種間連携の機能強化に関する研究を進めております。また、国立大学法人 旭川医科大学との共同研究を実施しており、同大学との共同研究体制を通じてIoTクラウド利用の地域包括ケア・グローバルモデル構築を目的とした遠隔医療・介護に関する研究を進めております。また、ＡＩを活用した医療・介護分野における地域連携の研究開発を開始しております。このような研究開発活動の結果、当第１四半期連結累計期間における研究開発費は13,750千円となりました。 
経営上の重要な契約等	３【経営上の重要な契約等】当第１四半期連結会計期間において、経営上の重要な契約等の決定又は締結等はありません。 
研究開発活動	
設備投資等の概要	
主要な設備の状況	
株式の総数	①【株式の総数】種類発行可能株式総数（株）普通株式158,400,000計158,400,000
発行済株式、株式の総数等	②【発行済株式】種類第１四半期会計期間末現在発行数（株）（2020年12月31日）提出日現在発行数（株）（2021年２月５日）上場金融商品取引所名又は登録認可金融商品取引業協会名内容普通株式48,132,00048,132,000東京証券取引所（市場第一部）単元株式数100株計48,132,00048,132,000－－
配当政策	
コーポレート・ガバナンスの概要	
役員の状況	２【役員の状況】前事業年度の有価証券報告書提出日後、当四半期累計期間における役員の異動はありません。 
貸借対照表	
損益計算書	
キャッシュ・フロー計算書	
