項目	値
事業の内容	２【事業の内容】　当第３四半期連結累計期間において、当社グループ（当社及び当社の関係会社）において営まれている事業の内容について、重要な変更はありません。　当第３四半期連結累計期間における、各セグメントに係る主要な関係会社の異動は概ね次のとおりです。＜NEW-ITトランスフォーメーション事業＞　当社の子会社である株式会社ディジタルグロースアカデミアは、2022年８月１日にロゴスウェア株式会社の株式を譲り受け、子会社化しました。これに伴い、第２四半期連結会計期間より、同社を連結範囲に含めております。　当社は、2022年10月３日に株式会社DFA Roboticsの株式を譲り受け、子会社化しました。これに伴い、当第３四半期連結会計期間より、同社を連結範囲に含めております。＜投資事業＞　主要な関係会社の異動はありません。＜パブリテック事業＞　当社は2022年４月15日に株式会社ガバメイツの新規発行株式の引受けを行い子会社化しました。これに伴い、第１四半期連結会計期間より、同社を連結範囲に含めております。＜その他＞　SBIホールディングス株式会社が2022年６月29日付で当社議決権の20.13％を所有することとなったため、その他の関係会社に該当することとなりました。
経営方針、経営環境及び対処すべき課題等	
事業等のリスク	１【事業等のリスク】　当第３四半期連結累計期間において、新たな事業等のリスクの発生、または、前事業年度の有価証券報告書に記載した事業等のリスクについての重要な変更はありません。 
経営者による財政状態、経営成績及びキャッシュ・フローの状況の分析	２【経営者による財政状態、経営成績及びキャッシュ・フローの状況の分析】　文中の将来に関する事項は、当四半期連結会計期間の末日現在において当社グループが判断したものであります。　なお、当社は前連結会計年度において、連結会計年度末日を９月30日から３月31日に変更しております。これに伴い、前期は第３四半期に相当する要約四半期連結財務諸表を作成していないため、前第３四半期連結累計期間との比較は記載しておりません。 （１）経営成績の状況今後、我が国は2065年に国民の約2.6人に１人が65歳以上の高齢者となるという世界で類を見ない超高齢化社会になることが予測されています。また、昨今では新型コロナウイルスの感染拡大を契機として、日本のデジタルトランスフォーメーション（以下「DX」といいます。）の進展が世界から大きく後れを取っている認識が高まり、株式市場においてもDXに対応し進化している企業とそうではない企業の二極化が進展し、企業は自社の生き残りをかけ、DXへの対応・変革・投資が急務となっている状況です。また、地方自治体においても、厳しい財政状態・人口減少の課題に直面し、職員数が減少しているにもかかわらずその業務負担は増加傾向にあり、DXによる業務効率化が必要不可欠となっています。そのような環境の中、当社グループにおいては「Change People、Change Business、Change Japan」をミッションに掲げ、「生産性をCHANGEする」というビジョンのもと、「人×技術」で日本の生産性を飛躍的に向上させ、人口減少下の日本を持続可能な社会にするため、ビジネスモデル・業務プロセスのデジタル化及びデジタル人材の育成支援などの事業を展開し、創業以来、多くの顧客のデジタル化ニーズに対してソリューションを提供してきております。具体的な事業内容としては、デジタル人材の育成支援や業務プロセスの革新及びデジタル化を担うNEW-ITトランスフォーメーション事業、NEW-ITトランスフォーメーション事業と相乗効果のある事業への投資を通じ、新事業の創出やビジネスモデル構築を担う投資事業、DXによる地方創生の推進をミッションとするパブリテック事業の３つの事業を柱として推進・拡大しております。2022年５月13日に改訂版中期経営計画「Digitize &amp; Digitalize Japan (Phase2)」を発表いたしました。「Local」 × 「Social」 × 「Digital」の重点領域を定め日本のDXをリードし、改訂版中期経営計画を達成すべく、2022年３月にSBIホールディングス株式会社との資本業務提携を実施し地方創生に向けた取り組みを加速させるとともに、人材採用・育成、大手企業との合弁会社の設立によるDXの成長領域の拡大、M＆A等の成長投資を加速させております。また、現在、2023 年４月を目途に持株会社体制へ移行するための準備を行っております。持株会社体制への移行により、グループガバナンスの一層の強化と経営資源配分の最適化ならびに次世代の経営人材育成を推進し、あらゆる経営環境の変化にも迅速に対応できる、柔軟かつ強靭な経営体制へと進化することを目指してまいります。 当第３四半期連結累計期間の経営成績は次のとおりです。NEW-ITトランスフォーメーション事業につきましては、M＆Aや資本業務提携を中心とした成長投資を継続しております。2022年８月１日に子会社である株式会社ディジタルグロースアカデミアにおいて、eラーニング・研修ライブ配信プラットフォームを提供するロゴスウェア株式会社を子会社化し、DX人材育成プラットフォーム「みんなデ」のサービスを開始し、順調に利用者数を増加させております。当社は、サブスクリプション型eラーニングサービス「KaWaL」を展開し、2022年11月４日にeラーニングの学習管理システムを展開するlearningBOX株式会社との資本業務提携を行いました。これらの投資により、デジタル人材育成領域におけるプラットフォーム型へのビジネスモデルの進化を加速させております。また、当社は、2022年10月３日に株式会社DFA Roboticsを子会社化いたしました。これにより少子高齢化、人口減少下にある日本のソリューションの一つとして今後の飛躍的な成長が見込まれるロボティクス事業を展開してまいります。投資事業につきましては、グロース株を中心とした保有する上場企業の株価が堅調に推移し、売上収益のマイナス幅が縮小しております。パブリテック事業につきましては、ふるさと納税プラットフォームのOEM提供、決済手段・決済方法の多様化を図り、ふるさと納税寄付取扱高が堅調に推移いたしました。地方自治体向けSaaSビジネスであるLoGoチャット及びLoGoフォームが引き続きユーザーからの高い評価を得て順調に契約数が増加し、LoGoチャットにおいては、有償・無償を合わせた利用自治体数が1,100自治体を突破いたしました。また、自治体DXを加速させるべく、M＆Aや資本業務提携、合弁会社の設立を中心とした成長投資を加速させております。当社はコニカミノルタ株式会社及びコニカミノルタパブリテック株式会社と合弁会社である株式会社ガバメイツを2022年３月28日に設立いたしました。自治体向けビジネスであるため売上収益は下期偏重となりますが、先行投資を計画通り実施し、順調に戦略を進めております。2022年10月21日に行政向けSaaSに強みを持つ株式会社ガバナンステクノロジーズと資本業務提携契約を締結し、これに加えて自治体向けマーケティング・営業の強化を図るべく、2022年12月23日に株式会社ホープと資本業務提携契約を締結し、2023年１月10日より持分法適用会社化を行っております。これらの結果、当第３四半期連結累計期間の売上収益は15,519百万円、営業利益は5,230百万円、税引前四半期利益は5,169百万円、親会社の所有者に帰属する四半期利益は3,623百万円となりました。 　セグメントの経営成績は、以下のとおりであります。 （Ⅰ）NEW-ITトランスフォーメーション事業　NEW-ITトランスフォーメーション事業につきましては、M＆Aや資本業務提携を中心とした成長投資を継続しております。2022年８月１日に子会社である株式会社ディジタルグロースアカデミアにおいて、eラーニング・研修ライブ配信プラットフォームを提供するロゴスウェア株式会社を子会社化し、DX人材育成プラットフォーム「みんなデ」のサービスを開始し、順調に利用者数を増加させております。当社は、サブスクリプション型eラーニングサービス「KaWaL」を展開し、2022年11月４日にeラーニングの学習管理システムを展開するlearningBOX株式会社との資本業務提携を行いました。これらの投資により、デジタル人材育成領域におけるプラットフォーム型へのビジネスモデルの進化を加速させております。また、当社は、2022年10月３日に株式会社DFA Roboticsを子会社化いたしました。これにより少子高齢化、人口減少下にある日本のソリューションの一つとして今後の飛躍的な成長が見込まれるロボティクス事業を展開してまいります。　この結果、当第３四半期連結累計期間におけるNEW-ITトランスフォーメーション事業の売上収益は3,655百万円、セグメント利益は1,023百万円となりました。 （Ⅱ）投資事業　投資事業につきましては、グロース株を中心とした保有する上場企業の株価が堅調に推移し、売上収益のマイナス幅が縮小しております。　この結果、当第３四半期連結累計期間における投資事業の売上収益は△150百万円、セグメント損失は174百万円となりました。 （Ⅲ）パブリテック事業　パブリテック事業につきましては、ふるさと納税プラットフォームのOEM提供、決済手段・決済方法の多様化を図り、ふるさと納税寄付取扱高が堅調に推移いたしました。地方自治体向けSaaSビジネスであるLoGoチャット及びLoGoフォームが引き続きユーザーからの高い評価を得て順調に契約数が増加し、LoGoチャットにおいては、有償・無償を合わせた利用自治体数が1,100自治体を突破いたしました。また、自治体DXを加速させるべく、M＆Aや資本業務提携、合弁会社の設立を中心とした成長投資を加速させております。当社はコニカミノルタ株式会社及びコニカミノルタパブリテック株式会社と合弁会社である株式会社ガバメイツを2022年３月28日に設立いたしました。自治体向けビジネスであるため売上収益は下期偏重となりますが、先行投資を計画通り実施し、順調に戦略を進めております。2022年10月21日に行政向けSaaSに強みを持つ株式会社ガバナンステクノロジーズと資本業務提携契約を締結し、これに加えて自治体向けマーケティング・営業の強化を図るべく、2022年12月23日に株式会社ホープと資本業務提携契約を締結し、2023年１月10日より持分法適用会社化を行っております。　この結果、当第３四半期連結累計期間におけるパブリテック事業の売上収益は12,038百万円、セグメント利益は6,466百万円となりました。  （２）財政状態の分析①資産、負債及び資本の状況(資産)　当第３四半期連結会計期間末の流動資産は42,332百万円となり前連結会計年度末と比較して6,670百万円増加しました。これは主に、営業債権及びその他の債権が11,625百万円増加したことによるものです。また非流動資産は15,575百万円となり前連結会計年度末と比較して8,508百万円増加しました。これは主に、のれんが4,334百万円増加したことによるものです。　以上の結果、総資産は57,907百万円となり前連結会計年度末と比較して15,178百万円増加しました。 (負債)　当第３四半期連結会計期間末における流動負債は15,229百万円となり前連結会計年度末と比較して9,356百万円増加しました。これは主に、営業債務及びその他の債務が5,039百万円増加したことによるものです。また、非流動負債は3,528百万円となり前連結会計年度末と比較して2,179百万円増加しました。これは主に、長期未払金の増加によりその他の非流動負債が1,336百万円増加したことによるものです。　以上の結果、負債合計は18,758百万円となり前連結会計年度末と比較して11,535百万円増加しました。 (資本)　当第３四半期連結会計期間末における資本は39,149百万円となり前連結会計年度末と比較して3,643百万円増加しました。これは主に親会社の所有者に帰属する四半期利益の計上により利益剰余金が3,298百万円増加したことによるものです。 ②キャッシュ・フローの状況　当第３四半期連結会計期間末における現金及び現金同等物は、前連結会計年度末に比べ5,749百万円減少し、24,657百万円となりました。各キャッシュ・フローの状況と主な要因は、次のとおりです。（営業活動によるキャッシュ・フロー）当第３四半期連結累計期間における営業活動による資金の減少は、3,749百万円となりました。これは主に、営業債権及びその他の債権の増減額△11,095百万円によるものです。（投資活動によるキャッシュ・フロー）当第３四半期連結累計期間における投資活動による資金の減少は、6,204百万円となりました。これは主に、子会社の取得による支出2,682百万円によるものです。（財務活動によるキャッシュ・フロー）　当第３四半期連結累計期間における財務活動による資金の増加は、4,230百万円となりました。これは主に、短期借入金の純増減額3,000百万円によるものです。 (3）事業上及び財務上の対処すべき課題　当第３四半期連結累計期間において、当社グループが対処すべき課題について重要な変更はありません。 (4）研究開発活動　該当事項はありません。  
経営上の重要な契約等	３【経営上の重要な契約等】（持株会社体制への移行に伴う吸収分割契約の締結）１. 持株会社体制への移行と吸収分割契約当社グループでは急速な変化を求められる経営環境下において、当社グループが今後さらなる成長を実現するためには、持株会社体制へ移行することが最適と判断いたしました。持株会社体制への移行のために吸収分割契約を締結しております。 ２. 会社分割の要旨（１）本件分割の日程持株会社体制への移行準備開始決定　　　　　2022年12月14日吸収分割契約承認取締役会　　　　　　　　　2023年１月16日吸収分割契約締結　　　　　　　　　　　　　2023年１月16日吸収分割の効力発生日　　　　　　　　　　　2023年４月１日（予定）※ 本件分割は、当社においては、会社法784条第２項に定める簡易分割に該当し、承継会社においては、同法796条第２項に定める簡易分割及び同条第１項に定める略式分割に該当するため、当社及び承継会社において、それぞれ、株主総会における吸収分割契約の承認を経ずに行う予定です。 （２）本件分割の方法当社を分割会社とし、当社の完全子会社である株式会社チェンジ分割準備会社を承継会社とする吸収分割です。 （３）本件分割に係る割当の内容承継会社は本件分割に際し、承継する承継対象権利義務の対価として、当社に対して株式その他の金銭等の割当ては行いません。 （４）本件分割に伴う新株予約権及び新株予約権付社債に関する取扱い当社の新株予約権の取扱いについて、本件分割による変更はありません。なお、当社は、新株予約権付社債を発行しておりません。 （５）会社分割により増減する資本金本件分割に際して当社の資本金の増減はありません。 （６）承継会社が承継する権利義務承継会社は、本事業に関する権利義務のうち、本件分割契約において定めるものを当社から承継します。 （７）債務履行の見込み当社は、本件分割後に予想される当社及び承継会社の資産及び負債の額並びに収益状況について検討した結果、本件分割後の当社及び承継会社の負担すべき債務については、履行の確実性に問題がないものと判断しております。 ３. 分割する事業の概要（１）分割する事業の内容NEW－ITトランスフォーメーション事業 （２）分割する事業部門の経営成績（2022年３月期）売上高：831百万円（注）株式会社チェンジ（吸収分割会社）は、2021年12月24日に開催しました第19回定時株主総会の決議により、事業年度の末日を従来の毎年９月30日から毎年３月31日に変更いたしました。これに伴い、経過期間となる2022年３月期は2021年10月１日から2022年３月31日までの６ヶ月間を連結対象期間とする変則的な決算となっています。    （３）分割する資産、負債の項目及び金額（2022年３月31日現在）　（単位：百万円）資産負債流動資産72流動負債55固定資産51固定負債0合計123合計55（注）上記金額は 2022年３月31日現在の貸借対照表を基準として算出しているため、実際に承継される額は、上記金額に効力発生日までの増減を調整した数値となります。 
研究開発活動	
設備投資等の概要	
主要な設備の状況	
株式の総数	①【株式の総数】種類発行可能株式総数（株）普通株式184,320,000計184,320,000  
発行済株式、株式の総数等	②【発行済株式】種類第３四半期会計期間末現在発行数（株）（2022年12月31日）提出日現在発行数（株）（2023年２月14日）上場金融商品取引所名又は登録認可金融商品取引業協会名内容普通株式72,959,56272,959,562東京証券取引所プライム市場単元株式数100株計72,959,56272,959,562－－（注）提出日現在の発行数には、2023年２月１日からこの四半期報告書提出日までの新株予約権の行使により発行された株式数は含まれておりません。  
