項目	値
事業の内容	３【事業の内容】当社は、二次電池用の正極材料の製造販売を主な事業としております。当社は二次電池事業の単一セグメントであるため、セグメントごとに記載しておりません。 事業の系統図は、次のとおりであります。  
経営方針、経営環境及び対処すべき課題等	１【経営方針、経営環境及び対処すべき課題等】　当社の経営方針、経営環境及び対処すべき課題等は、以下のとおりであります。　なお、文中の将来に関する事項は、当事業年度末現在において当社が判断したものであります。（１）経営方針当社は、①「正極材開発で培ってきた独自技術を基盤に独創的な新製品を生み出すことを通じて、地球環境課題の解決に挑戦し、持続可能な社会の実現を目指します」②「社員一人ひとりを尊重し、各人が能力と主体性を高め、互いに協力し合う意欲あふれる企業風土をつくりあげます」を経営理念として、常に人間と社会の調和を図りながら、新しい科学技術の創造と発展を目指していくことを基本方針としております。 （２）経営戦略等当社は拡大する二次電池市場の中長期的な需要増に対応するため、設備増強投資と設備稼働に向けた組織人員体制の強化に取り組んでおり、顧客のニーズに積極的に対応してまいります。（経営戦略）①リチウムイオン電池向け材料事業の最適化②ニッケル水素電池向け材料事業の最適化③グローバルに通用する競争力の確保と維持④人材組織活性化 （３）経営上の目標の達成状況を判断するための客観的な指標等当面目標とする経営指標は経常利益黒字化の定着を掲げております。 （４）経営環境当社の主たるマーケットである二次電池市場は、世界的な温暖化問題やエネルギー自給率の向上など、持続可能な社会の実現に向け、車載用途、蓄電池用途を中心に今後も需要が拡大していくものとみられております。また、より一層の普及に向けて低環境負荷かつ低コスト化が求められており、新技術の研究開発も活発化しております。リチウムイオン電池に関しては、脱炭素社会への対応や産業振興の観点から、世界各国ではＥＶを中心に普及促進策が図られるとともに市場は拡大を続けております。こうした状況下、自動車、電池メーカー間での連携の動きが世界各域で活発化しており本格的な普及期に向けて準備が進められております。また、使用される正極材料もＮＣＭ（ニッケル、コバルト、マンガン）といった三元系やＬＦＰといった鉄系のものなど目的に応じて多様化しております。ニッケル水素電池に関しては、リチウムイオン電池に対して出力特性が高い、安全性に対する高い信頼性、市場での実績など特徴を生かし、ＨＶ用途で堅調に推移するものとみられております。 （５）優先的に対処すべき事業上及び財務上の課題①５万トン安定稼働の体制構築・要員不足対策（要員確保、省人化対策、人材教育の充実化）・インフラ設備の経年更新・能力拡充へ向けての対応・原料使用の多様化対応・生産～出荷業務のボトルネック解消②顧客等取引先との新たな関係構築・顧客のニーズに積極的に対応し生産ラインの高稼働実現と維持を目指す・ライフサイクルアセスメントに配慮したサプライチェーンへの取り組み③グローバルに通用する競争力の確保と維持・市場、顧客のニーズにそった適時的確な製品提案・生産最適化による安定した品質とコストミニマムを両立させた強靭な製造力の確保・カーボンニュートラル社会の実現に向けた取り組み促進 （６）対処方針等当社は中長期的な需要増に対応するため、数年かけてインフラを含めた設備増強投資と設備稼働に向けた組織人員体制の強化で、リチウムイオン及びニッケル水素電池向け製品の増産体制の構築に取り組んでおり、年間約５万トンの生産能力となっております。これらの生産能力を最大限に活用し、既存顧客への拡販及び新規顧客に対して供給体制の最適化を図り、設備の本格稼働へ向けて段階的に準備を行っております。また、生産性、品質安定性、設備負荷等を考慮した生産ラインの最適化を図ることでコスト競争力を高めた強靭な製造力を追求し、製品開発を含め顧客のニーズにそった適時的確な提案をしてまいります。 
事業等のリスク	３【事業等のリスク】有価証券報告書に記載した事業の状況、経理の状況等に関する事項のうち、経営者が提出会社の財政状態、経営成績及びキャッシュ・フローの状況に重要な影響を与える可能性があると認識している主要なリスクは、以下のとおりであります。なお、文中の将来に関する事項は、当事業年度末現在において当社が判断したものであります。（１）主要原材料の価格変動について当社製品の主要原材料であるニッケル及びコバルトは国際市況商品であるため、海外の需給状況及び為替相場により仕入価格が変動いたします。また、苛性ソーダや硫酸などの主要ケミカル材料及び重油などの燃料も国内外の需給状況などにより仕入価格が変動いたします。当社製品の販売価格は、基本的には主要原材料価格に連動して決定される仕組みとなっておりますが、主要原材料価格が急激に変動した場合には、製品価格への転嫁が遅れることなどにより、当社の業績に影響を及ぼす可能性があります。（２）二次電池正極材料への依存度が高いことについて当社は、無機化学製品として二次電池正極材料を製造・販売しております。このため、環境対応車及びノートパソコン・スマートフォン・電動工具などの民生機器が主要な用途であります国内外の二次電池の市場動向や技術動向が、当社の業績に影響を及ぼす可能性があります。（３）特定の取引先への依存度が高いことについて当社の主な販売先のうち、パナソニックホールディングス㈱・丸紅㈱・Samsung SDI.,Ltd.の３社に対する売上高の依存度が2023年３月期において約79％と高くなっております。このような取引関係が継続困難となった場合や、各社の製品需要の動向その他種々の変化によっては、当社の業績に影響を及ぼす可能性があります。（４）製品のライフサイクルについて当社は、研究開発型企業として常に技術的に進化した新製品の開発と市場化に向けた努力を行っております。また、主要なマーケットである二次電池市場も日進月歩の技術的進歩が常に起こっており、その結果、当社製品の中には、ライフサイクルが比較的短く、また、その製造設備を他に転用することが困難であるために、十分な減価償却が進まないうちに設備除却または減損処理を余儀なくされる場合があり、その状況によっては当社の業績に影響を及ぼす可能性があります。（５）生産が福井工場に集中していることについて当社は、2007年６月末の武庫川工場の閉鎖実施後は、福井工場における一極生産体制となっております。その結果、地震等の自然災害その他何らかの事由により福井工場における生産の円滑な継続に支障の出る事態となった場合には、その状況によっては当社の業績に影響を及ぼす可能性があります。（６）親会社との関係について当社の親会社は住友化学株式会社（以下、住友化学といいます。）であり、当社は連結子会社として住友化学グループに属しております。当社の経営方針についての考え方や利害関係が住友化学との間で常に一致することの保証はなく、住友化学による当社の議決権行使及び保有株式の処分の状況等により、当社の事業運営及び当社普通株式の需要関係等に影響を及ぼす可能性があります。（７）他社との競合や価格競争について当社の事業は価格競争に晒されております。競合他社の生産能力増強、輸出入時の関税など、様々な理由により当社の製品は今後も厳しい価格競争に晒されるものと予想されます。当社はコストの低減に努めておりますが、価格競争を克服できない場合、当社の業績に影響を及ぼす可能性があります。（８）増産計画について当社の増産計画は、当社製品の需要予測などを踏まえて策定し、実行しております。経済情勢の悪化や販売予定先の状況の変化、設備の不具合などにより計画どおりに進展しない場合、当社の業績に影響を及ぼす可能性があります。 （９）製品の品質について当社は、世界的に認められている厳格な品質管理基準に従って、各種製品を製造しておりますが、全ての製品について欠陥が無く、将来にわたってリコールが発生しないという保証はありません。大規模な製品事故や予期せぬ品質問題の発生は、多額のコストや当社の評価に重大な影響を与え、当社の業績に影響を及ぼす可能性があります。（10）棚卸資産の評価損について当社が保有する棚卸資産について、将来需要の変化や市場環境の悪化などにより、評価損の計上が必要となり、当社の業績に影響を及ぼす可能性があります。（11）固定資産の減損について当社は減損会計を適用しております。将来、当社が保有する固定資産について、経営環境の著しい悪化などによる顧客からの受注の減少や加工販売単価の下落などにより、減損損失が発生し、当社の業績に影響を及ぼす可能性があります。（12）為替レート変動について当社は、国内で製造した製品を海外に輸出するとともに海外から原料品を輸入しておりますが、製品輸出高は原料品輸入高を上回っております。外国通貨に対して円高が進行した場合、海外で生産された製品に対する価格競争力が低下することに加え、輸出手取額の減少が輸入支払額の減少を上回ることになります。為替レートの変動によるリスクを完全にヘッジすることはできないため、円高の進行は当社の業績に影響を及ぼす可能性があります。（13）金利変動について当社は、資金需要に対してその内容や財政状態及び金融環境を考慮し、調達の金額・期間・方法などを判断しております。今後の金利の変動に備え、変動金利・固定金利を適宜組み合わせて調達を行うこととしておりますが、金利が上昇した場合には支払利息が増加し、当社の業績に影響を及ぼす可能性があります。（14）研究開発について当社は、販売先のニーズに合わせた新技術・新製品をスピーディーに上市するため、積極的に研究開発を行っております。新製品が販売予定先に採用されない、または新製品の開発が著しく遅延もしくは断念される場合には、競争力が低下し、当社の業績に影響を及ぼす可能性があります。（15）知的財産の侵害について当社は、他社と差別化できる技術とノウハウを蓄積し事業の競争力を強化してきましたが、当社独自の技術・製品とノウハウの一部は、厳正な管理を行っているものの、予期せぬ事態により外部に流出する可能性があり、また、特定の地域ではこれらの知的財産の完全な保護が不可能なため、第三者が当社の知的財産を使用して類似製品を製造することを効果的に防止できない可能性があります。また将来、知的財産に係る紛争が生じ、当社に不利な判断がなされる可能性があります。（16）規制変更について当社は、日本及び販売先の関係する各国の規制に従い、業務を遂行しております。将来における法律、規則、政策、実務慣行、解釈及びその他の変更並びにそれらによって発生する事態が、当社の業務遂行や業績に影響を及ぼす可能性があります。また、将来的に環境及び化学品安全などに対する法的規制が強化され、新たな対策コストが発生する可能性があります。（17）新型コロナウイルス感染症等の異常事態リスク新型コロナウイルス感染症の感染拡大のようなパンデミック等の異常事態が当社の想定を超える規模で発生し、事業運営が困難になった場合、当社の業績に影響を及ぼす可能性があります。 
経営者による財政状態、経営成績及びキャッシュ・フローの状況の分析	４【経営者による財政状態、経営成績及びキャッシュ・フローの状況の分析】（１）業績等の状況の概要①財政状態の状況（資産）流動資産は、前事業年度末比2,759百万円の増加となりました。その主な要因は、棚卸資産1,012百万円、グループ預け金4,200百万円が増加した一方、売上債権2,352百万円が減少したことによるものです。固定資産は、前事業年度末比1,689百万円の減少となりました。その主な要因は、設備投資による固定資産の取得455百万円に対し、減価償却費2,000百万円及び圧縮記帳130百万円を計上したことによるものです。（負債）負債は、前事業年度末比227百万円の減少となりました。その主な要因は、仕入債務2,012百万円が増加した一方、短期借入金800百万円、長期借入金1,500百万円が減少したことによるものです。（純資産）純資産は、当期純利益を計上したこと等により前事業年度末比1,297百万円増加の14,657百万円となり、自己資本比率は36.6％となりました。 ②経営成績の状況当事業年度における二次電池業界は、世界的に脱炭素社会に向けた取組みが重視される中、各自動車メーカーはＥＶへのシフトをより一層鮮明にし、ＥＶ市場は拡大を続けております。また、米国におけるインフレ抑制法（ＩＲＡ法）の成立など官民一体となったサプライチェーン構築の動きはますます活発化し、競争環境は多元化の様相を呈しております。このような市場環境の中、当社の足下の業績をみますと、電気料金はさらに高騰し続けるとともに、苛性ソーダをはじめ各種原材料等は依然として高い水準で推移しており、販売価格への適切な転嫁交渉を継続的に行っております。かかる状況下、生産能力年間約５万トンに対する稼働率は５割程度と依然として低く推移していることに加え、減価償却費及び労務費のコスト先行の状況は変わっておらず業績採算面で非常に厳しい状況が続いております。一方で、2019年10月に契約締結いたしましたノースボルトに対する技術支援については第１四半期に５億円の収益計上をしております。当社製品の主原料であるニッケル及びコバルトの国際相場は、当事業年度末にかけて急激に下落し、第１四半期の最高値比でニッケルは約30％、コバルトについては約50％の下落幅となりましたが、第３四半期までは高い水準で推移した結果、それらが反映される売上高が増加するとともに利益面で大幅な増加要因（18億円：（ご参考）（相場関連損益）に記載）となっております。以上の結果、売上高57,672百万円（前事業年度比42.3％増）、営業利益1,773百万円（前事業年度比115.0％増）、経常利益1,579百万円（前事業年度比105.3％増）、当期純利益は1,290百万円（前事業年度比76.3％増）となりました。主要な製品用途別の販売数量の概況は以下のとおりです。なお、当社は二次電池事業の単一セグメントであるため、セグメントごとに記載しておりません。「リチウムイオン電池向け製品」前事業年度比で7.5％の減少となりました。用途別の増減は次のとおりです。・車載用途（割合86％）は、顧客ごとの販売数量の増減の影響により、前事業年度比で1.4％の減少となりました。・民生用途（割合14％）は、最終製品の需要減少により前事業年度比で33.5％の減少となりました。「ニッケル水素電池向け製品」前事業年度比で2.5％の減少となりました。用途別の増減は次のとおりです。・車載用途（割合100％）は、世界的な半導体や部品不足による自動車減産の影響で主要顧客からの受注が減少し、前事業年度比で2.2％の減少となりました。 （ご参考）　　　　　（ニッケル国際相場：円換算）　　　　　　　　　　　　　　　　　　　　　　　 　　（単位：円／ｋｇ） ４～６月平均７～９月平均10～12月平均１～３月平均2023年３月期3,7813,0753,6013,4752022年３月期1,9172,1262,2743,069 　　　　　（コバルト国際相場：円換算）　　　　　　　　　　　　　　　　　　　　　　　　　 （単位：円／ｋｇ） ４～６月平均７～９月平均10～12月平均１～３月平均2023年３月期10,9978,1697,7465,3682022年３月期5,1286,0147,5359,264　　　　　※　ニッケル　LME（ロンドン金属取引所）月次平均×TTS月次平均　　　　　　　コバルト　LMB（ロンドン発行メタルブリテン誌）月次平均×TTS月次平均　　　　　（相場関連損益）営業利益に含まれている、主原料の購入から製品の払出までの期間の主原料の相場変動等に由来する相場関連利益（損失は△）は、以下のとおりです。（単位：億円）第67期第66期1810 ③キャッシュ・フローの状況当事業年度末における現金及び現金同等物は、前事業年度末比4,502百万円増加し、5,806百万円となりました。当事業年度における各キャッシュ・フローは次のとおりです。営業活動によるキャッシュ・フローは、売上債権の減少・仕入債務の増加による運転資本の減少や未払消費税等の増加により、8,245百万円の収入（前事業年度は145百万円の収入）となりました。投資活動によるキャッシュ・フローは、有形固定資産の取得による支出等により、1,415百万円の支出（前事業年度は2,201百万円の支出）となりました。財務活動によるキャッシュ・フローは、短期借入金や長期借入金の返済等により、2,344百万円の支出（前事業年度は794百万円の収入）となりました。 ④生産、受注及び販売の実績当社は二次電池事業の単一セグメントであるため、品目別に生産、受注及び販売の状況を記載しております。（生産実績） 　当事業年度における生産実績を品目別に示すと、次のとおりであります。品目生産高（百万円）前期比（％）リチウムイオン電池向け製品53,968137.7ニッケル水素電池向け製品2,922119.4その他198100.3合計57,088136.5　（注）生産金額は販売予定価額をもって示しております。 （受注実績）　 当事業年度における受注実績を品目別に示すと、次のとおりであります。品目受注高（百万円）前期比(％)受注残高（百万円）前期比(％)リチウムイオン電池向け製品54,570138.23,253135.7ニッケル水素電池向け製品2,910124.3245258.1その他1－－－合計57,482137.43,498140.3　（注）受注金額は販売予定価額をもって示しております。 （販売実績）　 当事業年度における販売実績を品目別に示すと、次のとおりであります。品目販売高（百万円）前期比（％）リチウムイオン電池向け製品53,715141.5ニッケル水素電池向け製品2,760116.9その他1,196606.1合計57,672142.3 （注）最近２事業年度の主な相手先別の販売実績及び当該販売実績の総販売実績に対する割合は次のとおりであります。相手先前事業年度当事業年度金額（百万円）割合（％）金額（百万円）割合（％）パナソニックホールディングス㈱16,96841.928,04248.6丸紅㈱8,54421.113,20522.9STM Co.,LTD．4,34810.7－－（注）当事業年度のSTM Co.,LTD．への販売実績及び当該販売実績の総販売実績に対する割合については、当該割合が100分の10未満となっているため記載を省略しております。 （２）経営者の視点による経営成績等の状況に関する分析・検討内容経営者の視点による当社の経営成績等の状況に関する分析・検討内容は、以下のとおりであります。なお、文中の将来に関する事項は、当事業年度末現在において判断したものであります。 ①財政状態の状況に関する認識及び分析・検討内容　当事業年度の財政状態の分析につきましては、「（１）業績等の状況の概要、①財政状態の状況」をご参照ください。 ②経営成績の状況に関する認識及び分析・検討内容（売上高）　当社製品の販売数量は減少いたしましたが、製品の主原料となるニッケル及びコバルトの国際相場が、第３四半期までは高い水準で推移した結果、売上高は前事業年度比42.3％増の57,672百万円となりました。（売上原価）　製品の販売数量は減少いたしましたが、上記主原料の国際相場の変動のため、売上原価は前事業年度比42.4％増の53,455百万円となりました。（売上総利益）　以上の結果、売上総利益は4,216百万円（前事業年度は2,999百万円）となりました。また、売上総利益率は7.3％（前事業年度は7.4％）となりました。（販売費及び一般管理費）　販売費及び一般管理費は、前事業年度と比較して268百万円増加の2,442百万円となりました。なお、販売費及び一般管理費に含まれる研究開発費は598百万円（前事業年度は642百万円）となりました。（営業利益）　売上総利益から販売費及び一般管理費を控除した営業利益は1,773百万円（前事業年度は825百万円）、売上高営業利益率は3.1％（前事業年度は2.0％）となりました。（営業外収益・費用）　当事業年度は、有利子負債にかかる利息から受取利息を差引いた純金利負担は74百万円（前事業年度は77百万円）となりました。また、営業外費用として、シンジケートローン手数料44百万円（前事業年度は５百万円）、為替差損80百万円（前事業年度は為替差益21百万円）を計上いたしました。以上の結果、営業外収益から営業外費用を差引いた金額は△194百万円となりました。 （経常利益）　以上の結果、営業利益に営業外収益・費用を加減算した経常利益は1,579百万円（前事業年度は769百万円）となりました。売上高経常利益率は2.7％（前事業年度は1.9％）となりました。（特別利益・損失）　当事業年度は、特別利益として、補助金収入140百万円を計上いたしました。　特別損失として、固定資産圧縮損130百万円、固定資産除却損１百万円を計上いたしました。（税引前当期純利益）　経常利益から特別利益・損失を加減算した税引前当期純利益は1,588百万円（前事業年度は809百万円）となりました。（当期純利益）　以上の結果、当期純利益は1,290百万円（前事業年度は731百万円）となりました。売上高当期純利益率は2.2％、１株当たり当期純利益は39円66銭、自己資本当期純利益率は9.2％となりました。　なお、当事業年度の目標とする経営指標である経常利益の黒字化を達成しております。 ③キャッシュ・フローの状況の分析・検討内容並びに資本の財源及び資金の流動性に係る情報（キャッシュ・フロー）　当事業年度のキャッシュ・フローの分析につきましては、「（１）業績等の状況の概要、③キャッシュ・フローの状況」をご参照ください。　当社の運転資金需要のうち主なものは、原材料の購入のほか、製造費、販売費及び一般管理費等の営業費用であります。投資を目的とした資金需要は、設備投資によるものであります。　当社は、事業運営上必要な流動性と資金を安定的に確保するよう努めております。　また、事業活動に必要な資金の流動性を確保するため、取引金融機関と総額7,250百万円のコミットメントライン契約を締結しております。（借入未実行残高7,250百万円）　設備投資の長期的な資金につきましては、金融機関からの長期借入を基本としております。　なお、当事業年度末における借入金の残高は12,300百万円、当事業年度末における現金及び現金同等物の残高は5,806百万円となっております。（契約債務）　　2023年３月31日現在の契約債務の概要は以下のとおりであります。 年度別要支払額（百万円）契約債務合計１年以内１年超３年以内３年超５年以内５年超短期借入金1,5001,500－－－長期借入金10,8001,5003,0006,300－（注）１年内返済予定の長期借入金は、長期借入金に含めております。（財務政策）　当社は、運転資金及び設備投資資金の調達を行うため主要取引金融機関とシンジケートローン契約及び当座借越契約を締結しております。・借入残高（運転資金の調達）　　　　　　５行　　　　　　　1,200百万円（借入未実行残高   －百万円）・借入残高（設備投資資金の調達）　　　　７行　　　　　　　9,600百万円（借入未実行残高   －百万円）・借入残高（設備投資資金の調達）　　　　１行　　　　　　　1,500百万円（借入未実行残高   －百万円）・コミットメントラインの借入実行残高　　５行　　　　　　　　 －百万円（借入未実行残高7,250百万円） ④経営成績に重要な影響を与える要因についての分析（棚卸資産）　当社は、「棚卸資産の評価に関する会計基準」を適用しており、将来需要及び市場環境の変化により評価損の計上が必要となる可能性があります。（固定資産の減損）　当社が有する固定資産のうち、「固定資産の減損に係る会計基準」において対象とされるものについては、損益報告や経営計画などの企業内部の情報、経営環境や資産の市場価格などの企業外部の要因に関する情報に基づき、資産又は資産グループ別に減損の兆候の有無を確認し、企業環境の変化や経済事象の発生によりその帳簿価額の回収が懸念されているかなど、減損損失の認識を判定しております。　この判定により減損損失を認識すべきと判断した場合には、その帳簿価額を回収可能価額まで減損処理を行っております。事業計画や経営・市場環境の変化により、回収可能価額が変更された場合には、減損損失の金額の増加又は新たな減損損失の認識の可能性があります。 ⑤重要な会計上の見積り及び当該見積りに用いた仮定　当社の財務諸表は、我が国において一般に公正妥当と認められている企業会計の基準に基づき作成されております。財務諸表の作成にあたっては、一定の会計基準の範囲内で見積りが行われている部分があり、これらについては、過去の実績や現在の状況等を勘案し、合理的と考えられる見積り及び判断を行っております。ただし、これらには見積り特有の不確実性が伴うため、実際の結果と異なる場合があります。　なお、財務諸表の作成に当たって用いた会計上の見積り及び当該見積りに用いた仮定のうち、重要なものについては、「第５　経理の状況　１ 財務諸表等　(1）財務諸表　注記事項（重要な会計上の見積り）」に記載のとおりであります。 
経営上の重要な契約等	５【経営上の重要な契約等】（Northvolt(ノースボルト)社に対する前駆体製造技術支援契約及び前駆体販売契約）相手方の名称国名契約締結日契約内容Northvolt Ett ABスウェーデン2019年10月15日１．前駆体製造技術のライセンス及び技術支援２．前駆体販売(コミットメントライン契約）当社は、運転資金調達のため取引銀行５行とコミットメントライン契約を締結しております。借入先の名称株式会社三菱ＵＦＪ銀行株式会社福井銀行株式会社三井住友銀行株式会社北陸銀行株式会社福邦銀行コミットメントラインの総額2,000百万円契約締結日2017年３月28日コミットメント期間2017年３月31日から2018年３月30日まで（但し１年単位で最大９回までの延長条項あり）資金使途運転資金なお、本契約には財務制限条項が付されております。（シンジケートローン契約）当社は、設備投資資金調達のため取引銀行７行とシンジケートローン契約を締結しております。借入先の名称株式会社三菱ＵＦＪ銀行株式会社三井住友銀行株式会社福井銀行株式会社北陸銀行株式会社福邦銀行株式会社北國銀行株式会社滋賀銀行組成金額12,000百万円契約締結日2020年１月28日借入実行可能期間2020年１月31日から2021年３月31日まで資金使途設備投資資金なお、本契約には財務制限条項が付されております。（コミットメントライン契約）当社は、運転資金調達のため取引銀行５行とコミットメントライン契約を締結しております。借入先の名称株式会社三菱ＵＦＪ銀行株式会社三井住友銀行株式会社福井銀行株式会社福邦銀行株式会社北陸銀行組成金額5,250百万円契約締結日2022年９月27日コミットメント期間2022年９月30日から2023年９月29日まで（但し１年単位で最大４回までの延長条項あり）資金使途運転資金なお、本契約には財務制限条項が付されております。
研究開発活動	６【研究開発活動】当社は「正極材開発で培ってきた独自技術を基盤に独創的な新製品を生み出すことを通じて、地球環境課題の解決に挑戦し、持続可能な社会の実現を目指します。」という経営理念を掲げ、蓄電デバイス用材料の開発を中心に研究開発活動を行っております。蓄電デバイスとは、化学電池分野を中心に民生用途及び車載用途のニッケル水素電池並びにリチウムイオン電池であり、これらの二次電池に用いられる正極用材料の研究開発活動が中心となっております。昨今、民生用途においてはスマートフォンを含むタブレット機器の需要の伸長が一段落していることもあり、全体として成長率は鈍化しているものの、電動工具・定置用蓄電池向けなども含めると需要増加の期待も出てきております。また車載用途においてはカーボンニュートラルの実現に向けて各自動車メーカーでは環境対応新車種の販売が活発化しており、充電インフラの整備の促進や１回の充電での走行距離を伸ばすための電池材料及び電池の開発が急がれております。いずれの市場におきましても、高エネルギー密度化、長寿命化及び高信頼性・安全性に加えて低コスト化の要求がますます強くなっております。当社はこのようなニーズに的確に応えるために、省エネルギーを目指した新プロセス技術開発のみならず、より高度な材料解析技術や電気化学評価技術なども活用しながら、既存材料の改良、さらには次世代新規材料の研究開発を推進しております。研究開発活動における基本スタンスは、粒子形状制御、複数元素共沈、粒子径制御、結晶制御、表面コーティング、化学酸化等のコア技術を基盤に顧客ニーズ・市場ニーズを融合させ、さらなるブラッシュアップを図り、積極的に技術を提案することであります。また、材料設計に関する基礎科学的な知見の収集と整理による種々の化学反応過程の可視化を通した、生産過程の合理化に必要な研究開発も実施しております。研究開発活動に従事する人員は、2023年３月31日現在管理職を含めて36名であります。当事業年度の一般管理費に含まれる研究開発費の総額は971百万円（売上高比1.7％）となっております。（損益計算書上は試作品売却収入372百万円を控除した598百万円を計上しております。）なお、当社は二次電池事業の単一セグメントであるため、セグメントごとに記載しておりません。当事業年度における各研究開発の目的、主要課題及び研究成果は次のとおりであります。　①リチウムイオン電池用正極材料の研究開発　　民生用リチウムイオン電池は、スマートフォンを含むタブレット機器の普及による、薄型・軽量化・高容量化などの要求とともに、電動工具・定置用蓄電池向けなど用途拡大により、高出力化・長寿命化などの要求が高まっております。一方、車載用途を中心とした中・大型リチウムイオン電池用途では、高容量、高出力、長寿命、高安全及び低コストといった正極材料を強く要望されております。　　これらの幅広い要求を充足させるために、当社の主力製品であります三元系（ニッケル、コバルト、マンガン）正極材料を基本に、よりニッケルの比率を高める等の組成改良によって高容量化を図るとともに、水酸化ニッケルの開発時に培った異種元素固溶や表面修飾といった技術を用いることにより、より優れた性能を発揮することを目論んだ材料の開発並びに新たなプロセス技術開発も行っております。2013年３月からは、住友化学との資本業務提携により車載用途を中心とした次世代リチウムイオン二次電池の正極材料の共同開発・人材交流がスタートし、また2016年10月末にはさらなる資本関係の強化とともに、従来以上の両社研究要員の交流促進等による共同開発体制の一体化により、開発促進に向けたシナジー効果の発現を目指し取り組みを行っております。　②ニッケル水素電池用正極材料の研究開発　　ニッケル水素電池は、サイクル特性の向上や長寿命化など引き続き特性向上が求められております。特に環境対応車や定置用途などの中・大型電池用途においては、長期信頼性・耐久性が求められております。　　現在、顧客ニーズに応えるべく材料の結晶性や表面状態の制御などの改良を進め、新技術の製品への展開を順次図っております。特に、水酸化ニッケルコバルトコート表面処理品について、コア材料の水酸化ニッケルへの添加元素の最適化や結晶性改良等、粉体特性の最適化を図り、さらなる電池特性の向上に向けた取り組みを進めております。また、リチウムイオン電池と同様に環境対応車普及のためには電池価格の低減が必須の課題であり、当社としては材料設計の側面からの合理化を図り、コスト低減に向けた開発を行っております。　③新規分野の研究開発　　全固体電池向け正極材料開発をはじめとする環境・エネルギービジネス分野において、当社のコア技術を適用することが可能な新たなアイテムにつきまして鋭意マーケティングを行い、提案型研究開発活動を行ってまいります。 
設備投資等の概要	１【設備投資等の概要】当事業年度の設備投資額は445百万円で、リチウムイオン及びニッケル水素電池向け製品の増産設備を中心に投資を行いました。主な投資としてリチウムイオン電池向け製品生産設備133百万円、ニッケル水素電池向け製品生産設備37百万円、研究開発設備８百万円、その他267百万円の設備投資を実施いたしました。なお、当事業年度中において生産能力に重要な影響を及ぼす設備の除却、撤去等はありません。また、当社は二次電池事業の単一セグメントであるため、セグメントごとに記載しておりません。 
主要な設備の状況	２【主要な設備の状況】　当社の主要な設備は、以下のとおりであります。2023年３月31日現在 事業所名（所在地）設備の内容帳簿価額従業員数(人)建物及び構築物（百万円）機械及び装置、車両運搬具（百万円）土地（百万円）(面積㎡)その他（百万円）合計（百万円）本社(福井県福井市)統括業務施設1,3259福井工場用地に含む381,37345(4)福井工場(福井県福井市)無機化学製品製造設備3,6629,3721,400(94,029.71)10214,537288(60)大阪支社(大阪府大阪市中央区)販売業務施設5－－063(2)東京事務所(東京都品川区)統括業務施設－－－00－(0)物流センター(福井県坂井市)物流倉庫設備6133(991.74)　[5,010.10]041－　（注）１．帳簿価額のうち「その他」は、工具、器具及び備品であり、建設仮勘定は含んでおりません。２．上記の[　]は、外書で賃借中のものであります。なお、年間賃借料は２百万円であります。３．物流センターには、貸与中の建物０百万円を含んでおります。４．従業員数の( )は、外書で臨時雇用者数を示しております。 
株式の総数	①【株式の総数】種類発行可能株式総数（株）普通株式47,000,000計47,000,000
発行済株式、株式の総数等	②【発行済株式】種類事業年度末現在発行数（株）（2023年３月31日）提出日現在発行数（株）（2023年６月26日）上場金融商品取引所名又は登録認可金融商品取引業協会名内容普通株式32,533,00032,533,000東京証券取引所スタンダード市場 単元株式数 100株計32,533,00032,533,000－－
