項目	値
事業の内容	 ３ 【事業の内容】当社グループは、当社および関係会社７社で構成され、その主な事業内容と当社および主な関係会社は次のとおりであります。セグメント事業部事業内容当社および主な関係会社化学工業精密化学品医・農薬中間体 当社電子材料樹脂原料合成染料機能材接着剤 当社ゴム薬品 タオカ  ケミカル  インド  プライベート  リミテッド 田岡化工材料(上海)有限公司樹脂添加剤加工樹脂 当社 田岡化工材料(上海)有限公司ワニス可塑剤その他工業薬品化学分析受託事業各種化学分析の受託 株式会社田岡化学分析センター 以上述べた事項を事業系統図によって示すと、次のとおりであります。※当連結会計年度より精密化学品部門は精密化学品事業部、機能材部門は機能材事業部となり、機能樹脂部門および化成品部門は樹脂添加剤事業部へと統合しております。また、従来「その他」を構成していた「化学分析受託事業」について量的な重要性が増したため報告セグメントとして記載する方法へ変更しております。
経営方針、経営環境及び対処すべき課題等	１ 【経営方針、経営環境及び対処すべき課題等】文中の将来に関する事項は、当連結会計年度末現在において、当社グループが判断したものであります。なお、業績の見通し等の将来に関する記述は、当社が現時点で入手している情報や合理的であると判断する一定の前提に基づいており、実際の業績等は様々な要因により、大きく異なる可能性があります。 (1)  経営理念「田岡化学は、化学技術を基盤として時代が求める新たな価値を創造し、生み出された化学製品を社会に供給することで、快適で豊かな暮らしの実現と社会の持続的な発展に貢献します。」 (2)  中期経営計画  2022年度～2024年度新中期経営計画ａ．経営基本方針当社は、経営理念を実現し、社会に欠くことのできない企業として力強く発展を続けるために、当社自身がサステナブルな企業であり続けること、良き企業市民として社会のサステナブルな発展に貢献することにより社会的責任を果たすことの双方を経営の重要な目標と位置づけ、下記の通り基本方針を定めます。 ◆当社は、サステナブルな企業であり続けるために、創業以来培ってきた有機合成技術と生産技術を常に進化させ、幅広い産業を支える基盤となる製品、豊かで快適な社会の実現に資する製品を提供・開発し続けます。 ◆当社は、人権を尊重した事業活動を行います。また、明るく快適な職場づくり、従業員の公正な処遇、能力開発、安全と健康の確保に努めます。ダイバーシティの尊重を基本方針として掲げ、取り組んでいくとともに、国籍やジェンダー、年齢にかかわらず多様な人材が生き生きと活躍できる組織風土を作り上げていきます。 ◆当社は、技術を重視し、創造した価値を知的財産権として適切に確保し、重要な財産として活用します。 ◆当社は、顧客からの信頼を大切にし、製品の安定供給、優れた製品品質の確保、顧客や社会のニーズに即した製品の開発・改良を行います。 ◆当社は、株主、取引先、工場周辺地域、従業員等ステークホルダーへの公正、適正な情報開示に努め、対話を図ることにより、適切な関係を保ちます。 ◆当社は、社会の持続的な発展に欠かせない地球環境の保全・良化に貢献するために、CO₂をはじめとする温室効果ガスの削減などの気候変動問題への対応を始めとして、廃棄物量の削減、環境負荷低減、廃プラスチックリサイクルに取り組み、その進捗を適切に開示します。 ◆当社は、安全を全てに優先させることをあらゆる事業活動の基本とし、無事故・無災害、工場の安全・安定操業の実現に努めます。 ◆当社は、コンプライアンスを重視し、社会の一員としてそのルールの遵守を徹底するとともに、自由、公正、透明な取引を実践します。また、コンプライアンスに加え、自然災害への備え、原料の安定調達、事業BCPプランの不断の見直しなどリスクマネジメントを含む内部統制システムの充実に努めます。 ◆当社は、多様な知見を有する取締役で取締役会を構成し、活発な議論を行うよう努めるとともに、その議論を経営に適正に反映させます。 ｂ．中長期的な事業目標当社は中長期的な事業目標として売上高500億円、およびROIC（投下資本利益率）10％以上の継続達成を目指します。 ｃ．基本戦略中長期的な事業目標の達成に向け、新中期計画では既存事業の収益拡大の取組みに加えて、新しい事業創出と既存事業の新しい展開を図ります。基本戦略として、有機合成技術の知見や、機動性の高い生産対応、短期間での工業化を実現するなど当社の強みを生かし、成長分野での新規参入や既存分野での事業機会探索、更なる事業拡大など国内外のあらゆる事業機会を追求いたします。また、アクションプランとして、人材確保・育成、DXの推進、リスクマネジメントの強化、社会のサステナブルな発展への貢献を掲げております。 ｄ．事業戦略事業戦略においては、当社の事業を既存事業、新規事業に区分し、下記の通りとしております。既存事業・注力事業…樹脂原料、ワニス・受託事業…医薬・農薬中間体、電子材料等・育成事業…ゴム薬品、接着剤、加工樹脂、可塑剤等新規事業・現在手掛ける新規開発品の早期立ち上げ…光学樹脂用原料等新規開発品・新規事業探索機能の強化…グラフェンナノリボン等 ｅ．業績目標および達成状況 2022年度実績2022年度当初目標差異 2024年度計画売上高（百万円）30,16633,000△2,833 37,300営業利益（百万円）4511,250△798 3,300売上高営業利益率1.5％3.8％△2.3％ 9％ROIC（注）1.5％3.9％△2.4％ 10％      ナフサ価格76,500円/KL50,000円/KL― 50,000円/KL為替レート136円/USD110円/USD― 110円/USD (注) ROICとは投下資本利益率のことであり、次のような式にて算出しております。    親会社株主に帰属する当期純利益/（株主資本＋有利子負債） 中期経営計画の初年度である2022年度は、中国でのワニス販売が通期で寄与したことや、原料価格の高騰に伴う販売価格の上昇はあったものの、需要家等の在庫調整等による樹脂原料の出荷数量の減少や、ゴム薬品や可塑剤の出荷数量の減少により、売上高をはじめとする各目標を達成することは出来ませんでした。 ｆ．経営指標（KPI）当中期経営計画におきましては、下記の経営指標（KPI）を設定しております。・設備投資、研究開発計画投融資計画…３ヵ年で100億円（新立地投資50億円を含む）研究開発費…10億円／年・業績目標値売上高営業利益率９％超ROIC（投下資本利益率）10％超・新製品開発、海外事業規模目標新製品開発目標…70億円／年海外事業規模目標…70億円／年 
事業等のリスク	 ３ 【事業等のリスク】有価証券報告書に記載した事業の状況、経理の状況等に関する事項のうち、経営者が連結会社の財政状態、経営成績及びキャッシュ・フローの状況に重要な影響を与える可能性があると認識している主要なリスクは、以下のとおりであります。ただし、投資家の判断に影響を及ぼす可能性のあるリスクは、これらに限定されるものではありません。なお、文中の将来に関する事項は、当連結会計年度末現在において当社グループが判断したものであります。当社グループではこのようなリスクを最小化するとともに、これらの機会として活かすためのリスク管理体制の整備・充実に努めております。詳細は「第４  提出会社の状況  ４  コーポレート・ガバナンスの状況等  (1)コーポレート・ガバナンスの概要  ③企業統治に関するその他の事項  (ロ)リスク管理体制の整備の状況」に記載しております。 （経営戦略に関わるリスク）(1) 特定の取引先等への高い依存度に対するリスク当社グループの売上高のうち、一部の取引先に対しての依存度が高く、それらの会社とは、納入数量、価格等に関する長期納入契約等は結んでおりません。取引先の製法転換等による製品の需要減退が発生した場合、当社グループの財政状態、経営成績及びキャッシュ・フローの状況に悪影響を及ぼす可能性があります。なお、具体的対策としては、新製品等の開発や既存製品の競争力を強化しシェアの維持向上を図ることや、海外事業比率の向上等の施策を行っております。 (2) 国内および海外市場での需要変動によるリスク当社グループは、直接的または間接的に製品を国内外に供給しているため、日本国内やアジアをはじめとする主要市場の景気動向から影響を受け、当社グループの財政状態、経営成績及びキャッシュ・フローの状況に悪影響を及ぼす可能性があります。 (3) 原材料の価格の変動や調達によるリスク当社グループは、原油・ナフサ価格に連動する石油化学製品のほか数多くの原料を国内外から直接または間接的に調達しております。原油価格の高騰や異常気象、感染症のまん延等、予測困難な問題によりさらなる原材料価格の上昇および調達が困難となった場合、当社グループの財政状態、経営成績及びキャッシュ・フローの状況に悪影響を及ぼす可能性があります。購入原料価格の変動には、タイムリーに製品価格へ転嫁するように努力しており、調達が困難にならないよう代替原料、生産地域が異なる同一原料、複数の調達ルートの確保を図っておりますが、影響を完全に回避するものではありません。 (4) 為替相場の変動によるリスク当社グループは、原材料の調達、製品販売における外貨建て取引等を行っており、為替リスクが存在します。当社は、海外からの原材料の調達が海外への製品販売を上回っているため、外国通貨に対して、円安になると当社に悪影響を及ぼす可能性があります。なお、当社では、外貨建て営業債権は、日本円に両替せず、外貨建て債務の支払いに充当しておりますが、為替リスクをすべて回避できる保証はありません。また、海外の関係会社の経営成績は、連結財務諸表作成のために円換算しております。換算時の為替レートにより、円換算後の価値が影響を受ける可能性があります。その場合、当社グループの経営成績並びに財政状態に悪影響を及ぼす可能性があります。 (5) 研究開発におけるリスク当社グループの研究開発は、中長期的な視点も織り込んで取り組んでおります。その範囲は既存製品群の改良研究から新規分野における研究まで多方面にわたっておりますが、研究開発という性格上、開発のスピードやタイミング、競争相手の存在等からの影響も受けるため、必ずしもその成果が直接的に経営成績へ反映されない場合があります。なお、具体的な研究開発活動は「第２  事業の状況  ６研究開発活動」をご覧ください。 (事業継続に関わるリスク）(1) 事故・災害のリスク当社グループは、生産設備における定期検査、要員の教育、防災訓練等、適宜実施しておりますが、工場における火災等の事故や停電、地震、洪水等が生産活動へ影響することを完全に排除できる保証はありません。 (2) 製品の品質当社グループは、世界的に認められている厳格な品質管理基準に従って、各種製品を製造しておりますが、すべての製品について予期し得ない重大な品質問題が発生しないという保証はありません。製造物責任賠償については、PL保険に加入し、万一の事故に備えておりますが、賠償額が保険の補償範囲を超える大規模な製造物責任につながるような品質問題が発生した場合、当社グループの財政状態、経営成績及びキャッシュ・フローの状況に悪影響を及ぼす可能性があります。 (3) 知的財産権当社グループは、他社と差別化できる技術とノウハウを蓄積し事業の競争力を強化してきましたが、当社グループ独自の技術・製品とノウハウの一部は、厳正な管理を行っているものの、第三者が類似製品を製造することを効果的に防止できない可能性があります。また、将来、知的財産に係る紛争が生じ、当社グループに不利な判断がなされる可能性があります。 (4) 海外生産拠点における事業展開に関するリスク当社グループは、海外拠点に生産拠点や販売拠点を有し活動しておりますが、進出先において、予期しない法律または規制・制度等の変更、当社グループにとって不利な政治的または経済的要因、テロ、戦争その他の要因による社会的混乱等の発生により財政状態、経営成績及びキャッシュ・フローの状況に悪影響を及ぼす可能性があります。 (5) 訴訟当社グループは、国内および海外事業に関連して、訴訟、係争、その他の法律的手続きの対象となるリスクがあり、将来重要な訴訟等が提起された場合には、当社グループの財政状態、経営成績及びキャッシュ・フローの状況に悪影響を及ぼす可能性があります。 (6) 工場立地上のリスク当社グループの工場を取り巻く立地環境は、結果的に市街地となっております。騒音、臭気問題等に対して対策は取っているものの、それらに対するクレームや住民による反会社運動、係争事件への発展による賠償義務等予期できないリスクが存在し、財政状態、経営成績及びキャッシュ・フローの状況に悪影響を及ぼす可能性は否定できません。 (7) コンピューターシステムのリスク当社グループは、会社運営の全般に亘ってコンピューターによる業務処理を実施しており、地震・火災等の災害によるハードウェアやネットワークの損傷、ならびに外部からのコンピューターウイルス攻撃やハッキングによるシステムトラブルやデータ破壊に対して、外部との接続制限、侵入防止、マルウエア感染防止、バックアップの確保、従業員の教育などの各種対策を取っております。しかしシステムトラブル、データ破壊、更には情報の盗難・漏洩等を完全に防げる保証はありません。 
経営者による財政状態、経営成績及びキャッシュ・フローの状況の分析	４ 【経営者による財政状態、経営成績及びキャッシュ・フローの状況の分析】(1)  経営成績等の状況の概要①  経営成績の状況当連結会計年度における世界経済は、多くの国々でコロナ禍における経済活動の制限が緩和されたものの、ウクライナ情勢をはじめとする地政学リスクの高まり、中国のゼロコロナ政策によるロックダウン、資源・エネルギー価格をはじめとする世界的な物価の高騰、米国の銀行破綻に端を発した欧米の金融不安など、不安定な状況が続き、前年度と比較して成長が鈍化しました。国内経済については、物価高騰が家計や企業収益を圧迫しているものの、個人消費や設備投資が増加するなど、景気は緩やかな回復の途上にあります。この結果、当連結会計年度の当社グループの売上高は、原料価格の高騰に伴う販売価格の上昇はあったものの、樹脂原料やゴム薬品の減収により301億66百万円（前連結会計年度比22億７百万円、6.8％減）となりました。損益面におきましては、営業利益は４億51百万円（同22億57百万円、83.3％減）、経常利益は４億57百万円（同23億41百万円、83.6％減）、親会社株主に帰属する当期純利益は３億10百万円（同17億53百万円、84.9％減）となりました。           セグメント別の売上高の概況区    分前連結会計年度当連結会計年度増  減金額構成比金額構成比金額増減率 百万円％百万円％百万円％    精密化学品事業部17,15352.913,85645.9△3,296△19.2    機能材事業部3,80711.83,28510.9△522△13.7    樹脂添加剤事業部10,81333.412,40341.11,59014.7化学工業セグメント31,77498.129,54597.9△2,228△7.0化学分析受託事業5991.96202.1213.6合  計32,374100.030,166100.0△2,207△6.8 (注)当連結会計年度より精密化学品部門は精密化学品事業部、機能材部門は機能材事業部となり、機能樹脂部門および化成品部門は樹脂添加剤事業部へと統合しております。また、従来「その他」を構成していた「化学分析受託事業」について量的な重要性が増したため報告セグメントとして記載する方法へ変更しております。前年同期につきましては、変更後の数値で比較しております。＜化学工業セグメント＞当セグメントの売上高は、295億45百万円となり、前連結会計年度と比べて22億28百万円の減収となりました。(精密化学品事業部)原料価格の高騰に伴う販売価格の上昇はあったものの、樹脂原料や医農薬中間体の出荷数量が減少したことにより、売上高は138億56百万円となり、前連結会計年度と比べて32億96百万円の減収となりました。(機能材事業部)接着剤およびゴム薬品ともに出荷数量が減少したことにより、売上高は32億85百万円となり、前連結会計年度と比べて５億22百万円の減収となりました。  (樹脂添加剤事業部)中国でのワニス販売が通期で寄与したことや原料価格の高騰に伴う販売価格の上昇により、売上高は124億３百万円となり、前連結会計年度と比べて15億90百万円の増収となりました。  ＜化学分析受託事業セグメント＞当セグメントの売上高は、石綿分析や危険物判定などが増加したことにより、６億20百万円となり、前連結会計年度と比べて21百万円の増収となりました。  ②  財政状態の状況（資産）流動資産は、前連結会計年度末と比べて15億92百万円減少し、162億44百万円となりました。主として原材料及び貯蔵品の増加を売掛金やその他に含まれる未収入金の減少が上回ったことによるものです。固定資産は、前連結会計年度末と比べて２億43百万円増加し、148億24百万円となりました。これは、主として新多目的プラント（N－2）の設備追加取得による増加です。この結果、当連結会計年度末の総資産額は310億69百万円となり、前連結会計年度末と比べて13億48百万円の減少となりました。（負債）流動負債は、短期借入債務は増加したものの、買掛金やその他に含まれる設備関係未払金が減少したことから前連結会計年度末と比べて25億28百万円減少し、96億34百万円となりました。固定負債は、前連結会計年度末と比べて13億58百万円増加し、48億64百万円となりました。これは、主として長期借入金の増加によるものです。この結果、当連結会計年度末の負債合計は、前連結会計年度末と比べて11億70百万円減少し、144億98百万円となりました。（純資産)当連結会計年度末の純資産額は、前連結会計年度末と比べて１億78百万円減少し、165億70百万円となりました。これは、主として親会社株主に帰属する当期純利益の計上による利益剰余金の増加を配当の実施による減少が上回ったことによるものです。  ③  キャッシュ・フローの状況区分前連結会計年度当連結会計年度増減（百万円）金額（百万円）金額（百万円）営業活動によるキャッシュ・フロー△1,3291,4782,807投資活動によるキャッシュ・フロー△2,075△4,339△2,264財務活動によるキャッシュ・フロー△2732,9953,269現金及び現金同等物に係る換算差額170△17現金及び現金同等物の増減額（△は減少）△3,6601343,795新規連結に伴う現金及び現金同等物の増加額49－△49現金及び現金同等物の期首残高4,330718△3,611現金及び現金同等物の期末残高718853134 当連結会計年度における現金及び現金同等物（以下、資金という）は、前連結会計年度に比べて１億34百万円増加し、８億53百万円となりました。（営業活動によるキャッシュ・フロー）営業活動の結果、14億78百万円の収入（前連結会計年度は13億29百万円の支出）となりました。主な収入は、売上債権の減少額16億51百万円、減価償却費14億62百万円、その他に含まれる未収入金等の減少による収入13億39百万円、税金等調整前当期純利益４億78百万円、主な支出は、仕入債務の減少額24億98百万円、棚卸資産の増加額６億15百万円等であります。（投資活動によるキャッシュ・フロー）投資活動の結果、43億39百万円の支出（前連結会計年度は20億75百万円の支出）となりました。主なものは、有形固定資産取得による支出43億18百万円等であります。（財務活動によるキャッシュ・フロー）財務活動の結果、29億95百万円の収入（前連結会計年度は２億73百万円の支出）となりました。主なものは、長期借入れによる収入25億円、短期借入金の純増額15億91百万円、長期借入金の返済による支出５億70百万円、配当金の支払額５億15百万円等であります。  ④  生産、受注及び販売の実績a. 生産実績当連結会計年度における生産実績をセグメントごとに示すと、次のとおりであります。セグメントの名称前連結会計年度当連結会計年度増減率金額(千円）金額(千円）(％)  精密化学品事業部13,367,13710,447,739△21.8  機能材事業部3,448,5612,504,886△27.4  樹脂添加剤事業部10,178,26210,200,5270.2化学工業セグメント26,993,96123,153,153△14.2化学分析受託事業－－－合  計26,993,96123,153,153△14.2 (注) １  金額は、販売価格で表示しております。２  セグメント間の取引については、相殺消去しております。３  当連結会計年度より精密化学品部門は精密化学品事業部、機能材部門は機能材事業部となり、機能樹脂部門および化成品部門は樹脂添加剤事業部へと統合しております。また、従来「その他」を構成していた「化学分析受託事業」について量的な重要性が増したため報告セグメントとして記載する方法へ変更しております。前連結会計年度は変更後の数値で比較しております。 b. 受注実績当連結会計年度における受注実績をセグメントごとに示すと、次のとおりであります。なお、化学工業セグメントは、受注生産は行っておりません。セグメントの名称前連結会計年度当連結会計年度増減率金額(千円)金額(千円)(％)化学分析受託事業   受注高600,961624,1793.9受注残高24,51727,81713.5 (注) １  セグメント間の取引については、相殺消去しております。２  従来「その他」を構成していた「化学分析受託事業」について量的な重要性が増したため報告セグメントとして記載する方法へ変更しております。c.販売実績当連結会計年度における販売実績をセグメントごとに示すと、次のとおりであります。セグメントの名称前連結会計年度当連結会計年度増  減金額（千円）構成比（％）金額（千円）構成比（％）金額（千円）増減率（％）精密化学品事業部17,153,16452.913,856,74445.9△3,296,420△19.2機能材事業部3,807,99911.83,285,29010.9△522,708△13.7樹脂添加剤事業部10,813,31833.412,403,60641.11,590,28814.7化学工業セグメント31,774,48298.129,545,64297.9△2,228,840△7.0化学分析受託事業599,5341.9620,8792.121,3443.6合  計32,374,017100.030,166,521100.0△2,207,495△6.8 (注) １  セグメント間の取引については、相殺消去しております。２  主な相手先別の販売実績および当該販売実績の総販売実績に対する割合は以下の通りです。相手先前連結会計年度当連結会計年度金額（千円）割合（％）金額（千円）割合（％）三菱瓦斯化学株式会社11,242,87834.77,652,35425.4住友化学株式会社4,023,86912.44,388,93914.5住友電工ウインテック株式会社4,600,11114.23,696,29112.3 ３  当連結会計年度より精密化学品部門は精密化学品事業部、機能材部門は機能材事業部となり、機能樹脂部門および化成品部門は樹脂添加剤事業部へと統合しております。また、従来「その他」を構成していた「化学分析受託事業」について量的な重要性が増したため報告セグメントとして記載する方法へ変更しております。前連結会計年度は変更後の数値で比較しております。 (2)  経営者の視点における経営成績等の状況に関する分析・検討内容本項においては、将来に関する事項が含まれていますが、当該事項は有価証券報告書提出日現在において判断したものです。 ①  財政状態及び経営成績の状況に関する認識及び分析・検討内容  経営成績 前連結会計年度（百万円）当連結会計年度（百万円）増  減（百万円）増減率（％）売上高32,37430,166△2,207△6.8営業利益2,708451△2,257△83.3経常利益2,798457△2,341△83.6当期純利益2,063310△1,753△84.9    （売上高）当連結会計年度の売上高は、ワニスの中国での販売の通期での寄与や原料価格の高騰に伴う販売価格の上昇はあったものの、需要家等の在庫調整等により樹脂原料が大幅に減収となったほか、ゴム薬品や可塑剤の出荷数量の減少により、前連結会計年度に比べ22億７百万円の減収となり、301億66百万円となりました。なお、販売価格の上昇により前連結会計年度に比べ売価差は約33億50百万円の増収となりましたが、数量面では約55億円の減収となりました。（営業利益）営業利益の主な増減要因は下記の通りです。なお、当社グループでは全社での営業利益分析を行っております。当連結会計年度の営業利益は、販売価格の上昇での増益約33億50百万円はあったものの、原料価格等の上昇による約30億円の減益、数量差による約18億円の減益、固定費の増加による約８億円の減益となり、結果として、前連結会計年度に比べ22億57百万円の減益の４億51百万円となりました。（営業外損益）当連結会計年度の営業外収益も、非連結子会社からの受取配当金や工場から産出される廃棄物の有価売却を行いましたが、受取補償金の減少により、前連結会計年度より40百万円減少の56百万円となりました。た。営業外費用は円安による為替差損の計上があったことなどから、前連結会計年度より43百万円増加の49百万円となりました。（特別利益）当連結会計年度の特別利益は、投資有価証券売却益26百万円を計上いたしました。これは政策保有株式の売却によるものです。（特別損失）当連結会計年度の特別損失は、経常的な固定資産の除却などをおこないましたが、固定資産除却損６百万円の計上にとどまり、前連結会計年度に比べ23百万円改善いたしました。 ②  経営方針・経営戦略等又は経営上の目標の達成状況「第２  事業の状況  １  経営方針、経営環境及び対処すべき課題等  (2)中期経営計画 」に記載の通りであります。 ③  キャッシュ・フローの状況の分析・検討内容並びに資本の財源及び資金の流動性に係る情報（資本の財源及び資金の流動性に係る情報）当社グループは、国内外における事業遂行のための設備投資計画等に照らして必要な長期資金を金融機関等からの借入により調達しております。また、短期的な運転資金は銀行借入による調達や自己資金を充当することとしております。調達にあたっては、必要な資金を適切な時期に過不足なく機動的に調達することを旨とし、資金の安定確保と金融費用の極小化を目指すこととしております。資金調達に係る流動性リスク（支払期日に支払いを実行できなくなるリスク）の管理については、当社は、年度毎に資金繰り計画を作成するとともに、資金繰り表を日々更新したり、銀行と当座貸越契約を締結することで管理しております。資金の配分方針については、適正な手許現金および現金同等物の水準を定め、企業価値向上に資する資金の配分に努めており、水準を超える部分については、成長投資、株主還元等への原資といたします。成長投資については、2022年度にスタートした中期経営計画の３ヶ年において100億円の設備投資を計画しております。これらの資金は、自己資金の充当や銀行借入により調達する予定としております。なお、2022年度の設備投資は17億47百万円となり、銀行借入による調達や自己資金を充当しております。株主還元については、株主の皆様への利益還元を重要な経営方針として位置づけ、財務体質の強化と今後の事業展開への対応を図るために必要な内部留保を確保しつつも、安定配当を実施していくことを基本方針としております。当社の配当政策については、「第４  提出会社の状況  ３  配当政策」をご確認ください。（キャッシュ・フローの状況の分析・検討内容）当連結会計年度における当社グループのフリー・キャッシュ・フロー（営業キャッシュ・フローと投資キャッシュ・フローの合計）は、28億61百万円の支出となりました。財務キャッシュ・フローでは、配当金の支払いや長期借入金の返済などを行った一方、新規の長期借入金の調達25億円を行いました。結果として、現金及び預金は８億53百万円となりました。また、流動比率は（流動資産／流動負債）は、168.6％であります。なお、有価証券報告書提出日現在においては、新型コロナウイルス感染症の影響を限定的なものとして見込んでおり、今後の資金繰りにおいて大きな影響を与えるものでないと考えております。 ④  重要な会計上の見積り及び当該見積りに用いた仮定当社グループの連結財務諸表は、わが国において一般に公正妥当と認められている会計基準に基づき作成されております。この連結財務諸表の作成にあたって、過去の実績や当連結会計年度の状況に応じて合理的に考えられる方法に基づき、貸倒引当金、賞与引当金、退職給付に係る負債、繰延税金資産等に関する見積りおよび判断を行っております。これら見積り等については、見積り特有の不確実性を伴うため、実際の結果は見積りと異なる場合がございます。当社グループの連結財務諸表で採用する重要な会計方針は、第５〔経理の状況〕の連結財務諸表の「連結財務諸表作成のための基本となる重要な事項」に記載しております。また、以下の会計上の見積りについては、経営者の判断が、財政状態および経営成績に重要な影響を及ぼすと考えております。なお、当連結会計年度末において新型コロナウイルス感染症の影響を限定的なものとして仮定し見積りを行っており、連結財務諸表に重要な影響を及ぼしていないと考えております。（繰延税金資産）繰延税金資産の回収可能性は、将来の税金負担額を軽減する効果を有するかどうかで判断しております。当該判断は、収益力に基づく一時差異等加減算前課税所得の十分性、タックス・プランニングに基づく一時差異等加減算前課税所得の十分性および将来加算一時差異の十分性のいずれかを満たしているかどうかにより判断しております。収益力に基づく一時差異等加減算前課税所得の十分性を判断するにあたっては、一時差異等の解消見込年度および繰戻・繰越期間における課税所得を見積っております。当該見積りおよび当該仮定について、将来の不確実な経済条件の変動等の見直しが必要となった場合、認識する繰延税金資産および法人税等調整額の金額に重要な影響を与える可能性があります。(固定資産の減損損失）当社グループは、投資の決定単位である各社の事業別に資産のグルーピングを行っており、遊休資産等については、個々の資産を１つの単位として資産のグルーピングを行っております。減損の兆候がある資産グループについては、当該資産グループから得られる割引前キャッシュ・フローの総額が帳簿価額を下回る場合、帳簿価額を回収可能価額まで減額し、当該減少額を減損損失として計上しております。減損の兆候の把握、減損損失の認識および測定に当たっては慎重に検討しておりますが、事業計画や市場環境の変化により、その見積り額の前提とした条件や仮定に変更が生じた場合、追加の減損損失が発生する可能性があります。 
経営上の重要な契約等	５ 【経営上の重要な契約等】該当事項はありません。　
研究開発活動	 ６ 【研究開発活動】当社グループは、高い研究開発力を活かし、既存事業の拡大・発展とともに新規事業創出に取り組んでおります。新規事業に関しては、当連結会計年度において、新たに研究所内にNEXT事業開発・IP戦略部を創設し、マーケティング活動を強化するとともに、当社の強みを活かした新たな事業開発を推進します。  セグメントごとの研究開発活動を示すと、次のとおりであります。なお、従来、「その他」を構成していた「化学分析受託事業」について量的な重要性が増したため報告セグメントとして記載する方法へ変更しております。＜化学工業セグメント＞当連結会計年度の化学工業セグメントの研究開発トピックスは、下記の通りとなります。光学レンズ用樹脂モノマーに関しては、開発品に関して着色の少ない新規製法を開発し、顧客から高評価を得ました。ワニスに関しては、中国での製造が本格化し、新たなグレード開発にも鋭意取り組んでおります。可塑剤に関しては、生分解性樹脂製品の伸長を睨んで、生分解性可塑剤の開発に注力しており、いくつか開発品を作成し顧客に評価していただいております。瞬間接着剤、エポキシ系接着剤、ゴム用添加剤に関しては、それぞれグローバルニーズに視点を置いた新規品目の開発を行っており、海外マーケットの開拓も合わせて取り組んでおります。グラフェンナノリボンに関しては、量産化製法を開発すると共に、類似の炭素系材料への応用展開も実施中であり、他社へのサンプル提供を開始しました。当連結会計年度末における化学工業セグメントの研究開発人員は59名であり、研究開発費は837百万円であります。 ＜化学分析受託事業セグメント＞特記事項はありません。 
設備投資等の概要	１ 【設備投資等の概要】当社グループでは、当連結会計年度は、化学工業セグメントを中心に1,747百万円の設備投資を実施いたしました。その主なものは、播磨工場の多目的プラント（N-2）の設備追加取得であります。 
主要な設備の状況	２ 【主要な設備の状況】(1)  提出会社2023年３月31日現在事業所名(所在地)セグメントの名称設備の内容帳簿価額(千円)従業員数(名)建物及び構築物機械装置及び運搬具土地(面積㎡)その他合計淀川工場（大阪市淀川区）化学工業生産設備941,6271,755,654773,619 ( 33,601)277,0403,747,941127研究所（大阪市淀川区、  大阪市此花区  ＊３）化学工業その他設備50,785263＊１209,780260,82963本社  ＊４（大阪市淀川区）＊３化学工業その他設備463,4371,731＊１328,650793,81949播磨工場（播磨地区）（兵庫県加古郡播磨町）化学工業生産設備等2,011,0801,621,394435,284 (38,187)4,465,9628,533,722127播磨工場（愛媛地区）（愛媛県新居浜市）化学工業生産設備23,61722,950＊２[1,128]48747,0555営業本部東京支店（東京都中央区）＊３化学工業その他設備2,396－－5992,99615  (2)  国内子会社2023年３月31日現在子会社事業所名（所在地）セグメントの名称設備の内容帳簿価額(千円)従業員数(名)建物及び構築物機械装置及び運搬具土地(面積㎡)その他合計株式会社田岡化学分析センター（大阪市淀川区、  兵庫県加古郡播磨町）化学分析受託事業その他設備－(16,022)－(0)＊５－(127,756)－(143,779)38  (3)  在外子会社2023年３月31日現在子会社事業所名（所在地）セグメントの名称設備の内容帳簿価額(千円)従業員数(名)建物及び構築物機械装置及び運搬具土地(面積㎡)その他合計タオカ  ケミカル  インド  プライベート  リミテッド（インド共和国チェンナイ市）化学工業生産設備9169,458＊２  [9,575] 136,481146,85630田岡化工材料(上海)有限公司（中華人民共和国上海市）＊３化学工業その他設備－－－3003004 (注) １  現在休止中の主要な設備はありません。２  帳簿価額のうち「その他」は、リース資産ならびに工具、器具及び備品および建設仮勘定の合計であります。３  国内子会社の帳簿価額のうち、（  ）は、提出会社からの借用資産で外数で記載しております。４  平均臨時雇用者数は、臨時従業員の総数が従業員数の100分の10未満のため、記載を省略しております。５  ＊１の土地は提出会社の淀川工場に含んでおります。６  ＊２は借地であり、賃借している土地の面積は[]で外書きしております。７  ＊３は建物を賃借しております。８  ＊４は淀川工場・研究所の本社管轄の設備を含んでおります。９  ＊５の土地は提出会社の淀川工場および播磨工場（播磨地区）に含んでおります。 
株式の総数	① 【株式の総数】種類発行可能株式総数(株)普通株式24,000,000計24,000,000 
発行済株式、株式の総数等	② 【発行済株式】種類事業年度末現在発行数(株)(2023年３月31日)提出日現在発行数(株)(2023年６月22日)上場金融商品取引所名又は登録認可金融商品取引業協会名内容普通株式14,440,00014,440,000東京証券取引所スタンダード市場単元株式数は100株であります。計14,440,00014,440,000－－ 
