項目	値
事業の内容	３【事業の内容】　当社は「未来のゲームチェンジャーの『まずやってみよう』をカタチに」という経営ビジョンを掲げ、当社の有するデータサイエンスの技術とノウハウをもとに、アルゴリズム及びソフトウエアを開発・提供することで、企業の課題解決やチャレンジを支援する「SaaS型アルゴリズム提供事業」を展開しております。　特に、EC分野において、近年急増するオンライン決済での不正対策として、代金未払いとなり得る注文をリアルタイムに検知するSaaS型サービス「O-PLUX（オープラックス）」を主力製品とする「不正検知サービス」を展開しており、当社事業の中核サービスと位置づけております。　また、「不正検知サービス」とシナジー効果を発揮するサービスとして、クレジットカード等を用いずに、商品の受け取り後に支払いができる後払い決済を提供する後払い決済事業者に向けて、システム提供及びコンサルティングを行う「決済コンサルティングサービス」を展開しており、後払い決済の審査エンジンとして「O-PLUX」をご利用いただくことで、ワンストップのサービスを提供しております。　加えて、「SaaS型アルゴリズム提供事業」をEC分野のみならず、小売・流通業や製造業をはじめとした様々な分野において展開するべく、マーケティングや生産効率向上等に資するアルゴリズムを開発・提供する「データサイエンスサービス」を展開しております。　当社が、SaaS型アルゴリズム提供事業において提供している各サービスの具体的な内容は、以下のとおりです。　なお、当社は、SaaS型アルゴリズム提供事業の単一セグメントであるため、サービス別に記載しております。 （具体的なサービスの内容）(1)　不正検知サービス　当社は、当社の有するデータサイエンス及びセキュリティの技術・ノウハウをもとに、以下のとおり不正検知サービスを展開しております。a．不正注文検知サービス「O-PLUX」　「O-PLUX」は、ECにおける注文データを分析することで、代金未回収となり得る注文をリアルタイムに検知するSaaS型の不正注文検知サービスです。当社のAI・統計学・数理最適化といったデータサイエンスの技術で独自の検知モデルを構築し、日本語独特の表記ゆれを名寄せする正規化機能（注１）や、注文のあった端末を特定するデバイス認証機能（注２）などの機能により、単純なブラックリスト照合や担当者の目視による審査ではなしえなかった検知精度を実現いたしました。また、購入時にパスワード入力等を求める本人認証サービスと違い、画面遷移なく審査可能なため、購入者の操作性・利便性を損ねることなく不正対策が可能です。「O-PLUX」は、これらの機能・性能をご評価いただき、日本国内のECサイトにおける有償の不正検知サービスの導入件数№１を獲得しております。（株式会社東京商工リサーチが実施した「ECサイト不正検知サービスに関する調査」による。調査対象時点は2020年５月末日時点。） ＜EC事業者の不正対策＞　近年、クレジットカード番号等の情報を盗まれ不正に使われる「番号盗用被害」が急増しておりますが、ECにおいて番号盗用等によるクレジットカードの不正利用が発生した場合、クレジットカード保有者が代金の支払いに同意せずにクレジットカード会社に対して注文の取り消しを申請すると、その代金の売上は取り消され、基本的にEC事業者の負担となります。「O-PLUX」はこのようなクレジットカード不正の対策をはじめ、代引引換注文での受取拒否やアフィリエイト報酬を狙ったなりすまし注文等、ECにおける様々な不正の対策ツールとして、EC事業者への導入が進んでおります。 ＜後払い決済事業者の審査エンジン＞　クレジットカード等を用いずに、商品の受け取り後に支払いができる後払い決済は、クレジットカード利用に不安を抱くユーザーニーズに応える形で利用者が拡大しており、株式会社矢野経済研究所による「オンライン決済サービスプロバイダーの現状と将来予測2020年版」によりますと、2018年度の後払い決済市場の市場規模は、前年度比30.0％増の5,720億円となっております。　後払い決済は、クレジットカード決済に比べ、事前審査がなく、基本的に注文情報のみで審査を行う必要があるため、代金未払い等の回収リスクが高く、より高精度な審査が求められます。後払い決済における代金未払い等の被害は、基本的に決済を提供する後払い決済事業者が負うこととなるため、その対策として「O-PLUX」をご利用いただいております。 b．不正アクセス検知サービス「O-motion」　「O-motion」は、会員サイト等において、本人になりすました不正なアクセスをリアルタイムに検知するSaaS型の不正アクセス検知サービスです。独自のデバイス情報・操作情報を駆使した不正判定により、User Agent（注３）、Cookie等を用いた従来型の検知では判別しきれなかった不正も判定・検知が可能です。その性能をご評価いただき、インターネットバンキングにおける不正送金や、2019年6月から施行されたいわゆる「チケット不正転売防止法」によって規制の対象となった不当なチケット買い占めによる高値転売の対策として、金融機関、大手チケットサイト等に導入いただいております。 (2)　決済コンサルティングサービス　当社の決済コンサルティングサービスは、主に後払い決済を提供する後払い決済事業者に向けて、当社の後払い決済に関するノウハウをもとに、決済システムの提供及び後払い決済事業の立上げ・運用のコンサルティングを行っています。　後払い決済は、購入者にとって利便性が高い一方、それを提供する後払い決済事業者にとっては、代金未払い等の回収リスクが高く、高精度な審査が不可欠となるため、当社は、「決済コンサルティングサービス」の提供とともに、後払い決済の審査エンジンとして「O-PLUX」をご利用いただくことで、後払い決済の構築をワンストップで支援しております。 (3)　データサイエンスサービス　当社のデータサイエンスサービスは、マーケティングや業務生産性などの課題に対し、企業が保有するビッグデータを、AI、統計学、数理最適化等データサイエンスにおける最適な技法を用いて分析し、アルゴリズムを開発・提供するサービスです。基礎集計フェーズ、解析フェーズ、システム構築フェーズなど、フェーズごとに料金を設定することにより、透明性の高いサービスを提供しております。本サービスの主な事例は以下のとおりとなります。(a) アパレルメーカーの実店舗とECすべてを対象とした購買データをもとに、「買い方」別に顧客の特徴をクラスタリング（データを機能やカテゴリごとに分けて集めること）。月次での購買期待値順会員リスト生成と、クラスタ別の施策やコミュニケーション立案材料の提供。(b) コールセンターの翌月の日・時間帯単位での需要を予測。現状の対応能力から、経営指標に応えられる応答率と、従業員の勤務希望、労働条件といった複数の制約を満たす人員配置計画を計算し、自動提供。 （当社のビジネスモデルについて）　当社の主要製品である「O-PLUX」の収益構造は、定額課金である月額料金及び審査件数に応じた従量課金である審査料金からなるストック収益と、初期導入料金等のスポット収益で構成されており、2019年12月期において、売上高全体に占めるストック収益の割合は、70.3％となります。　ストック収益の成長を実現するために、当社のデータサイエンスの技術による更なる精度向上に加え、国内製品・自社製品ならではのモニタリング・サポート体制を提供することで顧客価値向上を実現し、利用企業及び審査件数の増加、並びに高い継続率の維持の実現を目指してまいります。 （注）１．表記の異なる同一情報（例えば、「赤坂一丁目５番31号」と「赤坂１－５－31」）を一定のルールに基づいて変形し、表記を揃える機能。２．IPアドレス、cookie、言語設定等の端末に関する様々な情報や設定をもとに、注文のあった端末を特定する機能。３．ブラウザがWebサーバーに対して自動的に通知しているブラウザの種類やバージョンやOSの種類やバージョンなどの情報を組み合わせた識別子のこと。  （事業系統図）　当社の事業系統図は下図のとおりであります。 
経営方針、経営環境及び対処すべき課題等	１【経営方針、経営環境及び対処すべき課題等】文中の将来に関する事項は、本書提出日現在において、当社が判断したものであります。(1) 経営方針　当社は、「未来のゲームチェンジャーの『まずやってみよう』をカタチに」という経営ビジョンを掲げ、当社の有するAI・統計学・数理最適化といったデータサイエンスの技術とノウハウをもとに、アルゴリズム及びソフトウエアを開発・提供することで、企業の課題解決やチャレンジを支援することを目指しております。　特に、EC分野における不正検知サービスを中核サービスとして位置づけ、決済コンサルティングサービス及びデータサイエンスサービスとのシナジー効果を発揮することで持続的な成長を図り、セキュリティ・ペイメント・データサイエンスの技術で新しい価値を作り上げる会社として、企業価値の最大化を図ってまいります。 (2) 経営上の目標の達成状況を判断するための指標　当社は、売上高の継続的かつ累積的な増加を実現するため、当社の主力製品である「O-PLUX」のストック収益の金額を重要指標としております。 (3) 経営環境及び中長期的な経営戦略　消費者向け電子商取引（BtoC-EC）市場は、経済産業省による2019年の調査「令和元年度内外一体の経済成長戦略構築にかかる国際経済調査事業（電子商取引に関する市場調査）報告書」によると、前年比7.65％増の19.3兆円となり、依然として高い成長率を維持しております。一方、クレジットカード番号等の情報を盗まれ不正に使われる「番号盗用被害」が急増しており、一般社団法人日本クレジット協会による「日本のクレジット統計 2019年版」によりますと、2019年の番号盗用被害額は前年比約19％増の約223億円となり、2014年の約3.3倍に達しております。　このような状況を受け、改正割賦販売法においては、クレジットカード番号等の不正な利用を防止するために必要な措置を講じることが義務化され、また、その実務上の指針となる、「クレジットカード・セキュリティガイドライン1.0版（クレジット取引セキュリティ協議会）」においては、非対面取引におけるクレジットカードの不正利用対策として、加盟店に対して「属性・行動分析（不正検知システム）」等の方策をリスク状況に応じて導入することが求められるなど、不正対策に対する社会的要請はますます高まっております。　こうした経営環境下において、当社は、以下の事項を中長期的な経営戦略として、事業推進してまいります。 ① 主力製品である「O-PLUX」の更なる成長　EC市場の継続的成長及びオンライン決済における不正被害の急増、並びに法規制等の不正対策に対する社会的要請の高まりといった事業環境にあって、当社の主力製品である「O-PLUX」のニーズはますます高まるものと考えており、今後の更なる成長に向けて以下施策を実行してまいります。(a) アライアンスの強化　決済代行会社（注１）、ECパッケージ・ショッピングカートベンダー（注２）等とのシステム連携をより一層加速することで、導入企業のシステム開発負荷を低減するとともに導入サイクルの短期化を図り、EC事業者を中心とした更なる新規利用企業の獲得を進めてまいります。さらに、システム連携のみならず、それらアライアンスを生かした新たな機能・サービスの開発を行い、「O-PLUX」がEC事業者にとって更に付加価値の高い製品となるよう取り組んでまいります。(b) サービス領域の拡張　「O-PLUX」は、これまで主にECにおける物販分野においてサービス提供してまいりましたが、2020年6月に、旅行業界、チケット業界、デジタルコンテンツ等のWebサービス業界に特化した新たなサービスの提供を開始いたしました。「O-motion」によるデバイス特定等のセキュリティに関する技術やデータサイエンスの技術など、当社が有するあらゆる技術・ノウハウを「O-PLUX」に活用することで、更なるサービス領域の拡張を図ってまいります。(c) 後払い決済事業者への導入促進及び長期利用継続の維持　当社は、後払い決済を提供する後払い決済事業者に対して、審査エンジンとして「O-PLUX」を提供しておりますが、後払い決済市場は、近年拡大を続けており、今後も成長が見込まれるため、当社は、決済コンサルティングサービスとのシナジー効果を発揮することで、引き続き、後払い決済事業者への「O-PLUX」導入を促進するともに、長期的な利用継続の維持を図ってまいります。 ② データサイエンスサービスによる新たな収益機会の獲得　当社のデータサイエンスサービスは、当社のAI・統計学・数理最適化といったデータサイエンスの技術・ノウハウをもとに、マーケティングや生産効率向上等に資するアルゴリズムを企業に開発・提供しております。2019年12月期において、データサイエンスサービスの売上高全体に占める割合は6.3％と僅少ではありますが、本サービスは、当社の「SaaS型アルゴリズム提供事業」を、既に不正検知サービスとして展開しているEC分野のみならず、小売・流通業や製造業をはじめとした様々な分野において展開する足掛かりを作ることを企図しております。今後も、データサイエンスサービスの提供を促進する中で、新たなSaaS型サービスを企画・開発し、事業領域の拡大及び新たな収益機会の獲得に努めてまいります。 (4) 事業上及び財務上の対処すべき課題①優秀な人材の確保及び教育研修等の強化による社員の能力の維持・向上　当社の業容拡大に伴い優秀な人員の確保と更なる社員の能力の維持・向上が必要であると考えております。当社では即戦力の人材確保を目的とした中途採用と将来を担う社員の育成と組織の活性化を目的とした新卒採用による採用活動を積極的に行ってまいります。また、人材育成・開発を重要課題と位置づけ、持続的な成長を支える人材の育成にも積極的に取り組んでまいります。 ②製品開発投資の促進　当社は国内ECの不正検知市場において、市場の形成と拡大に貢献してまいりました。しかしながら、海外競合製品が日本市場へ参入し、近年、競争が一段と激化してきております。また、不正の多様化及び複雑化により不正検知に求められる精度や品質が今後より高度化していくものと予測しております。こうした状況の中で、当社は今後の成長性確保、競争優位性を高めるため、主力製品である「O-PLUX」の高機能化および新機能開発を進めるために、更なる製品開発投資を推進してまいります。 ③当社及び当社サービスの認知度向上　当社及び当社サービスは、国内外の競合企業と比較して認知度においては不足していると認識しております。今後、更なる収益拡大を図るためには、なお一層の自社ブランドの確立、認知度の向上が必要であると考えております。費用対効果を見極めながらインターネットや展示会以外のマスメディア等も活用し更なる認知度の向上に努めてまいります。なお、株式上場による社会的認知度の向上も意図しております。 ④内部管理体制の強化　当社は、更なる事業拡大、継続的な成長を遂げるためには、コンプライアンス体制の強化及び確固たる内部管理体制構築を通じた業務の標準化と効率化の徹底を図ることが重要であると考えております。当社といたしましては、内部統制の環境を適正に整備し、コーポレート・ガバナンスを充実させることによって、内部管理体制の強化を図り、企業価値の最大化に努めてまいります。 （注）１．EC事業者と各決済機関の間に立ち、多様な決済を一括の契約及び管理システムで利用できるサービスを提供する会社のこと。　　　２．ECサイトの運営に必要な商品管理、在庫管理、売上管理等の機能が統合的に実装されたシステムを提供する事業者のこと。 
事業等のリスク	２【事業等のリスク】　当社の事業の状況、経理の状況等に関する事項のうち、投資者の判断に重要な影響を及ぼす可能性のある事項には、以下のようなものがあります。また、必ずしもリスク要因には該当しない事項につきましても、投資者の投資判断上、重要であると考えられる事項については、投資者に対する積極的な情報開示の観点から以下に開示しております。　なお、文中の将来に関する事項は、本書提出日現在において当社が判断したものであり、将来において発生の可能性があるすべてのリスクを網羅するものではありません。 (1) 市場の動向について　当社の主たる事業領域であるEC市場、セキュリティ市場及びデータサイエンスの市場は、インターネット環境の整備、インターネットの利用拡大等を背景に市場規模の拡大を続けておりますが、当該市場を取り巻く新たな規制の導入や、その他予期せぬトラブル等により、市場の成長が鈍化した場合には、当社の事業及び業績に影響を及ぼす可能性があります。 (2) 技術革新への対応について　当社は、提供する各サービスの価値向上のために有効であると思われる新たな技術やノウハウを積極的に取り入れ、サービス機能の拡充及び強化を進めていく方針ですが、技術革新等への対応が遅れた場合や、予想外に開発費等の費用が発生した場合には、当社の事業及び業績に影響を及ぼす可能性があります。 (3) 競合について　当社は、EC市場、セキュリティ市場及びデータサイエンス市場を主たる事業領域としておりますが、当該分野においては、まだ発展途上の市場ではあるものの、今後多くの企業の参入が見込まれ、競合サービスが増加する可能性があります。そのため、十分な差別化や機能向上等が行えなかった場合や、新規参入等により競争が激化した場合には、当社の事業及び業績に影響を及ぼす可能性があります。 (4) プロジェクトの検収時期の変動あるいは収支の悪化について　当社事業の一部において、顧客の検収に基づき売上高を計上しております。そのため、当社はプロジェクトごとの進捗を管理し、計画どおりに売上高及び利益が計上できるように努めております。しかしながら、プロジェクトの進捗によって納期が変更され、検収時期が遅延し、計画どおりに売上を計上することができない場合があります。　特に各四半期、年度末に予定されていた検収が、翌四半期末や翌事業年度に遅れると当該期間での当社の財政状態及び経営成績に影響を及ぼす可能性があります。 (5) システム障害について　当社では情報セキュリティマネジメントシステム認証を取得し、リスクマネジメントに努めておりますが、サービスの基盤をインターネットに依存しているため、顧客へのサービス提供が妨げられるようなシステム障害の発生やサイバー攻撃によるシステムダウン等を回避すべく、サーバー設備の強化や稼働状況の監視等により未然防止策を実施しております。　このような対応にも関わらず大規模なシステム障害が発生した場合には、サービスの提供に支障をきたし、当社の事業及び業績に影響を及ぼす可能性があります。 (6) AWSサーバー障害時について　当社の提供するサービスは、外部クラウドサーバー(Amazon Web Services、以下「AWS」という。)にてサービスを提供しており、AWSの安定的な稼働が当社の業務遂行上必要不可欠な事項となっております。AWSは、世界中に点在する複数の地理的リージョン(注１)及びアベイラビリティゾーン(注２)で運用されており、FISC安全対策基準(注３)を満たす安全性を備えておりますが、AWSの不備や人為的な破壊行為、自然災害等、当社の想定していない事象の発生によるサービスの停止により収益機会の逸失等を招く恐れがあります。このような事態が発生した場合には当社が社会的信用を失うこと等が想定され、当社の事業及び業績に影響を及ぼす可能性があります。(注１)地理的リージョン　地理的に独立したサーバーの設置エリアのことをいいます。各リージョン同士は完全に独立しているため１つのリージョンで障害が発生しても他のリージョンには影響が出ない設計となっております。(注２)アベイラビリティゾーン　リージョンの中の個々の独立したデータセンターの名称のことをいいます。(注３)FISC安全対策基準　金融庁が金融機関のシステム管理体制を検査する際に使用する基準のことをいいます。 (7) 個人情報保護法による規制について　不正検知サービスにおいて、利用企業から受領している審査データは、利用企業におけるハッシュ化（元のデータから一定の計算手順に従ってハッシュ値と呼ばれる規則性のない固定長の値を求め、その値によって元のデータを置き換えること。）等の処理の結果、特定の個人が識別されることのない態様により受領しておりますが、当社は、当該データについて、個人情報保護法に定める個人情報と同等に取り扱うべく、規程や業務フローを制定し、情報管理体制を整備しております。併せて、役員及び従業員を対象とした社内教育を通じて、関連ルールの周知徹底及びルール遵守に対する意識向上を図るとともに、一般財団法人日本情報経済社会推進協会が発行するプライバシーマークを取得しております。　しかしながら、個人情報が当社の関係者や業務提携先の故意又は過失により、外部へ流出もしくは悪用される事態が発生した場合には、当社が損害賠償を含む法的責任を追及される可能性があるほか、当社並びに運営サービスの信頼性やブランドが毀損し、当社の事業及び業績に影響を及ぼす可能性があります。 (8) 法的規制について　当社は企業活動に関わる各種法令の規制を受けておりますが、当社の事業継続に著しく重要な影響を及ぼす特有の法的規制は、本書提出日時点において存在しないと考えております。当社は、各種法令の規制を遵守するべく社内体制を整備・強化しておりますが、今後、既存法令等の改正や新たに当社の行う事業を規制する法的規制が適用されることとなった場合、また、不測の事態により、万が一法的規制等に抵触しているとして何らかの行政処分等を受けた場合、当社の事業及び業績に影響を及ぼす可能性があります。 (9) 特定の市場・取引先への依存について　2019年12月期における当社の売上高に占める主要取引先上位５社の売上高合計の割合は64.7％であり、また、それら取引先はいずれも後払い決済事業者であることから、特定の市場・取引先への依存度が高い状況にあります。本書提出日現在において、後払い決済市場は、将来の成長が見込まれていますが、今後、予期しない環境の変化により、当該市場の成長に何らかの問題が生じた場合には、当社の業績に影響を及ぼす可能性があります。また、現時点において、それらの取引先である後払い決済事業者と当社との関係は良好な状態であり、一部取引先との間で長期契約を締結しておりますが、それらの取引先の経営方針に変更が生じ、契約条件の変更等があった場合は、当社の業績に影響を及ぼす可能性があります。 (10) 外注先の確保について　当社の事業においては、必要に応じて、システムの設計、構築等について協力会社に外注しております。　現状では、有力な協力会社と長期的かつ安定的な取引関係を保っておりますが、協力会社において技術力及び技術者数が確保できない場合及び外注コストが高騰した場合には、サービスの円滑な提供及び積極的な受注活動が阻害され、当社の事業及び業績に影響を及ぼす可能性があります。 (11) 特定人物への依存について　当社創業者である岩井裕之は、当社の大株主かつ代表取締役であり、当社の経営方針や事業戦略の立案及び決定における中核として重要な役割を果たし、新たな事業モデルの創出においても中心的な役割を担っております。当社は権限移譲等を行うことで同氏に依存しない経営体制の整備に努めておりますが、現状、何らかの理由により同氏が当社の業務を継続することが困難になった場合、当社の事業及び業績に影響を及ぼす可能性があります。 (12) 新規事業について　当社は今後も、積極的に新サービスもしくは新規事業に取り組んでまいりますが、これによりシステムへの先行投資や、広告宣伝費等に追加的な支出が発生し、利益率が低下する可能性があります。また、展開した新領域での新規事業の拡大及び成長が当初の予定どおりに進まない場合、投資を回収できず、当社の財政状態及び経営成績に影響を及ぼす可能性があります。 (13) ベンチャーキャピタル等の持株比率について　本書提出日現在における当社の発行済株式総数は2,337,081株であり、そのうちベンチャーキャピタル及びベンチャーキャピタルが組成した投資事業組合（以下、「ベンチャーキャピタル等」という。）が保有する株式数は782,085株、保有比率は33.5％であります。　新規株式公開にかかるベンチャーキャピタル等の保有目的は、当該株式の新規株式公開以降において当該株式を売却し、キャピタルゲインを得ることにあります。よって、当社の株式公開後、当社の株主であるベンチャーキャピタル等が保有する当社株式の全部または一部を売却することが予想され、その場合、当社株式の需給バランスが短期的に損なわれ、株価の形成に影響を及ぼす可能性があります。(14) 配当政策について　当社は、株主に対する利益還元と同時に、財務体質の強化及び競争力の確保を経営の重要課題の一つとして位置づけております。しかしながら、現状では、当社は成長過程にあると考えており、内部留保の充実を図り、事業の効率化と事業拡大のための投資に充当していくことが株主に対する最大の利益還元につながると考えております。このことから、創業以来配当は実施しておらず、今後においても将来の事業展開と経営体質の強化を目的に必要な内部留保を確保していくことを基本方針としております。将来的には、各事業年度の経営成績を勘案しながら株主への利益還元を検討してまいる方針ですが、現時点において配当実施の可能性及び、その実施時期につきましては未定であります。 (15) 新株予約権の行使による株式価値の希薄化に関するリスク　当社は、役職員等の意欲や士気を高め、一層の収益拡大と体質強化を図ることを目的として、ストックオプション（新株予約権）を発行しております。本書提出日現在、新株予約権による潜在株式数は323,484株であり、発行済株式総数2,337,081株の13.8％に相当します。今後これらの新株予約権が行使された場合には、当社の１株当たりの株式価値が希薄化することになり、将来における株価へ影響を及ぼす可能性があります。 (16) 税務上の繰越欠損金について　当社は、2019年12月期末時点において、税務上の繰越欠損金を有しております。今後、当社の業績が事業計画に比して順調に推移し、繰越欠損金が解消した場合には、通常の税率に基づく法人税、住民税及び事業税が計上されることとなり、当期純損益及びキャッシュ・フローに影響を与える可能性があります。 (17) 調達資金の使途について　当社が計画している公募増資による調達資金の使途につきましては、不正検知サービスにおけるシステムのアーキテクチャ刷新等に伴うソフトウエア開発、決済コンサルティングサービスにおける後払い決済システムに係るソフトウエア開発、借入金及び社債の返済に充当する予定等として充当する予定であります。　しかしながら、急激な経営環境の変化が生じ、その変化に柔軟に対応していくため、調達資金の使途を現時点での計画以外の使途へ充当する可能性があります。また、当初の計画に沿って資金を使用したとしても、想定どおりの投資効果を得られない可能性もあります。 (18) 人材の確保・育成について　当社は、経営に不可欠な資源は「ヒト」であり、優秀な人材を確保し従業員満足度を上げることで、社員が最大限の力を発揮できると考えており、適材適所の配置、市場環境に対応できる能力を獲得させるための教育、社内コミュニケーションの円滑化などに努めております。しかしながら、当社が人材の確保、活用、育成強化に十分対応できない事象が発生した場合、経営判断、成長力や競争力が影響を受ける可能性があります。 (19) 知的財産権に関するリスク　当社は、第三者の特許権及び商標権等の知的財産権に関して、外部の弁理士などを通じて調査する等、その権利を侵害しないよう留意するとともに、必要に応じて当社の知的財産権の登録等について申請することで、当該リスクの回避を検討しております。しかしながら、当社の認識していない知的財産権が既に成立している可能性や当社の事業分野で第三者による知的財産権が成立する可能性があることから、当社による第三者の知的財産権の侵害が生じる可能性は否定できず、当社が第三者の知的財産権を侵害した場合には、当該第三者より、損害賠償請求、使用差し止め請求、又はロイヤリティの支払い要求などが発生する可能性があり、当社の事業及び業績に影響を及ぼす可能性があります。 (20) 小規模組織について　当社は、2020年10月31日現在において、取締役７名、従業員26名と小規模な組織となっており、内部管理体制もこれに応じたものとなっております。当社は、今後の事業規模の拡大に応じて、人員の増強と内部管理体制の一層の充実を図っていく方針でありますが、これらの施策が適時適切に進行しなかった場合には、当社の事業及び業績に影響を及ぼす可能性があります。  
経営者による財政状態、経営成績及びキャッシュ・フローの状況の分析	
経営上の重要な契約等	４【経営上の重要な契約等】該当事項はありません。 
研究開発活動	５【研究開発活動】第９期事業年度（自　2019年１月１日　至　2019年12月31日）　当社は、日々複雑化・多様化する不正（不正注文、不正アクセス等）に対抗していくため、最新の不正手口及び技術情報の調査及び基礎研究を行うとともに、市場ニーズに応える新たな機能の製品化のための活動等を行っております。　当事業年度における研究開発費の総額は、46,828千円であります。なお、当社はSaaS型アルゴリズム提供事業の単一セグメントであるため、セグメント別の記載を省略しております。 第10期第３四半期累計期間（自　2020年１月１日　至　2020年９月30日）　当第３四半期累計期間における研究開発活動の金額は12,061千円であります。なお、当社はSaaS型アルゴリズム提供事業の単一セグメントであるため、セグメント別の記載を省略しております。 
設備投資等の概要	１【設備投資等の概要】第９期事業年度（自　2019年１月１日　至　2019年12月31日）　当事業年度において実施した設備投資の総額は147,842千円であり、その主なものは不正検知サービスにおけるシステムのアーキテクチャ刷新に伴うソフトウエアの開発138,990千円であります。また、当事業年度において重要な設備の除却、売却等はありません。　なお、当社はSaaS型アルゴリズム提供事業の単一セグメントであるため、セグメント別の記載を省略しております。 第10期第３四半期累計期間（自　2020年１月１日　至　2020年９月30日）　当第３四半期累計期間において実施した設備投資の総額は91,353千円であり、その主なものは不正検知サービスにおけるシステムのアーキテクチャ刷新に伴うソフトウエアの開発87,934千円であります。また、当第３四半期累計期間において重要な設備の除却、売却等はありません。　なお、当社はSaaS型アルゴリズム提供事業の単一セグメントであるため、セグメント別の記載を省略しております。 
主要な設備の状況	２【主要な設備の状況】 2019年12月31日現在 事業所名(所在地)設備の内容帳簿価額（千円）従業員数(人)建物工具、器具及び備品ソフトウエアソフトウエア仮勘定合計本社（東京都港区)本社設備等5,4306,68210,808138,990161,91320(10)(注) １．現在休止中の主要な設備はありません。 ２．上記の金額には消費税等は含まれておりません。 ３．本社建物を賃借しております。年間賃借料は18,194千円であります。 ４．従業員数の（　）は、臨時雇用者数を外書きしております。 ５．当社は、SaaS型アルゴリズム提供事業の単一セグメントであるため、セグメント別の記載を省略しております。 
株式の総数	①【株式の総数】種類発行可能株式総数（株）普通株式5,000,000計5,000,000
発行済株式、株式の総数等	②【発行済株式】種類発行数（株）上場金融商品取引所名又は登録認可金融商品取引業協会名内容普通株式2,337,081非上場権利内容に何ら限定のない当社における標準となる株式であり、単元株式数は100株であります。計2,337,081－－　（注）１．2020年８月12日開催の取締役会決議により、2020年９月９日付で普通株式１株を３株に分割しております。これにより株式数は1,558,054株増加し、発行済株式総数は2,337,081株となっております。　　　　２．2020年８月31日開催の臨時株主総会決議に基づき、2020年９月９日付で１単元を100株とする単元株制度を採用しております。 
