項目	値
事業の内容	２ 【事業の内容】当第１四半期連結累計期間において、当社グループ(当社及び当社の関係会社)において営まれている事業の内容について、重要な変更はありません。　また、主要な関係会社についても異動はありません。 
経営方針、経営環境及び対処すべき課題等	
事業等のリスク	１ 【事業等のリスク】当第１四半期連結累計期間において、当四半期報告書に記載した事業の状況、経理の状況等に関する事項のうち、投資者の判断に重要な影響を及ぼす可能性のある事項の発生又は前事業年度の有価証券報告書に記載した「事業等のリスク」についての重要な変更はありません。なお、新型コロナウィルス感染症について、当社グループでは、生産拠点及び国内外マーケティング拠点の分散がリスクの低減に寄与するとともに、安定的な製品供給に向け可能な限りの対応を進めております。しかしながら、更なる感染拡大によって、各国、特に中国における生産・物流の停滞等が生じる場合には、当社グループの事業活動に影響を及ぼす可能性があります。     
経営者による財政状態、経営成績及びキャッシュ・フローの状況の分析	２ 【経営者による財政状態、経営成績及びキャッシュ・フローの状況の分析】文中の将来に関する事項は、当四半期連結会計期間の末日現在において判断したものであります。なお、当社は、前第１四半期連結累計期間については、四半期連結財務諸表を作成していないため、前年同四半期連結累計期間との比較分析は行っておりません。 (1) 経営成績の分析当第１四半期連結累計期間におけるわが国経済は、新型コロナウィルス感染症の影響により、足元で大幅に下押しされており、厳しい状況にあります。感染症の世界的な拡大による影響により厳しい状況が続くと見込まれ、内外経済をさらに下振れさせるリスクに十分注意するとともに、金融市場の変動の影響に留意する必要がある等、先行きが不透明な状況にあります。このような経済状況におきまして、当社グループは、積極的な高付加価値製品の販売促進活動を実施するとともに、生産性の向上にも努めました。その結果、当社グループの当第１四半期連結累計期間の売上高は3,548百万円、営業利益は244百万円、経常利益は262百万円、親会社株主に帰属する四半期純利益は259百万円となりました。なお、セグメントごとの経営成績は次のとおりであります。 [光学シート事業]新型コロナウィルス感染症の影響により一時需要減少がありましたが、３月以降の販売は回復傾向にあります。その結果、売上高2,235百万円、セグメント利益599百万円となりました。[機能製品事業]いずれの分野も受注減となりました。新たなフィルムビジネスが芽を出しつつありますが、全体の利益改善に至りませんでした。その結果、売上高1,312百万円、セグメント利益18百万円となりました。 (2) 財政状態の分析当第１四半期連結会計期間末における資産、負債及び純資産の状況は以下のとおりであります。 (資産の部)資産合計は、現金及び預金が290百万円、商品及び製品が239百万円、有形固定資産が110百万円それぞれ増加したものの、受取手形及び売掛金が696百万円減少したことなどから、前連結会計年度末に比べ311百万円減少し、14,949百万円となりました。 (負債の部)負債合計は、支払手形及び買掛金が174百万円、未払金が167百万円、長期借入金が134百万円、それぞれ減少したことなどから、前連結会計年度末に比べ384百万円減少し、9,877百万円となりました。  (純資産の部)純資産合計は、剰余金の配当により100百万円、その他有価証券評価差額金が58百万円それぞれ減少したものの、親会社株主に帰属する四半期純利益の計上により259百万円増加したことなどから、前連結会計年度末に比べ73百万円増加し、5,072百万円となりました。 (3) 経営方針・経営戦略等当第１四半期連結累計期間において、当社が定めている経営方針・経営戦略等について重要な変更はありません。 (4) 事業上及び財務上の対処すべき課題当第１四半期連結累計期間において、当社が対処すべき課題について重要な変更はありません。 (5) 研究開発活動当第１四半期連結累計期間におけるグループ全体の研究開発費は136百万円であります。なお、当第１四半期連結累計期間において、研究開発活動の状況に重要な変更はありません。 
経営上の重要な契約等	３ 【経営上の重要な契約等】当第１四半期連結会計期間において、経営上の重要な契約等の決定又は締結等はありません。 
研究開発活動	
設備投資等の概要	
主要な設備の状況	
株式の総数	① 【株式の総数】 種類発行可能株式総数(株)普通株式23,000,000計23,000,000  
発行済株式、株式の総数等	② 【発行済株式】 種類第１四半期会計期間末現在発行数(株)(2020年３月31日)提出日現在発行数(株)(2020年５月13日)上場金融商品取引所名又は登録認可金融商品取引業協会名内容普通株式7,717,4007,717,400　東京証券取引所　（市場第二部）単元株式数は100株であります。計7,717,4007,717,400－－ 
配当政策	
コーポレート・ガバナンスの概要	
役員の状況	２ 【役員の状況】該当事項はありません。　
貸借対照表	
損益計算書	
キャッシュ・フロー計算書	
