項目	値
事業の内容	 ３ 【事業の内容】当社グループは、当社、連結子会社２社(株式会社マツモトユシ・インドネシア[インドネシア]、立松化工股份有限公司[台湾])、持分法適用関連会社１社(日本クエーカー・ケミカル株式会社）の計４社で構成され、界面活性剤、その他の２部門に関係する製品等の製造、販売を主な事業内容とし、事業活動を展開しております。当社グループの事業における位置付け及びセグメントとの関連は、次のとおりであります。(界面活性剤)当部門においては、当社が製造・販売をするほか、持分法適用関連会社の日本クエーカー・ケミカル株式会社が鉄鋼金属工業用、製缶工業用界面活性剤の研究、販売を行っております。　また、連結子会社の株式会社マツモトユシ・インドネシア及び立松化工股份有限公司は繊維工業用界面活性剤を製造し、自国内で販売しております。当社は上記２社より製品を仕入れ、インドネシア及び台湾以外の国へ販売しております。　セグメント区分は製造拠点ごとの区分によっており、当該区分ごとの主要な関係会社の名称は、以下のとおりであります。（日本）当社（アジア）株式会社マツモトユシ・インドネシア、立松化工股份有限公司(その他)当部門においては、当社が繊維工業用その他の合成糊料、合成樹脂製マイクロスフェアーなどを製造、販売し、連結子会社の株式会社マツモトユシ・インドネシア及び立松化工股份有限公司がそれぞれ繊維工業用糊料を製造し、自国内で販売しております。当社は上記の２社より製品を仕入れ、インドネシア及び台湾以外の国への販売と、上記２社が製造工程上使用する合成糊料の中間体を上記２社に販売しております。セグメント区分は製造拠点ごとの区分によっており、当該区分ごとの主要な関係会社の名称は、以下のとおりであります。（日本）当社（アジア）株式会社マツモトユシ・インドネシア、立松化工股份有限公司  事業の系統図は次のとおりであります。  ※印は、持分法適用会社
経営方針、経営環境及び対処すべき課題等	１ 【経営方針、経営環境及び対処すべき課題等】(1) 会社の経営の基本方針当社グループは、界面活性剤の技術を中核に据えた研究開発型の企業です。従業員のおよそ３割が研究開発関連業務に従事し、繊維産業を中心とした各種産業のユーザーの製品の品質向上と生産性向上に欠かすことのできない、さまざまな製品を供給させていただいております。規模の拡大よりも、グローバル経済に対応できる「より強い」「より利益率の高い」企業になることを目指しております。 (2) 目標とする経営指標当社グループは、成長性と収益性の向上に努め、売上高及び売上高営業利益率を継続して高めていくことを目標にしております。また、株主利益の増大を図るために、１株当たり当期純利益も重要な指標としてとらえております。売上高及び１株当たり当期純利益の推移は「第１　企業の概況」の「主要な経営指標等の推移」に記載のとおりであります。売上高営業利益率は、2020年３月期15.1％、2021年３月期13.3％、2022年３月期15.5％、2023年３月期19.6％、2024年３月期21.1％と、高い数値で推移しております。 (3) 中長期的な会社の経営戦略当社グループは、界面活性剤分野のみならず、高分子分野におきましても独自の技術開発を続けることによって、現在の地位を築いてまいりましたが、現状の延長線のみの研究活動に安住することなく、新しい分野での技術開発を図ってまいります。当社グループの顧客層は広範囲な分野にわたっており、顧客ニーズを的確に把握することによって、これまで培ってきた技術力を大きく伸ばすことができると確信しております。すなわち、繊維向け油剤の開発から高分子マツモトマイクロスフェアー、金属加工油剤のＤＩ缶用油剤にいたるまでの開発の系譜を深化・拡大してゆくということであります。 (4) 会社の対処すべき課題当社グループを取り巻く経営環境は、エネルギーコストの上昇や原材料価格の変動等、不透明要因が多く、今後も厳しい状況が続くものと予想されます。このような状況下、当社グループといたしましては、今後も引き続き経営基盤の強化に取り組んでまいります。繊維工業関連や自動車関連における世界的な需要の変動に対しては、柔軟に生産量を調整するとともに、競争力のある新製品の開発、販路の拡大、製品の安定供給体制の維持、社内の合理化により全社一丸となり業績の拡充と収益率の向上に努める所存でございます。ここ数年、生産設備の増強に努めてまいりましたが、その有効活用と既存設備の見直しを引き続き展開してまいりたいと考えております。また研究開発につきましては、付加価値のより高い新素材・新用途の開発を行っておりますが、今後とも社会情勢の変化に対応すべく適材適所で機動的に事業の運営を図ってまいりたいと考えております。 
事業等のリスク	 ３ 【事業等のリスク】 有価証券報告書に記載した事業の状況、経理の状況等に関する事項のうち、当社グループの財政状態、経営成績及びキャッシュ・フローの状況に重要な影響を与える可能性があると認識している主要なリスクは、以下のとおりであります。　　なお、文中の将来に関する事項は、当連結会計年度末において当社グループが判断したものであります。 (1) 為替レートの変動について　当社グループはアジア地域を中心に世界各地で製品を販売しており、最近の海外売上高比率は高い水準で推移しております。　海外売上高の多くは米ドル建取引が占めており、売上債権について為替リスクを有しております。　当社グループでは、これらのリスクを認識した上で、外貨建債権債務の両建てによりリスクの相殺を行い、外貨から円貨への両替を行う場合は、当該リスクの影響を極力回避するレートで行なう等の努力を継続してまいりますが、リスクが完全に回避されるわけではありません。 (2) 原材料価格の市場変動の影響について　当社グループが使用する原料の主要部分は原油に由来しておりますが、原油価格については中東地域の情勢、需給バランス、為替レートの変動等、様々な要因により変動します。原油価格の上昇に伴う原材料価格の上昇は、当社グループの業績に影響を及ぼします。　当社グループでは、技術対応力による高品質製品の開発やコストダウンを推進し、利益確保を図ってまいります。 (3) 感染症リスクについて　新型コロナウイルス感染症のような大規模な感染症等に対しては、従業員及びお取引先の安全確保を最優先とし、事業活動に支障が出ることがないよう予防、拡大の防止に努めておりますが、感染地域、感染者数の拡大による工場の操業や事業活動への制約、及び世界的な景気低迷に伴う需要減退により当社グループの業績に影響を及ぼす可能性があります。　新型コロナウイルス感染症による社会的影響は緩和されつつありますが、当社グループとしましては、今後も継続的に環境の変化や当社グループへの影響を見極めながら、必要な対応策を迅速かつ柔軟に講じてまいります。 (4) 株価の下落について　当社グループは、投資有価証券として上場または非上場の株式を保有していますが、当該株式の時価または実質価額が帳簿価額を著しく下回ることとなった場合、当該株式の評価損の計上が必要となり、当社グループの事業、財政状態及び経営成績に影響を与える可能性があります。 
経営者による財政状態、経営成績及びキャッシュ・フローの状況の分析	 ４ 【経営者による財政状態、経営成績及びキャッシュ・フローの状況の分析】当連結会計年度における当社グループ（当社、連結子会社及び持分法適用会社）の財政状態、経営成績及びキャッシュ・フロー（以下、「経営成績等」という。）の状況の概要並びに経営者の視点による当社グループの経営成績等の状況に関する認識及び分析・検討内容は次のとおりであります。なお、文中の将来に関する事項は、当連結会計年度末現在において判断したものであります。 (1) 経営成績　当連結会計年度におけるわが国経済は、新型コロナウイルス感染症の感染症法上の位置づけが「５類」に移行したことにより、消費活動の活発化やインバウンド需要の急回復などが見られ、物価高によるマイナス影響もありながら、緩やかな回復基調で推移しました。一方で世界的な物価上昇に伴う金融引締め等の影響による円安の進行、原材料価格の高騰、高まる地政学リスクの長期化等、景気の先行きは見通しにくい状況であります。　このような状況下、当社グループとしましては、世界的な経済環境の不安定さと変動リスクの長期化を踏まえ、引き続き高品質で価格競争力のある製品の開発を行うとともに、新規顧客・用途開拓活動の推進により収益の維持・向上を進めているところであります。　以上の結果、当連結会計年度における当社グループの業績は、当期より台湾の子会社の業績を組み込んだことに伴い売上高41,526百万円(前年同期比4.8％増)、営業利益8,758百万円(前年同期比12.6％増)、さらに、円安による外貨建預金等の換算替えなどにより為替差益を1,269百万円計上したことにより、経常利益は10,733百万円(前年同期比13.3％増)、親会社株主に帰属する当期純利益7,504百万円(前年同期比3.6％増)となりました。　売上高営業利益率は前連結会計年度より1.5ポイント増加して21.1％となりました。　営業利益が増加した主な要因は、為替相場が円安基調で推移したこと等により、売上高が増加したことによるものです。総資産経常利益率は前連結会計年度より0.5ポイント増加して12.7％となりました。経常利益が増加した主な要因は、営業利益が増加したことによるものであります。自己資本当期純利益率は前連結会計年度より0.4ポイント減少して10.9％となりました。以上の結果、１株当たり当期純利益金額は2,586円38銭となりました。 　セグメントごとの経営成績は、次のとおりであります。①　日本　日本における当連結会計年度の外部顧客に対する売上高は38,911百万円（前年同期比0.2％増）、セグメント利益（営業利益）は8,454百万円（前年同期比7.4％増）となりました。　陰イオン界面活性剤の分野につきましては、海外向けは総じて堅調でしたが、国内繊維分野は染色加工用途では前年並みに推移したものの、短繊維用途は低調となり、外部顧客に対する売上高は3,526百万円（前年同四半期比7.2%減）となりました。　非イオン界面活性剤の分野につきましては、海外向けは総じて堅調でしたが、国内繊維分野においては昨年好調であったスポ－ツ関連向けは縮小に転じ、カジュアル衣料向けも引き続き低調でした。国内非繊維分野は物価高による生活雑貨類の消費抑制等の影響もあり前年同期を下回る販売となり、外部顧客に対する売上高は23,594百万円（前年同四半期比0.5％減）となりました。　陽・両性イオン界面活性剤の分野につきましては、国内でのシャンプー・家庭用洗剤向けは好調に推移しましたが海外向けは低調となり、外部顧客に対する売上高は829百万円（前年同四半期比10.4%減）となりました。　高分子・無機製品等の分野につきましては、海外向けは総じて堅調であることに加え、国内繊維分野では産地・用途により差があるものの原料高騰分を価格転嫁することで売上は改善できました。非繊維工業関連では欧州景気悪化の影響を受け需要が縮小した用途もありましたが、自動車メーカーの生産回復に伴い自動車部品向けの出荷が回復基調となりました。結果として前年同期を上回る販売となり、外部顧客に対する売上高は10,961百万円（前年同四半期比5.5％増）となりました。  ②　アジア　アジアにおける当連結会計年度の外部顧客に対する売上高は2,614百万円、セグメント利益（営業利益）は312百万円となりました。　　陰イオン界面活性剤の分野におきましては、外部顧客に対する売上高は5百万円となりました。　　非イオン界面活性剤の分野におきましては、外部顧客に対する売上高は504百万円となりました。　　陽・両性イオン界面活性剤の分野におきましては、外部顧客に対する売上高は9百万円となりました。　　高分子・無機製品等の分野におきましては、外部顧客に対する売上高は2,094百万円となりました。 生産、受注及び販売の実績は、次のとおりであります。①　生産実績当連結会計年度における生産をセグメントごとに示すと、次のとおりであります。 セグメントの名称当連結会計年度(自　2023年４月１日至　2024年３月31日)金額(百万円)前年同期比(％)日本38,820△4.6アジア2,534173.8合計41,354△0.7 (注)　金額は、販売価格によっております。 ②　受注実績当社グループは見込み生産を行っておりますので、該当事項はありません。 ③　販売実績当連結会計年度における販売実績を事業の種類別セグメントごとに示すと、次のとおりであります。 セグメントの名称当連結会計年度(自　2023年４月１日至　2024年３月31日)外部顧客への販売高(百万円)前年同期比(％)日本38,9110.2アジア2,614223.1合計41,5264.8 (注)　１．セグメント間取引については、相殺消去しております。２．主な相手先別の販売実績及び当該販売実績の総販売実績に対する割合相手先前連結会計年度当連結会計年度金額(百万円)割合(％)金額(百万円)割合(％)丸紅ケミックス株式会社13,55134.614,36734.6日本クエーカー・ケミカル株式会社4,29110.84,40710.6   (2) 財政状態当社グループの総資産は、前連結会計年度末に比べて13.0％増加し、89,512百万円となりました。流動資産は、前連結会計年度末に比べて7.5％増加し、66,438百万円となりました。これは、有価証券が4,998百万円減少したものの、現金及び預金が4,111百万円、預け金が5,558百万円それぞれ増加したことなどによるものです。固定資産は、前連結会計年度末に比べて32.6％増加し、23,074百万円となりました。これは、投資有価証券が4,953万円増加したことなどによるものです。流動負債は、前連結会計年度末に比べて5.3％増加し、11,497百万円となりました。これは、買掛金が348百万円減少したものの、未払金が833百万円増加したことなどによるものです。固定負債は、前連結会計年度末に比べて49.0％増加し、2,677百万円となりました。これは、退職給付に係る負債が41百万円減少したものの、繰延税金負債が906百万円増加したことなどによるものです。この結果、負債合計は前連結会計年度末に比べて11.4％増加し、14,175百万円となりました。純資産合計は、前連結会計年度末に比べて13.3％増加し、75,337百万円となりました。これは、利益剰余金が6,488百万円、その他有価証券評価差額金が2,040百万円それぞれ増加したことなどによるものです。この結果自己資本比率は、前連結会計年度末の81.7％から82.0％となりました。自己資本比率は例年80％以上を維持しており、経営の高い安定性を示しているものと考えております。期末発行済株式数に基づく１株当たり純資産額は、前連結会計年度末の22,294円84銭から25,283円56銭となりました。１株当たり純資産額は、2020年３月期16,951円76銭、2021年３月期17,986円18銭、2022年３月期19,544円43銭と年々増加しており、継続的に株主利益の増大を図ってきた結果であると考えております。セグメントごとの財政状態は、次のとおりであります。①　日本日本における総資産は、前連結会計年度末に比べて13.1％増加し、84,870百万円となりました。流動資産は、前連結会計年度末に比べて7.1％増加し、63,334百万円となりました。これは、有価証券が4,998百万円減少したものの、預け金が5,558百万円、現金及び預金が3,642百万円それぞれ増加したことなどによるものです。固定資産は、前連結会計年度末に比べて35.2％増加し、21,536百万円となりました。これは、建物が76百万円、減少したものの、投資有価証券が4,893百万円増加したことなどによるものです。流動負債は、前連結会計年度末に比べて5.3％増加し、11,274百万円となりました。これは、買掛金が368百万円減少したものの、未払金が854百万円増加したことなどによるものです。固定負債は、前連結会計年度末に比べて56.7％増加し、2,477百万円となりました。これは、繰延税金負債が897百万円増加したことなどによるものです。この結果、負債合計は前連結会計年度末に比べて11.9％増加し、13,752百万円となりました。純資産合計は、前連結会計年度末に比べて13.3％増加し、71,118百万円となりました。これは、繰越利益剰余金が6,325百万円、その他有価証券評価差額金が2,040百万円それぞれ増加したことなどによるものです。この結果自己資本比率は、前連結会計年度末の83.6％から83.8％となりました。連結経営指標と同様に、自己資本比率は例年80％以上を維持しており、経営の高い安定性を示しているものと考えております。期末発行済株式数に基づく１株当たり純資産額は、前連結会計年度末の21,627円82銭から24,511円66銭となりました。１株当たり純資産額も連結経営指標と同様に年々増加しており、継続的に株主利益の増大を図ってきた結果であると考えております。②　アジアアジアにおける総資産は、前連結会計年度末に比べて10.7％増加し、3,872百万円となりました。流動資産は、前連結会計年度末に比べて12.3％増加し、3,272百万円となりました。これは、現金及び預金が469百万円増加したことなどによるものです。固定資産は、前連結会計年度末に比べて2.7％増加し、599百万円となりました。これは、有形固定資産が18百万円増加したことなどによるものです。流動負債は、前連結会計年度末に比べて15.8％減少し、369百万円となりました。これは、買掛金が56百万円減少したことなどによるものです。固定負債は、前連結会計年度末に比べて24.0％増加し、52百万円となりました。これは、その他が15百万円増加したことによるものです。この結果、負債合計は前連結会計年度末に比べて12.3％減少し、422百万円となりました。純資産合計は、前連結会計年度末に比べて14.4％増加し、3,450百万円となりました。これは、利益剰余金が218百万円増加したことなどによるものです。 (3) キャッシュ・フロー当連結会計年度における現金及び現金同等物は、前連結会計年度末に比べ、10,328百万円減少し、当連結会計年度末には、35,549百万円となりました。当連結会計年度における各キャッシュ・フローの状況とそれらの要因は次のとおりであります。営業活動によるキャッシュ・フローは7,374百万円の増加（前連結会計年度は5,419百万円の増加）となりました。収入の主な内訳は、税金等調整前当期純利益10,733百万円、減価償却費962百万円、棚卸資産の減少額531百万円であり、支出の主な内訳は、法人税等の支払額3,119百万円、為替差益1,100百万円、売上債権の増加額400百万円、仕入債務の減少額373百万円であります。投資活動によるキャッシュ・フローは17,870百万円の減少（前連結会計年度は144百万円の増加）となりました。収入の主な内訳は、定期預金の払戻による収入1,020百万円、投資有価証券の償還による収入316百万円であり、支出の主な内訳は、有価証券の取得による支出15,000百万円、投資有価証券の取得による支出2,125百万円、有形固定資産の取得による支出1,063百万円、定期預金の預入による支出1,020百万円であります。財務活動によるキャッシュ・フローは1,020百万円の減少（前連結会計年度は5,933百万円の減少）となりました。支出の主な内訳は、配当金の支払額991百万円であります。当社グループの主要な資金需要は、製品製造のための材料費、労務費、経費、販売費及び一般管理費等の営業費用並びに当社グループの設備の新設、改修等に係る投資であります。これらの必要資金は、営業活動によるキャッシュ・フロー及び自己資金により賄うことを基本方針としております。当連結会計年度におきましては、主に日本における本社工場及び静岡工場での設備投資を実施してまいりましたが、今後も継続的にこれらの拠点における設備の新設・更新を行っていく予定であります。 (4) 重要な会計上の見積り及び当該見積りに用いた仮定当社グループの連結財務諸表は、わが国において一般に公正妥当と認められている会計基準に基づき作成しております。この連結財務諸表を作成するにあたって、資産、負債、収益及び費用の報告額に影響を及ぼす見積り及び仮定を用いておりますが、これらの見積り及び仮定に基づく数値は実際の結果と異なる可能性があります。連結財務諸表の作成に当たって用いた会計上の見積り及び仮定のうち、重要なものは「第５　経理の状況　１　連結財務諸表等　(1)連結財務諸表　注記事項　（重要な会計上の見積り）」に記載のとおりであります。 
経営上の重要な契約等	 ５ 【経営上の重要な契約等】該当事項はありません。 
研究開発活動	６ 【研究開発活動】当社グループでは、界面活性剤の研究で培った界面化学の技術と高分子化学の技術を基礎にして、新素材、新用途の研究開発を行っており、技術分野としては繊維工業及び非繊維工業の研究開発に大別されています。繊維工業の研究開発では、糸から織物や編物に加工される一連の繊維製品生産工程を、順番に川上、川中、川下の工程に分けた場合に、川上工程分野においては、紡糸紡績工程での高機能化、高生産性等のユーザー要求にそれぞれ対応する原糸油剤の開発に注力しております。また、川中・川下工程分野においては、織布、染色、仕上げ工程でそれぞれ使用される繊維加工薬剤の開発を行っております。非繊維工業の研究開発においては、高分子分野では熱膨張性マイクロカプセル及びそれを加熱膨張して得られる中空粒子の開発と応用展開、香粧品・トイレタリー分野では新規界面活性剤の開発及び既存の界面活性剤の用途開発、樹脂フィルム分野では帯電防止剤及び防曇剤の開発、ゴム工業分野、特にタイヤ製造分野ではゴム用防着剤やタイヤ成型時の離型剤の開発、建材・セメント分野では機能性水溶性高分子の各種用途開発を進めております。なお、当連結会計年度(2023年４月１日～2024年３月31日)における研究開発費は803百万円であります。 当連結会計年度における研究開発活動により、以下のような成果がありました。なお、研究開発活動は日本でのみ行っております。繊維工業の研究開発においては、川上工程分野では、不織布用油剤、炭素繊維用油剤、スパンデックス用油剤、ポリエステル産業資材用油剤の開発に成果があり、川中・川下工程分野では、糊剤、精練剤、帯電防止剤の新製品開発に成果がありました。非繊維工業の研究開発においては、高分子分野では熱膨張性マイクロカプセルを使用することによる各種素材への高機能化付与に大きな成果がありました。また、香粧品分野では新規洗浄剤や消泡剤の開発、建材・セメント分野では新規セメント添加剤の開発、樹脂フィルム分野では高性能防曇剤の開発、ゴム工業分野ではゴム用防着剤や離型剤の新規開発に成果がありました。 
設備投資等の概要	１ 【設備投資等の概要】当連結会計年度における設備投資は、主として本社工場及び静岡工場における生産設備の更新、増設であり、その設備投資総額は1,621百万円となりました。セグメントごとの設備投資については、次のとおりであります。 セグメントの名称設備投資金額(百万円)前年同期比(％)日本1,599+184.2アジア22△58.3合計1,621+163.1 　
主要な設備の状況	２ 【主要な設備の状況】(1) 提出会社　2024年３月31日現在事業所名(所在地)セグメントの名称設備の内容帳簿価額(百万円)従業員数(名)建物及び構築物機械装置及び運搬具土地(面積千㎡)その他合計本社及び本社工場(大阪府八尾市)(注)１日本生産設備等456594173(43)3011,527236(90)静岡工場(静岡県袋井市)日本生産設備1,8382,335311(68)254,51184(6)大阪工場(大阪府高石市)日本生産設備2486―125611(―) (注) １．貸与中の建物14百万円(1,172㎡)を含んでおり、関連会社である日本クエーカー・ケミカル㈱に貸与されています。２．現在休止中の主要な設備はありません。３．帳簿価額のうち「その他」は工具器具備品、リース資産、建設仮勘定であります。４．書は、連結会社以外から賃借している土地の面積であります。５．従業員数の(　)は、正社員以外の雇用者を外書しております。なお、正社員以外の雇用者には、契約社員、嘱託契約の従業員及び常用パートを含み、派遣社員を除いております。　(2) 国内子会社該当事項はありません。　(3) 在外子会社　2024年３月31日現在会社名事業所名(所在地)セグメントの名称設備の内容帳簿価額(百万円)従業員数(名)建物及び構築物機械装置及び運搬具土地(面積千㎡)その他合計株式会社マツモトユシ・インドネシア本社工場(インドネシア、チカラン)アジア生産設備等16820(20)45045立松化工股份有限公司本社工場(台湾、桃園市)アジア生産設備等107161 1,109 (5)11,38027 (注) １．現在休止中の主要な設備はありません。２．帳簿価額のうち「その他」は工具器具備品と建設仮勘定であります。 
株式の総数	① 【株式の総数】　種類発行可能株式総数(株)普通株式16,000,000計16,000,000   
発行済株式、株式の総数等	② 【発行済株式】　種類事業年度末現在発行数(株)(2024年３月31日)提出日現在発行数(株)(2024年６月25日)上場金融商品取引所名又は登録認可金融商品取引業協会名内容普通株式4,512,6514,512,651東京証券取引所スタンダード市場単元株式数は100株であります。計4,512,6514,512,651――   
