項目	値
事業の内容	２ 【事業の内容】当第３四半期連結累計期間において、当社グループ (当社及び当社の子会社) が営む事業の内容について、重要な変更はありません。また、主要な関係会社についても異動はありません。 
経営方針、経営環境及び対処すべき課題等	
事業等のリスク	１ 【事業等のリスク】当第３四半期連結累計期間において、当四半期報告書に記載した事業の状況、経理の状況等に関する事項のうち、経営者が連結会社の財政状態、経営成績及びキャッシュ・フローの状況に重要な影響を与える可能性があると認識している主要なリスクの発生又は前連結会計年度の有価証券報告書に記載した「事業等のリスク」についての重要な変更はありません。 
経営者による財政状態、経営成績及びキャッシュ・フローの状況の分析	２ 【経営者による財政状態、経営成績及びキャッシュ・フローの状況の分析】文中の将来に関する事項は、当四半期連結会計期間の末日現在において判断したものであります。なお、第１四半期連結会計期間の期首より、「収益認識に関する会計基準」(企業会計基準第29号　2020年３月31日) 等を適用しております。詳細は、「第４　経理の状況　１　四半期連結財務諸表　注記事項 (会計方針の変更)」をご参照ください。 (1) 経営成績の状況当第３四半期連結累計期間におけるわが国経済は、コロナワクチン接種の進展とともに正常化に進む社会経済活動や各種政策の効果などにより、景気が持ち直していくことが期待されておりますが、ウクライナ情勢等による不透明感がみられる中で、原材料価格の上昇や供給面での制約、金融資本市場の変動等による影響には十分に注視する必要があります。当社グループの事業を取り巻く環境においては、2021年の国内ゲームアプリ市場規模は１兆3,060億円と安定した推移が続いております (参考：株式会社角川アスキー総合研究所「ファミ通モバイルゲーム白書2022」)。このような事業環境のもと、当社グループでは、中長期的な成長の要となる複数の新規アプリの企画・開発及び既存アプリの運営に取り組んでまいりました。ゲーム恋活アプリ『恋庭』は１周年記念のキャンペーン施策が功を奏し、2022年５月の月間課金高は初の１億円に到達いたしました。しかしながら、新作アプリの開発費用及び『恋庭』・『メメントモリ』のプロモーション費用が先行したことが主な要因となり、営業損失を計上する結果となりました。以上の結果、当第３四半期連結累計期間の売上高は1,742,780千円 (前年同四半期比8.0％増)、営業損失は674,161千円 (前年同四半期は営業損失538,403千円)、経常損失は677,148千円 (前年同四半期は経常損失539,164千円)、親会社株主に帰属する四半期純損失は461,772千円 (前年同四半期は親会社株主に帰属する四半期純損失422,801千円) となりました。なお、当社グループはスマートフォンアプリ関連事業の単一セグメントであるため、セグメント情報の記載を省略しております。 (2) 財政状態の状況(資産)当第３四半期連結会計期間末における総資産は2,088,444千円となり、前連結会計年度末に比べ380,881千円減少いたしました。これは主に、現金及び預金が588,395千円減少、繰延税金資産が215,377千円増加したことによるものであります。 (負債)当第３四半期連結会計期間末における負債合計は1,828,054千円となり、前連結会計年度末に比べ81,015千円増加いたしました。これは主に、短期借入金が450,000千円増加、長期借入金（１年内返済予定の長期借入金を含む。）が357,372千円減少したことによるものであります。 (純資産)当第３四半期連結会計期間末における純資産は260,389千円となり、前連結会計年度末に比べ461,897千円減少いたしました。これは主に、親会社株主に帰属する四半期純損失を461,772千円計上したことによるものであります。 (3) 会計上の見積り及び当該見積りに用いた仮定当第３四半期連結累計期間において、前連結会計年度の有価証券報告書に記載した「経営者による財政状態、経営成績及びキャッシュ・フローの状況の分析」中の会計上の見積り及び当該見積りに用いた仮定の記載について重要な変更はありません。 (4) 経営方針・経営戦略等当第３四半期連結累計期間において、当社グループが定めている経営方針・経営戦略について重要な変更はありません。 (5) 優先的に対処すべき事業上及び財務上の課題当第３四半期連結累計期間において、当社グループが優先的に対処すべき事業上及び財務上の課題について重要な変更はありません。 (6) 研究開発活動当第３四半期連結累計期間の研究開発費の総額は、503,296千円であります。なお、当第３四半期連結累計期間において、当社グループの研究開発活動の状況に重要な変更はありません。 
経営上の重要な契約等	３ 【経営上の重要な契約等】当第３四半期連結会計期間において、経営上の重要な契約等の決定又は締結等はありません。 
研究開発活動	
設備投資等の概要	
主要な設備の状況	
株式の総数	① 【株式の総数】 種類発行可能株式総数(株)普通株式14,000,000計14,000,000  
発行済株式、株式の総数等	② 【発行済株式】 種類第３四半期会計期間末現在発行数(株)(2022年６月30日)提出日現在発行数(株)(2022年８月12日)上場金融商品取引所名又は登録認可金融商品取引業協会名内容普通株式3,951,0003,951,000東京証券取引所(グロース市場)単元株式数は100株であります。計3,951,0003,951,000―― (注) １．提出日現在発行数には、2022年８月１日からこの四半期報告書提出日までの新株予約権の行使により発行された株式数は、含まれておりません。２．当社は東京証券取引所 (マザーズ) に上場しておりましたが、2022年４月４日付の東京証券取引所の市場区分の見直しに伴い、同日以降の上場金融商品取引所名は、東京証券取引所 (グロース市場) となっております。 
配当政策	
コーポレート・ガバナンスの概要	
役員の状況	２ 【役員の状況】　　該当事項はありません。　
貸借対照表	
損益計算書	
キャッシュ・フロー計算書	
