項目	値
事業の内容	３【事業の内容】　当社は、「インターネットを利用して、人々の生活に密着した手放せないサービスを提供し、世の中に必要不可欠な企業になる」という企業理念のもと、「不動産プラットフォーム事業」として、不動産・住宅業界に特化したインターネットマーケティングサービスを提供しております。　「不動産プラットフォーム事業」では、当社が運営する不動産会社比較バーティカルメディア（注）「リビンマッチ」を軸に、「売りたい」「管理してほしい」「建てたい」「土地を活用したい」といった不動産に関するエンドユーザーのさまざまなニーズと、当社のクライアントである不動産会社（以下、「クライアント企業」という。）の集客に関するニーズの双方を満たすサービスを提供しております。　なお、当社は「不動産プラットフォーム事業」の単一セグメントであるため、セグメント別の記載は省略しております。 （注）　「バーティカルメディア」とは、ある専門領域・専門分野に特化したメディアという意味であり、「リビンマッチ」は、不動産取引における会社比較という専門領域に特化したサービスをインターネット上で提供しております。 ［不動産プラットフォームサービス］　不動産プラットフォームサービスでは、主にエンドユーザーとクライアント企業をマッチングするインターネットサービスを提供しております。　エンドユーザーは、不動産会社比較バーティカルメディア「リビンマッチ」の提供する各サービスについて、無料で複数のクライアント企業に一括で問い合わせを行うことが可能となっております。一方、クライアント企業は、エンドユーザーからの問い合わせの獲得を通じて、エンドユーザーを見込客として営業活動を行うことが可能となります。不動産会社比較バーティカルメディア「リビンマッチ」を通じて、エンドユーザーから年間12万件を超える問い合わせをいただいております。　不動産プラットフォームサービスでは、反響課金（注１）型または定額課金（注２）型の利用料体系を採用しております。反響課金型の利用料体系では、クライアント企業はエンドユーザーからの問い合わせの獲得数等の一定の成果に応じて利用料を支払うため、初期費用・月額固定費用ゼロでエンドユーザーからの問い合わせを獲得することが可能となっております。　不動産プラットフォームサービスでは、現在、主に以下のサービスを提供しておりますが、「リビンマッチ」のバーティカルメディアとしての価値を向上させるとともに、エンドユーザー及びクライアント企業のご期待に添えるよう、今後も、サービスの拡充を続ける方針であります。 （注１）　反響課金とは、エンドユーザーからの問い合わせの獲得数等の一定の成果に応じて、当社がクライアント企業より利用料を頂く課金制度をいいます。（注２）　定額課金とは、エンドユーザーからの問い合わせの獲得数に上限を設定し、毎月一定の金額を利用料として頂く課金制度をいいます。  サービス内容利用料体系①不動産売却不動産を売却したいエンドユーザーが、最大６社のクライアント企業に一括で査定依頼することができるサービスです。エンドユーザーは、複数の不動産会社を比較することで、不動産をより高く売却できる買い手を探してくれる不動産会社を、手軽に見つけることが可能となっております。反響課金または定額課金②土地活用遊休地を有効活用したいエンドユーザーが、賃貸アパート建築・賃貸マンション建築・高齢者向け賃貸住宅建築・駐車場経営・戸建賃貸・資産活用の相談といった土地活用の各種プランについて、集合住宅メーカーなど複数のクライアント企業に一括で資料請求することができるサービスです。反響課金③賃貸管理転居予定の自宅や投資用不動産を保有しているエンドユーザーが、賃貸管理業務（入居者の募集や家賃の集金、建物の清掃や入居者フォローなど）を行ってくれる賃貸管理会社など複数のクライアント企業に一括で資料請求や家賃査定を依頼することができるサービスです。反響課金または定額課金④不動産買取不動産を売却したいエンドユーザーが、不動産会社に買い手を探してもらうのではなく、不動産会社に直接、買取ってほしい場合に、複数のクライアント企業に一括で問い合わせを行うことができるサービスです。クライアント企業がエンドユーザーの保有する不動産の直接的な買い手となるため、上記①不動産売却と比較して、売却までの期間を短くできるメリットがあります。反響課金⑤任意売却任意売却とは、不動産所有者本人の意思により、不動産に対して抵当権を設定している債権者（銀行やカードローン会社を代表とした金融機関）や利害関係者に抵当権や差押登記などを解除してもらい、債務者である売主（不動産の所有者）と買主との間において売買契約を締結することをいいます。このような任意売却を考えているエンドユーザーが、複数のクライアント企業に無料相談及び査定を依頼することができるサービスです。反響課金⑥リノベーションこれから中古住宅を購入してリノベーションしたい、リノベーション済の住宅を探したい、住んでいる家や賃貸住宅をリノベーションしたいといった検討をしているエンドユーザーが、複数のクライアント企業に一括で資料請求することができるサービスです。反響課金⑦注文住宅注文住宅を建てたい、ハウスメーカー・工務店・設計事務所を探している等の要望を持っているエンドユーザーが、複数の建築プラン（カタログ）を一括で資料請求できるサービスです。反響課金⑧リースバック複数のリースバック提供会社を比較できるサービスです。無料で複数のリースバック提供会社に一括で問い合わせができるため、サービスの違いを簡単に比較することができます。反響課金⑨外壁塗装複数の外壁塗装の施工会社を比較できるサービスです。外壁塗装の検討者は、無料で複数の施工会社から見積価格を比較できます。一方、外壁塗装の施工会社は、外壁塗装検討者からの工事見積もり依頼（見込客）を成果に連動した料金体系で効率的に獲得することができます。反響課金または成果課金 　また、不動産プラットフォームサービスにおいては、エンドユーザーとクライアント企業との間の円滑なやり取り・コミュニケーションを可能にし、業務管理を効率化する不動産DXを構築しております。　具体的には、利用した不動産会社に対するエンドユーザーの評価を不動産会社自身が確認できるシステム（ユーザー評価）や、エンドユーザーへ案内する査定書を自動で作成できるシステム（査定書作成）、案件の進捗状況を管理できるシステム（進捗管理）、手間をかけずに簡単に自社の採用サイトを作成・一括管理できるシステム（採用CMS）等を提供することで、マッチング後の取引の成約率を高め、エンドユーザー・クライアント企業双方の満足度向上を図ることができると考えております。なお、不動産DXの利用料は、原則として無料となっております。 ［月間平均クライアント数の推移］該当期月間平均クライアント数2018年９月末1,3572019年９月末1,3812020年９月末1,5612021年９月末1,808 ［事業系統図］　事業系統図は以下のとおりであります。   
経営方針、経営環境及び対処すべき課題等	１【経営方針、経営環境及び対処すべき課題等】　文中の将来に関する事項は、本書提出日現在において当社が判断したものであります。(1）経営方針　当社は、「インターネットを利用して、人々の生活に密着した手放せないサービスを提供し、世の中に必要不可欠な企業になる」を企業理念としております。　また、当社の社名の由来は、「暮らしに役立つサービスで社会の進歩を促すテクノロジーカンパニー」であり、人々の生活に密着した手放せないレベルのインターネットサービスを提供し、世の中に必要不可欠な企業になるという目的地へ到達するために、新規サービスの開発、優秀な人材の確保及び育成、内部管理体制の強化に継続的に注力し、強固な事業基盤を確立することが重要であるとの考えに立脚し、ビジネスを展開しております。 (2）経営戦略等　当社が今後更なる成長と発展を遂げるためには、「(5）事業上及び財務上の対処すべき課題」に記載の課題に対応していくことが経営上重要であると認識しております。　このため当社は、不動産会社比較バーティカルメディア「リビンマッチ」において、エンドユーザーの利便性向上及びクライアント企業向け不動産DXの拡充に継続的に取り組むことで、「不動産売却」査定を中心とした各カテゴリにおけるエンドユーザー・クライアント企業双方にとって必要不可欠なサイトとなることを目指す方針であります。　また、優秀な人材の採用・教育等を通じた営業力強化により、さらなるクライアント企業の獲得を推進し、クライアント企業のネットワークを活用して不動産取引に関連する周辺の新事業領域へ積極的に展開していく方針であります。 (3）経営上の目標の達成状況を判断するための客観的な指標等　当社は、持続的な利益成長を目指して、継続的な事業拡大の観点から、各サービスにおける成長性や効率性の向上に取り組んでおり、「営業収益」及び「経常利益」を重要な経営指標として位置づけております。 (4）経営環境　政府が閣議決定した「住生活基本計画」（2016年３月）、「日本再興戦略2016」（2016年６月）ともに、既存住宅流通の市場規模を2013年の４兆円から2025年までに８兆円にすることを成果指標としており、既存住宅流通の拡大が後押しされている環境にあります。　また、エンドユーザーの購買行動は、インターネットサービスを前提としたものに変化してきており、不動産関連情報のインターネットによる入手拡大は、従来までの情報非対称性の解消をもたらし、中古住宅への抵抗感の希薄化につながるものと考えられます。さらに、スマートフォンの普及、不動産ビッグデータの集積・分析、ＡＩの進化・実用化の加速により、誰でも気軽に不動産に関する情報を入手し、取引を行うことができる環境が整備されつつあると考えております。　当社としましては、上記の経営環境を適切に把握し、より一層のサービスの充実・拡大を推進してまいりたいと考えております。 (5）事業上及び財務上の対処すべき課題①　既存サービスにおける継続的な成長　当社は、「不動産プラットフォーム事業」として、不動産会社比較バーティカルメディア「リビンマッチ」を軸に不動産・住宅業界に特化したサービスを提供しております。当社が今後も継続的に成長していくためには、エンドユーザー及びクライアント企業のニーズを把握し、「リビンマッチ」の魅力、認知度を向上させることで、多額の広告費を投入する必要のない集客方法であるオーガニック（注）経由の集客を強化し、広告の費用対効果と利益率を向上させることが重要であると認識しております。　この課題に対応するため、当社ではこれまでＷｅｂマーケティングの内製化によりノウハウを蓄積してまいりました。今後も「リビンマッチ」内のコンテンツ及びサービスメニューの拡充による利便性向上等、エンドユーザー及びクライアント企業から選ばれるサービスを提供してまいります。（注）　オーガニックとは、検索結果ページに表示されるもののうち、検索連動型広告などの広告表示を除いた、いわゆる通常の検索結果や自社コンテンツからのサイト流入をいいます。 ②　新規サービスの開発　当社は、不動産・住宅業界に特化した不動産プラットフォームサービスを提供しておりますが、当社のサービス提供領域以外においても、不動産テック（注）によるサービスは続々と実用化され、不動産業界全体に大きな変革をもたらしていくものと考えられます。　当社では、「インターネットを利用して、人々の生活に密着した手放せないサービスを提供し、世の中に必要不可欠な企業になる」という企業理念を実現し、企業価値及び株主価値の向上を目指すために、今後もエンドユーザー及びクライアント企業から支持される新規サービスを開発してまいります。（注）　不動産テックとは、テクノロジーの力によって、不動産の売買、賃貸、投資の新しい仕組みを生み出し、従来の商慣習を変えようという取り組みをいいます。 ③　内部管理体制の強化　当社は成長段階にあり、業務運営の効率化やリスクマネジメントのための内部管理体制の強化が重要な課題であると認識しております。このため、業務改善を推進して効率化を図るとともに、事業等のリスクを適切に把握・対処し、コンプライアンスを重視した経営管理体制に重点をおくことで、経営の公平性や透明性を確保し、内部管理体制の強化に取り組んでまいります。 ④　優秀な人材の確保と組織体制の強化　当社は、今後の更なる事業拡大のためには、優秀な人材の確保及び当社の成長に応じた組織体制の強化が重要な課題であると認識しております。　人材の確保においては、新卒採用と中途採用を併せて実施しており、当社の求める資質を兼ね備えつつ、企業風土にあった人材を登用する方針であります。　また、個々の従業員・チームが最大限のパフォーマンスを発揮できるように、教育体制の整備を進め、人材の定着と能力の底上げを行っていくことで、組織体制の強化に取り組んでまいります。 ⑤　システムの安定性の確保　当社の運営する不動産会社比較バーティカルメディア「リビンマッチ」は、インターネット上でサービスを提供しているため、システムの安定稼働の確保は必要不可欠であります。このため、人員の拡充や、サーバーの増設等の設備投資を継続的に行うことで、システムの安定性の確保に努めてまいります。 
事業等のリスク	２【事業等のリスク】　本書に記載した事業の状況、経理の状況等に関する事項のうち、投資者の判断に重要な影響を及ぼす可能性のある事項には、以下のようなものがあります。また、必ずしもそのようなリスク要因に該当しない事項につきましても、投資家の投資判断上、重要であると考えられる事項につきましては、これらのリスク発生の可能性を十分に認識した上で、発生の回避及び発生した場合の対応に努める方針ではありますが、当社株式に関する投資判断は、本項及び本項以外の記載事項を慎重に検討したうえで行われる必要があると考えております。　なお、文中の将来に関する事項は、本書提出日現在において当社が判断したものであり、将来において発生の可能性があるすべてのリスクを網羅したものではありません。 (1）不動産・住宅業界市場の動向について　当社は、「不動産プラットフォーム事業」として不動産・住宅業界に特化したインターネットサービスを提供しております。このため、景気の後退、大幅な金利の上昇、住宅税制の変化、その他予期せぬ要因の影響により、各種不動産取引が低迷し、不動産・住宅業界における広告出稿が大幅に減少した場合、当社の財政状態及び経営成績に影響を及ぼす可能性があります。 (2）技術革新について　当社が運営するサービスは、インターネット関連技術を基盤としております。インターネット業界における技術革新のスピードは著しく、当社では、これらの変化等に迅速に対応できるよう、最新技術への迅速な対応や情報の蓄積・分析に注力しておりますが、今後の技術革新や顧客ニーズの変化に伴い、最新技術への対応が困難となった場合、当社の提供するサービスが陳腐化し、当社の財政状態及び経営成績に影響を及ぼす可能性があります。 (3）競合について　当社ではITを活用した不動産会社比較バーティカルメディア「リビンマッチ」を運用しております。当該サービス分野は当社だけでなく他社も事業を展開しておりますが、新サービス開発、ブランディング等により、他社との差別化を図っております。　また、当該事業分野は多額の広告宣伝費を投下する必要があることから、一定の参入障壁はあるものと考えております。　しかしながら、競合他社との競争激化による収益力の低下や、広告宣伝費の増加等により、当社の財政状態及び経営成績に影響を及ぼす可能性があります。 (4）広告宣伝費について　「第５　経理の状況　１　財務諸表等　(1）財務諸表　注記事項　損益計算書関係」に記載のとおり、2021年９月期において、当社が運営する不動産会社比較バーティカルメディア「リビンマッチ」に係わる広告宣伝費が営業収益に占める割合は52.9%に及んでおり、当社の事業において、広告宣伝費は集客数・営業収益増加のための重要な投資であると認識しております。広告宣伝費の支出に関しては、広告効果を測定し、最適な広告宣伝活動を実施するように努めておりますが、各種広告媒体における広告掲載基準の変更、検索エンジンの表示結果、広告手法などにより、広告宣伝費が大きく変動する可能性があります。　当社では、日常的に集客数・営業収益と広告宣伝費の費用対効果を分析することで、最適な広告宣伝活動を行っておりますが、何らかの理由により、広告宣伝費の費用対効果が悪化した場合には、集客数・営業収益の減少や、広告宣伝費の追加的な支出により、当社の財政状態及び経営成績に影響を及ぼす可能性があります。 (5）個人情報保護について　当社では、当社サイトのエンドユーザーに関する大量の個人情報を取り扱っております。当該情報の漏洩を回避するため、「プライバシーマーク」認証の取得、社内規程、業務マニュアル等のルールの整備、社員教育の徹底等により、個人情報を保護する体制の維持に努めておりますが、万一、個人情報の流出が発生した場合、社会的信用の失墜や当該事象に起因する多額の経費発生等により、当社の財政状態及び経営成績に影響を及ぼす可能性があります。 (6）法的規制について　当社のインターネットサービスにおいては各種法的規制を受けており、具体的には、「不正アクセス行為の禁止等に関する法律」、「特定電子メールの送信の適正化等に関する法律」、「電気通信事業法」等といった法的規制の対象となっております。　当社では、当該規制に対して、遵守体制の整備・強化、社員教育、顧問弁護士との定期的な情報交換等の対応を行っておりますが、今後、新たな法令等の制定や、既存法令等の解釈変更等がなされた場合には、その内容によっては当社の事業が制約を受けたり、新たな対応が必要となる可能性があり、そのような場合、当社の財政状態及び経営成績に影響を及ぼす可能性があります。 (7）公序良俗に違反する広告及びサイトに対する対応について　当社が運営するサービスは、数多くの広告媒体及びアドネットワークを含む広告代理店（以下「広告媒体等」という。）へ広告の掲載を委託しており、広告の内容や広告のリンク先については広告媒体等の裁量に任せる部分が多く、公序良俗に反する広告が掲載されてしまう可能性があります。当社といたしましては、広告媒体等との取引開始時における審査の実施や社内にて広告掲載基準を設定するなど、広告及びリンク先のサイトの内容についての管理を実施しております。また、当社の社員が既に掲載されている広告及び広告のリンク先サイトを定期的に巡回し、広告掲載基準の遵守状況を監視しております。広告掲載基準に違反する行為が発見された場合には、警告や契約解除などの措置をとっております。　しかしながら、広告媒体等が公序良俗に反する広告や商品・サービスの提供を当社の意図に反して継続することにより、当社の提供するサービスや当社のアカウントがGoogle LLCやヤフー㈱等の運営する大手広告媒体より削除された場合には、当社の財政状態及び経営成績に影響を及ぼす可能性があります。 (8）知的財産権の管理について　当社は、運営するインターネットサービスに関する知的財産権の獲得に努めております。また、第三者の知的財産権の侵害を防ぐ体制としては、当社の管理部門及び顧問弁護士等による事前調査を行っております。　本書提出日現在において、当社では第三者の知的財産権を侵害していないものと認識しておりますが、当社の事業分野における知的財産権の現状を完全に把握することは困難であり、万一、当社が第三者の知的財産権を侵害した場合には、損害賠償請求や差止請求等を受ける可能性があります。また、当社が保有する知的財産権について、第三者により侵害される可能性があるほか、当社が保有する知的財産の権利化が困難な場合もあります。こうした場合、当社の財政状態及び経営成績に影響を及ぼす可能性があります。 (9）システム障害について　当社の事業はインターネット環境において行われており、サービスの安定運用のために適切なセキュリティ対策を実施しております。しかしながら、アクセス数の突発的な増加、人的ミス、コンピュータウィルス、第三者によるサーバーやシステムへのサイバー攻撃、自然災害等の様々な要因により、当社の想定範囲を超えるシステム障害等が発生した場合には、当社の事業活動に支障が生じ、当社の財政状態及び経営成績に影響を及ぼす可能性があります。 (10）新型コロナウイルス感染拡大による影響について　提出日現在においても、新型コロナウイルス感染症の終息時期は不透明な状況であります。国内及び海外主要各国において新型コロナウイルス感染症の感染拡大が収束に向かわず、今後数年にわたり拡大が続いた場合には、対面による営業活動が制限されることにより、当社の事業活動に支障をきたし、財政状態及び経営成績に影響を及ぼす可能性があります。 (11）新規事業への取り組みについて　当社では、事業展開の対象領域としている不動産・住宅業界において、事業規模の拡大と収益源の多様化を目的として、新規サービスの提供や新規事業開発を検討しております。　これにより、人材採用、広告宣伝費、システム投資等の新たな費用が発生し、利益率が低下する可能性があります。また、新規サービスの提供や、新規事業開発が計画通りに進まない場合には、当社の財政状態及び経営成績に影響を及ぼす可能性があります。 (12）経営管理体制について①　内部管理体制の整備について　当社は、企業価値を継続的かつ安定的に高めていくためには、コーポレート・ガバナンスが有効に機能するとともに、適切な内部管理体制の整備が必要不可欠であると認識しております。業務の適正性及び財務報告の信頼性の確保のための内部統制システムの適切な整備・運用、更に法令・定款・社内規程等の遵守を徹底しておりますが、事業の急速な拡大により、十分な内部管理体制の整備が追いつかない場合には、適切な業務運営が困難となり、当社の財政状態及び経営成績に影響を及ぼす可能性があります。 ②　小規模組織における管理体制について　当社は小規模な組織であり、本書提出日現在の内部管理体制もこの規模に応じたものとなっております。当社では今後の事業拡大に対応すべく人員増強等によりさらなる組織力の充実を図ってまいりますが、事業の拡大に応じた組織整備や内部管理体制の拡充が順調に進まなかった場合には、当社の財政状態及び経営成績に影響を及ぼす可能性があります。 ③　人材の採用、育成及び定着について　当社では、優秀な人材の確保、育成及び定着は、今後の継続的な成長を実現させるための重要課題であると認識しております。このため、新卒・中途を問わず、積極的な採用活動を通じ、優秀な人材を確保するとともに、社内研修や人事制度の改善、福利厚生の拡充等により、人材の育成や定着率の向上を図っておりますが、当社が求める人材を計画通りに確保できなかった場合、採用・育成した人材が当社の事業に寄与しなかった場合、優秀な人材が社外に流出した場合には、当社の財政状態及び経営成績に影響を及ぼす可能性があります。 ④　特定人物への依存について　当社の代表取締役社長である川合大無は当社の創業者であり、創業以来代表者を務めております。同氏は、不動産プラットフォーム事業に関連する豊富な経験と知識を有しており、当社の経営方針や事業戦略の決定及びその遂行において極めて重要な役割を果たしております。　当社では取締役会や定例の経営会議において、役員及び幹部社員との情報共有や経営組織の強化を図り、同氏に過度に依存しない経営体制の整備を進めておりますが、何らかの理由により同氏が当社の業務を行うことが困難となった場合には、当社の財政状態及び経営成績に影響を及ぼす可能性があります。 ⑤　コンプライアンス体制について　当社では、今後企業価値を高めていくためにはコンプライアンス体制が有効に機能することが重要であると考えております。そのため、コンプライアンスに関する社内規程を策定し、全役員及び全従業員を対象として社内研修を実施し、周知徹底を図っております。併せて、コンプライアンス体制の強化に取り組んでおります。　しかしながら、今後、万一役職員の不正や不法行為が発生した場合、当社の財政状態及び経営成績に影響を及ぼす可能性があります。 (13）新株予約権の行使による株式価値の希薄化について　当社は、当社の取締役及び従業員等に対するインセンティブを目的として、新株予約権（ストック・オプション）を付与しております。今後、これらの新株予約権が権利行使された場合、当社株式が新たに発行され、既存の株主が有する株式の価値及び議決権割合が希薄化する可能性があります。本書提出日の前月末現在における、これらの新株予約権による潜在株式数は16,380株であり、発行済株式総数1,342,244株の1.2％に相当しております。 
経営者による財政状態、経営成績及びキャッシュ・フローの状況の分析	３【経営者による財政状態、経営成績及びキャッシュ・フローの状況の分析】　当社の財政状態、経営成績及びキャッシュ・フロー（以下「経営成績等」という。）の状況の概要並びに経営者の視点による当社の経営成績等の状況に関する認識及び分析・検討内容は次のとおりであります。　なお、文中の将来に関する事項は、当事業年度末現在において判断したものであります。 （1）経営成績　当社を取り巻くインターネット業界・インターネット広告市場においては、スマートフォンを中心としたモバイルインターネットの普及とＳＮＳ（ソーシャル・ネットワーキング・サービス）の拡大により、引き続き順調な成長が見込まれております。一方、新型コロナウイルス感染症に有効なワクチン接種が開始される等、感染拡大の防止策が講じられる中、新型コロナウイルス感染症が再拡大しており、緊急事態宣言及び、まん延防止等重点措置の適用が継続し、依然として国内外の景気や経済の先行きは不透明な状況が続いております。　このような状況のもと、当社は、2021年９月期を将来の成長に向けた積極投資実行年度の第Ⅱフェーズと位置づけ、人材投資、サービス拡充投資、ブランディング投資、M&amp;A・事業提携への投資を行ってまいりました。人材投資としては、営業・開発人員の新卒・中途社員の採用・教育へ積極的に投資を行いました。ブランディング投資としては、『リビンマッチ』の更なるブランディングと認知度向上のため、当社の営業拠点のある関東、東海、関西、広島、福岡などの全国の主要都市でテレビCMを継続的に放映いたしました。また、エンドユーザー・クライアント企業双方の更なる認知度向上を図るため、新イメージキャラクターとしてタレントの坂下千里子氏を起用しました。M&amp;A・事業提携への投資としては、顧客紹介に関する業務提携等を積極的に推進し、オリックス銀行様をはじめ、多くのお取引様と弊社サービスの利用促進につながる業務提携などを締結いたしました。サービス拡充投資としては、2020年11月に複数のリースバックサービスを比較できるサイト『リースバック比較 PRO』の提供を開始しました。また、2021年9月に複数の外壁塗装、屋根塗装の施工会社を比較できるサイト『ぬりマッチ』を開始いたしました。　この結果、当事業年度の経営成績は、営業収益3,242,983千円（前年同期比32.7％増）、営業利益139,341千円（前年同期比308.1％増）、経常利益148,071千円（前年同期比1,474.5％増）、当期純利益88,741千円（前年同期比1,546.7％増）となりました。　なお、当社は、不動産プラットフォーム事業の単一セグメントであるため、セグメント別の記載は省略しております。 　生産、受注及び販売の実績は、次のとおりであります。①　生産実績　当社で行う事業は、提供するサービスの性格上、生産実績の記載になじまないため、当該記載を省略しております。 ②　受注実績　当社で行う事業は、提供するサービスの性格上、受注実績の記載になじまないため、当該記載を省略しております。 ③販売実績　当事業年度における販売実績は、次のとおりであります。サービスの名称当事業年度（自　2020年10月１日至　2021年９月30日）金額（千円）前年同期比（％）不動産プラットフォームサービス3,242,983132.7合計3,242,983132.7　（注）　１．当社の事業区分は「不動産プラットフォーム事業」の単一セグメントであります。　　　　　２．上記の金額には、消費税等は含まれておりません。 （2）財政状態（資産）　当事業年度末における総資産は1,848,832千円となり、前事業年度末と比較して15,026千円減少いたしました。これは主に、現金及び預金が86,518千円、投資有価証券が31,000千円、その他流動資産が22,672千円減少した一方で、売掛金が87,427千円、有価証券が40,000千円増加したことによるものであります。（負債）　当事業年度末における負債は947,867千円となり、前事業年度末と比較して108,048千円減少いたしました。これは主に、１年内返済予定分を含む長期借入金が164,235千円減少した一方で、未払法人税等が60,732千円増加したことによるものであります。（純資産）　当事業年度末における純資産は900,964千円となり、前事業年度末と比較して93,022千円増加いたしました。これは主に、当期純利益を88,741千円計上したことによるものであります。 （3）キャッシュ・フロー　当事業年度末における現金及び現金同等物（以下「資金」という。）の残高は、前事業年度末に比べ92,520千円減少し、1,096,336千円となりました。　当事業年度における各キャッシュ・フローの状況とそれらの要因は次のとおりであります。（営業活動によるキャッシュ・フロー）　当事業年度において営業活動の結果獲得した資金は97,502千円（前事業年度は68,060千円の使用）となりました。これは主に、税引前当期純利益148,071千円の計上があった一方で、売上債権の増加額88,791千円、未払金の減少額56,257千円があったことによるものです。（投資活動によるキャッシュ・フロー）　当事業年度において投資活動の結果使用した資金は26,569千円（前事業年度は17,552千円の使用）となりました。これは主に、投資有価証券の取得による支出9,000千円、差入保証金の差入による支出8,390千円があったことによるものです。（財務活動によるキャッシュ・フロー）　当事業年度において財務活動の結果使用した資金は163,453千円（前事業年度は398,061千円の獲得）となりました。これは主に、長期借入金の返済による支出164,235千円があったことによるものです。 （4）経営者の視点による経営成績等の状況に関する分析・検討内容　経営者の視点による当社の経営成績等の状況に関する認識及び分析・検討内容は次のとおりであります。なお、文中の将来に関する事項は、当事業年度末現在において判断したものであります。 ①　重要な会計方針及び見積り　当社の財務諸表は、わが国において一般に公正妥当と認められている会計基準に基づき作成されております。その作成には経営者による会計方針の選択・適用、資産・負債及び収益・費用の報告金額及び開示に影響を与える見積りを必要とします。経営者は、これらの見積りについて過去の実績等を合理的に勘案し判断しておりますが、実際の結果は、見積り特有の不確実性があるため、これらの見積りと異なる場合があります。　当社の財務諸表で採用する重要な会計方針は、「第５　経理の状況　１　財務諸表等　（1）財務諸表」に記載のとおりであります。 ②　経営成績に重要な影響を与える要因について　当社の事業に重要な影響を与える要因の詳細につきましては、「第２　事業の状況　２　事業等のリスク」に記載のとおりであります。 ③　経営者の問題意識と今後の方針について　当社が今後も持続的な成長を続けていくためには、経営者は「第２　事業の状況　１　経営方針、経営環境及び対処すべき課題等」に記載された課題等に対応していくことが重要であると認識しております。これらの課題等に対応するため、外部環境・内部環境の変化に応じて適時に関連する情報の入手・分析を行い、現在及び将来の事業環境を確認し、継続的な改善策を実施していく方針であります。 ④　資本の財源及び資金の流動性について　当社は、事業の持続的な成長のため、営業活動によるキャッシュ・フローを源泉とした自己資金を中心に「リビンマッチ」への積極的投資を行ってまいりました。今後については、必要な資金については、自己資金を中心に、状況に応じて金融機関からの借入等で調達していくことを基本方針としております。 
経営上の重要な契約等	４【経営上の重要な契約等】　該当事項はありません。 
研究開発活動	５【研究開発活動】　該当事項はありません。 
設備投資等の概要	１【設備投資等の概要】　当事業年度において、実施した設備投資等の総額は1,762千円であり、その主なものは、地方オフィスの移転に伴う建物附属設備であります。なお、当事業年度において重要な設備の除却、売却等はありません。　当社は、不動産プラットフォーム事業の単一セグメントであるため、セグメント別の記載を省略しております。 
主要な設備の状況	２【主要な設備の状況】　当社における主要な設備は、次のとおりであります。当社は、不動産プラットフォーム事業の単一セグメントであるため、セグメント別の記載を省略しております。2021年９月30日現在 事業所名(所在地)設備の内容帳簿価額従業員数（人）建物（千円）工具、器具及び備品（千円）合計（千円）本社（東京都中央区）本社事務所5,6691,0426,71159(21）　（注）１．上記の金額には、消費税等は含まれておりません。２．従業員数は就業人員であり、臨時雇用者数（パートタイマーを含む。）は、年間の平均人員を（　）外数で記載しております。３．上記の他、主要な賃借設備の内容は下記のとおりであります。事業所名（所在地）設備の内容賃借床面積（㎡）年間賃借料（千円）本社（東京都中央区）本社事務所683.5733,705横浜オフィス（神奈川県横浜市西区）事務所23.702,839名古屋オフィス（愛知県名古屋市中区）事務所63.45579大阪オフィス（大阪府大阪市中央区）事務所102.912,777福山オフィス（広島県福山市）事務所34.871,012福岡オフィス（福岡県福岡市博多区）事務所24.761,084　（注）１．大阪オフィスは、2021年５月に移転しており、年間賃借料は、約５か月分に相当する賃借料であります。２．名古屋オフィスは、2021年７月に移転しており、年間賃借料は、約３か月分に相当する賃借料であります。 
株式の総数	①【株式の総数】種類発行可能株式総数（株）普通株式4,000,000計4,000,000
発行済株式、株式の総数等	②【発行済株式】種類事業年度末現在発行数（株）（2021年９月30日）提出日現在発行数（株）（2021年12月24日）上場金融商品取引所名又は登録認可金融商品取引業協会名内容普通株式1,342,2441,342,244東京証券取引所（マザーズ）権利内容に何ら限定のない当社における標準となる株式であり、単元株式数は100株であります。計1,342,2441,342,244－－（注）　「提出日現在発行数」欄には、2021年12月１日からこの有価証券報告書提出日までの新株予約権の行使により発行された株式数は含まれておりません。
