項目	値
事業の内容	２ 【事業の内容】当第１四半期連結累計期間において、当社グループ(当社及び当社の関係会社)において営まれている事業の内容について、重要な変更はありません。また、主要な関係会社についても異動はありません。 
経営方針、経営環境及び対処すべき課題等	
事業等のリスク	１ 【事業等のリスク】当第１四半期連結累計期間において、当四半期報告書に記載した事業の状況、経理の状況等に関する事項のうち、投資者の判断に重要な影響を及ぼす可能性のある事項の発生又は前事業年度の有価証券報告書に記載した「事業等のリスク」についての重要な変更はありません。 
経営者による財政状態、経営成績及びキャッシュ・フローの状況の分析	２ 【経営者による財政状態、経営成績及びキャッシュ・フローの状況の分析】　文中の将来に関する事項は、当四半期連結会計期間の末日現在において判断したものであります。   (1) 業績の状況当第１四半期連結累計期間におけるわが国経済は、経済活動の正常化が進んでいるものの、世界的な経済環境の変化により、依然として景気は先行き不透明な状況が続いております。　このような状況下においても、当社グループの属するソフトウエア業界を含む情報通信サービス業界では、少子高齢化により日本の労働力人口が減少しているという課題に対処するための労働生産性向上の観点だけではなく、BCP（事業継続計画）対策、あるいはデジタルトランスフォーメーションの観点からも、クラウドサービスに対する需要は一層拡大傾向となっております。このような経営環境の中で、当社グループは、クラウドサービスの利便性を損なうことなくセキュリティリスクを軽減させる「HENNGE One」を成長ドライバーと位置付け、事業を推進してまいりました。当第１四半期連結累計期間においては、前期から引き続き、継続的なARR成長の実現に向け、各種マーケティング活動の実施や積極的な採用活動などに取り組みました。また、HENNGE One事業の付加価値を高めるべく、サービス開発やサービス内容の向上も継続的に実施しております。加えて、当第１四半期連結累計期間においては、2024年4月から実施される新価格体系への移行準備を進め、今後の継続的な成長実現に向けた施策を実施しました。2023年10月には、当社の投資先である株式会社kickflowとの業務提携に伴い、同社が提供するクラウドワークフロー「kickflow」の販売を開始いたしました。企業の情報システム部門向けのサービスという点で事業シナジーがあり、両社の強みを活かすことにより、幅広い分野で更なる企業の生産性向上を促進できると考えております。なお、2023年12月には、ISMS認証・Pマークの取得運用効率化ツールを提供するSecureNavi株式会社へ出資をいたしました。これらの活動を通して、引き続き高い付加価値を提供するべく活動してまいります。この結果、当第１四半期連結累計期間の業績は、売上高1,915百万円（前年同期比23.8％増）、営業利益385百万円（前年同期比309.4％増）、経常利益377百万円（前年同期比392.3％増）、親会社株主に帰属する四半期純利益256百万円（前年同期比456.7％増）となりました。また、当社グループの研究開発部門において基盤システムの効率化を継続的に実施した結果、売上総利益率は84.0％となりました。 当社グループの事業セグメントは単一セグメントでありますが、売上区分別の事業概況は、次のとおりです。 １．HENNGE One事業不正ログイン対策、スマートフォン紛失対策、メールの情報漏洩対策などを一元的にクラウドサービス上で提供する「HENNGE One」については、大手企業、販売パートナー、既存顧客、新規顧客など様々なアプローチ先の中でも、当第１四半期連結累計期間においては、販売パートナーとの連携強化を目的とした「HENNGE One パートナーミーティング 2023」を名古屋、福岡で開催いたしました。その他にも当社グループの認知度向上を目的としたイベントへの参加など、各種イベントの開催や、出展・登壇を行いました。また、積極的な人材採用と教育に注力し、新規顧客獲得体制を充実させる施策を進めてまいりました。さらに、2024年4月からHENNGE Oneの一部の提供プラン及び利用価格を刷新することを発表しており、そのための移行準備を進めてまいりました。日々研究開発を重ね、既存機能の改善や新機能の追加のみならず、2024年4月から実施される新価格体系でのプランの提供を推進することで、契約企業数だけでなくユーザあたり単価の向上の実現を目指し、将来ARRの最大化に向けた施策を行いました。この結果、当第１四半期連結累計期間のHENNGE One事業の売上高は、1,777百万円（前年同期比24.1％増）となりました。また、当第１四半期連結累計期間末時点の契約企業数は2,678社、契約ユーザ数は2,398,871人、直近12ヶ月の平均月次解約率は0.30％となりました。 ２．プロフェッショナル・サービス及びその他事業  プロフェッショナル・サービス及びその他事業のうち、クラウド型のメール配信システム「Customers Mail Cloud」については、新規顧客獲得、既存顧客のアカウント追加やメール配信量の増加などにより堅調に推移いたしました。営業面では販路拡大に向けた取り組みを継続し、開発面ではさらなる機能の向上施策を行っております。この結果、当第１四半期連結累計期間のプロフェッショナル・サービス及びその他事業の売上高の合計は、138百万円（前年同期比19.3％増）となりました。   (2) 財政状態の分析 (資産)  当第１四半期連結会計期間末における総資産は、6,165百万円(前連結会計年度末比129百万円の減少)となりました。主な要因としては、現金及び預金483百万円の減少、前払費用368百万円の増加によるものであります。(負債)  当第１四半期連結会計期間末における負債合計は、3,495百万円(前連結会計年度末比385百万円の減少)となりました。主な要因としては、賞与引当金110百万円の減少、契約負債101百万円の減少、未払法人税等99百万円の減少によるものであります。(純資産)  当第１四半期連結会計期間末における純資産は、2,670百万円(前連結会計年度末比255百万円の増加)となりました。主な要因としては、利益剰余金256百万円の増加によるものであります。   (3) 事業上及び財務上の対処すべき課題当第１四半期連結累計期間における当社グループの事業上及び財務上の対処すべき課題について重要な変更はありません。   (4) 研究開発活動  当第１四半期連結累計期間の研究開発費の総額は90百万円であります。 
経営上の重要な契約等	３ 【経営上の重要な契約等】当第１四半期連結会計期間において、経営上の重要な契約等の決定、締結等はありません。 
研究開発活動	
設備投資等の概要	
主要な設備の状況	
株式の総数	① 【株式の総数】 種類発行可能株式総数(株)普通株式 123,080,000計 123,080,000  
発行済株式、株式の総数等	② 【発行済株式】 種類第１四半期会計期間末現在発行数(株)(2023年12月31日)提出日現在発行数(株)(2024年２月９日)上場金融商品取引所名又は登録認可金融商品取引業協会名内容普通株式32,500,60032,500,600東京証券取引所(グロース市場）完全議決権株式であり、権利内容に何ら制限のない当社における標準となる株式です。なお、１単元の株式数は、100株であります。計32,500,60032,500,600――  
配当政策	
コーポレート・ガバナンスの概要	
役員の状況	２ 【役員の状況】　　該当事項はありません。
貸借対照表	
損益計算書	
キャッシュ・フロー計算書	
