項目	値
事業の内容	２ 【事業の内容】当第２四半期累計期間において、当社が営む事業の内容について、重要な変更はありません。　また、主要な関係会社についても異動はありません。 
経営方針、経営環境及び対処すべき課題等	
事業等のリスク	１ 【事業等のリスク】当第２四半期累計期間において、当四半期報告書に記載した事業の状況、経理の状況等に関する事項のうち、経営者が提出会社の財政状態、経営成績及びキャッシュ・フローの状況に重要な影響を与える可能性があると認識している主要なリスクの発生又は前事業年度の有価証券報告書に記載した「事業等のリスク」についての重要な変更はありません。 
経営者による財政状態、経営成績及びキャッシュ・フローの状況の分析	２ 【経営者による財政状態、経営成績及びキャッシュ・フローの状況の分析】文中の将来に関する事項は、当四半期会計期間の末日現在において当社が判断したものであります。(1) 財政状態及び経営成績の状況当第２四半期累計期間（2023年１月１日～2023年６月30日）におけるわが国経済は、新型コロナウイルス感染症の第８波が年明けより急速に収束に向かうなか、５月には感染症法上の位置づけが５類に移行され、行動制限や海外からの入国制限の緩和等により社会経済活動は正常化が進みました。一方、ウクライナ情勢の長期化や供給制約を背景とした資源・エネルギー価格の高騰等により世界的な金融引締めが続くなか、世界経済の景気後退が懸念される状況となっております。わが国経済におきましても、急速な為替変動がインフレに拍車をかけ、物価上昇による景気の下振れが懸念されるなど、先行きは依然として不透明な状況が続いております。 体外診断用医薬品業界におきましては、2019年末に発生した新型コロナウイルス感染症は、その後３年以上にわたり新たな変異株による感染拡大を繰り返すなかで、感染拡大防止を目的とした遺伝子検査や抗原検査等の検査需要が急激に高まりました。一方、インフルエンザをはじめとした既存の感染症は、新型コロナウイルス感染症に対する感染防御の効果の波及や受診控え等により、検査需要が減少するという影響を受けました。現在主流のオミクロン変異株は、感染力は高いものの重症化リスクは低減しているといわれており、行動制限の段階的な緩和に伴い社会経済活動は正常化に向かいました。さらに本年５月に新型コロナウイルス感染症の感染症法上の位置づけが５類へ移行され、新型コロナウイルス感染症と共生する社会へと大きくかじが切られました。このような社会環境の変化に伴い、過去３年程の間に免疫獲得の機会を十分に持てなかった多くの既存の感染症（インフルエンザ、RSウイルス等）が増加傾向を示しております。また、新型コロナウイルス感染症につきましても、定点把握の感染者数は緩やかな増加傾向が継続しており、第９波の到来が指摘されるなど、感染症全般にわたり今後の動向を注視する必要があります。 このようななか、当社は、新型コロナウイルス検査薬（遺伝子検査キット及び抗原キット）をはじめ、３年ぶりに流行入りし、現在も流行が続くインフルエンザ検査薬、さらに急激な増加傾向を示しているその他感染症項目の検査薬の増産に取り組み、安定供給に尽力いたしました。他方では、クイックチェイサー Immuno ReaderⅡ等を用いる高感度検出キット（銀増幅イムノクロマト法）として、2023年１月に新型コロナウイルス抗原とインフルエンザウイルス抗原を同時に検出する「クイックチェイサー Auto SARS-CoV-2/Flu」を発売するなど、クイックチェイサー Auto シリーズの検査項目の拡充を図りました。また、遺伝子POCT検査機器試薬システムにつきましては、スマートジーンシリーズの新たな検査項目の開発に注力するとともに、次世代の遺伝子POCT検査装置として、測定時間のさらなる迅速化や遺伝子マルチ検査システムの開発にも取り組んでおります。 このような環境下におきまして、当第２四半期累計期間の売上高は、45億75百万円（前年同期比37.4％減）となりました。当社は、体外診断用医薬品事業の単一セグメントでありますが、市場分野別の売上高は、以下のとおりであります。病院・開業医分野におきましては、新型コロナウイルス感染症の第８波は、年明け直後から急速に収束に向かい、また、５月から感染症法上の位置付けが５類へ移行されました。この第８波の収束及び５類移行という大きな環境の変化のなか、遺伝子検査キット「スマートジーン SARS-CoV-2」の出荷数は、約35万テスト（前年同期は第６波拡大の影響により100万テスト）となりました。一方、新型コロナウイルス抗原キット（銀増幅イムノクロマト法による抗原キット含む）は、主に新型コロナウイルス・インフルエンザウイルス抗原同時検出キットの需要が急増し、出荷数は約143万テスト（前年同期は120万テスト）となり、新型コロナウイルス検査薬全体の売上高は、31億83百万円（前年同期比50.4％減）となりました。 一方、インフルエンザ検査薬につきましては、３年ぶりの流行入りとなったインフルエンザは、現在も異例の夏の流行が続いており、インフルエンザ単独検査薬全体の売上高は、２億64百万円（前年同期比90.8％増）となりました。その他感染症項目の検査薬につきましては、新型コロナウイルス感染症の影響により長らく需要が低迷しておりましたが、５類移行という社会環境の変化の影響により、多くのその他の感染症が急増しており、RSウイルス/ヒトメタニューモウイルス、ノロウイルス、アデノウイルス及びA群β溶血連鎖球菌(Strep A)をはじめ、ほぼ全ての項目において前年同期比で増収となりました。「全自動遺伝子解析装置 Smart Gene」につきましては、当第２四半期累計期間は約200台を出荷し、累計販売台数は約5,200台となりました。これらの結果、その他感染症項目の検査薬を含むその他の検査薬及び機器全体の売上高は、その他感染症項目の大幅な需要回復に伴い、９億58百万円（前年同期比60.7％増）となりました。以上により、病院・開業医分野全体の売上高は、44億７百万円（前年同期比38.4％減）となりました。OTC・その他分野におきましては、妊娠検査薬及び排卵日検査薬は、新型コロナウイルス感染症の影響から少しずつ脱しつつあり、OTC・その他分野全体の売上高は、１億68百万円（前年同期比2.8％増）となりました。 利益面につきましては、主に新型コロナウイルス遺伝子検査キットの減収や、これに伴う売上構成比の変化による売上原価率の上昇により、営業利益は19億３百万円（前年同期比58.4％減）となりました。なお、外国為替相場の急激な変動に伴い、為替差益１億22百万円を営業外収益に計上しております。これは主に当社が保有する外貨建資産を期末為替レートで換算したことにより発生したものであります。これらの結果、経常利益は20億53百万円（前年同期比55.2％減）、四半期純利益は14億61百万円（前年同期比54.4％減）となりました。 インフルエンザ検査薬は、過去７年（2013年～2019年）ほどにわたり、当社の売上高の約50％を占める主力製品でありましたが、2019年末に発生した新型コロナウイルス感染症の感染拡大の影響により、インフルエンザの流行は世界的に著しく低い水準に抑えられ、2020年よりインフルエンザ検査薬の売上高は大幅に減少しております。一方、新型コロナウイルス感染症の感染拡大に伴い、遺伝子検査の需要が急激に高まるなか、2020年より発売を開始した遺伝子検査キット「スマートジーン SARS-CoV-2」の売上高が急激に増加しております。また、これに続き発売を開始した各種抗原キットの売上高も加わり、新型コロナウイルス検査薬全体の売上高が大幅に増加しております。結果として、2020年以降はインフルエンザ検査薬への依存度が低下し、新型コロナウイルス検査薬への依存度が高まる状況となっております。今後につきましては、新型コロナウイルス検査薬は、感染拡大の動向や５類移行後の医療・検査体制の変化などによって、本検査薬の需要や売上高は大きく左右される可能性があります。また、３年ぶりに流行入りしたインフルエンザは夏場においても異例の流行が続くなど、これらの事業環境の変化に伴い特定製品への依存度がさらに変化する可能性があります。当事業年度（第47期）の四半期会計期間ごとの売上高及び営業利益は、以下のとおりであります。 第47期（2023年12月期）の四半期会計期間ごとの売上高及び営業利益 　（単位：百万円） 第１四半期第２四半期第３四半期第４四半期第47期 合計売上高2,3912,183――4,575　内　新型コロナウイルス検査薬1,8291,354――3,183　内　インフルエンザ検査薬147116――264営業利益1,027875――1,903   (ご参考)　直近２事業年度の四半期会計期間ごとの売上高及び営業利益 第46期（2022年12月期） （単位：百万円） 第１四半期第２四半期第３四半期第４四半期第46期 合計売上高4,1883,1255,9674,30017,581　内　新型コロナウイルス検査薬3,6842,7305,3833,38115,179　内　インフルエンザ検査薬1073078198416営業利益2,7431,8324,1202,40711,104  第45期（2021年12月期） （単位：百万円） 第１四半期第２四半期第３四半期第４四半期第45期 合計売上高2,4433,9104,2222,56113,137　内　新型コロナウイルス検査薬1,5573,1183,3031,8159,794　内　インフルエンザ検査薬(注)３383756106239営業利益8772,2462,5441,0296,698 （注）１．新型コロナウイルス検査薬には、「スマートジーン SARS-CoV-2」、「クイックチェイサー Auto SARS-CoV-2」、「クイックチェイサー Auto SARS-CoV-2/Flu」、富士フイルム株式会社向け機器試薬システムの試薬、「クイックチェイサー SARS-CoV-2」及び「クイックチェイサー SARS-CoV-2/Flu(Flu A,B)」が含まれております。２．インフルエンザ検査薬には、「クイックチェイサー Flu A,B」、「クイックチェイサー Auto Flu A,B」、富士フイルム株式会社向け機器試薬システムの試薬及び「スマートジーン Flu A,B」が含まれております。３．返品分を除いた金額を記載しております。 当第２四半期会計期間末の財政状態につきましては、以下のとおりであります。当第２四半期会計期間末における資産の残高は、前事業年度末に比べ25億43百万円減少し、165億58百万円となりました。これは主に、現金及び預金の増加12億38百万円及び棚卸資産の増加２億２百万円があったものの、売掛金の減少32億86百万円及び電子記録債権の減少６億66百万円があったことによるものであります。当第２四半期会計期間末における負債の残高は、前事業年度末に比べ21億95百万円減少し、26億23百万円となりました。これは主に、未払法人税等の減少16億65百万円、流動負債のその他に含まれている未払消費税等の減少２億29百万円、買掛金の減少１億81百万円及び電子記録債務の減少１億11百万円があったことによるものであります。当第２四半期会計期間末における純資産の残高は、前事業年度末に比べ３億48百万円減少し、139億34百万円となりました。これは主に、利益剰余金の減少３億48百万円によるものであります。  (2) キャッシュ・フローの状況当第２四半期会計期間末における現金及び現金同等物（以下「資金」という。）は、前事業年度末に比べ11億15百万円増加し、84億90百万円となりました。当第２四半期累計期間における各キャッシュ・フローの状況とそれらの要因は、次のとおりであります。 (営業活動によるキャッシュ・フロー)当第２四半期累計期間における営業活動により増加した資金は、30億69百万円（前年同四半期は22億11百万円の増加）となりました。これは主に、法人税等の支払21億60百万円、仕入債務の減少２億93百万円、未払消費税等の減少２億29百万円及び棚卸資産の増加２億２百万円によるキャッシュ・フローの減少があったものの、売上債権の減少39億52百万円及び税引前四半期純利益20億53百万円によるキャッシュ・フローの増加があったことによるものであります。 (投資活動によるキャッシュ・フロー)当第２四半期累計期間における投資活動により減少した資金は、１億47百万円（前年同四半期は75百万円の減少）となりました。これは主に、有形固定資産の取得１億40百万円によるキャッシュ・フローの減少があったことによるものであります。 (財務活動によるキャッシュ・フロー)当第２四半期累計期間における財務活動により減少した資金は、18億７百万円（前年同四半期は９億98百万円の減少）となりました。これは、配当金の支払18億７百万円によるキャッシュ・フローの減少があったことによるものであります。 (3) 事業上及び財務上の対処すべき課題当第２四半期累計期間において、当社の事業上及び財務上の対処すべき課題に重要な変更及び新たに生じた課題はありません。 (4) 研究開発活動当第２四半期累計期間における研究開発活動の総額は３億17百万円であります。なお、当第２四半期累計期間において、当社の研究開発活動の状況に重要な変更はありません。 (5) 生産、受注及び販売の実績当第２四半期累計期間において、生産実績及び販売実績が著しく減少しております。これにつきましては、「第２　事業の状況　２　経営者による財政状態、経営成績及びキャッシュ・フローの状況の分析　(1) 財政状態及び経営成績の状況」をご参照ください。 
経営上の重要な契約等	３ 【経営上の重要な契約等】当第２四半期会計期間において、経営上の重要な契約等の決定又は締結等はありません。 
研究開発活動	
設備投資等の概要	
主要な設備の状況	
株式の総数	① 【株式の総数】 種類発行可能株式総数(株)普通株式33,840,000計33,840,000  
発行済株式、株式の総数等	② 【発行済株式】 種類第２四半期会計期間末現在発行数(株)(2023年６月30日)提出日現在発行数(株)(2023年８月10日)上場金融商品取引所名又は登録認可金融商品取引業協会名内容普通株式9,525,6009,525,600 東京証券取引所スタンダード市場完全議決権株式であり、権利内容に何ら限定のない当社における標準となる株式であります。また、１単元の株式数は100株であります。計9,525,6009,525,600――  
