項目	値
事業の内容	 ３ 【事業の内容】当社及び当社の関係会社は、株式会社大塚商会(当社)及び子会社８社(うち連結子会社４社)と関連会社６社(うち持分法適用会社３社)の計15社により構成されており、情報システムの構築・稼働までを事業領域とする「システムインテグレーション事業」と、システム稼働後のサポートを事業領域とする「サービス＆サポート事業」を主な事業としております。当社と主要な関係会社の位置付け及びセグメントとの関連の系統図は次のとおりであります。 セグメントの名称事業内容報告セグメントシステムインテグレーション事業コンサルティング、ハードウエア・ソフトウエア販売、受託ソフトウエア開発、機器の搬入設置・ネットワーク工事等サービス＆サポート事業オフィスサプライ供給、保守サービス、業務支援サービス等   
経営方針、経営環境及び対処すべき課題等	１ 【経営方針、経営環境及び対処すべき課題等】文中の将来に関する事項は、当連結会計年度末現在において当社グループが判断したものであります。 (1) 会社の経営の基本方針当社グループは「ミッションステートメント」を以下のように制定し、全ての企業活動の基本方針としております。《使命》大塚商会は多くの企業に、情報・通信技術の革新によってもたらされる新しい事業機会や経営改善の手段を具体的な形で提供し、企業活動全般にわたってサポートします。そして、各企業の成長を支援し、わが国のさらなる発展と心豊かな社会の創造に貢献しつづけます。《目標》・社会から信頼され、支持される企業グループとなる。・従業員の成長や自己実現を支援する企業グループとなる。・自然や社会とやさしく共存共栄する先進的な企業グループとなる。・常に時代にマッチしたビジネスモデルを創出しつづける企業グループとなる。《行動指針》・常にお客様の目線で考え、お互いに協力して行動する。・先達のチャレンジ精神を継承し、自ら考え、進んで行動する。・法を遵守し、社会のルールに則して行動する。 (2) 中長期的な会社の経営戦略当社グループは厳しい経済環境下にあっても、永続的、安定的に発展し続けることを最重要視し、特に収益性を意識した経営を実践することにより、社会から評価される優良企業グループを目指しております。その目的の達成のために、以下の施策を推進しております。 １）創業以来の基本方針である「顧客満足度の追求」をさらに実践し、「ミッションステートメント」の具現化に努めて、さらなる企業価値の向上を目指します。 ２）お客様との新たな関係創りに向け、「リアル」、「Web」、「センター」の３つのお客様接点を整備し、リアルビジネスとWebビジネスを連携・融合したソリューション提供で、「オフィスまるごと」お任せいただけるお客様のパートナーを目指します。 ３）システムインテグレーション事業では、当社グループの総合力を活かした付加価値提案に注力し、サービス＆サポート事業ではオフィスサプライ通信販売事業「たのめーる」、サポート事業「たよれーる」を核としたストックビジネスに注力し収益性の向上に努めます。 ４）センター化など組織・体制の整備、Web活用や仕組みの構築に加え、デジタル技術・お客様情報を活用した活動プロセス、業務プロセスを変革する取り組みを進め生産性向上を図ります。 ５）連結収益極大化のために、グループ各社の特徴や機能を活かしてグループ資源の有効活用と人材の育成を図るとともに効率経営に努めます。 (3) 目標とする経営指標当社グループは、お客様との長期持続的な取引関係を構築し、安定的な事業拡大を通じて企業価値を向上していくことを経営目標の一つとしております。そのための経営指標として、取引企業数、一企業あたりの売上高、営業利益伸長率、営業利益率、自己資本当期純利益率を重視し継続的向上に努めます。また配当性向を重視し、安定的な配当の継続を目指します。 (4) 優先的に対処すべき事業上の課題及びその背景にある経営環境についての認識「(2)中長期的な会社の経営戦略」に記載したとおり、当社グループは経営環境の変化に柔軟に対応できるよう経営の質を充実させ、取引顧客の深耕・拡大を軸に総合力を活かして収益力の向上と売上高の伸長を図ります。そのために対処すべき恒常的な課題として、・グループ経営力の強化・各事業分野の評価徹底と経営資源の最適配分・サービス開発体制の強化・ワンストップ運営体制の強化・人材の育成に取り組んでまいります。今後、地域紛争の長期化や世界的な金融引き締めによる海外経済の下振れ、国内では物価上昇の継続などに注意は必要も、個人消費の持ち直しや設備投資の増加など、景気は内需を中心に引き続き改善に向かっていくことが期待されます。このような経済状況のもとで、企業は人手不足対策としての省人化投資、働き方改革関連法に伴う時間外労働の上限規制への対応に向けた業務効率化など、生産性向上や競争力強化を目的としたデジタル化の推進が求められています。また、IT市場においては、Windows 10サポート終了に伴うパソコンの更新需要が動き出すことが期待されるなど、企業のIT投資は底堅く推移するものと予想されます。以上のような国内の経済状況やIT投資動向に対する見通しを前提として、当社グループでは、2024年度のスローガンである「お客様に寄り添い、DXでお客様と共に成長する」の方針のもと、オフィスまるごとへの取り組みを更に進めながら、当社グループの強みである幅広い取扱い商材やサービスを活かしお客様のDX推進への取り組みを支援してまいります。中でもデジタル化が遅れている中堅・中小企業のお客様に対しては、デジタル化の支援とともに、生産性向上やコスト削減を実現する付加価値の高いソリューション提案を行い、顧客満足度を高めてまいります。そのために、営業やサポートの活動を支援する各センター機能やお客様マイページ(*)など多様なチャネルを組み合わせ、お客様接点の強化を図るとともに、AI等の技術を活用した営業プロセス支援への取り組みを進めてまいります。また、ESG課題の解決とSDGsの達成への貢献に向け、ITを活用したサービスやソリューション提供を行ってまいります。加えて、人的資本の再強化を目的に進めている労働分配率の改善、オフィスまるごとに向けたマネジメント改革、AI人材の育成など従業員エンゲージメント向上へ繋がる取り組みを2024年度においても進めてまいります。 * お客様マイページ＝多くのお客様に便利なサービスをご提供することでお客様に寄り添い、Webでお客様との関係創りを進めるお客様ポータルサイト。 (システムインテグレーション事業)　 システムインテグレーション事業では、ドキュメントのデジタル化など生産性向上、競争力強化やコスト削減のニーズを見極めながら、お客様のデジタル化を進めるため、お客様に寄り添い、引き続き当社グループの強みである幅広い取扱い商材を活かした付加価値の高いソリューション提案を行います。 (サービス＆サポート事業)　 サービス＆サポート事業では、「たのめーる」の競争力の強化に努め市場の拡大を図り、「たよれーる」の利便性を高め、お客様が安心して安全に事業活動を継続するためのサービス、お客様のIT人材不足を補完できるようなサービスの開発に努め、着実に売上高の増加に繋げてまいります。   
事業等のリスク	 ３ 【事業等のリスク】当社グループの経営成績、財政状態等に影響を与える可能性のある代表的なリスクには、次のようなものが考えられます。これらの項目は、リスクのうち代表的なものであり、実際に起こりうるリスクは、これらに限定されるものではありません。なお、文中における将来に関する事項は、本有価証券報告書提出日現在において当社グループが判断したものです。 (1) 顧客に関するリスク当社グループの顧客は、大企業から中堅・中小企業まで、企業規模・業種ともに幅広く分散しており、特定顧客への依存度は低いと認識しております。しかし、予測を超えた経済情勢の変化等により、多くの企業のIT投資動向が同一方向に変化した場合、当社グループの経営に影響を与える可能性があります。 (2) 調達先に関するリスク当社グループは顧客に応じた最適な問題解決を行うため、多くの調達先から各分野の優れた製品、サービス、技術（以下、製品等）の供給を受けています。これらの安定的な供給を受けられるよう、調達先との緊密な関係作りに注力する一方、新たな製品等に関する情報収集を絶えず行っています。しかし、調達先の何らかの事情により、製品等の十分な供給が受けられない事態となり、しかも代替品の供給が得られない場合には、顧客に対して製品等の十分な提供ができず、当社グループの経営に影響を与える可能性があります。 (3) 情報漏洩に関するリスク当社グループでは業務に関連して多数の個人情報及び企業情報を保有しており、これらを厳重に管理しています。また、当社は一般財団法人日本情報経済社会推進協会より「プライバシーマーク」の認定を取得しており、インターネットデータセンターにおいては、「ISMS（情報セキュリティマネジメントシステム）適合性評価制度」の認証を取得しています。また、サービスの拡大に伴い、ISO27017（クラウドセキュリティ）の認証も取得しています。情報管理に係る具体的な施策としては、個人情報保護方針を社内外に公表するとともに、個人情報保護規程、機密管理規程等の諸規程を定めております。就労者と機密保持誓約書を取り交わした上で、独自の教育制度である「CP（コンプライアンスプログラム）免許制度」などにより情報管理への意識を高め、外部への情報漏洩を防いでいます。さらに、運用する情報システムについては、入口・内部・出口それぞれに対する技術的対策の他、第三者による外部診断、標的型攻撃メールに対する定期訓練、サイバー自警団等のＣＳＩＲＴに準じたセキュリティ監視や対応組織によって、より厳格な対策をとっています。しかし、これらの施策にもかかわらず、個人情報や企業情報が万一漏洩した場合には、損害賠償責任を負うばかりでなく社会的信用を失うこととなり、当社グループの経営に影響を与える可能性があります。 (4) 感染症拡大に関するリスク当社グループでは感染症の拡大に備えて従業員の感染防止策の他、訪問や直接的な面談を伴わない営業活動・サービス活動が行えるように、オンラインによる活動を可能とする環境の整備に加えて、コールセンターによる営業活動やWEBサイトを介した販売活動を強化しました。しかし、これらの施策にもかかわらず、社会経済活動全体に大きな影響を及ぼす感染症が発生した場合には、感染の状況によっては当社グループの営業活動・サービス活動への制約、オフィスサプライ消費量やコピー使用量の減少、パソコン・タブレットや感染防止対策商品などの特定商材の需要急増による製品等の供給不足などの面から、当社グループの経営に影響を与える可能性があります。
経営者による財政状態、経営成績及びキャッシュ・フローの状況の分析	 ４ 【経営者による財政状態、経営成績及びキャッシュ・フローの状況の分析】(1) 経営成績等の概要① 経営成績の状況当連結会計年度(2023年１月１日～2023年12月31日)におけるわが国経済は、資源価格の高騰や物価高に加え、世界的な金融引き締めが国内経済に与える影響など不透明感はありましたが、経済活動が正常化に向かう中、企業の業況判断も改善するなど景気は緩やかな持ち直しが続きました。このような経済状況にあってIT投資分野では、企業のソフトウエア投資計画も高い水準にあり、生産性向上、競争力強化やコスト削減を目的としたデジタル化への対応などIT投資需要は底堅く推移しました。以上のような環境において当社グループは、「お客様に寄り添い、まるごとDXで共に成長する」を2023年度のスローガンに掲げお客様接点の強化に努め、営業活動においては当社グループの強みを活かせる訪問による商談が活発化いたしました。具体的には、労働基準法の改正、改正電子帳簿保存法やインボイス制度への対応などワークフローの見直しやセキュリティ対策、DX統合パッケージとクラウドサービスを組み合わせた業務のデジタル化や効率化へ向けた提案を行いました。また、当社自身がAIによる業務プロセス改革など生産性向上を実現してきた事例を踏まえながら、中堅・中小企業のお客様でも手軽にAIの価値を享受できるサービスも含め、DX推進への取り組みを支援いたしました。以上の結果、当連結会計年度の売上高は、堅調な企業のIT投資需要を捉えることで一企業当たりの売上高の増加もあり9,773億70百万円(前年同期比13.5％増)となりました。利益につきましては、人件費等を中心に販売費及び一般管理費は増加したものの増収に伴う売上総利益の増加により、営業利益629億59百万円(前年同期比15.0％増)、経常利益645億17百万円(前年同期比13.9％増)、親会社株主に帰属する当期純利益474億48百万円(前年同期比18.6％増)と増収増益となりました。売上高及び各利益は過去最高となり、親会社株主に帰属する当期純利益については、賃上げ促進税制の適用等もあり高い伸びとなりました。 (システムインテグレーション事業)コンサルティングからシステム設計・開発、搬入設置工事、ネットワーク構築まで最適なシステムを提供するシステムインテグレーション事業では、パソコンの増加によるハードウエアの伸びに加え、「SMILEシリーズ(*1)」などパッケージソフトや受託ソフト等も順調に推移し、売上高は6,301億85百万円(前年同期比16.3％増)となりました。 (サービス＆サポート事業)サプライ供給、ハード＆ソフト保守、テレフォンサポート、アウトソーシングサービス等により導入システムや企業活動をトータルにサポートするサービス＆サポート事業では、オフィスサプライ通信販売事業「たのめーる」やサポート事業「たよれーる(*2)」などストックビジネスに引き続き注力し、売上高は3,471億85百万円(前年同期比8.7％増)となりました。 *1 SMILEシリーズ＝当社グループオリジナルの統合型基幹業務システム。*2 たよれーる＝お客様の情報システムや企業活動全般をサポートする事業ブランド。  ② 財政状態の状況当連結会計年度末における資産は5,618億５百万円となり、前連結会計年度末に比べ387億89百万円増加いたしました。負債は2,148億54百万円となり、前連結会計年度末に比べ145億71百万円増加いたしました。純資産は3,469億50百万円となり、前連結会計年度末に比べ242億18百万円増加いたしました。 ③ キャッシュ・フローの状況当連結会計年度末における現金及び現金同等物の残高は、前連結会計年度末に比べ263億40百万円増加し、2,296億15百万円となりました。各キャッシュ・フローの状況は次のとおりであります。 (営業活動によるキャッシュ・フロー)営業活動から得られた資金は716億49百万円となり、前連結会計年度に比べ424億53百万円増加いたしました。これは主に、「売上債権の増加額」が小さくなったことによるものです。 (投資活動によるキャッシュ・フロー)投資活動に使用した資金は214億73百万円となり、前連結会計年度に比べ131億17百万円増加いたしました。これは主に、「定期預金の預入支出」が増加したことによるものです。 (財務活動によるキャッシュ・フロー)財務活動に使用した資金は238億39百万円となり、前連結会計年度に比べ５億31百万円増加いたしました。これは主に、「配当金の支払額」が増加したことによるものです。 また、営業活動によるキャッシュ・フローと投資活動によるキャッシュ・フローを合わせたフリー・キャッシュ・フローは、前連結会計年度に比べ293億36百万円増加し、501億76百万円となりました。 ④ 生産、受注及び販売の実績a. 生産実績当社グループの主たる事業は、情報システムの構築から稼働までを行う「システムインテグレーション事業」とシステム稼働後のサポート等を行う「サービス＆サポート事業」であります。これらは顧客の注文に応じてサービス及びサポートを提供するものであり受注形態も多岐にわたっております。このため数量の把握をはじめ生産概念の意義が薄く、生産実績を把握することは困難でありますので、記載を省略しております。 b. 商品仕入実績当連結会計年度の商品仕入実績をセグメント別に示すと、次のとおりであります。セグメントの名称商品仕入高(百万円)前年同期比(％)システムインテグレーション事業466,634＋12.0サービス＆サポート事業157,383＋7.4合計624,018＋10.8 (注) １．セグメント間の取引については相殺消去しております。２．金額は仕入価格によっております。 c. 受注実績当社グループの生産業務の内容は、ハードウエア及びソフトウエアの保守メンテナンスといったサポート業務が主なものであり、個別受注生産の占める割合が少ないため、受注実績の記載を省略しております。 d. 販売実績当連結会計年度の販売実績をセグメント別に示すと、次のとおりであります。セグメントの名称販売高(百万円)前年同期比(％)システムインテグレーション事業630,185＋16.3サービス＆サポート事業347,185＋8.7合計977,370＋13.5 (注) セグメント間の取引については相殺消去しております。   (2) 経営者の視点による経営成績等の状況に関する分析・検討内容経営者の視点による当社グループの経営成績等の状況に関する認識及び分析・検討内容は次のとおりであります。なお、文中の将来に関する事項は、本有価証券報告書提出日現在において判断したものであります。 ① 当連結会計年度の経営成績等の状況に関する認識及び分析・検討内容a. 経営成績の分析 (売上の状況)当連結会計年度における当社グループの売上高は、前連結会計年度に比べ1,163億47百万円増加し、9,773億70百万円(前連結会計年度比13.5％増)となりました。セグメント別では、システムインテグレーション事業の売上高は6,301億85百万円（前連結会計年度比16.3％増）、サービス＆サポート事業の売上高は3,471億85百万円（前連結会計年度比8.7％増）となりました。 (損益の状況)利益につきましては、営業利益629億59百万円（前連結会計年度比15.0％増）、経常利益645億17百万円（前連結会計年度比13.9％増）、親会社株主に帰属する当期純利益474億48百万円（前連結会計年度比18.6％増）となりました。 売上及び損益の状況については、「第２  事業の状況  ４．経営者による財政状態、経営成績及びキャッシュ・フローの状況の分析  (1) 経営成績等の概要　①経営成績の状況」に記載しております。 b. 財政状態の分析 (資産の部)当連結会計年度末における資産は5,618億５百万円となり、前連結会計年度末に比べ387億89百万円増加いたしました。流動資産は、「現金及び預金」が増加したことなどにより、4,597億94百万円と前連結会計年度末に比べ246億80百万円増加いたしました。固定資産は、1,020億10百万円と前連結会計年度末に比べ141億８百万円増加いたしました。 (負債の部)当連結会計年度末における負債は2,148億54百万円となり、前連結会計年度末に比べ145億71百万円増加いたしました。流動負債は、「支払手形及び買掛金」が増加したことなどにより、2,032億63百万円と前連結会計年度末に比べ125億80百万円増加いたしました。固定負債は、115億91百万円と前連結会計年度末に比べ19億90百万円増加いたしました。 (純資産の部)当連結会計年度末における純資産は、「利益剰余金」が増加したことなどにより、3,469億50百万円と前連結会計年度末に比べ242億18百万円増加いたしました。この結果、自己資本比率は61.1％となり、前連結会計年度末より0.0ポイント向上いたしました。 c. キャッシュ・フローの状況の分析キャッシュ・フローの状況については、「第２  事業の状況  ４．経営者による財政状態、経営成績及びキャッシュ・フローの状況の分析  (1) 経営成績等の概要　③キャッシュ・フローの状況」に記載しております。なお、当社グループのキャッシュ・フロー関連指標の推移は、下記のとおりであります。 2020年12月期2021年12月期2022年12月期2023年12月期自己資本比率（％）58.861.461.161.1時価ベースの自己資本比率（％）219.3214.1150.6196.2キャッシュ・フロー対有利子負債比率（年）0.30.20.30.1インタレスト・カバレッジ・レシオ（倍）725.31,295.2663.61,808.7 自己資本比率                      ：  自己資本／総資産時価ベースの自己資本比率          ：  株式時価総額／総資産キャッシュ・フロー対有利子負債比率：  有利子負債／営業キャッシュ・フローインタレスト・カバレッジ・レシオ  ：  営業キャッシュ・フロー／利払い(注) １．いずれも連結ベースの財務数値により計算しております。２．株式時価総額は、自己株式を除く発行済株式数をベースに計算しております。３．有利子負債は、連結貸借対照表に計上されている負債のうち、利子を支払っている全ての負債を対象としております。４．営業キャッシュ・フロー及び利払いは、連結キャッシュ・フロー計算書に計上されている「営業活動によるキャッシュ・フロー」及び「利息の支払額」を用いております。５．「収益認識に関する会計基準」（企業会計基準第29号　2020年３月31日）等を2022年12月期の期首から適用しております。 d. 資本の財源、資金の流動性に係る情報当社グループの主要な資金需要は、事業活動における運転資金及び設備資金等であります。これらの資金需要につきましては、内部資金の活用及び金融機関からの借入により資金調達を行っております。手許の運転資金につきましては、一部の子会社において当社のキャッシュマネージメントシステム（ＣＭＳ）を導入することにより、各社における余剰資金を当社へ集中し、当社において一元管理し、当社グループ全体の有利子負債の削減を図っております。なお、重要な設備投資の予定はありません。 e. 目標とする経営指標の達成状況等当社グループは、お客様との長期持続的な取引関係を構築し、安定的な事業拡大を通じて企業価値を向上していくことを経営目標の一つとしております。そのための経営指標として、取引企業数、一企業あたりの売上高、営業利益伸長率、営業利益率、自己資本当期純利益率を重視し継続的向上に努めます。また配当性向を重視し、安定的な配当の継続を目指します。中・長期経営方針（2023年７月24日）において設定した各経営指標の目標値は、取引企業数伸長率は2.0%、一企業あたりの売上高伸長率は3.0%、営業利益伸長率は6.0%、営業利益率は7.0％以上の定着、自己資本当期純利益率は13.0％以上です。また配当性向は安定的に50％以上となることを目指します。当連結会計年度における取引企業数は29.5万社（前連結会計年度比1.1％増）、一企業あたりの売上高は293万円（前連結会計年度比12.0％増）となり、営業利益伸長率は15.0％、営業利益率は6.4％（前連結会計年度比0.1ポイント増）、自己資本当期純利益率は14.3％（前連結会計年度比1.4ポイント増）となりました。また連結配当性向は53.9％となりました。当社グループは、今後もこれらの経営指標を継続的に向上できるよう努めてまいります。 ② 重要な会計方針及び見積り当社グループの連結財務諸表は、わが国において一般に公正妥当と認められている会計基準に基づき作成されております。この連結財務諸表の作成にあたり、見積りが必要な事項につきましては合理的な基準に基づき、会計上の見積りを行っております。これらの見積りについて過去の実績等を勘案して合理的に判断しておりますが、実際の結果は、これらの見積りと異なる場合があります。この連結財務諸表を作成するにあたり重要となる会計方針については、「第５　経理の状況」に記載されているとおりであります。なお、次の重要な会計方針が連結財務諸表作成に影響を及ぼす可能性があると考えております。 収益の認識ａ．商品当社グループは、システムインテグレーション事業に含まれるコピー機、パソコン、サーバーやソフトウエア等のＳＩ関連商品、及びサービス＆サポート事業に含まれるオフィス機器関連消耗品や事務用品等のサプライ商品について、仕入先から調達しお客様へ提供することを履行義務として識別しており、当該資産に対する支配がお客様へ移転した一時点で収益を認識しております。ただし、当社及び連結子会社の物流センターより出荷される国内販売取引については、当該資産の出荷からお客様へ支配が移転するまでの期間が通常の期間であるため、出荷時点で収益を認識しております。当社グループは通常、顧客の商品の仕様や納期・納品場所の決定に関与し、メーカー又はメーカー指定の販売代理店（以下、「通常の仕入先」という）の中から仕入先を選定し、顧客に納品しております。取引によっては最終顧客に商品が提供されるまでに、複数の企業を経由するものの、商品現物は仕入先から自社を経由せず直送されるものがあります。このような取引の中には、例外的に通常の仕入先以外から仕入れて販売するものがあります。その場合、当社グループでは個別に取引実態を把握し、取引自体の実在性を確かめたうえで商流における自社の役割を特定し、履行義務を識別しそれに応じて本人と代理人の区分の判定を行い、代理人である場合には顧客から受け取る額から仕入先に支払う額を控除した純額で収益を認識しております。 ｂ．役務当社グループは、システムインテグレーション事業に含まれる受託ソフト開発について、１.要件定義 ２.設計 ３.構築 ４.運用準備・移行の４フェーズごとに履行義務を識別し、その単位で契約締結、検収を得ております。ただし、上記に該当する契約のうち、期間がごく短いものについては、完全に履行義務を充足した時点で収益を認識しております。また、サービス＆サポート事業に含まれる保守等の取引については、システムインテグレーション事業で導入した機器やソフトウエア等について、メンテナンスやサポートを提供することを履行義務として識別しております。それらは契約によって一定期間にわたり履行義務が充足されるもの、又は、サービス提供量に応じて履行義務が充足されるものがあり、それぞれに応じて収益を認識しております。ただし、他の当事者が関与しているコピー保守や電気通信など一部サービスについては、当該他の当事者によりサービスが提供されるように手配することが、当社及び連結子会社の履行義務であり、代理人として取引を行っていると判断し、純額で収益を認識しております。 (3)経営成績に重要な影響を与える要因について経営成績に重要な影響を与える要因については、「第２　事業の状況　３．事業等のリスク」に記載しております。
経営上の重要な契約等	 ５ 【経営上の重要な契約等】(1) 技術の提携該当事項はありません。 (2) 仕入及び販売についての主な提携該当事項はありません。 (3) その他の主な業務提携該当事項はありません。 
研究開発活動	６ 【研究開発活動】当社グループにおける研究開発活動については、当社及び研究開発を担当する子会社である株式会社ＯＳＫが主な対象会社となり、当連結会計年度における研究開発費の総額は、1,566百万円であります。なお、研究開発活動については、特定のセグメントに関連付けられないため、セグメント別の記載は行っておりません。 当社グループでは、コンピューターシステムのソフトウエアに関する以下のテーマについて研究開発を行っております。その目的は、新しい情報技術や製品の研究を基礎として、オリジナルのソフトウエア製品に常に新しい技術やクラウドサービス連携など、時流に則した機能を取り入れ、高機能、高品質で先進的な製品を開発し、提供したお客様の生産性向上やＤＸ化促進に寄与することにあります。この他、システムエンジニアのシステムサポート活動の効率アップを図るために、ソフトウエアの生産効率化ツールの開発にも取り組んでおります。①  新しい情報技術や新製品の利用・活用に関する調査研究・ＡＩ画像解析技術を利用したシステムの研究及び開発・各種センサー情報の収集機能及び他システム情報と連携したデータ分析機能の研究及び開発・生成系ＡＩを利用したサービスの研究及び開発②  オリジナルソフトウエア製品の開発・業種・業務パッケージソフトの新製品開発と既存製品の著しい改良・統合グループウエア関連ソフトの新製品開発と既存製品の著しい改良・業務パッケージとグループウエアを統合したソフトの新製品開発と既存製品の著しい改良・統合したソフトに対するＡＩ予測モデル機能実装の研究及び開発・ＡＩ画像解析技術を利用したパッケージサービスの研究及び開発③  受託ソフトウエアの開発における生産性向上、高品質化、標準化のための開発ツールの研究及び開発 
設備投資等の概要	１ 【設備投資等の概要】当連結会計年度の設備投資については、急速な技術革新や市場環境の変化に対応するため、9,085百万円の設備投資を行いました。なお、有形固定資産の他、無形固定資産への投資を含めて記載しております。システムインテグレーション事業では、主に営業支援環境強化、社内インフラ整備などのため3,583百万円の設備投資を行いました。サービス＆サポート事業では、主にネットワークサポートやシステム運用支援などの社内インフラ強化のため5,248百万円の設備投資を行いました。 
主要な設備の状況	２ 【主要な設備の状況】2023年12月31日現在における当社グループの主要な設備は、次のとおりであります。(1) 提出会社2023年12月31日現在事業所名(所在地)セグメントの名称帳簿価額従業員数(人)建物及び構築物(百万円)土地その他(百万円)合計(百万円)面積(㎡)金額(百万円)本社他(東京都千代田区他)システムインテグレーション事業及びサービス＆サポート事業5,290(1,399)3,2259,8512,52317,6652,574首都圏グループ(東京都千代田区他)システムインテグレーション事業及びサービス＆サポート事業4,003(1,698)4,2602,7442777,0252,965関西圏グループ(大阪市福島区他)システムインテグレーション事業及びサービス＆サポート事業894(484)1,2787301041,7291,155支店(名古屋市中区他)システムインテグレーション事業及びサービス＆サポート事業49(568)－－67117835ホテル事業部(静岡県熱海市他)システムインテグレーション事業及びサービス＆サポート事業2,851(2)48,1131,108914,051145物流センター(横浜市金沢区他)システムインテグレーション事業及びサービス＆サポート事業19(3,407)－－2,6792,69939   (2) 子会社2023年12月31日現在セグメントの名称子会社数設備の内容帳簿価額従業員数(人)建物及び構築物(百万円)土地その他(百万円)合計(百万円)面積(㎡)金額(百万円)システムインテグレーション事業２システムインテグレーション事業関連設備115(567)－－135250931サービス＆サポート事業２サービス＆サポート事業関連設備29(215)－－3261777 (注) １．帳簿価額のうち「その他」は、機械及び装置、車両運搬具、器具及び備品並びにリース資産であります。２．提出会社本社他には、本社機能を営む事業所を含んでおります。３．提出会社の首都圏グループ、関西圏グループには、配下の部・支店を含んでおります。４．提出会社の支店には、札幌支店(札幌市中央区)、仙台支店(仙台市宮城野区)、中部支店(名古屋市中区)、京都支店(京都市中京区)、神戸支店(神戸市中央区)、広島支店(広島市中区)、九州支店(福岡市博多区)等を含んでおります。５．提出会社のホテル事業部には、ホテルニューさがみや(静岡県熱海市)、ホテル琵琶レイクオーツカ(滋賀県大津市)、ホテル一宮シーサイドオーツカ(千葉県長生郡)、ホテルいじか荘(三重県鳥羽市)を含んでおります。６．提出会社の物流センターには、物流機能を担う各倉庫を含んでおります。７．主要な賃借設備の年間賃借料を(  )内に外書きで表示しております。８．上記の他、主要なリース設備として、以下のものがあります。(1) 提出会社2023年12月31日現在セグメントの名称内容台数年間賃借料及びリース料(百万円)システムインテグレーション事業及びサービス＆サポート事業車両      2,331台667 　(2) 子会社金額的な重要性がないため記載を省略しております。 
株式の総数	① 【株式の総数】 種類発行可能株式総数(株)普通株式677,160,000計677,160,000  
発行済株式、株式の総数等	② 【発行済株式】 種類事業年度末現在発行数(株)(2023年12月31日)提出日現在発行数(株)(2024年３月27日)上場金融商品取引所名又は登録認可金融商品取引業協会名内容普通株式190,002,120190,002,120東京証券取引所プライム市場単元株式数は100株であります。計190,002,120190,002,120――  
