項目	値
事業の内容	 ２ 【事業の内容】当第１四半期累計期間において、当社が営む事業の内容について、重要な変更はありません。なお、従来は「再生医療関連事業」及び「コンシューマー事業」の二つを報告セグメントとしておりましたが、当第１四半期会計期間より「再生医療関連事業」の単一セグメントへ変更しております。詳細は、「第４　経理の状況　１　四半期財務諸表　注記事項（セグメント情報等）」に記載のとおりであります。 
経営方針、経営環境及び対処すべき課題等	
事業等のリスク	１ 【事業等のリスク】当第１四半期累計期間において、新たな事業等のリスクの発生、または、前事業年度の有価証券報告書に記載した事業等のリスクについての重要な変更はありません。 
経営者による財政状態、経営成績及びキャッシュ・フローの状況の分析	２ 【経営者による財政状態、経営成績及びキャッシュ・フローの状況の分析】文中の将来に関する事項は、当第１四半期会計期間の末日現在において当社が判断したものであります。 (1) 経営成績の分析当第１四半期累計期間は、新型コロナウイルス第３波の流行再拡大により東京都を含む一部都府県に緊急事態宣言が発出されるなどありましたが、当社におきましては、提携医療機関数や加工受託件数は引き続き堅調に伸長、加工受託サービスを中心に売上は順調に拡大いたしました。また、業容拡大やアカデミアとの共同研究の強化などにより人件費、業務委託費、研究開発費を中心にコストも増加いたしましたが、効率的な経営を維持した結果、売上高営業利益率（営業利益率）は改善いたしました。以上の結果、当第１四半期累計期間の売上高は622,683千円（前年同期比40.1％増）、売上総利益は449,245千円（前年同期比41.7％増）、販売費及び一般管理費は269,024千円（前年同期比39.9％増）、営業利益は180,221千円（前年同期比44.6％増）、経常利益は180,813千円（前年同期比46.5％増）、四半期純利益は113,112千円（前年同期比45.9％増）となりました。なお、当社が経営上の主要係数としてモニタリングしている加工受託サービス又はコンサルティングサービスの契約を締結した「提携医療機関数」、脂肪由来幹細胞加工受託サービスと血液由来加工受託サービスを合計した「加工受託件数」及び「営業利益率」の各数値、並びにサービス分類別の売上高は以下のとおりとなっております。  前第１四半期累計期間当第１四半期累計期間前年同期比提携医療機関数（期末）345院653院＋308院加工受託件数1,922件3,067件＋1,145件営業利益率28.0%28.9%＋0.9 point(サービス分類別売上高)   加工受託サービス258,140千円381,331千円＋47.7%コンサルティングサービス36,338千円75,434千円＋107.6%医療機器販売110,044千円135,964千円＋23.6%化粧品販売その他39,905千円29,952千円△24.9%  (2) 財政状態の状況①　資産当第１四半期会計期間末における総資産は2,446,754千円と前事業年度末から94,618千円増加いたしました。これは主に、前渡金の増加などによる流動資産その他が34,412千円増加したこと及び投資その他の資産が31,247千円増加したことによるものであります。②　負債当第１四半期会計期間末における負債は288,073千円と前事業年度末から21,555千円減少いたしました。これは主に、未払法人税等が35,191千円減少した一方で、賞与引当金が15,789千円増加したことによるものであります。③　純資産当第１四半期会計期間末の純資産は、資本金422千円及び資本準備金が422千円増加したことに加え、主に四半期純利益113,112千円の計上により、前事業年度末から116,173千円増加し、2,158,681千円となりました。 (3) 経営方針・経営戦略等当第１四半期累計期間において、当社が定めている経営方針・経営戦略等について重要な変更はありません。 (4) 事業上及び財務上の対処すべき課題当第１四半期累計期間において、当社が対処すべき課題について重要な変更はありません。 (5) 研究開発活動当社の研究開発活動は、主に自家細胞・組織を用いた再生医療に関する臨床応用について、大学や事業会社と共同で実施しており、当第１四半期累計期間における研究開発費の金額は15,411千円であります。 
経営上の重要な契約等	３ 【経営上の重要な契約等】当第１四半期会計期間において、経営上の重要な契約等の決定または締結等はありません。 
研究開発活動	
設備投資等の概要	
主要な設備の状況	
株式の総数	① 【株式の総数】 種類発行可能株式総数(株)普通株式17,280,000計17,280,000 （注）2020年９月10日開催の取締役会決議により、2020年11月１日付で株式分割に伴う定款変更が行われ、発行可能株式総数は11,520,000株増加し、17,280,000株となっております。 
発行済株式、株式の総数等	② 【発行済株式】 種類第１四半期会計期間末現在発行数(株)(2021年１月31日)提出日現在発行数(株)(2021年３月15日)上場金融商品取引所名又は登録認可金融商品取引業協会名内容普通株式6,162,0006,169,800東京証券取引所（マザーズ）完全議決権株式であり、権利内容に何ら限定のない当社における標準となる株式であります。なお、単元株式数は100株であります。計6,162,0006,169,800―― （注）１.2021年２月１日から２月28日までの間に、新株予約権行使により、発行済株式数が7,800株増加しております。２.提出日現在発行数には、2021年３月１日からこの四半期報告書提出日までの新株予約権の行使により発行された株式数は、含まれておりません。 
配当政策	
コーポレート・ガバナンスの概要	
役員の状況	２ 【役員の状況】前事業年度の有価証券報告書提出日後、当四半期累計期間における役員の異動はありません。 
貸借対照表	
損益計算書	
キャッシュ・フロー計算書	
