項目	値
事業の内容	２【事業の内容】　当第３四半期連結累計期間において、当社グループ（当社及び当社の関係会社）が営む事業の内容について、重要な変更はありません。　また、主要な関係会社の異動については、当第３四半期連結会計期間において、当社の持分法適用関連会社であったORTHOREBIRTH株式会社の保有株式の全てを売却したため、持分法適用の範囲から除外しております。 
経営方針、経営環境及び対処すべき課題等	
事業等のリスク	１【事業等のリスク】当第３四半期連結累計期間において、新たな事業等のリスクの発生、または、前事業年度の有価証券報告書に記載した事業等のリスクについての重要な変更はありません。 
経営者による財政状態、経営成績及びキャッシュ・フローの状況の分析	２【経営者による財政状態、経営成績及びキャッシュ・フローの状況の分析】　文中の将来に関する事項は、当四半期連結会計期間の末日現在において判断したものであります。 （１）財政状態及び経営成績の状況①経営成績の状況　当第３四半期連結累計期間における当社グループの業績は、コンシューマーIT製品市場での在庫調整が進みましたが回復途上の状況にあることから、売上高は80,717百万円（前年同期比7.5％減）、営業利益は26,658百万円（前年同期比9.0％減）となりました。　経常利益は、為替差損の増加などにより、23,352百万円（前年同期比14.2％減）となり、親会社株主に帰属する四半期純利益は、16,843百万円（前年同期比9.7％減）となりました。 　各セグメントの業績、ならびに製品カテゴリー別の売上状況は以下のとおりです。 ａ.光学材料部品事業　当第３四半期連結累計期間においては、光学フィルムカテゴリーでは、ノートPC・タブレット市場での在庫調整の影響で、反射防止フィルム及び蛍光体フィルムの販売数量が減少したことにより、減収となりました。　また、光学樹脂材料カテゴリーでは、在庫調整の影響を受けた光学弾性樹脂は売上が減少しましたが、センサーモジュール向けの精密接合用樹脂は新部位採用などにより売上が増加し、カテゴリー全体では増収となりました。　この結果、売上高は39,590百万円（前年同期比14.1％減）、営業利益は12,927百万円（前年同期比20.6％減）となりました。 ｂ.電子材料部品事業　当第３四半期連結累計期間においては、異方性導電膜（ACF）カテゴリーでは、中華圏スマートフォン向け製品を中心に粒子整列型ACF、通常分散型ACFの販売数量がそれぞれ増加したことにより、増収となりました。　また、表面実装型ヒューズカテゴリーでは、電動工具向けにおける顧客の在庫調整の影響により、減収となりました。　マイクロデバイスカテゴリーにおいても、プロジェクター向けにおける顧客の在庫調整の影響により、減収となりました。　光半導体カテゴリーでは、通信分野において売上が減少したことにより、減収となりました。　この結果、売上高は41,619百万円（前年同期比0.1％減）となり、営業利益は15,071百万円（前年同期比4.9％増）となりました。 （注）セグメントの売上高にはセグメント間取引が含まれており、各セグメントの営業利益の合計と連結営業利益の差異はのれん償却額に相当します。②財政状態の状況（資産の部）　当第３四半期連結会計期間末における資産合計は135,074百万円となり、前連結会計年度末に比べ8,694百万円の増加となりました。　流動資産は68,657百万円となり、前連結会計年度末に比べ9,418百万円の増加となりました。その主な要因は、原材料及び貯蔵品が908百万円、その他（流動資産）が1,514百万円それぞれ減少した一方で、受取手形及び売掛金が7,326百万円、現金及び預金が4,725百万円それぞれ増加したことであります。　固定資産は66,416百万円となり、前連結会計年度末に比べ724百万円の減少となりました。その主な要因は、建設仮勘定が1,163百万円、建物及び構築物が348百万円それぞれ増加した一方で、のれんが1,712百万円、機械装置及び運搬具が469百万円それぞれ減少したことであります。 （負債の部）　当第３四半期連結会計期間末における負債合計は50,080百万円となり、前連結会計年度末に比べ2,524百万円の減少となりました。　流動負債は27,905百万円となり、前連結会計年度末に比べ7,169百万円の減少となりました。その主な要因は、支払手形及び買掛金が2,042百万円増加した一方で、未払金が3,917百万円、１年内返済予定の長期借入金が3,851百万円、未払法人税等が2,507百万円それぞれ減少したことであります。　固定負債は22,174百万円となり、前連結会計年度末に比べ4,644百万円の増加となりました。その主な要因は、長期借入金が4,318百万円、その他（固定負債）が262百万円それぞれ増加したことであります。 （純資産の部）　当第３四半期連結会計期間末における純資産合計は84,994百万円となり、前連結会計年度末に比べ11,219百万円の増加となりました。その主な要因は、自己株式が11,436百万円（純資産の増加）、資本剰余金が1,286百万円それぞれ減少した一方で、利益剰余金が1,206百万円増加したことであります。 （２）経営方針・経営戦略等　当第３四半期連結累計期間において当社グループが定めている経営方針・経営戦略等について重要な変更はありません。 （３）事業上及び財務上の対処すべき課題　当第３四半期連結累計期間において当社グループが対処すべき課題に重要な変更はありません。 （４）研究開発活動　当第３四半期連結累計期間における当社グループの研究開発活動の金額は、3,473百万円であります。なお、当第３四半期連結累計期間において当社グループの研究開発活動の状況に重要な変更はありません。 （５）資本の財源及び資金の流動性　当社企業グループの主な資金需要は、運転資金及び設備資金等であります。これらの資金につきましては、営業活動による収入のほか、安定的な支払能力を確保するため、資金繰りの状況や金融情勢を勘案し、銀行からの借入れにより調達しております。　今後も、市場のグローバル化や成長市場における事業強化などへの対応を含め、国内外における設備投資、出資などについても長期的な視野で資金需要を認識しております。　なお、当第３四半期連結会計期間末における借入金の残高は、22,180百万円となっております。また、当第３四半期連結会計期間末における現金及び現金同等物の残高は、34,012百万円となっております。
経営上の重要な契約等	３【経営上の重要な契約等】当第３四半期連結会計期間において、経営上の重要な契約等の決定又は締結等はありません。  
研究開発活動	
設備投資等の概要	
主要な設備の状況	
株式の総数	①【株式の総数】種類発行可能株式総数（株）普通株式100,000,000計100,000,000
発行済株式、株式の総数等	②【発行済株式】種類第３四半期会計期間末現在発行数（株）（2023年12月31日）提出日現在発行数（株） （2024年２月14日）上場金融商品取引所名又は登録認可金融商品取引業協会名内容普通株式61,170,50061,190,500東京証券取引所プライム市場完全議決権株式であり、権利内容に何ら限定のない当社における標準となる株式であります。また、単元株式数は100株であります。計61,170,50061,190,500－－（注）「提出日現在発行数」欄には、2024年２月１日からこの四半期報告書提出日までの新株予約権の行使により発行された株式数は含まれておりません。 
配当政策	
コーポレート・ガバナンスの概要	
役員の状況	２【役員の状況】該当事項はありません。 
貸借対照表	
損益計算書	
キャッシュ・フロー計算書	
