項目	値
事業の内容	 ３ 【事業の内容】当社の企業集団は、当社、連結子会社５社－寺岡製作所（香港）有限公司、寺岡（上海）高機能膠粘帯有限公司、寺岡（深圳）高機能膠粘帯有限公司、神栄商事株式会社、PT. Teraoka Seisakusho Indonesiaで構成され、得意先(ユーザー)に対して粘着テープ類の製造・加工・販売を主な内容とした事業活動を展開しています。当社グループ(当社及び連結子会社)の事業に係わる各社の位置づけ及び事業系統図の概略は次のとおりであります。 当社はその他の関係会社である伊藤忠商事株式会社より、原材料の仕入れを行っております。 当社グループの事業は粘着テープの専業でありますが、この内容を製品部門別に区分しますと次のとおりであります。製品部門別主要製品梱包・包装用テープ布粘着テープ(オリーブテープ）クラフト粘着テープ(カートンテープ）ポリプロピレンフィルム粘着テープ(パックテープ等)電機・電子用テープポリエステルフィルム粘着テープアセテートクロス粘着テープコンビネーション粘着テープポリイミド粘着テープポリプロピレンフィルム粘着テープメタアラミド粘着テープガラスクロス粘着テープ導電性シールド粘着テープエポキシ樹脂含浸テープ熱伝導性両面テープフィルム両面テープ発泡体両面テープ等産業用テープポリエチレンクロス粘着テープ(P-カットテープ)養生布テープ不織布両面テープ標示用テープ気密防水用テープ表面保護シート等 (注)　上表には商品を含みます。
経営方針、経営環境及び対処すべき課題等	１ 【経営方針、経営環境及び対処すべき課題等】　文中の将来に関する事項は、当連結会計年度末現在において、当社グループが判断したものであります。 　当社グループは以下に掲げる項目を重点的な経営課題及び方針として取り組んでまいります。 ①収益の増強およびコストの削減  (a)収益の増強厳格な原価管理を行うことにより、積極的な製品拡販と不採算製品の収益改善あるいは解消を目指します。また、長期在庫を早急に解消し全社的な在庫管理の徹底を図るとともに、粘着テープ新製品上市・販売及び派生新ビジネス推進により、黒字化そして収益拡大を実現いたします。  (b)コストの削減調達部及び情報システム部を経営直轄とし、喫緊の全社的課題である原材料コストの削減と全社生産性向上の実現を図ります。また、技術部門内にコストダウン推進室を設置し、工場の原価低減を特に加速させ、同時に外注している業務・製品のグループ内製化により製造コスト削減を徹底いたします。 ②安全健康衛生活動の浸透　安全衛生が経営の最優先課題であることを明確にするとともに、労働災害の撲滅に全社をあげて取り組んでまいります。各工場と密に連携を取ることにより、安全・健康・衛生活動の実効性を確保するとともに、当該活動の全社水平展開を推進することで、労働安全を確保するための各種取り組みが企業収益に繋がる投資であることを全社組織及び全役職員に浸透させるよう取り組みます。 ③コンプライアンス態勢の強化　企業風土改革の一環としてコンプライアンス（法令の遵守・企業倫理）態勢の強化を重要な経営課題の一つとしてとらえ、コンプライアンス委員会活動を通じた全社的かつ積極的な取り組みを行うほか、研修やeラーニングによる全社教育などを継続して行うことにより全役職員のコンプライアンス意識の底上げを行ってまいります。また、コーポレートガバナンス体制の強化にも務め、社会規範と企業倫理に則り、経営の透明性と健全性を高めてまいります。 ④人的資本の拡充　持続的に企業価値を向上させると共に経営戦略を実現するためには、当社で働く社員一人ひとりが強い社員となり、社員が自律的にキャリアを積み上げることができる仕組み、即ち経営戦略と人材戦略の連動が不可欠です。強い社員とは、人材市場において高い価値を身に付けた人であり、そのような人材を育て、その層を厚くすることは、人的資本を拡充することにつながります。当社では、人事情報基盤の整備を進める中で、新たにワークエンゲージメント調査を導入し、組織の強みや課題を可視化した上で、その拡充に向け効果的な施策を講じワークエンゲージメントの向上を図り、生産性の向上、職務への満足度向上、顧客満足度の向上へ繋げてまいります。また、中長期のキャリアプランや能力開発の取組みを上司・部下間で共有し人材育成に活用する制度や、人事総務部、或いは各事業部門が主催する重層的な研修制度を整えてまいります。 ⑤サステナブルな社会に資する環境技術・製品の導入・開発　地球環境問題への配慮の観点から、環境保全への取り組みを企業経営の最重要課題の一つと位置づけ、環境管理委員会を設置し環境方針を制定すると共に様々な環境施策を実施しております。具体的な取り組みとしては、地球温暖化防止等に向けた、茨城工場におけるコジェネレーションによる省エネの促進及び温暖化ガスの大幅削減、最新鋭の溶剤回収設備によるVOC及び温暖化ガス抑制が挙げられます。一方で、植物由来テープ（バイオマス）、生分解性テープ、リサイクル素材テープ等の開発に取り組むことで、サステナブルな社会に貢献する環境技術・製品の開発を進めております。 ⑥外的要因に基づくリスクへの対応　資源価格高騰による製造原価の上昇や、地政学上のリスク顕在化に起因する燃料高騰に対応するため、ものづくり改革を確実に実行することで、生産性向上と原価低減を徹底的に推進してまいります。また、外貨建債権の為替相場変動による評価損益を一定程度にとどめるため、為替のヘッジ取引をはじめとした措置を機動的に講じてまいります。 
事業等のリスク	 ３ 【事業等のリスク】当社グループは、事業等のリスクにつきましては、組織横断的に対応することとしておりますが、現時点において当社グループの経営成績及び財政状態に影響を与える可能性があり、また投資家の判断に一定の影響を与える主なリスク情報は以下の通りであります。当社グループでは、これらのリスクの具体的な所在、或いは潜在性を認識したうえで、その顕在化の回避に取り組み、また顕在化した場合には適切な対策を講じてまいります。本項においては以下に記すリスクは、当連結会計年度末現在において判断したものであり、また、これらのリスクは当社グループの事業上のリスク全てを網羅するものではありません。 （１）市況・相場の変動に起因するもの当社グループが手掛ける製品は、石油、天然ゴム等、様々な要因によりその時々の商品市況が大きく変動する原料を多用しているため、今後の需給動向によっては、予期せぬ調達難による生産活動面の支障が発生する可能性は排除できません。また、資源価格の高騰やサプライチェーンの目詰まり感、高インフレ、さらにはロシアのウクライナ侵攻による地政学リスクやエネルギー供給不安等により、燃料・原材料価格が更に上昇することも考えられ、これらは当社グループの経営成績及び財政状態に影響を及ぼす可能性があります。　また当社は、仕入取引及び販売取引のより円滑な取引に資するとの観点より、従来から上場取引先の株式を一定量保有しておりますが、株式市場において予想を超えた価格変動が生じることにより評価損を計上するリスクが考えられ、これらは当社グループの経営成績及び財政状態に影響を与える可能性があります。 （２）退職給付債務に起因するもの当社グループの主な従業員退職給付費用及び債務は、割引率等の年金数理計算上で設定される前提条件や年金資産の期待運用収益率等に基づいて算出されるため、将来的に運用環境の悪化等の事象が現れ、運用成績が極端に悪化した場合、その影響は将来にわたって規則的に認識されるため、当社グループの経営成績及び財政状態に影響を及ぼす可能性があります。 （３）マーケットの変化及び技術革新に起因するもの当社グループは、たゆまぬ技術革新に努め、高品質かつ高付加価値の製品群を市場に送り出しておりますが、当社グループ製品が関連する電子・情報分野などのマーケットは、技術革新のスピードが極めて速いため、将来にわたりマーケットの動向を正確に予測し、それに対応した技術開発を行っていくことは容易ではありません。短期間に製品価格が大幅に下落したり、製品のライフサイクルが極端に短くなったりした場合や、当社の予想を大幅に超えた状況が出現した場合、当社グループの経営成績及び財政状態に影響を及ぼす可能性があります。 （４）製造物責任に起因するもの当社グループは、製品の品質については細心の注意を払いつつ生産を行うと共に、厳格な品質管理に努めておりますが、製品の品質に起因する製造物賠償責任などが生じた場合、当社グループ及びその製品に対する信頼が毀損されることとなり、またPL保険の適用を超える賠償責任を負うような場合、当社グループの経営成績及び財政状態に影響を及ぼす可能性があります。 （５）環境問題および特有の法的規制に起因するもの当社グループは、地球環境保護を企業の社会的責任と認識し、経営上の重要課題として取り組んでおります。当社グループが手掛ける製品群には、各種化学物質が用いられているため、環境に関する法令を遵守すると共に、地球温暖化防止に向けた省エネルギー経営や環境負荷物質の排出抑制にも努めております。しかしながら、予想を超えるような厳しい環境保護規制が将来施行されることにより、事業活動が制約を受けた場合、これに対応するための新たな設備投資が必要となること等により、当社グループの経営成績及び財政状態に悪影響を及ぼす可能性があります。  （６）為替変動に起因するもの当社グループは、製品および原材料の一部を外貨建で取引しているため、その回収・支払に当たり外国為替相場変動の影響を受けます。現状、外貨建債権額から外貨建債務額を差し引いた、当社グループにおける為替のネットポジションは限定的であり、また主要通貨の厳格なポジション管理、或いは有効なヘッジを行うこと等により、為替変動リスクを極小化するよう努めておりますが、想定外の為替相場変動が生じた場合や、外貨建輸出が増大し外貨ポジションが大きく膨らんだ場合、当社グループの経営成績並びに財政状態に悪影響を及ぼす可能性があります。また、当社から子会社に対し実行している外貨建貸付金についても、為替相場の変動により上記同様に差損益が発生することから、当社グループの経営成績及び財政状態に悪影響を及ぼす可能性があります。 （７）海外事業に起因するもの当社グループは、中国の香港特別行政区、上海、深圳、インドネシア、及び台湾において現地法人などの拠点を展開しており、当該拠点を取り巻く様々なリスクを早期に察知するよう鋭意努めておりますが、予期しがたい政治的、社会的あるいは経済的な要因に基づく、テロ・戦争・内乱などの勃発や、法制・税制や各種規制の変更等事業の継続を阻害する事象が発生した場合、当社グループの経営成績及び財政状態に悪影響を及ぼす可能性があります。 （８）自然災害等に起因するもの当社グループは、火災等の事故や自然災害による損害の極小化を目的とした事業継続計画を策定している他、各種の安全対策を実施しております。生産拠点は静岡県、栃木県、茨城県及びインドネシアに所在し、一定程度のリスク分散は図られておりますが、予測を超える大規模な地震その他自然災害の影響は、当社グループの生産、販売等に及ぶのみならず、原材料調達難、物流等のインフラ機能低下をもたらすことにより、当社グループの経営成績及び財政状態に悪影響を及ぼす可能性があります。 （９）貸倒れに起因するもの当社グループにおいては、債権管理を厳格に行っておりますが、内外の景気後退、金融逼迫、販売先の信用力の急激な低下などが生じた場合には、予想外の貸倒れが発生することが考えられ、当社グループの経営成績及び財政状態に悪影響を及ぼす可能性があります。 （10）重要な訴訟事件等について当連結会計年度において、当社グループに重大な影響を及ぼす訴訟等は提起されておりませんが、将来、重要な訴訟等が発生し、当社グループに不利な判断がなされた場合には、当社グループの経営成績及び財政状態に悪影響を及ぼす可能性があります。 
経営者による財政状態、経営成績及びキャッシュ・フローの状況の分析	４ 【経営者による財政状態、経営成績及びキャッシュ・フローの状況の分析】当連結会計年度における当社グループの財政状態、経営成績及びキャッシュ・フロー（以下、「経営成績等」という。）の状況の概要並びに経営者の視点による当社グループの経営成績等の状況に関する認識及び分析・検討内容は次のとおりであります。 （1）経営成績当連結会計年度におけるわが国経済は、個人消費については緩やかに回復基調となったものの、資源高や急激な円安を背景とした原材料及び燃料コストの大幅な増加により、製造業を取り巻く環境としては大変厳しいものとなりました。３月の日銀の全国企業短期経済観測（短観）における大企業製造業の業況判断指数（DI）は前回調査対比△６％ポイントと５四半期連続で悪化し、原材料高を受けた素材業種の景況感が低迷するなど、先行き不透明感が強まっています。一方、世界経済に目を移すと、欧米においても、個人消費は底堅く推移しているものの、長引くロシアのウクライナ侵攻による資源高、原料高等、高インフレが景気回復の重石となっています。また、中国においては、ゼロコロナ政策転換により１～３月の実質国内総生産（GDP）は前年同期比4.5％増と１年振りの高い伸びとなりましたが、サービス消費の増加とは対照的に、自動車や家電、通信機器など耐久財の消費は振るわず、中国においても製造業を取り巻く環境は大変厳しいものとなっています。このような経営環境のなか、当社グループにおいては、第３四半期までの計画未達を巻き返すべく販売拡大に注力したものの、販売主要マーケットのひとつである中国市場の需要が年明け以降さらに悪化したこと、自動車や電子部品の生産落ち込みなどによりテープの販売が低調のまま推移し、売上高は前年同期と比べ大幅に減少しました。利益面では、値上げによる採算改善及び販管費を中心にコスト削減をおこなったものの、資源高や円安に伴う原材料価格及び燃料価格が更に高騰したことに加えて、第４四半期会計期間に長期不動在庫の処分をおこなったこと等により、利益面でも極めて厳しい結果となりました。また、当社グループにおいては、連結子会社であるPT.TERAOKA SEISAKUSHO INDONESIA（以下PTI）の固定資産について帳簿価格を回収することは困難との判断に至り、固定資産の減損損失を特別損失として24億37百万円計上しました。2011年に設立したPTIは、ASEANをはじめ旺盛な需要を呈する新興市場の開拓、当時１USドル＝80円台の水準にあった円高リスクの回避を目的とした、当社グループ初の本格的な一貫生産体制を擁する海外工場として、2012年より稼働を開始しました。しかしながら、近年においては急激な円安の進行や、世界シェアにおける日系電機メーカーの世界シェア低下等、さまざまな外部環境の変化により、設立当初の目的達成が困難と判断し、前述の減損損失計上に至りました。この施策は、今後の成長に向けて、潜在的なリスクを先送りせず、将来の事業計画を保守的かつ慎重に検討した結果であり、PTIは今後も為替リスク回避をはじめ、グループ内において重要性の高い生産拠点として戦略的に活用していく所存です。その結果、当連結会計年度の売上高は193億17百万円（前年同期比14.2%減）、営業損失は16億90百万円（前年同期は１億34百万円の営業利益）、外貨建て債権債務にかかる為替関係の損益を差し引きで１億62百万円計上したものの、経常損失は14億21百万円（前年同期は３億70百万円の経常利益）、所有不動産の有効活用・資産の入れ替えの一環として固定資産売却益１億50百万円を計上したものの、PTIの固定資産の減損損失を計上したことにより親会社株主に帰属する当期純損失は36億７百万円（前年同期は１億62百万円の親会社株主に帰属する当期純利益）となりました。 当社グループは、粘着テープの製造・販売を行っておりますが、製品部門別の売上高状況は以下の通りです。 （梱包・包装用）　巣ごもり需要の一巡によりホームセンター向け需要は低調に推移しましたが、輸出取引が復調したため、当製品部門の売上高は26億68百万円（前年同期比9.2％減）となりました。 （電機・電子用）　半導体不足の影響により、モバイル機器用テープが低調に推移しましたが、電子部品用テープの需要が堅調に推移したため、当製品部門の売上高は94億１百万円（前年同期比22.9％減）となりました。 （産業用）　ホームセンター向けポリエチレンクロステープが低調に推移しましたが、オフィス用、インフラ・建築関連の需要が回復したため、当製品部門の売上高は72億48百万円（前年同期比1.8％減）となりました。 （生産、受注及び販売の実績）当社グループの事業は、粘着テープの製造・販売の単一セグメントでありますが、生産、受注及び販売の実績につきましては、製品部門別に記載しております。  ①生産実績当連結会計年度における実績は、以下のとおりであります。粘着テープ事業製品部門金額（百万円）前期比（％）梱包・包装用テープ2,305△9.5電機・電子用テープ8,708△13.9産業用テープ7,190+5.7合計18,204△6.5 （注）金額は販売価格で表示しております。 ②受注実績当社グループは主として見込生産によっております。受注実績に重要性が乏しいため、記載を省略しております。 ③販売実績当連結会計年度における実績は、以下のとおりであります。粘着テープ事業製品部門 前期比(％）金額(百万円） 梱包・包装用テープ（180）△9.22,668電機・電子用テープ（5,317）△22.99,401産業用テープ（208）△1.87,248合計（5,706）△14.219,317 （注）（　）内の数字は海外売上高であります。  （2）財政状態当連結会計年度末の総資産は、前連結会計年度末と比べ12.9%減少し326億30百万円となりました。流動資産は、前連結会計年度末と比べ11.2%減少し161億70百万円となりました。これは、主として売上債権の減少によるものです。固定資産は、前連結会計年度末と比べ14.5%減少し164億60百万円となりました。これは、PTIの固定資産について減損損失を計上したことによるものです。当連結会計年度末の負債合計は、前連結会計年度末と比べ17.1%減少し69億22百万円となりました。流動負債は、前連結会計年度末と比べ20.2%減少し50億60百万円となりました。これは、主として設備関係の債務の減少によるものです。固定負債は、前連結会計年度末と比べ7.5%減少し18億61百万円となりました。これは、主として繰延税金負債の減少によるものです。当連結会計年度末の純資産合計は、前連結会計年度末と比べ11.6%減少し257億８百万円となりました。これは、主として親会社株主に帰属する当期純損失の計上及び剰余金の配当によるものです。以上の結果、自己資本比率は78.8%（前連結会計年度末77.7%）となりました。 （3）キャッシュ・フローの状況当連結会計年度末における現預金及び現金同等物（以下「資金」という）は、前連結会計年度末と比べ１億73百万円減少し46億40百万円となりました。（営業活動によるキャッシュ・フロー）営業活動によるキャッシュ・フローは、７億25百万円の増加（前年同期は57百万円の減少）となりました。これは、主に売上債権の回収によるものです。（投資活動によるキャッシュ・フロー）投資活動によるキャッシュ・フローは、７億42百万円の減少（前年同期は31億87百万円の減少）となりました。これは、主に有形固定資産の取得によるものです。（財務活動によるキャッシュ・フロー）財務活動によるキャッシュ・フローは、２億66百万円の減少（前年同期は１億９百万円の増加）となりました。これは、主に配当金の支払いによるものです。 資本の財源および資金の流動性については、以下のとおりとしております。①資金需要当社グループの資金需要のうち主なものは、当社グループ製品の製造のための材料や部品の購入および新製品生産や増産対応等にかかる設備投資によるものであります。②財務政策当社グループは現在、運転資金および設備投資資金については、主として自己資金を充当することとしております。また、連結子会社で資金が必要な場合には、目的、資金使途等により、グループ会社間融資又は銀行借入を行っております。なお、当連結会計年度末の連結借入金総額は、７億24百万円となりました。当社グループは財務の健全性を保ち、営業活動によるキャッシュ・フローを生み出すことによって、当社グループの将来必要な運転資金および設備投資資金を調達することを主眼としております。 （4）重要な会計上の見積り及び当該見積りに用いた仮定当社グループの連結財務諸表は、わが国において一般に公正妥当と認められている会計基準に基づき作成されております。この連結財務諸表の作成にあたって、資産、負債、収益及び費用の報告額に影響を及ぼす見積り及び仮定を用いておりますが、これらの見積り及び仮定に基づく数値は実際の結果と異なる可能性があります。 
経営上の重要な契約等	 ５ 【経営上の重要な契約等】該当事項はありません。 
研究開発活動	６ 【研究開発活動】当社グループは、コア技術である材料開発技術、製造技術を進化させ、お客様の課題に対する最適な解決策を提案し、製品企画力の向上させることを研究開発の基本方針とし、営業/製造部門と連携して開発活動を行っています。主に、粘・接着シートをベースとする新製品開発、新規機能材料開発、新規製造方法開発および新規技術導入を、短期および中長期両視点での活動を柱としており、環境負荷物質の低減、センシング分野およびEV分野における新技術・新製品の開発を行っていきます。また、新技術開発のみならず、研究開発員がお客様の元に積極的に足を運び、より価値ある技術および製品提案を実施して参ります。当連結会計年度における研究開発費は、961百万円（連結売上高比５％）となりました。単一セグメントのためセグメントごとの記載を省略しております 当連結会計年度の主な研究開発の成果は、下記のとおりであります。このうち※を付した製品は、有機溶剤の意図的添加が無い製品です。 環境インフラ分野・抗菌フィルムテープNo.9495A（0.06）を製品化・インドネシア工場生産新規布テープNo.1539クリーム、白、黒を製品化（※）・グリーン購入法適合バイオマス布テープNo.169を製品化（※）・養生用テープNo.4150を製品化・ビニルハウス補修用No.4170を製品化 モビリティ分野・排ガス装置製造工程用テープNo.6251、No.6271を製品化・自動車内装材テープNo.9102の製品化・外装部品固定用テープNo.7816 0.8の製品化・車載ディスプレイ固定用テープNo.7861 0.3の製品化・結束用非ハロゲン系アラミドテープNo.5670U#2、#3（UL規格取得品）を製品化・PFOSおよびPFOA不使用無溶剤型構造接着用テープNo.7831、7832の開発（※）・駆動系の絶縁性と接着性を担保する接着シートNo.5160の開発 モバイル分野・大型ディスプレイ固定用遮光性易解体テープNo.7893 0.9を製品化・高温および高湿下で接着力に優れた基材レステープNo.7030を製品化 電池分野・電気化学特性に優れたテープNo.4674を製品化・電気化学特性に優れた薄膜テープNo.669#12の開発 電子部品分野・当社インドネシア工場生産品の開発・半導体製造工程に使用可能な微粘着テープNo.6539を製品化・安価ポリイミドシリコーン系テープNo.650T、No.760Tを製品化・難接着材料に貼り付け可能なシリコーン系テープNo.70821を製品化・高温雰囲気下で接着力が低下しにくい熱接着テープNo.6251の開発・非ハロゲン系粘着剤を用いた絶縁テープの開発・再剥離性と固定力に優れたゴム系テープNo.6441#38青、No.6442#38青を製品化
設備投資等の概要	１ 【設備投資等の概要】　提出会社の重要な設備の取得事業所名設備の内容金額（百万円）函南工場粘着テープ製造設備（注）１21佐野工場〃64茨城工場〃139本社、研究センター他研究開発設備他（注）２308合計 533 （注）１．主に、省力化及び合理化を目的とした投資であります。２．主に、研究開発設備の拡充を目的としたものであります。  
主要な設備の状況	２ 【主要な設備の状況】（1）提出会社2023年３月31日現在事業所名(所在地)設備の内容帳簿価額（百万円）従業員数（名）外〔臨時従業員〕建物及び構築物機械装置及び運搬具土地(面積千㎡)リース資産工具器具備品その他合計函南工場（静岡県田方郡函南町）粘着テープ製造設備8440150(35)－11929735〔－〕佐野工場(栃木県佐野市)〃971451106(64)15740221,748129〔4〕茨城工場（茨城県北茨城市）〃1,6301,9501,076(79)－139244,82193〔1〕本社、研究センター他（東京都品川区）研究開発設備他244522,166(12)－1756933,332264〔1〕 （注）帳簿価額のうち「その他」は、建設仮勘定、無形固定資産の合計であります。 （2）在外子会社2023年３月31日現在会社名所在地設備の内容帳簿価額（百万円）従業員数(名)外〔臨時従業員〕建物及び構築物機械装置及び運搬具土地(面積千㎡)工具器具備品その他合計PT.TeraokaSeisakushoIndonesiaインドネシア共和国西ジャワ州カラワン県粘着テープ製造設備387314426(47)5291,163136〔5〕 （注）帳簿価額のうち「その他」は、建設仮勘定、無形固定資産の合計であります。　
株式の総数	① 【株式の総数】 種類発行可能株式総数(株)普通株式80,000,000計80,000,000  
発行済株式、株式の総数等	② 【発行済株式】 種類事業年度末現在発行数(株)(2023年３月31日)提出日現在発行数(株)(2023年６月23日)上場金融商品取引所名又は登録認可金融商品取引業協会名内容普通株式26,687,95526,687,955東京証券取引所(スタンダード市場)単元株式数は100株であります。計26,687,95526,687,955－－  
