項目	値
事業の内容	 ３ 【事業の内容】当社および当社の関係会社（連結子会社35社、関連会社４社）が営んでいる主な事業は、道路舗装に関する製品、技術、工事等を幅広く提供する事業活動を展開しております。当社グループの事業に係わる会社の位置付けおよびセグメントとの関連は、次のとおりであります。なお、セグメントと同一の区分であります。(1)　アスファルト応用加工製品事業当社は、アスファルト乳剤、改質アスファルト等の製造・販売を行っております。また、連結子会社および海外関係会社の一部は、当社の製品を販売しております。(2)　道路舗装事業当社および連結子会社日瀝道路㈱他32社ならびに海外関係会社の一部は、舗装工事および防水工事等の請負を行っております。(3)　その他当社および連結子会社の一部は、不動産の賃貸を行っております。また連結子会社安全開発㈱は、当社グループの損害保険代理業等を行っております。当社グループの事業の系統図は、次のとおりであります。   
経営方針、経営環境及び対処すべき課題等	１ 【経営方針、経営環境及び対処すべき課題等】文中の将来に関する事項は、当連結会計年度末現在において、当社グループが判断したものであります。当社グループは、「道」創りを通して社会に貢献するため、◇ 優れた機能とコストを満足する道路舗装材料ならびに工法の提供　◇ 国民の共有資産である「道」をいつも見守る高度なコンサルティング　◇ 顧客から信頼される施工技術これらを完全に一体化し、株主をはじめ幅広い顧客の皆様から信頼される「道」創りになくてはならない収益性に優れた企業グループであり続けるとともに、社員一人ひとりが能力を発揮でき、働きがいのあるグループであることを経営理念としております。この理念を遂行するために、法令を遵守するとともに環境保全、安全に十分配慮することを基本といたします。当社グループの企業文化そのものとなっている『種を播き、水をやり、花を咲かせて実らせる』、たゆみない努力の積み重ねによって絶えず新しい仕事を創造していく「種播き精神」と経営理念をあわせて“企業理念”と位置づけております。当社グループを取り巻く事業環境につきましては、国や地方自治体の予算動向を見ますと、防災・減災、国土強靭化対策等の施策継続により、公共事業が高い水準で推移することが期待されます。一方、原油や資材の価格動向、為替相場の動向等は、大きな経営リスクとして、引き続き注視を要するものと考えております。こうした事業環境の中、しっかりとした原価管理と、原価の変動に合わせた柔軟な営業戦略が次期連結会計年度における重要課題であると考えております。このような事業環境の中、当社グループは中期経営計画『しなやか２０２５』を強力に推進し、迅速かつ的確な意思決定のもと、直面する様々な変化にしなやかに対応していくことで、高い成長性とＥＳＧ重視を兼ね備えた持続可能な企業グループを目指してまいります。本計画の概要は以下のとおりであります。中期経営計画『しなやか２０２５』の概要（１）計画期間２０２１年度～２０２５年度[５か年]（２）経営環境当社グループを取り巻く経営環境として以下の点があげられます。①公共投資、政府の施策動向（防災・減災、国土強靭化対策等）による影響②自然災害、感染症等による経済への影響③原材料価格の変動および供給動向④自動運転社会やDXがもたらす新しい社会への対応⑤脱炭素社会など環境変化への対応⑥企業の社会的責任（ESG・SDGs等）の増大⑦新たな働き方、労働力人口の減少、高齢化等への対応 （３）基本方針『しなやか２０２５』～組織レジリエンスの高い企業へ～大規模かつ速い速度で進行していくことが想定される様々な環境変化に対して、迅速かつ的確な意思決定のもと、組織が一丸となってしなやかな対応を図り、持続可能な企業グループへと成長していきます。（４）重点施策重点施策を以下に示します。①市場の拡大と深耕、そして市場への定着・『しなやか２０２５』においても市場の拡大と深耕を継続的に行い、顧客と市場に対して、自社開発・製造の製品・工法をしっかり定着させていきます。・長寿命、リサイクル、CO2削減、安全などの性能・機能を有する環境に優しい自社開発・製造の製品・工法の販売を推進していきます。②研究開発力の強化と生産性の向上・様々な環境変化に対応するため、他分野における新技術およびデジタル技術を積極的に取り込み、自社技術を発展させることで、革新的な製品・工法の開発に取り組んでいきます。・人やモノの有機的なつながりを強化し、グループ全体の生産性を向上させていきます。また、サプライチェーン・マネジメントの考え方を取り入れた物流ネットワークの整備構築を図っていきます。③グループ経営基盤の強化・企業の社会的責任を果たし、いかなる環境下でも企業価値の継続的な向上を実現できるよう強靭な財務・経営基盤を構築していきます。・更なる成長に向けて、持続的な成長を支える人材の開発と育成を推進していきます。・ICTの整備・拡充とDXを推進し、職場環境の改善と業務効率化を図っていきます。④脱炭素社会実現への環境投資促進・将来への布石として、茨城県つくばみらい市に環境に配慮した先進的な生産物流基地を建設することで、脱炭素社会への移行に向けた取り組みを加速させていきます。・グループ保有車両のハイブリッド車への更新、既存建物や設備の改修によるエネルギー消費量の減少に努めていきます。  （５）本計画の経営数値目標本計画の最終年度の数値目標を以下に示します。連結売上高　　　　　　８６,０００百万円連結営業利益　　　　　１０,０００百万円連結経常利益　　　　　１０,２００百万円ＲＯＩＣ（投下資本利益率）　　８.０以上ＲＯＡ（総資産当期純利益率）　６.０以上 
事業等のリスク	 ３ 【事業等のリスク】当社グループの経営成績および財政状態に影響を及ぼす可能性が考えられる主な事業リスクは、次のようなものがあります。(1)　原材料価格の変動および供給動向アスファルト応用加工製品事業では製品の主原材料であるストレートアスファルトおよび副資材は原油を原料としているため、原油価格に大きく依存しております。原油価格が高騰し、諸原材料の値上がり相当分を製品販売価格に転嫁できない場合、あるいは諸原材料が安定的に供給されない事態が生じた場合には、業績に影響を及ぼすことが考えられます。当社グループでは、本社生産部において、原材料の調達リスクについて随時モニタリングを行い、また、原材料の調達動向を、毎月、業務執行取締役により構成される経営戦略会議に報告し方針を決定する等、購買対策の推進や製品販売価格への転嫁等を早期に推進することができる体制を整備し、影響を最小限に留めるよう努めております。(2)　公共事業の動向道路舗装事業では公共事業の占める割合が高いため、国および地方公共団体の財政状態による公共事業予算の削減ならびにコスト縮減や予算執行状況等によっては、業績に影響を及ぼすことが考えられます。当社グループでは、財政事情による影響を小さくするために、国や各地方公共団体が抱えるインフラ整備の課題の詳細分析に努め、「長寿命化・高性能化」、「環境負荷低減」などに資する製品・工法の設計・受注活動を推進し、主力である道路に加えて、空港・港湾・鉄道・公園等の分野でも需要を掘り起こし、市場の拡大を進めております。(3)　価格競争の激化市場の価格競争がさらに激化し製品販売価格、工事受注価格が下落した場合には、業績に影響を及ぼすことが考えられます。当社グループでは、高付加価値製品および工法の開発により価格競争による影響の緩和に努めるとともに、製造や施工に係るコスト削減に取り組み、価格低下による業績への影響を最小限に留めるよう努めております。(4)　信用リスク急激な事業環境の変化等により、取引先に信用不安が発生した場合には、業績に影響を及ぼすことが考えられます。当社グループでは、信用調査専門会社の活用や信用モニタリング会議の開催等を通して、取引に際して与信・債権管理を徹底し、信用リスクの軽減に努めております。(5)　カントリーリスク海外事業を進めているため、その国の政治・経済情勢の変化、予期せぬ法律・規制の変化が業績に影響を及ぼすことが考えられます。当社グループでは、本社海外事業部・中国事業部と法務・コンプライアンス部が協議して個別案件ごとに適切なリスク回避策を講じるとともに、海外事業の進捗状況やトラブルの有無、進出国の社会情勢や法律・規制の改定等を情報共有し、必要な対策を講じております。 (6)　情報セキュリティ当社グループは、様々な情報システムを使用して事業活動を行っており、その重要性が高まっています。そのため、ウイルス感染等による大量のデータ逸失、情報漏えい、システム障害等が発生した場合には、業績に影響を及ぼすことが考えられます。当社グループでは、情報漏えい防止対策として、機密データのアクセス制限、持ち出し可能媒体の使用制限及び従業員への情報セキュリティ教育を徹底しております。また、情報セキュリティ上の被害が発生した場合に備え、事業リスク管理委員会を中心として迅速に復旧にするための体制を構築するとともに、グループ全体を対象としたサイバー保険に加入しております。(7)　自然災害、感染症等のリスク大規模な自然災害や感染症等が発生した場合、当社グループの事業活動が縮小されるなど、業績に影響を及ぼすことが考えられます。当社グループでは、地震・台風等の自然災害や感染症発生に備え、ＢＣＰ管理規程（事業継続計画管理規程）および防災対策規程といったグループ内規程を整備しております。また、従業員に対する自然災害時の安否確認システムを導入しております。災害等が発生した際には、事業リスク管理委員会に情報を集約した上で、状況によっては、代表取締役社長を長とする災害対策本部を設置して対応に当たることにしております。(8)　法的規制等によるリスク建設業法、独占禁止法、労働安全衛生法等の関連法令による法的規制を受けており、法的規制による行政処分等が生じた場合には、業績に影響を及ぼすことが考えられます。当社グループでは、本社法務・コンプライアンス部と安全品質環境部がコンプライアンスや安全衛生関係の教育をする機会を作り、グループ役職員への周知徹底を行う等、法的規制による行政処分等の発生リスク軽減に努めております。 なお、上記のリスクは、当連結会計年度末現在において判断したものであり、当社グループのすべてのリスクを表したものではございません。
経営者による財政状態、経営成績及びキャッシュ・フローの状況の分析	 ４ 【経営者による財政状態、経営成績及びキャッシュ・フローの状況の分析】(1)　経営成績等の状況の概要当連結会計年度における当社グループ（当社及び連結子会社）の財政状態、経営成績及びキャッシュ・フロー（以下「経営成績等」という。）の状況の概要は次のとおりであります。①　財政状態及び経営成績の状況当連結会計年度における我が国経済は、新型コロナウイルス感染症の分類が５類感染症に移行され、経済活動が次第に正常化する展開となりました。資源価格高騰や円安進行等による物価上昇というマイナス要因もありましたが、国内企業が高い賃上げ率を実現させる動きを見せたこともあり、我が国経済の先行きに対する強気な見方が広がったことから、日経平均株価が史上最高値を更新する等、景気のバロメーターとも言われる株式相場は総じて好調に推移してまいりました。ただし、2023年のドイツの実質経済成長率がマイナスとなる等、主要国の経済成長率は必ずしも高いものではなく、また、中国の景気に対する慎重な見方が一段と広がる等、依然として先行きの不透明感が払拭し切れない状況が続いております。当社グループを取り巻く事業環境につきましては、防災・減災、国土強靭化対策など建設需要の高まり等を背景に公共投資は底堅く推移しているものの、2023年４月の統一地方選挙による発注遅延等の影響を受けました。また、名目ベースでの公共事業予算は相当額が確保されていましたが、工事単価上昇に伴う実質ベースでの伸び悩み、人手不足や2024年問題への先行対応等による工事進捗への影響、原油価格の高止まりや円安等による原材料高等、当社グループの事業にとって下押し要因となるものも多く、厳しい状況で推移しました。このような事業環境の中、当社グループは、迅速かつ的確な意思決定のもと、組織一丸となって持続可能な企業グループとして成長していくことを目指し、３年目となる中期経営計画『しなやか２０２５』に掲げた各施策に取り組んでまいりました。当連結会計年度の業績につきましては、長寿命の高付加価値製品の設計・受注活動やICT技術を活用した調査・工法などを推し進めてきた結果、売上高は73,832百万円（前期比5.8％減）、営業利益は6,019百万円（前期比20.4％減）、経常利益は6,390百万円（前期比21.2％減）、親会社株主に帰属する当期純利益は4,488百万円（前期比28.6％減）となりました。 セグメントごとの経営成績は、次のとおりであります。（アスファルト応用加工製品事業）アスファルト応用加工製品事業につきましては、「長寿命化・高性能化」や「環境負荷低減」を図る高付加価値 製品の設計・受注活動の推進により、販売拡大と利益確保に努めてまいりましたが、依然として高値圏での推移が続く原材料価格の価格転嫁が追いつかず、売上高は25,937百万円（前期比4.6％減）となり、セグメント利益（営業利益）は5,140百万円（前期比14.5％減）となりました。（道路舗装事業）道路舗装事業につきましては、工事の発注遅れがありましたものの、防災・減災、国土強靭化対策に係る工法提案からの受注活動と工事の着実な執行に加え、資材等の価格高騰への対応や原価管理の強化に努めてまいりました。売上高は47,580百万円（前期比6.5％減）となり、セグメント利益（営業利益）は4,360百万円（前期比5.8％減）となりました。（その他）その他につきましては、不動産賃貸収入などにより、売上高は314百万円（前期比2.0％増）となり、セグメント利益（営業利益）は229百万円（前期比2.5％増）となりました。   区　分前連結会計年度当連結会計年度比較増減金　額（百万円）構成比（％）金　額（百万円）構成比（％）金　額（百万円）伸率（％）流動資産54,86760.049,56452.1△5,303△9.7固定資産36,60640.045,52947.98,92324.4流動負債17,65019.317,86518.82141.2固定負債1,3531.52,3922.51,03976.8純資産額72,47079.274,83678.72,3653.3総資産額91,474100.095,094100.03,6204.0 当連結会計年度末の総資産額は、前連結会計年度末（以下「前期末」という。）に比べて3,620百万円増加し、95,094百万円となりました。（流動資産）流動資産は、前期末に比べて5,303百万円減少して49,564百万円となりました。これは、現金及び預金が1,573百万円、受取手形、売掛金及び契約資産が2,338百万円減少したことなどによるものです。（固定資産）固定資産は、前期末に比べて8,923百万円増加して45,529百万円となりました。これは、建物及び構築物が1,943百万円、機械装置及び運搬具が866百万円、投資有価証券が3,763百万円、退職給付に係る資産が1,280百万円増加したことなどによるものです。（流動負債）流動負債は、前期末に比べて214百万円増加して17,865百万円となりました。これは、未払金が741百万円、契約負債が188百万円増加した一方、支払手形及び買掛金が796百万円減少したことなどによるものです。（固定負債）固定負債は、前期末に比べて1,039百万円増加して2,392百万円となりました。これは、繰延税金負債が1,009百万円増加したことなどによるものです。（純資産額）純資産は、前期末に比べて2,365百万円増加して74,836百万円となりました。これは利益剰余金が1,964百万円、その他有価証券評価差額金が1,437百万円増加したことなどによるものです。 この結果、自己資本比率は前期末の79.2％から78.7％となりました。  ②　キャッシュ・フローの状況当連結会計年度におけるキャッシュ・フローの状況は次のとおりであります。区　分前連結会計年度（百万円）当連結会計年度（百万円）比較増減（百万円）営業活動によるキャッシュ・フロー6,5567,388831投資活動によるキャッシュ・フロー△5,834△3,8531,981財務活動によるキャッシュ・フロー△3,115△2,824290現金及び現金同等物の増減額（△は減少）△2,3827363,118現金及び現金同等物の期首残高27,09124,709△2,382現金及び現金同等物の期末残高24,70925,445736 当連結会計年度における現金及び現金同等物（以下「資金」という。）は前期末に比べて、736百万円増加し、25,445百万円となりました。当連結会計年度における各キャッシュ・フローの状況とそれらの要因は次のとおりであります。（営業活動によるキャッシュ・フロー）営業活動によるキャッシュ・フローで増加した資金は7,388百万円（前期比12.7％増）となりました。これは、税金等調整前当期純利益6,840百万円、仕入債務の減少1,188百万円などによるものです。（投資活動によるキャッシュ・フロー）投資活動によるキャッシュ・フローで支出した資金は3,853百万円（前期比34.0％減）となりました。これは、有形固定資産の取得による支出3,808百万円などによるものです。（財務活動によるキャッシュ・フロー）財務活動によるキャッシュ・フローで支出した資金は2,824百万円（前期比9.3％減）となりました。これは、自己株式取得のための預託金の減少1,331百万円、配当金の支払い2,507百万円などによるものです。  ③　生産、受注及び販売の状況　a.生産実績当連結会計年度における生産実績をセグメントごとに示すと、次のとおりであります。セグメントの名称生産高(百万円)前期比(％)アスファルト応用加工製品事業22,609△8.4合計22,609△8.4 (注)　１ 金額は販売価格によっており、セグメント間の取引については相殺消去しております。２ 道路舗装事業、その他については、生産実績を定義することが困難であるため記載しておりません。 b.商品仕入実績当連結会計年度における商品仕入実績をセグメントごとに示すと、次のとおりであります。セグメントの名称商品仕入高(百万円)前期比(％)アスファルト応用加工製品事業2,83034.6合計2,83034.6 (注)　１ 金額は仕入価格によっており、セグメント間の取引については相殺消去しております。２ 道路舗装事業、その他には、商品仕入実績はないため記載しておりません。 c.受注実績当連結会計年度における受注実績をセグメントごとに示すと、次のとおりであります。セグメントの名称受注高(百万円)前期比(％)受注残高(百万円)前期比(％)アスファルト応用加工製品事業26,412△4.37795.1道路舗装事業46,454△7.56,901△6.0合計72,867△6.47,680△5.0 (注)　１ 金額は販売価格によっており、セグメント間の取引については相殺消去しております。２ その他には、受注実績がないため記載しておりません。 d.販売実績当連結会計年度における販売実績をセグメントごとに示すと、次のとおりであります。セグメントの名称販売高(百万円)前期比(％)アスファルト応用加工製品事業25,937△4.6道路舗装事業47,580△6.5その他3142.0合計73,832△5.8 (注)　 金額は販売価格によっており、セグメント間の取引については相殺消去しております。    (2)　経営者の視点による経営成績等の状況に関する分析・検討内容経営者の視点による当社グループの経営成績等の状況に関する認識及び分析・検討内容は次のとおりであります。なお、文中の将来に関する事項は、当連結会計年度末現在において判断したものであります。 ① 財政状態及び経営成績の状況に関する認識及び分析・検討内容当社グループは「第２[事業の状況]３[事業等のリスク]」に記載のとおり、事業環境、事業内容、法的規制等、様々なリスク要因が当社グループの経営成績に影響を与える可能性があると認識しております。そのため、当社グループは常に業界動向に留意しつつ、優秀な人材を確保し顧客のニーズに合った製品・工法を提供していくことにより、経営成績に重要な影響を与えるリスク要因を分散・低減し、適切に対応を行ってまいります。セグメントごとの財政状態及び経営成績の状況に関する認識及び分析・検討内容は、「第２[事業の状況]４[経営者による財政状態、経営成績及びキャッシュ・フローの状況の分析](1)経営成績等の状況の概要①財政状態及び経営成績の状況」に記載のとおりであります。 ②　キャッシュ・フローの状況の分析・検討内容並びに資本の財源及び資金の流動性に係る情報当社グループの当連結会計年度の経営成績等は、「第２[事業の状況]４[経営者による財政状態、経営成績及びキャッシュ・フローの状況の分析](1)経営成績等の状況の概要①財政状態及び経営成績の状況」に記載のとおりであります。当社グループの資本の財源及び資金の流動性について、当社グループは、従来から製品売上・工事売上等の営業活動により多くのキャッシュ・フローを得ており、現在及び将来にわたって必要な営業活動及び債務の返済などに備えるために、自己資金のほか金融機関からの借入等を活用し資金調達を図っております。当社は、国内金融機関からの借入について相対での借入枠を確保しており、コミットメントラインを設定し、長期・短期のバランスを考慮して安定的に資金調達しております。当社グループは連結経営強化のため、財務機能の一元化による資金効率の向上と金融費用の削減を目的として、ＣＭＳ（キャッシュ・マネジメント・システム）を導入しております。事業活動にかかる運転資金は、営業活動で獲得した資金を主な財源としておりますが、事業運営上必要な流動性を確保することに努め、機動的かつ効率的に使用することで金融負債の極小化を図っております。今後の投資については茨城県つくばみらい市における先進的で環境配慮型の生産・物流基地及び工事・調査センター機能を有する新規拠点の建設並びに既存拠点の整備・拡充、ＩＣＴ関連とＤＸの推進等を進める方針であります。これら投資資金については自己資金及び金融機関からの借入により調達する予定であります。今後とも入出金の厳格な管理により「営業活動によるキャッシュ・フロー」の拡大を実現し、財務体質の向上に努めていく所存であります。 ③　重要な会計方針及び見積り当社グループの連結財務諸表は、我が国において一般に公正妥当と認められる会計基準に基づき作成されております。その作成には、経営者による会計方針の選択・適用、資産・負債及び収益・費用の報告金額及び開示に影響を与える見積りを必要としております。経営者は、これらの見積りについて、過去の実績を勘案し合理的に判断しておりますが、実績の結果は、見積りによる不確実性のため、これらの見積りと異なる場合があります。この連結財務諸表の作成にあたる重要な会計方針につきましては、「第５　経理の状況」に記載しております。
経営上の重要な契約等	 ５ 【経営上の重要な契約等】該当事項はありません。 
研究開発活動	６ 【研究開発活動】当連結会計年度における研究開発活動は、「創造性と独自性に富んだ製品・工法の開発」を基本とし、ESGおよびSDGsの観点から、特に社会的要請が高い、「国土強靭化」、「長寿命化・高性能化」、「防災・安全」、「コスト縮減と道路資産の効率的保全」、「環境負荷低減」をキーワードに製品・工法の開発を進めております。当連結会計年度において当社グループが支出した研究開発費の総額は877百万円でありますが、当社における研究開発は各事業に共通するものであり、セグメント別に区分することが困難であります。各事業分野の研究開発活動は次のとおりであります。(1)　アスファルト応用加工製品事業アスファルト応用加工製品事業では、高性能、安全および予防保全等を念頭に製品開発を行っております。昨今では、老朽化が進行し、メンテナンスが必要とされる膨大な舗装ストックに対して長寿命化に貢献できる「高性能」な改質アスファルトや、アスファルト合材の製造温度を従来品より大幅に低減し、合材製造時に排出される二酸化炭素量を削減できる、いわゆる低炭素型の改質アスファルトを開発しました。また、損傷の進行を遅らせる常温型の表面処理材料や工法を開発しております。鉄道軌道においても、開発した特殊改質アスファルト乳剤を用いた工法が適用され始めています。(2)　道路舗装事業道路舗装事業では、ICT等を活用した現場での施工および管理の生産性向上の取り組みなど、小規模から大規模補修にわたる様々な工法を整備し、環境負荷低減など幅広く顧客のニーズに応えられるよう研究開発を行っております。また、限られた予算の中でいかに効率よく、経済的に道路を保全していくかが重要なテーマとなっている昨今、道路を資産として捉えた管理手法が求められる中、ライフサイクルコストの縮減に寄与する、改質アスファルト乳剤を用いた新たな舗装延命化工法、環境負荷低減を目指した常温舗装工法やリサイクル工法、「橋梁の長寿命化」に寄与する高耐久型の床版防水工法、施工の安全性と効率性を改善する施工機械などの開発を行っています。また、当社グループは、「調査・診断、設計、施工および管理」の道路に関する行為を一連の流れとして捉え、システム化と運用効果の最大化に取り組んでおります。
設備投資等の概要	１ 【設備投資等の概要】 当社グループは、成長が期待できる製品分野に重点を置き、合わせて省力化、合理化および製品の品質向上のための投資を行っております。当連結会計年度の設備投資の総額は5,295百万円であり、セグメントごとの設備投資について示すと、次のとおりであります。(1)　アスファルト応用加工製品事業東京支店他におけるディストリビューター等の営業器材の増設など2,604百万円の設備投資を実施いたしました。(2)　道路舗装事業施工品質の向上を目的に舗装施工機械、路面測定関連機械および車輌運搬具に1,539百万円の設備投資を実施いたしました。(3)　その他該当事項はありません。(4)　全社共通技術研究所他での設備更新等に1,151百万円の設備投資を実施いたしました。 なお、重要な設備の除却または売却はありません。
主要な設備の状況	 ２ 【主要な設備の状況】(1)　提出会社2024年３月31日現在事業所名(所在地)セグメントの名称設備の内容帳簿価額(百万円)従業員数(名)建物及び構築物機械装置及び運搬具土地(面積㎡)リース資産その他合計本社(東京都千代田区)全社統括業務統括業務施設12818(473)1475123969技術研究所(栃木県下野市)全社統括業務研究設備1,061185－(－)－1711,41749本社・道路エンジニアリング部(埼玉県越谷市）道路舗装事業路面測定関連機械等179－ (－)－98926東北支店・仙台工場(宮城県仙台市宮城野区)アスファルト応用加工製品事業生産設備200177435(12,853)－6487619関東支店・小山工場(栃木県下野市)アスファルト応用加工製品事業生産設備290149165(64,464)01261844千葉営業所・工場(千葉県千葉市中央区)アスファルト応用加工製品事業生産設備100129－(－)35927611愛知工場(愛知県稲沢市)アスファルト応用加工製品事業生産設備11835187(3,755)－293708大分営業所・工場(大分県大分市)アスファルト応用加工製品事業生産設備12090358(10,381)－85775東関東支店(茨城県つくば市)アスファルト応用加工製品事業生産設備用地465645,499(121,494)－96,0382山口営業所(山口県防府市）その他事務所・賃貸用倉庫5441242(57,439)－05991東京営業所(東京都荒川区)その他事務所・賃貸用マンション584－77(3,257)－186817 (注)　１　帳簿価額のうち「その他」は、工具、器具及び備品であり、建設仮勘定を含んでおりません。２　提出会社の各事業所には、日瀝道路㈱他連結子会社に貸与中の土地、建物を含んでおります。３　上記の他、連結会社以外の者から賃借している設備の内容は次のとおりであります。事業所名セグメントの名称設備の内容年間賃借料(百万円)千葉営業所・工場アスファルト応用加工製品事業土地23 ４　主要な設備のうち、連結会社以外の者へ賃貸している主要な設備の内容は次のとおりであります。事業所名セグメントの名称設備の内容年間賃貸料(百万円)山口営業所その他賃貸用倉庫121東京営業所その他賃貸用マンション119 ５　現在休止中の主要な設備はありません。 (2)　国内子会社2024年３月31日現在会社名事業所名(所在地)セグメントの名称設備の内容帳簿価額(百万円)従業員数(名)建物及び構築物機械装置及び運搬具土地(面積㎡)リース資産その他合計北海道ニチレキ工事㈱本社(北海道札幌市白石区)道路舗装事業舗装施工機械等2684182(3,430)－229621東北ニチレキ工事㈱本社(宮城県仙台市若林区)道路舗装事業舗装施工機械等1515049(2,814)－221828日瀝道路㈱本社(東京都千代田区)道路舗装事業舗装施工機械等34211－(－)－1225855近畿ニチレキ工事㈱本社(滋賀県守山市)道路舗装事業舗装施工機械等324049(2,656)－112321朝日工業テクノス㈱本社(大分県大分市)道路舗装事業舗装施工機械等74154269(288,914)－1251148ラインファルト工業㈱本社(大阪府堺市)道路舗装事業道路標示・区画線施工機械等4216394(1,001)－645927ヒートロック工業㈱本社(新潟県新潟市)アスファルト応用加工製品事業生産設備5319162(6,604)－323930 (注)　１　帳簿価額のうち「その他」は、工具、器具及び備品であり、建設仮勘定を含んでおりません。なお、金額には消費税等は含まれておりません。２　主要な設備のうちに、連結会社以外の者から賃借している設備はありません。３　朝日工業テクノス㈱の主要な設備には、連結会社以外の者へ貸与中の土地、建物を含んでおります。４　現在休止中の主要な設備はありません。
株式の総数	① 【株式の総数】 種類発行可能株式総数(株)普通株式90,000,000計90,000,000  
発行済株式、株式の総数等	② 【発行済株式】 種類事業年度末現在発行数(株)(2024年３月31日)提出日現在発行数(株)(2024年６月28日)上場金融商品取引所名又は登録認可金融商品取引業協会名内容普通株式31,685,95531,685,955東京証券取引所プライム市場単元株式数は100株であります。計31,685,95531,685,955－－  
