項目	値
事業の内容	３【事業の内容】　当社は、持株会社としてグループ会社の経営管理及びそれに付帯又は関連する業務を行う予定です。また、当社の完全子会社となるテリロジー及びその関係会社の最近の事業年度末日時点の主な事業の内容は以下のとおりです。　テリロジーグループ（テリロジー及びテリロジーの関係会社）は、テリロジー、子会社４社及びその他の関係会社１社からなります。テリロジーグループは、製品・サービス別の営業部門を設置し、各営業部門は、取り扱う製品、サービスについて包括的な戦略を立案・実行することで、事業活動を展開しております。　したがって、テリロジーグループは、営業部を基礎とした製品・サービス別の事業から構成されており、「ネットワーク部門」、「セキュリティ部門」、「モニタリング部門」、「ソリューションサービス部門」の４部門に区分しております。　なお、セグメント情報を記載していないため、事業部門別に記載しております。事業部門主要製品分野ネットワーク部門・ネットワーク機器（スイッチ、ルータ、無線ＬＡＮ、ＤＮＳ／ＤＨＣＰ等）・企業内情報通信システムやインフラの設計・構築・テレビ会議システム等、広範囲なネットワーク関連製品の販売およびプロフェッショナルサービスの提供・当該部門販売のネットワークおよび付帯機器の保守業務セキュリティ部門・ＣＴＩ（サイバー脅威情報）インテリジェントセキュリティサービスの提供・ネットワークセキュリティ製品（ファイアウォール、侵入検知・防御、情報漏えい対策等）・セキュリティ認証基盤・ワンタイムパスワード製品・当該部門販売のセキュリティ機器およびソフトウエア製品の保守業務モニタリング部門・自社開発製品（momentum）によるパケット分析・自社クラウド性能監視サービス（CloudTriage）・ネットワーク運用・管理・監視機器・海外販売パートナー経由による自社開発製品（momentum）・当該部門販売の自社開発製品（momentum）、ネットワーク運用、管理、監視機器およびソフトウエア製品の保守業務ソリューションサービス部門・自社開発ソフトウエアＲＰＡツール（EzAvater）・リアルタイム多言語映像通訳サービス（みえる通訳）・クラウド管理型マネージドＶＰＮサービス（MORA VPN Zero-Con）・ウェブ会議サービス（Ｚｏｏｍ、MORA Video Conference）・法人向けインターネット接続サービス（ＭＯＲＡ光）・高速モバイルデータ通信サービス（ＭＯＲＡモバイル）・自社運営の訪日インバウンドメディアを活用したプロモーション事業・情報システム開発・運用サービス提供事業（Cre-Fit／テクノロジー・アウトソーシング・サービス） ●ネットワーク部門　当部門は、顧客のニーズに最も適したネットワーク製品（ルータ、スイッチ、無線ＬＡＮ、ＤＮＳ／ＤＨＣＰ）等の販売をはじめ、企業内情報通信システムやインフラの設計・構築をおこなっています。　また、テレビ会議システム等、広範囲な製品の販売とプロフェッショナルサービスの提供のほか、当部門が納入したテレビ会議システム等、広範囲な製品およびソフトウエア製品の保守業務を、24時間365日の対応が可能な体制を整備しております。 ●セキュリティ部門　当部門は、日々巧妙化するサイバー攻撃や不正アクセスによる情報漏えいなどの脅威に向けた対策として、ＣＴＩ（サイバー脅威情報）インテリジェントセキュリティサービスによる脅威情報の提供サービスをはじめ、ネットワークセキュリティ製品（ファイアウォール、侵入検知・防御（ＩＰＳ）、情報漏えい対策等）、セキュリティ認証基盤（ネットワーク上のサービス利用者を識別すること）等の製品の販売のほか、不正取引対策（ワンタイムパスワード製品）等のセキュリティシステムの販売・構築をおこなっています。　また、当部門が納入したセキュリティ機器およびソフトウエア製品の保守業務を、24時間365日の対応が可能な体制を整備しております。 ●モニタリング部門　当部門は、自社開発製品によるネットワーク上を流れるすべてのトラフィックデータ収集・分析・可視化をはじめ、サービス品質の検証、不具合場所の特定およびその対策を支援するソリューション（パケットキャプチャ製品、ネットワーク・アプリケーションの性能管理製品等）の販売・構築をおこなっています。　なお、自社開発製品については、アジア・パシフィック地域の現地パートナーを経由し、通信事業者、一般企業に向けた販売をおこなっています。　また、当社独自のサービスであるアプリケーション等の性能を監視するクラウドサービス（CloudTriage）の提供や、当部門が納入した当社開発製品（momentum）、ネットワーク運用・管理・監視機器およびソフトウエア製品の保守業務を、24時間365日の対応が可能な体制を整備しております。 ●ソリューションサービス部門　当部門は、顧客が抱える問題を改善するために必要なソフトウエアやサービスの提供をおこなっています。・訪日外国人旅行客が増加するなか、外国人観光客と円滑にコミュニケーションを取るための対策として言葉の壁を解決するリアルタイム多言語映像通訳サービスの提供・働き方改革や業務効率化の実現に向けて注目されている自社開発ソフトウエアＲＰＡツール（EzAvater）の販売・中堅・中小規模の法人顧客に向けたクラウド管理型マネージドＶＰＮサービス、ウェブ会議サービスなどのネットワーク・ソリューション・サービスをはじめ、テクノロジー・アウトソーシング・サービスや情報システム開発・運用サービスの提供、また、欧米豪・中東市場に特化した自社運営の訪日インバウンドメディア「VOYAPON（ヴォやポン）」を活用したプロモーション事業を展開しております。 ［事業系統図］ 用語解説 ルータ（router）　ある場所からある場所にインターネットを介してデータを送受信するときに、その電送経路を制御する装置をいいます。 ＤＨＣＰ（Dynamic Host Configuration Protocol）　コンピュータを起動したとき、そのコンピュータに対して、ＩＰアドレスなどのネットワーク情報を自動的に割り振るためのプロトコル（ネットワークでコンピュータ同士が情報を交換するための通信手順、通信規約）です。 ＤＮＳ（Domain Name Service）　インターネット上でのコンピュータの名前にあたるドメイン（ホスト）名を、住所にあたるＩＰアドレスと呼ばれる４つの数字の列に変換する名前解決メカニズムの総称です。 ＩＰ（Internet Protocol）　米国防総省のネットワークプロジェクトで開発された通信手順で、ネットワークに参加している機器の住所付け（アドレッシング）や、相互に接続された複数のネットワーク内での通信経路の選定（ルーティング）をするための方法を定義しています。 ＩＰＴＶ（Internet Protocol TeleVision）　ＩＰＴＶとは、ＩＰ（Internet Protocol）を利用してデジタルテレビ放送を配信するサービスのこと、またはその放送技術の総称をいいます。ＱｏＳを活用することにより、音声や動画の生中継や、テレビ会議など、リアルタイム性が要求される通信において、優先的に帯域を割り当てるなどの制御を行い、通信の停滞を防止します。 ＰＰＰｏＥ（Point to Point Plotocol over Ethernet）　ＰＰＰは電話回線とモデムを使って２点間でコンピュータ接続するダイアルアップサービスで使用する通信手順です。PPPoEはADSL、ケーブルテレビ、光ファイバーサービスなどの常時接続において使用される通信手順です。 ＱｏＥ（Quality of Experience）　ＱｏＥとは、主に通信事業者が提供する各種通信サービスに対して「ユーザから見たサービス品質（ユーザの体感品質）」を意味します。具体的には、映像配信やＩＰ電話などのリアルタイム性が求められる通信サービスの品質について、ユーザの目線で評価する品質の尺度です。 ＱｏＳ（Quality of Service）　ＱｏＳとは、主にネットワークにおける回線の「通信サービスの品質」を意味し、通信の品質を制御する技術を指します。具体的には、ネットワーク上で通信のための帯域をあらかじめ予約し、特定の通信の通信速度・品質を保証する技術のことをいいます。 ＳＬＡ（Service Level Agreement）　元々は米国でのアナログ電話回線サービスの品質保証から生まれた用語で、これが広義的に普及し、今では、インターネット通信サービス事業者が利用者に対して回線通信速度、通信不能時間といった特別なサービス品質を保証するサービス契約をいいます。もし、締結ユーザに対してインターネット通信サービス事業者が保証できなかった場合、サービス事業者は契約ユーザにペナルティを支払わなければなりません。 ＳＬＭ（Service Level Management）　これは前述のＳＬＡがきちんと守られているかどうかを実際の数値として監視する仕組みをいいます。 ＤＤｏＳ（Distributed Denial of Service）　ＤＤｏＳとは、インターネットを通じた攻撃手法の１つで、複数のコンピュータから大量のデータを一斉に送信することで、標的となる企業や組織のコンピュータに大量の処理負荷を与え、サービスを機能停止状態へ追い込む手法です。 ストレージ（Storage）　ストレージとは、コンピュータなどのデータを長期的に保存しておくことを目的とした記憶装置です。 ダークネット　ダークネットとは、Ｔｏｒ（The Onion Router：TCP/IPにおける接続経路の匿名化を実現するための規格またはソフトウエアの名称）などのツールを利用することで誰でもアクセスできる利便性があり、また、暗号化された通信技術などを利用することで高いレベルの匿名性が確保されているネットワークです。しかしながら、匿名性が確保されることで利用者の特定が困難であるため、様々な犯罪の温床になっています。 ＲＰＡ（Robotic Process Automation）　ＲＰＡとは、これまで人間が手作業で行っていた定型的な事務作業を、ルールエンジン、機械学習、人工知能などの認知技術を取り入れたソフトウェアロボットが代行することで、オフィス業務の効率化や自動化を実現する取り組みです。 
経営方針、経営環境及び対処すべき課題等	１【経営方針、経営環境及び対処すべき課題等】　当社は新設会社であるため、該当事項はありません。　なお、当社の完全子会社となるテリロジーの経営方針、経営環境及び対処すべき課題等については、関東財務局長に提出した同社の有価証券報告書（2022年６月23日提出）をご参照ください。 
事業等のリスク	２【事業等のリスク】　当社は本届出書提出日現在において設立されておりませんが、本株式移転によりテリロジーの完全親会社となるため、当社の設立後は、本届出書提出日現在におけるテリロジーの事業等のリスクが当社グループの事業等のリスクとなり得ることが想定されます。テリロジーの事業等のリスクを踏まえた当社グループの事業等のリスクは以下のとおりです。　なお、本文における将来に関する事項は、本届出書提出日現在においてテリロジーが判断したものであります。１．技術革新及び商品供給について　当社グループの取扱商品であるネットワークとセキュリティに関連する製品およびこれらに関するソフトウェアは技術革新スピードが極めて速く、ライフサイクルは通常の製品と比較して短くなっております。これに対応して当社グループでは海外を含めて最新技術情報等の収集や最新技術を有するメーカー等の発掘に努めておりますが、当業界の技術革新に追随することができなかった場合、ユーザの要求に応え得ない、あるいは市場に適合した商品を供給できない等により、当社グループの業績に影響を及ぼす可能性があります。 ２．売上高の季節変動について　当社グループの主たるユーザはいわゆる大企業または大企業グループに属する企業が多く、当該企業においては年度予算管理に基づき設備投資がなされること等により、当社グループの売上高が第２四半期および第４四半期に偏重する傾向があります。2021年度より収益認識に関する会計基準等の適用によりその傾向は緩和しております。 ３．競合について　ネットワークインフラの関連市場も急激に拡大しており、また、ネットワークインテグレーション市場においても、大手システムインテグレータを始めとする競合企業が多数存在し、競合が厳しくなっております。さらに、これら競合先による優れたシステムやサービスの提供等も考えられることや、価格・サービス競争がさらに激化することも予想され、今後、当社グループの事業展開に影響を及ぼす可能性があります。 ４．技術者の確保について　ネットワーク技術の進歩の速さに対応して、顧客に対して最適なネットワーク環境を提供するためには、市場動向調査とともに最新技術を熟知し応用力のあるネットワーク技術者の確保がますます重要となってきております。　当社グループでは、ネットワークインテグレーション分野に必要な技術をネットワーク技術、セキュリティ技術、サーバ技術、ネットワーク保守・運用技術、ネットワークコンサルタント技術の５つに区分し、社内技術教育プログラムに基づく研修により技術者養成に努めており、また技術素養のある人材および必要な能力をもった技術者の確保にも注力し、新卒または外部専門機関との連携による中途を採用しております。今後、必要な技術者を確保できない場合、当社グループの事業展開に影響を及ぼす可能性があります。 ５．為替変動の影響について　当社グループは、米国を中心とする海外メーカーの製品を輸入し、または、海外メーカーの日本法人または代理店等を通して購入しており、仕入総額に対する外貨建て仕入の割合は、2021年３月期においては63.5％、2022年３月期においては37.9％となっております。為替変動に備える方策等を講ずることにより、リスクの軽減に努めておりますが、予想を超えるような為替の変動により円換算による仕入価格が上昇し、当社グループの業績に影響を及ぼす可能性があります。 ６．サイバー攻撃に対するリスクについて　社会生活や経済活動がインターネットに依存する傾向が高まった一方で、サイバー攻撃による脅威が急速に増大しております。当社グループはサイバー攻撃から企業を防衛するための各種セキュリティ対策の提案やサービス提供を行っている一方、社内にＣＳＩＲＴを組織化し当社グループ自身の防衛にも努めております。そのような状況下、当社グループ自身がサイバー攻撃により晒されるリスクがあります。 ７．新型コロナウィルス感染症の影響について　新型コロナウィルス感染症の影響により経済活動の制限と緩和が繰り返されている中、一部業界においては企業業績の悪化や不透明な状態が継続する事態となっております。当社グループにおきましてこれら企業との取引が縮小する等により、当社グループの業績に影響を及ぼす可能性があります。 
経営者による財政状態、経営成績及びキャッシュ・フローの状況の分析	３【経営者による財政状態、経営成績及びキャッシュ・フローの状況の分析】　当社は新設会社であるため、該当事項はありません。　なお、当社の完全子会社となるテリロジーの経営者による財政状態、経営成績及びキャッシュ・フローの状況の分析については、関東財務局長に提出した同社の有価証券報告書（2022年６月23日提出）をご参照ください。 
経営上の重要な契約等	４【経営上の重要な契約等】　当社は新設会社であるため、該当事項はありません。　なお、当社の完全子会社となるテリロジーの経営上の重要な契約等については、関東財務局長に提出した同社の有価証券報告書（2022年６月23日提出）をご参照ください。 
研究開発活動	５【研究開発活動】　当社は新設会社であるため、該当事項はありません。　なお、当社の完全子会社となるテリロジーの研究開発活動については、関東財務局長に提出した同社の有価証券報告書（2022年６月23日提出）をご参照ください。 
設備投資等の概要	１【設備投資等の概要】(1）当社の状況　当社は新設会社であるため、該当事項はありません。 (2）連結子会社の状況　当社の完全子会社となるテリロジーの設備投資等の概要については、関東財務局長に提出した同社の有価証券報告書（2022年６月23日提出）をご参照ください。 
主要な設備の状況	２【主要な設備の状況】(1）当社の状況　当社は新設会社であるため、該当事項はありません。 (2）連結子会社の状況　当社の完全子会社となるテリロジーの主要な設備の状況については、関東財務局長に提出した同社の有価証券報告書（2022年６月23日提出）をご参照ください。 
株式の総数	①【株式の総数】種類発行可能株式総数（株）普通株式21,696,000計21,696,000 
発行済株式、株式の総数等	②【発行済株式】種類発行数（株）上場金融商品取引所名又は登録認可金融商品取引業協会名内容普通株式16,580,000東京証券取引所（スタンダード市場）完全議決権株式であり、権利内容に何ら限定のない当社における標準となる株式です。普通株式は振替株式であり、単元株式数は100株です。計16,580,000－－　（注）１　普通株式は、本株式移転に伴い発行する予定です。２　2022年３月31日時点におけるテリロジーの発行済株式総数（16,580,000株）に基づいて記載しており、実際に株式移転設立完全親会社（持株会社）となる当社が交付する新株式数は変動することがあります。なお、本株式移転の効力発生時点においてテリロジーが保有する自己株式１株に対して、当社の普通株式１株が割当交付されることになります。これに伴い、テリロジーは一時的に当社の普通株式を保有することになりますが、法令の定めに従い相当の時期に処分いたします。３　テリロジーは、当社の普通株式について、東京証券取引所に新規上場申請を行う予定です。４　振替機関の名称及び住所は以下のとおりです。名称　株式会社証券保管振替機構住所　東京都中央区日本橋兜町７番１号 
