項目	値
事業の内容	２【事業の内容】　当第１四半期連結累計期間において、当社グループ（当社及び当社の関係会社）が営んでいる事業の内容に重要な変更はありません。また、主要な関係会社における異動もありません。 
経営方針、経営環境及び対処すべき課題等	
事業等のリスク	１【事業等のリスク】　当第１四半期連結累計期間において、新たに発生した事業等の発生、または、前事業年度の有価証券報告書に記載した事業等のリスクについて重要な変更はありません。  
経営者による財政状態、経営成績及びキャッシュ・フローの状況の分析	２【経営者による財政状態、経営成績及びキャッシュ・フローの状況の分析】（１）当期の経営成績の概況　当社グループは、「多様性を活かし、テクノロジーで世界を変える」をミッションとし、世界の課題を解決するようなプロダクトやサービス、エコシステムをデジタルパートナーとしてクライアントと共に作り上げると同時に、国境を越えて「働く機会」「成長する機会」「世界の問題を解決するようなプロジェクトに参画する機会」などの「機会」を提供することで、より良い世界の実現に貢献することを目指しております。 　当第１四半期連結累計期間における世界経済及びわが国経済は、個人消費や設備投資の持ち直し等により緩やかな回復基調が見られるものの、世界的なエネルギー価格の高騰や物価の高騰に伴うインフレ圧力等の影響から先行き不透明な状況となっております。一方、ＩＴ業界におきましては、コロナ禍を契機とするデジタルシフトの機運も依然として衰える気配はなく、経営戦略に直結するデジタルトランスフォーメーション（ＤＸ）の需要が増加しており、企業のＤＸに対する投資意欲は引き続き旺盛な状況が続いております。 　こうした経営環境の中、当社グループは世界19の国と地域において、主に企業や自治体に対して事業課題や新規事業のニーズに合わせてＤＸを支援するメイン事業「デジタルコンサルティング事業」および自社プロダクト事業等の「その他事業」を展開しております（2024年3月31日時点）。なお、当社グループではデジタルコンサルティング事業を展開するエリアを、日本国内及びアジア・パシフィック地域を指すＡＰＡＣ、ヨーロッパ、中東及びアフリカ地域を指すＥＭＥＡ、北米、中米及び南米地域を指すＡＭＥＲの３つのリージョンに分類しております。 　当第１四半期連結累計期間につきましては、APACにおいてはPwCコンサルティング社との協業や生成AIを活用したアプローチによりデータ、エンタープライズシステム領域への進出が順調に進み、戦略的に強化を狙うエンタープライズシステム開発案件が獲得できました。しかしながら、要件定義、PoCフェーズから案件が開始するため当第１四半期連結累計期間での売上額が小さく、年度末による既存案件の売上減少分を挽回するに至らず、EMEAにおいてはTonomus社との協業などを通じて長期大型案件の獲得に注力し営業パイプラインが順調に積み上げることができたものの、案件が大型なため受注に時間を要していることが影響し、売上収益は前年同期比で12.6%減となりました。　営業利益につきましては売上の減少と円安による海外拠点コスト増により891,590千円の営業損失となりました。 　以上の結果、当第１四半期連結累計期間の当社グループの売上収益は3,179,153千円（前年同期比12.6％減）、営業損失は891,590千円（前年同期は353,487千円の営業利益）、税引前四半期損失は268,911千円（前年同期は251,817千円の税引前四半期利益）、親会社の所有者に帰属する四半期損失は340,633千円（前年同期は197,169千円の親会社の所有者に帰属する四半期利益）となりました。 　デジタルコンサルティング事業におけるリージョン別の業績は以下のとおりであります。 １. ＡＰＡＣ　当第１四半期連結累計期間は、売上収益は1,674,290千円(前年同期比12.6％減）、営業利益は118,599千円（前年同期比74.8％増)となりました。　中長期の成長戦略領域である、生成AIなど先端テクノロジーを活用したデータ・エンタープライズシステム領域やPwCコンサルティング社等との業務提携による案件受注は順調に進展しておりますが、これらは要件定義やPoC工程から始まるため売上規模としてはまだ小さく、年度末に終了した案件の影響を補填するには至らず、売上減少となりました。一方、利益に関しては前年度の第３四半期連結会計期間から引き続きコストコントロールを徹底した結果、前年同期比では大幅な改善となりました。前年度の第４四半期連結会計期間との比較では、利益の悪化を売上減少分のみに留めております。　中長期的には、獲得済のエンタープライズ案件が開発工程に進むことで売上および収益の向上が見込まれます。足元では従来の開発案件に加え、顧客向け専属チームの提供サービス等でアジアのデリバリーセンターの稼働率向上を図り、売上及び収益性の改善を進めてまいります。 ２. ＥＭＥＡ　当第１四半期連結累計期間では、売上収益は1,214,863千円(前年同期比11.1%減）、営業損失は581,322千円（前年同期は89,452千円の営業損失)となりました。　欧州ではライフサイエンス領域、中東では政府領域を中心とした既存大型案件が売上収益に寄与した一方、新規顧客においてはNEOM子会社のTonomus社との提携を含め、長期大型案件のパイプラインが構築されているものの、案件の大型化に伴い、受注までの期間が長期化しているためEMEA全体の売上は前年度の第４四半期連結会計期間から微増に留まりました。　営業利益面につきましては、売上成長が期待を下回ったことに加え、円安の影響も受けて損失幅が拡大いたしました。 ３. ＡＭＥＲ　当第１四半期連結累計期間では、売上収益は194,378千円(前年同期比16.7％増）、営業損失は135,329千円（前年同期は47,845千円の営業損失)となりました。　ターゲットである金融領域の案件の収益が成長し、既存顧客からの安定した売上基盤が形成されてきております。また、複数の長期大型案件を見込む新規顧客も獲得できており、前年度の第４四半期連結会計期間からの売上収益の増加に貢献しております。　営業利益面につきましては、上記新規重要顧客へ向けた案件獲得の初期段階において、戦略的に利益率を調整したことに加え、円安の影響も受けて損失幅が拡大いたしましたが、今後複数の案件獲得による利益向上が見込まれます。 （２）当期の財政状態の概況　当第１四半期連結会計期間末における各項目の状況は、次のとおりです。 （流動資産）　流動資産の残高は5,414,853千円（前連結会計年度末は5,836,139千円）となりました。主な内訳は、現金及び現金同等物1,227,814千円（前連結会計年度末は1,783,264千円）、営業債権及びその他の債権2,441,350千円（前連結会計年度末は2,600,114千円）等であります。 （非流動資産）　非流動資産の残高は9,040,008千円（前連結会計年度末は8,624,916千円）となりました。主な内訳は、のれん4,193,369千円（前連結会計年度末は3,964,762千円）、その他の金融資産3,276,307千円（前連結会計年度末は3,083,563千円）等であります。 （流動負債）　流動負債の残高は8,769,262千円（前連結会計年度末は7,932,462千円）となりました。主な内訳は、営業債務及びその他の債務1,342,093千円（前連結会計年度末は1,132,648千円）、社債及び借入金5,305,600千円（前連結会計年度末は4,739,564千円）等であります。 （非流動負債）　非流動負債の残高は2,445,646千円（前連結会計年度末は2,822,565千円）となりました。主な内訳は、社債及び借入金1,239,143千円（前連結会計年度末は1,493,246千円）、リース負債312,601千円（前連結会計年度末は549,435千円）等であります。 （資本合計）　資本合計は3,239,953千円（前連結会計年度末は3,706,027千円）となりました。主な内訳は、資本金1,922,586千円（前連結会計年度末は1,922,586千円）、資本剰余金10,549,413千円（前連結会計年度末は10,499,729千円）、利益剰余金△8,898,995千円（前連結会計年度末は△8,558,362千円）等であります。 （３）当期のキャッシュ・フローの概況　当第１四半期連結会計期間末における現金及び現金同等物（以下「資金」という。）は、1,227,814千円（前連結会計年度末は1,783,264千円）となりました。　当第１四半期連結累計期間における各キャッシュ・フローの状況とそれらの要因は、次のとおりです。 （営業活動によるキャッシュ・フロー）　営業活動の結果、資金は693,584千円の支出（前年同期は871,871千円の支出）となりました。これは主に、税引前四半期損失（△268,911千円（前年同期は251,817千円））による資金の減少、営業債権及びその他の債権の増減（257,259千円（前年同期は659,182千円））、為替差損益（△618,371千円（前年同期は△114,732千円））、契約資産の増減（△22,637千円（前年同期は△520,159千円））、その他の増減（△142,765千円（前年同期は△213,722千円））、法人所得税の支払額（△17,156千円（前年同期は△296,389千円））により資金が減少したこと等によるものです。 （投資活動によるキャッシュ・フロー）　投資活動の結果、資金は79,328千円の支出（前年同期は294,264千円の支出）となりました。これは主に、有形固定資産の取得による支出（△16,483千円（前年同期は△32,285千円））、無形資産の取得による支出（△56,132千円（前年同期は△16,996千円））等によるものです。 （財務活動によるキャッシュ・フロー）　財務活動の結果、資金は177,670千円の収入（前年同期は1,680,215千円の収入）となりました。これは、短期借入金の純増減額（745,000千円（前年同期は229,917千円））、長期借入金の返済による支出（△183,681千円（前年同期は△177,382千円））、リース負債の返済による支出（△133,648千円（前年同期は△104,638千円））、社債の償還による支出（△250,000千円（前年同期は△60,000千円））等によるものです。 （４）経営方針・経営戦略等　当第１四半期連結累計期間において、当社グループが定めている経営方針・経営戦略等について重要な変更はありません。 （５）優先的に対処すべき事業上及び財務上の課題　当第１四半期連結累計期間において、当社が優先的に対処すべき事業上及び財務上の課題について重要な変更はありません。 （６）研究開発活動　当第１四半期連結累計期間において、当社グループの研究開発活動の状況に重要な変更はありません。 
経営上の重要な契約等	３【経営上の重要な契約等】　当第１四半期連結会計期間において、経営上の重要な契約等の決定または締結等はありません。 
研究開発活動	
設備投資等の概要	
主要な設備の状況	
株式の総数	①【株式の総数】  種類発行可能株式総数（株）普通株式120,000,000計120,000,000 
発行済株式、株式の総数等	②【発行済株式】種類第１四半期会計期間末現在発行数（株）（2024年３月31日）提出日現在発行数（株）（2024年５月15日）上場金融商品取引所名又は登録認可金融商品取引業協会名内容普通株式34,326,95034,326,950東京証券取引所グロース市場完全議決権株式であり、権利内容に何ら限定のない当社における標準となる株式であり、単元株式数は100株であります。計34,326,95034,326,950－－（注）提出日現在発行数には、2024年５月１日からこの四半期報告書提出日までの新株予約権の行使により発行された株式数は含まれていません。 
