項目	値
事業の内容	 ２ 【事業の内容】当第３四半期累計期間において、当社において営まれている事業の内容について、重要な変更はありません。 
経営方針、経営環境及び対処すべき課題等	
事業等のリスク	１ 【事業等のリスク】当第３四半期累計期間において、新たな事業等のリスクの発生、または、有価証券届出書に記載した事業等のリスクについての重要な変更はありません。 
経営者による財政状態、経営成績及びキャッシュ・フローの状況の分析	２ 【経営者による財政状態、経営成績及びキャッシュ・フローの状況の分析】文中の将来に関する事項は、当四半期会計期間の末日現在において判断したものであります。なお、当社は、前第３四半期累計期間については四半期財務諸表を作成していないため、前年同四半期累計期間との比較分析は行っておりません。（1）経営成績の状況当第３四半期累計期間における我が国の経済は、新型コロナウイルス感染縮小傾向に伴う水際対策緩和や円安の効果によるインバウンド需要の増加、全国旅行支援の政策効果による個人消費の増加等が、景気が緩やかに持ち直すプラス材料となっております。一方で、継続的な物価上昇や海外金融機関の相次ぐ破綻等により、引き続き今後の景気動向に対して先行き不透明な状況が続いております。 このような中、当社を取り巻く国内IT市場においては、生産性向上や競争力強化を目的としたDX推進の高い需要、ChatGPTに代表される生成系AIの登場とその活用可能性に対する高い関心等により、引き続き様々な場面においてデジタル化の流れが力強いものとなっております。 当社の事業においては、クラウドインテグレーションサービスにおけるクラウドインフラ構築、AWSリセールサービスの取引が拡大していることを背景に、当第３四半期累計期間において、過去最高の売上高及び利益を実現しております。また、ChatGPTを活用した開発支援や、プロダクト事業（360）における付加価値の提供等、昨今のトレンドを踏まえたサービスを迅速に開始いたしました。これらの結果、当第３四半期累計期間の経営成績として、売上高1,158,490千円、営業利益154,405千円、経常利益144,742千円、四半期純利益97,355千円となりました。なお、当社はDX事業の単一セグメントであるため、セグメント別の記載を省略しております。  （2）財政状態の状況（資産）流動資産は1,148,827千円となり、前事業年度末に比べ574,214千円増加しました。これは主に現金及び預金が365,551千円、受取手形、売掛金及び契約資産が164,042千円、仕掛品が41,756千円増加したことによるものであります。固定資産は116,969千円となり、前事業年度末に比べ13,710千円増加しました。これは主に投資その他の資産に含まれる繰延税金資産が10,046千円増加したことによるものであります。 （負債）　　流動負債は489,004千円となり、前事業年度末に比べ152,527千円増加しました。これは主に未払法人税等が54,485千円、賞与引当金が29,540千円、その他の流動負債が67,102千円増加したことによるものであります。固定負債は64,915千円となり、前事業年度末に比べ29,958千円減少しました。これは主に長期借入金が29,997千円減少したことによるものであります。 （純資産）純資産は711,878千円となり、前事業年度末に比べ465,355千円増加しました。これは主に資本金、資本剰余金がそれぞれ184,000千円増加したことによるものであります。 （3）会計上の見積り及び当該見積りに用いた仮定有価証券届出書に記載した「経営者による財政状態、経営成績及びキャッシュ・フローの状況の分析」中の会計上の見積り及び当該見積りに用いた仮定の記載について重要な変更はありません。 （4）経営方針・経営戦略等当第３四半期累計期間において、当社が定めている経営方針・経営戦略等について重要な変更はありません。 （5）優先的に対処すべき事業上及び財務上の課題当第３四半期累計期間において、当社が優先的に対処すべき事業上及び財務上の課題について重要な変更はありません。 （6）研究開発活動当第３四半期累計期間における研究開発費の総額は1,359千円であります。　　なお、当第３四半期累計期間において当社の研究開発活動の状況に重要な変更はありません。 
経営上の重要な契約等	３ 【経営上の重要な契約等】当第３四半期会計期間において、経営上の重要な契約等の決定又は締結等はありません。 
研究開発活動	
設備投資等の概要	
主要な設備の状況	
株式の総数	① 【株式の総数】 種類発行可能株式総数(株)普通株式4,000,000計4,000,000  
発行済株式、株式の総数等	② 【発行済株式】 種類第３四半期会計期間末現在発行数(株)(2023年３月31日)提出日現在発行数(株)(2023年５月15日)上場金融商品取引所名又は登録認可金融商品取引業協会名内容普通株式1,200,0001,245,000東京証券取引所（グロース）福岡証券取引所（Ｑ－Ｂｏａｒｄ）完全議決権株式であり、株主と しての権利内容に何ら限定のな い当社における標準となる株式 であります。また、単元株式数は100株であります。計1,200,0001,245,000－－ （注）１．当社株式は、2023年３月31日付で、東京証券取引所グロース市場及び福岡証券取引所Ｑ－Ｂｏａｒｄに上場いたしました。２．2023年４月26日を払込期日とする第三者割当増資（オーバーアロットメントによる売出しに関連した第三者割当増資）により、発行済株式総数が45,000株増加しております。３．提出日現在発行数には、2023年５月１日からこの四半期報告書提出日までの新株予約権の行使により発行された株式数は、含まれておりません。 
配当政策	
コーポレート・ガバナンスの概要	
役員の状況	２ 【役員の状況】該当事項はありません。 
貸借対照表	
損益計算書	
キャッシュ・フロー計算書	
