項目	値
事業の内容	２【事業の内容】　当第３四半期累計期間において、当社が営む事業の内容について、重要な変更はありません。また、主要な関係会社における異動もありません。 
経営方針、経営環境及び対処すべき課題等	
事業等のリスク	１【事業等のリスク】　当第３四半期累計期間において、新たな事業等のリスクの発生、又は、前事業年度の有価証券報告書に記載した事業等のリスクについての重要な変更はありません。 
経営者による財政状態、経営成績及びキャッシュ・フローの状況の分析	２【経営者による財政状態、経営成績及びキャッシュ・フローの状況の分析】　文中の将来に関する事項は、当四半期会計期間の末日現在において判断したものであります。 (1）財政状態及び経営成績の状況　①　財政状態の状況ａ．資産の状況　当第３四半期会計期間末における資産合計は3,385,985千円となり、前事業年度末に比べ599,025千円増加いたしました。これは主に、現金及び預金285,858千円、売掛金及び契約資産165,799千円、淡路島保養所の建設に伴う有形固定資産158,880千円等の増加によるものであります。ｂ．負債の状況　　当第３四半期会計期間末における負債合計は1,659,998千円となり、前事業年度末に比べ36,060千円増加いた　しました。これは主に、１年内返済予定の長期借入金176,137千円、長期借入金170,342千円の増加の一方、１年　内償還予定の社債215,000千円、社債50,000千円等の減少によるものであります。ｃ．純資産の状況　　当第３四半期会計期間末における純資産合計は1,725,986千円となり、前事業年度末に比べ562,964千円増加い　たしました。これは主に、資本金及び資本準備金がそれぞれ158,355千円増加したことによるもの及び利益剰余　金258,709千円増加の一方、その他有価証券評価差額金12,455千円の減少によるものであります。 ②　経営成績の状況　　当第３四半期累計期間におけるわが国の経済は、雇用環境や所得が改善するなかで、各種政策の効果もあり、　景気は緩やかに回復してきている一方で、世界的な金融引締めによる影響や中国経済の先行き懸念などによる海　外景気の下振れにより、依然として先行き不透明な状況が続いております。　　このような情勢の下、当社業界におきましては、設備投資の回復及び企業収益の改善等を受け、2022年度比で　10.8％増（金融機関及び持株会社等を含む全産業、「第198回全国企業短期経済観測調査－2023年９月-」より）　のソフトウエア投資額が見込まれており、不透明さが残る環境下でもＩＴ投資は底堅く堅調に推移するものと期　待されます。　　システムインテグレーションにつきましては、ニッセイ・ウェルス生命保険㈱との取引開始をはじめとした新　規受注、追加受注及び採用を含む要員の確保等が図られ、売上高は3,936,356千円（前年同期比20.3％増）とな　りました。　　クラウドサービスにつきましては、新規顧客獲得が計画通り進まなかったことにより、売上高は59,692千円　（前年同期比14.0％減）となりました。第２四半期より、営業支援企業を活用した営業活動を推進しており、引　き続き更なる新規顧客の開拓及び販売代理店の拡大を図ってまいります。　　販売費及び一般管理費につきましては、淡路島保養所の建設に伴う福利厚生費及び減価償却費の増加、中途採　用に伴う求人費の増加等により、621,499千円（前年同期比20.6％増）となりました。　　　以上の結果、当第３四半期累計期間における売上高は3,996,048千円（前年同期比19.6％増）、営業利益は　　395,056千円（前年同期比103.4％増）、経常利益は383,532千円（前年同期比90.3％増）、四半期純利益は　　258,709千円（前年同期比114.8％増）となりました。 (2）会計上の見積り及び当該見積りに用いた仮定前事業年度の有価証券報告書に記載した「経営者による財政状態、経営成績及びキャッシュ・フローの状況の分析」中の会計上の見積り及び当該見積りに用いた仮定の記載について重要な変更はありません。 (3）経営方針・経営戦略等当第３四半期累計期間において、当社が定めている経営方針・経営戦略等について重要な変更はありません。 (4）優先的に対処すべき事業上及び財務上の課題当第３四半期累計期間において、当社が優先的に対処すべき事業上及び財務上の課題について重要な変更はありません。 (5）研究開発活動当第３四半期累計期間における研究開発活動の金額は、7,200千円であります。　　なお、当第３四半期累計期間において、当社の研究開発活動の状況に重要な変更はありません。 (6) 主要な設備　　前事業年度末において計画中であった主要な設備の新設について、当第３四半期累計期間に完成したものは、　次のとおりであります。事業所名（所在地）設備の内容投資金額資金調達方法着手年月完了年月予定額（千円）投資額（千円）淡路島保養所（兵庫県洲本市）保養所兼研修施設539,600568,612自己資金2020年３月2023年４月 
経営上の重要な契約等	３【経営上の重要な契約等】　当第３四半期会計期間において、経営上の重要な契約等の決定又は締結等はありません。 
研究開発活動	
設備投資等の概要	
主要な設備の状況	
株式の総数	①【株式の総数】種類発行可能株式総数（株）普通株式4,800,000計4,800,000 
発行済株式、株式の総数等	②【発行済株式】種類第３四半期会計期間末現在発行数（株）（2023年９月30日）提出日現在発行数（株）（2023年11月14日）上場金融商品取引所名又は登録認可金融商品取引業協会名内容普通株式1,402,5001,402,500東京証券取引所スタンダード市場単元株式数100株計1,402,5001,402,500－－ 
配当政策	
コーポレート・ガバナンスの概要	
役員の状況	２【役員の状況】該当事項はありません。 
貸借対照表	
損益計算書	
キャッシュ・フロー計算書	
