項目	値
事業の内容	 ３ 【事業の内容】当社グループは、当社、連結子会社９社、非連結子会社（持分法非適用会社）１社、及び関連会社（持分法適用会社）６社で構成され、基礎、下水道関連、太陽光発電・不動産に関連する事業を主として行っております。当社グループの事業に係わる位置付け及びセグメントとの関連は、次のとおりであります。以下に示す区分は、セグメントと同一の区分であります。(区分)(主要製品・サービス)(主な関係会社) (基礎事業) コンクリートパイルの製造・販売、杭打工事などを行っております。東邦ヒューム管㈱技工曙㈱㈱エヌエィチ・フタバ㈱鋼商 (下水道関連事業) ヒューム管、セグメントなどの製造・販売、管渠更生工事などを行っております。東邦ヒューム管㈱技工曙㈱㈱エヌエィチ・フタバ日本ヒュームエンジニアリング㈱㈱ＮＪＳ大和コンクリート工業㈱東京コンクリート工業㈱旭コンクリート工業㈱㈱鋼商 (太陽光発電・不動産事業) 不動産の賃貸、管理及び開発、太陽光発電事業、環境関連機器の販売及びメンテナンスを行っております。㈱ヒュームズ㈱環境改善計画(そ　の　他)下水道関連工事用機材レンタル及び脱炭素マテリアル事業などを行っております。㈱エヌエクスコンフロンティア㈱〇 （注）〇印を付した会社は非連結子会社であります。 事業系統図は次のとおりであります。(注)  無印は連結子会社、※１は持分法を適用した関連会社、※２は非連結子会社で持分法非適用会社であります。 
経営方針、経営環境及び対処すべき課題等	１ 【経営方針、経営環境及び対処すべき課題等】　文中の将来に関する事項は、当連結会計年度末現在において、当社グループが判断したものであります。 〔経営方針〕① 企業理念当社は以下の企業理念を掲げております。 わが社は、社会基盤の整備に参加し、豊かな人間環境づくりに貢献します。わが社は、人の和をはかり、常に従業員の幸福と生き甲斐を求めていきます。わが社は、未来を見つめ、たゆまぬ技術開発により、強い会社を目指します。 ② 中期経営計画『23－27計画R』1）基本方針 　　「継承と新化」―多様性と相互信頼で成長軌道を描く―  当社は、2025年に会社創立100周年を迎えますが、2025年を通過点とする当５か年において「継承と新化」をミッションに今後予想される事業環境の変化に対応し、200年企業に向けた成長軌道をつくるべく改革の期間と位置づけ「23－27計画Ｒ」を実施してまいります。  2）基本戦略前中期経営計画「21－23計画」の基本戦略として掲げた「事業セグメント別戦略の推進」、「技術開発の強化」、「人財力の強化」といった構想や取組みをさらに発展させ、基本３戦略に基づき、事業環境の変化、社会の変化等の急激な市場構造変化に対応した事業構造改革を推進し、会社創立100周年とその先200年企業へ向けての基盤を構築することを基本戦略としております。   《事業戦略》①　主力事業の振興軌道強化②　戦略事業の強化③　200年企業への基盤構築主力事業である基礎事業では、環境に優しい中掘工法の販売強化、ICT施工管理推進による施工効率向上、摩擦杭対応力強化を推進し、下水道関連事業では、トータルソリューションの増強、耐震化事業、メンテナンス事業の領域拡大、シェアのダントツ化に注力してまいります。戦略事業であるプレキャスト事業では、当社オリジナル基礎製品であるPCウェルの販売強化、高速道路更新事業向け壁高欄の拡販、設計営業力の強化に注力してまいります。また、持続的成長を実現するために、成長事業への投資や探索事業を強化してまいります。さらには、事業戦略の速やかな推進と市場変化に対応するため、５つの部門の構造改革を進めてまいります。変化の時代に、変化を武器に、変化を恐れず挑戦するマインドセットへの改革を進めてまいります。   《財務戦略》①　積極的な成長投資（人財　設備　開発　Ｍ＆Ａ）②　株主還元（安定向上）成長投資として、「プレキャスト製造投資、e-CON事業投資、カーボンニュートラル設備投資、デジタル化、効率化、省力化、設備投資機能向上、生産基盤整備」を実施してまいります。株主還元では、営業利益追求の積極的投資と安定的配当の向上を図り、バランスある株主還元策を実施してまいります。 《ＥＳＧ戦略》①　2030年に向けたCO2削減②　e-CON事業立ち上げによる脱炭素社会実現への貢献事業活動である「社会基盤整備への貢献を通じて持続可能な社会の実現を目指す」を基本方針として、コンクリートテクノロジーをもって安全・安心な社会、脱炭素社会に貢献してまいります。  　3) 中期経営経営計画『23-27計画R』目標値 2024年３月期実績2026年３月期目標2028年３月期目標連結売上高337億円 365億円 400億円 連結営業利益13億円17億円22億円 注)業績予想及び目標は、開示時に当社が入手している情報及び合理的であると判断する一定の前提に基づいて策定したものであり、実際の業績等は今後さまざまな要因によって記載内容と異なる可能性があります。 〔経営環境及び対処すべき課題〕(1)今後の見通し今後の見通しにつきましては、短期的には為替相場および金利の変動やいわゆる「2024年問題」、また、中長期的には、中東情勢などの地政学的リスク、国内においては、人口減少による経済への影響、生産年齢人口減少による人手不足など、多くのリスクシナリオを認識しております。このようなリスクに対して当社グループは、中期経営計画「23－27計画R」で掲げる200年企業に向けた構造改革を推進するとともに、事業戦略、財務戦略、ＥＳＧ戦略に積極的に取り組んでまいります。脱炭素対策においては開発した低炭素型高機能コンクリート「e-CON®」による低炭素製品の供給、建設従事者不足の対応においては大型ブロック製品によるプレキャスト製品工法による生産性向上はビジネスチャンスととらえることができますので、積極的に対応してまいります。脱炭素やサステナブルな社会を追求する動きは今後も続くものと思われます。計画的に省エネ設備導入、製品製造プロセスにおけるCO2排出量削減に注力してまいります。持続的成長に不可欠な人材育成では、成長を促す教育制度の充実、経営トップによる次世代人財の育成などを通して、企業価値の向上を着実に進めてまいります。  (2)今後の取組み中期経営計画「23－27計画R」における2023年度から2027年度までの５カ年計画の初年度は、概ね計画通りの進捗となりました。2024年度は主に以下の内容を鋭意推進してまいります。 　［営業部門］・CRM（顧客関係管理）ツール活用による全部門が有機的につながる組織営業体制を深耕します。・組織から個人まで、データドリブンに基づく目標管理およびマネジメントを強化します。［技術部門］・ＤＸ化推進により設計スピードを上げ、受注機会(設計提案件数)増加を図ります。・本社設計センターの活動を促進して、より難易度の高い設計提案に挑戦しながら、その拠点支援を  通じて、設計技術者の設計力向上を図ります。［技術開発投資］・創立100周年に向け、技術開発の選択と集中を行い、事業化の加速を図ります。・建設用３Ｄプリンターによる多種多様な造形物の製造に挑戦し、新たな分野を探求します。・基礎事業においては、新工法開発を2024年９月までに、杭頭処理工法を2024年10月までに完了を予定　しています。［生産部門］・生産設備の予防保全を図るため、生産設備のＩｏＴ化に取り組みます。また、取得したデータを分  析・活用し、将来のＡＩによる予兆検知の研究に取り組みます。・品質管理についてはデジタル化によるトレーサビリティ強化に取り組みます。［工事部門］・杭工事ＩＣＴ施工管理システム「Pile-ViMSys®」の機能をプレキャスト製品施工管理まで拡充しま  す。2024年度内に当社独自のＰＣウェル工法の施工管理に実装し、管理の標準化と効率化を図り  ます。・「Pile-ViMSys®」で集積した施工管理データを分析し、目視できない地中障害物などのリスクヘッジ  に向けた予兆検知の研究に取り組みます。［管理部門］・経営トップによる次世代人財の育成、車座会議による現場力活性化の継続、成長を促す教育制度の  充実に引き続き取り組みます。・ＡＩを活用した業務改善、働き方改革を積極的に進めます。  企業理念である「社会基盤の整備に参加し、豊かな人間環境づくりへの貢献」こそが当社のプレゼンスとして、企業理念推進のための研究開発投資、社会基盤を支える建材供給責任としての設備投資、付加価値創出のための業務提携やＭ＆Ａ投資、一層の株主還元、政策保有株式縮減を推進してまいります。激動の時代にあっても、普遍的な当社の設立精神や企業理念を常に希求し、社会資本に不可欠な産業であるという社会的使命を持ち、「課題は成長の機会」として、社員の成長、挑戦をもって企業を成長させていく。そういう企業であり続けるように改革を推進してまいります。 
事業等のリスク	３ 【事業等のリスク】文中における将来に関する事項は、当連結会計年度末現在において当社グループが判断したものであります。 (1) 価格競争当社グループを取り巻く経営環境は、競争の激化や市場構造の変化など、依然として厳しい状況が続くものと思われ、当社グループの業績並びに財政状況に影響を及ぼす可能性があります。 (2) 法令・制度等の変更当社グループは、事業の運営等に際し、建設業法等の関係法令等による規制を受けております。当社グループはこれらの関係法令等を遵守した事業運営を行っており、現時点では事業運営に大きく支障をきたすような法的規制はありませんが、これらの規制が強化された場合には、今後の事業戦略に影響する可能性があります。 (3) 海外での事業活動について当社グループの海外関係会社は、事業活動を主にアジアの新興国で展開しております。そのため、予期しない政治状況の激変や法制度の変更、さらに地政学的なリスクが内在しております。 
経営者による財政状態、経営成績及びキャッシュ・フローの状況の分析	 ４ 【経営者による財政状態、経営成績及びキャッシュ・フローの状況の分析】(1) 経営成績等の状況の概要当連結会計年度における当社グループ（当社、連結子会社及び持分法適用会社）の財政状態、経営成績及びキャッシュ・フロー（以下「経営成績等」という。）の状況の概要は次のとおりです。 ①財政状態及び経営成績の状況a. 財政状態当連結会計年度末の資産の残高は、前連結会計年度末と比べ70億99百万円増加し、620億79百万円となりました。当連結会計年度末の負債の残高は、前連結会計年度末と比べ37億１百万円増加し、204億79百万円となりました。当連結会計年度末の純資産の残高は、前連結会計年度末と比べ33億97百万円増加し、415億99百万円となりました。 b. 経営成績当連結会計年度における我が国の経済は、新型コロナウイルス感染症の行動制限撤廃等によるインバウンド需要の拡大や好調な企業業績を背景に日経平均株価は34年ぶりに最高値を更新し、経済・社会活動の正常化が加速し回復基調となりました。当社グループが取り扱う主力製品であるコンクリート二次製品業界は、コンクリートパイルおよびヒューム管等の需要が全国的に前期を大きく下回り、非常に厳しい事業環境となりました。このような状況のもと、当社は2025年に会社創立100周年を迎えますが、25年を通過点とする５か年の中期経営計画「23－27計画Ｒ」において、200年企業に向けた抜本的な構造改革に取り組んでおります。初年度である当期間の主な取組みは次の通りです。 経営戦略面では、Ｍ＆Ａによって人材と技術の相乗効果およびコンクリート二次製品に不可欠な鋼材に係るサプライチェーン強化を図るため、2024年１月に株式会社鋼商の株式を取得し、同社を連結子会社化いたしました。営業戦略面では、お客様を起点として、営業・技術・生産・工事・管理の各部門が有機的に組織営業を展開するためにCRM（顧客関係管理）システムを導入しました。情報の共有化による営業活動の生産性向上を図りながら、暗黙知の形式化による人材育成を推進するとともに、継続してデータドリブンに基づく組織営業体制の改革を進めてまいります。設計技術戦略面では、設計営業提案力を強化する手段として、当社オリジナル工法であるPCウエル工法（ケーソン基礎）の設計システムの改良に取り組みました。設計に要する時間を従来の1/6に短縮することが可能となり、設計提案機会の増大を図りました。また、組織営業の一環として技術本部内に「プレキャスト設計センター」を設置し、設計体制の強化に取り組みました。全地域のお客様からのご相談に応えられる体制を構築し、受注機会の増大に取り組み、今後も設計ソリューション改革を推進してまいります。生産技術戦略面では、将来における工場の省人化・省力化を目指し、建設用３Ｄプリンター技術を活用して、同技術で製造した大型構造物に適用するプレキャスト（PCa）部材を納入しました。建設従事者不足や当社工場での働き方改革を推進するため、引き続き同技術による生産技術開発に取り組んでまいります。研究開発面では、コンクリートパイルおよびヒューム管等の既存事業の強化に関する開発を中心に、新しいプレキャスト製品等の事業領域拡大に向けた開発、低炭素型高機能コンクリートe-CON®等の脱炭素技術の開発に取り組みました。短期・中長期的な視点をもって、たゆまぬ研究開発とその事業化に向けて、引き続き取り組んでまいります。環境対策面では、低炭素型高機能コンクリートe-CON®を用いた生物共生型港湾構造物（ブロック）が国土交通省港湾工事において採用されました。CO2排出量を削減するとともに、耐塩害性・耐酸性に優れた同製品をもって社会インフラの長寿命化に取り組んでまいります。工事戦略面では、トップによる安全パトロールを通じた安全対策の強化、工事体制の人員強化を図り、またICT施工管理システム「Pile-ViMSys®」の全国展開により施工管理業務の時間短縮（約61％削減）を図りました。継続して、安全と施工品質向上に向けた施策に取り組んでまいります。人財戦略面では、「人材を人財へ」をスローガンに、トップによるSNS配信や現場との車座会議を通じた人材育成の機会を創設した他、役割重視の新人事制度、採用体制の強化を図りました。引き続き、人材育成をもって企業価値向上に取り組んでまいります。 これらの取組みの結果、当連結会計年度の売上高は337億32百万円（前期比5.8％増）、営業利益は13億81百万円（同11.8％増）、経常利益は23億91百万円（同13.8％増）、親会社株主に帰属する当期純利益は19億12百万円（同16.4％増）の増収増益となりました。 株主様はじめステークホルダーの皆さまのご期待に応えられるよう、全社一丸となって企業価値向上、中期経営計画「23-27計画R」に取り組んでまいります。 セグメントごとの経営成績は、次のとおりであります。 (基礎事業)売上高は219億24百万円（同10.1％増）、営業利益は11億61百万円（同259.6%増）となりました。総売上高構成比は65.0％であります。 (下水道関連事業)売上高は102億69百万円（同1.9%減）、営業利益は12億72百万円 （同24.3％減）となりました。総売上高構成比は30.4％であります。 (太陽光発電・不動産事業)売上高は14億71百万円（同2.2％増）、営業利益は８億15百万円（同1.0％増）となりました。総売上高構成比は4.4％であります。 (その他)売上高は67百万円（同25.6％増）、営業利益は53百万円（同29.9％増）となりました。 総売上高構成比は0.2％であります。 ②キャッシュ・フローの状況当連結会計年度末における現金及び現金同等物（以下、「資金」といい、現金及び預金から預入期間が３ヶ月を超える定期預金を控除したものをいう。）は、前連結会計年度末と比べ18億85百万円増加の143億４百万円となりました。 （営業活動によるキャッシュ・フロー）当連結会計年度における営業活動により得られた資金は、前連結会計年度と比べ21億24百万円増加の27億74百万円となりました。その主な内訳は、税金等調整前当期純利益25億73百万円、売上債権及び契約資産の増加11億38百万円、仕入債務の増加12億42百万円、持分法による投資損益７億19百万円、減価償却費７億円などによるものであります。 （投資活動によるキャッシュ・フロー）当連結会計年度における投資活動により使用された資金は、前連結会計年度と比べ６億35百万円減少の１億21百万円となりました。その主な内訳は、固定資産の取得による支出７億円、固定資産の売却による収入２億84百万円、投資有価証券の売却による収入２億６百万円、連結の範囲の変更を伴う子会社株式の取得による収入64百万円などによるものであります。 （財務活動によるキャッシュ・フロー）当連結会計年度における財務活動により使用された資金は、前連結会計年度と比べ２億71百万円増加の７億90百万円となりました。その主な内訳は、配当金の支払額５億38百万円、自己株式の取得による支出２億円などによるものであります。  ③生産、受注及び販売の状況a. 生産実績当連結会計年度における生産実績をセグメントごとに示すと、次のとおりであります。 セグメントの名称生産高(千円)前年同期比(％)　基  　礎  　事  　業17,119,742△0.2　下 水 道 関 連 事 業6,460,393+5.5　太陽光発電・不動産事業37,746+5.2　そ       の       他――合　　　　　　計23,617,882+1.3 (注) １．セグメント間の取引については相殺消去しております。２．金額は、基礎事業及び下水道関連事業については製造原価、工事原価、太陽光発電・不動産事業については太陽光発電原価等によっております。 b. 受注状況当連結会計年度における受注状況をセグメントごとに示すと、次のとおりであります。 セグメントの名称受 注 高(千円)前年同期比(％)受注残高(千円)前年同期比(％)　基  　礎  　事  　業22,123,281+1.53,976,024+5.3　下 水 道 関 連 事 業11,382,494+6.15,606,774+24.8　太陽光発電・不動産事業218,072+28.1――　そ       の       他――――合　　　　　　計33,723,847+3.19,582,798+15.9 (注) １．セグメント間の取引については相殺消去しております。 c. 販売実績当連結会計年度における販売実績をセグメントごとに示すと、次のとおりであります。 セグメントの名称販売高(千円)前年同期比(％)　基  　礎  　事  　業21,924,043+10.1　下 水 道 関 連 事 業10,269,225△1.9　太陽光発電・不動産事業1,471,145+2.2　そ       の       他67,672+25.6合　　　　　　計33,732,086+5.8 (注) １．セグメント間の取引については相殺消去しております。２．当連結会計年度におきましては、総販売実績に対する割合が100分の10以上となる主要な販売先がないため、記載を省略しております。 (2) 経営者の視点による経営成績等の状況に関する分析・検討内容経営者の視点による当社グループの経営成績等の状況に関する認識及び分析・検討内容は次のとおりであります。なお、文中の将来に関する事項は、当連結会計年度末現在において判断したものであります。 ① 財政状態及び経営成績の状況に関する認識及び分析・検討内容 a. 財政状態の分析(流動資産)当連結会計年度末の流動資産の残高は、前連結会計年度末と比べ36億23百万円増加し、325億56百万円となりました。これは、現金及び預金が19億28百万円、受取手形、売掛金及び契約資産が８億74百万円増加したことなどによります。 (固定資産)当連結会計年度末の固定資産の残高は、前連結会計年度末と比べ34億76百万円増加し、295億22百万円となりました。これは、投資有価証券が32億88百万円増加したことなどによります。 (流動負債)当連結会計年度末の流動負債の残高は、前連結会計年度末と比べ27億16百万円増加し、156億56百万円となりました。これは、支払手形及び買掛金が13億82百万円増加したことなどによります。 (固定負債)当連結会計年度末の固定負債の残高は、前連結会計年度末と比べ９億84百万円増加し、48億23百万円となりました。これは、繰延税金負債が８億10百万円増加したことなどによります。 (純 資 産)当連結会計年度末の純資産の残高は、前連結会計年度末と比べ33億97百万円増加し、415億99百万円となりました。これは、利益剰余金において親会社株主に帰属する当期純利益により19億12百万円増加した一方、配当金の支払により５億39百万円減少したこと、その他有価証券評価差額金が20億46百万円増加したことなどによります。  b. 経営成績の分析(売 上 高)基礎事業におきましては、コンクリートパイル部門の全国需要は前期を大きく下回って推移しましたが、主に関東地区で受注を伸ばしたことに加え、原材料価格高騰に対する売価改善が進んだことも影響し、219億24百万円（前期比10.1％増）となりました。 下水道関連事業におきましては、市場の需要が前期を下回ったことにより、102億69百万円（前期比1.9%減)となりました。太陽光発電・不動産事業におきましては、14億71百万円（前期比2.2％増)となりました。 その他につきましては、67百万円（前期比25.6％増)となりました。  (営業利益) 営業利益は、13億81百万円(前期比11.8%増)となりました。  (経常利益)経常利益は、23億91百万円(前期比13.8%増)となりました。  (親会社株主に帰属する当期純利益)親会社株主に帰属する当期純利益は、19億12百万円(前期比16.4%増)となりました。 当社グループの経営成績に重要な影響を与える要因につきましては、「第２  事業の状況  ３ 事業等のリスク」に示したとおりであります。 セグメントごとの財政状態及び経営成績の状況に関する認識及び分析・検討内容は、「第２ 事業の状況 ４ 経営者による財政状態、経営成績及びキャッシュ・フローの状況の分析 (1) 経営成績等の状況の概要　①財政状態及び経営成績の状況　b.経営成績」に示したとおりであります。  ②キャッシュ・フローの状況の分析・検討内容並びに資本の財源及び資金の流動性に係る情報当社グループの当連結会計年度のキャッシュ・フローは「第２  事業の状況  ４  経営者による財政状態、経営成績及びキャッシュ・フローの状況の分析 (1) 経営成績等の状況の概要　②キャッシュ・フローの状況」に示したとおりであります。当社グループの資本の財源及び資金の流動性については、原則として運転資金及び設備投資資金について自己資金及び借入により資金調達することとしております。このうち借入による資金に関しては、運転資金を期限が１年以内の短期借入金で調達しております。2024年３月31日現在の短期借入金残高は14億48百万円で、２種類の通貨による銀行借入金から成っており、主な通貨は日本円であります。生産設備等に係る長期資金は、主として自己資金によって賄っております。　当社グループは、運転資金の効率的な調達を行うため取引銀行９行と当座貸越契約（極度額50億18百万円）及び株式会社みずほ銀行と特定融資枠契約（特定融資枠５億円、契約期間：2024年３月30日～2025年３月29日）を締結しており、これにより当社グループの成長を維持するのに将来必要な運転資金及び設備投資資金を調達することが可能と考えております。 ③重要な会計上の見積り及び当該見積りに用いた仮定当社グループの連結財務諸表は、わが国において一般に公正妥当と認められている会計基準に基づき作成されております。この連結財務諸表の作成にあたって、資産、負債、収益及び費用の報告額に影響を及ぼす見積り及び仮定を用いておりますが、これらの見積り及び仮定に基づく数値は実際の結果と異なる可能性があります。　連結財務諸表の作成にあたって用いた会計上の見積り及び仮定のうち、重要なものは「第５　経理の状況　１　連結財務諸表等 (1) 連結財務諸表　注記事項（重要な会計上の見積り）」に記載しております。  セグメントごとの財政状態及び経営成績の状況に関する認識及び分析・検討内容は、「第２  事業の状況  ４  経営者による財政状態、経営成績及びキャッシュ・フローの状況の分析 (1) 経営成績等の状況の概要  ①財政状態及び経営成績の状況　b.経営成績」に示したとおりであります。 (3) 資本の財源及び資金の流動性についての分析① キャッシュ・フローの状況「第２  事業の状況  ４  経営者による財政状態、経営成績及びキャッシュ・フローの状況の分析 (1) 経営成績等の状況の概要  ②キャッシュ・フローの状況」に示したとおりであります。　 ② 財務政策当社グループは、原則として運転資金及び設備投資資金について自己資金及び借入により資金調達することとしております。このうち借入による資金に関しては、運転資金を期限が１年以内の短期借入金で調達しております。2024年３月31日現在の短期借入金残高は14億48百万円で、２種類の通貨による銀行借入金から成っており、主な通貨は日本円であります。生産設備等に係る長期資金は、主として自己資金によって賄っております。当社グループは、運転資金の効率的な調達を行うため取引銀行９行と当座貸越契約（極度額50億18百万円）及び株式会社みずほ銀行と特定融資枠契約（特定融資枠５億円、契約期間：2024年３月30日～2025年３月29日）を締結しており、これにより当社グループの成長を維持するのに将来必要な運転資金及び設備投資資金を調達することが可能と考えております。 
経営上の重要な契約等	５ 【経営上の重要な契約等】該当事項はありません。 
研究開発活動	 ６ 【研究開発活動】当社グループは、既存事業の強化に関する開発を中心に、新しいプレキャスト製品等の事業領域拡大に向けた開発にも取り組みました。中期経営計画「23-27計画R」では事業に繋げるまでを目的とし、事業開発体制の強化を掲げております。短期・中長期的な視点をもって、たゆまぬ技術開発とその事業化に向けて、引き続き取り組んでまいります。 当連結会計年度におけるセグメントごとの研究開発活動の状況は次のとおりであります。なお、当連結会計年度の研究開発費の総額は447百万円であります。この費用には研究開発に係る人件費等を含んでおります。 (1) 基礎事業当社が得意とするコンクリート杭の施工法である中掘工法(CO2排出量の削減にも貢献)において、業界トップの支持力を目指す新中掘工法の開発等を行いました。当連結会計年度の研究開発費の金額は262百万円であります。 (2) 下水道関連事業将来における工場の省人化・省力化を目指し、建設用３Ｄプリンター技術の研究開発等に取り組みました。当連結会計年度の研究開発費の金額は184百万円であります。
設備投資等の概要	１ 【設備投資等の概要】当連結会計年度の設備投資については、工場設備の増強による効率化の向上および環境への配慮を目的として実施しております。 当連結会計年度の設備投資の総額は624百万円であり、セグメントごとの設備投資について示すと、次のとおりであります。 (1) 基礎事業当連結会計年度は、既存の工場生産設備の更新を中心とする総額343百万円の設備投資を実施しました。なお、重要な設備の除却又は売却はありません。 (2) 下水道関連事業当連結会計年度は、既存の工場生産設備の更新を中心とする総額193百万円の設備投資を実施しました。なお、重要な設備の除却又は売却はありません。 (3) 太陽光発電・不動産事業当連結会計年度は、特記すべき設備投資はありません。なお、重要な設備の除却又は売却はありません。 (4) その他当連結会計年度は、特記すべき設備投資はありません。なお、重要な設備の除却又は売却はありません。 (5) 全社共通当連結会計年度は、提出会社において、研究開発用資産の製作・購入を中心とする総額79百万円の設備投資を実施しました。なお、重要な設備の除却又は売却はありません。
主要な設備の状況	 ２ 【主要な設備の状況】(1) 提出会社2024年３月31日現在事業所名(所在地)セグメントの名称設備の内容帳簿価額(千円)従業員数(名)建　物及び構築物機械装置及び運搬具土　地(面積㎡)その他合　計本 社(東京都港区)―統括業務施設229,37019,619609,821(474)7,110865,921146熊 谷 工 場(埼玉県熊谷市)基礎/下水道関連事業生 産 設 備336,156798,6951,522,384(163,895)02,657,23671府中ＮＨビル(東京都府中市)太陽光発電・不動産事業賃 貸 設 備2,227,900―165,178(11,518)1,6132,394,692― (注) １．現在休止中の主要な設備はありません。２．帳簿価額のうち「その他」は、工具、器具及び備品であります。３．上記のほか、連結会社以外へ賃貸している設備の内容は下記のとおりであります。　会社名事業所名(所在地)セグメントの名称設備の内容帳簿価額(千円)土　地(面積㎡)合　計東京コンクリート工業株式会社本 社 工 場(群馬県藤岡市)太陽光発電・不動産事業土　　地210,450(6,900)210,450 　(2) 国内子会社該当事項はありません。　(3) 在外子会社2024年３月31日現在会社名事業所名(所在地)セグメントの名称設備の内容帳簿価額(千円)従業員数(名)建物及び構築物機械装置及び運搬具土　地(面積㎡)その他合　計P.T.ヒュームコンクリートインドネシアインドネシア基礎事業生産設備41248228,202(38,580)1,29030,38724 (注) １．現在休止中の主要な設備はありません。２．帳簿価額のうち「その他」は、工具、器具及び備品であります。 
株式の総数	① 【株式の総数】 種　　　　　類発行可能株式総数(株)普　通　株　式80,000,000計80,000,000  
発行済株式、株式の総数等	② 【発行済株式】 種類事業年度末現在発行数(株)(2024年３月31日)提出日現在発行数(株)(2024年６月27日)上場金融商品取引所名又は登録認可金融商品取引業協会名内容普通株式29,347,50029,347,500東京証券取引所プライム市場単元株式数は100株であります。計29,347,50029,347,500――  
