項目	値
事業の内容	３【事業の内容】当社グループは、当社及び子会社１社で構成されており、「スパンクリート（穴あきＰＣ板）」の製造、販売を主たる業務としております。当社グループの事業内容及び当社と関係会社の当該事業に係る位置付けは次のとおりであります。なお、次の３事業は「第５　経理の状況　１　連結財務諸表等　(1)連結財務諸表　注記事項」に掲げるセグメントの区分と同一であります。(1）スパンクリート事業………建築用床・壁・屋根の材料として建築業界に広く採用されております「スパンクリート」を主要な製品として、その製造・販売の事業を行っております。(2）不動産事業…………………オフィスビル等の賃貸業を手掛けております。(3）プレキャスト事業…………建設用柱・梁・バルコニー等のプレキャストコンクリート製品の販売事業を行っております。岩瀬プレキャスト株式会社は、プレキャストコンクリート製品の製造・販売の事業を行っております。　事業の系統図は次のとおりであります。（※）岩瀬プレキャスト株式会社は、2024年４月23日開催の同社取締役会において、破産手続開始の申立てを行うことを決議し、2024年５月15日に破産手続開始決定を得ております。  
経営方針、経営環境及び対処すべき課題等	１【経営方針、経営環境及び対処すべき課題等】当社グループの経営方針、経営環境及び対処すべき課題等は、以下のとおりであります。なお、文中の将来に関する事項は、当連結会計年度末現在において当社グループが判断したものであります。(1)経営方針当社は、創業以来スパンクリート（穴あきPC板）と呼ぶコンクリート部材を建設業界に供給しております。当社の主力製品であるスパンクリートは、耐久性の面に優れ、断熱性能、遮音性能、耐火性能面でも優れた特性を有しており、工場での量産が可能であり、プレハブ化による工期の短縮、工事の省力化を図ることができ、ひいては建設コストの引き下げに貢献することができます。建設業界にとって建築施工の合理化を推進していくことは永遠の命題であり、スパンクリートはその一助になり得るものと確信しております。当社は、このスパンクリートを安定的に供給できる生産、販売体制を強化し、かつ効率化を推進することにより、建築の合理化を必要とする顧客のニーズに応え満足していただくとともに、自己の企業価値を高め広く社会に貢献する企業を目指してまいりたいと考えております。(2)経営戦略等当社グループを取り巻く環境は依然として厳しいものがある中で、当面の経営戦略は次のとおりと考えております。①　新たな販路を構築し、超高層マンション・大型倉庫・競技場の床材拡販に注力し、工場の操業度及び利益の確保に努める②　総製造原価上昇に対応した販売価格の適正改定③　スパンクリート事業において、他社のコンクリート製品、工法とのコスト競争力を強化するとともに工場の効率化を図り、同時に顧客ニーズへの即応体制を構築し、製品の品質安定・改善に努める④　スパンクリートの生産ラインを活かした、より付加価値の高い新製品の開発に努める⑤　収益基盤の安定化を図るために、不動産事業の着実な推進を図る(3)経営上の目標の達成状況を判断するための客観的な指標等当社グループは、経営指標として、経常利益額と経常利益率を主に重視しております。短期的には何よりまず黒字化を達成することを経営上の目標としておりますが、現時点では黒字化を達成することができておりません。販売価格の改定、付加価値のある製品開発、効率的な組織運営及びコストの最適化に取組み、まずは黒字化を早期に達成できるよう目指してまいりたいと考えております。 (4)優先的に対処すべき事業上及び財務上の対処すべき課題当社グループにおけるセグメント別の当面の対処すべき課題と取組みは次のとおりであります。 ＜スパンクリート事業＞①　総製造原価上昇に対応した販売価格の適正改定②　新たな販路を構築し、超高層マンション・大型倉庫・競技場の床材拡販に注力し、工場の操業度及び利益の確保に努める③　改良新製品研究開発への注力④　原材料の値上げに対する仕入れ取引先へのきめ細かな対応⑤　生産コストダウンへ向けた継続的な活動と新規テーマの探索⑥　生産数量の増減に備えた協力会社との連携推進⑦　相対的に利益率の高い製品の販売拡大⑧　サステナビリティの一環として、カーボンニュートラルを実現する製品開発の推進 ＜不動産事業＞①　賃貸物件３棟の高稼働の確保 ＜プレキャスト事業＞①　事業撤退を予定(5)経営環境経営環境については、原材料・エネルギー価格の上昇や円安の進行による物価上昇の影響が続いており、依然として先行き不透明な状況が続いております。このような環境の中、スパンクリート事業は、他社製品との価格競争激化による受注数量の減少、総製造原価上昇による事業収益の低下が見込まれ、工場の操業度及び利益の確保が厳しく、工場の安定運営が難しくなってきております。なお、不動産事業は、賃貸用不動産が高稼働を維持し、安定した賃料収入を得ております。  
事業等のリスク	３【事業等のリスク】当社グループの業績は、今後起こりうる様々な要因により大きな影響を受ける可能性があります。当社グループの事業展開上のリスク要因となる可能性があると考えられる主な事項とその対策については、各部との対話を通じてリスクマネジメント委員会が取り纏め、取締役会に報告しております。これらのリスクのうち、当社グループの経営成績及び財政状態等に重要な影響を与える可能性があると考えている主要なリスクは、以下のとおりであります。なお、文中における将来に関する事項は、当連結会計年度末現在において、当社グループが判断したものであります。（1）市場リスク他社製品へのシフトといった需要の変動は、当社グループの経営成績に影響を及ぼすリスクがあります。このリスクに対しては、営業体制を強化し、市場分析を随時行い市場ニーズに合った製品の供給、新規顧客との接点を増やし市場開拓に努めております。（2）資材価格の変動リスク原材料価格の高騰等により資材の調達価格が想定以上に上昇した場合、販売価格に転嫁できず十分な利益が確保できないリスクがあります。このリスクに対応するため、資材調達の早期発注や資材調達先の多様化を図るとともに、調達価格の動向を踏まえ、お客様に対し、販売価格へのコスト転嫁を申し入れております。（3）品質の低下リスク設計・生産過程における人的誤りが不適合製品の出荷に繋がり、顧客の信頼を失うリスクがあります。防止策として、事前の打ち合わせによる情報共有の徹底、製品検査の充実、顧客要請への対応などを進めております。製品を納入する場所の環境や据付場所によっては、漏水や塩害等により想定を超える製品の劣化や耐力の劣化が進むこと、あるいは施工時の取付け部材等の不具合を起因とした事故が発生することがないとはいえず、その場合には業績に何らかの影響を及ぼすリスクがあります。顧客からの当社グループ製品に関する意見には絶えず真摯に対応し、必要な場合には現地調査を行い、顧客と相談しながら対応策を提案しております。（4）コンプライアンスに関するリスク建築基準法、水質汚濁防止法、製造物責任法（ＰＬ法）、下請代金支払遅延等防止法、税法、労働基準法等関連諸法や関連業法に違反することで当社グループの信頼が低下し、経営に深刻な打撃を被るリスクがあります。関連諸法や関連業法に違反することがないよう、絶えず万全の注意を払うよう努めております。当社グループ外へ提出する書類のデータ改ざん、キックバックの要求等の不正行為、ハラスメント行為により当社グループの信頼が低下し経営に深刻な打撃を被るリスクがあります。当社グループでは、コンプライアンス規程をイントラネットに掲載し、社員研修や朝礼、面接等を通じて社員のコンプライアンス意識の向上に努めております。また、コンプライアンスの違反情報を提供する手段として、社内外に通報窓口を設置しております。（5）被災に関するリスク製造拠点の被災からの復旧に時間がかかるリスクがあります。事業継続計画(ＢＣＰマニュアル)を活用することにより早期の復旧対応を目指しております。また、ＢＣＰマニュアルの定期的な見直しと社内啓蒙活動を実施しております。（6）設備の故障によるリスク設備老朽化等による故障や破損による生産への影響リスクがあります。設備点検等を定期的に行い、設備更新投資計画を立て実施することで、故障や破損が生じないよう取り組んでおります。（7）人材育成・人材確保に関するリスク人材不足は社会現象と言える深刻な問題であり、人材不足の慢性化は過重労働等の職場環境の悪化や、事業運営に欠かせない人材育成の機会喪失、モチベーションの低下を招くリスクがあります。このリスクに対応するために、高い志と貢献意欲を持った幅広い年齢層での人材を採用し、同時に職場環境の維持・改善を図り、人材育成による技術の革新、継承等を行い、適正人材の確保に努めております。（8）重要事象等について当社グループは、当連結会計年度において、営業損失323百万円、経常損失305百万円、親会社株主に帰属する当期純損失301百万円を計上する結果となりました。主力事業であるスパンクリート事業は、当連結会計年度まで５期連続の営業損失となり、プレキャスト事業においては、プレキャスト製品の製造及び販売を行う合弁会社である岩瀬プレキャスト株式会社の取締役会において破産手続開始の申立てを行うことを決議し、2024年５月15日に破産手続開始の決定を得ており、2025年３月期事業年度に当該事業からの撤退を予定しております。そのため、継続企業の前提に関する注記を開示するまでには至りませんが、継続企業の前提に重要な疑義を生じさせるような事象又は状況が存在しているものと認識しております。こうした状況を早期に解消または改善すべく対応策に取り組んでおりますが、来期の事業計画においても黒字化は見込めておりません。しかしながら、保有現預金から資金計画上、継続企業の前提に関する不確実性は認められないものと判断しております。連結営業利益の黒字化に向けては、継続して経費の見直し、最適化を進める一方で依然として不透明な経営環境の中で安定的・継続的に利益を創造する体制を構築すること、コスト上昇に対する価格転嫁および、製品の付加価値を総合的に高めていくことを考えております。具体的な取組みは次のとおりであります。①　販売価格の改定および付加価値のある製品開発②　効率的な組織運営とコストの最適化③　外部企業とのアライアンスによる組織力の強化なお、セグメント別の取組みについては、「第２　事業の状況　１経営方針、経営環境及び対処すべき課題等（4）優先的に対処すべき事業上及び財務上の対処すべき課題」に記載のとおりであります。上記の戦略を実行し、経営基盤の更なる安定と成長を目指して鋭意努力してまいる所存でおります。  
経営者による財政状態、経営成績及びキャッシュ・フローの状況の分析	４【経営者による財政状態、経営成績及びキャッシュ・フローの状況の分析】(1)経営成績等の状況の概要当連結会計年度における当社グループの財政状態、経営成績及びキャッシュ・フロー（以下「経営成績等」という。）の状況の概要は次のとおりであります。①財政状態及び経営成績の状況ａ．経営成績の状況当連結会計年度のわが国経済は、新型コロナウイルス感染症の「５類感染症」への移行に伴う社会経済活動の正常化やインバウンド需要の回復により、緩やかな景気回復傾向が続いておりますが、原材料・エネルギー価格の上昇及び円安の進行による物価上昇の影響により、先行き不透明な状況が続いております。この間、建設市場におきましては、建設資材の高騰、高齢化による人手不足等により、建設コストが大きく上昇しており、厳しい市場環境が続いております。そうした中、当期の当社グループの業績は、売上高2,035百万円（前期比10.3％減）、営業損失323百万円（前期は営業損失511百万円）、経常損失305百万円（前期は経常損失504百万円）、親会社株主に帰属する当期純損失301百万円（前期は親会社株主に帰属する当期純損失548百万円）となりました。 セグメントごとの経営成績は、次のとおりであります。 （スパンクリート事業）当事業は、原材料・エネルギーの上昇コストを販売価格へ転嫁するよう努めました。価格転嫁出来た案件も相当の範囲であったものの、価格改定後、他商材との競合で失注する案件もありました。また、案件の着工中止・遅延の影響もあり、売上金額・数量共に低調となりました。この結果、売上高は1,353百万円（前期比14.4％減）、セグメント損失345百万円（前期セグメント損失295百万円）となりました。サステナビリティの一環として、ゼネコンと共同施策しているグリーンイノベーションプロジェクトについては、引続き技術検討を行うとともに、初期サンプル品の製造を行っております。 （不動産事業）当事業は、賃貸用不動産が高稼働を維持し、安定的に推移しているものの一部テナントの退去があり、売上高218百万円（前期比6.3％減）、セグメント利益112百万円（前期比2.6％減）と減収減益となりました。 （プレキャスト事業）当事業は、売上高463百万円（前期比2.0％増）、セグメント損失90百万円（前期はセグメント損失331百万円）となりました。なお、プレキャスト製品の製造及び販売を行う合弁会社である岩瀬プレキャスト株式会社については、2024年４月23日開催の同社取締役会において破産手続開始の申立てを行うことを決議し、2024年５月15日に破産手続開始決定を得ております。 ｂ．財政状態の状況（資産）当連結会計年度末における流動資産は売掛金が増加したものの、現金及び預金並びに前払費用の減少により、前連結会計年度末に比べ407百万円減少し、2,825百万円となりました。固定資産は建物及び構築物並びに機械装置及び運搬具が減少したものの、投資有価証券の増加により、前連結会計年度末に比べ15百万円増加し、3,825百万円となりました。この結果、総資産は6,651百万円となり、前連結会計年度末に比べ391百万円減少いたしました。 （負債）　当連結会計年度末における流動負債は工事未払金が増加したものの、短期借入金及び買掛金の減少により、前連結会計年度末に比べ93百万円減少し、736百万円となりました。　固定負債は再評価に係る繰延税金負債及び繰延税金負債の増加により、前連結会計年度末に比べ42百万円増加し、446百万円となりました。　この結果、負債は1,182百万円となり、前連結会計年度末に比べ50百万円減少いたしました。 （純資産）　当連結会計年度末における純資産は、前連結会計年度末に比べ340百万円減少し、5,468百万円となりました。　これは主に当期純損失341百万円計上したことによるものであります。なお、2023年６月23日開催の第61回定時株主総会決議に基づき2023年８月31日付で資本金の額の減少及び剰余金の処分による欠損填補を実施し、資本金が3,195百万円減少、その他資本剰余金が2,698百万円増加、繰越利益剰余金が496百万円増加しております。　この結果、自己資本比率は82.6％（前連結会計年度末は82.3％）となりました。 ②キャッシュ・フローの状況当連結会計年度末における現金及び現金同等物（以下「資金」という。）の期末残高は、前連結会計年度に比べて388百万円減少し、2,004百万円となりました。当連結会計年度における各キャッシュ・フローの状況とそれらの要因は次のとおりであります。（営業活動によるキャッシュ・フロー）　営業活動によるキャッシュ・フローは、282百万円の資金の減少（前連結会計年度は129百万円の資金の減少）となりました。　これは主に、減価償却費63百万円等の資金の増加があったものの、税金等調整前当期純損失334百万円、売上債権の増加額118百万円等の資金の減少が上回ったものであります。 （投資活動によるキャッシュ・フロー）　投資活動によるキャッシュ・フローは、53百万円の資金の減少（前連結会計年度は85百万円の資金の減少）となりました。　これは主に、有形固定資産の売却による収入２百万円等の資金の増加があったものの、有形固定資産の取得による支出56百万円等の資金の減少が上回ったものであります。 （財務活動によるキャッシュ・フロー）　財務活動によるキャッシュ・フローは、52百万円の資金の減少（前連結会計年度は46百万円の資金の増加）となりました。　これは主に短期借入金の返済による支出48百万円等の資金の減少によるものであります。 ③生産、受注及び販売の実績ａ．生産実績当連結会計年度の生産実績をセグメントごとに示すと、次のとおりであります。セグメントの名称当連結会計年度（自　2023年４月１日至　2024年３月31日）前年同期比（％）スパンクリート事業（千円）1,439,535△11.4不動産事業（千円）－－プレキャスト事業（千円）337,197△35.1合計（千円）1,776,732△17.1　（注）１．金額は販売価格によっております。　　　　２．当連結会計年度における生産実績の著しい変動の要因は、「（1）経営成績等の状況の概要　①財政状態及び経営成績の状況」に記載のとおりであります。 ｂ．受注実績当連結会計年度における受注実績をセグメントごとに示すと、次のとおりであります。セグメントの名称受注高（千円）前年同期比（％）受注残高（千円）前年同期比（％）スパンクリート事業1,593,17234.3377,646154.6不動産事業－－－－プレキャスト事業123,000△58.8－△100.0合計1,716,17215.6377,646△22.7　（注）当連結会計年度における受注実績の著しい変動の要因は、「（1）経営成績等の状況の概要　①財政状態及び経営成績の状況」に記載のとおりであります。 ｃ．販売実績当連結会計年度の販売実績をセグメントごとに示すと、次のとおりであります。セグメントの名称当連結会計年度（自　2023年４月１日至　2024年３月31日）前年同期比（％）スパンクリート事業（千円）1,353,184△14.4不動産事業（千円）218,737△6.3プレキャスト事業（千円）463,1752.0合計（千円）2,035,097△10.3　（注）１．不動産事業は、土地建物等の賃貸料収入によるものであります。２．最近２連結会計年度における主な相手先別の販売実績及び当該販売実績の総販売実績に対する割合は次のとおりであります。相手先前連結会計年度（自　2022年４月１日至　2023年３月31日）当連結会計年度（自　2023年４月１日至　2024年３月31日）金額（千円）割合（％）金額（千円）割合（％）ＭＵＣＣ商事株式会社（注）1,263,33155.71,236,95960.8東急建設株式会社440,85319.4463,17522.8（注）三菱商事建材株式会社は2023年10月１日付で宇部建設資材販売株式会社を吸収分割承継会社とする吸収分割により、セメント等販売事業を承継し、翌日付で宇部建設資材販売株式会社はＭＵＣＣ商事株式会社に社名変更いたしました。なお、前連結会計年度の同社に対する販売実績は、三菱商事建材株式会社のみの金額を表示しております。 (2)経営者の視点による経営成績等の状況に関する分析・検討内容経営者の視点による当社の経営成績等の状況に関する認識及び分析・検討内容は次のとおりであります。なお、文中の将来に関する事項は、当連結会計年度末現在において判断したものであります。①当連結会計年度の経営成績の状況に関する分析・検討内容ａ．経営方針、経営戦略、経営上の目標の達成状況を判断するための客観的な指標等当社は、事業の発展を通じて企業価値を安定的に成長させていくことを目標としており、営業利益等利益の確保と利益率の向上を重要な経営指標として認識しております。今後とも、経営基盤の強化と効率化の追求により、安定的な収益を確保し企業価値を高めてまいります。 ｂ．財政状態当連結会計年度の当社グループの財政状態は、第２　事業の状況　４経営者による財政状態、経営成績及びキャッシュ・フローの状況の分析　（1）経営成績等の状況の概要　①財政状態及び経営成績の状況　ｂ．財政状態の状況で記載したとおりであります。 ｃ．経営成績当連結会計年度の当社グループの業績は、「第２　事業の状況　４経営者による財政状態、経営成績及びキャッシュ・フローの状況の分析　（1）経営成績等の状況の概要　①財政状態及び経営成績の状況　ａ．経営成績の状況」で記載したとおりであります。 ②キャッシュ・フローの状況・検討内容並びに資本の財源及び資金の流動性に関する情報ａ．当連結会計年度のキャッシュ・フローの状況につきましては、「「第２　事業の状況　４経営者による財政状態、経営成績及びキャッシュ・フローの状況の分析　（1）経営成績等の状況の概要　②キャッシュ・フローの状況」に記載のとおりであります。 ｂ．資本の財源及び資金の流動性資金需要当社グループの運転資金需要のうち主なものは、スパンクリート及びプレキャスト製品製造のための原材料の仕入れ、人件費及び製造設備の投資等にかかるものがあります。また、不動産事業のために生じる資金需要については、既存３棟の維持補修等の設備投資があります。 財務政策当社グループは現在、運転資金及び設備資金につきましては、自己資金又は借入金により賄っております。運転資金及び設備資金につきましては期限が一年以内の短期借入金で調達しており、2024年３月31日現在の短期借入金残高は合計500百万円であります。 ③重要な会計方針及び見積り当社グループの連結財務諸表は、わが国において一般に公正妥当と認められている会計基準に基づき作成されております。この連結財務諸表を作成するにあたって、資産、負債、収益及び費用の報告額に影響を及ぼす見積り及び仮定を用いていますが、これらの見積り及び仮定に基づく数値は実際の結果と異なる可能性があります。連結財務諸表の作成にあたって用いた会計上の見積り及び仮定のうち、重要なものは「第５　経理の状況　１　連結財務諸表等　（１）連結財務諸表　注記事項　（重要な会計上の見積り）」に記載しております。  
経営上の重要な契約等	５【経営上の重要な契約等】合弁契約契約締結先契約内容出資比率合弁会社名設立年月東急建設株式会社プレキャスト製品の製造販売を行うための合弁契約当社　　　　　　:60％東急建設株式会社:40％岩瀬プレキャスト株式会社2021年４月 取引基本契約契約会社名相手方の名称契約の名称契約内容契約期間株式会社スパンクリートコーポレーションＭＵＣＣ商事株式会社取引基本契約製造する製品の販売に関する基本契約2023年10月１日から2024年８月31日以後、１年毎に自動更新（注）三菱商事建材株式会社は2023年10月１日付で宇部建設資材販売株式会社を吸収分割承継会社とする吸収分割により、セメント等販売事業を承継し、翌日付で宇部建設資材販売株式会社はＭＵＣＣ商事株式会社に社名変更いたしました。上記契約は当該吸収分割に伴い契約が承継されたものであります。  
研究開発活動	６【研究開発活動】当社グループの研究開発は、主力であるスパンクリート事業を中心に、技術室と生産課が取り組んでおります。また、案件によっては建設会社や外部の研究機関と共同で進めております。当連結会計年度におけるスパンクリート事業の研究は、建築材料の多様化に対応していくため、付加価値製品等の研究開発や新規用途の開発に取り組んでおり、当連結会計年度の研究開発費の総額は6百万円となっております。内容は、主として、超薄物パネルなどの付加価値製品を可能とする生産技術の開発、木材との複合パネルの開発等に取り組んでいます。また、『グリーンイノベーション基金事業/CO2を用いたコンクリート等製造技術開発プロジェクト』のコンクリート分野における技術開発提案に民間企業の1社として参画しております。 
設備投資等の概要	１【設備投資等の概要】当連結会計年度の設備投資総額は、60百万円であります。スパンクリート事業においては、スパンクリート製品における宇都宮工場の経常的設備の改修及び更新を中心に、28百万円の設備投資を実施いたしました。不動産事業においては、既存３棟の維持補修を中心に20百万円の設備投資を実施いたしました。プレキャスト事業においては、岩瀬工場の設備の改修及び更新を中心に、1百万円の設備投資を実施いたしました。また、当連結会計年度において、減損損失28百万円を計上いたしました。減損損失の内容については「第５経理の状況　１連結財務諸表等　（１）連結財務諸表　注記事項（連結損益計算書関係）※７　減損損失」に記載のとおりであります。 
主要な設備の状況	２【主要な設備の状況】(1）提出会社2024年３月31日現在 事業所名(所在地)セグメントの名称設備の内容帳簿価額従業員数(人)建物及び構築物（千円）機械装置及び運搬具（千円）土地（千円）(面積㎡)リース資産（千円）その他（千円）合計（千円）宇都宮工場(栃木県宇都宮市)スパンクリート事業生産設備00885,974(61,282)－0885,97440(5)岩瀬工場(茨城県桜川市)プレキャスト事業不動産事業製品保管設備賃貸用設備129,71223,722126,302(64,821)－12,526292,264 駒込スパンクリートビル(東京都文京区)不動産事業賃貸用ビル253,960－221,061(305)－－475,021 茅場町駅前ビル(東京都中央区)不動産事業賃貸用ビル140,234－626,968(154)－184767,388 神田ＴＮＫビル(東京都千代田区)不動産事業賃貸用ビル328,118－611,270(406)－－939,388 本社ほかスパンクリート事業不動産事業総括業務施設14,374－166,224(4,165)05,230185,82924(8)　（注）１．本社事務所は、賃借（187.5㎡）しております。２．帳簿価額のうち「その他」は、工具、器具及び備品であります。３．従業員数の（　）は、臨時従業員を外書しております。 (2）国内子会社2024年３月31日現在 会社名事業所名（所在地）セグメントの名称設備の内容帳簿価額従業員数（人）建物及び構築物（千円）機械装置及び運搬具（千円）その他（千円）合計（千円）岩瀬プレキャスト㈱岩瀬工場（茨城県桜川市）プレキャスト事業生産設備及び事務所0000－(－)（注）１．帳簿価額のうち「その他」は、工具、器具及び備品であります。２．従業員数の（　）は、臨時従業員を外書しております。 
株式の総数	①【株式の総数】種類発行可能株式総数（株）普通株式28,824,000計28,824,000
発行済株式、株式の総数等	②【発行済株式】種類事業年度末現在発行数（株）(2024年３月31日)提出日現在発行数（株）(2024年６月28日)上場金融商品取引所名又は登録認可金融商品取引業協会名内容普通株式9,332,4009,332,400東京証券取引所スタンダード市場単元株式数100株計9,332,4009,332,400－－
