項目	値
事業の内容	 ３ 【事業の内容】当社グループ(当社及び当社の関係会社)は、当社、子会社、親会社で構成され、土木コンクリート製品及び金属製品の製造販売並びに工事の請負を主な内容としております。当社グループの事業に係る位置付け及びセグメントとの関連は次のとおりであります。土木土木用製品の製造販売及び付帯工事請負……セグメント(トンネルの構造部材)を主とする土木用製品は、当社が製造販売及び付帯工事の請負を行っているほか、親会社である日本製鉄㈱からの受託製造を行っております。また、子会社であるジオファクト㈱に製造の一部を外注し、土木用製品の原材料等を子会社であるジオファクト㈱より仕入れております。  事業の系統図は次のとおりであります。　　
経営方針、経営環境及び対処すべき課題等	１ 【経営方針、経営環境及び対処すべき課題等】　文中の将来に関する事項は、当連結会計年度末現在において、当社グループが判断したものであります。　(1) 会社の経営の基本方針当社グループは「人の満足を支える」ことを使命とし、社会のニーズに即応した土木建材製品を供給し、社会資本の整備と国民生活の向上に大きく貢献することを基本方針とし、今日まで新たな需要・用途開発を心がけ、高品質で廉価な製品を供給できるようグループ一体となり努力してまいりました。これからも、この仕事に誇りをもって、新しい技術、新しい製品を創り出し、お客様に、株主の皆様に、社員に、そして地域社会に貢献して行く所存であります。　(2) 経営上の目標の達成状況を判断するための客観的な指標等当社グループは、お客様に優れた土木建材製品を供給し、長期的に安心して使用していただくことを使命としておりますので、収益性向上と財務体質強化を最も重要な経営目標としております。また、持続可能な開発目標（ＳＤＧs）の達成に向けても、取り組みを強化することが重要と認識しており、今後これらの施策について客観的な指標を示しつつ実施してまいります。　(3) 経営環境、中長期的な会社の経営戦略及び対処すべき課題当社グループの属する土木業界につきましては、公共投資は堅調に推移しており、引き続き補正予算の効果もあり、底堅く推移することが期待されます。一方、鉄筋をはじめとした諸資材価格の高騰、さらには電力等のエネルギー価格や運賃の高騰など今後も予断を許さない状況にあります。　このような状況下、全社員・グループ会社が一丸となり以下の重点課題に取り組んでまいります。 　 ①総合競争力の強化当社グループは、鉄筋やセメントなど資材価格上昇等の環境変化に対応しつつ、強靭な収益体質の構築に向け、大型セグメントに留まらず中小セグメント、土木製品の新規受注並びに生産の積み増し、さらには徹底した原価低減等の諸施策を進めることで、安定した収益構造の構築を図るとともに、当社の強みである製造力、商品力、優れた品質からなる事業力と人材、安全、環境などの事業基盤の一層の強化を通じて総合競争力の強化を図ってまいります。    ②新規商品の開発・技術提案力の強化防災・減災分野を中心に新規分野開拓に向け、新商品の投入や市場ニーズに基づく商品のブラッシュアップを図るとともに、コンクリートと鉄のハイブリッド製品を中心とした差別化製品の開発を行い、土木製品で市場開拓強化を図ってまいります。また、同時に当社が得意とする大型・特殊製品を設計に織り込むなど、技術提案力の強化に取り組んでまいります。   ③女性活躍の推進女性の管理職への登用など中核人材の多様性確保は、中長期的な成長と企業価値向上に不可欠なものと考えており、当社は子育て世代支援策として、育児休業と短時間勤務の制度の拡充を行うなど、安心して子育てができる制度の整備をはじめ、女性社員がその能力を発揮できる環境整備を行ってきております。まずは、３年後の女性管理職比率７％を目標としたうえで、キャリアを通じ女性従業員がその能力を発揮し続ける事を支援し、指導的な立場へのより一層の登用を行う予定であります。    ④環境保全への取り組み当社は「地域社会と共生・繁栄する持続可能な企業活動の基盤となる環境保全活動の推進」を運営方針として掲げており、環境保全委員会で半期ごとにレビューを行い、環境保全に取り組んでおります。将来の世代も安心して暮らせる社会をつくる一員として、2050年カーボンニュートラル達成を目標としておりますが、今般2040年までの前倒し達成を努力目標に定め挑戦してまいります。   
事業等のリスク	 ３ 【事業等のリスク】有価証券報告書に記載した事業の状況、経理の状況等に関する事項のうち、経営者が連結会社の財政状態、経営成績及びキャッシュ・フローの状況に重要な影響を与える可能性があると認識している主要なリスクは、以下のとおりであります。なお、文中の将来に関する事項は、当連結会計年度末現在において、当社グループが判断したものであります。 (1) 当社グループを取り巻く事業環境について当社グループの主力製品であるセグメント（トンネルの構造部材）・ＲＣ土木製品の大半は、公共工事に使用されます。公共工事投資の動向は日本政府及び地方自治体の政策によって決定されるものであります。したがって、当社グループの業績は公共工事投資動向により影響を受ける可能性があります。 (2) 原材料価格変動リスク当社グループの製品の原材料として使用されるセメント・骨材・鋼材・重油等の価格は、市場の動向を反映して変動いたします。したがって、当社グループの損益は原材料価格の変動により影響を受ける可能性があります。リスクに対しては全国で使用する原材料の集中購買の検討を行うなど抜本的な調達改革を実行し、コスト削減に努めてまいります。 (3)人手不足に係るリスク長期的に労働人口の減少が続くなか、人手不足が発生する見込みであります。特に土木分野では、依然人手不足が継続しており、業務運営や業績等に影響を及ぼす可能性があります。なお、当社グループは、人手不足に対処する観点より外国人労働者を受け入れております。多国語による「安全のしおり」、「安全ポスター」の作成や、多国語版の安全教育ＤＶＤを作成するなどし、外国人労働者が安全でスムーズに働ける環境づくりに努めております。 (4) 貸倒損失の発生リスク当社グループの関連する土木業界におきましては、公共工事投資がここ数年は増加しているものの、新型コロナウイルス感染症の影響等から、債権の貸倒発生により損益に影響を及ぼす可能性があります。信用調査会社の評点を参考に毎年与信枠の見直しを行い、与信枠を超える物件については個別審議を実施しています。 (5) 災害による事業活動の停止リスク当社グループの生産設備が、大規模な地震その他自然災害に見舞われた場合、生産活動の中断等により業績に影響を及ぼす可能性があります。各工場で地震対応マニュアル整備、避難経路、避難場所の明示、非常用備品の備蓄、毎年避難訓練の実施などの大規模地震対策を講じております。 
経営者による財政状態、経営成績及びキャッシュ・フローの状況の分析	 ４ 【経営者による財政状態、経営成績及びキャッシュ・フローの状況の分析】(1) 経営成績等の状況の概要当連結会計年度における当社グループ（当社及び連結子会社)の財政状態、経営成績及びキャッシュ・フロー（以下、「経営成績等」という。）の状況の概要は次のとおりであります。 ① 財政状態及び経営成績の状況 当連結会計年度におけるわが国経済は、新型コロナウイルス感染症に伴う行動制限の緩和により持ち直しの動きが見られたものの、ウクライナ戦争の長期化による原油・諸資材価格の高騰、欧米各国の利上げ等に伴い一進一退の動きが続いています。今後の先行きについては、新型コロナウイルスの影響が低下する中、景気の持ち直しが期待されるものの、前述の項目に加え、米中対立や欧米各国の利上げに伴う景気後退懸念等、国内外の波乱要因も多いため、引き続き動向を注視する必要があります。　　当社グループの属する土木業界につきましては、公共投資は堅調に推移しており、今後の先行きについても、補正予算の効果もあって、底堅く推移することが見込まれます。一方で、大型セグメント案件の掘進時期が不透明であることや、鉄筋、セメントをはじめとする諸資材に加え、電力等エネルギー価格の高騰等、予断を許さない状況にあります。　　このような状況下、当社グループは環境変化に的確に対応しつつ、強靭な収益体質の構築に向け、大型セグメントに留まらず、中小セグメントや土木製品の新規受注ならびに生産量の積み増しに加え、徹底した原価低減等の諸施策を進めてまいりました。　　なお、当社木更津作業所及び子会社であるジオファクト株式会社の和泉事業所は、今後の需要の減少を受けて閉鎖し、これらの事業所における生産品目については当社茨城工場へ集約することとなりました。　　また、新型コロナウイルス感染症による損益への影響はほぼ発生しておりません。　この結果、当連結会計年度の財政状態及び経営成績は、以下のとおりとなりました。 a. 経営成績当連結会計年度の経営成績は、売上高252億36百万円（前連結会計年度比18.2％減）、営業利益15億22百万円（前連結会計年度比31.0％減）、経常利益15億43百万円（前連結会計年度比30.3％減）と減収減益となりました。親会社株主に帰属する当期純利益は、事業所閉鎖損失等の特別損失の影響もあり、6億45百万円（前連結会計年度比55.6％減）となりました。なお、当社グループは、経営上の目標の達成状況を判断するため客観的な指標を売上高経常利益率５％とし、中長期的に安定して計上することを目標としておりますが、当連結会計年度の売上高経常利益率は、6.1％となりました。 b. 財政状態イ．資産当連結会計年度末の資産合計は、前連結会計年度末より６億４百万円減少し、345億45百万円（前連結会計年度比1.7％減）となりました。流動資産は６億31百万円減少の248億61百万円（前連結会計年度比2.5％減）、固定資産は27百万円増加の96億84百万円（前連結会計年度比0.3％増）となりました。流動資産の減少の主な要因は、預け金（前連結会計年度増減額27億56百万円）、商品及び製品（同10億36百万円）等が増加したものの、売掛金（同△26億45百万円）、未収入金（同△８億53百万円）、仕掛品（同△７億15百万円）、電子記録債権（同△５億23百万円）等が減少したことによるものです。固定資産の増加の主な要因は、機械装置及び運搬具（前連結会計年度増減額△１億28百万円）等が減少したものの、建物及び構築物（同86百万円）、繰延税金資産（同65百万円）等が増加したことによるものです。  ロ．負債当連結会計年度末の負債合計は、前連結会計年度末に比べ７億65百万円減少し、126億61百万円（前連結会計年度比5.7％減）となりました。流動負債は７億67百万円減少の122億２百万円（前連結会計年度比5.9％減）、固定負債は１百万円増加の４億58百万円（前連結会計年度比0.3％増）となりました。負債の減少の主な要因は、前受金（前連結会計年度増減額８億26百万円）等が増加したものの、支払手形及び買掛金（同△７億17百万円）、未払金（同△５億12百万円）、未払法人税等（同△４億13百万円）等が減少したことによるものです。 ハ．純資産当連結会計年度末の純資産合計は、前連結会計年度末に比べ１億61百万円増加し、218億84百万円（前連結会計年度比0.7％増）となりました。純資産の変動の主な要因は、利益剰余金（前連結会計年度増減額２億７百万円）が増加したこと等によるものです。以上の結果、自己資本比率は63.3％となりました。 ② キャッシュ・フローの状況当連結会計年度における現金及び現金同等物は、前連結会計年度末に比べ28億64百万円増加し、79億54百万円となりました。当連結会計年度における各キャッシュ・フローの状況とそれらの要因は次のとおりであります。 (営業活動によるキャッシュ・フロー)営業活動によるキャッシュ・フローは、41億65万円の収入（前連結会計年度は19億88百万円の収入）となりました。税金等調整前当期純利益は12億77百万円でありましたが、売上債権の減少額（32億32百万円）、未収入金の減少額（８億60百万円）等の増加要因と、法人税等の支払額（△10億71百万円）等の減少要因を加減算したものであります。 (投資活動によるキャッシュ・フロー)投資活動によるキャッシュ・フローは、８億17百万円の支出（前連結会計年度は６億12百万円の支出）となりました。有形固定資産の取得による支出（△７億59百万円）が主なものであります。 (財務活動によるキャッシュ・フロー)財務活動によるキャッシュ・フローは、４億83百万円の支出（前連結会計年度は11億52百万円の支出）となりました。配当金の支払額（△４億37百万円）が主なものであります。 　　③ 生産、受注及び販売の実績a. 生産実績 当連結会計年度の生産実績をセグメントごとに示すと、次のとおりであります。 セグメントの名称生産高（千ｔ）前年同期比(％)土木事業35986.0 (注)  千ｔ未満を切り捨てて表示しております。    b. 受注実績当連結会計年度の受注実績をセグメントごとに示すと、次のとおりであります。 セグメントの名称受注高(千円)前年同期比(％)受注残高(千円)前年同期比(％)土木事業15,916,70149.958,128,38286.2  　c. 販売実績当連結会計年度の販売実績をセグメントごとに示すと、次のとおりであります。 セグメントの名称販売高（千円）前年同期比(％)土木事業25,236,26981.8 (注) １．最近２連結会計年度の主な相手先別の販売実績及び当該販売実績の総販売実績に対する割合は次のとおりであります。相手先前連結会計年度(自  2021年４月１日至  2022年３月31日)当連結会計年度(自  2022年４月１日至  2023年３月31日)金額(千円)割合(％)金額(千円)割合(％)日本製鉄株式会社11,583,52337.59,982,83739.6阪和興業株式会社6,702,48621.75,374,92321.3伊藤忠丸紅鉄鋼株式会社3,810,52412.3-- ２．当連結会計年度における伊藤忠丸紅鉄鋼株式会社に対する販売実績は、総販売実績に対する割合が100分の10未満のため記載しておりません。  　(2) 経営者の視点による経営成績等の状況に関する分析・検討内容経営者の視点による当社グループの経営成績等の状況に関する認識及び分析・検討内容は次のとおりであります。なお、文中の将来に関する事項は、当連結会計年度末現在において判断したものであります。   ①　重要な会計上の見積り及び当該見積りに用いた仮定当社グループの連結財務諸表は、我が国において一般に公正妥当と認められる会計基準に基づき作成されております。連結財務諸表の作成にあたって、経営者により、一定の会計基準の範囲内で見積りが行われている部分があり資産・負債や収益・費用の数値に反映されています。これらの見積りについては、過去の実績やその他の合理的な方法に基づき算定を行っておりますが、見積りには不確実性が存在するため、実際の結果はこれら見積りと異なる場合があります。連結財務諸表の作成にあたって用いた会計上の見積り及び仮定のうち、重要なものは「第５　経理の状況　１　連結財務諸表等　(1）連結財務諸表　注記事項（重要な会計上の見積り）」に記載しております。   ②　経営成績及び財政状態の分析経営成績等につきましては、「第２  事業の状況  ４　経営者による財政状態、経営成績及びキャッシュ・フローの状況の分析　(1) 経営成績等の状況の概要」を参照願います。    ③　キャッシュ・フローの状況の分析キャッシュ・フローの状況につきましては、「第２  事業の状況 ４　経営者による財政状態、経営成績及びキャッシュ・フローの状況の分析　(1) 経営成績等の状況の概要」を参照願います。 （参考）キャッシュ・フロー関連指標の推移　 2019年３月2020年３月2021年３月2022年３月2023年３月自己資本比率(％)59.9964.9162.5461.8063.35時価ベースの自己資本比率(％)40.9030.8240.7728.6626.81債務償還年数(年)0.495.740.340.190.08インタレスト・カバレッジ・レシオ(倍)187.8113.63666.39549.253,613.55 (注)  自己資本比率：自己資本／総資産時価ベースの自己資本比率：株式時価総額／総資産債務償還年数：有利子負債／営業キャッシュ・フローインタレスト・カバレッジ・レシオ：営業キャッシュ・フロー／利払い＊各指標は、いずれも連結ベースの財務数値により計算しております。＊株式時価総額は、期末株価終値Ｘ期末発行済株式数（自己株式控除後）により算出しております。 　 (3) 資本の財源及び資金の流動性当社グループの運転資金需要のうち主なものは、主要原材料購入費用のほか、製造費、販売費及び一般管理費等の営業費用であります。当社グループは、事業運営上必要な流動性と資金の源泉を安定的に確保することを基本とし、運転資金及び設備投資資金の調達は、自己資金及び金融機関からの借入により行い、余剰資金については借入金の返済に充当するなど資金の効率化を図っております。なお、当連結会計年度末における借入金及びリース債務を含む有利子負債の残高は、３億39百万円となっております。また、当連結会計年度末における現金及び現金同等物の残高は、79億54百万円となっております。 
経営上の重要な契約等	 ５ 【経営上の重要な契約等】主要な技術提携契約は次のとおりであります。 相手先契約内容契約期間鶴見コンクリート株式会社技術導入：遊水池装置に関する実施許諾契約1995年９月11日から1998年９月10日まで以降２年ごとの自動更新ＳＭＣプレコンクリート株式会社他技術供与：アーチカルバートに関する実施許諾契約1998年４月１日から2001年４月１日まで以降１年ごとの自動更新鹿島建設株式会社他技術導入：サクセムに関する実施許諾契約2006年３月１日から2026年３月15日まで日本コンクリート工業株式会社技術供与：Ｐ＆ＰＣセグメント工法製作に関する実施許諾契約2006年３月27日から2013年３月26日まで以降１年ごとの自動更新東京ファブリック工業株式会社技術供与：弾性接合方式プレキャスト樋門に関する実施許諾契約2009年４月１日から2024年３月31日まで以降５年ごとの自動更新ランデス株式会社技術導入：ハレーサルトに関する実施許諾契約2011年３月３日から2014年３月２日まで以降１年ごとの自動更新株式会社高見澤他技術供与：可とうおよびＩＢボックスカルバートに関する実施許諾契約2014年１月10日から2016年１月９日まで以降１年ごとの自動更新BETON6社技術供与：ＲＣセグメントに関する製造技術2014年４月18日から20年間マティエール社技術導入：モジュラーチに関するライセンス契約2017年５月19日から2020年11月30日まで以降２年の自動更新東京都下水道サービス株式会社他技術供与：コンパクトシールド工法に関する権利者間契約2020年４月１日から2025年３月31日まで以降１年ごとの自動更新株式会社熊谷組他技術供与：高強度ＰＲＣ版に関する権利者間契約2021年３月１日から2023年２月28日まで以降１年ごとの自動更新日本コンクリート株式会社他技術供与：ボックスベアリング横引き工法に関する実施許諾契約2021年９月12日から2022年12月31日まで以降１年ごとの自動更新  
研究開発活動	６ 【研究開発活動】　　当連結会計年度の研究開発活動は、建設現場の生産性向上・品質向上を目指したハーフプレキャストコンクリート製品の適用範囲拡大および防災・減災分野、老朽更新分野に貢献するプレキャスト構造メニューの改良と適用促進に注力し、成果を挙げてきました。　当連結会計年度における当社グループが支出した研究開発費の総額は、200百万円であります。 (1)　合成セグメント・ＲＣセグメント・スチールセグメント等、広範囲のシールドトンネル構造メニューにつき、改良開発を継続しております。特に、昨今のトンネルの大断面化・大深度化に対応すべく、各種継手の耐荷力や耐震性、耐水性、耐火性等の向上を図った開発に尽力しています。さらに、中小規模トンネルを対象とした継手開発も推進しております。また、急変する社会情勢（市場ニーズ）に臨機応変かつ先行的に適応していくため、工場における生産性および環境・品質の向上を図った各種開発にも取り組んでおります。 (2)　土木構造物向けプレキャストコンクリート製品関連について、仮設支保工・型枠レスによる建設現場の生産性向上に寄与するハーフプレキャスト構造を開発してきました。カルバート構造の頂版・壁体部のみならず、大型架構式構造の梁・柱部材への適用拡大を推し進めております。これらハーフプレキャストとフルプレキャスト構造の組み合わせ技術を用いることにより、プロジェクトニーズ毎に最適なソリューションを提供し、ＶＦＭ（Value for Money）の評価にも貢献しているところです。防災・減災分野では、従来の防潮堤による津波対策の他、ゲリラ豪雨等の異常気象による洪水対策にも対応するためのメニュー拡大を果たしてきました。他方、深刻度を増すインフラ老朽問題に対応すべく、合理化を進めた床版・舗装版の継手構造による更新事業への実装、水路の更新に役立つ新型壁体構造の適用拡大にも注力しております。さらに、環境保全やカーボンニュートラル等、ＳＤＧｓに関わる課題に貢献すべく、各種プレキャストコンクリートの製造開発に尽力しております。 
設備投資等の概要	１ 【設備投資等の概要】当連結会計年度は、主として、生産設備の維持補修、型枠購入を含めて752百万円の設備投資を実施いたしました。なお、当連結会計年度において重要な設備の除却、売却等はありません。 
主要な設備の状況	２ 【主要な設備の状況】当社グループにおける主要な設備は、次のとおりであります。(1) 提出会社　(2023年３月31日現在)事業所名(所在地)セグメントの名称設備の内容帳簿価額(単位：千円)従業員数(名)建物及び構築物機械装置及び運搬具土地(面積㎡)リース資産その他合計金谷工場(静岡県島田市)土木土木製品製造設備467,208308,464490,151(59,364.76)2,19459,9171,327,93521橋本工場(和歌山県橋本市)〃土木製品製造設備296,951210,167223,344(50,051.90)―96,911827,37514東松山工場(埼玉県東松山市)〃土木製品製造設備616,920294,8641,729,396(168,066.39)―17,8092,658,99117福岡工場(福岡県飯塚市)〃土木製品製造設備45,12039,399160,036(51,498.00)―2,250246,80623茨城工場(茨城県稲敷市)〃土木製品製造設備348,090378,513692,515(51,344.07)―44,0151,463,13440  (2) 国内子会社　(2023年３月31日現在)会社名事業所名(所在地)セグメントの名称設備の内容帳簿価額(単位：千円)従業員数(名)建物及び構築物機械装置及び運搬具土地(面積㎡)リース資産その他合計ジオファクト㈱和歌山事業所(和歌山県和歌山市)土木土木製品製造設備他15,84214,30921,711(1,794.97)―51752,38013 (注) 帳簿価額のうち「その他」は、工具、器具及び備品及び建設仮勘定を含んでおります。 
株式の総数	① 【株式の総数】 種類発行可能株式総数(株)普通株式56,800,000計56,800,000 　
発行済株式、株式の総数等	② 【発行済株式】 種類事業年度末現在発行数(株)(2023年３月31日)提出日現在発行数(株)(2023年６月29日)上場金融商品取引所名又は登録認可金融商品取引業協会名内容普通株式31,530,00031,530,000東京証券取引所 スタンダード市場単元株式数100株計31,530,00031,530,000―― 　
