項目	値
事業の内容	３【事業の内容】　当社は、粘土瓦の製造販売及び屋根工事の施工を主な事業としております。　なお、当社は、瓦製造販売事業の単一セグメントであります。　事業の系統図は次のとおりであります。　　　　　　　　　
経営方針、経営環境及び対処すべき課題等	１【経営方針、経営環境及び対処すべき課題等】文中の将来に関する事項は、当事業年度末現在において、当社が判断したものです。 (1）経営方針　当社は、設立以来、常に“オンリーワン”を基本理念とし、企業活動を通して快適な住環境を創造し、地球環境に優しい製品の開発、及び積極的な販売を通して顧客満足度の向上に努めております。　企業の発展のため、正当な利益確保、株主様への適正な利益還元、従業員の生活のさらなる向上、内部組織の充実を推進することを経営方針として、顧客に支持される「オンリーワン企業」を目指しております。 (2）経営上の目標の達成状況を判断するための客観的な指標等　当社は、高品質・高付加価値製品の開発を図り、中期的に資本効率をより重視する観点から「自己資本当期純利益率(ＲＯＥ)」の向上を経営上の目標の達成状況を判断するための客観的な指標としております。 (3）経営戦略等　当社は、多様化する顧客のニーズに応えるべく高品質・高付加価値製品を提供できる企業であり続けるとともに、安定成長の確保と収益性の向上に重点をおいた経営改善に努めてまいります。 (4）経営環境及び優先的に対処すべき事業上及び財務上の課題　わが国経済は、政府や日銀が積極的な政策等を打ち出しましたが、新設住宅着工戸数の推移や原油価格の動向等により、今後の売上高への影響や製造コストの上昇が懸念されます。　こうした厳しい経営環境に対処するため、当社におきましては、生産面においては、製造現場の安全性向上と品質向上を両立させつつ効率化に努めるとともに、物流のより一層の合理化にも取り組むことで、製造原価や輸送の徹底的なコスト削減に努めております。営業面におきましては、騒音防止効果のある屋根瓦からの雨だれ防止効果のついたＴＭ袖瓦を開発することにより、他社にはない高付加価値の瓦を販売し顧客満足度の向上に努めております。　また、製造コストに見合った適正な販売価格改定についてのご理解をいただくことで、安定供給体制の確保に努めております。当社は、お客様に一層信頼される企業として成長すべく、「新５Ｓ」(スマイル・セーフティー・スペシャルティー・スリム・スピード)を理念として、掲げております。第61期につきましては、セーフティー(安全意識の向上)、スペシャルティー(チェックシートの改善)、スリム(他部署との連携強化)、スピード（情報発信のスピード化）、スマイル（成果の確認）を重点項目に掲げました。引き続き、安全な職場環境の整備、お客様満足度の向上及び従業員の意識向上、高付加価値商品の提供を通して、企業環境の激変に的確に対応しうる経営体質の構築及び、より一層の収益性の向上と財務体質の強化を推し進めてまいります。 
事業等のリスク	３【事業等のリスク】　有価証券報告書に記載した事業の状況、経理の状況等に関する事項のうち、経営者が財政状態、経営成績及びキャッシュ・フローの状況に重要な影響を与える可能性があると認識している主要なリスクは、以下のとおりであります。リスクが顕在化する可能性の程度や時期、顕在化した場合に当社の経営成績等に与える影響については、合理的に予見することが困難であるため記載しておりません。　なお、文中における将来に関する事項は、当事業年度末現在において当社が判断したものであり、事業等のリスクはこれらに限定されるものではありません。 （1）新設住宅着工戸数について当社は、粘土瓦を国内の大手ハウスメーカーをはじめ工事店、問屋、代理店等を経由して販売しております。粘土瓦は、住宅の新設時に多量に使用されることが多く、その使用量は新設住宅着工戸数の増減に左右され景気動向、住宅地価の変動、金利動向、政府の住宅政策、税制、少子化等の要因も、業績に影響を及ぼす可能性があります。今後の動向に関しましては、客先との情報共有を強化し、情報収集と分析を強化して対応しております。（2）事業に対する法的規制について当社は、社会的責任の立場から地域住民の生活環境を保全するため、法的規制、行政指導について常に関心をもち、公害防止のため万全の措置を講じ、法的に適正と認められておりますが、法律の改正又は新たな規制の制定により、当社工場の運営に支障を来たし、業績に影響を及ぼす可能性があります。なお、当社港南工場及び明石工場において碧南市長に対し公害防止計画書を提出しております。碧南市における法的規制の主なものは以下のとおりであります。①大気汚染防止法②水質汚濁法③騒音規制法・振動規制法④廃棄物の処理及び清掃に関する法律　これらの対策として、定期的に従業員に対して法的規制に関する教育を行うことで、適切な知識を身に着けるよう努めてまいります。（3）特定取引先への依存度について① 原材料仕入について当社は、粘土瓦の主原料となる、粘土及び釉薬を特定の仕入先より仕入れを行っております。粘土については配合粘土を使用しており、その粘土の配合割合によって、製造工程に影響を及ぼすことがあり、限られた仕入先から供給を受けることが業界の通例となっております。また、釉薬についても同様であり、色調、品質的に安定度の高いものが求められるため、限られた仕入先から仕入れを行っております。このため特定の仕入先への依存度が高くなっており、仕入先の経営状態が悪化した場合、当社製品の製造に支障をきたし、業績に影響を及ぼす可能性があります。これらの対策として、主要仕入先及び主要仕入先の供給先との情報共有を強化し、協力体制を構築し対応しております。② 販売先について当社が生産するモデュール瓦は、その製造技術・品質、施工性、作業環境等の改善技術が認められ、大手ハウスメーカーの採用を受けていることから、大手ハウスメーカー向け専用瓦となっております。従いまして大手ハウスメーカーの販売する住宅の様式、屋根仕様の大幅な変更、また、当社の特許権等を無視し他社が類似商品の生産を行い多量に市場投入した場合に、業績に影響を及ぼす可能性があります。これらの対策として、当社は新規顧客の開拓、既存顧客への拡販を図る等の積極的な販売活動によりリスク低減に努めております。（4）原油価格の変動の影響について当社は、液化石油ガス及び重油を燃料として使用しております。当社では常時市況価格を注視しながら取引業者との価格交渉にあたっておりますが、中国・インド等の新興国の需給、中東情勢、米国・ユーロ圏景気、為替レート、投機ファンド等の状況により、原油価格が急激に変動することがあり、当社の業績に影響を及ぼす可能性があります。これらの対策として、仕入先を複数社利用する購買先の多様化とともに、仕入先と当社も含めた相互間で情報共有を行い、想定レートの参考にする等、見通しを立てております。 
経営者による財政状態、経営成績及びキャッシュ・フローの状況の分析	４【経営者による財政状態、経営成績及びキャッシュ・フローの状況の分析】(1）経営成績等の状況の概要　当事業年度における当社の財政状態、経営成績及びキャッシュ・フロー(以下「経営成績等」という。)の状況の概要は以下のとおりであります。 　①財政状態及び経営成績の状況　当事業年度におけるわが国経済は、新型コロナウイルス感染症にかかる行動制限の緩和や、ワクチンの普及等により経済活動が徐々に正常化に向かっている一方で、ロシアによるウクライナ侵攻によるエネルギー資源価格の上昇、金融市場の変動など、依然として先行きは不透明な状況が続いております。　住宅市場におきましては、国土交通省が発表している建築着工統計調査報告において、マンション等を含む新設住 宅着工戸数が前事業年度比で下落しております。また、住宅ローンの金利優遇措置等の住宅取得に伴う負担軽減政策 があるものの、新型コロナウイルス感染症の長期化や、円安・資源価格の高騰による住宅価格の上昇が影響し、戸建ての指標である持家の着工数も、前事業年度と比較し10％以上の下落をするなど、引き続き厳しい状況が続いております。　このような状況の中、当社は、主力製品「ＣＥＲＡＭシリーズ」「ＳＨＩＮＴＯかわらＳ」の拡販や新規顧客の掘り起こし他、新型コロナウイルス感染拡大防止のため、ＹｏｕＴｕｂｅやＬＩＮＥ等のＳＮＳを活用した商品ＰＲやＷｅｂ会議型アプリを使用したリモートによる営業活動にも努めてまいりました。しかし、持家の着工件数が減少したことが当社の売上にも大きく影響があり、売上高は5,042百万円（前期比377百万円減少）と前年比減収となりました。　利益面におきましては、原油価格高騰による製造コスト上昇や、円安による商品の仕入コスト増加等に対して、販売価格への転嫁を行ってまいりました。また、歩留率の向上や徹底した工程管理の強化、そして効率生産を行った結果、売上原価率は前期と比較し0.8％減少の84.1％となりました。この結果、営業利益18百万円（前期は2百万円の損失）、経常利益55百万円（前期比33百万円増加）、当期純利益24百万円（前期は1百万円の損失）となりました。　財政状態においては、前事業年度末に比し純資産が12百万円増加し、総資産が496百万円減少した結果、自己資本比率は51.6％と3.9ポイントの増加となりました。主な要因としましては、ロシアによるウクライナ侵攻等によりエネルギー資源価格が高騰し原材料及び仕入商品のコストが上昇しました。そのため、59期末にコスト上昇前に在庫を確保することで60期におけるコスト上昇の影響を最小限に抑え、売上総利益率の確保に努めてまいりました。その結果、売上総利益率は15.9％となり、前期比0.9％の上昇及び、短期借入金が260百万円減少したことが要因となりました。　なお、当社は瓦製造販売事業の単一セグメントであるため、セグメントとの関連は記載しておりません。 （流動資産）　流動資産は、商品及び製品が199百万円減少等により、2,685百万円（前期比438百万円減少）となりました。（固定資産）　固定資産は、有形固定資産の74百万円減少等により、3,737百万円（前期比57百万円減少）となりました。その結果、資産合計では、6,422百万円（前期比496百万円減少）となりました。（流動負債）　流動負債は、短期借入金の260百万円及び１年内返済予定の長期借入金80百万円並びに買掛金の66百万円減少等に より、2,594百万円（前期比431百万円減少）となりました。（固定負債）　固定負債は、長期借入金の79百万円減少等により、514百万円（前期比78百万円減少）となりました。その結果、負債合計では、3,109百万円（前期比509百万円減少）となりました。（純資産）　純資産は、当期純利益24百万円となり、配当金支払が26百万円あったこと等により、3,313百万円（前期比12百万円増加）となりました。 ②キャッシュ・フローの状況　当事業年度における現金及び現金同等物（以下「資金」という）は、前事業年度と比較して45百万円減少し、61百万円となりました。当事業年度における各キャッシュ・フローの状況とそれらの要因は次のとおりであります。（営業活動によるキャッシュ・フロー）営業活動における資金の収入は、469百万円（前期412百万円の支出）となりました。これは、主に棚卸資産の減額211百万円、未払又は未収消費税等の増額140百万円、非資金費用である減価償却費115百万円、売上債権の減額111百万円の増加要因があったこと等に対し、仕入債務の減額137百万円等の減少要因があったこと等によるものであります。（投資活動によるキャッシュ・フロー）投資活動における資金の支出は、60百万円（前期57百万円の支出）となりました。これは、主に有形固定資産の取得による支出60百万円があったこと等によるものであります。（財務活動によるキャッシュ・フロー）財務活動における資金の支出は、454百万円（前期472百万円の収入）となりました。これは、主に借入金の純減額419百万円、配当金の支払額26百万円があったこと等によるものであります。 ③生産、受注及び販売の実績　生産、受注及び販売の実績について、当社は、瓦製造販売事業の単一セグメントであるため、セグメントとの関連は記載しておりません。ａ．生産実績　当事業年度の生産実績を取扱品目別に示すと、次のとおりであります。取扱品目金額（千円）前年同期増減比（％）製品瓦  Ｓ形瓦84,333△4.3Ｆ形瓦1,746,741△15.2合計1,831,075△14.7　（注）金額は、平均売価によっております。 ｂ．仕入実績　当事業年度の仕入実績を取扱品目別に示すと、次のとおりであります。取扱品目金額（千円）前年同期増減比（％）商品瓦  Ｊ形瓦274,310△6.5Ｓ形瓦41,954△12.1Ｆ形瓦596,323△7.6その他の瓦4,94920.6小計917,537△7.4その他（副資材他）（注）２748,258△45.5合計1,665,795△29.5　（注）１.金額は、仕入価格によっております。２.前事業年度に仕入単価高騰対策として、その他（副資材他）を値上前に大量購入したため当事業年度は大幅に仕入実績が減少しております。 ｃ．受注実績　当社は、受注見込みによる生産方式をとっておりますので、該当事項はありません。ｄ．販売実績　当事業年度の販売実績を取扱品目別に示すと、次のとおりであります。取扱品目金額（千円）前年同期増減比（％）製品瓦  Ｊ形瓦7,968△27.2Ｓ形瓦59,465△30.7Ｆ形瓦1,717,586△13.6小計1,785,020△14.4商品瓦  Ｊ形瓦349,0152.9Ｓ形瓦53,339△25.6Ｆ形瓦803,151△5.4その他の瓦5,7524.1小計1,211,259△4.2その他（副資材他）2,046,479△1.2合計5,042,758△7.0　（注）主な相手先別の販売実績は総販売実績に占める割合が10％以上を占める相手先がないため、記載を省略しております。 (2）経営者の視点による経営成績等の状況に関する分析・検討内容　経営者の視点による当社の経営成績等の状況に関する認識及び分析・検討内容は次のとおりであります。　なお、文中の将来に関する事項は、当事業年度末現在において判断したものであります。 ①財政状態及び経営成績の状況に関する認識及び分析・検討内容　当社の当事業年度の経営成績等につきましては、売上高は、エネルギー資源価格上昇などによる仕入れコストの上昇に対し、販売価格の改定などを行いましたが、製品売上高が298百万円、及び工事売上高が104百万円減収となり、あわせて売上高は377百万円減収の5,042百万円となりました。　利益面につきましては、販売価格の改定及び製品の歩留の改善及び効率的な生産を徹底、仕入商品の値上前の計画的な購入等により、売上総利益率は15.9％（前期15.0％）と前年比の水準を上回る結果となりました。しかし売上高減少の影響が大きく、売上総利益は13百万円減益の801百万円（前期814百万円）となりました。　営業利益は、上述の販売価格の改定だけでなく販売費及び一般管理費の削減にも積極的に取り組み、在庫置場や保管方法の見直し等も努めてまいりました。その結果、販売費及び一般管理費は34百万円減少の782百万円（前期816百万円）となったことにより、営業利益18百万円（前期2百万円の損失）となりました。　経常利益は、営業外収益が5百万円増加の48百万円（前期43百万円）となったこと、また営業外費用は6百万円減少の11百万円（前期18百万円）となったことにより、経常利益55百万円（前期比33百万円増加）となりました。　当期純利益は、減損損失6百万円を計上したこと等により、当期純利益24百万円（前期1百万円の損失）となりました。　財政状態におきましては、前事業年度末に比し純資産が12百万円の増加、総資産が496百万円減少した結果、自己資本比率は51.6％と3.9ポイントの上昇となりました。  ②キャッシュ・フローの状況の分析・検討内容並びに資本の財源及び資金の流動性に係る情報　当事業年度のキャッシュ・フローの分析につきましては、前述の(1）経営成績等の状況の概要　②キャッシュ・フローの状況に記載のとおりであります。　当社は、事業運営上の必要な流動性と資金の源泉を安定的に確保することを基本方針としております。短期の運転資金は自己資金及び金融機関からの短期借入を基本としており、設備投資や長期運転資金の調達につきましては、金融機関からの長期借入を基本としております。　なお、当事業年度末における借入金及びリース債務を含む有利子負債の残高は1,880百万円となっております。 ③重要な会計上の見積り及び当該見積りに用いた仮定　当社の財務諸表は、わが国において一般に公正妥当と認められている会計基準に基づき作成されております。この財務諸表の作成にあたっては、棚卸資産の評価、固定資産の減損、繰延税金資産に対する評価性引当額等、会計基準の範囲内で見積りが行われている部分があり、財務諸表等に反映されております。　これらの見積りについては、継続して評価、見直しを行っていますが、自然災害、感染症の感染拡大等予期せぬ事態が発生し、経済活動に多大な影響を与える等の環境の変化により、実際の結果は見積りと異なることがあります。　財務諸表の作成に当たって用いた会計上の見積り及び当該見積りに用いた仮定のうち、重要なものについては、「第５　経理の状況　１ 財務諸表等　(1）財務諸表　注記事項（重要な会計上の見積り）」に記載のとおりであります。 (3）経営方針、経営戦略、経営上の目標の達成状況を判断するための客観的な指標等の達成・進捗状況　当社は、中長期的な経営計画等に係る具体的な目標数値は定めておりませんが、企業価値の向上を意識した経営を推進すべく「自己資本当期純利益率（ROE）」を経営指標として採用しております。　当事業年度におけるROEは、0.7％（前事業年度は当期純損失のため算出しておりません）となりました。原油価格高騰による製造コスト上昇や、円安による商品の仕入コスト増加等に対して、販売価格への転嫁を行ってまいりました。また、歩留率の向上や徹底した工程管理の強化、そして効率生産を行った結果、当該指標の改善につながりました。今後も引き続き、製造工場における生産効率の向上を追及するなど、当該指標の向上に取り組んでまいります。 
経営上の重要な契約等	５【経営上の重要な契約等】　該当事項はありません。
研究開発活動	６【研究開発活動】当社は、企業経営を通して、住環境の改善と顧客ニーズに対応した製品の開発に取り組み、エネルギー問題・環境問題に積極的に取り組む地球環境に優しい企業を目指しております。当社の技術部署を集約したテクノセンターでは、品質保証課・開発課・生産技術課の連携強化により、品質の安定化・新製品の開発・生産効率の向上・省エネルギー化・職場環境の改善などを推進しＣＳ及びＥＳ向上に取り組んでおります。現代建築にマッチし機能とデザインを兼ね備えた『ストレート袖』が大変好評をいただいており、セラムＦフラットやセラムＦ３にも対応でき、選択肢の幅が増え更なる拡販が期待されます。なお、本製品につきまして、意匠及び特許を取得しております。瓦を玄関などのインテリアに飾れる商品『鬼瓦家守onigawara iemori』は現在９種類の鬼瓦で展開し、その取組みが評価され、経済産業省地域産業資源活用事業計画に採択されました。販路もインテリア業界やギフト業界への拡販を行うことで、幅広い層に瓦及び日本の住文化の情報を発信し、高い評価を受けております。今後も国内外に継続して情報発信していきます。瓦の廃材を再利用した水耕栽培用園芸用土「リサイクルコーン」が７色展開をしており、ホームセンターやインテリアショップなど販路を広げています。その他、製品軽量化や産業廃棄物の有効利用等を目的とした原料開発につきましても、引き続き活動してまいります。以上の結果、当事業年度の研究開発費の総額は、9百万円となりました。 
設備投資等の概要	１【設備投資等の概要】　当事業年度の主な設備投資については、工場製造設備の維持更新を中心に合計46百万円の設備投資を実施しております。　なお、当事業年度において重要な設備の除却、売却等はありません。　また、当社は、瓦製造販売事業の単一セグメントであるため、セグメントとの関連は記載しておりません。 
主要な設備の状況	２【主要な設備の状況】　当社における主要な設備は、次のとおりであります。2023年６月30日現在 事業所名（所在地）取扱品目設備の内容帳簿価額従業員数（名）建物及び構築物（千円） 機械装置及び運搬具（千円） 土地（千円）（面積㎡）リース資産（千円）その他（千円）合計（千円）本社第一工場（愛知県高浜市）Ｆ形桟瓦Ｆ形役瓦粘土瓦生産設備10,1544,82680,102(4,898)－2,89597,9803(－)本社第三工場（愛知県高浜市）Ｓ形桟瓦〃24,53622571,389(5,694)－64296,7932(－)宮ノ浦工場（愛知県高浜市）Ｆ形桟瓦〃18,88015,664472,549(19,785)－3,261510,3565(3)港南第一工場（愛知県碧南市）Ｆ形桟瓦〃46,17616,961661,934(20,824)9,989877735,9406(4)港南第二工場（愛知県碧南市）Ｆ形桟瓦〃88,05536,015－(－)9,9895,819139,8816(6)明石第一工場（愛知県碧南市）Ｆ形桟瓦〃249,5957,3661,021,892(32,207)21,8201,8461,302,5204(10)本社（愛知県高浜市）総合統括業務及び販売業務統括・販売業務施設50,1670145,548(2,498)－455196,17131(3)　（注）１．帳簿価額のうち「その他」は工具、器具及び備品であります。２．港南第二工場は、港南第一工場の敷地内に所在しておりますので、土地の金額等の記載を省略しております。３．従業員数欄の（　）は、臨時雇用者数を外数で表示しております。 
株式の総数	①【株式の総数】種類発行可能株式総数（株）普通株式3,000,000計3,000,000
発行済株式、株式の総数等	②【発行済株式】種類事業年度末現在発行数（株）（2023年６月30日）提出日現在発行数（株）（2023年９月27日）上場金融商品取引所名又は登録認可金融商品取引業協会名内容普通株式831,682831,682東京証券取引所スタンダード市場単元株式数100株計831,682831,682－－
