項目	値
事業の内容	３【事業の内容】　当企業集団は当社、㈱神戸製鋼所（親会社）、子会社６社（2024年３月31日現在）で構成され、特殊鋼・鋳鉄製品の製造、販売を主な事業内容としております。各事業における当社及び関係会社の位置付け等は次のとおりであります。　なお、セグメント情報と同一の区分であります。〔特殊鋼〕　工具鋼、特殊合金及び軸受鋼製品（鋼線・線材・棒材、鍛鋼品・二次加工品等）の製造・販売　金型及び金型部品、各種切削工具等の製造・販売［主な関係会社］　㈱カムス、エヌケイ精工㈱、高周波精密㈱（注）〔鋳鉄〕　自動車部品や建設機械・産業機械部品等の特殊鋳物製品の製造・販売［主な関係会社］　高周波鋳造㈱、㈱東北コアセンター 　（注）2024年４月１日に当社は高周波精密㈱を吸収合併しております。 　上記の企業集団等の状況についてセグメント別関係図を示すと次のとおりであります。  
経営方針、経営環境及び対処すべき課題等	１【経営方針、経営環境及び対処すべき課題等】(1）経営方針　当社グループは、工具鋼、特殊合金の非量産型高級特殊鋼製品及び鋳鉄製品の製造販売を通じ、幅広い産業分野(自動車、エレクトロニクス、産業機械、エネルギー、住宅他)へ優れた製品を提供して顧客及び社会の発展に貢献してまいります。 (2）経営環境及び対処すべき課題　当社グループは、経営理念『魅力ある製品の提供を通じ、環境と人間が融和した社会づくりに貢献します』に基づき、持続的な事業継続を行うためのグループ中期経営計画（2024-2026年度）を策定致しました。　私たちを取り巻く事業環境は、少子高齢化、地政学リスクの高まりやインフレ、金融引き締めの影響による需要の減少が懸念され、今後も先行き不透明な状況が続くと想定しております。経営環境変化が激しい中でも、持続的成長を果たすための経営基盤の強化を図っていきます。 　当社は以下の３つを基本方針として、取り組んでいきます。　　◆ポートフォリオ変革　特殊鋼部門では、私たちの特色である“小ロット・多品種対応”に経営資源を集中させて、今後成長が期待される「情報、医療、エネルギー」分野で使用される高機能材を拡販し、稼ぐ力を強化していきます。　鋳鉄部門では、私たちが培ってきた“技術力・提案力”を一層磨いてお客様の課題解決に貢献するとともに、高難度で付加価値の高い製品の受注拡大を目指します。　　◆事業基盤強化　品質・コスト競争力強化のための特殊溶解の増強、製造設備の自動化、検査機器等の設備投資や操業実績のデジタル化を推進していきます。また、新商品開発や難加工材の製造技術開発によりポートフォリオ変革を加速させます。そして、納期管理を強化して、更なる短納期化にも挑戦していきます。物流コスト等の変動に応じた販売価格へのタイムリーな転嫁も進めていきます。　　◆SDGs経営推進　2050年カーボンニュートラルの実現に向けて、省エネ活動と燃料転換に全力で取り組むとともに非化石電源の活用を検討していきます。 　気候変動が社会に与える影響は大きく、当社としても取り組むべき重要な社会問題と捉えています。気候変動がもたらす事業へのリスクと機会について、分析と対応を一層強化し、関連情報の開示を推進していくとともに、2050年の脱炭素社会実現に貢献する取り組みを進めてまいります。　具体的には、日本政府のカーボンニュートラル宣言を受け、当社環境管理委員会でCO2排出削減レベルを考慮し、Scope1・2において「2030年度に46％削減（2013年度比）」「2050年にカーボンニュートラルを目指す」の目標を設定し、取締役会で審議・決定いたしました。　気候変動に関する重要事項は、環境管理委員会にて諸問題・課題の審議を行います。取締役会は環境管理委員会から定期的に報告を受け、重要事項の審議を行います。 　また、KOBELCOグループ企業理念である「KOBELCOの3つの約束と6つの誓い」を念頭に置き、安全活動、環境保全、防災対策、リスクマネジメント体制の強化を進めます。更に、多様な人材がそれぞれの能力を発揮できる環境を整備し、デジタル化による業務効率、生産性向上も進めていきます。  
事業等のリスク	３【事業等のリスク】　当社グループ（当社及び連結子会社）の経営成績、株価及び財務状況等に影響を及ぼす可能性のある事項及び当社グループの事業活動を理解する上で重要と考えられる事項には以下のようなものがあります。　なお、文中の将来に関する事項は、有価証券報告書提出日現在において当社グループが判断したものです。 (1）景気の動向等の影響　当社グループでは、経済環境変化に対応しながら、事業体質の強化と収益力強化に取り組んでおりますが、国内外の経済動向の変化等により、自動車業界等当社グループの主要な需要業界の生産が影響を受けた場合、当社グループの生産及び業績に影響を及ぼす可能性があります。 (2）原材料価格の変動　当社グループの製品製造に使用される鉄スクラップやニッケル等のレアメタルは市況商品であり、その価格変動によって当社グループの業績に大きな影響を及ぼす可能性があります。一部の製品については、原材料価格の変動に製品価格を連動させる制度（サーチャージ制）を導入し、長期的には価格変動の影響を受けにくいシステムを確立しております。しかしながら、原材料価格の動きよりも製品価格の動きが後追いとなるため、短期的には価格上昇局面では、コストアップが製品値上げに先行し、下降局面では、コスト低減が製品値下げに先行することで、当社グループの期間業績に影響を及ぼす可能性があります。 (3）エネルギー価格の変動　当社グループは生産活動の過程において大量の電力やガス、重油等のエネルギーを消費いたします。従いまして、エネルギー価格の変動が当社グループの業績に影響を及ぼす可能性があります。 (4）株式会社神戸製鋼所との関係について　当社は親会社である株式会社神戸製鋼所より、同社が製造した軸受鋼の圧延材を購入し、鋼線等の二次加工業務を行い、同社に製品を販売しております。また、銑鉄等の原材料を同社から購入しております。同社との取引高は2024年３月期における当社グループ売上高の20.7％、仕入高の13.8％を占めております。従って、同社からの受注の増減や原材料の購入の制約等により、当社グループの業績に影響を及ぼす可能性があります。　また、資金調達についても、同社グループが運営するキャッシュ・マネジメント・サービス等に依存しており、同社の資金政策に影響を受ける場合があります。　同社からの人材の受入については、当社の役員10名（取締役７名、監査役３名）のうち、取締役１名は同社の職員が兼任しております。 (5）事故、災害等の影響　当社グループには、鉄スクラップ等を溶解するための電炉、中間生産物を加工するための加熱炉、鍛造プレス機等の生産設備があります。また、高熱の生産物、化学薬品等を取扱っております。生産設備の故障や事故の防止対策には万全を期しておりますが、万一重大な労働災害、設備故障・事故等が発生した場合には、当社グループの生産及び業績に影響を及ぼす可能性があります。　また、台風、地震などの自然災害、感染症の流行等により、工場の操業に支障が生じる場合や需要の減少により、当社グループの業績に影響を及ぼす可能性があります。 (6）環境規制等の影響　当社グループの生産拠点においては、大気、水質、騒音、振動あるいは廃棄物の処理等について、法規制に則り、適切な環境マネジメントに努めておりますが、関連法規制の強化等によって、これに対応する費用が発生した場合、当社グループの業績に影響を及ぼす可能性があります。　また、近年では世界的に脱炭素化の流れが加速しております。継続的な省エネ、コスト削減などを通じて、CO2排出量削減に努めておりますが、国内外において、法規制の厳格化、炭素税や排出量取引制度が導入された場合、当社グループの経営成績等に影響を及ぼす可能性があります。 (7）品質リスク　当社グループでは、製品の品質には万全を期しておりますが、万一重大な瑕疵のある製品が市場に流出した場合、交換、回収、損害賠償、訴訟等当社グループの業績に影響を及ぼす可能性があります。 (8）人材確保による影響　当社グループは、事業の維持・成長に必要な人材確保・育成に努めておりますが、今後、少子化、人材の流動化の進展等により、人材確保・育成が想定どおり進まない場合、当社グループの業績に影響を及ぼす可能性があります。   
経営者による財政状態、経営成績及びキャッシュ・フローの状況の分析	４【経営者による財政状態、経営成績及びキャッシュ・フローの状況の分析】（１）経営成績等の状況の概要①　経営成績の状況　当連結会計年度における我が国経済は、新型コロナウイルス感染症の影響を強く受けたサービス消費の復調を中心に緩やかに回復しました。一方、物価水準や電力などエネルギー価格の高騰による内需の低迷や海外の景気減速による今後の経済活動への影響が懸念され、先行きが不透明な状況が続いております。　こうした経済環境の中、当社グループにおいては引続き販売価格の改善に取り組んだ一方、厳しい需要環境が続き売上数量が減少しました。　これらの結果、当連結会計年度の業績は、売上高366億１千４百万円（前年同期比17.8％減）、16億３千５百万円の営業損失（前年同期は８億２千１百万円の営業利益）、15億８千５百万円の経常損失（前年同期は８億６千６百万円の経常利益）となりましたが、当社連結子会社である高周波精密株式会社（以下、高周波精密）が保有していた固定資産の売却に関する特別利益を計上したことにより、親会社株主に帰属する当期純利益66億１千２百万円（前年同期は１億５千万円の親会社株主に帰属する当期純損失）となりました。 　各セグメントの業績は、次のとおりであります。 ＜特殊鋼部門＞　販売価格の改善があるものの、工具鋼、特殊合金、軸受鋼等の売上数量が減少し、売上高は277億２千１百万円（前年同期比17.8％減）となりました。損益面では、販売価格改善の一方、売上数量の減少、原燃料価格の上昇、棚卸資産評価損及び高周波精密の土地売却に伴う租税公課の発生等から15億８百万円の営業損失（前年同期は７億７千４百万円の営業利益）となりました。　なお、上記の前年同期数値については、高周波精密の事業再構築に伴い、従来の金型・工具セグメントを特殊鋼セグメントに含めて、これを比較しております。 ＜鋳鉄部門＞　販売価格の改善があるものの、産業機械向けの売上数量が減少し、売上高は88億９千３百万円（前年同期比18.0％減）となりました。損益面では、販売価格の改善や固定費が減少したものの、売上数量の減少及び原燃料等の価格上昇により、１億２千７百万円の営業損失（前年同期は４千６百万円の営業利益）となりました。 ②　財政状態の状況　当連結会計年度末の総資産は、売上債権、棚卸資産及び固定資産の減少等により、前連結会計年度末に比べ30億４千万円減少し、389億５千８百万円となりました。　負債合計は、短期借入金の返済及び仕入債務の減少等により、前連結会計年度末に比べ96億７千３百万円減少し、171億８千９百万円となりました。　純資産の部は、親会社株主に帰属する当期純利益を計上したこと等から、前連結会計年度末に比べ66億３千２百万円増加し、217億６千８百万円となりました。 ③　キャッシュ・フローの状況　当連結会計年度末における現金及び現金同等物は、前連結会計年度末に比べ１億１百万円増加し、８億３千万円となりました。　当連結会計年度における各キャッシュ・フローの状況と増減の要因は次のとおりです。 （営業活動によるキャッシュ・フロー）　高周波精密㈱の事業再構築に係る一時費用の支払い等により、23億２千９百万円の支出（前年同期は９億８千５百万円の支出）となりました。 （投資活動によるキャッシュ・フロー）　有形固定資産の売却による収入等により、105億８千万円の収入（前年同期は３億５千４百万円の支出）となりました。 （財務活動によるキャッシュ・フロー）　借入金の返済等により、81億５千万円の支出（前年同期は18億９千９百万円の収入）となりました。 ④　生産、受注及び販売の実績　１）生産実績　当連結会計年度における生産実績をセグメントごとに示すと、次のとおりであります。セグメントの名称当連結会計年度（自　2023年４月１日　　至　2024年３月31日）前年同期比（％）特殊鋼（百万円）25,603△20.0鋳鉄（百万円）7,707△28.8合計（百万円）33,311△22.2　（注）金額は、販売価格によっております。 　２）受注実績　当連結会計年度における受注実績をセグメントごとに示すと、次のとおりであります。セグメントの名称受注高（百万円）前年同期比（％）受注残高（百万円）前年同期比（％）特殊鋼26,757△21.26,157△13.5鋳鉄8,782△18.6618△15.2合計35,540△20.66,776△13.7 　３）販売実績　当連結会計年度における販売実績をセグメントごとに示すと、次のとおりであります。セグメントの名称当連結会計年度（自　2023年４月１日　　至　2024年３月31日）前年同期比（％）特殊鋼（百万円）27,721△17.8鋳鉄（百万円）8,893△18.0合計（百万円）36,614△17.8　（注）１　セグメント間の取引については相殺消去しております。　　　　２　主な相手先別の販売実績及び当該販売実績の総販売実績に対する割合は次のとおりであります。   相手先前連結会計年度（自　2022年４月１日　　至　2023年３月31日）当連結会計年度（自　2023年４月１日　　至　2024年３月31日）金額（百万円）割合（％）金額（百万円）割合（％） ㈱神戸製鋼所10,88824.47,57820.7 （２）経営者の視点による経営成績等の状況に関する分析・検討内容①　重要な会計方針及び見積り　当社グループの連結財務諸表は、わが国において一般に公正妥当と認められる企業会計の基準に基づいて作成されています。この連結財務諸表の作成に当たっては、当連結会計年度における財政状態、経営成績及びキャッシュ・フローの状況に影響を与えるような見積り、予測を必要としております。当社グループは、過去の実績値や状況を踏まえ合理的と判断される前提に基づき、継続的に見積り、予測を行っております。そのため、実際の結果は見積り特有の不確実性があるため、これらの見積りと異なる場合があります。　なお、連結財務諸表作成に当たって用いた会計上の見積り及び当該見積りに用いた仮定のうち、重要なものについては、第５　経理の状況　１　連結財務諸表等　（１）連結財務諸表　注記事項（重要な会計上の見積り）に記載のとおりであります。 ②　当連結会計年度の経営成績等の状況に関する認識及び分析・検討内容　特殊鋼部門では、販売価格の改善があるものの、工具鋼、特殊合金、軸受鋼等の売上数量が減少したため、前年同期比で売上高は減少しました。また、販売価格改善の一方、売上数量の減少、原燃料価格の上昇、棚卸資産評価損及び高周波精密の土地売却に伴う租税公課の発生等により当期は営業損失を計上することとなりました。今後、私たちの特色である“小ロット・多品種対応”に経営資源を集中させて、今後成長が期待される「情報、医療、エネルギー」分野で使用される高機能材を拡販し、稼ぐ力の強化及び事業基盤の強化を進めてまいります。　鋳鉄部門では、販売価格の改善があるものの、産業機械向けの売上数量の減少により、前年同期比で売上高は減少しました。また、販売価格の改善や固定費が減少したものの、売上数量の減少及び原燃料等の価格上昇により当期は営業損失を計上することになりました。今後は、私たちが培ってきた“技術力・提案力”を一層磨いてお客様の課題解決に貢献するとともに、高難度で付加価値の高い製品の受注拡大を目指します。また、生産性を含めた高採算品種の受注拡大に取り組んでまいります。 ③　資本の財源及び資金の流動性に係る情報　当社グループは、主に株式会社神戸製鋼所からの直接借入、神戸製鋼グループのキャッシュ・マネジメント・サービスの利用、売掛債権等の債権流動化により資金調達を行っております。　重要な設備の改修の計画は、第３　設備の状況　３　設備の新設、除却等の計画　をご参照ください。 
経営上の重要な契約等	５【経営上の重要な契約等】　　　該当事項はありません。  
研究開発活動	６【研究開発活動】　当社グループ（当社及び連結子会社）の研究開発活動は、お客様と協働での新商品の開発、高付加価値材の製造技術確立による当社製品の拡販、品質向上およびコストダウンを目的に推進しております。　特に、近年は伸張分野である医療や半導体分野への更なる参入を目指し、技術部が中心となって高付加価値な新製品開発・試作を推進しております。　当連結会計年度の研究開発費は111百万円であり、主な活動状況は次のとおりであります。 (1) 特殊鋼部門　主に当社が中心になって、(株)神戸製鋼所グループ等との連携も実施し、新商品開発・試作、及び生産技術開発に挑戦しております。　当部門に係る研究開発費は108百万円であります。 [新商品開発・試作]　23年度は医療用ドリル用途のステンレス鋼を試作、納入し、お客様での評価を推進しております。 [生産技術開発]　23年度は高清浄度半導体用ステンレス鋼の製造技術確立に着手し、現在推進中です。また溶解条件の最適化により、清浄度を向上させた医療用ガイドワイヤー素材の商品化を推進しており、お客様から高評価を戴いております。また、高級プラスチック金型鋼の靭性値改善のため製造工程の改善に取組み、従来材の２倍以上の靭性改善を達成しております。 (2) 鋳鉄部門　高周波鋳造㈱が担当し、主に鋳鉄素材や部品の製造技術開発ならびに製造工程の自動化に取り組んでおります。　鋳鉄素材の製造技術開発では、凝固・湯流れ解析ソフトについてオプション機能を追加したことで解析精度の向上および解析時間の短縮を図りました。　一方、製造工程の自動化では、製造における特定作業のロボット化やAI画像解析を活用した製品検査技術などの導入を検討しております。　当部門に係る研究開発費は3百万円であります。   
設備投資等の概要	１【設備投資等の概要】　当社グループ（当社及び連結子会社）では、当連結会計年度は全体で810百万円の設備投資を実施しました。　特殊鋼事業においては、主に当社における更新投資等で608百万円の設備投資を行いました。　鋳鉄事業においては、主に高周波鋳造㈱における更新投資等で202百万円の設備投資を行いました。　なお、当連結会計年度において連結子会社である高周波精密株式会社の事業再構築により遊休化した同社保有の土地等を売却しました。 
主要な設備の状況	２【主要な設備の状況】　当社グループ（当社及び連結子会社）における主要な設備は、以下のとおりであります。(1) 提出会社2024年３月31日現在 事業所名（所在地）セグメントの名称設備の内容帳簿価額（百万円）従業員数（人）建物及び構築物機械装置及び運搬具土地(面積千㎡)その他合計富山製造所（富山県射水市）特殊鋼特殊鋼生産設備1,0722,7972,439(304)3936,703454(40) (2) 国内子会社2024年３月31日現在 会社名（所在地）セグメントの名称設備の内容帳簿価額（百万円）従業員数（人）建物及び構築物機械装置及び運搬具土地（面積千㎡）その他合計㈱カムス（群馬県太田市）特殊鋼金型・機械部品の加工設備129207367(1)26730144(7)エヌケイ精工㈱（富山県射水市）特殊鋼特殊鋼の加工設備300(0)0381(8)高周波鋳造㈱（青森県八戸市）鋳鉄鋳物生産設備864666190(3)1151,837309(25)㈱東北コアセンター（青森県八戸市）鋳鉄鋳物用中子製造設備325－02856(7)　（注）１　帳簿価額のうち「その他」は、工具、器具及び備品および建設仮勘定の合計であります。２　現在休止中の主要な設備はありません。３　従業員数の（　）は、臨時雇用者数を外書しております。
株式の総数	①【株式の総数】種類発行可能株式総数（株）普通株式24,000,000計24,000,000
発行済株式、株式の総数等	②【発行済株式】種類事業年度末現在発行数(株)（2024年３月31日）提出日現在発行数(株)（2024年６月21日）上場金融商品取引所名又は登録認可金融商品取引業協会名内容普通株式14,687,61714,687,617東京証券取引所スタンダード市場単元株式数100株計14,687,61714,687,617－－
