項目	値
事業の内容	３【事業の内容】　当企業集団は、合金鉄、機能材料、環境、電力の各事業を中心に展開している当社、子会社６社及び関連会社２社（以下「当社グループ」という。）と、鉄鋼製品等の製造、販売を行っているその他の関係会社である日本製鉄㈱で構成されております。なお、前連結会計年度では連結子会社であった共栄産業株式会社は、保有する株式を売却したため、連結の範囲から除外しております。　当社グループが営んでいる主な事業内容と各関係会社の当該事業に係る位置付けは次のとおりであり、セグメントと同一の区分であります。 (1) 合金鉄事業主な事業内容主要な会社名会社数フェロマンガン、シリコマンガン、フェロシリコンの製造・販売並びにフェロクロム、フェロバナジウム、その他の特殊金属製品の販売倉庫業港湾荷役・構内作業の請負マンガン鉱山の権益保有　等当社、電工興産㈱、日電徳島㈱、Pertama Ferroalloys SDN.BHD.、Kudumane Japan(同)５社 (2) 機能材料事業主な事業内容主要な会社名会社数酸化ジルコニウム、酸化ほう素、フェロボロン、水素吸蔵合金、リチウムイオン電池正極材料、マンガン系無機化学品、ほう酸等の製造・販売　等当社１社 (3) 環境事業主な事業内容主要な会社名会社数排水処理装置：イオン交換塔（ほう素、ニッケル等重金属回収）の製造・販売純水製造装置：イオン交換塔及びRO膜装置の製造・販売電気炉による焼却灰溶融固化処理　等当社、中央電気工業㈱、中電興産㈱３社 (4) 電力事業主な事業内容主要な会社名会社数電力の供給当社１社 (5) その他主な事業内容主要な会社名会社数サンプラー等鉄鋼用分析測定機器の製造・販売プラスチックの加工・販売　等リケン工業㈱、栗山興産㈱２社 　以上に述べた事項の概要図は次のとおりであります。 (注)　無印　連結子会社 ※　持分法適用関連会社 
経営方針、経営環境及び対処すべき課題等	１【経営方針、経営環境及び対処すべき課題等】　文中の将来に関する事項は、当連結会計年度末現在において当社グループが判断したものであります。(1)経営方針及び経営上の目標の達成状況を判断するための客観的な指標等　当社グループは、今日まで蓄積してきた製品・技術・サービスをもって合金鉄事業・機能材料事業・環境事業・電力事業における各種製品を改良・開発し、鉄鋼・電子部品材料・電池材料などの業界を始め、各方面の需要にお応えしてまいりました。 　第８次中期経営計画では、2030年「ありたい姿」に向け「既存ビジネスの強化」「新規ビジネスへの挑戦」「事業環境変化に適応する強い企業基盤の構築」の３つの柱を掲げ、具体施策を進めることで、計画最終年度（2023年）の、連結売上高600億円、連結経常利益60億円、ROE８％を目指してまいりました。 　「既存ビジネスの強化」では、国内合金鉄事業の生産構造改革と大手需要家との価格フォーミュラの改定により、合金鉄市況の影響を受けにくい安定した収益体制を実現しました。海外合金鉄事業ではマレーシアのパータマ・プロジェクトの高位安定生産が定着してきました。合金鉄以外の事業ではフェロボロンの生産再開や酸化ジルコニウム、酸化ほう素、リチウムイオン電池正極材の能力増強、焼却灰４号炉の新規稼働など将来の成長に貢献する戦略投資を実行し効果を発揮しました。また、全社的に電力価格高騰による電力料金上昇分を製品価格に転嫁し、各工場の安定操業の継続により、収益面の実力を向上してまいりました。 　「新規ビジネスへの挑戦」では、研究開発へ多くの経営資源を投入し、大学や外部との共同研究を通じて、新イオン交換無機結晶の開発や電子材料や電池材料分野、カーボンニュートラルに関する社会に貢献する新技術の開発や製品化に進展しました。また、ベンチャーキャピタル・ファンドへの出資を通じ、ベンチャー企業との連携を通じて当社の新しい事業を探索する体制をスタートしました。 　「事業環境変化に適応する強い企業体質の構築」では、サステナビリティ委員会を発足させ、GX、DXなど、当社の持続的成長を実現するために避けて通れない社会課題の解決に向け「2050年カーボンニュートラル方針」「DXロードマップ」を取りまとめ、今後の具体的な活動指針を明確にしました。 　こうした取り組みの結果、在庫影響や一過性要因を除いた実力ベースでの2023年連結経常利益は55億円となり、加えて、将来に向けた準備も着実に進めたことから、第８次中期経営計画は概ね予定どおり達成できたと評価しております。 　2024年から当社グループは新たな計画として、2030年「あるべき姿」に向けた中長期経営計画を策定しました。この中長期経営計画では、これまでの成果をベースとし、中長期事業戦略の立案・実践により「ありたい姿」の概念を「あるべき姿」として具体化させてまいります。2030年の業績目標としては、連結売上高 1,100億円以上、連結経常利益 130億円以上、ROE10％以上を目指し、「社会課題の解決」と「企業価値向上」の両立を図ってまいります。 (2)経営戦略等　当社グループは、2030年「あるべき姿」に向けた中長期経営計画を策定し、以下４つをターゲットとして取り組んでおります。 ・「成長戦略」「収益性の向上と安定化」では、事業環境変化を中長期の成長分野と捉え、当社事業の強みを活かしつつ事業規模・領域の拡大を図ってまいります。さらに、成長分野への積極的な戦略投資を進めることで、合金鉄市況の影響を受けにくいポートフォリオを構築し、収益力の向上と安定化を目指してまいります。また、社会課題の解決に貢献する新たな製品・事業の創出に向け、新製品の研究開発、外部との連携を通じて、事業機会の探索を進めてまいります。 ・「財務戦略」では、成長分野への積極的な戦略投資による固定資産の増強と、安定的で高水準の株主還元を両立させるため、適正な範囲内での財務レバレッジを活用し、企業価値の向上に寄与する財務体質への変革を行ってまいります。さらにDX等も活用して棚卸資産の効率化を進め、在庫影響の軽減を図ってまいります。 ・「サステナビリティ関連施策」では、「社会課題の解決」と「企業価値向上」の両立を図るため、地球温暖化対策では、2030年までにCO2排出量45％以上削減（2015年比）するため、50億円規模のGX投資を計画し、インターナルカーボンプライシング制度を導入して、積極的にカーボンニュートラルを推進してまいります。DXでは、IT人材育成、基幹システム刷新などの基盤強化を行いつつ、生産性や業務効率の飛躍的向上を図り、操業の省人化やオペレーションの最適化を進めます。更には人的資本経営の基盤強化を図るため、中長期事業戦略とリンケージした人材戦略を可視化し、取り組んでまいります。 (3)優先的に対処すべき事業上及び財務上の課題　当社グループは「特徴ある製品・技術・サービスを開発・提供し、持続的な成長を通じて、豊かな未来の創造に貢献する」という経営理念に基づき、2030年の「あるべき姿」として、「連結売上高1,100億円以上、連結経常利益130億円以上、ROE10％以上」を数値目標に掲げております。これを実現するため、2027年までの第９次中期経営計画を策定し、今後４年間で実行すべき具体的な施策をまとめました。 　合金鉄事業では、生産性向上と棚卸資産の圧縮を追求し、より強固な収益・財務体質を確立します。同時に、カーボンフリー合金鉄製造のための研究開発を進め2030年までにCO2排出量45％以上削減の達成を目指します。海外事業では安定生産を継続し、水力発電によるグリーン電源の優位性を活かし市場開拓を進めてまいります。 　機能材料事業では、今後の電子部品の需要増加に対応して、酸化ジルコニウムの生産能力を40％増強します。また、地政学リスク回避に貢献するオンリーワン商品を拡販や次世代電池材料分野における研究開発の成果を具体化することで、収益の拡大を図ります。 　焼却灰資源化事業では、電気料金などのコスト上昇分を着実に処理価格へ反映させ、自治体や地域社会との連携を更に強化し焼却灰の収集量を増加させることで、2030年までに焼却灰溶融炉を現状の４基から７基体制とすることを目指します。 　アクアソリューション事業では、産廃処分場から発生する排水中のほう素の除去需要に対応するため能力増強を図ります。また、純水装置の拡販を通じて、水素社会の発展に貢献してまいります。 　電力事業では、FITによる長期的な安定収益の確保に加え、水力発電の環境価値を活かした非化石証明の発行により当社のカーボンニュートラル実現に貢献してまいります。 　これらの施策に対し、足下においては、まずは事業部門・製造部門における基盤整備・体質強化を推し進め、研究開発や機能部門のGX、DX等のサステナビリティ施策についても課題を着実にクリアしていくことにより将来に向けた基礎体力を養い、「あるべき姿」の目標達成のために当社グループ一致団結して尽力してまいります。 
事業等のリスク	３【事業等のリスク】　当社グループの経営成績及び財政状態に関する事項のうち、投資家の判断に重要な影響を及ぼす可能性のある事項は、次のとおりであります。　文中における将来に関する事項は、当連結会計年度末現在において当社グループが判断したものであります。(1)国内外の主要市場の経済状況及び需要の変動等　合金鉄製品の販売価格は国際市況を基準としていることから、国際的な製品需給により市況が変動した場合には、業績に影響を与える可能性があります。当社グループの売上高はほとんどが国内向けであり、業績は我が国の経済情勢、とりわけ国内粗鋼生産量の変動により多大な影響を受けます。また、中国やアジア諸国等の経済情勢により自動車をはじめとした我が国の輸出動向を経て粗鋼生産や合金鉄の需要に影響を与え、当社の業績が変動する可能性があります。加えて、地政学的リスクが顕在化することで、経済活動が停滞し当社製品の需要が落ち込むことにより、業績が影響を受ける可能性があります。当社は、国際市況、経済動向を十分に見据えながら適切に対応すべく、機動的な生産計画の見直しに加え生産体制の見直し等当該リスクの低減に努めてまいります。(2)国内外の競合各社との競争状況及び主要需要家の購買方針の変更等　当社グループは、各事業において、国内外の競合各社と厳しい競争状態にあることから、当社グループの事業競争力が相対的に減退した場合には、業績が悪化する可能性があります。また、各事業分野における主要な需要家の購買方針に変更等が生じた場合には、業績が変動する可能性があります。当社は、需要家との密接な関係強化の継続に努めているとともに、安価原料の使用や原料ソース分散などによる製造コスト低減や一般管理費の削減などにより原価低減を推し進め、競争力の維持・向上に努めております。(3)原燃料調達における価格・数量等の変動　マンガン鉱石、コークス、レアアース、原油等の原燃料価格は国際市況に連動しており、国際的な資源需給の変動、資源輸出国における経済・社会情勢等の変化、天災地変等に起因する市況変動等が業績に影響を与える可能性があります。当社グループの製造原価では電力が相応の割合を占めている為、原燃料価格に起因する電力価格の変動が業績に影響を与える可能性があります。また、自然災害等による仕入先の操業・出荷の停止、さらには物流の寸断等により、電力を含む原燃料等の調達に支障が生じた場合、生産活動の制約を受け、業績に影響を与える可能性があります。当社は、継続的な原料サプライヤーとの関係性により柔軟な契約形態を採用するとともに、安価原料使用や原料ソース分散など安定したサプライチェーンの構築、また製造コスト低減や一般管理費の削減などにより収益への影響を最小限にとどめるよう努めてまいります。(4)海外での事業活動　当社グループは、海外諸国において事業投資活動を行なっております。これらの国の法令、税制、社会的インフラの変動、及びテロ等の情勢不安等に加え、現地特有のマネジメント上のリスクもあり、投資先事業における経営環境の変化、業況、及び操業不調等が、業績、及び投資の回収等に影響を与える可能性があります。また、国際的な製品需給により市況が変動した場合には、業績、及び投資の回収等に影響を与える可能性があります。当社は、他の出資会社と共に、現地の事業環境の情報収集に努め、投資先事業への指導を徹底し、また、適切な支援に取り組むことで、当該リスクの低減に努めております。 (5)財務リスク①為替レートの変動　合金鉄事業を始めとして、当社グループは主として、外貨建の国際市況を基準として取引していることから、為替動向が売上高及び業績に影響を与える可能性があります。また、為替動向は外貨建で取引されている原料の購入価格にも影響を与える可能性があります。さらに、外貨建の資産・負債を保有していることから、為替相場の変動が業績に影響を与える可能性があります。②金利変動　当社グループは、相応の有利子負債を保有しているため、金利情勢、その他金融市場の変動が業績に影響を与える可能性があります。当社グループは、長期借入金の一部について金利スワップ取引により金利を固定化し当該リスクの低減を図っております。③資金調達　当社グループは、資金調達にあたり資金繰り計画に基づき流動性リスクを管理し、更に金融機関との間にコミットメントライン契約を結び不測の事態に備えておりますが、当該契約には財務制限条項が付されているため、当社グループの業績が大きく悪化した場合は当該コミットメントラインに基づく資金調達が影響を受ける可能性があります。なお、財務制限条項の詳細は、「第５経理の状況　１連結財務諸表等　（1）連結財務諸表　注記事項（連結貸借対照表関係）８財務制限条項」に記載のとおりです。当社グループは、中長期経営計画の着実な実行により安定的な収益確保に努めるとともに財務体質の改善強化に努めてまいります。(6)固定資産減損リスク　当社グループが保有している固定資産について、時価が著しく低下した場合や事業の収益性低下により投資回収が見込めなくなった場合、固定資産の減損損失が発生し、業績に影響を与える場合があります。当社グループは中長期経営計画の着実な実行により収益性の向上と安定化に努めてまいります。(7)棚卸資産の収益性低下　製品価格や製品原価の変動により棚卸資産の収益性が低下し、それにより簿価切り下げが発生した場合には、業績に影響を与える可能性があります。当社は、需要に見合った生産に努めるとともに生産に見合った原料等の最適調達に努めております。また、年度予算で適正在庫水準目標を定めて在庫管理を行い、当該リスクの低減に努めております。(8)繰延税金資産の回収可能性　当社グループでは繰延税金資産について、将来の課税所得を合理的に見積り、回収可能性を判断して計上しております。しかしながら今後、その見積りの前提とした条件や仮定に変更が生じた場合は、繰延税金資産の取崩しが発生し、当社グループの業績に影響が生じる可能性があります。(9)法令その他の規則及び環境規制の変更　当社グループの事業活動に適用される法令その他の規則の変更があった場合には、業績に影響を与える可能性があります。特にCO2排出量に関連した規制は影響が大きいことから、当社は経済産業省公表のGXリーグに参画し、2050年カーボンニュートラル実現に向け取り組みを進めております。また、当社グループの事業活動に伴い発生する廃棄物では、国内外の法規制を遵守し、的確な対応を行っているものの、今後の法規制強化によっては業績に影響を与える可能性があります。当社グループは法規制の改正等、必要な情報を適時・適切に収集するとともに、社員教育を実施し厳格に法令遵守を図っております。 (10)自然災害及び事故　大規模な台風、地震、津波等の自然災害に見舞われた場合、当社グループ従業員及び主要設備に被害が発生するおそれがあり、操業、出荷に支障が生じ、業績に影響を与える可能性があります。また、重大な労働災害、設備事故等が発生した場合には事業活動の停止や制約等により、業績に影響を与える可能性があります。さらに、新型インフルエンザなどの感染症が流行した場合には、当社グループの事業活動が制約を受け、業績に影響を与える可能性があります。当社は、設備の耐震補強による地震対策や嵩上による津波対策の実施、老朽化設備の更新等に加え、事業継続計画（BCP）を策定し、その実地訓練を実施するなど有事に備えております。また、日頃の設備メンテナンス、老朽化設備の更新、定期的な安全活動（リスクアセスメント、危険予知活動等）の計画と実施等により、リスク低減を図っております。(11)知的財産　当社グループは当社技術に関わる知的財産権の取得・活用及び他社知的財産権の侵害防止に努めておりますが、技術の進歩が高度かつ複雑になる中、知的財産に関する訴訟が生じた場合には、当社グループの経営成績が影響を受ける可能性があります。当社は、他社との特許係争が生じないよう、特許連絡会を設置し、問題特許や競合他社の特許出願の有無を常時モニターし適切な対応に努めております。(12)人材確保及び育成　当社グループでは、事業の成長に必要な人材の確保及び育成に努めており、その際には多様性の確保(ダイバーシティ)と一人ひとりの人格を尊重し受け入れる企業風土の醸成によるエンゲージメントの向上が不可欠です。今後、少子高齢化に伴う国内労働人口の減少や企業風土醸成が不十分なことによる人材定着率の低下など人材確保や育成が計画どおりに進まなかった場合、持続的な成長に向けた事業活動に影響を与える可能性があります。このような事態を回避するため、採用活動の強化、育成体系や職場環境整備や多様な働き方などの人的資本への積極的な投資、さらには、DXを活用した生産・業務・事業の革新を進め、魅力ある企業としての体制づくりを進めております。(13)気候変動リスク　当社グループは、気候変動に関して生じる変化を重要なリスク要因として認識しています。移行リスクとしては、炭素税・排出権取引制度等の温室効果ガスの排出規制が導入された場合、原材料価格や電力価格が上昇し、製造コストが増加することで収益の低下をもたらす可能性があります。また、物理的リスクとしては、台風・洪水等の極端な気象現象が深刻化した場合、操業停止や物流の寸断、被害コストの増加などが収益の低下をもたらす可能性があります。一方で、当社グループは、気候変動への対応をリスクとしてだけでなく機会としても捉え、事業活動を通じて気候変動に関する社会課題の解決を目指してまいります。また、2022年２月にTCFD（Task Force on Climate-related Financial Disclosures：気候関連財務情報開示タスクフォース）に賛同し、気候変動の影響評価及びその情報開示に取り組んでいます。(14)情報システムの障害、情報漏洩等　当社グループの情報システムにおいて、悪意あるサイバー攻撃や、予期せぬ大規模停電、システムトラブル等により、情報システムが制御不可となる場合が考えられます。その場合、生産や業務の停止、機密情報の外部漏洩、訴訟や社会的信用の低下等への被害が拡大し、当社グループの業績等に悪影響が生じる可能性があります。当社グループは、システムセキュリティ強化に加え、情報管理体制の徹底、社員教育等の対策にも力を入れ、万全を期しております。 
経営者による財政状態、経営成績及びキャッシュ・フローの状況の分析	４【経営者による財政状態、経営成績及びキャッシュ・フローの状況の分析】(1)経営成績等の状況の概要　当連結会計年度における当社グループ（当社、連結子会社及び持分法適用会社）の経営成績及びキャッシュ・フローの状況の概要は次のとおりであります。①経営成績の状況　当連結会計年度（2023年１月１日から2023年12月31日）における世界経済は、ロシアによるウクライナ侵攻の継続等による国際社会の分断、欧米の金融引き締め継続による景気減速、中国経済の回復の遅れによるGDP成長率の鈍化など、依然として先行きが不透明な状況が継続しました。　我が国経済は、新型コロナウイルス感染対策の緩和を受けた経済活動の正常化に伴い、緩やかな持ち直しの動きが見られました。一方で、エネルギー及び原材料価格の高騰の継続など、国内製造業における厳しい環境は継続しました。　このような状況のなか、合金鉄事業における国際製品市況の下落等により、当連結会計年度の売上高は76,406百万円となりました。利益面においては、マンガン鉱石市況下落に伴う在庫影響が大きく前年同期比で大幅な減益となり、営業利益は4,741百万円、経常利益は2,465百万円となりました。一方で、電力価格の高騰に加え、合金鉄事業における国際製品市況の下落に対し電力価格上昇分の価格転嫁やコスト削減に努めた結果、在庫影響を除いた経常利益は前年同期（56億円）並の55億円となりました。　親会社株主に帰属する当期純利益は、第８次中期経営計画において国内合金鉄事業の構造改革を着実に進めた結果、今後の業績の安定性が確保されることが見込まれるため、2021年に続き当連結会計年度においても繰延税金資産を追加で計上したことから4,375百万円となりました。 　各事業の経営成績は、次のとおりです。 （合金鉄事業）　当連結会計年度における世界の粗鋼生産量は、18億8,825万トンで前年と比べ横ばい、国内粗鋼生産量は、8,700万トンで前年と比べ2.5％減少しました。　こうした状況のなか、主力製品である高炭素フェロマンガン及びその原料であるマンガン鉱石市況は、前年と比べ大幅な安値で推移し、電力コストは高値で推移しました。中でも、マンガン鉱石市況が大幅下落したことにより2022年に購入したマンガン鉱石の在庫影響が減益要因となったことから、合金鉄事業の業績は、売上高・経常損益ともに前年同期を下回りました。　一方、一過性要因である在庫影響を除いた経常利益については、国内合金鉄事業で製品市況の下落に伴うマージン悪化や電力価格高騰というマイナス要素に対し、第８次中期経営計画において構造改革として導入した価格フォーミュラ改定効果によるマージン悪化幅の抑制、及び電力価格上昇分の価格転嫁やコスト改善を進めた結果、前年同期（25億円）並の26億円となり、シリコマンガン及びフェロシリコン市況の下落等により減益となった海外持分法適用会社を加えた合金鉄事業全体では23億円（前年同期37億円）となりました。 （機能材料事業）　主力製品の一つである電子部品材料向け酸化ジルコニウムの販売は、車載用電子部品の需要の回復が遅れたことにより前年同期を下回ったものの、昨年生産能力を増強したリチウムイオン電池正極材や再稼働したフェロボロン等の販売は前年同期を上回りました。また、電力価格上昇分の販売価格への転嫁も着実に進みました。　以上の結果、機能材料事業の業績は、売上高・経常利益ともに前年同期を上回りました。 （環境事業）　中央電気工業（株）の焼却灰溶融固化処理事業は、焼却灰４号溶融炉（EM4）の稼働に伴い処理能力が増強されました。また、利益面ではEM4立ち上げ準備費用等の一過性の減益要因が発生した前年同期を大きく上回りました。　環境システム事業は、電力価格及び原材料コスト上昇分の価格転嫁を着実に進めた結果、ほぼ前年同期並みの業績となりました。　以上の結果、環境事業の業績は、売上高・経常利益ともに前年同期を上回りました。 （電力事業）　再生可能エネルギー固定価格買取制度（FIT）を利用した売電事業として２ヶ所の水力発電所は、効率的な操業により順調に稼働を続けたものの、気象条件に恵まれFIT運転開始以来の最高益を達成した前年同期には及びませんでした。　以上の結果、電力事業の業績は、売上高・経常利益ともに前年同期を下回りました。 　また、当連結会計年度における事業の売上高及び経常利益は次のとおりです。（単位：百万円、％）区分 第１２３期（前連結会計年度） （2022.1.1～2022.12.31）  第１２４期（当連結会計年度） （2023.1.1～2023.12.31） 増減率 売上高経常利益売上高経常利益売上高経常利益 金　額 構成比 金　額 構成比 金　額 構成比 金　額 構成比合金鉄事業58,35173.59,07287.552,87669.2△914△37.1△9.4―機能材料事業11,29114.23233.113,84418.11,99580.922.6517.4環境事業5,9057.42532.46,5588.688435.911.1249.4電力事業1,6672.15315.11,3911.838015.4△16.6△28.4その他2,1242.71861.81,7352.31194.8△18.3△36.0合計79,341100.010,367100.076,406100.02,465100.0△3.7△76.2  ②キャッシュ・フローの状況（営業活動によるキャッシュ・フロー）　営業活動によるキャッシュ・フローは、8,776百万円の収入となりました（前連結会計年度は6,280百万円の収入）。主な増加要因は、棚卸資産の減少2,693百万円であります。主な減少要因は、仕入債務の減少1,564百万円であります。（投資活動によるキャッシュ・フロー）　投資活動によるキャッシュ・フローは、4,666百万円の支出となりました（前連結会計年度は4,592百万円の支出）。主な要因は、有形及び無形固定資産の取得による支出4,791百万円、投資有価証券売却による収入745百万円であります。（財務活動によるキャッシュ・フロー）　財務活動によるキャッシュ・フローは、5,242百万円の支出となりました（前連結会計年度は2,680百万円の支出）。主な要因は、短期借入金の減少6,000百万円、長期借入れによる収入6,649百万円であります。　以上の結果、当連結会計年度末の現金及び現金同等物は、前連結会計年度末に比べ1,044百万円減少し7,851百万円となりました。③生産、受注及び販売の実績a.生産実績 事業の名称生産高(百万円)前年同期比(％)合金鉄事業46,56099.9機能材料事業15,233135.4環境事業6,309113.5電力事業1,39183.4その他1,35699.1合計70,850106.6（注）当連結会計年度において、前年同期比で、機能材料事業における生産の実績に著しい増加がありました。これは、富山工場においてフェロボロンの生産を開始したことによるものです。 b.受注実績　受注生産は行っておりません。 c.販売実績 事業の名称販売高(百万円)前年同期比(％)合金鉄事業52,87690.6機能材料事業13,844122.6環境事業6,558111.1電力事業1,39183.4その他1,73581.7合計76,40696.3(注) 　主な相手先別の販売実績及び当該販売実績に対する割合は次のとおりであります。 相　手　先前連結会計年度(自　2022年１月１日至　2022年12月31日)当連結会計年度(自　2023年１月１日至　2023年12月31日)金額(百万円)割合(％)金額(百万円)割合(％)日本製鉄㈱48,55661.249,14864.3 (2)経営者の視点による経営成績等の状況の分析・検討内容　経営者等の視点による当社グループの経営成績等の状況に関する認識及び分析・検討内容は次のとおりであります。　なお、文中の将来に関する事項は、当連結会計年度末現在において判断したものであります。①重要な会計方針及び見積り　当社グループの連結財務諸表は、わが国において一般に公正妥当と認められている会計基準に基づき作成されております。この連結財務諸表の作成にあたって、重要となる会計方針については、「第５経理の状況　１連結財務諸表等　（1）連結財務諸表　注記事項(連結財務諸表作成のための基本となる重要な事項)」に記載しております。また、当社グループが用いた会計上の見積りのうち重要なものについては、「第５経理の状況　１連結財務諸表等　（1）連結財務諸表　注記事項(重要な会計上の見積り)」に記載しております。②当連結会計年度の経営成績等の状況に関する認識及び分析・検討内容a.財政状態　当連結会計年度末の資産合計は、前連結会計年度末と比べ3,928百万円減少し101,015百万円となりました。流動資産は、棚卸資産や原料及び貯蔵品などの減少により、前連結会計年度末と比べ5,087百万円減少し51,852百万円、固定資産は機械装置及び運搬具などの増加により、前連結会計年度末と比べ1,159百万円増加し49,162百万円となりました。　当連結会計年度末の負債合計は、短期借入金などの減少により、前連結会計年度末と比べ6,405百万円減少し29,313百万円となりました。なお、有利子負債（短期借入金、一年内返済予定の長期借入金、リース債務（流動負債）、長期借入金、リース債務（固定負債））は2,497百万円減少し18,554百万円となりました。　当連結会計年度末の純資産合計は、前連結会計年度末に比べ2,476百万円増加し71,701百万円となりました。これは主に、利益剰余金の増加によるものです。b.経営成績当社グループの当連結会計年度の経営成績につきましては、「第２事業の状況　４経営者による財政状態、経営成績及びキャッシュ・フローの状況の分析　（1）経営成績等の状況の概要　①経営成績の状況」に記載しております。③経営成績に重要な影響を与える要因　「３事業等のリスク」に記載しております。④資本の財源及び資金の流動性　当社グループの運転資金需要のうち主なものは、原材料及び貯蔵品の仕入や製造費、販売費及び一般管理費の営業費用であります。　投資を目的とした資金需要は、設備投資等によるものであります。　短期運転資金は、自己資金、売掛債権のファクタリング及び金融機関からの短期借入などによる調達を基本としております。　設備投資につきましては、自己資金及び金融機関からの長期借入などによる調達を基本としております。
経営上の重要な契約等	５【経営上の重要な契約等】　当社は、2024年３月27日に開催の取締役会において、2024年７月１日を効力発生日として、当社を吸収合併存続会社、当社の完全子会社である中央電気工業株式会社を吸収合併消滅会社とする吸収合併を決議し、同日付で合併契約を締結いたしました。　詳細は、「第５経理の状況　１連結財務諸表等　（1）連結財務諸表　注記事項（重要な後発事象）」に記載のとおりであります。 
研究開発活動	６【研究開発活動】　当連結会計年度の研究開発活動は、積極的に研究開発投資を進めております。研究・営業・製造との連携を強化するとともに、外部機関を積極的に活用し、研究開発投資を進めております。　当連結会計年度におけるグループ全体の研究開発費は631百万円であり、主要な研究開発活動は次のとおりです。　合金鉄事業におきましては、環境対応技術の強化に関わる研究開発を行いました。　機能材料事業におきましては、電池材料、電子材料など顧客からの多様な要求に対応する研究開発を行いました。また、テーマの取捨選択を行いながら、当社の強みを生かした将来に向けた商品探索についても開発を行っております。　環境事業におきましては、水処理・純水製造分野において顧客の要求に対応した商品開発、また廃棄物リサイクルの分野において環境対応技術の強化に係わる研究開発を進めております。
設備投資等の概要	１【設備投資等の概要】　当連結会計年度の設備投資（有形固定資産のほか、無形固定資産を含む。）につきましては、総額3,826百万円の投資を行いました。 　なお、事業ごとの設備投資金額は次のとおりであります。事業の名称設備投資金額（百万円）合金鉄事業1,690機能材料事業818環境事業691電力事業72その他23調整額530合計3,826(注)１　その他は報告事業に含まれない事業であります。２　調整額は各報告事業に配分していない全社資産であります。
主要な設備の状況	２【主要な設備の状況】(1) 提出会社2023年12月31日現在 事業所名(所在地)事業の名称設備の内容帳簿価額(百万円)従業員数(名)建物及び構築物機械装置及び運搬具土地(面積千㎡)リース資産その他合計徳島工場・研究所(徳島県阿南市)合金鉄機能材料合金鉄製造設備、機能材料製造設備1,6913,5122,270(537)71417,624265富山工場（射水地区）(富山県射水市)機能材料機能材料製造設備98854471(129)-131,43728富山工場（高岡地区）(富山県高岡市)機能材料機能材料製造設備13795133(46)121,12557妙高工場(新潟県妙高市)機能材料機能材料製造設備1,3471,586593(170)-763,604103郡山工場(福島県郡山市)環境ミニクロパック再生設備等226410287(58)-1694044鹿島事業所(茨城県鹿嶋市)環境中央電気工業㈱への貸与設備等2312550(0)-36523-日高事業所・幌満川発電所(北海道様似町)電力発電設備等1,2967633(125)3,12654,53915(注)１　帳簿価額のうち「その他」は、工具、器具及び備品であります。２　上記のうち、連結会社以外からの主要な賃借設備の内容は、下記のとおりであります。事業所名(所在地)事業の名称設備の内容リース料(百万円)幌満川発電所(北海道様似町)電力第二発電所第三発電所年間リース料490 ３　上記の他、連結会社以外からの主要な賃借設備の内容は、下記のとおりであります。事業所名(所在地)事業の名称設備の内容従業員数(名)賃借料(百万円)本社(東京都中央区)合金鉄機能材料環境電力事務所105年間賃借料170 (2) 国内子会社2023年12月31日現在 会社名事業所名(所在地)事業の名称設備の内容帳簿価額(百万円)従業員数(名)建物及び構築物機械装置及び運搬具土地(面積千㎡)リース資産その他合計中央電気工業㈱(茨城県鹿嶋市)環境廃棄物溶融固化処理設備1,0673,561601(157)-125,243143リケン工業㈱本社・工場(東京都千代田区、秋田県北秋田市)その他事務所等542461(7)-614735(注)　帳簿価額のうち「その他」は、工具、器具及び備品であります。
株式の総数	①【株式の総数】 種類発行可能株式総数(株)普通株式300,000,000計300,000,000
発行済株式、株式の総数等	②【発行済株式】 種類事業年度末現在発行数(株)(2023年12月31日)提出日現在発行数(株)(2024年３月28日)上場金融商品取引所名又は登録認可金融商品取引業協会名内容普通株式137,217,772137,217,772東京証券取引所(プライム市場)権利内容に何ら限定のない当社における標準となる株式であり、単元株式数は100株であります。計137,217,772137,217,772－－
